PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-22,15:09:03,"McGregor, Tristan",824510,Right,PRE_BLH,Undefined,Undefined,NA,NA,87.53183,-1.295728,-3.578928,2492.151408,217.058023,01:15:00,6.26122,1.69858,5.71339,-20.64812,16.45867,11.45902,3.33081,-0.68517,79.34576,-5.194351,-1.534482,0.438428,-6.84823,9.11422,-1.40558,50,6.13989,7.42815,-126.74831,-3.50857,-11.05868,27.68129,-17.45619,262668e8-6834-42d9-a23c-1dba2cc121f5,NA,NA,NA,NA,NA,809623,"Antillon, Gunner",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,BGS_FAL,1,Top,0,0,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,PRE_BLH,BGS_FAL,PresbyterianCollege,D1,BSOU,20250222-PresbyterianCollege-1,dd259ae0-f158-11ef-aaf5-dfdd4b92933e,85.97185,NA,NA,8.18607,NA,NA,NA,6029e0e2-c0c7-45d7-867c-f9db9df1f489,2025-02-22,20:09:03,2025-02-22T20:09:03Z,2025-02-22T20:09:03Z,NA,v3,471507,471244,22 February 2025 15:00-bowlgreen@presbytrn,"Becker, Ryan",1000092550,Right,PRE_BLH,54.78573,-127.78922,13.84064,6.25948,-2.85216,-8.72809,-1.69272,7.84399,-5.52934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-02-22,15:09:17,"McGregor, Tristan",824510,Right,PRE_BLH,Undefined,Undefined,NA,NA,87.13653,-1.712011,-3.795324,2454.695261,213.783755,01:15:00,6.21199,1.60439,5.92712,-21.07718,15.97111,9.85256,2.86298,-1.10149,79.31344,-5.689754,-2.031117,0.438082,-6.11366,9.04075,-1.30578,50,6.06278,7.95873,-126.2095,-4.41103,-9.82084,26.66577,-17.65119,89d33b97-f97d-49d1-815e-2fe78915e839,NA,NA,NA,NA,NA,809623,"Antillon, Gunner",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,BGS_FAL,1,Top,0,1,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,PRE_BLH,BGS_FAL,PresbyterianCollege,D1,BSOU,20250222-PresbyterianCollege-1,e5377e10-f158-11ef-aaf5-dfdd4b92933e,86.03969,NA,NA,7.8231,NA,NA,NA,6029e0e2-c0c7-45d7-867c-f9db9df1f489,2025-02-22,20:09:17,2025-02-22T20:09:17Z,2025-02-22T20:09:17Z,NA,v3,471507,471244,22 February 2025 15:00-bowlgreen@presbytrn,"Becker, Ryan",1000092550,Right,PRE_BLH,54.57259,-127.17193,13.33288,6.21049,-3.77395,-8.8256,-1.59942,8.31319,-4.91042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Medium,Medium,Medium,NA,NA,NA,NA,NA
3,2025-02-22,15:09:31,"McGregor, Tristan",824510,Right,PRE_BLH,Undefined,Undefined,NA,NA,86.38981,-1.393682,-3.360566,2447.555435,211.462249,01:00:00,6.29328,1.58892,6.03359,-21.07958,16.65607,9.373,3.24353,-0.74567,78.13599,-5.400725,-1.677771,0.442127,-5.81453,9.37193,-1.33084,50,6.17278,6.95778,-125.13389,-3.65075,-9.11975,27.7993,-17.47475,9f316ba1-d52c-49f9-ba8a-5d0c3aea7c18,NA,NA,NA,NA,NA,809623,"Antillon, Gunner",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,BGS_FAL,1,Top,0,1,1,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,PRE_BLH,BGS_FAL,PresbyterianCollege,D1,BSOU,20250222-PresbyterianCollege-1,edf16110-f158-11ef-aaf5-dfdd4b92933e,85.252440000000007,NA,NA,8.25381,NA,NA,NA,6029e0e2-c0c7-45d7-867c-f9db9df1f489,2025-02-22,20:09:31,2025-02-22T20:09:31Z,2025-02-22T20:09:31Z,NA,v3,471507,471244,22 February 2025 15:00-bowlgreen@presbytrn,"Becker, Ryan",1000092550,Right,PRE_BLH,54.46471,-126.12185,13.89965,6.29149,-3.02972,-8.73738,-1.5838699999999999,7.28188,-4.55988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-02-22,15:09:46,"McGregor, Tristan",824510,Right,PRE_BLH,Undefined,Undefined,NA,NA,86.08347,-1.590276,-3.677025,2435.929069,197.809586,12:30:00,6.25163,1.60592,5.9955,-18.40769,19.85891,5.92587,3.24049,-1.31256,77.49931,-5.127188,-2.615047,0.445227,-4.20335,11.08788,-1.31889,50,6.11591,7.75752,-124.56246,-3.94978,-6.50229,28.61823,-15.02192,3de30196-b72a-42a2-9c69-4c52f7dc9731,NA,NA,NA,NA,NA,809623,"Antillon, Gunner",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,BGS_FAL,1,Top,0,2,1,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,PRE_BLH,BGS_FAL,PresbyterianCollege,D1,BSOU,20250222-PresbyterianCollege-1,f6f76840-f158-11ef-aaf5-dfdd4b92933e,84.65894,NA,NA,8.58416,NA,NA,NA,6029e0e2-c0c7-45d7-867c-f9db9df1f489,2025-02-22,20:09:46,2025-02-22T20:09:46Z,2025-02-22T20:09:46Z,NA,v3,471507,471244,22 February 2025 15:00-bowlgreen@presbytrn,"Becker, Ryan",1000092550,Right,PRE_BLH,54.50189,-125.59251,14.30911,6.24835,-3.4091,-7.51096,-1.60232,7.99155,-3.25115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-02-22,15:10:02,"McGregor, Tristan",824510,Right,PRE_BLH,Undefined,Undefined,NA,NA,87.0009,-3.049299,-3.239994,2359.229411,219.081193,01:15:00,6.2299,1.53966,5.67953,-19.46548,17.97725,13.58772,1.75784,-0.35173,79.46189,-6.71009,-0.81482,0.440408,-7.84941,10.37886,-1.27508,50,5.96016,6.56389,-125.99043,-7.31914,-12.59288,26.05168,-15.52315,0fbc9c10-cbfc-442e-9274-181ebd6eeb4b,NA,NA,NA,NA,70.935321,809623,"Antillon, Gunner",5078.427107,NA,82.88453,Right,17.602059,25.58592,27.16768,106.9827,245.33635,90.77322,2.928222,84.437046,0.90777,1.94841,0.2113,NA,NA,NA,NA,NA,1,5,BGS_FAL,1,Top,0,3,1,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,PRE_BLH,BGS_FAL,PresbyterianCollege,D1,BSOU,20250222-PresbyterianCollege-1,004b8f70-f159-11ef-aaf5-dfdd4b92933e,85.58529,28.38442,NA,7.53901,NA,NA,NA,6029e0e2-c0c7-45d7-867c-f9db9df1f489,2025-02-22,20:10:02,2025-02-22T20:10:02Z,2025-02-22T20:10:02Z,LineDrive,v3,471507,471244,22 February 2025 15:00-bowlgreen@presbytrn,"Becker, Ryan",1000092550,Right,PRE_BLH,54.82269,-126.98372,13.02584,6.22794,-6.72728,-7.76158,-1.5345,7.04403,-6.29644,NA,0.90778,37.84759,-18.02197,4.30227,-0.87005,0.15494,-0.02339,0.00249,-1.2e-4,1.9484,36.76206,-12.03249,-1.0659,0.56123,-0.16767,0.0341,-0.00408,2.3e-4,0.21131,109.51618,-16.41518,4.29429,-0.95619,0.18832,-0.03095,0.00353,-1.9e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Low,NA,NA,NA
6,2025-02-22,15:10:21,"McGregor, Tristan",824510,Right,PRE_BLH,Undefined,Undefined,NA,NA,77.11413,-1.387303,-2.25081,1718.06319,214.171677,01:15:00,5.84502,1.73226,5.78713,-30.94139,16.18792,9.97851,1.97462,0.46865,70.87714,-7.141199,-0.46375,0.494102,-5.74551,9.09146,-1.55288,50,5.71197,4.03908,-111.93616,-3.6045,-7.3006,19.92222,-20.62193,52d42e77-dc9e-4817-855f-6513eeb250a3,NA,NA,NA,NA,NA,809623,"Antillon, Gunner",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,BGS_FAL,1,Top,0,3,2,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,PRE_BLH,BGS_FAL,PresbyterianCollege,D1,BSOU,20250222-PresbyterianCollege-1,0bc1ac40-f159-11ef-aaf5-dfdd4b92933e,76.28467,NA,NA,6.23699,NA,NA,NA,6029e0e2-c0c7-45d7-867c-f9db9df1f489,2025-02-22,20:10:21,2025-02-22T20:10:21Z,2025-02-22T20:10:21Z,NA,v3,471507,471244,22 February 2025 15:00-bowlgreen@presbytrn,"Becker, Ryan",1000092550,Right,PRE_BLH,54.71523,-112.77225,9.96111,5.84508,-2.73905,-10.31096,-1.72882,4.34547,-3.6503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-02-22,15:10:39,"McGregor, Tristan",824510,Right,PRE_BLH,Undefined,Undefined,NA,NA,87.40303,-2.397389,-3.33169,2382.775379,217.047947,01:15:00,6.20782,1.59076,5.66175,-19.86974,17.02572,11.97816,2.31121,-0.52155,80.20158,-6.120069,-1.195265,0.437178,-7.00611,9.64906,-1.31643,50,5.99207,6.87493,-126.69655,-5.93975,-11.43029,24.9841,-16.43185,f6a5d7c2-31a5-470f-92e1-77e6c2812fc1,NA,NA,NA,NA,15.3967,809623,"Antillon, Gunner",1899.604005,NA,98.25963,Right,7.663985,NA,NA,NA,128.49113,128.49113,1.031817,20.363898,1.12732,2.1022,0.50368,NA,NA,NA,NA,NA,1,7,BGS_FAL,1,Top,0,3,2,Four-Seam,InPlay,Undefined,LineDrive,Single,0,0,NA,PRE_BLH,BGS_FAL,PresbyterianCollege,D1,BSOU,20250222-PresbyterianCollege-1,168234b0-f159-11ef-aaf5-dfdd4b92933e,86.21769,6.26122,NA,7.20144,NA,NA,NA,6029e0e2-c0c7-45d7-867c-f9db9df1f489,2025-02-22,20:10:39,2025-02-22T20:10:39Z,2025-02-22T20:10:39Z,GroundBall,v3,471507,471244,22 February 2025 15:00-bowlgreen@presbytrn,"Becker, Ryan",1000092550,Right,PRE_BLH,54.84115,-127.64764,12.49205,6.20628,-5.31423,-8.21593,-1.58643,7.31006,-5.71514,285.577606,1.28845,135.55208,-19.57134,NA,NA,NA,NA,NA,NA,2.22409,17.58811,-19.23662,NA,NA,NA,NA,NA,NA,0.39871,39.34776,3.57305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
8,2025-02-22,15:11:29,"McGregor, Tristan",824510,Right,PRE_BLH,Undefined,Undefined,NA,NA,76.09507,-2.204341,-4.202999,1844.838324,225.666267,01:30:00,5.89496,1.76107,5.8747,-35.18573,13.6802,12.26796,0.90881,-1.12752,69.51482,-8.7300160000000009,-2.007132,0.503123,-7.59567,8.14871,-1.42785,50,5.69571,7.65995,-110.12938,-5.2515,-9.2576,20.94636,-22.2424,4c7cc959-fb55-432e-ac66-830738276073,NA,NA,NA,NA,NA,1000267043,"Wright, Garrett",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,BGS_FAL,1,Top,0,0,0,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,PRE_BLH,BGS_FAL,PresbyterianCollege,D1,BSOU,20250222-PresbyterianCollege-1,34473540-f159-11ef-aaf5-dfdd4b92933e,74.91691,NA,NA,6.58025,NA,NA,NA,6029e0e2-c0c7-45d7-867c-f9db9df1f489,2025-02-22,20:11:29,2025-02-22T20:11:29Z,2025-02-22T20:11:29Z,NA,v3,471507,471244,22 February 2025 15:00-bowlgreen@presbytrn,"Becker, Ryan",1000092550,Right,PRE_BLH,54.62734,-111.006,10.47318,5.89601,-4.32064,-11.1212,-1.75653,8.04739,-4.6288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-02-22,15:11:50,"McGregor, Tristan",824510,Right,PRE_BLH,Undefined,Undefined,NA,NA,85.72644,-2.113519,-3.768083,2385.840115,218.227215,01:15:00,6.18081,1.43353,5.71855,-23.63234,14.95052,10.75449,2.23741,-1.18554,78.1474,-6.531579,-1.849095,0.447063,-6.54217,8.59851,-1.12466,50,5.98914,7.72424,-124.11848,-5.33511,-10.16727,25.71085,-18.81093,7632a7f1-b47c-4335-adc5-4b003de1dfae,NA,NA,NA,NA,NA,1000267043,"Wright, Garrett",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,BGS_FAL,1,Top,0,1,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,PRE_BLH,BGS_FAL,PresbyterianCollege,D1,BSOU,20250222-PresbyterianCollege-1,40d10c00-f159-11ef-aaf5-dfdd4b92933e,84.31129,NA,NA,7.57904,NA,NA,NA,6029e0e2-c0c7-45d7-867c-f9db9df1f489,2025-02-22,20:11:50,2025-02-22T20:11:50Z,2025-02-22T20:11:50Z,NA,v3,471507,471244,22 February 2025 15:00-bowlgreen@presbytrn,"Becker, Ryan",1000092550,Right,PRE_BLH,54.78193,-125.10513,12.85543,6.18002,-4.61324,-9.40547,-1.42856,8.1144,-5.08364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-02-22,15:12:09,"McGregor, Tristan",824510,Right,PRE_BLH,Undefined,Undefined,NA,NA,74.93486,-1.1098190000000001,-3.585454,1880.973055,243.31378,02:00:00,5.93787,1.68532,5.73978,-40.35908,10.4293,17.11115,1.539,-0.23187,68.09105,-8.580609,-0.525398,0.512925,-9.84327,6.1876,-1.39713,50,5.82076,6.1763,-108.50517,-3.29071,-11.58533,21.24535,-24.89136,71482e0d-1b0a-4596-b2f5-35d132ebec6f,NA,NA,NA,NA,NA,1000267043,"Wright, Garrett",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,BGS_FAL,1,Top,0,1,1,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,PRE_BLH,BGS_FAL,PresbyterianCollege,D1,BSOU,20250222-PresbyterianCollege-1,4bc46440-f159-11ef-aaf5-dfdd4b92933e,73.48535,NA,NA,6.84382,NA,NA,NA,6029e0e2-c0c7-45d7-867c-f9db9df1f489,2025-02-22,20:12:09,2025-02-22T20:12:09Z,2025-02-22T20:12:09Z,NA,v3,471507,471244,22 February 2025 15:00-bowlgreen@presbytrn,"Becker, Ryan",1000092550,Right,PRE_BLH,54.76105,-109.43341,10.62268,5.94078,-2.20317,-12.44568,-1.67804,6.68248,-5.79266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
