PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-22,12:04:54,"Longshore, Zach",823170,Left,NEW_PRI,Undefined,Fastball,NA,NA,87.18592,-0.722507,3.116396,2002.413409,137.2333,10:30:00,5.78452,-2.59361,5.68708,-20.56477,15.99355,-13.86544,3.39634,-0.84151,80.73977,-4.559272,0.641784,0.435176,7.81989,8.62847,2.34022,50,5.71074,-6.32534,-126.66621,-2.25996,12.90181,22.1113,-17.93819,c3c6750c-9324-460f-87be-6970f4b8e2ae,NA,NA,NA,NA,NA,1000233002,"Ragsdale, Josiah",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,BOC_EAG,1,Top,0,0,0,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,NEW_PRI,BOC_EAG,MaestriField,D1,SLAND,20250222-MaestriField-1,8a2d95b0-f147-11ef-b110-5fa345c1639b,86.61431,NA,NA,6.44615,NA,NA,NA,4a4a7a71-ea39-41e0-a692-4cf840207078,2025-02-22,18:04:54,2025-02-22T18:04:54Z,2025-02-22T18:04:54Z,NA,v3,471381,227,NA,"Gonzalez, Matt",1000271477,Right,NEW_PRI,54.81458,-127.50389,11.05565,5.78349,-1.58038,-8.96909,2.58911,-6.81412,6.4509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-02-22,12:05:17,"Longshore, Zach",823170,Left,NEW_PRI,Undefined,Slider,NA,NA,79.21953,0.573212,2.251674,2224.099031,242.697011,02:00:00,5.59984,-3.10616,5.32722,-39.43443,5.72894,8.59882,2.85195,-0.27565,73.25685,-6.616393,3.776747,0.483687,-3.76847,3.09595,2.89595,50,5.62309,-4.85936,-115.03291,-0.17838,-5.08786,19.82088,-27.99417,da4fc0c2-5db2-44d7-9d1e-15471bf15836,NA,NA,NA,NA,34.062205,1000233002,"Ragsdale, Josiah",3016.193724,NA,80.42411,Left,9.231831,NA,NA,NA,105.07716,104.23711,0.998079,38.182795,1.72657,2.90116,0.50466,NA,NA,NA,NA,NA,1,2,BOC_EAG,1,Top,0,0,1,Slider,InPlay,Undefined,LineDrive,Out,1,0,NA,NEW_PRI,BOC_EAG,MaestriField,D1,SLAND,20250222-MaestriField-1,9796cff0-f147-11ef-b110-5fa345c1639b,77.92728,6.75235,NA,5.96268,NA,NA,NA,4a4a7a71-ea39-41e0-a692-4cf840207078,2025-02-22,18:05:17,2025-02-22T18:05:17Z,2025-02-22T18:05:17Z,GroundBall,v3,471381,227,NA,"Gonzalez, Matt",1000271477,Right,NEW_PRI,55.17382,-115.92096,9.91044,5.60299,1.07588,-13.99709,3.10857,-4.63141,-2.54393,NA,1.72657,96.45224,-17.47309,2.48965,-0.66499,0.27556,-0.04004,-0.08025,0.03863,2.90116,18.92408,-24.41053,3.13858,-0.95108,0.58932,-0.26527,4.9e-4,0.02972,0.50466,65.20936,0.12199,-1.03492,0.63593,-0.68475,0.40886,-0.06294,-0.02074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
3,2025-02-22,12:05:57,"Longshore, Zach",823170,Left,NEW_PRI,Undefined,Fastball,NA,NA,87.32888,0.112685,3.752904,1954.52896,140.689171,10:45:00,5.78703,-2.85257,5.91337,-21.27214,15.30465,-11.61103,4.1191700000000004,-0.33203,79.91353,-3.893043,1.674746,0.435285,6.92367,8.14575,2.55773,50,5.78391,-7.82495,-126.66253,-0.39904,11.29266,24.90758,-18.88814,a88b2046-f585-46d9-83d0-4c6b8ee8e184,NA,NA,NA,NA,NA,813479,"Wolff, Kyle",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,BOC_EAG,1,Top,1,0,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,NEW_PRI,BOC_EAG,MaestriField,D1,SLAND,20250222-MaestriField-1,afce2730-f147-11ef-b110-5fa345c1639b,86.59245,NA,NA,7.41536,NA,NA,NA,4a4a7a71-ea39-41e0-a692-4cf840207078,2025-02-22,18:05:57,2025-02-22T18:05:57Z,2025-02-22T18:05:57Z,NA,v3,471381,227,NA,"Gonzalez, Matt",1000271477,Right,NEW_PRI,54.58534,-127.56102,12.45379,5.78601,0.28231,-9.44407,2.84735,-8.23232,5.64633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-02-22,12:06:16,"Longshore, Zach",823170,Left,NEW_PRI,Undefined,Slider,NA,NA,79.44443,-0.272066,4.960117,1113.773475,77.04448,08:30:00,5.43026,-2.93192,5.45317,-46.2353,-1.26587,-11.29583,1.32166,0.78181,73.48278,-8.658211,2.956642,0.482647,7.04351,-0.24445,2.50153,50,5.37379,-9.5545,-115.07557,-2.11465,9.50541,20.07197,-32.50395,21cf0e7d-1467-46d4-8b99-7aac65fc65de,NA,NA,NA,NA,NA,813479,"Wolff, Kyle",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,BOC_EAG,1,Top,1,1,0,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,NEW_PRI,BOC_EAG,MaestriField,D1,SLAND,20250222-MaestriField-1,bb0f7860-f147-11ef-b110-5fa345c1639b,78.09518,NA,NA,5.96166,NA,NA,NA,4a4a7a71-ea39-41e0-a692-4cf840207078,2025-02-22,18:06:16,2025-02-22T18:06:16Z,2025-02-22T18:06:16Z,NA,v3,471381,227,NA,"Gonzalez, Matt",1000271477,Right,NEW_PRI,55.04963,-115.95301,10.03598,5.43517,-0.69376,-16.25198,2.92828,-9.97002,4.7527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-02-22,12:06:41,"Longshore, Zach",823170,Left,NEW_PRI,Undefined,Fastball,NA,NA,80.45325,-1.501067,5.867352,1244.170667,90.795385,09:00:00,5.34176,-3.06469,5.37992,-42.75593,1.64591,-15.59233,0.36389,1.15548,73.96541,-9.256896,3.110232,0.479592,9.60134,1.56433,2.54966,50,5.17597,-11.34039,-116.2409,-4.52132,13.13296,21.84825,-30.03431,95e9b8f6-3db8-4624-aee5-33efe17518b0,NA,NA,NA,NA,NA,813479,"Wolff, Kyle",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,BOC_EAG,1,Top,1,1,1,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,NEW_PRI,BOC_EAG,MaestriField,D1,SLAND,20250222-MaestriField-1,c9c72ba0-f147-11ef-b110-5fa345c1639b,78.59272,NA,NA,6.48785,NA,NA,NA,4a4a7a71-ea39-41e0-a692-4cf840207078,2025-02-22,18:06:41,2025-02-22T18:06:41Z,2025-02-22T18:06:41Z,NA,v3,471381,227,NA,"Gonzalez, Matt",1000271477,Right,NEW_PRI,55.12272,-117.19979,10.92412,5.34548,-3.20315,-15.01716,3.06002,-11.91679,6.56648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-02-22,12:07:04,"Longshore, Zach",823170,Left,NEW_PRI,Undefined,Slider,NA,NA,81.21507,-0.164983,2.638483,2203.213595,246.059868,02:15:00,5.53776,-3.05277,5.3374,-39.50207,4.28874,6.25496,2.09098,-0.05443,73.82204,-7.39668,3.748186,0.476281,-2.30662,2.65925,2.8099,50,5.49481,-5.68107,-117.63951,-1.71129,-3.19471,24.74225,-28.49093,ff14433b-41d3-4772-940c-672225f18450,NA,NA,NA,NA,NA,813479,"Wolff, Kyle",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,BOC_EAG,1,Top,1,2,1,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,NEW_PRI,BOC_EAG,MaestriField,D1,SLAND,20250222-MaestriField-1,d7744cb0-f147-11ef-b110-5fa345c1639b,79.13914,NA,NA,7.39304,NA,NA,NA,4a4a7a71-ea39-41e0-a692-4cf840207078,2025-02-22,18:07:04,2025-02-22T18:07:04Z,2025-02-22T18:07:04Z,NA,v3,471381,227,NA,"Gonzalez, Matt",1000271477,Right,NEW_PRI,55.15996,-118.71981,12.37113,5.54237,-0.46732,-14.24547,3.0549,-5.54158,-1.59736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-02-22,12:07:23,"Longshore, Zach",823170,Left,NEW_PRI,Undefined,Fastball,NA,NA,89.65759,-0.738546,3.237336,1991.575848,138.94995,10:45:00,5.67626,-2.7175,5.99628,-20.79206,13.71233,-11.03158,3.25807,-0.63366,82.27503,-4.646736,1.25751,0.422774,6.54315,7.56815,2.46848,50,5.60651,-6.90678,-130.16066,-2.33379,11.28143,26.03794,-19.1254,3730dc08-fcd2-40b1-9173-ce928aa8348b,NA,NA,NA,NA,11.145201,813479,"Wolff, Kyle",NA,NA,92.93782,Right,-10.232266,NA,NA,NA,17.47577,17.47577,0.1209,12.524329,1.427,3.17147,0.60076,NA,NA,NA,NA,NA,2,5,BOC_EAG,1,Top,1,2,2,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,NA,NEW_PRI,BOC_EAG,MaestriField,D1,SLAND,20250222-MaestriField-1,e2f69e80-f147-11ef-b110-5fa345c1639b,89.15498,3.17147,NA,7.38256,NA,NA,NA,4a4a7a71-ea39-41e0-a692-4cf840207078,2025-02-22,18:07:23,2025-02-22T18:07:23Z,2025-02-22T18:07:23Z,GroundBall,v3,471381,227,NA,"Gonzalez, Matt",1000271477,Right,NEW_PRI,54.50397,-131.05856,13.01897,5.67562,-1.67426,-9.5627,2.71336,-7.29581,5.64072,299.928227,1.4272,131.58913,-18.91961,NA,NA,NA,NA,NA,NA,3.17162,-24.22994,-16.58216,NA,NA,NA,NA,NA,NA,0.60067,25.93938,3.63017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
8,2025-02-22,12:07:54,"Longshore, Zach",823170,Left,NEW_PRI,Undefined,Slider,NA,NA,78.87075,-0.496016,1.935302,2280.863524,261.320857,02:45:00,5.56966,-3.01723,5.29579,-42.89471,3.3091,11.81969,1.52911,-0.21452,72.28222,-8.305166,4.033401,0.489227,-5.37347,2.23197,2.83211,50,5.49327,-4.33422,-114.38813,-2.44976,-7.07373,22.37003,-29.23585,76d6785a-45e3-40f0-95fb-4ac6c869eef1,NA,NA,NA,NA,NA,1000156206,"Roche, Pat",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,BOC_EAG,1,Top,2,0,0,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,NEW_PRI,BOC_EAG,MaestriField,D1,SLAND,20250222-MaestriField-1,f5957700-f147-11ef-b110-5fa345c1639b,77.0449,NA,NA,6.58853,NA,NA,NA,4a4a7a71-ea39-41e0-a692-4cf840207078,2025-02-22,18:07:54,2025-02-22T18:07:54Z,2025-02-22T18:07:54Z,NA,v3,471381,227,NA,"Gonzalez, Matt",1000271477,Right,NEW_PRI,55.20393,-115.40134,11.18501,5.57424,-1.12559,-14.61792,3.02116,-4.01383,-3.53687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-02-22,12:08:09,"Longshore, Zach",823170,Left,NEW_PRI,Undefined,Slider,NA,NA,79.31816,-1.401094,5.424944,934.462811,91.520557,09:00:00,5.30346,-3.17711,5.28497,-43.77306,1.69599,-12.78839,0.33378,0.86695,73.48002,-9.308468,3.165444,0.485321,7.89107,1.5376,2.6912,50,5.14256,-10.40249,-114.75003,-4.31941,10.59707,19.80744,-30.10916,1440213a-37fa-4105-82ac-9a96a3454736,NA,NA,NA,NA,NA,1000156206,"Roche, Pat",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,BOC_EAG,1,Top,2,0,1,Splitter,BallCalled,Undefined,Undefined,Undefined,0,0,NA,NEW_PRI,BOC_EAG,MaestriField,D1,SLAND,20250222-MaestriField-1,fe423aa0-f147-11ef-b110-5fa345c1639b,77.66493,NA,NA,5.83814,NA,NA,NA,4a4a7a71-ea39-41e0-a692-4cf840207078,2025-02-22,18:08:09,2025-02-22T18:08:09Z,2025-02-22T18:08:09Z,NA,v3,471381,227,NA,"Gonzalez, Matt",1000271477,Right,NEW_PRI,55.21779,-115.64718,9.90372,5.30731,-2.95565,-15.05458,3.17324,-10.88247,5.29854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-02-22,12:08:25,"Longshore, Zach",823170,Left,NEW_PRI,Undefined,Fastball,NA,NA,80.76435,-0.959173,5.944138,1211.428147,91.487248,09:00:00,5.30794,-3.21915,5.21161,-42.41006,1.77063,-15.24001,0.86684,1.12065,74.39272,-8.631167,3.259851,0.478396,9.26784,1.49441,2.68002,50,5.18651,-11.53627,-116.70047,-3.46229,12.83236,21.13505,-30.10488,1f37db49-2b6e-43a2-a917-67dd2bad6ac3,NA,NA,NA,NA,NA,1000156206,"Roche, Pat",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,BOC_EAG,1,Top,2,1,1,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,NEW_PRI,BOC_EAG,MaestriField,D1,SLAND,20250222-MaestriField-1,07aaad20-f148-11ef-b110-5fa345c1639b,78.78918,NA,NA,6.37163,NA,NA,NA,4a4a7a71-ea39-41e0-a692-4cf840207078,2025-02-22,18:08:25,2025-02-22T18:08:25Z,2025-02-22T18:08:25Z,NA,v3,471381,227,NA,"Gonzalez, Matt",1000271477,Right,NEW_PRI,55.29055,-117.65471,10.56752,5.31214,-2.10306,-15.05244,3.21396,-12.11565,6.41618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
