PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-22,13:05:55,"Rodriguez, JD",1000218582,Right,TUL_GRE,Undefined,Fastball,NA,NA,90.33305,-2.799099,-4.117428,2308.194602,239.690793,02:00:00,6.20311,1.33191,4.7167,-23.11611,13.11737,20.27198,1.61141,-0.89299,82.0403,-7.039995,-0.565464,0.433238,-11.14371,7.61902,-0.93429,50,5.89932,8.39591,-130.4656,-7.29885,-19.09594,28.93131,-19.11801,7b5a8751-f0a4-40b4-9bf8-dfccb8fa9dcd,NA,NA,NA,NA,NA,1000077641,"Hassert, Cameron",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,LOY_LIO,1,Top,0,0,0,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,TUL_GRE,LOY_LIO,Tulane,D1,AMER,20250222-Tulane-1,0b6c9d80-f150-11ef-9620-772c8452d2d3,87.00172,NA,NA,8.29275,NA,NA,NA,1d40d55f-04fa-4e32-a501-23bfa5aa9238,2025-02-22,19:05:55,2025-02-22T19:05:55Z,2025-02-22T19:05:55Z,NA,v3,471471,471343,NA,"Pinkney, Hugh",692218,Right,TUL_GRE,55.78272,-131.7417,14.46565,6.20266,-6.45559,-9.559,-1.3232,9.2382,-9.54797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-02-22,13:06:10,"Rodriguez, JD",1000218582,Right,TUL_GRE,Undefined,Fastball,NA,NA,88.33332,-0.914909,-3.638326,2233.307907,235.137732,01:45:00,6.18735,1.37295,4.72664,-23.13647,14.7506,19.2419,3.38939,-0.48038,79.81329,-5.193323,-0.26585,0.443013,-10.46319,7.88178,-1.02336,50,6.07513,7.17855,-127.70774,-2.91098,-17.128,28.4568,-19.27178,6927a427-b4ba-4c36-b7a5-690b0d1ff2fb,NA,NA,NA,NA,NA,1000077641,"Hassert, Cameron",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,LOY_LIO,1,Top,0,1,0,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,TUL_GRE,LOY_LIO,Tulane,D1,AMER,20250222-Tulane-1,1489af20-f150-11ef-9620-772c8452d2d3,85.08193,NA,NA,8.52003,NA,NA,NA,1d40d55f-04fa-4e32-a501-23bfa5aa9238,2025-02-22,19:06:10,2025-02-22T19:06:10Z,2025-02-22T19:06:10Z,NA,v3,471471,471343,NA,"Pinkney, Hugh",692218,Right,TUL_GRE,55.77076,-128.98722,14.2284,6.18654,-2.04448,-9.63589,-1.36344,7.94866,-8.564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-02-22,13:06:25,"Rodriguez, JD",1000218582,Right,TUL_GRE,Undefined,Slider,NA,NA,80.36007,-1.40394,-1.822932,1620.417765,239.883393,02:00:00,6.17033,1.27291,4.39464,-38.09687,7.70516,10.75371,1.6544,0.42823,73.8238,-8.245213,0.056715,0.487095,-5.75705,4.53012,-1.08977,50,5.98311,3.23061,-116.42567,-4.31654,-7.90527,21.77374,-25.95357,7af4c2be-eeac-488b-894a-8861d1c28ed5,NA,NA,NA,NA,46.707786,1000077641,"Hassert, Cameron",NA,NA,54.60998,Left,-24.27218,NA,NA,NA,5.61129,5.05253,0.056405,28.577468,2.09104,1.86539,-0.32684,NA,NA,NA,NA,NA,1,3,LOY_LIO,1,Top,0,1,1,Changeup,InPlay,Undefined,GroundBall,Out,1,0,NA,TUL_GRE,LOY_LIO,Tulane,D1,AMER,20250222-Tulane-1,1d665c60-f150-11ef-9620-772c8452d2d3,77.38208,1.86539,NA,6.53627,NA,NA,NA,1d40d55f-04fa-4e32-a501-23bfa5aa9238,2025-02-22,19:06:25,2025-02-22T19:06:25Z,2025-02-22T19:06:25Z,GroundBall,v3,471471,471343,NA,"Pinkney, Hugh",692218,Right,TUL_GRE,56.10564,-117.56199,10.88687,6.17304,-2.96208,-12.97679,-1.26913,3.64317,-3.95263,180,2.08901,50.29034,NA,NA,NA,NA,NA,NA,NA,1.86672,-33.07121,NA,NA,NA,NA,NA,NA,NA,-0.32899,53.38135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
4,2025-02-22,13:06:58,"Rodriguez, JD",1000218582,Right,TUL_GRE,Undefined,ChangeUp,NA,NA,81.67876,-0.086733,-2.040035,1781.248028,244.973163,02:15:00,6.25879,1.25683,4.55081,-37.27246,6.83595,11.6006,3.07014,0.28081,74.73037,-6.822718,-0.00858,0.478004,-6.20252,3.78748,-1.0562,50,6.21509,3.68959,-118.35012,-1.61559,-8.79557,22.62661,-26.80316,abedad39-0285-4300-b477-a2fe40e7b5e3,NA,NA,NA,NA,NA,823948,"Wallace, Colby",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,LOY_LIO,1,Top,1,0,0,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,TUL_GRE,LOY_LIO,Tulane,D1,AMER,20250222-Tulane-1,310343f0-f150-11ef-9620-772c8452d2d3,78.85373,NA,NA,6.9484,NA,NA,NA,1d40d55f-04fa-4e32-a501-23bfa5aa9238,2025-02-22,19:06:58,2025-02-22T19:06:58Z,2025-02-22T19:06:58Z,NA,v3,471471,471343,NA,"Pinkney, Hugh",692218,Right,TUL_GRE,55.94785,-119.48184,11.3133,6.26237,-0.27497,-13.40158,-1.25175,4.12952,-4.39779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-02-22,13:07:11,"Rodriguez, JD",1000218582,Right,TUL_GRE,Undefined,Fastball,NA,NA,89.97033,-0.358574,-3.239019,2266.569498,233.333905,01:45:00,6.26264,1.31299,4.5747,-22.44048,14.05032,17.22903,4.05087,-0.33643,81.68602,-4.487788,-0.226706,0.434774,-9.27186,7.2989,-0.99423,50,6.20532,6.50042,-130.19519,-1.69765,-15.86782,28.08512,-19.68276,13586055-7fb7-4a44-93f8-157bc327cecc,NA,NA,NA,NA,NA,823948,"Wallace, Colby",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,LOY_LIO,1,Top,1,0,1,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,TUL_GRE,LOY_LIO,Tulane,D1,AMER,20250222-Tulane-1,386c15e0-f150-11ef-9620-772c8452d2d3,86.69441,NA,NA,8.28431,NA,NA,NA,1d40d55f-04fa-4e32-a501-23bfa5aa9238,2025-02-22,19:07:11,2025-02-22T19:07:11Z,2025-02-22T19:07:11Z,NA,v3,471471,471343,NA,"Pinkney, Hugh",692218,Right,TUL_GRE,55.92333,-131.46673,14.04256,6.262,-0.80652,-9.84138,-1.3048,7.21883,-7.93391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-02-22,13:07:24,"Rodriguez, JD",1000218582,Right,TUL_GRE,Undefined,Fastball,NA,NA,89.63445,-0.953037,-3.37887,2235.591877,242.424909,02:00:00,6.24892,1.33517,4.59413,-24.73245,12.1791,20.84478,3.27975,-0.1453,81.12906,-5.490264,0.268143,0.437273,-11.24505,6.59485,-1.00691,50,6.12819,6.63537,-129.65599,-3.14421,-18.98181,29.22614,-21.04183,f8c68c09-0280-4950-9dfc-2a37f86c34c0,NA,NA,NA,NA,29.829452,823948,"Wallace, Colby",2188.636278,NA,107.09255,Left,13.593055,92.13759,19.22126,60.08817,227.98947,217.81386,1.98021,37.750526,2.64944,3.60477,0.0548,NA,NA,NA,NA,NA,2,3,LOY_LIO,1,Top,1,1,1,Sinker,InPlay,Undefined,LineDrive,Double,0,0,NA,TUL_GRE,LOY_LIO,Tulane,D1,AMER,20250222-Tulane-1,40b69540-f150-11ef-9620-772c8452d2d3,86.1989,19.37334,NA,8.50539,NA,NA,NA,1d40d55f-04fa-4e32-a501-23bfa5aa9238,2025-02-22,19:07:24,2025-02-22T19:07:24Z,2025-02-22T19:07:24Z,LineDrive,v3,471471,471343,NA,"Pinkney, Hugh",692218,Right,TUL_GRE,55.90587,-130.98048,14.61307,6.24908,-2.19062,-10.52092,-1.32711,7.4956,-9.49091,NA,2.64942,132.44316,-31.13729,7.13778,-1.56168,0.11216,0.13915,-0.069,0.01045,3.60477,36.91491,-23.88446,3.10055,-0.64675,0.10523,0.00108,-0.00566,9.6e-4,0.05483,75.93901,-0.00633,-2.66707,1.03963,-0.20609,-0.0497,0.04026,-0.00692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
7,2025-02-22,13:08:20,"Rodriguez, JD",1000218582,Right,TUL_GRE,Undefined,Slider,NA,NA,75.82954,0.578172,0.058371,2366.604342,118.930553,10:00:00,6.10596,1.71237,4.3516,-46.88758,5.62189,-6.57052,2.75106,1.22059,68.27265,-7.897038,-1.089121,0.521543,3.17547,3.11839,-1.71163,50,6.12208,0.17485,-109.62146,-0.61559,3.78825,22.9225,-28.4539,7cdbfa60-d14a-4ebe-8e5d-829b083ce440,NA,NA,NA,NA,NA,801954,"Ankeney, Beau",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,LOY_LIO,1,Top,1,0,0,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,TUL_GRE,LOY_LIO,Tulane,D1,AMER,20250222-Tulane-1,6206b860-f150-11ef-9620-772c8452d2d3,72.27099,NA,NA,7.5569,NA,NA,NA,1d40d55f-04fa-4e32-a501-23bfa5aa9238,2025-02-22,19:08:20,2025-02-22T19:08:20Z,2025-02-22T19:08:20Z,NA,v3,471471,471343,NA,"Pinkney, Hugh",692218,Right,TUL_GRE,56.14335,-110.89863,11.46125,6.11221,0.96977,-14.22695,-1.71549,-0.03622,1.89413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-02-22,13:08:39,"Rodriguez, JD",1000218582,Right,TUL_GRE,Undefined,Fastball,NA,NA,89.76149,-2.50856,-3.952106,2263.31327,244.694515,02:15:00,6.31709,1.50129,4.91702,-25.89466,10.78008,19.9219,1.78015,-0.58126,80.97952,-7.268745,-0.446585,0.435868,-11.018980000000001,6.51181,-1.13242,50,6.05061,7.98264,-129.60421,-6.69045,-18.48601,30.54164,-21.24951,c384a214-5dd9-49ef-96ff-ac6982a47a84,NA,NA,NA,NA,NA,801954,"Ankeney, Beau",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,LOY_LIO,1,Top,1,1,0,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,TUL_GRE,LOY_LIO,Tulane,D1,AMER,20250222-Tulane-1,6d4830a0-f150-11ef-9620-772c8452d2d3,86.47672,NA,NA,8.78196,NA,NA,NA,1d40d55f-04fa-4e32-a501-23bfa5aa9238,2025-02-22,19:08:39,2025-02-22T19:08:39Z,2025-02-22T19:08:39Z,NA,v3,471471,471343,NA,"Pinkney, Hugh",692218,Right,TUL_GRE,55.58037,-130.91264,15.27082,6.31773,-5.78011,-10.62476,-1.49137,8.77459,-9.243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-02-22,13:08:59,"Rodriguez, JD",1000218582,Right,TUL_GRE,Undefined,Fastball,NA,NA,91.15719,-2.255621,-4.00521,2251.855238,251.906347,02:30:00,6.29368,1.59253,4.98038,-27.65057,7.52059,19.33001,1.85292,-0.58536,82.93466,-7.304254,-0.599744,0.42684,-10.74221,4.73803,-1.22218,50,6.05316,8.29723,-131.80223,-6.30835,-18.79058,29.47823,-23.88615,8ecca41f-3a0e-4dcd-8638-689121c33c5d,NA,NA,NA,NA,NA,801954,"Ankeney, Beau",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,LOY_LIO,1,Top,1,1,1,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,TUL_GRE,LOY_LIO,Tulane,D1,AMER,20250222-Tulane-1,791239d0-f150-11ef-9620-772c8452d2d3,88.30587,NA,NA,8.22253,NA,NA,NA,1d40d55f-04fa-4e32-a501-23bfa5aa9238,2025-02-22,19:08:59,2025-02-22T19:08:59Z,2025-02-22T19:08:59Z,NA,v3,471471,471343,NA,"Pinkney, Hugh",692218,Right,TUL_GRE,55.51951,-133.03097,14.73911,6.29535,-5.3127,-11.94308,-1.58435,9.08048,-9.39529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-02-22,13:09:21,"Rodriguez, JD",1000218582,Right,TUL_GRE,Undefined,Fastball,NA,NA,91.91857,-0.759635,-2.569868,2313.442659,249.569723,02:15:00,6.38427,1.58864,4.89557,-26.07486,8.72174,20.06454,3.49207,0.82824,82.94805,-5.552706,0.964317,0.424561,-10.74583,4.88965,-1.35479,50,6.28834,4.99122,-133.0654,-2.81087,-19.01615,32.02033,-23.52118,cc423c80-904d-4e7a-8cbe-9b369705abb1,NA,NA,NA,NA,-73.109823,801954,"Ankeney, Beau",NA,NA,95.20745,Right,-21.625111,NA,NA,NA,10.31722,10.31722,0.069536,-65.643685,1.62532,3.58805,-0.73861,NA,NA,NA,NA,NA,3,4,LOY_LIO,1,Top,1,1,2,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,TUL_GRE,LOY_LIO,Tulane,D1,AMER,20250222-Tulane-1,85f50600-f150-11ef-9620-772c8452d2d3,88.77986,3.58805,NA,8.97052,NA,NA,NA,1d40d55f-04fa-4e32-a501-23bfa5aa9238,2025-02-22,19:09:21,2025-02-22T19:09:21Z,2025-02-22T19:09:21Z,GroundBall,v3,471471,471343,NA,"Pinkney, Hugh",692218,Right,TUL_GRE,55.60392,-134.40714,16.01016,6.38548,-1.82527,-11.76059,-1.58063,5.78805,-9.50807,180,1.62419,37.81634,NA,NA,NA,NA,NA,NA,NA,3.5896,-51.599850000000004,NA,NA,NA,NA,NA,NA,NA,-0.73485,-124.545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Low,Low,NA,NA,NA
