PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-15,17:32:22,"Negrete, Mikiah",800626,Left,CAL_FUL,Undefined,Fastball,NA,NA,90.00686,-4.069653,2.435224,2320.58964,141.531133,10:45:00,5.87864,-0.63912,5.31535,-15.47981,20.6908,-15.30635,0.75914,0.37234,80.68629,-7.029584,-0.280863,0.432862,8.52044,12.16205,0.43,50,5.49856,-4.82351,-129.94599,-9.71883,14.25951,32.62198,-11.82003,47b39a05-2dc7-46ab-a140-cabe1aa517f5,NA,NA,NA,NA,NA,822679,"MacDonald, Cort",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,STA_CAR,1,Top,0,0,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,CAL_FUL,STA_CAR,GoodwinField,D1,BW,20250215-GoodwinField-2,decfb2c0-ec05-11ef-8eb4-059b2ff05ed0,87.07729,NA,NA,9.32057,NA,NA,NA,b3b89f96-1dd0-4e00-8c98-25968c668307,2025-02-16,01:32:22,2025-02-16T01:32:22Z,2025-02-16T01:32:22Z,NA,v3,471254,471454,15 February 2025 20:00-stanford@calstfull,"Ortega, Max",703672,Right,CAL_FUL,55.18215,-131.24048,16.31099,5.87491,-9.24979,-5.91002,0.63263,-5.38935,7.12976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-02-15,17:32:36,"Negrete, Mikiah",800626,Left,CAL_FUL,Undefined,Slider,NA,NA,83.082,-0.447604,1.782257,2524.710947,197.564972,12:30:00,5.65997,-1.19128,5.06644,-36.88533,5.69111,1.29689,2.16393,0.59784,74.80669,-7.205563,2.011537,0.46963,-0.04339,3.45528,1.02091,50,5.58881,-3.79849,-120.21992,-2.28991,-0.06226,27.5023,-27.21487,f51be27d-a538-4f47-ad48-a7f687a04e7c,NA,NA,NA,NA,NA,822679,"MacDonald, Cort",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,STA_CAR,1,Top,0,1,0,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,CAL_FUL,STA_CAR,GoodwinField,D1,BW,20250215-GoodwinField-2,e78a8020-ec05-11ef-8eb4-059b2ff05ed0,80.25982,NA,NA,8.27531,NA,NA,NA,b3b89f96-1dd0-4e00-8c98-25968c668307,2025-02-16,01:32:36,2025-02-16T01:32:36Z,2025-02-16T01:32:36Z,NA,v3,471254,471454,15 February 2025 20:00-stanford@calstfull,"Ortega, Max",703672,Right,CAL_FUL,55.42888,-121.45552,13.75115,5.66422,-1.06723,-13.60743,1.1915,-3.79569,-0.03113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-02-15,17:32:52,"Negrete, Mikiah",800626,Left,CAL_FUL,Undefined,Fastball,NA,NA,90.31636,-3.210292,2.377673,2262.078186,154.53326,11:15:00,5.95393,-0.74479,5.0547,-12.41119,23.86801,-10.67847,1.88622,0.60904,80.66994,-5.632892,0.493006,0.433511,6.10973,13.33784,0.52737,50,5.63922,-4.90254,-130.40678,-7.6557,10.28496,33.1624,-9.7215,090f52b5-73b3-43bd-973a-6131aa4c4d7b,NA,NA,NA,NA,7.96078,822679,"MacDonald, Cort",NA,NA,92.49791,Left,-7.179043,NA,NA,NA,19.41055,19.41055,0.135707,5.789573,1.367,2.04201,-0.62683,NA,NA,NA,NA,NA,1,3,STA_CAR,1,Top,0,1,1,Four-Seam,InPlay,Undefined,GroundBall,Error,0,0,NA,CAL_FUL,STA_CAR,GoodwinField,D1,BW,20250215-GoodwinField-2,f0a1ec70-ec05-11ef-8eb4-059b2ff05ed0,86.94688,2.04201,NA,9.64642,NA,NA,NA,b3b89f96-1dd0-4e00-8c98-25968c668307,2025-02-16,01:32:52,2025-02-16T01:32:52Z,2025-02-16T01:32:52Z,GroundBall,v3,471254,471454,15 February 2025 20:00-stanford@calstfull,"Ortega, Max",703672,Right,CAL_FUL,55.44123,-131.78322,16.5812,5.9486,-7.2522,-4.86075,0.73971,-5.32942,5.14248,188.041506,1.36686,133.31645,-7.99327,NA,NA,NA,NA,NA,NA,2.04166,-16.91972,13.83687,NA,NA,NA,NA,NA,NA,-0.62691,18.64978,2.93917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,High,NA,NA,NA
4,2025-02-15,17:33:31,"Negrete, Mikiah",800626,Left,CAL_FUL,Undefined,Fastball,NA,NA,90.27065,-2.139754,1.617369,2334.739439,160.177743,11:15:00,5.85085,-0.71235,5.12238,-10.65682,25.28706,-8.62575,2.94555,0.09269,80.97506,-4.249883,0.092314,0.431503,4.81969,13.65694,0.56736,50,5.64246,-3.27863,-130.60758,-5.13642,8.1811,31.94937,-8.99222,5a100b08-d2af-43bc-931a-07a2c768448a,NA,NA,NA,NA,125.939211,695579,"Haskins, Trevor",4483.911783,NA,59.06415,Right,54.583093,NA,NA,NA,NA,26.15417,NA,NA,1.19028,2.63585,0.79043,NA,NA,NA,NA,NA,2,1,STA_CAR,1,Top,0,0,0,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,CAL_FUL,STA_CAR,GoodwinField,D1,BW,20250215-GoodwinField-2,0841bea0-ec06-11ef-8eb4-059b2ff05ed0,87.35153,31.11937,NA,9.29559,NA,NA,NA,b3b89f96-1dd0-4e00-8c98-25968c668307,2025-02-16,01:33:31,2025-02-16T01:33:31Z,2025-02-16T01:33:31Z,NA,v3,471254,471454,15 February 2025 20:00-stanford@calstfull,"Ortega, Max",703672,Right,CAL_FUL,55.37429,-131.9157,15.97469,5.84523,-4.76825,-4.49611,0.70845,-3.61359,4.09055,NA,1.19821,-29.68159,-1.68157,NA,NA,NA,NA,NA,NA,2.64546,70.34074,-25.78872,NA,NA,NA,NA,NA,NA,0.77544,41.0541,4.58606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Low,Undefined,NA,NA,NA
5,2025-02-15,17:33:51,"Negrete, Mikiah",800626,Left,CAL_FUL,Undefined,Slider,NA,NA,82.78395,-0.385895,0.866883,2639.47711,198.136132,12:30:00,5.65081,-0.96276,5.22643,-36.32656,6.1326,1.50169,2.26077,-0.02259,74.75311,-7.060988,1.133337,0.468983,-0.46807,3.62032,0.88167,50,5.58839,-1.87872,-119.93457,-2.09486,-0.67023,26.86511,-26.99025,8a0b5174-7122-4db1-8498-268928551cba,NA,NA,NA,NA,-19.698351,695579,"Haskins, Trevor",1831.090429,NA,101.2672,Right,4.436114,NA,NA,NA,95.61158,89.83009,0.718097,-23.839692,1.24598,2.21743,-0.17104,NA,NA,NA,NA,NA,2,2,STA_CAR,1,Top,0,0,1,Slider,InPlay,Undefined,GroundBall,Single,0,0,NA,CAL_FUL,STA_CAR,GoodwinField,D1,BW,20250215-GoodwinField-2,13e972c0-ec06-11ef-8eb4-059b2ff05ed0,80.37058,3.73846,NA,8.03084,NA,NA,NA,b3b89f96-1dd0-4e00-8c98-25968c668307,2025-02-16,01:33:51,2025-02-16T01:33:51Z,2025-02-16T01:33:51Z,GroundBall,v3,471254,471454,15 February 2025 20:00-stanford@calstfull,"Ortega, Max",703672,Right,CAL_FUL,55.27107,-121.10953,13.43255,5.6542,-0.91443,-13.49513,0.9632,-1.84941,-0.33511,77.837696,1.329,137.84189,-25.08424,NA,NA,NA,NA,NA,NA,2.26532,10.5767,-19.20651,NA,NA,NA,NA,NA,NA,-0.12107,-50.87664,-3.94201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Medium,NA,NA,NA
6,2025-02-15,17:34:28,"Negrete, Mikiah",800626,Left,CAL_FUL,Undefined,Fastball,NA,NA,90.10985,-2.438788,2.619249,2302.685541,145.371817,10:45:00,5.86612,-0.70041,5.0868,-12.73879,23.35304,-15.19591,2.50208,0.50375,81.01698,-4.910023,-0.064069,0.43239,8.39808,12.76804,0.4651,50,5.6261,-5.24224,-130.31091,-5.91417,14.22367,31.21848,-10.54899,750ad694-19f8-4cbe-9a18-72c2af660785,NA,NA,NA,NA,NA,827685,"Sasaki, Rintaro",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,STA_CAR,1,Top,0,0,0,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,CAL_FUL,STA_CAR,GoodwinField,D1,BW,20250215-GoodwinField-2,2a30b9d0-ec06-11ef-8eb4-059b2ff05ed0,87.17228,NA,NA,9.09286,NA,NA,NA,b3b89f96-1dd0-4e00-8c98-25968c668307,2025-02-16,01:34:28,2025-02-16T01:34:28Z,2025-02-16T01:34:28Z,NA,v3,471254,471454,15 February 2025 20:00-stanford@calstfull,"Ortega, Max",703672,Right,CAL_FUL,55.41099,-131.60083,15.60924,5.86147,-5.4783,-5.27449,0.69385,-5.82995,7.11184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-02-15,17:34:59,"Negrete, Mikiah",800626,Left,CAL_FUL,Undefined,Slider,NA,NA,82.20434,-0.604344,1.911754,2574.832974,196.221429,12:30:00,5.7439,-0.76421,4.97216,-38.30238,5.76693,1.15996,1.98087,1.13887,73.39305,-7.626711,2.116482,0.477793,0.12362,3.55591,0.57844,50,5.65475,-4.01648,-118.8055,-2.64563,0.17146,29.02153,-27.24181,f85a4fc6-bdda-45f6-9f3e-4cf365eed677,NA,NA,NA,NA,-76.111624,827685,"Sasaki, Rintaro",NA,NA,58.14534,Left,-72.055455,NA,NA,NA,3.09062,3.09062,0.025862,-34.853169,2.37238,2.10774,-1.10358,NA,NA,NA,NA,NA,3,2,STA_CAR,1,Top,0,0,1,Slider,InPlay,Undefined,GroundBall,Out,1,0,NA,CAL_FUL,STA_CAR,GoodwinField,D1,BW,20250215-GoodwinField-2,3c6ab600-ec06-11ef-8eb4-059b2ff05ed0,78.8887,2.10774,NA,8.81129,NA,NA,NA,b3b89f96-1dd0-4e00-8c98-25968c668307,2025-02-16,01:34:59,2025-02-16T01:34:59Z,2025-02-16T01:34:59Z,GroundBall,v3,471254,471454,15 February 2025 20:00-stanford@calstfull,"Ortega, Max",703672,Right,CAL_FUL,55.52332,-120.14715,14.51076,5.74795,-1.38626,-13.62091,0.7643,-4.02441,0.08573,NA,2.37226,6.33534,NA,NA,NA,NA,NA,NA,NA,2.10928,-81.50024,NA,NA,NA,NA,NA,NA,NA,-1.10309,-25.62223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Estimated,Estimated,NA,NA,NA
8,2025-02-15,17:35:35,"Negrete, Mikiah",800626,Left,CAL_FUL,Undefined,Slider,NA,NA,83.4624,-1.126671,1.46004,2529.018743,212.881605,01:00:00,5.66768,-1.01954,5.00213,-36.24207,5.83177,2.79421,1.58342,0.59192,75.61626,-7.737843,1.953774,0.46685,-0.92079,3.67087,0.87682,50,5.53034,-3.20279,-120.85588,-3.71525,-1.34191,26.7777,-26.82437,74be3b1a-53f7-4a33-9220-7862eebec65c,NA,NA,NA,NA,NA,691793,"Saum, Charlie",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,STA_CAR,1,Top,1,0,0,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,CAL_FUL,STA_CAR,GoodwinField,D1,BW,20250215-GoodwinField-2,51ec8a30-ec06-11ef-8eb4-059b2ff05ed0,80.73777,NA,NA,7.84614,NA,NA,NA,b3b89f96-1dd0-4e00-8c98-25968c668307,2025-02-16,01:35:35,2025-02-16T01:35:35Z,2025-02-16T01:35:35Z,NA,v3,471254,471454,15 February 2025 20:00-stanford@calstfull,"Ortega, Max",703672,Right,CAL_FUL,55.49572,-122.06747,13.38885,5.67098,-2.50154,-13.41218,1.02036,-3.14208,-0.67095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-02-15,17:35:51,"Negrete, Mikiah",800626,Left,CAL_FUL,Undefined,Slider,NA,NA,82.99917,-1.869157,0.712234,2533.076085,208.861338,01:00:00,5.71644,-0.84123,5.08349,-36.34002,5.51209,2.30547,0.92546,0.02228,76.30804,-8.461261,1.12063,0.465618,-0.95886,3.61929,0.77186,50,5.51074,-1.59351,-120.39695,-5.25258,-1.40579,23.63047,-26.86785,6bfb46e3-267d-456a-85c3-0ab3cda9b4a2,NA,NA,NA,NA,NA,691793,"Saum, Charlie",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,STA_CAR,1,Top,1,0,1,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,CAL_FUL,STA_CAR,GoodwinField,D1,BW,20250215-GoodwinField-2,5b81d910-ec06-11ef-8eb4-059b2ff05ed0,80.95138,NA,NA,6.69113,NA,NA,NA,b3b89f96-1dd0-4e00-8c98-25968c668307,2025-02-16,01:35:51,2025-02-16T01:35:51Z,2025-02-16T01:35:51Z,NA,v3,471254,471454,15 February 2025 20:00-stanford@calstfull,"Ortega, Max",703672,Right,CAL_FUL,55.41732,-121.45556,11.81524,5.71908,-4.04894,-13.43393,0.84184,-1.53053,-0.7029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-02-15,17:36:09,"Negrete, Mikiah",800626,Left,CAL_FUL,Undefined,Slider,NA,NA,83.76061,-3.495916,1.980876,2520.640584,201.549198,12:45:00,5.58688,-1.00096,5.29552,-35.28817,5.86481,1.76961,-0.64218,1.0071,76.79858,-9.897425,2.295526,0.461713,-0.30559,4.33906,0.81931,50,5.24248,-4.26605,-121.25091,-8.6597,-0.45138,25.43199,-25.7648,6e1d5ee8-c89d-4e87-b2d1-00e0e2912f31,NA,NA,NA,NA,NA,691793,"Saum, Charlie",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,STA_CAR,1,Top,1,0,2,Slider,BallinDirt,Undefined,Undefined,Undefined,0,0,NA,CAL_FUL,STA_CAR,GoodwinField,D1,BW,20250215-GoodwinField-2,65f3cc50-ec06-11ef-8eb4-059b2ff05ed0,81.63611,NA,NA,6.96202,NA,NA,NA,b3b89f96-1dd0-4e00-8c98-25968c668307,2025-02-16,01:36:09,2025-02-16T01:36:09Z,2025-02-16T01:36:09Z,NA,v3,471254,471454,15 February 2025 20:00-stanford@calstfull,"Ortega, Max",703672,Right,CAL_FUL,55.20538,-122.33785,12.716,5.58906,-7.55853,-12.8824,1.00122,-4.24676,-0.22569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
