PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-15,14:05:36,"Martin, Trent",1000210590,Left,ORA_GOL,Undefined,Undefined,NA,NA,89.39857,-3.171585,2.99227,2395.880446,164.236196,11:30:00,5.77711,-1.21348,6.75993,-13.86894,20.05403,-5.35351,1.71776,1.07579,81.83595,-5.868584,2.017549,0.419197,3.65567,11.8167,1.0194,50,5.56331,-6.57863,-129.70007,-7.49331,6.22827,27.07985,-12.04165,a5e7fdb0-ff0a-4dd0-a972-7596f51d235a,NA,NA,NA,NA,NA,1000098984,"Terry, Gavin",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,ARK_LIO,1,Top,0,0,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,ORA_GOL,ARK_LIO,JLJohnsonStadium,D1,SUM,20250215-JLJohnsonStadium-1,220e71d0-ebd8-11ef-a947-6f46bca955b4,89.91575,NA,NA,7.56262,NA,NA,NA,b7f52c1d-9aa8-4e07-a279-7e2cc71e7a75,2025-02-15,20:05:36,2025-02-15T20:05:36Z,2025-02-15T20:05:36Z,NA,v3,471403,471509,15 February 2025 15:00-arkansaspb@oralrob,"Kane-Yates, Wailele",1000224435,Right,ORA_GOL,53.73775,-130.47814,13.53992,5.77364,-7.14733,-6.02083,1.21098,-6.75758,3.11414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-02-15,14:05:49,"Martin, Trent",1000210590,Left,ORA_GOL,Undefined,Undefined,NA,NA,90.38671,-1.072521,1.993027,2346.331271,159.113094,11:15:00,5.99454,-0.93194,6.41352,-15.30296,18.02174,-6.49804,3.73254,0.35963,83.02916,-4.012075,0.816179,0.415484,3.90622,9.99512,0.79225,50,5.91052,-4.31373,-131.40415,-2.85612,6.87026,26.30296,-14.59457,fb0bedcd-4f4b-4b47-8571-6feaa4e11a01,NA,NA,NA,NA,NA,1000098984,"Terry, Gavin",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,ARK_LIO,1,Top,0,0,1,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,ORA_GOL,ARK_LIO,JLJohnsonStadium,D1,SUM,20250215-JLJohnsonStadium-1,296d58b0-ebd8-11ef-a947-6f46bca955b4,90.7193,NA,NA,7.35754,NA,NA,NA,b7f52c1d-9aa8-4e07-a279-7e2cc71e7a75,2025-02-15,20:05:49,2025-02-15T20:05:49Z,2025-02-15T20:05:49Z,NA,v3,471403,471509,15 February 2025 15:00-arkansaspb@oralrob,"Kane-Yates, Wailele",1000224435,Right,ORA_GOL,54.08467,-132.21924,13.15148,5.99202,-2.40386,-7.29728,0.92923,-4.52663,3.43513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-02-15,14:06:01,"Martin, Trent",1000210590,Left,ORA_GOL,Undefined,Undefined,NA,NA,75.98883,-0.37971,1.896085,2250.724732,345.615185,05:30:00,5.95075,-0.78031,5.90129,-67.25031,-18.40997,5.13063,-0.00612,1.40804,70.08957,-12.587419,2.822154,0.502991,-2.05665,-9.04158,0.62482,50,5.88116,-3.83306,-110.40339,-2.83473,-2.50263,22.24329,-43.17622,4268c1e3-c46b-44c1-805e-c1c5ef9d4ef1,NA,NA,NA,NA,NA,1000098984,"Terry, Gavin",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,ARK_LIO,1,Top,0,0,2,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,ORA_GOL,ARK_LIO,JLJohnsonStadium,D1,SUM,20250215-JLJohnsonStadium-1,30ca91e0-ebd8-11ef-a947-6f46bca955b4,74.93654,NA,NA,5.89926,NA,NA,NA,b7f52c1d-9aa8-4e07-a279-7e2cc71e7a75,2025-02-15,20:06:01,2025-02-15T20:06:01Z,2025-02-15T20:06:01Z,NA,v3,471403,471509,15 February 2025 15:00-arkansaspb@oralrob,"Kane-Yates, Wailele",1000224435,Right,ORA_GOL,54.6028,-111.32686,11.12164,5.96164,-1.04218,-21.58811,0.7818,-3.72916,-1.25132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-02-15,14:06:17,"Martin, Trent",1000210590,Left,ORA_GOL,Undefined,Undefined,NA,NA,74.55599,3.909609,0.406898,2225.745771,332.121141,05:00:00,5.90083,-1.10874,5.77124,-64.45566,-13.18072,7.91654,4.17348,-0.07037,67.51019,-7.91209,1.824494,0.515376,-3.87689,-7.37119,1.07033,50,6.18583,-1.05905,-108.02308,5.33173,-4.51326,21.41145,-40.75521,49ce3f53-e9f3-4eff-90a6-748b35183b3d,NA,NA,NA,NA,NA,1000098984,"Terry, Gavin",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,ARK_LIO,1,Top,0,1,2,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,ORA_GOL,ARK_LIO,JLJohnsonStadium,D1,SUM,20250215-JLJohnsonStadium-1,3a507770-ebd8-11ef-a947-6f46bca955b4,73.13585,NA,NA,7.0458,NA,NA,NA,b7f52c1d-9aa8-4e07-a279-7e2cc71e7a75,2025-02-15,20:06:17,2025-02-15T20:06:17Z,2025-02-15T20:06:17Z,NA,v3,471403,471509,15 February 2025 15:00-arkansaspb@oralrob,"Kane-Yates, Wailele",1000224435,Right,ORA_GOL,54.72963,-108.95652,10.70573,5.91467,7.10846,-20.37761,1.11221,-0.86229,-2.25663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-02-15,14:06:31,"Martin, Trent",1000210590,Left,ORA_GOL,Undefined,Undefined,NA,NA,89.63261,-2.126763,2.362283,2232.770416,167.395192,11:30:00,5.86604,-1.00479,6.64552,-13.73839,20.38993,-4.29484,2.77195,0.80078,81.23194,-4.822183,1.581435,0.420464,2.99882,11.76272,0.84714,50,5.71663,-5.20357,-130.09547,-5.13261,5.08592,29.94516,-12.22481,15b938d3-9b4a-424d-8716-88be402dc904,NA,NA,NA,NA,-40.099223,1000098984,"Terry, Gavin",NA,NA,75.73622,Left,43.284417,86.53639,82.38489,-67.90754,262.06126,239.66024,4.93811,-37.321015,2.62831,3.96501,-0.58588,NA,NA,NA,NA,NA,1,5,ARK_LIO,1,Top,0,2,2,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,NA,ORA_GOL,ARK_LIO,JLJohnsonStadium,D1,SUM,20250215-JLJohnsonStadium-1,42631df0-ebd8-11ef-a947-6f46bca955b4,89.64489,89.44934,NA,8.40067,NA,NA,NA,b7f52c1d-9aa8-4e07-a279-7e2cc71e7a75,2025-02-15,20:06:31,2025-02-15T20:06:31Z,2025-02-15T20:06:31Z,FlyBall,v3,471403,471509,15 February 2025 15:00-arkansaspb@oralrob,"Kane-Yates, Wailele",1000224435,Right,ORA_GOL,53.85204,-130.97913,14.97258,5.86277,-4.77187,-6.11241,1.0029,-5.35365,2.54296,191.917907,2.63055,61.80541,-9.5911,2.02525,-0.19385,-0.03403,0.01373,-0.00163,7e-5,3.96407,76.17284,-19.23243,1.34642,-0.1562,-0.0268,0.01746,-0.00306,1.8e-4,-0.58789,-52.04027,9.94987,-2.25759,0.27326,0.01602,-0.01161,0.00155,-7e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Low,NA,NA,NA
6,2025-02-15,14:07:04,"Martin, Trent",1000210590,Left,ORA_GOL,Undefined,Undefined,NA,NA,88.91313,-2.183465,2.819601,2396.427604,169.882279,11:45:00,5.89669,-1.24481,6.69022,-15.55269,18.75481,-3.15378,2.60038,1.0731,81.4212,-5.187783,2.24606,0.421566,2.44429,10.83686,1.05798,50,5.74439,-6.24101,-129.11406,-5.29282,4.12846,26.73941,-13.87049,260e5f89-db7d-4043-bd6c-1030a266dcd5,NA,NA,NA,NA,NA,1000136902,"Gries-Smith, Eli",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,ARK_LIO,1,Top,1,0,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,ORA_GOL,ARK_LIO,JLJohnsonStadium,D1,SUM,20250215-JLJohnsonStadium-1,562d3000-ebd8-11ef-a947-6f46bca955b4,89.41046,NA,NA,7.49193,NA,NA,NA,b7f52c1d-9aa8-4e07-a279-7e2cc71e7a75,2025-02-15,20:07:04,2025-02-15T20:07:04Z,2025-02-15T20:07:04Z,NA,v3,471403,471509,15 February 2025 15:00-arkansaspb@oralrob,"Kane-Yates, Wailele",1000224435,Right,ORA_GOL,53.80779,-129.90025,13.36971,5.89402,-4.88499,-6.93525,1.24326,-6.36239,2.06423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-02-15,14:07:19,"Martin, Trent",1000210590,Left,ORA_GOL,Undefined,Undefined,NA,NA,88.41112,-1.622936,1.961771,2364.082955,166.793012,11:30:00,5.85145,-1.03478,6.57126,-15.04922,19.85836,-4.39453,3.10847,0.3979,80.64711,-4.545436,1.163546,0.425237,2.895,11.28091,0.9018,50,5.73334,-4.23752,-128.46802,-3.99671,4.82097,27.4973,-13.38834,f5a4bb6c-6b6a-44a9-995b-e9d35e4da5e4,NA,NA,NA,NA,-22.897615,1000136902,"Gries-Smith, Eli",2222.160587,NA,24.12967,Right,58.581516,NA,NA,NA,36.76135,29.60722,2.012112,-21.137745,2.42753,3.48836,-0.395,NA,NA,NA,NA,NA,2,2,ARK_LIO,1,Top,1,1,0,Four-Seam,InPlay,Undefined,Bunt,Out,1,0,NA,ORA_GOL,ARK_LIO,JLJohnsonStadium,D1,SUM,20250215-JLJohnsonStadium-1,5f08a4c0-ebd8-11ef-a947-6f46bca955b4,88.63862,17.5472,NA,7.76402,NA,NA,NA,b7f52c1d-9aa8-4e07-a279-7e2cc71e7a75,2025-02-15,20:07:19,2025-02-15T20:07:19Z,2025-02-15T20:07:19Z,GroundBall,v3,471403,471509,15 February 2025 15:00-arkansaspb@oralrob,"Kane-Yates, Wailele",1000224435,Right,ORA_GOL,53.92776,-129.30599,13.74865,5.84892,-3.58871,-6.69417,1.03318,-4.38444,2.41049,192.339669,2.42733,17.01166,-1.74403,1.62844,-1.95151,1.87332,-0.99311,0.25757,-0.02552,3.48802,30.23244,-17.30314,2.73452,-4.53789,5.5224,-3.6707,1.20081,-0.15275,-0.39485,-7.19005,1.21409,-1.15862,1.40162,-1.36047,0.73192,-0.19344,0.01965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Low,NA,NA,NA
8,2025-02-15,14:07:47,"Martin, Trent",1000210590,Left,ORA_GOL,Undefined,Undefined,NA,NA,88.73146,-3.759549,1.935224,2296.304936,171.523146,11:45:00,5.8777,-0.97277,6.71207,-16.04001,18.56371,-2.59587,1.0973,0.58069,81.10042,-6.847828,1.462268,0.423383,1.94185,11.27107,0.84552,50,5.62166,-4.25491,-128.7291,-8.84517,3.24514,27.74168,-13.33842,62ae19b0-5b80-4fa0-874c-a70ea57f2cb4,NA,NA,NA,NA,NA,1000069475,"Saumell, Michael",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,ARK_LIO,1,Top,2,0,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,ORA_GOL,ARK_LIO,JLJohnsonStadium,D1,SUM,20250215-JLJohnsonStadium-1,70034320-ebd8-11ef-a947-6f46bca955b4,89.02691,NA,NA,7.63104,NA,NA,NA,b7f52c1d-9aa8-4e07-a279-7e2cc71e7a75,2025-02-15,20:07:47,2025-02-15T20:07:47Z,2025-02-15T20:07:47Z,NA,v3,471403,471509,15 February 2025 15:00-arkansaspb@oralrob,"Kane-Yates, Wailele",1000224435,Right,ORA_GOL,53.78667,-129.54257,13.87084,5.87529,-8.4540400000000009,-6.66921,0.97168,-4.35007,1.62257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-02-15,14:07:59,"Martin, Trent",1000210590,Left,ORA_GOL,Undefined,Undefined,NA,NA,86.37702,-1.522676,0.387938,2285.381256,167.690518,11:30:00,5.82559,-1.29939,6.56095,-19.99662,16.63402,-3.36603,2.76286,-1.22423,78.73159,-5.351756,-0.224106,0.435606,1.87882,9.54461,1.27397,50,5.71199,-0.7237,-125.52732,-3.84867,2.9819,26.66952,-17.02582,9aeadf8f-30c1-4127-bb32-00ae9b23dc73,NA,NA,NA,NA,NA,1000069475,"Saumell, Michael",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,ARK_LIO,1,Top,2,1,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,ORA_GOL,ARK_LIO,JLJohnsonStadium,D1,SUM,20250215-JLJohnsonStadium-1,76f70c20-ebd8-11ef-a947-6f46bca955b4,86.52876,NA,NA,7.64543,NA,NA,NA,b7f52c1d-9aa8-4e07-a279-7e2cc71e7a75,2025-02-15,20:07:59,2025-02-15T20:07:59Z,2025-02-15T20:07:59Z,NA,v3,471403,471509,15 February 2025 15:00-arkansaspb@oralrob,"Kane-Yates, Wailele",1000224435,Right,ORA_GOL,53.93596,-126.36078,13.33476,5.82396,-3.31658,-8.51291,1.29804,-0.81689,1.49095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-02-15,14:08:11,"Martin, Trent",1000210590,Left,ORA_GOL,Undefined,Undefined,NA,NA,86.73567,-1.537241,0.004708,2150.767839,168.033566,11:30:00,5.9004,-1.15282,6.55664,-18.65186,17.82336,-3.51319,2.93628,-1.44127,78.73355,-5.130797,-0.633994,0.434681,1.83524,10.18142,1.15379,50,5.78616,0.12434,-125.99095,-3.84015,2.92297,27.78078,-15.95815,c1bec760-8467-4540-96d8-00c0353cf677,NA,NA,NA,NA,NA,1000069475,"Saumell, Michael",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,ARK_LIO,1,Top,2,2,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,ORA_GOL,ARK_LIO,JLJohnsonStadium,D1,SUM,20250215-JLJohnsonStadium-1,7e762530-ebd8-11ef-a947-6f46bca955b4,86.71295,NA,NA,8.00211,NA,NA,NA,b7f52c1d-9aa8-4e07-a279-7e2cc71e7a75,2025-02-15,20:08:11,2025-02-15T20:08:11Z,2025-02-15T20:08:11Z,NA,v3,471403,471509,15 February 2025 15:00-arkansaspb@oralrob,"Kane-Yates, Wailele",1000224435,Right,ORA_GOL,53.93901,-126.85652,13.89039,5.89806,-3.34294,-7.97908,1.15133,0.03327,1.46149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
