PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-05-16,14:14:28,"Whalen, Drew",10143355,Right,WES_HIL,Undefined,FourSeamFastBall,NA,NA,93.21592,-1.766052,-3.755904,2368.53076,224.46076,01:30:00,5.27551,2.2998,6.40309,-17.43387,14.12202,12.88985,2.19464,-0.08488,85.34453,-5.083618,-1.426336,0.404307,-7.73433,8.14953,-2.03582,50,5.14046,8.34718,-135.24863,-4.68437,-14.36006,28.84359,-17.04313,3889a567-23dd-4a72-8f6a-df8b10fdea11,NA,NA,NA,NA,NA,1000299295,"Collins, Drew",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,JAC_GAM,1,Top,0,0,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,WES_HIL,JAC_GAM,NickDenesField,D1,CUSA,20250516-NickDenesField-1,9b5e3da0-3281-11f0-8b29-77182b98512a,93.22717,NA,NA,7.87139,NA,NA,NA,f512d811-19ed-4d90-9e64-6ec9dc579077,2025-05-16,18:14:28,2025-05-16T18:14:28Z,2025-05-16T18:14:28Z,NA,v3,471490,471325,16 May 2025 17:00-jksonvilst@wkentucky,"Hvidsten, Kyle",1000230326,Right,WES_HIL,54.097410000000004,-136.11965,14.4218,5.27415,-4.1697,-8.52157,-2.29444,8.78083,-7.18003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-05-16,14:14:41,"Whalen, Drew",10143355,Right,WES_HIL,Undefined,FourSeamFastBall,NA,NA,95.24952,-3.081112,-4.27433,2475.376181,233.194433,01:45:00,5.33477,1.96398,6.51718,-15.81895,14.40831,17.95044,1.1787,-0.46953,87.07213,-6.106118,-1.024608,0.395704,-10.62473,8.71174,-1.67309,50,5.11229,9.58206,-138.01769,-7.89686,-20.49687,30.67663,-15.36766,991476fd-172c-47ef-9635-25ff60a619a6,NA,NA,NA,NA,NA,1000299295,"Collins, Drew",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,JAC_GAM,1,Top,0,0,1,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,WES_HIL,JAC_GAM,NickDenesField,D1,CUSA,20250516-NickDenesField-1,a35cbfe0-3281-11f0-8b29-77182b98512a,95.25407,NA,NA,8.17738,NA,NA,NA,f512d811-19ed-4d90-9e64-6ec9dc579077,2025-05-16,18:14:41,2025-05-16T18:14:41Z,2025-05-16T18:14:41Z,NA,v3,471490,471325,16 May 2025 17:00-jksonvilst@wkentucky,"Hvidsten, Kyle",1000230326,Right,WES_HIL,53.98465,-138.90051,15.33831,5.33319,-7.4546,-7.68383,-1.95733,10.17193,-10.24844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-05-16,14:14:59,"Whalen, Drew",10143355,Right,WES_HIL,Undefined,Splitter,NA,NA,87.9355,-2.386298,-4.310837,1831.712422,253.338277,02:30:00,5.29345,2.36915,6.09624,-29.16631,6.42827,18.11501,0.6482,-0.11607,81.59984,-7.768749,-1.053519,0.429401,-10.43052,4.20764,-2.04615,50,5.09351,8.90102,-127.55877,-6.29137,-17.40622,23.08392,-25.15245,d559461c-cd0b-4d24-85c8-993930391ee6,NA,NA,NA,NA,NA,1000299295,"Collins, Drew",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,JAC_GAM,1,Top,0,0,2,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,WES_HIL,JAC_GAM,NickDenesField,D1,CUSA,20250516-NickDenesField-1,ade4fa40-3281-11f0-8b29-77182b98512a,87.77909,NA,NA,6.33566,NA,NA,NA,f512d811-19ed-4d90-9e64-6ec9dc579077,2025-05-16,18:14:59,2025-05-16T18:14:59Z,2025-05-16T18:14:59Z,NA,v3,471490,471325,16 May 2025 17:00-jksonvilst@wkentucky,"Hvidsten, Kyle",1000230326,Right,WES_HIL,54.40711,-128.35384,11.54196,5.29528,-5.42506,-12.57623,-2.36305,9.50053,-8.70311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-05-16,14:15:13,"Whalen, Drew",10143355,Right,WES_HIL,Undefined,Cutter,NA,NA,90.92106,-1.201871,-1.810631,2443.251546,197.774165,12:30:00,5.37016,2.23629,6.25373,-25.1393,7.77835,2.20429,2.16615,0.74968,84.30547,-5.879796,-1.412312,0.412939,-1.58854,4.61563,-2.10287,50,5.26834,4.09351,-132.26674,-3.59541,-2.84975,24.86397,-23.89391,baf24708-934c-4ea2-a616-d81814645d69,NA,NA,NA,NA,-6.324532,1000299295,"Collins, Drew",NA,NA,81.72404,Right,-47.545485,NA,NA,NA,2.50799,2.50799,0.023306,-21.86603,0.44922,2.06569,-0.72589,NA,NA,NA,NA,NA,1,4,JAC_GAM,1,Top,0,1,2,Cutter,InPlay,Undefined,GroundBall,Out,1,0,NA,WES_HIL,JAC_GAM,NickDenesField,D1,CUSA,20250516-NickDenesField-1,b6295f20-3281-11f0-8b29-77182b98512a,91.27846,2.06569,NA,6.6156,NA,NA,NA,f512d811-19ed-4d90-9e64-6ec9dc579077,2025-05-16,18:15:13,2025-05-16T18:15:13Z,2025-05-16T18:15:13Z,GroundBall,v3,471490,471325,16 May 2025 17:00-jksonvilst@wkentucky,"Hvidsten, Kyle",1000230326,Right,WES_HIL,54.24825,-133.06294,12.43199,5.37123,-2.83027,-11.94696,-2.23542,4.18476,-1.42488,NA,0.44855,80.59364,NA,NA,NA,NA,NA,NA,NA,2.06643,-88.63226,NA,NA,NA,NA,NA,NA,NA,-0.72581,-8.93255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Estimated,Estimated,NA,NA,NA
5,2025-05-16,14:15:47,"Whalen, Drew",10143355,Right,WES_HIL,Undefined,Cutter,NA,NA,89.75123,-2.400442,-2.758291,2428.650004,213.641103,01:00:00,5.43265,2.19377,6.17383,-26.65478,7.16465,4.1778,0.99054,-0.00756,83.74853,-7.320303,-2.004825,0.418557,-2.79543,4.55126,-1.98704,50,5.23701,6.11767,-130.43198,-6.35484,-4.90183,22.83275,-24.19331,cfb07100-eb60-4d88-9bc3-6f938fc2027a,NA,NA,NA,NA,NA,801797,"Hornung, Carson",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,JAC_GAM,1,Top,1,0,0,Cutter,BallCalled,Undefined,Undefined,Undefined,0,0,NA,WES_HIL,JAC_GAM,NickDenesField,D1,CUSA,20250516-NickDenesField-1,ca8550f0-3281-11f0-8b29-77182b98512a,90.05336,NA,NA,6.0027,NA,NA,NA,f512d811-19ed-4d90-9e64-6ec9dc579077,2025-05-16,18:15:47,2025-05-16T18:15:47Z,2025-05-16T18:15:47Z,NA,v3,471490,471325,16 May 2025 17:00-jksonvilst@wkentucky,"Hvidsten, Kyle",1000230326,Right,WES_HIL,54.32824,-131.18746,11.41638,5.43404,-5.55433,-12.09666,-2.19214,6.27986,-2.45092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-05-16,14:15:59,"Whalen, Drew",10143355,Right,WES_HIL,Undefined,FourSeamFastBall,NA,NA,94.81124,-1.200622,-3.122066,2434.002661,221.151007,01:15:00,5.38468,2.19862,6.33024,-13.22367,17.1332,14.1958,3.1753,0.50378,87.19066,-3.743661,-0.557822,0.396552,-8.13622,9.48052,-1.97689,50,5.2903,6.90667,-137.74643,-3.24388,-15.7702,28.07019,-13.79827,ccdb9c74-b3e9-49e5-9bac-e00bd5de7704,NA,NA,NA,NA,NA,801797,"Hornung, Carson",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,JAC_GAM,1,Top,1,1,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,WES_HIL,JAC_GAM,NickDenesField,D1,CUSA,20250516-NickDenesField-1,d1f01eb0-3281-11f0-8b29-77182b98512a,95.0505,NA,NA,7.62058,NA,NA,NA,f512d811-19ed-4d90-9e64-6ec9dc579077,2025-05-16,18:15:59,2025-05-16T18:15:59Z,2025-05-16T18:15:59Z,NA,v3,471490,471325,16 May 2025 17:00-jksonvilst@wkentucky,"Hvidsten, Kyle",1000230326,Right,WES_HIL,54.1705,-138.5937,14.0351,5.38192,-2.82739,-6.89913,-2.19254,7.38267,-7.8851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-05-16,14:16:15,"Whalen, Drew",10143355,Right,WES_HIL,Undefined,FourSeamFastBall,NA,NA,93.58152,-2.749823,-4.282259,2385.718566,230.515184,01:45:00,5.3765,2.07225,6.26766,-18.95879,12.33949,13.87426,1.25236,-0.72695,86.44859,-6.308733,-1.782735,0.402654,-8.28256,7.37949,-1.76136,50,5.16282,9.58866,-135.69556,-7.13113,-15.6138,26.6193,-18.26268,6de94c0c-6986-47fa-b3f4-b694ccf27dd2,NA,NA,NA,NA,NA,801797,"Hornung, Carson",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,JAC_GAM,1,Top,1,2,0,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,WES_HIL,JAC_GAM,NickDenesField,D1,CUSA,20250516-NickDenesField-1,db259a50-3281-11f0-8b29-77182b98512a,93.61011,NA,NA,7.13293,NA,NA,NA,f512d811-19ed-4d90-9e64-6ec9dc579077,2025-05-16,18:16:15,2025-05-16T18:16:15Z,2025-05-16T18:16:15Z,NA,v3,471490,471325,16 May 2025 17:00-jksonvilst@wkentucky,"Hvidsten, Kyle",1000230326,Right,WES_HIL,54.23453,-136.52372,13.30965,5.37584,-6.56296,-9.13134,-2.06723,10.07442,-7.8069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-05-16,14:16:27,"Whalen, Drew",10143355,Right,WES_HIL,Undefined,FourSeamFastBall,NA,NA,92.88879,-1.752024,-4.021603,2348.40215,228.641036,01:30:00,5.33297,2.184,6.26055,-19.22997,12.48422,13.14434,2.11049,-0.43495,85.74178,-5.368254,-1.653349,0.40532,-7.81071,7.20307,-1.89154,50,5.19311,8.93329,-134.81392,-4.73314,-14.53592,26.23057,-18.76899,a8d23ce5-1e2c-4f36-b871-560fee0b78fe,NA,NA,NA,NA,NA,801797,"Hornung, Carson",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,JAC_GAM,1,Top,1,3,0,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,WES_HIL,JAC_GAM,NickDenesField,D1,CUSA,20250516-NickDenesField-1,e2ad17d0-3281-11f0-8b29-77182b98512a,92.99427,NA,NA,7.14701,NA,NA,NA,f512d811-19ed-4d90-9e64-6ec9dc579077,2025-05-16,18:16:27,2025-05-16T18:16:27Z,2025-05-16T18:16:27Z,NA,v3,471490,471325,16 May 2025 17:00-jksonvilst@wkentucky,"Hvidsten, Kyle",1000230326,Right,WES_HIL,54.24104,-135.63659,13.11529,5.33233,-4.14449,-9.3845,-2.17886,9.38918,-7.26796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-05-16,14:16:39,"Whalen, Drew",10143355,Right,WES_HIL,Undefined,FourSeamFastBall,NA,NA,93.02172,-1.948284,-3.967985,2362.736692,238.528463,02:00:00,5.30874,2.14713,6.32646,-19.87245,11.88564,17.80694,1.85348,-0.02902,85.29765,-5.698152,-0.753631,0.405601,-10.30288,7.00855,-1.865,50,5.15658,8.61806,-134.94041000000001,-5.21494,-19.06739,28.34246,-19.20343,d57b89b2-21fd-4500-b257-5bfaa9e929a4,NA,NA,NA,NA,NA,801797,"Hornung, Carson",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,JAC_GAM,1,Top,1,3,1,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,WES_HIL,JAC_GAM,NickDenesField,D1,CUSA,20250516-NickDenesField-1,e9d58560-3281-11f0-8b29-77182b98512a,92.92994,NA,NA,7.72406,NA,NA,NA,f512d811-19ed-4d90-9e64-6ec9dc579077,2025-05-16,18:16:39,2025-05-16T18:16:39Z,2025-05-16T18:16:39Z,NA,v3,471490,471325,16 May 2025 17:00-jksonvilst@wkentucky,"Hvidsten, Kyle",1000230326,Right,WES_HIL,54.17481,-135.81445,14.17123,5.30826,-4.62274,-9.60172,-2.13983,9.20607,-9.53369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-05-16,14:16:54,"Whalen, Drew",10143355,Right,WES_HIL,Undefined,FourSeamFastBall,NA,NA,93.54196,-0.884116,-3.454049,2431.122128,221.631301,01:30:00,5.3558,2.12658,6.54077,-13.65859,17.28387,14.55867,3.40515,0.16797,86.01392,-3.519699,-0.815199,0.400358,-8.55839,9.59544,-1.89311,50,5.2883,7.6303,-135.94047,-2.45358,-16.14566,27.52534,-14.07196,102e0ea5-3d82-493e-99a3-aa2e7694c2fb,NA,NA,NA,NA,-106.883582,801797,"Hornung, Carson",4879.816991,NA,84.75231,Left,51.538279,NA,NA,NA,NA,29.23484,NA,NA,0.7194,3.03902,0.10069,NA,NA,NA,NA,NA,2,6,JAC_GAM,1,Top,1,3,2,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,WES_HIL,JAC_GAM,NickDenesField,D1,CUSA,20250516-NickDenesField-1,f25ce6b0-3281-11f0-8b29-77182b98512a,94.14675,36.58833,NA,7.52804,NA,NA,NA,f512d811-19ed-4d90-9e64-6ec9dc579077,2025-05-16,18:16:54,2025-05-16T18:16:54Z,2025-05-16T18:16:54Z,NA,v3,471490,471325,16 May 2025 17:00-jksonvilst@wkentucky,"Hvidsten, Kyle",1000230326,Right,WES_HIL,53.96158,-136.74026,13.76267,5.35366,-2.04469,-7.03598,-2.12164,8.09944,-8.07283,36.761679,0.73777,-23.07314,-9.13736,NA,NA,NA,NA,NA,NA,3.06018,96.62861,-34.0446,NA,NA,NA,NA,NA,NA,0.08956,-73.61418,13.72285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Undefined,NA,NA,NA
