PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-23,13:04:55,"Siegel, Grant",701456,Right,UCF_KNI,Undefined,Sinker,NA,NA,90.17397,-2.70073,-2.695681,1544.78873,253.92699,02:30:00,5.56642,1.05419,5.5518,-29.19143,5.99859,16.61198,0.60558,-0.082170000000000007,82.09527,-8.068165,0.26933,0.426954,-9.22335,4.21083,-0.83224,50,5.31335,5.40849,-130.59381,-7.23994,-15.78735,29.77732,-24.96652,d08f89b9-0d42-4ae7-b29a-5a96a984a07d,NA,NA,NA,NA,NA,1000240490,"Zyons, Zac",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,BRY_BUL,1,Top,0,0,0,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,UCF_KNI,BRY_BUL,JohnEulianoPark,D1,BIG12,20250223-JohnEulianoPark-1,b0547be0-f210-11ef-bfa1-25f8fa1121a4,88.28219,NA,NA,8.0787,NA,NA,NA,b1d4c251-fc0b-4d36-9b96-345359b74731,2025-02-23,18:04:55,2025-02-23T18:04:55Z,2025-02-23T18:04:55Z,NA,v3,471267,471248,23 February 2025 13:00-bryant@ucf,"King, Dylan",695732,Right,UCF_KNI,54.94572,-131.71668,14.88866,5.56861,-6.29848,-12.48326,-1.04741,6.00381,-7.89367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-02-23,13:05:12,"Siegel, Grant",701456,Right,UCF_KNI,Undefined,Sinker,NA,NA,90.34753,-1.959811,-1.802048,1562.476143,247.00462,02:15:00,5.53121,1.19125,5.39634,-26.96375,8.44871,16.87875,1.44605,0.90853,81.6259,-6.945112,1.202246,0.428301,-9.118,5.23961,-1.04299,50,5.33765,3.35475,-130.872,-5.47128,-15.56434,31.68221,-23.2301,187a2810-b7db-4886-85b1-ce54b2c95014,NA,NA,NA,NA,-106.148586,1000240490,"Zyons, Zac",2623.730552,NA,77.73905,Left,45.920011,NA,NA,NA,NA,61.17639,NA,NA,2.81939,1.61513,-0.88006,NA,NA,NA,NA,NA,1,2,BRY_BUL,1,Top,0,1,0,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,UCF_KNI,BRY_BUL,JohnEulianoPark,D1,BIG12,20250223-JohnEulianoPark-1,ba20e050-f210-11ef-bfa1-25f8fa1121a4,88.00448,53.3023,NA,8.72162,NA,NA,NA,b1d4c251-fc0b-4d36-9b96-345359b74731,2025-02-23,18:05:12,2025-02-23T18:05:12Z,2025-02-23T18:05:12Z,NA,v3,471267,471248,23 February 2025 13:00-bryant@ucf,"King, Dylan",695732,Right,UCF_KNI,55.10087,-132.10108,15.84111,5.53243,-4.57009,-11.61505,-1.18485,3.95855,-7.78217,NA,2.81939,-22.06122,-3.62099,0.76428,0.11878,0.15802,-0.83992,0.86245,-0.29588,1.6151199999999999,81.9075,-27.50588,3.98365,-1.34392,0.06936,1.14451,-1.24983,0.4348,-0.88007,-76.18561,12.19354,-2.60116,-0.26753,-0.48274,2.45654,-2.51662,0.86285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Low,Undefined,NA,NA,NA
3,2025-02-23,13:05:33,"Siegel, Grant",701456,Right,UCF_KNI,Undefined,Sinker,NA,NA,91.25598,-2.053656,-3.937954,1880.704955,244.238153,02:15:00,5.49169,1.04305,5.69673,-25.59423,8.51394,15.25847,1.43975,-1.36085,83.09785,-6.798661,-1.214864,0.42034,-8.90993,5.27051,-0.72173,50,5.30299,8.41853,-132.12465,-5.6591,-15.66793,29.52149,-22.90597,d57b2ef6-6693-4359-861c-0e52982fb567,NA,NA,NA,NA,NA,1000240490,"Zyons, Zac",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,BRY_BUL,1,Top,0,1,1,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,UCF_KNI,BRY_BUL,JohnEulianoPark,D1,BIG12,20250223-JohnEulianoPark-1,c6aa1ad0-f210-11ef-bfa1-25f8fa1121a4,89.67133,NA,NA,8.15813,NA,NA,NA,b1d4c251-fc0b-4d36-9b96-345359b74731,2025-02-23,18:05:33,2025-02-23T18:05:33Z,2025-02-23T18:05:33Z,NA,v3,471267,471248,23 February 2025 13:00-bryant@ucf,"King, Dylan",695732,Right,UCF_KNI,54.80082,-133.19301,14.76075,5.49279,-4.83015,-11.45299,-1.03664,8.98554,-7.83396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-02-23,13:05:52,"Siegel, Grant",701456,Right,UCF_KNI,Undefined,Sinker,NA,NA,90.38227,-1.706246,-1.473323,1847.393443,239.997218,02:00:00,5.48556,1.21482,5.69896,-24.67222,9.88095,15.16328,1.83862,1.10524,82.5459,-6.288179,1.240494,0.423073,-8.12583,5.85382,-1.10076,50,5.32708,2.70719,-131.17112,-4.76911,-14.11134,28.58912,-22.0083,bc608132-7003-4b7a-ad04-117a5685d0d5,NA,NA,NA,NA,NA,1000240490,"Zyons, Zac",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,BRY_BUL,1,Top,0,2,1,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,UCF_KNI,BRY_BUL,JohnEulianoPark,D1,BIG12,20250223-JohnEulianoPark-1,d20bc540-f210-11ef-bfa1-25f8fa1121a4,89.09207,NA,NA,7.83638,NA,NA,NA,b1d4c251-fc0b-4d36-9b96-345359b74731,2025-02-23,18:05:52,2025-02-23T18:05:52Z,2025-02-23T18:05:52Z,NA,v3,471267,471248,23 February 2025 13:00-bryant@ucf,"King, Dylan",695732,Right,UCF_KNI,54.79849,-132.21283,14.29456,5.48624,-3.96719,-11.00415,-1.20877,3.22136,-7.05567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-02-23,13:06:13,"Siegel, Grant",701456,Right,UCF_KNI,Undefined,Fastball,NA,NA,91.09287,-1.931362,-1.549325,1910.289964,211.26643,01:00:00,5.52409,1.21906,5.68642,-16.6921,17.37442,9.86497,2.33162,0.59674,82.96315,-5.095876,0.214262,0.420083,-5.46233,9.72296,-1.09502,50,5.35129,3.13757,-132.15094,-4.97586,-9.62379,29.13672,-15.04373,e191d7d7-84ec-4dba-a58f-8ca7bb29681e,NA,NA,NA,NA,NA,1000240490,"Zyons, Zac",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,BRY_BUL,1,Top,0,3,1,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,UCF_KNI,BRY_BUL,JohnEulianoPark,D1,BIG12,20250223-JohnEulianoPark-1,de6defc0-f210-11ef-bfa1-25f8fa1121a4,89.72616,NA,NA,8.12972,NA,NA,NA,b1d4c251-fc0b-4d36-9b96-345359b74731,2025-02-23,18:06:13,2025-02-23T18:06:13Z,2025-02-23T18:06:13Z,NA,v3,471267,471248,23 February 2025 13:00-bryant@ucf,"King, Dylan",695732,Right,UCF_KNI,54.81038,-133.20731,14.56836,5.5218,-4.43044,-7.52187,-1.2151,3.48648,-4.81189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-02-23,13:06:32,"Siegel, Grant",701456,Right,UCF_KNI,Undefined,Sinker,NA,NA,92.37406,-1.839221,-1.402443,1810.31553,242.637095,02:00:00,5.5181,1.12278,5.45472,-25.19533,8.20898,13.75331,1.6957,0.95581,84.34085,-6.486265,1.048233,0.41598,-7.31882,4.99567,-1.00878,50,5.33875,2.64235,-133.99476,-5.25059,-13.26191,29.85536,-23.12175,a4eb5ab4-da4e-4dfe-92a3-54a8d60c8614,NA,NA,NA,NA,NA,1000240490,"Zyons, Zac",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,BRY_BUL,1,Top,0,3,2,Sinker,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,NA,UCF_KNI,BRY_BUL,JohnEulianoPark,D1,BIG12,20250223-JohnEulianoPark-1,ea24e620-f210-11ef-bfa1-25f8fa1121a4,90.61113,NA,NA,8.03321,NA,NA,NA,b1d4c251-fc0b-4d36-9b96-345359b74731,2025-02-23,18:06:32,2025-02-23T18:06:32Z,2025-02-23T18:06:32Z,NA,v3,471267,471248,23 February 2025 13:00-bryant@ucf,"King, Dylan",695732,Right,UCF_KNI,55.04238,-135.11359,14.92768,5.51928,-4.3841,-11.56087,-1.11712,3.13933,-6.63095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.86483,NA,NA,0.924487,NA,NA,NA,5.8998,5.89434,1.42981,73.46374,7.26335,-51.30142,5.94923,78.70735,-6.14548,5.90427,12.37288,-11.79367,1.34681,-64.81109,8.51071,High,High,High,NA,NA,High,Medium,High
7,2025-02-23,13:07:04,"Siegel, Grant",701456,Right,UCF_KNI,Undefined,Slider,NA,NA,79.78436,-0.034888,-0.17624,2308.964735,105.0306,09:30:00,5.50111,1.30725,5.29153,-40.26628,4.20189,-10.92379,2.11283,0.23146,73.90171,-7.360876,-2.117314,0.47995,5.48827,2.45327,-1.28273,50,5.46821,0.78526,-115.97026,-1.45194,7.53599,20.01089,-28.80543,6da96cfc-36a5-4aa4-a353-a15bc56e32ba,NA,NA,NA,NA,3.336642,1000156051,"Noriega, Gavin",5430.185138,NA,75.5438,Right,81.594565,NA,NA,NA,NA,16.74468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,BRY_BUL,1,Top,1,0,0,Slider,InPlay,Undefined,Popup,Out,1,0,NA,UCF_KNI,BRY_BUL,JohnEulianoPark,D1,BIG12,20250223-JohnEulianoPark-1,fd697480-f210-11ef-bfa1-25f8fa1121a4,78.53407,63.18497,NA,5.88265,NA,NA,NA,b1d4c251-fc0b-4d36-9b96-345359b74731,2025-02-23,18:07:04,2025-02-23T18:07:04Z,2025-02-23T18:07:04Z,NA,v3,471267,471248,23 February 2025 13:00-bryant@ucf,"King, Dylan",695732,Right,UCF_KNI,55.2087,-116.86558,10.00544,5.50434,-0.16314,-14.40272,-1.31032,0.44809,3.768,NA,9.24903,16.60034,5.47245,NA,NA,NA,NA,NA,NA,25.42099,108.76204,-35.44694,NA,NA,NA,NA,NA,NA,-0.50352,0.74381,-3.2551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Undefined,NA,NA,NA
8,2025-02-23,13:07:46,"Siegel, Grant",701456,Right,UCF_KNI,Undefined,Slider,NA,NA,79.05259,0.107239,-1.525605,2262.572886,81.842414,08:45:00,5.52912,1.23125,5.31883,-47.02215,-1.17087,-18.27363,1.71129,-1.72361,72.63096,-8.430195,-4.771789,0.487357,8.70508,-0.16374,-1.07956,50,5.50497,3.78988,-114.73299,-1.41715,11.54344,22.25366,-32.39115,f5224489-00c7-414f-893d-f75da3460647,NA,NA,NA,NA,NA,809582,"D'Amico, Pat",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,BRY_BUL,1,Top,2,0,0,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,UCF_KNI,BRY_BUL,JohnEulianoPark,D1,BIG12,20250223-JohnEulianoPark-1,166ea310-f211-11ef-bfa1-25f8fa1121a4,77.34052,NA,NA,6.42164,NA,NA,NA,b1d4c251-fc0b-4d36-9b96-345359b74731,2025-02-23,18:07:46,2025-02-23T18:07:46Z,2025-02-23T18:07:46Z,NA,v3,471267,471248,23 February 2025 13:00-bryant@ucf,"King, Dylan",695732,Right,UCF_KNI,55.1802,-115.73338,11.12683,5.53595,0.03896,-16.19557,-1.23827,3.27095,5.77172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-02-23,13:08:02,"Siegel, Grant",701456,Right,UCF_KNI,Undefined,Sinker,NA,NA,91.75391,-0.858971,-1.499809,1836.999056,230.553479,01:45:00,5.60625,1.051,5.52198,-22.38411,11.32024,12.43776,2.93751,0.68496,83.70402,-5.024603,0.717561,0.417844,-6.75508,6.28607,-0.92927,50,5.51672,2.93107,-133.18808,-2.79665,-12.10299,29.2863,-20.9114,c6e44d46-1d80-4938-a71a-54c76ca75586,NA,NA,NA,NA,-6.485935,809582,"D'Amico, Pat",999.236365,NA,83.30301,Right,6.157191,NA,NA,NA,89.10693,89.10693,0.789233,-7.728514,1.74753,2.70901,-0.67318,NA,NA,NA,NA,NA,3,2,BRY_BUL,1,Top,2,1,0,Sinker,InPlay,Undefined,GroundBall,Out,1,0,NA,UCF_KNI,BRY_BUL,JohnEulianoPark,D1,BIG12,20250223-JohnEulianoPark-1,1f9e0430-f211-11ef-bfa1-25f8fa1121a4,90.20693,4.66535,NA,8.04989,NA,NA,NA,b1d4c251-fc0b-4d36-9b96-345359b74731,2025-02-23,18:08:02,2025-02-23T18:08:02Z,2025-02-23T18:08:02Z,GroundBall,v3,471267,471248,23 February 2025 13:00-bryant@ucf,"King, Dylan",695732,Right,UCF_KNI,54.97637,-134.27786,14.64315,5.60631,-2.01851,-10.4557,-1.04672,3.38144,-6.0515,27.740472,1.74753,120.69529,-15.67526,2.53612,-0.56665,0.11665,-0.02636,0.00595,-8.9e-4,2.70901,13.10434,-22.64813,2.49824,-0.52553,0.11991,-0.02457,0.00496,-6.5e-4,-0.67318,-13.72148,-0.77245,0.01028,-0.01167,9.6e-4,-5.3e-4,2e-4,-4e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
10,2025-02-23,13:10:48,"Robbins, Clay",1000321253,Left,BRY_BUL,Undefined,Fastball,NA,NA,88.31646,-1.38665,3.119383,2013.008724,124.930147,10:15:00,5.88547,-1.44682,5.59169,-25.52242,10.60776,-13.60772,2.46171,0.33466,81.15696,-6.107472,0.693425,0.43262,7.73941,6.07347,1.18821,50,5.74977,-6.4004,-128.13115,-3.99213,12.92922,25.26443,-22.02789,66d5e48e-9ce5-4d47-9aa0-c379d661c3cc,NA,NA,NA,NA,-73.421297,702972,"Ross, DeAmez",NA,NA,73.18138,Left,-76.955407,NA,NA,NA,1.77981,1.77981,0.023431,-29.666352,1.38401,2.45821,-0.33505,NA,NA,NA,NA,NA,1,1,UCF_KNI,1,Bottom,0,0,0,Sinker,InPlay,Undefined,GroundBall,Out,1,0,NA,UCF_KNI,BRY_BUL,JohnEulianoPark,D1,BIG12,20250223-JohnEulianoPark-1,829b33f0-f211-11ef-bfa1-25f8fa1121a4,87.12597,2.45821,NA,7.1595,NA,NA,NA,b1d4c251-fc0b-4d36-9b96-345359b74731,2025-02-23,18:10:48,2025-02-23T18:10:48Z,2025-02-23T18:10:48Z,GroundBall,v3,471267,471248,23 February 2025 13:00-bryant@ucf,"Durand, Brandyn",1000090563,Right,BRY_BUL,54.90703,-129.09508,12.63221,5.88605,-3.15169,-11.01394,1.44181,-6.8937,6.46461,NA,1.38392,6.93551,NA,NA,NA,NA,NA,NA,NA,2.45953,-104.91165,NA,NA,NA,NA,NA,NA,NA,-0.33476,-23.29632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Estimated,Estimated,NA,NA,NA
