PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-03-07,18:06:00,"New, Cody",1000164613,Left,CAL_LAN,Undefined,Fastball,NA,NA,89.99636,-2.371779,2.185644,2030.474285,139.943076,10:45:00,6.13951,-2.43915,6.39219,-19.24454,14.26331,-11.1919,2.35154,-1.36061,83.29078,-5.999955,0.158364,0.416624,6.38992,8.33737,2.28707,50,5.95988,-4.55643,-130.81895,-5.98018,11.20112,24.6134,-17.55925,8ba2bbe0-aec2-4fb7-b47e-cb0de3c36307,NA,NA,NA,NA,NA,823297,"Spencer, Chase",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,AIR_FOR,1,Top,0,0,0,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,CAL_LAN,AIR_FOR,705-CalBaptistBaseballField,D1,WAC,20250307-705-CalBaptistBaseballField-1,e2595560-fbc1-11ef-8ffe-69c296140359,90.47108,NA,NA,6.70558,NA,NA,NA,93fefedc-168b-4ee4-8cb4-42933a12a4a6,2025-03-08,02:06:00,2025-03-08T02:06:00Z,2025-03-08T02:06:00Z,NA,v3,471762,471472,NA,"Spainhoward, Trevor",1000367101,Right,CAL_LAN,54.10761,-131.58953,12.3067,6.13849,-5.43046,-8.77962,2.4352,-4.9071,5.60056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-03-07,18:06:15,"New, Cody",1000164613,Left,CAL_LAN,Undefined,Fastball,NA,NA,89.57384,-2.984666,3.678277,2014.645385,150.84964,11:00:00,6.21013,-2.44076,6.39626,-15.12583,18.83966,-9.95386,2.19658,0.11721,82.7285,-5.874,1.879892,0.41946,6.10874,10.89127,2.1809,50,5.9881,-7.9665,-129.95169,-7.18002,10.56079,24.43225,-13.3452,f848126c-36da-4c8b-845f-f3b8394d9b3d,NA,NA,NA,NA,NA,823297,"Spencer, Chase",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,AIR_FOR,1,Top,0,0,1,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,CAL_LAN,AIR_FOR,705-CalBaptistBaseballField,D1,WAC,20250307-705-CalBaptistBaseballField-1,eb0e7d70-fbc1-11ef-8ffe-69c296140359,89.85947,NA,NA,6.84534,NA,NA,NA,93fefedc-168b-4ee4-8cb4-42933a12a4a6,2025-03-08,02:06:15,2025-03-08T02:06:15Z,2025-03-08T02:06:15Z,NA,v3,471762,471472,NA,"Spainhoward, Trevor",1000367101,Right,CAL_LAN,54.10317,-130.72085,12.21613,6.20753,-6.7599,-6.6726,2.43692,-8.29897,5.2804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-03-07,18:06:29,"New, Cody",1000164613,Left,CAL_LAN,Undefined,Curveball,NA,NA,78.29443,-0.384798,1.01733,2881.332384,302.467102,04:00:00,6.22744,-2.26327,5.58763,-54.29357,-8.32811,15.21906,1.34361,-0.04495,72.63884,-10.21746,3.741725,0.487963,-7.50642,-3.80374,2.16555,50,6.15844,-2.58722,-113.82484,-2.57336,-9.84865,20.87897,-37.16467,2973bce8-6265-458f-baf3-5aadf1dcd6d2,NA,NA,NA,NA,NA,823297,"Spencer, Chase",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,AIR_FOR,1,Top,0,0,2,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,CAL_LAN,AIR_FOR,705-CalBaptistBaseballField,D1,WAC,20250307-705-CalBaptistBaseballField-1,f34b8f50-fbc1-11ef-8ffe-69c296140359,77.24442,NA,NA,5.65559,NA,NA,NA,93fefedc-168b-4ee4-8cb4-42933a12a4a6,2025-03-08,02:06:29,2025-03-08T02:06:29Z,2025-03-08T02:06:29Z,NA,v3,471762,471472,NA,"Spainhoward, Trevor",1000367101,Right,CAL_LAN,54.91537,-114.72293,10.43948,6.23474,-0.97476,-18.58233,2.26773,-2.16359,-4.92432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-03-07,18:06:46,"New, Cody",1000164613,Left,CAL_LAN,Undefined,Slider,NA,NA,79.20067,0.745982,1.318687,2796.663047,287.334238,03:30:00,6.24802,-2.27963,5.33504,-49.13026,-3.80386,16.46143,2.85393,0.32955,73.1747,-8.160252,4.244199,0.48456,-7.96028,-1.76571,2.14816,50,6.27964,-3.29387,-115.06255,-0.206,-10.69122,20.98508,-34.54554,cf2b844b-65db-4649-91f5-4ff6331aec5f,NA,NA,NA,NA,-6.933451,823297,"Spencer, Chase",NA,NA,58.57191,Right,60.878507,NA,NA,NA,115.07555,113.64541,4.534748,-1.975263,1.12621,2.80313,-0.33824,NA,NA,NA,NA,NA,1,4,AIR_FOR,1,Top,0,1,2,Curveball,InPlay,Undefined,Popup,Out,1,0,NA,CAL_LAN,AIR_FOR,705-CalBaptistBaseballField,D1,WAC,20250307-705-CalBaptistBaseballField-1,fd7025e0-fbc1-11ef-8ffe-69c296140359,77.78701,79.93503,NA,6.02597,NA,NA,NA,93fefedc-168b-4ee4-8cb4-42933a12a4a6,2025-03-08,02:06:46,2025-03-08T02:06:46Z,2025-03-08T02:06:46Z,Popup,v3,471762,471472,NA,"Spainhoward, Trevor",1000367101,Right,CAL_LAN,55.16681,-116.00104,10.49254,6.2543,1.33894,-17.27277,2.28477,-2.81574,-5.34561,187.029579,1.12707,41.46486,-10.65396,2.89676,-0.08869,-0.28964,0.12019,-0.02063,0.00132,2.7907,75.33604,-22.35604,4.11438,-2.34496,1.00193,-0.24148,0.02889,-0.00133,-0.33787,-5.05152,3.15231,-1.07303,0.1979,0.00623,-0.01496,0.00338,-2.5e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA
5,2025-03-07,18:07:19,"New, Cody",1000164613,Left,CAL_LAN,Undefined,ChangeUp,NA,NA,82.38365,-0.970603,1.887585,2412.092273,192.084984,12:30:00,5.98677,-2.73065,5.80223,-32.38214,8.6602,1.59622,2.38498,-0.84147,76.09893,-6.942991,2.173619,0.461092,-0.3278,5.04949,2.57466,50,5.88763,-4.00657,-119.68726,-3.07015,-0.47865,21.65362,-24.80048,1923ad7b-ba48-4a19-becf-53e07b6c6723,NA,NA,NA,NA,NA,1000278692,"Garrish, Tripp",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,AIR_FOR,1,Top,1,0,0,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,CAL_LAN,AIR_FOR,705-CalBaptistBaseballField,D1,WAC,20250307-705-CalBaptistBaseballField-1,11196980-fbc2-11ef-8ffe-69c296140359,81.74604,NA,NA,6.28472,NA,NA,NA,93fefedc-168b-4ee4-8cb4-42933a12a4a6,2025-03-08,02:07:19,2025-03-08T02:07:19Z,2025-03-08T02:07:19Z,NA,v3,471762,471472,NA,"Spainhoward, Trevor",1000367101,Right,CAL_LAN,54.69632,-120.53392,10.82681,5.98871,-2.10045,-12.40024,2.73095,-3.98786,-0.23932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-03-07,18:07:31,"New, Cody",1000164613,Left,CAL_LAN,Undefined,Curveball,NA,NA,77.58267,1.251492,0.31763,2848.621781,308.190507,04:15:00,6.21752,-2.44768,5.47261,-57.61448,-10.72398,15.35753,2.58766,-0.87065,71.88285,-9.18692,3.058917,0.492849,-7.6715,-5.33748,2.409,50,6.28786,-1.21362,-112.80318,0.49779,-9.91604,19.91015,-39.07315,1d848f5b-37e3-446b-b605-97a1c09f82c9,NA,NA,NA,NA,NA,1000278692,"Garrish, Tripp",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,AIR_FOR,1,Top,1,0,1,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,CAL_LAN,AIR_FOR,705-CalBaptistBaseballField,D1,WAC,20250307-705-CalBaptistBaseballField-1,187d8080-fbc2-11ef-8ffe-69c296140359,76.47871,NA,NA,5.69981,NA,NA,NA,93fefedc-168b-4ee4-8cb4-42933a12a4a6,2025-03-08,02:07:31,2025-03-08T02:07:31Z,2025-03-08T02:07:31Z,NA,v3,471762,471472,NA,"Spainhoward, Trevor",1000367101,Right,CAL_LAN,55.03082,-113.68767,9.95508,6.2272,2.23358,-19.53658,2.45313,-0.7731,-4.95802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-03-07,18:07:45,"New, Cody",1000164613,Left,CAL_LAN,Undefined,Fastball,NA,NA,90.58872,-2.195298,3.377515,2121.403182,143.124213,10:45:00,6.3183,-2.35343,6.32493,-17.33316,15.91123,-11.21406,2.84768,-0.17392,83.63893,-5.479675,1.352606,0.414983,6.67304,9.13256,2.11175,50,6.14923,-7.31469,-131.5345,-5.54346,11.81698,25.07773,-16.00159,e635559c-bad0-4bd7-a329-4ded7a019b4f,NA,NA,NA,NA,NA,1000278692,"Garrish, Tripp",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,AIR_FOR,1,Top,1,0,2,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,CAL_LAN,AIR_FOR,705-CalBaptistBaseballField,D1,WAC,20250307-705-CalBaptistBaseballField-1,20c65230-fbc2-11ef-8ffe-69c296140359,90.82883,NA,NA,6.94979,NA,NA,NA,93fefedc-168b-4ee4-8cb4-42933a12a4a6,2025-03-08,02:07:45,2025-03-08T02:07:45Z,2025-03-08T02:07:45Z,NA,v3,471762,471472,NA,"Spainhoward, Trevor",1000367101,Right,CAL_LAN,54.17446,-132.32799,12.53886,6.31662,-5.03716,-8.00079,2.3491,-7.68859,5.90849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-03-07,18:08:04,"New, Cody",1000164613,Left,CAL_LAN,Undefined,Slider,NA,NA,81.79667,-2.529129,2.870341,2720.522639,275.413599,03:15:00,6.01637,-2.48413,5.61178,-42.74392,0.37638,12.42056,0.08929,1.23222,74.44546,-10.306813,5.088445,0.47262,-5.41209,1.40685,2.23027,50,5.77224,-6.41783,-118.37599,-6.6703,-7.51918,26.99516,-30.21946,0cbec9d1-bdae-4427-981a-07fa899907f3,NA,NA,NA,NA,NA,1000278692,"Garrish, Tripp",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,AIR_FOR,1,Top,1,0,2,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,NA,CAL_LAN,AIR_FOR,705-CalBaptistBaseballField,D1,WAC,20250307-705-CalBaptistBaseballField-1,2c476b80-fbc2-11ef-8ffe-69c296140359,79.75207,NA,NA,7.35121,NA,NA,NA,93fefedc-168b-4ee4-8cb4-42933a12a4a6,2025-03-08,02:08:04,2025-03-08T02:08:04Z,2025-03-08T02:08:04Z,NA,v3,471762,471472,NA,"Spainhoward, Trevor",1000367101,Right,CAL_LAN,54.88725,-119.48531,13.49758,6.02083,-5.42848,-15.10973,2.48765,-6.10885,-3.75959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-03-07,18:08:43,"New, Cody",1000164613,Left,CAL_LAN,Undefined,Fastball,NA,NA,93.01599,-3.210997,1.520689,2165.926369,150.068135,11:00:00,6.10693,-2.45327,6.43947,-13.58674,18.19123,-9.86882,2.01993,-1.87796,84.8444,-5.83745,-0.268849,0.405728,5.58504,10.74442,2.34939,50,5.87227,-3.17748,-134.98005,-7.91359,10.2678,30.34451,-12.42103,3d143de7-e8b4-4c0c-ad97-90402addd858,NA,NA,NA,NA,NA,1000088472,"Zapp, Walker",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,AIR_FOR,1,Top,2,0,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,CAL_LAN,AIR_FOR,705-CalBaptistBaseballField,D1,WAC,20250307-705-CalBaptistBaseballField-1,4362f280-fbc2-11ef-8ffe-69c296140359,92.90087,NA,NA,8.17159,NA,NA,NA,93fefedc-168b-4ee4-8cb4-42933a12a4a6,2025-03-08,02:08:43,2025-03-08T02:08:43Z,2025-03-08T02:08:43Z,NA,v3,471762,471472,NA,"Spainhoward, Trevor",1000367101,Right,CAL_LAN,54.05811,-135.88929,15.17226,6.10381,-7.54141,-6.21052,2.44921,-3.48514,5.1339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-03-07,18:08:59,"New, Cody",1000164613,Left,CAL_LAN,Undefined,Fastball,NA,NA,91.29991,-3.126304,1.856635,2157.536444,137.629947,10:30:00,6.22489,-2.33867,6.31701,-18.91576,14.15658,-11.93985,1.76471,-1.623,83.58004,-6.703436,-0.304163,0.413908,6.74792,8.57792,2.20836,50,5.98683,-3.81189,-132.49505,-7.79652,11.97925,28.66121,-16.94612,6b940280-c41e-4d54-aa20-0bd48e5dc652,NA,NA,NA,NA,NA,1000088472,"Zapp, Walker",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,AIR_FOR,1,Top,2,1,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,CAL_LAN,AIR_FOR,705-CalBaptistBaseballField,D1,WAC,20250307-705-CalBaptistBaseballField-1,4cdf3b20-fbc2-11ef-8ffe-69c296140359,91.06475,NA,NA,7.71987,NA,NA,NA,93fefedc-168b-4ee4-8cb4-42933a12a4a6,2025-03-08,02:08:59,2025-03-08T02:08:59Z,2025-03-08T02:08:59Z,NA,v3,471762,471472,NA,"Spainhoward, Trevor",1000367101,Right,CAL_LAN,54.18157,-133.39654,14.3306,6.22367,-7.26351,-8.47306,2.33418,-4.18868,5.98962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
