PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-26,12:02:28,"Finley, Leighton",803287,Right,GEO_BUL,Undefined,FourSeamFastBall,NA,NA,93.66404,-1.57628,-3.791857,2076.380475,217.769723,01:15:00,5.63576,2.34831,6.23515,-15.85532,15.92776,11.49174,2.85677,-0.19723,84.83831,-4.621574,-1.722295,0.40576,-7.05024,9.03284,-2.07031,50,5.50987,8.49242,-135.70815,-4.18782,-13.04283,31.91356,-15.46342,1ba92ab4-bbb0-44ff-8543-1faa3e2c8be8,NA,NA,NA,NA,NA,1000220775,"Gambill, Trey",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,OKL_SOO,1,Top,0,0,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,GEO_BUL,OKL_SOO,UGeorgia,D1,SEC,20250426-UGeorgia-1,da8da1c0-22b7-11f0-b19c-eb6fb0fe3fae,92.89335,NA,NA,8.82573,NA,NA,NA,973da97c-9eff-417c-a2e9-28518766bde9,2025-04-26,16:02:28,2025-04-26T16:02:28Z,2025-04-26T16:02:28Z,NA,v3,226,4244,26 April 2025 12:00-oklahoma@georgia,"Hunter, Henry",802001,Right,GEO_BUL,54.26313,-136.707,15.95678,5.63337,-3.70384,-7.73171,-2.3425,8.90065,-6.52142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-04-26,12:02:45,"Finley, Leighton",803287,Right,GEO_BUL,Undefined,ChangeUp,NA,NA,83.61532,2.072516,-2.485445,1234.353012,281.938406,03:30:00,5.34989,2.52974,6.50631,-40.64581,-1.56787,13.1669,3.86749,1.34443,76.43567,-5.508781,-0.096923,0.449922,-7.53233,-0.9663,-2.36095,50,5.4779,4.77924,-121.46071,3.14752,-11.24413,23.95007,-33.61651,39c5ffb9-0b7d-4015-8118-96ec67cd8919,NA,NA,NA,NA,NA,1000220775,"Gambill, Trey",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,OKL_SOO,1,Top,0,0,1,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,GEO_BUL,OKL_SOO,UGeorgia,D1,SEC,20250426-UGeorgia-1,e4ec3410-22b7-11f0-b19c-eb6fb0fe3fae,83.77551,NA,NA,7.17964,NA,NA,NA,973da97c-9eff-417c-a2e9-28518766bde9,2025-04-26,16:02:45,2025-04-26T16:02:45Z,2025-04-26T16:02:45Z,NA,v3,226,4244,26 April 2025 12:00-oklahoma@georgia,"Hunter, Henry",802001,Right,GEO_BUL,53.99507,-122.24593,11.97504,5.35664,4.24967,-16.80826,-2.52369,5.14788,-5.62206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-04-26,12:03:03,"Finley, Leighton",803287,Right,GEO_BUL,Undefined,Slider,NA,NA,85.02748,-0.755202,-1.466825,2485.469393,138.942564,10:45:00,5.43393,2.59119,5.62718,-27.45789,11.57371,-9.01646,2.44079,0.47078,77.92005,-5.844285,-3.076309,0.449655,4.14307,6.45713,-2.46042,50,5.35209,3.53969,-123.42826,-2.5382,6.39188,24.54656,-22.21209,251ff965-1e11-4de3-9939-7ba98e91a5a1,NA,NA,NA,NA,NA,1000220775,"Gambill, Trey",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,OKL_SOO,1,Top,0,1,1,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,GEO_BUL,OKL_SOO,UGeorgia,D1,SEC,20250426-UGeorgia-1,efc351c0-22b7-11f0-b19c-eb6fb0fe3fae,83.82524,NA,NA,7.10742,NA,NA,NA,973da97c-9eff-417c-a2e9-28518766bde9,2025-04-26,16:03:03,2025-04-26T16:03:03Z,2025-04-26T16:03:03Z,NA,v3,226,4244,26 April 2025 12:00-oklahoma@georgia,"Hunter, Henry",802001,Right,GEO_BUL,54.87184,-124.39336,12.27328,5.43472,-1.66489,-11.10605,-2.59465,3.28838,3.19594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-04-26,12:03:23,"Finley, Leighton",803287,Right,GEO_BUL,Undefined,Slider,NA,NA,84.99699,0.28611,-2.039635,2580.773666,110.003519,09:45:00,5.44852,2.54471,5.71452,-34.20285,4.91437,-10.03961,2.865,-0.19287,77.60947,-6.025631,-3.833511,0.450148,4.53922,2.76736,-2.36752,50,5.45124,4.79999,-123.36137,-0.54607000000000006,6.95477,25.85337,-27.93404,e267f320-e12b-4ae8-a443-da1aae6db9b8,NA,NA,NA,NA,NA,1000220775,"Gambill, Trey",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,OKL_SOO,1,Top,0,1,2,Slider,FoulBallFieldable,Undefined,Undefined,Undefined,0,0,NA,GEO_BUL,OKL_SOO,UGeorgia,D1,SEC,20250426-UGeorgia-1,fbaf61e0-22b7-11f0-b19c-eb6fb0fe3fae,83.7334,NA,NA,7.38752,NA,NA,NA,973da97c-9eff-417c-a2e9-28518766bde9,2025-04-26,16:03:23,2025-04-26T16:03:23Z,2025-04-26T16:03:23Z,NA,v3,226,4244,26 April 2025 12:00-oklahoma@georgia,"Hunter, Henry",802001,Right,GEO_BUL,54.78659,-124.36047,12.92668,5.45149,0.53343,-13.96702,-2.54782,4.53122,3.47739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-04-26,12:04:09,"Finley, Leighton",803287,Right,GEO_BUL,Undefined,Slider,NA,NA,84.56799,-1.00706,-2.57246,2499.627678,110.06421,09:45:00,5.32057,2.79819,5.3396,-33.79817,6.08296,-13.35371,1.55823,-0.7296,77.9071,-7.166105,-4.9404960000000004,0.454522,6.025,3.68878,-2.55597,50,5.20539,6.07387,-122.68319,-3.36747,9.19345,24.00361,-26.54539,02d35ae4-a5e8-4889-9e59-77b143f4bf1e,NA,NA,NA,NA,NA,1000220775,"Gambill, Trey",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,OKL_SOO,1,Top,0,1,2,Slider,StrikeCalled,Strikeout,Undefined,Undefined,0,0,NA,GEO_BUL,OKL_SOO,UGeorgia,D1,SEC,20250426-UGeorgia-1,1701b4c0-22b8-11f0-b19c-eb6fb0fe3fae,82.92762,NA,NA,6.66088,NA,NA,NA,973da97c-9eff-417c-a2e9-28518766bde9,2025-04-26,16:04:09,2025-04-26T16:04:09Z,2025-04-26T16:04:09Z,NA,v3,226,4244,26 April 2025 12:00-oklahoma@georgia,"Hunter, Henry",802001,Right,GEO_BUL,55.16193,-123.68902,12.00181,5.32319,-2.25512,-13.27269,-2.80242,5.68864,4.59672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-04-26,12:04:28,"Finley, Leighton",803287,Right,GEO_BUL,Undefined,FourSeamFastBall,NA,NA,94.67799,-1.051129,-4.487972,2102.410753,236.903797,02:00:00,5.59022,2.43581,6.47803,-20.88836,10.05296,13.74891,2.88121,-0.54813,85.53177,-5.019817,-2.003013,0.400351,-8.50918,5.9074,-2.12463,50,5.50685,10.16854,-137.11192,-3.16773,-16.01693,33.49035,-21.0545,cd0eadd3-bd44-4721-ab7b-51f0c0e0957b,NA,NA,NA,NA,NA,806261,"Willits, Jaxon",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,OKL_SOO,1,Top,1,0,0,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,GEO_BUL,OKL_SOO,UGeorgia,D1,SEC,20250426-UGeorgia-1,226497b0-22b8-11f0-b19c-eb6fb0fe3fae,94.14854,NA,NA,9.14622,NA,NA,NA,973da97c-9eff-417c-a2e9-28518766bde9,2025-04-26,16:04:28,2025-04-26T16:04:28Z,2025-04-26T16:04:28Z,NA,v3,226,4244,26 April 2025 12:00-oklahoma@georgia,"Hunter, Henry",802001,Right,GEO_BUL,54.02009,-138.09036,16.74518,5.59041,-2.55261,-10.52725,-2.42854,10.63648,-8.00846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-04-26,12:04:52,"Finley, Leighton",803287,Right,GEO_BUL,Undefined,ChangeUp,NA,NA,83.35967,0.331838,-0.414805,1214.541507,281.696873,03:30:00,5.18576,2.68257,6.34642,-41.54002,-1.81693,15.06524,2.02959,3.55614,76.10189,-7.386522,2.316458,0.453621,-7.91894,-0.59874,-2.65882,50,5.19104,0.30443,-121.17476,-0.60916,-11.67505,25.54007,-33.05677,7a9d7d5a-130a-4815-b010-4008855bbae1,NA,NA,NA,NA,NA,806261,"Willits, Jaxon",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,OKL_SOO,1,Top,1,0,1,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,GEO_BUL,OKL_SOO,UGeorgia,D1,SEC,20250426-UGeorgia-1,3064bac0-22b8-11f0-b19c-eb6fb0fe3fae,83.09242,NA,NA,7.25779,NA,NA,NA,973da97c-9eff-417c-a2e9-28518766bde9,2025-04-26,16:04:52,2025-04-26T16:04:52Z,2025-04-26T16:04:52Z,NA,v3,226,4244,26 April 2025 12:00-oklahoma@georgia,"Hunter, Henry",802001,Right,GEO_BUL,54.1545,-122.04726,12.77004,5.19257,0.52013,-16.52838,-2.67603,0.70328,-5.83752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-04-26,12:05:12,"Finley, Leighton",803287,Right,GEO_BUL,Undefined,FourSeamFastBall,NA,NA,94.79813,-0.81478,-4.853526,2097.925865,230.042553,01:45:00,5.58153,2.35754,6.71909,-18.50218,12.16808,13.20678,3.29218,-0.98902,85.38574,-4.37219,-2.458357,0.398593,-8.57091,7.0094900000000004,-2.04054,50,5.5201,11.13211,-137.29484,-2.47563,-16.11558,34.62914,-18.99437,99490eca-8133-4847-84b1-634f9833d38f,NA,NA,NA,NA,NA,806261,"Willits, Jaxon",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,OKL_SOO,1,Top,1,1,1,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,GEO_BUL,OKL_SOO,UGeorgia,D1,SEC,20250426-UGeorgia-1,3c4dbda0-22b8-11f0-b19c-eb6fb0fe3fae,94.56367,NA,NA,9.41239,NA,NA,NA,973da97c-9eff-417c-a2e9-28518766bde9,2025-04-26,16:05:12,2025-04-26T16:05:12Z,2025-04-26T16:05:12Z,NA,v3,226,4244,26 April 2025 12:00-oklahoma@georgia,"Hunter, Henry",802001,Right,GEO_BUL,53.78131,-138.24529,17.31457,5.58089,-1.9543,-9.49719,-2.35215,11.57443,-8.05779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-04-26,12:05:35,"Finley, Leighton",803287,Right,GEO_BUL,Undefined,Slider,NA,NA,85.53302,-0.647037,-1.818646,2535.249102,94.547819,09:15:00,5.46303,2.54365,5.51736,-36.63518,2.46445,-14.52143,1.80476,-0.36756,77.96815,-7.357534,-4.406008,0.450047,6.8143,1.80362,-2.37502,50,5.3821,4.54778,-124.06322,-2.70855,10.5057,27.32639,-29.39338,291c8e65-ddc8-4aef-a343-577cb724a9e1,NA,NA,NA,NA,32.453973,806261,"Willits, Jaxon",NA,NA,73.69418,Left,-9.092341,NA,NA,NA,12.28429,12.28429,0.105961,30.210178,1.19688,1.7737,0.31836,NA,NA,NA,NA,NA,2,4,OKL_SOO,1,Top,1,2,1,Slider,InPlay,Undefined,GroundBall,Out,1,0,NA,GEO_BUL,OKL_SOO,UGeorgia,D1,SEC,20250426-UGeorgia-1,4a15b9b0-22b8-11f0-b19c-eb6fb0fe3fae,83.75228,1.7737,NA,7.56487,NA,NA,NA,973da97c-9eff-417c-a2e9-28518766bde9,2025-04-26,16:05:35,2025-04-26T16:05:35Z,2025-04-26T16:05:35Z,GroundBall,v3,226,4244,26 April 2025 12:00-oklahoma@georgia,"Hunter, Henry",802001,Right,GEO_BUL,54.98374,-125.15613,13.6632,5.46692,-1.53297,-14.69669,-2.54851,4.12761,5.25285,146.287527,1.19696,90.04866,-10.93213,NA,NA,NA,NA,NA,NA,1.77346,-17.05005,2.97625,NA,NA,NA,NA,NA,NA,0.31864,57.23737,-18.05201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,High,NA,NA,NA
10,2025-04-26,12:06:15,"Finley, Leighton",803287,Right,GEO_BUL,Undefined,FourSeamFastBall,NA,NA,94.98196,-1.061056,-4.271841,2251.058622,243.891312,02:15:00,5.70794,2.35886,6.34588,-21.45832,9.15575,16.64395,2.94011,-0.19406,86.53147,-5.106719,-1.268705,0.398228,-9.87099,5.37048,-2.05532,50,5.6205,9.57827,-137.71595,-3.25247,-18.90797,31.32179,-21.88686,c60cdfe9-38ff-4754-a462-7da39e6a5dfc,NA,NA,NA,NA,NA,702695,"Carmichael, Easton",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,OKL_SOO,1,Top,2,0,0,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,GEO_BUL,OKL_SOO,UGeorgia,D1,SEC,20250426-UGeorgia-1,620866d0-22b8-11f0-b19c-eb6fb0fe3fae,94.65034,NA,NA,8.45048,NA,NA,NA,973da97c-9eff-417c-a2e9-28518766bde9,2025-04-26,16:06:15,2025-04-26T16:06:15Z,2025-04-26T16:06:15Z,NA,v3,226,4244,26 April 2025 12:00-oklahoma@georgia,"Hunter, Henry",802001,Right,GEO_BUL,54.15523,-138.65779,15.6609,5.7084,-2.59434,-10.94343,-2.35188,10.14683,-9.45399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
