PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-15,14:05:06,"Hill, James",1000076699,Right,USF_BUL,Undefined,Slider,NA,NA,82.36591,-0.733706,-1.461757,2305.963152,212.836737,01:00:00,6.10568,1.33183,5.781,-33.97191,7.40004,3.92918,2.59177,0.2989,75.51741,-7.011538,-0.757494,0.46294,-2.4111,4.38591,-1.2136,50,6.02474,2.89614,-119.59786,-2.63591,-3.48898,23.26427,-25.8274,3103d893-900b-485f-b26b-14e22fa5d54a,NA,NA,NA,NA,NA,1000113202,"Wilmes, Ben",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,IOW_HAW,1,Top,0,0,0,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,USF_BUL,IOW_HAW,USFBaseballStadium,D1,AMER,20250215-USFBaseballStadium-1,ea6044f0-ebcf-11ef-a527-b55e7c7ee725,81.41979,NA,NA,6.84851,NA,NA,NA,751a0578-81f4-487a-87c3-98c5a50ec348,2025-02-15,19:05:06,2025-02-15T19:05:06Z,2025-02-15T19:05:06Z,NA,v3,471443,1232,15 February 2025 14:00-iowa@sflorida,"Trippel, Lance",804841,Right,USF_BUL,54.71787,-120.5121,11.63214,6.10838,-1.62096,-12.9137,-1.3301,3.03325,-1.74449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-02-15,14:05:20,"Hill, James",1000076699,Right,USF_BUL,Undefined,Slider,NA,NA,82.38263,-1.61403,-3.121725,2354.914389,134.218262,10:30:00,6.03176,1.12305,5.77318,-38.65144,3.27095,-1.86949,1.30621,-1.94061,75.06948,-8.715687,-3.45634,0.466009,-0.02594,2.6002,-0.86369,50,5.87495,6.58225,-119.33483,-4.64602,-0.03693,25.60855,-28.47076,08e3a42c-1008-4522-bd68-558ef8fbe7d3,NA,NA,NA,NA,NA,1000113202,"Wilmes, Ben",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,IOW_HAW,1,Top,0,0,1,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,USF_BUL,IOW_HAW,USFBaseballStadium,D1,AMER,20250215-USFBaseballStadium-1,f2d1fb60-ebcf-11ef-a527-b55e7c7ee725,80.88348,NA,NA,7.31316,NA,NA,NA,751a0578-81f4-487a-87c3-98c5a50ec348,2025-02-15,19:05:20,2025-02-15T19:05:20Z,2025-02-15T19:05:20Z,NA,v3,471443,1232,15 February 2025 14:00-iowa@sflorida,"Trippel, Lance",804841,Right,USF_BUL,54.72542,-120.34461,12.80428,6.03601,-3.52339,-14.23538,-1.12327,6.5837,-0.01847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-02-15,14:05:38,"Hill, James",1000076699,Right,USF_BUL,Undefined,Curveball,NA,NA,76.74285,-0.545678,-1.010946,2424.030675,1.696246,06:00:00,6.33663,0.72232,5.62959,-49.57522,-1.2474,-0.08551,1.69612,-0.22819,70.19599,-9.608929,-1.026258,0.500346,-0.26965,-0.025,-0.63618,50,6.25829,1.96851,-111.37487,-2.64767,-0.33499,22.0541,-32.2051,a193c2ad-afc7-4854-89bf-14507740dbbb,NA,NA,NA,NA,10.352605,1000113202,"Wilmes, Ben",2072.545118,NA,96.44961,Right,14.650541,107.55296,20.85357,23.07257,251.26178,251.10528,2.459117,15.150863,1.22965,1.70314,0.22286,NA,NA,NA,NA,NA,1,3,IOW_HAW,1,Top,0,1,1,Curveball,InPlay,Undefined,LineDrive,Single,0,0,NA,USF_BUL,IOW_HAW,USFBaseballStadium,D1,AMER,20250215-USFBaseballStadium-1,fd5e7b80-ebcf-11ef-a527-b55e7c7ee725,75.33282,21.83746,NA,6.54686,NA,NA,NA,751a0578-81f4-487a-87c3-98c5a50ec348,2025-02-15,19:05:38,2025-02-15T19:05:38Z,2025-02-15T19:05:38Z,LineDrive,v3,471443,1232,15 February 2025 14:00-iowa@sflorida,"Trippel, Lance",804841,Right,USF_BUL,54.87072,-112.33522,11.02705,6.34305,-1.2453,-16.10255,-0.72222,1.9831,-0.1675,225.81439,1.22974,134.62731,-22.24528,4.56345,-0.99207,0.27713,-0.09369,0.0219,-0.00219,1.703,35.78488,-17.36985,1.66176,-0.36142,-0.0243,0.06763,-0.02287,0.00262,0.22302,24.58704,0.80357,-0.07903,7.1e-4,0.11696,-0.09124,0.02768,-0.00308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
4,2025-02-15,14:06:16,"Hill, James",1000076699,Right,USF_BUL,Undefined,Fastball,NA,NA,87.83037,-3.682299,-1.585158,2264.041719,220.020844,01:15:00,6.03235,1.36309,6.11615,-17.2584,18.99092,14.89812,1.18356,1.13862,79.97402,-6.971937,1.100698,0.433333,-8.13626,11.26327,-1.24904,50,5.74052,2.91351,-127.28156,-8.6587,-13.25747,27.76799,-13.82134,3baa146d-59e4-4e0a-8ed8-be2dca29ee46,NA,NA,NA,NA,NA,1000236672,"Mitchell, Gable",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,IOW_HAW,1,Top,0,0,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,USF_BUL,IOW_HAW,USFBaseballStadium,D1,AMER,20250215-USFBaseballStadium-1,14045d50-ebd0-11ef-a527-b55e7c7ee725,86.9827,NA,NA,7.85635,NA,NA,NA,751a0578-81f4-487a-87c3-98c5a50ec348,2025-02-15,19:06:16,2025-02-15T19:06:16Z,2025-02-15T19:06:16Z,NA,v3,471443,1232,15 February 2025 14:00-iowa@sflorida,"Trippel, Lance",804841,Right,USF_BUL,54.38237,-128.23406,13.884,6.0294,-8.1846,-6.91067,-1.35678,3.36827,-6.62874,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Medium,Medium,Medium,NA,NA,NA,NA,NA
5,2025-02-15,14:06:49,"Hill, James",1000076699,Right,USF_BUL,Undefined,Slider,NA,NA,81.21569,-1.157643,-4.114383,2376.673123,154.871327,11:15:00,6.08234,1.31042,5.7201,-40.63719,2.63933,-0.53831,1.61464,-2.57357,74.02174,-8.610244,-4.210411,0.473476,-1.025,2.00071,-0.96568,50,5.95984,8.47826,-117.58502,-3.69481,-1.4159,25.07145,-29.41029,361d90e8-ed42-460b-a0fd-1d936ef78c4a,NA,NA,NA,NA,NA,1000236672,"Mitchell, Gable",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,IOW_HAW,1,Top,0,1,0,Slider,BallinDirt,Undefined,Undefined,Undefined,0,0,NA,USF_BUL,IOW_HAW,USFBaseballStadium,D1,AMER,20250215-USFBaseballStadium-1,27d5e970-ebd0-11ef-a527-b55e7c7ee725,79.60799,NA,NA,7.19395,NA,NA,NA,751a0578-81f4-487a-87c3-98c5a50ec348,2025-02-15,19:06:49,2025-02-15T19:06:49Z,2025-02-15T19:06:49Z,NA,v3,471443,1232,15 February 2025 14:00-iowa@sflorida,"Trippel, Lance",804841,Right,USF_BUL,54.78185,-118.60022,12.53573,6.08534,-2.50392,-14.70514,-1.31015,8.5356,-0.70795,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-02-15,14:07:21,"Hill, James",1000076699,Right,USF_BUL,Undefined,Slider,NA,NA,82.67658,-0.934511,-0.857972,2384.541748,212.297393,01:00:00,6.03567,1.43398,5.96451,-35.07707,6.11374,2.95717,2.24591,0.88482,75.10667,-7.451083,-0.325758,0.461925,-1.80016,3.82721,-1.36764,50,5.94203,1.68383,-119.99992,-3.06381,-2.59087,26.03128,-26.6658,23fa0ce5-924c-4042-8b2a-794e8f3bbfaf,NA,NA,NA,NA,86.41182,1000236672,"Mitchell, Gable",NA,NA,55.6573,Left,-33.469425,NA,NA,NA,3.33613,2.75921,0.039075,41.332219,2.33787,1.76632,-0.46322,NA,NA,NA,NA,NA,2,3,IOW_HAW,1,Top,0,2,0,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,USF_BUL,IOW_HAW,USFBaseballStadium,D1,AMER,20250215-USFBaseballStadium-1,3af8bf00-ebd0-11ef-a527-b55e7c7ee725,81.59859,1.76632,NA,7.56991,NA,NA,NA,751a0578-81f4-487a-87c3-98c5a50ec348,2025-02-15,19:07:21,2025-02-15T19:07:21Z,2025-02-15T19:07:21Z,GroundBall,v3,471443,1232,15 February 2025 14:00-iowa@sflorida,"Trippel, Lance",804841,Right,USF_BUL,54.53476,-120.97964,13.01564,6.03845,-2.06021,-13.3329,-1.43285,1.78134,-1.29543,NA,2.33776,4.27917,NA,NA,NA,NA,NA,NA,NA,1.76748,-45.20344,NA,NA,NA,NA,NA,NA,NA,-0.46498,68.24016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Low,Low,NA,NA,NA
7,2025-02-15,14:07:48,"Hill, James",1000076699,Right,USF_BUL,Undefined,Fastball,NA,NA,88.88458,-1.188506,-0.845539,2344.545429,205.452456,12:45:00,6.19912,1.29977,6.05284,-15.24009,20.28706,9.05886,3.82865,1.27192,80.28659,-4.143547,0.785124,0.428994,-4.88835,11.14686,-1.23861,50,6.09838,1.51728,-128.96514,-3.0592,-8.13517,29.78854,-13.62347,9a889ff1-cbc2-4e77-b5aa-5d75787af33a,NA,NA,NA,NA,NA,1000236672,"Mitchell, Gable",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,IOW_HAW,1,Top,0,2,1,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,USF_BUL,IOW_HAW,USFBaseballStadium,D1,AMER,20250215-USFBaseballStadium-1,4afe27f0-ebd0-11ef-a527-b55e7c7ee725,87.8623,NA,NA,8.59799,NA,NA,NA,751a0578-81f4-487a-87c3-98c5a50ec348,2025-02-15,19:07:48,2025-02-15T19:07:48Z,2025-02-15T19:07:48Z,NA,v3,471443,1232,15 February 2025 14:00-iowa@sflorida,"Trippel, Lance",804841,Right,USF_BUL,54.44336,-129.98742,14.89427,6.19534,-2.59167,-6.81174,-1.29547,1.79647,-4.06759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-02-15,14:08:06,"Hill, James",1000076699,Right,USF_BUL,Undefined,Slider,NA,NA,81.25219,-0.830551,-2.123514,2353.706324,154.557704,11:15:00,6.02846,1.35507,5.5706,-39.31573,3.87331,-1.1511,1.97574,-0.72535,74.16345,-8.044051,-2.328971,0.472997,-0.05937,2.6428,-1.17124,50,5.93118,4.41491,-117.82295,-3.03253,-0.08279,24.13932,-28.49019,f22bdd73-49d4-4cd6-9083-7cabbf107f04,NA,NA,NA,NA,NA,1000236672,"Mitchell, Gable",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,IOW_HAW,1,Top,0,3,1,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,USF_BUL,IOW_HAW,USFBaseballStadium,D1,AMER,20250215-USFBaseballStadium-1,55b0cdb0-ebd0-11ef-a527-b55e7c7ee725,79.68859,NA,NA,7.08874,NA,NA,NA,751a0578-81f4-487a-87c3-98c5a50ec348,2025-02-15,19:08:06,2025-02-15T19:08:06Z,2025-02-15T19:08:06Z,NA,v3,471443,1232,15 February 2025 14:00-iowa@sflorida,"Trippel, Lance",804841,Right,USF_BUL,54.92809,-118.82832,12.06966,6.03277,-1.84595,-14.2451,-1.35518,4.41836,-0.04139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-02-15,14:08:22,"Hill, James",1000076699,Right,USF_BUL,Undefined,Slider,NA,NA,81.53382,-0.49398,-1.375853,2381.969675,198.070213,12:30:00,6.00419,1.27243,5.56118,-38.96856,4.25358,0.87618,2.29516,0.05978,73.74484,-7.676525,-1.219403,0.473178,-0.88847,2.80276,-1.15421,50,5.93633,2.80169,-118.1578,-2.33914,-1.23541,25.96626,-28.27687,11ee7797-a246-4237-8429-03fc5201618b,NA,NA,NA,NA,NA,1000236672,"Mitchell, Gable",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,IOW_HAW,1,Top,0,3,2,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,NA,USF_BUL,IOW_HAW,USFBaseballStadium,D1,AMER,20250215-USFBaseballStadium-1,5f4d2170-ebd0-11ef-a527-b55e7c7ee725,79.65807,NA,NA,7.78898,NA,NA,NA,751a0578-81f4-487a-87c3-98c5a50ec348,2025-02-15,19:08:22,2025-02-15T19:08:22Z,2025-02-15T19:08:22Z,NA,v3,471443,1232,15 February 2025 14:00-iowa@sflorida,"Trippel, Lance",804841,Right,USF_BUL,54.93506,-119.23739,12.98313,6.00914,-1.16348,-14.13844,-1.27177,2.85305,-0.61771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-02-15,14:08:57,"Hill, James",1000076699,Right,USF_BUL,Undefined,Slider,NA,NA,84.5954,-0.688571,-1.311458,2480.971182,206.177057,12:45:00,6.12005,1.39372,5.68172,-36.75998,2.85606,0.75224,2.41465,0.2337,77.14003,-7.45371,-1.176822,0.453009,-0.77508,2.07004,-1.28372,50,6.03915,2.77893,-122.75223,-2.7514,-1.17346,26.05817,-29.04006,3a22bf24-236a-4a62-adc7-65bdfb840ed4,NA,NA,NA,NA,NA,808859,"Nelson, Andy",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,IOW_HAW,1,Top,1,0,0,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,USF_BUL,IOW_HAW,USFBaseballStadium,D1,AMER,20250215-USFBaseballStadium-1,746d74b0-ebd0-11ef-a527-b55e7c7ee725,83.20456,NA,NA,7.45537,NA,NA,NA,751a0578-81f4-487a-87c3-98c5a50ec348,2025-02-15,19:08:57,2025-02-15T19:08:57Z,2025-02-15T19:08:57Z,NA,v3,471443,1232,15 February 2025 14:00-iowa@sflorida,"Trippel, Lance",804841,Right,USF_BUL,54.81667,-123.7705,13.02909,6.1245,-1.61661,-14.52003,-1.39321,2.82479,-0.58673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
