PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-03-25,18:02:55,"Johnson, Andrew",1000134882,Right,SOU_TRO,Undefined,Fastball,NA,NA,88.59557,-2.841833,-2.215968,2332.384642,217.209696,01:15:00,5.97465,1.65752,6.56301,-17.99194,17.02686,12.0141,1.86568,0.62596,80.54819,-6.296296,-0.03306,0.425914,-6.97843,10.15851,-1.50941,50,5.77062,4.51291,-128.53907,-6.84394,-11.57823,28.71447,-15.31964,63db6dfd-a495-460a-95db-d479df4e2740,NA,NA,NA,NA,NA,805148,"Carney, Frankie",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,CAL_ANT,1,Top,0,0,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,SOU_TRO,CAL_ANT,LoyolaMarymount,D1,BIG10,20250325-LoyolaMarymount-1,0d4a05b0-09de-11f0-9e41-7b0fd8e76039,88.49777,NA,NA,8.04738,NA,NA,NA,1f4630d9-8d3c-4086-9fa3-2f31fd6d89b7,2025-03-26,01:02:55,2025-03-26T01:02:55Z,2025-03-26T01:02:55Z,NA,v3,5047,3031,NA,"Lamb, Andrew",1000154939,Right,SOU_TRO,53.93994,-129.41622,14.35723,5.97254,-6.37596,-7.65982,-1.65266,4.86659,-5.78912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-03-25,18:03:08,"Johnson, Andrew",1000134882,Right,SOU_TRO,Undefined,Fastball,NA,NA,89.73864,-2.528958,-3.001128,2424.085044,220.193184,01:15:00,5.95995,1.47926,6.68319,-18.12493,15.81198,12.38902,2.13147,-0.23614,81.67001,-6.009838,-0.747144,0.419283,-7.42792,9.43611,-1.28298,50,5.78312,6.35413,-130.20103,-6.22224,-12.66697,29.01729,-16.08249,a7a79751-eb67-46ec-b823-be1f6853f09c,NA,NA,NA,NA,-74.901582,805148,"Carney, Frankie",NA,NA,97.39879,Left,-27.741345,NA,NA,NA,3.92737,3.92737,0.030875,-63.980245,0.70452,2.05613,0.24523,NA,NA,NA,NA,NA,1,2,CAL_ANT,1,Top,0,0,1,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,SOU_TRO,CAL_ANT,LoyolaMarymount,D1,BIG10,20250325-LoyolaMarymount-1,151f5510-09de-11f0-9e41-7b0fd8e76039,89.89734,2.05613,NA,8.06864,NA,NA,NA,1f4630d9-8d3c-4086-9fa3-2f31fd6d89b7,2025-03-26,01:03:08,2025-03-26T01:03:08Z,2025-03-26T01:03:08Z,GroundBall,v3,5047,3031,NA,"Lamb, Andrew",1000154939,Right,SOU_TRO,53.82017,-131.04965,14.50864,5.95821,-5.7519,-8.04124,-1.47422,6.72458,-6.33348,NA,0.70428,32.98229,NA,NA,NA,NA,NA,NA,NA,2.05663,-66.59477,NA,NA,NA,NA,NA,NA,NA,0.24615,-122.25123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Estimated,Estimated,NA,NA,NA
3,2025-03-25,18:03:26,"Johnson, Andrew",1000134882,Right,SOU_TRO,Undefined,Fastball,NA,NA,88.1332,-0.59422,-1.690524,2280.789588,217.817298,01:15:00,6.14961,1.44403,6.48156,-19.70985,15.86292,11.33953,3.96121,0.83617,79.60288,-4.384612,0.366707,0.42927,-6.39099,8.82937,-1.32927,50,6.09884,3.31754,-127.93894,-1.84368,-10.4598,29.49028,-17.72348,3c90a52f-058e-430d-8b89-85861bfe4098,NA,NA,NA,NA,NA,805148,"Carney, Frankie",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,CAL_ANT,1,Top,0,0,2,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,SOU_TRO,CAL_ANT,LoyolaMarymount,D1,BIG10,20250325-LoyolaMarymount-1,1fcddc20-09de-11f0-9e41-7b0fd8e76039,87.80597,NA,NA,8.53032,NA,NA,NA,1f4630d9-8d3c-4086-9fa3-2f31fd6d89b7,2025-03-26,01:03:26,2025-03-26T01:03:26Z,2025-03-26T01:03:26Z,NA,v3,5047,3031,NA,"Lamb, Andrew",1000154939,Right,SOU_TRO,54.0183,-128.86184,14.74514,6.14786,-1.28902,-8.86174,-1.43822,3.64488,-5.2299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-03-25,18:03:39,"Johnson, Andrew",1000134882,Right,SOU_TRO,Undefined,Fastball,NA,NA,89.27092,-2.329545,-2.801243,2326.585014,213.407347,01:00:00,6.03973,1.56698,6.68632,-19.31414,15.10631,9.16886,2.29566,-0.23329,80.93589,-6.036701,-1.13277,0.42226,-5.70067,9.04634,-1.38304,50,5.87602,5.98615,-129.50003,-5.7737,-9.57291,29.85303,-16.98284,cce1c2e9-f063-4e7a-a44f-817ce0e28a71,NA,NA,NA,NA,-12.566902,805148,"Carney, Frankie",NA,NA,79.64492,Left,-32.156251,NA,NA,NA,4.14599,1.74635,0.035723,-6.649977,0.66135,2.22649,0.29046,NA,NA,NA,NA,NA,1,4,CAL_ANT,1,Top,0,1,2,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,NA,SOU_TRO,CAL_ANT,LoyolaMarymount,D1,BIG10,20250325-LoyolaMarymount-1,27ccac80-09de-11f0-9e41-7b0fd8e76039,89.26365,2.22649,NA,8.33502,NA,NA,NA,1f4630d9-8d3c-4086-9fa3-2f31fd6d89b7,2025-03-26,01:03:39,2025-03-26T01:03:39Z,2025-03-26T01:03:39Z,GroundBall,v3,5047,3031,NA,"Lamb, Andrew",1000154939,Right,SOU_TRO,53.81598,-130.37674,14.92651,6.03826,-5.27495,-8.49142,-1.56296,6.26728,-4.78646,NA,0.65996,96.76438,NA,NA,NA,NA,NA,NA,NA,2.22738,-62.32581,NA,NA,NA,NA,NA,NA,NA,0.29077,-21.57072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Low,Low,NA,NA,NA
5,2025-03-25,18:04:10,"Johnson, Andrew",1000134882,Right,SOU_TRO,Undefined,Slider,NA,NA,76.54766,0.559532,-1.55179,2450.448916,63.972461,08:15:00,6.21352,1.39925,5.8316,-49.76794,-1.62957,-6.60197,2.58655,-0.59385,70.00578,-8.584464,-2.736477,0.499364,2.89689,-0.51146,-1.26856,50,6.23004,3.25297,-111.11879,-0.46941,3.58974,21.56499,-32.80783,25c00451-515d-4173-94db-8a25c1c8e351,NA,NA,NA,NA,NA,829649,"Yeaman, Colin",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,CAL_ANT,1,Top,1,0,0,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,SOU_TRO,CAL_ANT,LoyolaMarymount,D1,BIG10,20250325-LoyolaMarymount-1,3a3b7450-09de-11f0-9e41-7b0fd8e76039,75.48089,NA,NA,6.54188,NA,NA,NA,1f4630d9-8d3c-4086-9fa3-2f31fd6d89b7,2025-03-26,01:04:10,2025-03-26T01:04:10Z,2025-03-26T01:04:10Z,NA,v3,5047,3031,NA,"Lamb, Andrew",1000154939,Right,SOU_TRO,54.67223,-112.02186,10.7825,6.22093,0.90448,-16.40392,-1.40164,3.10264,1.79487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-03-25,18:04:24,"Johnson, Andrew",1000134882,Right,SOU_TRO,Undefined,ChangeUp,NA,NA,83.83789,-2.497278,-2.764897,1746.207071,235.696941,01:45:00,6.01786,1.51872,6.81193,-27.59009,11.33721,14.58265,1.43579,0.20898,76.08589,-7.733758,-0.101541,0.449054,-8.66945,7.2115,-1.34502,50,5.846,5.37401,-121.64534,-6.0256,-12.803,27.07485,-21.52414,c78daad3-5529-4f13-975f-209ac02158bb,NA,NA,NA,NA,-41.119807,829649,"Yeaman, Colin",2122.950621,NA,83.84633,Right,1.132835,NA,NA,NA,47.8763,37.50054,0.397999,-40.934125,2.29716,1.68503,-0.21673,NA,NA,NA,NA,NA,2,2,CAL_ANT,1,Top,1,0,1,Changeup,InPlay,Undefined,GroundBall,Out,1,0,NA,SOU_TRO,CAL_ANT,LoyolaMarymount,D1,BIG10,20250325-LoyolaMarymount-1,4259b390-09de-11f0-9e41-7b0fd8e76039,83.93744,1.77002,NA,7.75201,NA,NA,NA,1f4630d9-8d3c-4086-9fa3-2f31fd6d89b7,2025-03-26,01:04:24,2025-03-26T01:04:24Z,2025-03-26T01:04:24Z,GroundBall,v3,5047,3031,NA,"Lamb, Andrew",1000154939,Right,SOU_TRO,53.69196,-122.46431,13.53742,6.01842,-5.37453,-10.76207,-1.51344,5.76128,-6.4015,NA,2.30831,92.24713,-18.08267,NA,NA,NA,NA,NA,NA,1.69021,2.25723,-16.37305,NA,NA,NA,NA,NA,NA,-0.21795,-80.81622,6.41288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Medium,NA,NA,NA
7,2025-03-25,18:04:58,"Johnson, Andrew",1000134882,Right,SOU_TRO,Undefined,Fastball,NA,NA,89.55668,-0.85959,-1.461167,2383.177331,213.268227,01:00:00,5.95131,1.70228,6.44544,-18.05481,16.38666,9.96544,3.65655,1.18977,81.01232,-4.337051,0.345721,0.422389,-5.60485,9.15599,-1.6024,50,5.88189,2.90824,-130.02731,-2.4237,-9.49037,30.05534,-16.67073,3d361c0f-e935-4451-a6af-5a7d711b7040,NA,NA,NA,NA,NA,10068294,"Martinez, Anthony",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,CAL_ANT,1,Top,2,0,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,SOU_TRO,CAL_ANT,LoyolaMarymount,D1,BIG10,20250325-LoyolaMarymount-1,568dd210-09de-11f0-9e41-7b0fd8e76039,89.23638,NA,NA,8.54436,NA,NA,NA,1f4630d9-8d3c-4086-9fa3-2f31fd6d89b7,2025-03-26,01:04:58,2025-03-26T01:04:58Z,2025-03-26T01:04:58Z,NA,v3,5047,3031,NA,"Lamb, Andrew",1000154939,Right,SOU_TRO,54.05488,-130.96122,15.02767,5.94915,-1.90569,-8.33537,-1.69736,3.20314,-4.74519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-03-25,18:05:09,"Johnson, Andrew",1000134882,Right,SOU_TRO,Undefined,Fastball,NA,NA,88.28667,-1.530278,-1.175644,2352.24609,222.827103,01:30:00,5.88069,1.59908,6.56602,-20.406860000000002,14.52599,12.43709,2.77653,1.55753,80.78173,-5.416137,1.085731,0.425391,-6.8189,8.39044,-1.52265,50,5.76636,2.15097,-128.33415,-3.98048,-11.36193,26.77922,-18.1936,50603feb-3ab0-446b-9554-647aac7af99c,NA,NA,NA,NA,NA,10068294,"Martinez, Anthony",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,CAL_ANT,1,Top,2,1,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,SOU_TRO,CAL_ANT,LoyolaMarymount,D1,BIG10,20250325-LoyolaMarymount-1,5d836fd0-09de-11f0-9e41-7b0fd8e76039,88.60654,NA,NA,7.50494,NA,NA,NA,1f4630d9-8d3c-4086-9fa3-2f31fd6d89b7,2025-03-26,01:05:09,2025-03-26T01:05:09Z,2025-03-26T01:05:09Z,NA,v3,5047,3031,NA,"Lamb, Andrew",1000154939,Right,SOU_TRO,53.93664,-129.15298,13.38961,5.87956,-3.42416,-9.0968,-1.59373,2.49839,-5.68096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-03-25,18:05:23,"Johnson, Andrew",1000134882,Right,SOU_TRO,Undefined,Fastball,NA,NA,89.94715,-1.877344,-3.12923,2408.807439,226.713791,01:30:00,5.86384,1.5659,6.77469,-20.6347,13.08469,12.66327,2.42679,-0.23916,81.66828,-5.826896,-0.821469,0.417937,-7.67552,7.84481,-1.36591,50,5.73315,6.66214,-130.54571,-4.83366,-13.12013,29.91255,-18.76452,cc287e1c-8902-4e8c-9fef-73f129da9851,NA,NA,NA,NA,-10.788201,10068294,"Martinez, Anthony",NA,NA,75.30179,Left,-19.723837,NA,NA,NA,7.28498,6.2366,0.058794,-6.335968,1.22009,2.19727,0.34321,NA,NA,NA,NA,NA,3,3,CAL_ANT,1,Top,2,2,0,Four-Seam,InPlay,Undefined,GroundBall,Single,0,0,NA,SOU_TRO,CAL_ANT,LoyolaMarymount,D1,BIG10,20250325-LoyolaMarymount-1,6581f210-09de-11f0-9e41-7b0fd8e76039,90.18681,2.19727,NA,8.27886,NA,NA,NA,1f4630d9-8d3c-4086-9fa3-2f31fd6d89b7,2025-03-26,01:05:23,2025-03-26T01:05:23Z,2025-03-26T01:05:23Z,GroundBall,v3,5047,3031,NA,"Lamb, Andrew",1000154939,Right,SOU_TRO,53.72889,-131.39735,14.95627,5.86316,-4.29942,-9.38226,-1.5609,7.03568,-6.56006,180,1.2175,102.39881,NA,NA,NA,NA,NA,NA,NA,2.19822,-37.37268,NA,NA,NA,NA,NA,NA,NA,0.3437,-19.51177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Low,Low,NA,NA,NA
10,2025-03-25,18:06:00,"Johnson, Andrew",1000134882,Right,SOU_TRO,Undefined,Fastball,NA,NA,88.54884,-1.713619,-3.177725,2417.476555,209.733877,01:00:00,6.09837,1.80594,6.66803,-18.40954,16.74973,8.83804,2.99336,-0.36822,79.85486,-5.274812,-1.571371,0.426768,-5.69323,9.75603,-1.59576,50,5.97558,6.79324,-128.40422,-4.30187,-9.35446,30.51979,-16.14411,9e255e56-4037-4b41-9095-ca33a1b8ee46,NA,NA,NA,NA,-158.844081,829643,"McCombs, Jacob",4074.387732,NA,61.39252,Left,42.93361,-102.64835,30.86082,-39.53791,144.29492,46.16583,2.756112,-158.817144,1.05735,3.03409,0.35839,NA,NA,NA,NA,NA,4,1,CAL_ANT,1,Top,2,0,0,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,SOU_TRO,CAL_ANT,LoyolaMarymount,D1,BIG10,20250325-LoyolaMarymount-1,7bf7ea40-09de-11f0-9e41-7b0fd8e76039,88.32077,39.35413,NA,8.69398,NA,NA,NA,1f4630d9-8d3c-4086-9fa3-2f31fd6d89b7,2025-03-26,01:06:00,2025-03-26T01:06:00Z,2025-03-26T01:06:00Z,Popup,v3,5047,3031,NA,"Lamb, Andrew",1000154939,Right,SOU_TRO,53.83399,-129.31229,15.2599,6.09643,-3.82153,-8.07205,-1.80202,7.07157,-4.67723,1.726376,1.05733,-61.48214,2.8119,1.09842,-0.17794,-0.17965,0.15778,-0.04784,0.0051,3.03426,61.32482,-29.93273,4.06887,-0.66438,-0.00573,0.0398,-0.00749,3e-4,0.35838,-23.79264,1.42027,0.21735,-0.0276,-0.06393,0.05276,-0.01601,0.00172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Low,NA,NA,NA
