PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-05-15,18:59:42,"Root, Zachary",1000092077,Left,ARK_RAZ,Undefined,Fastball,NA,NA,93.31172,-0.86151,2.682452,2277.249564,121.918514,10:00:00,5.68807,-1.37309,5.79028,-21.62241,10.35134,-15.1182,3.08385,-0.13577,85.9113,-4.884949,-0.023762,0.406975,8.38056,5.79122,1.16123,50,5.60406,-5.67546,-135.54085,-2.80157,15.72451,27.2366,-21.30796,13c4566b-b6c0-41e0-baa9-befb12fb3879,NA,NA,NA,NA,NA,702264,"Kilen, Gavin",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,TEN_VOL,1,Top,0,0,0,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,ARK_RAZ,TEN_VOL,BaumStadium,D1,SEC,20250515-BaumStadium-1,0ff6f830-31e9-11f0-aac2-755b5ad5b245,92.61604,NA,NA,7.40043,NA,NA,NA,134b8e88-a7f9-4a94-a441-538b5487fb45,2025-05-15,23:59:42,2025-05-15T23:59:42Z,2025-05-15T23:59:42Z,NA,v3,3375,471459,15 May 2025 19:30-tennessee@arkansas,"Helfrick, Ryder",805785,Right,ARK_RAZ,54.70923,-136.48387,13.6183,5.68828,-2.06382,-10.65398,1.36716,-6.2199,7.86225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-05-15,18:59:59,"Root, Zachary",1000092077,Left,ARK_RAZ,Undefined,Fastball,NA,NA,95.15926,-2.121087,3.435572,2389.291525,128.435969,10:15:00,5.70329,-1.2886,5.61169,-17.97536,12.9728,-15.21926,2.22113,0.65362,87.8172,-5.467608,0.723244,0.400395,8.59784,7.38268,1.00499,50,5.51012,-7.59478,-138.0673,-5.76385,16.78458,27.47536,-17.76169,61590063-36c8-4093-b3ef-f6231704b573,NA,NA,NA,NA,NA,702264,"Kilen, Gavin",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,TEN_VOL,1,Top,0,0,1,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,ARK_RAZ,TEN_VOL,BaumStadium,D1,SEC,20250515-BaumStadium-1,1a4cd7f0-31e9-11f0-aac2-755b5ad5b245,94.13806,NA,NA,7.34206,NA,NA,NA,134b8e88-a7f9-4a94-a441-538b5487fb45,2025-05-15,23:59:59,2025-05-15T23:59:59Z,2025-05-15T23:59:59Z,NA,v3,3375,471459,15 May 2025 19:30-tennessee@arkansas,"Helfrick, Ryder",805785,Right,ARK_RAZ,54.88895,-139.03679,13.73768,5.70244,-5.13711,-8.88085,1.28343,-8.18704,8.39229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-05-15,19:00:16,"Root, Zachary",1000092077,Left,ARK_RAZ,Undefined,Fastball,NA,NA,95.08957,-0.867681,3.846257,2281.316134,111.680104,09:45:00,5.69033,-1.22435,5.78975,-23.75379,7.08504,-15.55658,2.9018,1.06266,87.56653,-5.26329,1.066044,0.399687,8.90138,4.11398,0.91668,50,5.60441,-8.5718,-137.98486,-2.97348,17.319210000000002,28.06364,-24.16953,6b0c20e7-714a-4003-9642-efcdd6f11042,NA,NA,NA,NA,NA,702264,"Kilen, Gavin",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,TEN_VOL,1,Top,0,0,2,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,ARK_RAZ,TEN_VOL,BaumStadium,D1,SEC,20250515-BaumStadium-1,2412acb0-31e9-11f0-aac2-755b5ad5b245,94.3048,NA,NA,7.52304,NA,NA,NA,134b8e88-a7f9-4a94-a441-538b5487fb45,2025-05-16,00:00:16,2025-05-16T00:00:16Z,2025-05-16T00:00:16Z,NA,v3,3375,471459,15 May 2025 19:30-tennessee@arkansas,"Helfrick, Ryder",805785,Right,ARK_RAZ,54.71034,-138.93955,14.03182,5.69158,-2.15126,-12.08476,1.2183,-9.16098,8.65961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-05-15,19:00:33,"Root, Zachary",1000092077,Left,ARK_RAZ,Undefined,Curveball,NA,NA,82.81101,-1.093854,0.024813,2814.349122,314.987341,04:30:00,5.98406,-0.89931,5.11714,-55.09302,-13.11056,14.39985,0.36245,0.32405,76.59594,-10.962397,2.585079,0.466343,-7.30134,-6.07685,0.88493,50,5.83712,-0.64098,-120.28198,-4.36719,-10.65387,24.19982,-41.04117,c35bcc26-6d8e-4cbc-8524-64b940034226,NA,NA,NA,NA,NA,702264,"Kilen, Gavin",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,TEN_VOL,1,Top,0,1,2,Curveball,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,NA,ARK_RAZ,TEN_VOL,BaumStadium,D1,SEC,20250515-BaumStadium-1,2eb748b0-31e9-11f0-aac2-755b5ad5b245,80.82561,NA,NA,6.21507,NA,NA,NA,134b8e88-a7f9-4a94-a441-538b5487fb45,2025-05-16,00:00:33,2025-05-16T00:00:33Z,2025-05-16T00:00:33Z,NA,v3,3375,471459,15 May 2025 19:30-tennessee@arkansas,"Helfrick, Ryder",805785,Right,ARK_RAZ,55.38675,-121.36091,12.09991,5.99104,-2.53739,-20.52059,0.90292,-0.16599,-5.32694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-05-15,19:01:15,"Root, Zachary",1000092077,Left,ARK_RAZ,Undefined,Curveball,NA,NA,81.25261,-1.326521,0.175826,2722.547968,306.406394,04:15:00,6.09376,-0.81224,5.39548,-53.61306,-10.40146,15.92501,0.38264,0.67961,75.11832,-10.984617,3.02164,0.47312,-8.11737,-4.67437,0.78457,50,5.93678,-0.97931,-118.03655,-4.62592,-11.38989,23.60891,-38.73288,784d1110-ec92-4313-8aa0-f20f63262a62,NA,NA,NA,NA,NA,702652,"Fischer, Andrew",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,TEN_VOL,1,Top,1,0,0,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,ARK_RAZ,TEN_VOL,BaumStadium,D1,SEC,20250515-BaumStadium-1,474d13a0-31e9-11f0-aac2-755b5ad5b245,79.66775,NA,NA,6.1343,NA,NA,NA,134b8e88-a7f9-4a94-a441-538b5487fb45,2025-05-16,00:01:15,2025-05-16T00:01:15Z,2025-05-16T00:01:15Z,NA,v3,3375,471459,15 May 2025 19:30-tennessee@arkansas,"Helfrick, Ryder",805785,Right,ARK_RAZ,55.10803,-119.05384,11.80446,6.10014,-2.95694,-19.36644,0.81619,-0.48853,-5.69495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-05-15,19:01:33,"Root, Zachary",1000092077,Left,ARK_RAZ,Undefined,Curveball,NA,NA,80.93907,-0.389326,1.763904,2659.296703,299.718855,04:00:00,6.02783,-0.83433,5.48605,-50.76637,-7.1693,15.01938,1.43289,2.06804,74.3343,-9.594171,4.443484,0.475226,-7.0537,-3.08311,0.6693,50,5.95927,-4.21994,-117.47555,-2.58756,-9.77043,24.08297,-36.44459,46e409c9-fb3c-46cf-92ac-593e3bcf9fd8,NA,NA,NA,NA,NA,702652,"Fischer, Andrew",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,TEN_VOL,1,Top,1,1,0,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,ARK_RAZ,TEN_VOL,BaumStadium,D1,SEC,20250515-BaumStadium-1,524c2bb0-31e9-11f0-aac2-755b5ad5b245,79.3148,NA,NA,6.60477,NA,NA,NA,134b8e88-a7f9-4a94-a441-538b5487fb45,2025-05-16,00:01:33,2025-05-16T00:01:33Z,2025-05-16T00:01:33Z,NA,v3,3375,471459,15 May 2025 19:30-tennessee@arkansas,"Helfrick, Ryder",805785,Right,ARK_RAZ,55.0146,-118.49911,12.04148,6.03633,-1.03862,-18.22229,0.83983,-3.80469,-4.88521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-05-15,19:01:57,"Root, Zachary",1000092077,Left,ARK_RAZ,Undefined,Fastball,NA,NA,95.00119,-2.203275,2.682696,2356.615989,122.172517,10:00:00,5.67286,-1.25049,5.70065,-19.97422,11.09024,-16.13611,1.95204,-0.09356,87.34673,-5.917303,-0.201812,0.401147,8.98174,6.50918,1.03586,50,5.47534,-5.7387,-137.88396,-6.0271,17.38602,29.08593,-19.57419,baa28dda-e4ca-4ead-b527-7504847e00d5,NA,NA,NA,NA,50.002811,702652,"Fischer, Andrew",NA,NA,71.93,Left,-36.477628,NA,NA,NA,6.24887,6.24887,0.048769,30.342911,2.7225,3.07175,-0.02599,NA,NA,NA,NA,NA,2,3,TEN_VOL,1,Top,1,2,0,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,NA,ARK_RAZ,TEN_VOL,BaumStadium,D1,SEC,20250515-BaumStadium-1,60b12b10-31e9-11f0-aac2-755b5ad5b245,93.96174,3.07175,NA,7.65446,NA,NA,NA,134b8e88-a7f9-4a94-a441-538b5487fb45,2025-05-16,00:01:57,2025-05-16T00:01:57Z,2025-05-16T00:01:57Z,GroundBall,v3,3375,471459,15 May 2025 19:30-tennessee@arkansas,"Helfrick, Ryder",805785,Right,ARK_RAZ,54.80008,-138.89282,14.54297,5.67262,-5.34815,-9.78709,1.24536,-6.34174,8.69301,180,2.72068,54.75535,NA,NA,NA,NA,NA,NA,NA,3.07384,-62.98522,NA,NA,NA,NA,NA,NA,NA,-0.02816,65.26139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Low,Low,NA,NA,NA
8,2025-05-15,19:02:37,"Root, Zachary",1000092077,Left,ARK_RAZ,Undefined,ChangeUp,NA,NA,84.08288,-0.739284,2.414609,2106.585465,102.383526,09:30:00,5.53514,-1.2708,5.53648,-34.5338,5.50922,-19.35131,1.96568,-0.6252,77.1366,-7.080589,-1.037492,0.455444,10.50579,3.34776,1.0747,50,5.44791,-4.35446,-122.05654,-2.77204,15.84826,24.02815,-27.1239,15f89679-a67a-401f-8a92-dfbdf010eda7,NA,NA,NA,NA,-15.644645,1000069609,"Ensley, Hunter",NA,NA,62.9701,Right,-2.260906,NA,NA,NA,20.74845,15.07149,0.210707,-13.24072,1.95944,2.00401,0.60738,NA,NA,NA,NA,NA,3,1,TEN_VOL,1,Top,2,0,0,Changeup,InPlay,Undefined,GroundBall,Out,1,0,NA,ARK_RAZ,TEN_VOL,BaumStadium,D1,SEC,20250515-BaumStadium-1,7893ab90-31e9-11f0-aac2-755b5ad5b245,82.75981,2.00401,NA,6.94628,NA,NA,NA,134b8e88-a7f9-4a94-a441-538b5487fb45,2025-05-16,00:02:37,2025-05-16T00:02:37Z,2025-05-16T00:02:37Z,GroundBall,v3,3375,471459,15 May 2025 19:30-tennessee@arkansas,"Helfrick, Ryder",805785,Right,ARK_RAZ,54.96391,-123.02985,12.01408,5.53794,-1.67333,-13.56195,1.26409,-4.99643,7.92413,24.557683,1.95891,88.8983,-11.10347,NA,NA,NA,NA,NA,NA,2.0054,-3.73048,-27.49563,NA,NA,NA,NA,NA,NA,0.60796,-24.92246,-2.46598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
9,2025-05-15,19:05:41,"Phillips, Marcus",815071,Right,TEN_VOL,Undefined,Fastball,NA,NA,97.47767,-2.441393,-3.750167,2801.164617,235.597761,01:45:00,5.09744,2.9472,6.12835,-18.662960000000002,10.25036,13.77123,1.27929,0.62339,90.13363,-5.928001,-1.272903,0.387009,-8.09134,6.15591,-2.66756,50,4.90054,8.68056,-141.47763,-6.68468,-16.5975,28.63051,-19.54663,c79f1eef-6cd0-4402-9d39-de22c8a9d872,NA,NA,NA,NA,NA,804560,"Davalan, Charles",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,ARK_RAZ,1,Bottom,0,0,0,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,ARK_RAZ,TEN_VOL,BaumStadium,D1,SEC,20250515-BaumStadium-1,e5ee8340-31e9-11f0-aac2-755b5ad5b245,97.39434,NA,NA,7.34405,NA,NA,NA,134b8e88-a7f9-4a94-a441-538b5487fb45,2025-05-16,00:05:41,2025-05-16T00:05:41Z,2025-05-16T00:05:41Z,NA,v3,3375,471459,15 May 2025 19:30-tennessee@arkansas,"Peebles, Cannon",702555,Right,TEN_VOL,54.37295,-142.35982,14.31526,5.09723,-6.08238,-9.77331,-2.94291,9.19198,-8.29875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-05-15,19:05:54,"Phillips, Marcus",815071,Right,TEN_VOL,Undefined,Fastball,NA,NA,98.75409,-0.845726,-3.088313,2865.534275,213.856952,01:15:00,5.06532,2.65482,6.04322,-18.01375,10.19646,6.30996,2.77997,0.31862,91.15554,-4.216177,-1.954859,0.382274,-4.01488,5.71237,-2.41742,50,4.9895,7.45714,-143.47853,-2.75337,-8.4662,29.59493,-20.12838,0f25292c-ccf7-463f-becf-9e2286bd3eab,NA,NA,NA,NA,-55.589576,804560,"Davalan, Charles",4892.539791,NA,95.43977,Left,26.336579,53.78772,45.03558,-95.95212,309.31843,128.54919,3.680385,-70.550869,-0.12115,2.65156,-0.28522,NA,NA,NA,NA,NA,1,2,ARK_RAZ,1,Bottom,0,1,0,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,ARK_RAZ,TEN_VOL,BaumStadium,D1,SEC,20250515-BaumStadium-1,edae75e0-31e9-11f0-aac2-755b5ad5b245,98.60063,52.8682,NA,7.59856,NA,NA,NA,134b8e88-a7f9-4a94-a441-538b5487fb45,2025-05-16,00:05:54,2025-05-16T00:05:54Z,2025-05-16T00:05:54Z,FlyBall,v3,3375,471459,15 May 2025 19:30-tennessee@arkansas,"Peebles, Cannon",702555,Right,TEN_VOL,54.45652,-144.39484,14.79746,5.0651,-2.13016,-10.06419,-2.65236,7.71927,-4.2331,NA,-0.12101,70.89227,-22.41455,5.51766,-1.42585,0.39924,-0.09233,0.01297,-7.8e-4,2.65165,62.09017,-22.62541,2.66151,-0.26923,-0.14651,0.07373,-0.01351,0.00093000000000000005,-0.28531,-103.49413,12.52084,-2.97898,0.69109,-0.15668,0.02969,-0.0036,2e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Low,NA,NA,NA
