PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-03-01,13:06:02,"Volmerding, Joshua",1000250725,Left,CAL_MUS,Undefined,Fastball,NA,NA,92.20437,-5.178217,4.394623,2318.298608,142.202646,10:45:00,6.59967,-1.19318,6.33247,-12.830870000000001,20.36777,-14.81265,0.73508,1.62707,83.04769,-7.688842,1.724585,0.414698,9.19705,12.69028,0.87921,50,6.21405,-9.61566,-132.98137,-12.38735,16.19254,32.98445,-9.83123,41e3a25d-d9c0-4e38-96b8-c9ef53e5ac3b,NA,NA,NA,NA,NA,831004,"Soldra, AJ",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,SET_PIR,1,Top,0,0,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,CAL_MUS,SET_PIR,BaggettStadium,D1,BW,20250301-BaggettStadium-1,fba22730-f6e0-11ef-8360-6bc919d74da2,90.89138,NA,NA,9.15668,NA,NA,NA,c5e06caf-dcb7-420d-b0f2-66bbf9467bd4,2025-03-01,21:06:02,2025-03-01T21:06:02Z,2025-03-01T21:06:02Z,NA,v3,471251,471438,01 March 2025 16:00-setonhall@calpoly,"Collins, Jack",1000228996,Right,CAL_MUS,54.16792,-134.01118,16.49222,6.596,-12.08041,-4.91561,1.18731,-10.12121,8.09627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-03-01,13:06:17,"Volmerding, Joshua",1000250725,Left,CAL_MUS,Undefined,Fastball,NA,NA,91.14457,-3.455769,3.973751,2341.536646,145.771612,10:45:00,6.38574,-1.39772,6.35975,-11.55233,22.14533,-14.21387,2.231,1.0809,82.11336,-5.750573,1.408927,0.417803,8.63536,12.97154,1.11564,50,6.12886,-8.56569,-131.81414,-8.20588,14.97587,31.75565,-9.6782,0efd81d1-8f7b-4709-8ec7-e65929b5dea3,NA,NA,NA,NA,NA,831004,"Soldra, AJ",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,SET_PIR,1,Top,0,1,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,CAL_MUS,SET_PIR,BaggettStadium,D1,BW,20250301-BaggettStadium-1,04c0e680-f6e1-11ef-8360-6bc919d74da2,90.21586,NA,NA,9.03121,NA,NA,NA,c5e06caf-dcb7-420d-b0f2-66bbf9467bd4,2025-03-01,21:06:17,2025-03-01T21:06:17Z,2025-03-01T21:06:17Z,NA,v3,471251,471438,01 March 2025 16:00-setonhall@calpoly,"Collins, Jack",1000228996,Right,CAL_MUS,54.13888,-132.8075,15.87783,6.38082,-7.90313,-4.8391,1.39091,-9.03415,7.48793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-03-01,13:06:34,"Volmerding, Joshua",1000250725,Left,CAL_MUS,Undefined,Cutter,NA,NA,84.12549,-2.005284,2.132137,2425.714088,191.571231,12:30:00,6.5385,-1.30076,5.89731,-32.64455,6.9639,1.16551,1.95432,0.7768,77.2006,-8.029224,2.341447,0.452966,0.0111,4.52032,1.12841,50,6.35819,-4.59016,-122.06258,-5.33637,0.01668,24.66501,-25.37355,b6d30228-42f3-4118-9281-f2233730a442,NA,NA,NA,NA,NA,831004,"Soldra, AJ",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,SET_PIR,1,Top,0,1,1,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,CAL_MUS,SET_PIR,BaggettStadium,D1,BW,20250301-BaggettStadium-1,0ee13750-f6e1-11ef-8360-6bc919d74da2,83.21255,NA,NA,6.92488,NA,NA,NA,c5e06caf-dcb7-420d-b0f2-66bbf9467bd4,2025-03-01,21:06:34,2025-03-01T21:06:34Z,2025-03-01T21:06:34Z,NA,v3,471251,471438,01 March 2025 16:00-setonhall@calpoly,"Collins, Jack",1000228996,Right,CAL_MUS,54.60323,-122.98923,12.33251,6.54076,-4.3831,-12.68678,1.30087,-4.59079,0.00834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-03-01,13:06:52,"Volmerding, Joshua",1000250725,Left,CAL_MUS,Undefined,Cutter,NA,NA,85.41146,-3.741055,2.328764,2462.672162,199.953949,12:45:00,6.52951,-1.29729,5.91971,-27.01013,11.54686,3.73276,0.79905,1.17612,78.37011,-8.733153,2.99905,0.446913,-1.2563,7.38752,1.10849,50,6.21386,-5.17727,-123.72293,-8.94897,-1.9391,25.65762,-20.77154,7aef8157-36f2-4169-880a-1d91e5bddb45,NA,NA,NA,NA,NA,831004,"Soldra, AJ",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,SET_PIR,1,Top,0,1,2,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,NA,CAL_MUS,SET_PIR,BaggettStadium,D1,BW,20250301-BaggettStadium-1,19d33000-f6e1-11ef-8360-6bc919d74da2,84.33957,NA,NA,7.04135,NA,NA,NA,c5e06caf-dcb7-420d-b0f2-66bbf9467bd4,2025-03-01,21:06:52,2025-03-01T21:06:52Z,2025-03-01T21:06:52Z,NA,v3,471251,471438,01 March 2025 16:00-setonhall@calpoly,"Collins, Jack",1000228996,Right,CAL_MUS,54.58135,-124.66939,12.82881,6.52984,-8.18275,-10.38577,1.29815,-5.10574,-0.96955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-03-01,13:07:49,"Volmerding, Joshua",1000250725,Left,CAL_MUS,Undefined,Fastball,NA,NA,90.01385,-2.748109,2.380822,2185.486198,143.729786,10:45:00,6.53024,-1.49923,6.29173,-17.44532,16.84115,-11.4902,2.53985,-0.26146,81.77409,-6.085292,0.304215,0.421437,6.66095,9.91886,1.32907,50,6.31908,-4.95443,-130.51753,-6.74565,11.39951,29.48546,-15.19888,f309e91c-8ddd-43c6-b26b-fef6d9e2c835,NA,NA,NA,NA,157.92971,830991,"Ali, Marco",1524.733787,NA,75.48691,Right,14.545051,NA,NA,NA,122.53428,59.69514,1.316544,159.978805,-0.23602,2.30329,0.24272,NA,NA,NA,NA,NA,2,1,SET_PIR,1,Top,1,0,0,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,CAL_MUS,SET_PIR,BaggettStadium,D1,BW,20250301-BaggettStadium-1,3b9db340-f6e1-11ef-8360-6bc919d74da2,89.43782,10.27367,NA,8.23976,NA,NA,NA,c5e06caf-dcb7-420d-b0f2-66bbf9467bd4,2025-03-01,21:07:49,2025-03-01T21:07:49Z,2025-03-01T21:07:49Z,LineDrive,v3,471251,471438,01 March 2025 16:00-setonhall@calpoly,"Collins, Jack",1000228996,Right,CAL_MUS,54.20725,-131.46456,14.74273,6.5279,-6.25748,-7.59944,1.49407,-5.32057,5.69976,336.390119,-0.23602,-99.31292,9.24495,-0.09719,-0.00718,0.03001,-0.00972,0.00124,-7e-5,2.30329,27.80484,-25.99973,3.3287,-0.63682,0.14631,-0.02406,0.00323,-3.2e-4,0.24272,40.26682,-6.94886,0.41243,-0.06906,-0.00165,0.00297,-3.2e-4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA
6,2025-03-01,13:08:12,"Volmerding, Joshua",1000250725,Left,CAL_MUS,Undefined,Fastball,NA,NA,90.52593,-0.678565,3.46537,2139.723349,151.567496,11:00:00,6.63259,-1.13881,6.44242,-18.10458,15.5115,-7.79449,4.49916,1.39989,82.26124,-4.148366,2.055812,0.417297,5.03886,8.61323,0.89556,50,6.57589,-7.62931,-131.30825,-2.0465,8.75473,29.06356,-17.20901,fa737f18-b930-413f-930e-0e65e26f3f41,NA,NA,NA,NA,NA,830991,"Ali, Marco",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,SET_PIR,1,Top,1,0,1,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,CAL_MUS,SET_PIR,BaggettStadium,D1,BW,20250301-BaggettStadium-1,498cbf50-f6e1-11ef-8360-6bc919d74da2,90.32527,NA,NA,8.26469,NA,NA,NA,c5e06caf-dcb7-420d-b0f2-66bbf9467bd4,2025-03-01,21:08:12,2025-03-01T21:08:12Z,2025-03-01T21:08:12Z,NA,v3,471251,471438,01 March 2025 16:00-setonhall@calpoly,"Collins, Jack",1000228996,Right,CAL_MUS,54.05531,-132.2028,14.53178,6.63073,-1.51683,-8.60451,1.13453,-7.89878,4.37737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-03-01,13:08:32,"Volmerding, Joshua",1000250725,Left,CAL_MUS,Undefined,ChangeUp,NA,NA,82.96527,-1.634285,2.552015,1442.544118,136.832262,10:30:00,6.45664,-1.65944,6.24842,-24.37702,16.65064,-14.10654,2.91603,-0.47973,74.27109,-6.294894,0.004574,0.461009,8.19189,9.65922,1.47616,50,6.32312,-4.81346,-120.1732,-4.0823,11.68353,28.65054,-18.39778,6fe8d92d-e3cd-4790-a9fc-120e3c5d5560,NA,NA,NA,NA,34.247205,830991,"Ali, Marco",NA,NA,83.40397,Right,43.626233,82.32846,92.24493,72.95169,266.77311,138.30218,5.279026,47.393188,-0.30526,4.90237,1.22558,NA,NA,NA,NA,NA,2,3,SET_PIR,1,Top,1,1,1,Changeup,InPlay,Undefined,FlyBall,Out,1,0,NA,CAL_MUS,SET_PIR,BaggettStadium,D1,BW,20250301-BaggettStadium-1,557b6780-f6e1-11ef-8360-6bc919d74da2,81.76068,102.67648,NA,8.69419,NA,NA,NA,c5e06caf-dcb7-420d-b0f2-66bbf9467bd4,2025-03-01,21:08:32,2025-03-01T21:08:32Z,2025-03-01T21:08:32Z,FlyBall,v3,471251,471438,01 March 2025 16:00-setonhall@calpoly,"Collins, Jack",1000228996,Right,CAL_MUS,54.24869,-121.18189,14.32527,6.45544,-3.43457,-9.19889,1.65287,-5.22481,5.84177,207.037043,-0.29757,73.03607,-20.03081,4.71119,-0.35631,-0.1933,0.07038,-0.00932,4.5e-4,4.89678,84.49261,-21.10475,1.68295,-0.28905,0.02711,0.00829,-0.00246,1.7e-4,1.22616,49.81604,-4.24166,0.30089,0.13608,-0.06873,0.01549,-0.00177,8e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Low,NA,NA,NA
8,2025-03-01,13:09:15,"Volmerding, Joshua",1000250725,Left,CAL_MUS,Undefined,Fastball,NA,NA,90.93802,-2.887826,2.26295,2144.921549,143.090419,10:45:00,6.53645,-1.44827,6.16562,-14.49473,19.56044,-13.73572,2.65662,-0.50145,81.834,-5.706196,-0.213466,0.420013,7.80619,11.40442,1.28331,50,6.30972,-4.61869,-131.71345,-7.01086,13.4804,32.40615,-12.47994,31fa49c5-07a9-4d25-b6bb-d5b435ac7926,NA,NA,NA,NA,136.039257,828657,"Robbins, Aiden",4024.516018,NA,70.55223,Right,30.911817,NA,NA,NA,NA,49.27163,NA,NA,-0.10154,2.415,0.44938,NA,NA,NA,NA,NA,3,1,SET_PIR,1,Top,2,0,0,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,CAL_MUS,SET_PIR,BaggettStadium,D1,BW,20250301-BaggettStadium-1,6eb588c0-f6e1-11ef-8360-6bc919d74da2,89.74109,24.79125,NA,9.10402,NA,NA,NA,c5e06caf-dcb7-420d-b0f2-66bbf9467bd4,2025-03-01,21:09:15,2025-03-01T21:09:15Z,2025-03-01T21:09:15Z,NA,v3,471251,471438,01 March 2025 16:00-setonhall@calpoly,"Collins, Jack",1000228996,Right,CAL_MUS,54.3323,-132.77507,16.20307,6.5327,-6.6020200000000004,-6.23997,1.44185,-5.06031,6.7402,309.845953,-0.10154,-63.90416,1.62117,0.78525,0.96331,-4.13333,7.29296,-6.75545,2.59942,2.415,53.15772,-27.33547,3.25815,-0.46702,-0.3292,0.70151,-0.65514,0.25165,0.44938,61.62699,-13.41942,3.54701,1.02157,-5.65082,9.96902,-9.22561,3.54787,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Undefined,NA,NA,NA
9,2025-03-01,13:09:38,"Volmerding, Joshua",1000250725,Left,CAL_MUS,Undefined,Fastball,NA,NA,91.22946,-1.640675,0.580335,2067.652877,143.894894,10:45:00,6.58027,-1.38215,6.16821,-15.66154,18.32237,-12.39906,3.75917,-1.87934,81.52274,-4.687536,-1.656867,0.419573,6.51618,10.36646,1.3438,50,6.44778,-0.79019,-132.20708,-4.18488,11.2564,34.4863,-14.26647,8c93e18b-96c0-46ff-9d25-563e2da26c85,NA,NA,NA,NA,NA,828657,"Robbins, Aiden",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,SET_PIR,1,Top,2,0,1,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,CAL_MUS,SET_PIR,BaggettStadium,D1,BW,20250301-BaggettStadium-1,7cd541c0-f6e1-11ef-8360-6bc919d74da2,89.83515,NA,NA,9.70671,NA,NA,NA,c5e06caf-dcb7-420d-b0f2-66bbf9467bd4,2025-03-01,21:09:38,2025-03-01T21:09:38Z,2025-03-01T21:09:38Z,NA,v3,471251,471438,01 March 2025 16:00-setonhall@calpoly,"Collins, Jack",1000228996,Right,CAL_MUS,54.32646,-133.33087,17.24315,6.57658,-3.71999,-7.13324,1.37552,-1.15699,5.6282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-03-01,13:10:01,"Volmerding, Joshua",1000250725,Left,CAL_MUS,Undefined,Cutter,NA,NA,84.05603,-0.41471,0.415768,2273.783427,186.318615,12:15:00,6.49144,-1.46956,6.19543,-33.48175,5.74402,0.49417,3.31842,-1.04452,76.75298,-6.65653,0.505069,0.450772,-0.13232,3.51232,1.43803,50,6.44365,-0.90548,-122.11792,-1.93078,-0.19879,25.22367,-26.89797,12b6609d-4e19-4833-986e-6ba4a1053d14,NA,NA,NA,NA,NA,828657,"Robbins, Aiden",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,SET_PIR,1,Top,2,1,1,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,CAL_MUS,SET_PIR,BaggettStadium,D1,BW,20250301-BaggettStadium-1,8a20e1e0-f6e1-11ef-8360-6bc919d74da2,83.61748,NA,NA,7.30306,NA,NA,NA,c5e06caf-dcb7-420d-b0f2-66bbf9467bd4,2025-03-01,21:10:01,2025-03-01T21:10:01Z,2025-03-01T21:10:01Z,NA,v3,471251,471438,01 March 2025 16:00-setonhall@calpoly,"Collins, Jack",1000228996,Right,CAL_MUS,54.30329,-123.00356,12.61183,6.49486,-0.98636,-13.44898,1.4697,-0.8985,-0.09939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
