PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-23,13:02:41,"Rhadans, Dylan",1000051652,Left,WOF_TER,Undefined,Fastball,NA,NA,86.26093,-1.013195,4.491071,2297.101787,140.363513,10:45:00,5.81486,-2.48806,6.8447,-20.58151,16.37729,-12.42961,3.17286,0.57993,77.54016,-5.001061,2.22968,0.437553,8.06603,9.41217,2.20403,50,5.74204,-9.36017,-124.9441,-2.70072,12.51997,29.42201,-17.56466,0c5e3869-d6cc-47b9-96ec-7e8ad03dc222,NA,NA,NA,NA,-40.535458,823247,"Barr, Chris",2394.879571,NA,30.87757,Right,33.500032,NA,NA,NA,61.91086,61.45717,1.637587,-40.612172,1.12421,2.94512,-0.53495,NA,NA,NA,NA,NA,1,1,ARM_BLA,1,Top,0,0,0,Four-Seam,InPlay,Undefined,Bunt,Single,0,0,NA,WOF_TER,ARM_BLA,WoffordCollege,D1,SOCON,20250223-WoffordCollege-1,5f6e2ff0-f210-11ef-b972-0d5f044f7e7c,86.14378,12.36262,NA,8.72077,NA,NA,NA,c21abbff-b576-4188-91a4-820f7c95b2f3,2025-02-23,18:02:41,2025-02-23T18:02:41Z,2025-02-23T18:02:41Z,GroundBall,v3,471512,4744,23 February 2025 13:00-army@wofford,"Grantham, Lucas",10110626,Right,WOF_TER,53.65433,-125.80168,14.71101,5.8133,-2.18875,-8.78233,2.48218,-9.7251,6.25999,32.272263,1.12419,28.7032,-0.35459,0.08669,-0.30829,0.27847,-0.13738,0.04392,-0.00684,2.94512,24.99549,-16.86675,0.50079,-0.21187,-0.00154,0.14913,-0.10694,0.02318,-0.53495,-24.54438,-0.02764,0.1399,-0.01594,0.02367,-0.01815,-7e-5,0.00141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
2,2025-02-23,13:03:38,"Rhadans, Dylan",1000051652,Left,WOF_TER,Undefined,Fastball,NA,NA,85.13634,-3.517307,5.964794,2319.059359,135.486067,10:30:00,5.73486,-2.41324,6.56505,-21.64607,16.51316,-14.95005,0.6848,1.82914,77.65938,-7.630637,3.267847,0.444602,9.56004,10.07804,2.00688,50,5.48172,-12.29109,-122.91227,-8.15192,14.57067,25.20387,-16.81387,04dd7edb-d6a7-4d04-a099-10ec916e0f76,NA,NA,NA,NA,NA,1000235153,"Ainsworth, Addison",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,ARM_BLA,1,Top,0,0,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,WOF_TER,ARM_BLA,WoffordCollege,D1,SOCON,20250223-WoffordCollege-1,816d30b0-f210-11ef-b972-0d5f044f7e7c,84.77796,NA,NA,7.47696,NA,NA,NA,c21abbff-b576-4188-91a4-820f7c95b2f3,2025-02-23,18:03:38,2025-02-23T18:03:38Z,2025-02-23T18:03:38Z,NA,v3,471512,4744,23 February 2025 13:00-army@wofford,"Grantham, Lucas",10110626,Right,WOF_TER,53.93584,-123.71671,12.60194,5.73334,-7.61527,-8.40693,2.4066,-12.75615,7.28534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-02-23,13:03:58,"Rhadans, Dylan",1000051652,Left,WOF_TER,Undefined,Cutter,NA,NA,81.58224,-2.131285,4.696014,2385.341503,153.495202,11:00:00,5.6012,-2.62747,6.23528,-34.28829,7.00831,-2.90784,0.77013,1.47215,75.80228,-8.450145,4.172989,0.462518,2.71343,4.50418,2.27789,50,5.42428,-9.61427,-118.27179,-5.43091,3.87915,20.59359,-25.73482,7d5f4241-91d8-4834-93dd-b52806751564,NA,NA,NA,NA,NA,1000235153,"Ainsworth, Addison",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,ARM_BLA,1,Top,0,1,0,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,WOF_TER,ARM_BLA,WoffordCollege,D1,SOCON,20250223-WoffordCollege-1,8d822590-f210-11ef-b972-0d5f044f7e7c,81.49402,NA,NA,5.77996,NA,NA,NA,c21abbff-b576-4188-91a4-820f7c95b2f3,2025-02-23,18:03:58,2025-02-23T18:03:58Z,2025-02-23T18:03:58Z,NA,v3,471512,4744,23 February 2025 13:00-army@wofford,"Grantham, Lucas",10110626,Right,WOF_TER,54.26866,-119.01273,10.29679,5.60303,-4.50499,-12.86741,2.62632,-9.75384,1.93957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-02-23,13:04:18,"Rhadans, Dylan",1000051652,Left,WOF_TER,Undefined,Cutter,NA,NA,81.82315,0.868423,3.404065,2314.050677,157.953964,11:15:00,5.62881,-2.65262,6.36406,-37.18081,3.73666,-1.01937,3.33108,0.39883,75.25761,-6.04958,3.220005,0.46039,1.44043,2.11736,2.40651,50,5.67464,-7.02942,-118.80355,0.69284,2.06625,21.97724,-29.13673,6f63860d-5acb-4003-bea9-1722b4357a1d,NA,NA,NA,NA,NA,1000235153,"Ainsworth, Addison",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,ARM_BLA,1,Top,0,2,0,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,WOF_TER,ARM_BLA,WoffordCollege,D1,SOCON,20250223-WoffordCollege-1,99b577e0-f210-11ef-b972-0d5f044f7e7c,81.87071,NA,NA,6.56554,NA,NA,NA,c21abbff-b576-4188-91a4-820f7c95b2f3,2025-02-23,18:04:18,2025-02-23T18:04:18Z,2025-02-23T18:04:18Z,NA,v3,471512,4744,23 February 2025 13:00-army@wofford,"Grantham, Lucas",10110626,Right,WOF_TER,54.13714,-119.56642,10.98862,5.63304,1.70424,-14.56836,2.65176,-7.10114,1.03312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-02-23,13:04:58,"Rhadans, Dylan",1000051652,Left,WOF_TER,Undefined,Fastball,NA,NA,84.5279,-0.358619,4.435401,2329.226434,137.941255,10:30:00,5.78993,-2.56048,6.79132,-20.89548,17.43084,-14.50788,3.7203,0.28738,76.35023,-4.40013,1.798294,0.445574,9.10071,9.74146,2.27702,50,5.75845,-8.99366,-122.53201,-1.25791,13.66689,26.97523,-17.54489,af06858b-0796-465a-9634-3c2b848cccf5,NA,NA,NA,NA,-30.77851,1000235153,"Ainsworth, Addison",1544.159893,NA,33.91102,Left,7.311319,NA,NA,NA,34.91522,34.20666,0.666843,-29.343877,2.90535,3.67296,-0.23195,NA,NA,NA,NA,NA,2,4,ARM_BLA,1,Top,0,2,1,Four-Seam,InPlay,Undefined,Bunt,Sacrifice,1,0,NA,WOF_TER,ARM_BLA,WoffordCollege,D1,SOCON,20250223-WoffordCollege-1,b1746ad0-f210-11ef-b972-0d5f044f7e7c,84.59299,4.23058,NA,8.17767,NA,NA,NA,c21abbff-b576-4188-91a4-820f7c95b2f3,2025-02-23,18:04:58,2025-02-23T18:04:58Z,2025-02-23T18:04:58Z,GroundBall,v3,471512,4744,23 February 2025 13:00-army@wofford,"Grantham, Lucas",10110626,Right,WOF_TER,53.70948,-123.34595,13.48762,5.78842,-0.72852,-8.77244,2.55461,-9.40603,6.83345,33.760336,2.90121,42.4631,-1.7487,NA,NA,NA,NA,NA,NA,3.6776,6.23599,-17.63159,NA,NA,NA,NA,NA,NA,-0.22849,-25.31247,-0.01289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
6,2025-02-23,13:05:40,"Rhadans, Dylan",1000051652,Left,WOF_TER,Undefined,ChangeUp,NA,NA,78.18078,2.086181,2.423257,1165.559471,86.445066,09:00:00,5.34101,-2.86477,6.19732,-44.8203,0.56252,-14.46879,3.53451,-1.83203,71.32167,-6.240963,-0.186304,0.484861,8.13756,0.17539,2.6891,50,5.4761,-4.2749,-113.47723,2.79311,10.56936,21.5238,-31.94623,c3617747-13e6-4116-a100-d2ec990c283b,NA,NA,NA,NA,NA,1000124479,"Titus, Coleson",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,ARM_BLA,1,Top,1,0,0,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,WOF_TER,ARM_BLA,WoffordCollege,D1,SOCON,20250223-WoffordCollege-1,ca7c7f90-f210-11ef-b972-0d5f044f7e7c,77.73866,NA,NA,6.8591,NA,NA,NA,c21abbff-b576-4188-91a4-820f7c95b2f3,2025-02-23,18:05:40,2025-02-23T18:05:40Z,2025-02-23T18:05:40Z,NA,v3,471512,4744,23 February 2025 13:00-army@wofford,"Grantham, Lucas",10110626,Right,WOF_TER,54.30423,-114.29072,10.7619,5.34772,4.00052,-15.97312,2.85822,-4.67437,5.28468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-02-23,13:06:22,"Rhadans, Dylan",1000051652,Left,WOF_TER,Undefined,ChangeUp,NA,NA,78.00636,-0.380572,3.740964,1362.261212,82.995905,08:45:00,5.3608,-3.03476,6.24346,-46.09995,-0.45315,-15.98989,1.16735,-0.91171,71.41868,-8.908678,0.853172,0.486269,9.44241,0.3002,2.76363,50,5.30974,-6.84196,-113.1753,-2.11178,12.16339,21.96973,-31.78734,a4894f4d-03c2-44c3-a1bc-90ccf8853f1a,NA,NA,NA,NA,NA,1000124479,"Titus, Coleson",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,ARM_BLA,1,Top,1,1,0,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,WOF_TER,ARM_BLA,WoffordCollege,D1,SOCON,20250223-WoffordCollege-1,e3340350-f210-11ef-b972-0d5f044f7e7c,77.51354,NA,NA,6.58769,NA,NA,NA,c21abbff-b576-4188-91a4-820f7c95b2f3,2025-02-23,18:06:22,2025-02-23T18:06:22Z,2025-02-23T18:06:22Z,NA,v3,471512,4744,23 February 2025 13:00-army@wofford,"Grantham, Lucas",10110626,Right,WOF_TER,54.25972,-113.9992,10.98487,5.36659,-0.9197,-15.89367,3.02877,-7.29811,6.0817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-02-23,13:06:40,"Rhadans, Dylan",1000051652,Left,WOF_TER,Undefined,Cutter,NA,NA,82.33839,-0.35392,3.244167,2448.314462,164.747483,11:30:00,5.56763,-2.67941,6.34477,-32.79395,7.50524,-1.72646,2.50845,0.16656,76.01982,-6.46049,2.932315,0.456898,1.75433,4.34173,2.44418,50,5.52621,-6.72021,-119.63221,-1.69721,2.55795,21.75891,-25.84346,194e9e26-e8fa-4cec-974c-e13e053e37e7,NA,NA,NA,NA,-61.582654,1000124479,"Titus, Coleson",NA,NA,93.07279,Right,-38.808763,NA,NA,NA,5.18997,5.18997,0.032604,-36.220953,2.53272,2.79576,-0.00948,NA,NA,NA,NA,NA,3,3,ARM_BLA,1,Top,1,1,1,Slider,InPlay,Undefined,GroundBall,Out,1,0,NA,WOF_TER,ARM_BLA,WoffordCollege,D1,SOCON,20250223-WoffordCollege-1,ee30aa60-f210-11ef-b972-0d5f044f7e7c,82.49632,2.79576,NA,6.31857,NA,NA,NA,c21abbff-b576-4188-91a4-820f7c95b2f3,2025-02-23,18:06:40,2025-02-23T18:06:40Z,2025-02-23T18:06:40Z,GroundBall,v3,471512,4744,23 February 2025 13:00-army@wofford,"Grantham, Lucas",10110626,Right,WOF_TER,54.15833,-120.38616,10.87946,5.5695,-0.80173,-12.92173,2.67858,-6.80884,1.27898,NA,2.53211,50.7372,NA,NA,NA,NA,NA,NA,NA,2.79679,-85.74773,NA,NA,NA,NA,NA,NA,NA,-0.00836,-93.76862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Low,Low,NA,NA,NA
9,2025-02-23,13:07:20,"Rhadans, Dylan",1000051652,Left,WOF_TER,Undefined,Cutter,NA,NA,81.42391,0.12232,2.719779,2438.754312,169.478286,11:45:00,5.64607,-2.67667,6.256,-35.89372,5.46331,-0.78933,2.76785,-0.23246,75.10678,-6.544054,2.57732,0.462856,1.12504,3.17823,2.475,50,5.63751,-5.59228,-118.32144,-0.82085,1.60353,21.43414,-27.64412,9989c4f6-9ee8-482b-bf8c-e1dc75829543,NA,NA,NA,NA,-141.407519,1000136807,"Lehman, Justin",4837.567159,NA,67.23651,Right,18.794908,NA,NA,NA,120.79758,48.96764,1.591613,-150.36981,0.63074,2.55379,0.56965,NA,NA,NA,NA,NA,4,1,ARM_BLA,1,Top,2,0,0,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,WOF_TER,ARM_BLA,WoffordCollege,D1,SOCON,20250223-WoffordCollege-1,05eeda00-f211-11ef-b972-0d5f044f7e7c,81.43447,13.77877,NA,6.31713,NA,NA,NA,c21abbff-b576-4188-91a4-820f7c95b2f3,2025-02-23,18:07:20,2025-02-23T18:07:20Z,2025-02-23T18:07:20Z,LineDrive,v3,471512,4744,23 February 2025 13:00-army@wofford,"Grantham, Lucas",10110626,Right,WOF_TER,54.24602,-119.08813,10.71707,5.64919,0.16797,-13.82206,2.67606,-5.64963,0.80177,NA,0.63074,-72.96659,4.6499,-0.15567,-0.20493,0.10583,-0.0379,0.00979,-0.00126,2.55379,31.77144,-23.93997,2.17342,-0.16828,-0.04511,0.02883,-0.00849,0.00127,0.56965,-58.2328,19.86452,-6.40069,1.68956,-0.38557,0.06996,-0.00598,-2.2e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Low,NA,NA,NA
10,2025-02-23,13:07:49,"Rhadans, Dylan",1000051652,Left,WOF_TER,Undefined,Cutter,NA,NA,81.00645,-0.403428,3.823702,2478.157038,230.643672,01:45:00,5.50566,-2.63978,6.38184,-38.29226,4.0974,3.22043,1.94266,1.15153,73.69486,-7.540156,4.405152,0.468599,-0.46803,2.72244,2.36257,50,5.45928,-7.96436,-117.40555,-1.95203,-0.64507,24.83927,-28.42195,a12ec927-ac29-4175-991f-ef8799283b61,NA,NA,NA,NA,NA,1000136807,"Lehman, Justin",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,ARM_BLA,1,Top,2,0,1,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,WOF_TER,ARM_BLA,WoffordCollege,D1,SOCON,20250223-WoffordCollege-1,1754bd50-f211-11ef-b972-0d5f044f7e7c,80.43644,NA,NA,7.31159,NA,NA,NA,c21abbff-b576-4188-91a4-820f7c95b2f3,2025-02-23,18:07:49,2025-02-23T18:07:49Z,2025-02-23T18:07:49Z,NA,v3,471512,4744,23 February 2025 13:00-army@wofford,"Grantham, Lucas",10110626,Right,WOF_TER,54.11748,-118.27347,12.41964,5.51014,-0.95893,-14.21098,2.64046,-7.94182,-0.32254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
