PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-29,18:29:24,"Reyes, Matt",1000149886,Right,DEL_BLU,Undefined,Sinker,NA,NA,84.31021,-1.066984,-3.200361,2092.614202,253.083608,02:30:00,4.9099,1.83798,5.93807,-32.52462,7.6791,20.10017,1.20801,0.54092,75.57168,-7.149746,0.409033,0.456357,-11.3904,4.75803,-1.59367,50,4.80665,6.00659,-122.05446,-3.31577,-16.76709,29.43816,-25.17004,c0f0bb86-c578-492a-9e39-c9a051f6b8f6,NA,NA,NA,NA,NA,824423,"Carson, Ansel",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,MAR_HAW,1,Top,0,0,0,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,DEL_BLU,MAR_HAW,BobHannahStadium,D1,CAA,20250429-BobHannahStadium-1,678783a0-2549-11f0-af0f-f52e6a1df6b9,82.59425,NA,NA,8.73853,NA,NA,NA,2c8d4e6b-0c63-4c39-bf11-7524ae535e35,2025-04-29,22:29:24,2025-04-29T22:29:24Z,2025-04-29T22:29:24Z,NA,v3,471283,471350,NA,"Walmsley, Brett",10109573,Right,DEL_BLU,54.56014,-123.14941,14.71908,4.91257,-2.37958,-12.58502,-1.82868,6.63024,-8.38354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-04-29,18:29:40,"Reyes, Matt",1000149886,Right,DEL_BLU,Undefined,Slider,NA,NA,75.283690000000007,1.772354,-0.480491,2070.603972,124.684105,10:15:00,4.71475,2.08461,5.36885,-48.68857,2.93087,-1.30008,2.31978,1.52573,67.29563,-7.208072,-0.711659,0.517104,0.47283,1.49406,-2.04058,50,4.84013,0.96518,-108.90446,1.78937,0.55283,23.84553,-30.42727,14f36497-513f-4a9a-aeda-687047acd35a,NA,NA,NA,NA,NA,824423,"Carson, Ansel",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,MAR_HAW,1,Top,0,0,1,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,DEL_BLU,MAR_HAW,BobHannahStadium,D1,CAA,20250429-BobHannahStadium-1,7161cac0-2549-11f0-af0f-f52e6a1df6b9,72.89138,NA,NA,7.98806,NA,NA,NA,2c8d4e6b-0c63-4c39-bf11-7524ae535e35,2025-04-29,22:29:40,2025-04-29T22:29:40Z,2025-04-29T22:29:40Z,NA,v3,471283,471350,NA,"Walmsley, Brett",10109573,Right,DEL_BLU,55.12559,-110.02103,11.92277,4.72299,3.21412,-15.21364,-2.08517,0.93929,0.27642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-04-29,18:29:55,"Reyes, Matt",1000149886,Right,DEL_BLU,Undefined,Sinker,NA,NA,83.91317,1.645752,-0.951383,2106.103033,242.618588,02:00:00,4.84257,1.89403,6.06011,-28.65317,11.64823,19.54568,3.9787,2.64219,74.97906,-3.783434,2.566196,0.456911,-10.23603,5.87028,-1.82965,50,4.95543,1.21121,-121.60318,2.63741,-14.97171,29.00055,-23.58792,c174a697-a9b7-4038-b37d-87620b69ab7d,NA,NA,NA,NA,NA,824423,"Carson, Ansel",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,MAR_HAW,1,Top,0,1,1,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,DEL_BLU,MAR_HAW,BobHannahStadium,D1,CAA,20250429-BobHannahStadium-1,7a12ad10-2549-11f0-af0f-f52e6a1df6b9,82.49409,NA,NA,8.93411,NA,NA,NA,2c8d4e6b-0c63-4c39-bf11-7524ae535e35,2025-04-29,22:29:55,2025-04-29T22:29:55Z,2025-04-29T22:29:55Z,NA,v3,471283,471350,NA,"Walmsley, Brett",10109573,Right,DEL_BLU,54.43529,-122.65637,14.50028,4.8441,3.49404,-11.79396,-1.88351,1.75493,-7.48586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-04-29,18:30:11,"Reyes, Matt",1000149886,Right,DEL_BLU,Undefined,Sinker,NA,NA,83.00815,0.697913,-3.394377,2070.636649,246.364567,02:15:00,4.89536,1.79258,6.0644,-31.2873,9.97941,19.15596,2.93518,0.24373,74.17447,-5.203487,0.048684,0.462351,-11.07123,5.33339,-1.53927,50,4.93312,6.38189,-120.19251,0.52654,-15.80402,28.54216,-24.5607,5f80f61d-fd92-48c7-a94a-33326a9b759a,NA,NA,NA,NA,41.453517,824423,"Carson, Ansel",3615.399055,NA,88.28829,Left,25.790425,76.8589,39.25702,78.69355,255.4562,228.05652,3.125826,52.783189,1.97516,3.00573,-0.09421,NA,NA,NA,NA,NA,1,4,MAR_HAW,1,Top,0,2,1,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,DEL_BLU,MAR_HAW,BobHannahStadium,D1,CAA,20250429-BobHannahStadium-1,83a40450-2549-11f0-af0f-f52e6a1df6b9,81.5235,41.78995,NA,8.83368,NA,NA,NA,2c8d4e6b-0c63-4c39-bf11-7524ae535e35,2025-04-29,22:30:11,2025-04-29T22:30:11Z,2025-04-29T22:30:11Z,LineDrive,v3,471283,471350,NA,"Walmsley, Brett",10109573,Right,DEL_BLU,54.43434,-121.24096,14.27108,4.89721,1.42874,-12.28035,-1.78436,6.96242,-7.90201,NA,1.97478,87.39584,-20.3379,4.53487,-1.00415,0.18237,-0.02644,0.00148,1.5e-4,3.00583,56.33476,-23.2686,2.51112,-0.44656,0.05597,-0.00239,1.7e-4,-9e-5,-0.09427,77.18801,-3.0462,-0.60816,0.10095,0.07258,-0.04281,0.00843,-5.9e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Medium,NA,NA,NA
5,2025-04-29,18:30:33,"Reyes, Matt",1000149886,Right,DEL_BLU,Undefined,Slider,NA,NA,75.59628,2.794851,-2.163699,2052.332848,72.784123,08:30:00,4.80769,1.89739,5.7759,-48.51235,1.0924,-1.81551,3.36962,-0.26826,68.6667,-6.159792,-2.488242,0.506913,0.265,0.26315,-1.71752,50,5.01001,4.20617,-109.53074,3.84984,0.31933,20.79795,-31.85693,00dba0c2-20d0-41db-a097-463a54916bab,NA,NA,NA,NA,NA,824423,"Carson, Ansel",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,MAR_HAW,1,Top,0,2,2,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,DEL_BLU,MAR_HAW,BobHannahStadium,D1,CAA,20250429-BobHannahStadium-1,909c2d40-2549-11f0-af0f-f52e6a1df6b9,74.35688,NA,NA,6.92958,NA,NA,NA,2c8d4e6b-0c63-4c39-bf11-7524ae535e35,2025-04-29,22:30:33,2025-04-29T22:30:33Z,2025-04-29T22:30:33Z,NA,v3,471283,471350,NA,"Walmsley, Brett",10109573,Right,DEL_BLU,54.72267,-110.42386,10.39898,4.81532,5.21784,-15.92847,-1.89784,4.19246,0.15967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-04-29,18:30:50,"Reyes, Matt",1000149886,Right,DEL_BLU,Undefined,Sinker,NA,NA,83.35669,-1.507976,-3.158218,2143.149685,221.623955,01:30:00,4.89154,1.67564,6.23577,-22.84659,17.60233,14.29308,1.5941,-0.0497,74.98858,-5.877838,-0.580157,0.457746,-8.41898,10.04843,-1.44656,50,4.76761,6.10871,-120.75028,-3.78696,-12.20592,27.46802,-17.60571,07475614-6aa8-4ccf-8b58-67843b47ab39,NA,NA,NA,NA,NA,824423,"Carson, Ansel",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,MAR_HAW,1,Top,0,3,2,Changeup,StrikeCalled,Strikeout,Undefined,Undefined,0,0,NA,DEL_BLU,MAR_HAW,BobHannahStadium,D1,CAA,20250429-BobHannahStadium-1,9ad7a730-2549-11f0-af0f-f52e6a1df6b9,82.34351,NA,NA,8.36811,NA,NA,NA,2c8d4e6b-0c63-4c39-bf11-7524ae535e35,2025-04-29,22:30:50,2025-04-29T22:30:50Z,2025-04-29T22:30:50Z,NA,v3,471283,471350,NA,"Walmsley, Brett",10109573,Right,DEL_BLU,54.26148,-121.71581,13.73401,4.88985,-3.1681,-8.80285,-1.66883,6.53776,-6.10296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.31819,2.891561,1.845248,1.046313,0.11532,1.45866,0.06216,-0.80545,5.36419,-0.90673,80.65795,8.70656,-44.14253,-0.75585,83.37639,-5.33073,5.3916,17.52001,-13.72263,-0.94439,-45.25164,3.79831,High,High,High,NA,NA,High,High,High
7,2025-04-29,18:31:24,"Reyes, Matt",1000149886,Right,DEL_BLU,Undefined,Sinker,NA,NA,85.02597,-0.638069,-4.949304,2169.608955,225.218662,01:30:00,5.09748,1.66066,6.11759,-20.36911,18.83143,17.48048,2.80788,-1.47003,76.20892,-4.556241,-1.815249,0.450627,-10.53646,10.30697,-1.28884,50,5.03772,9.9245,-122.89577,-1.90579,-15.83344,28.31374,-16.68547,9decaede-eb5a-4336-8ae6-9e6428d58471,NA,NA,NA,NA,NA,1000400341,"Gonzalez-Perez, Jonathan",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,MAR_HAW,1,Top,1,0,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,DEL_BLU,MAR_HAW,BobHannahStadium,D1,CAA,20250429-BobHannahStadium-1,af2986e0-2549-11f0-af0f-f52e6a1df6b9,83.64441,NA,NA,8.81705,NA,NA,NA,2c8d4e6b-0c63-4c39-bf11-7524ae535e35,2025-04-29,22:31:24,2025-04-29T22:31:24Z,2025-04-29T22:31:24Z,NA,v3,471283,471350,NA,"Walmsley, Brett",10109573,Right,DEL_BLU,54.37875,-123.90048,14.15687,5.09484,-1.31372,-8.34274,-1.65097,10.48635,-7.91672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-04-29,18:31:38,"Reyes, Matt",1000149886,Right,DEL_BLU,Undefined,Slider,NA,NA,75.46876,2.43925,-2.590639,1993.021115,90.148214,09:00:00,4.83138,1.89904,6.07946,-47.83963,1.7915,-3.69118,3.1053,-0.80715,68.06274,-6.46307,-3.253925,0.507047,1.04543,0.61622,-1.69671,50,4.99512,5.07645,-109.32035,3.27511,1.24213,22.54075,-31.44191,e1afc495-cf35-44f7-8dcb-eb4decfaf2fb,NA,NA,NA,NA,-0.675168,1000400341,"Gonzalez-Perez, Jonathan",3886.467931,NA,99.11897,Right,31.751977,109.99547,66.21438,0.97489,394.4957,389.94479,5.386726,1.741164,1.46732,3.05381,0.79059,NA,NA,NA,NA,NA,2,2,MAR_HAW,1,Top,1,1,0,Curveball,InPlay,Undefined,FlyBall,Out,1,0,NA,DEL_BLU,MAR_HAW,BobHannahStadium,D1,CAA,20250429-BobHannahStadium-1,b7725890-2549-11f0-af0f-f52e6a1df6b9,74.33711,98.13167,NA,7.40602,NA,NA,NA,2c8d4e6b-0c63-4c39-bf11-7524ae535e35,2025-04-29,22:31:38,2025-04-29T22:31:38Z,2025-04-29T22:31:38Z,FlyBall,v3,471283,471350,NA,"Walmsley, Brett",10109573,Right,DEL_BLU,54.41953,-110.22785,11.27037,4.83778,4.54097,-15.72095,-1.90008,5.02644,0.62106,186.29637,1.4725,123.50627,-25.40046,6.40116,-1.09305,0.1012,-5.1e-4,-6.5e-4,3e-5,3.05097,76.55001,-15.96363,-0.22156,0.38701,-0.1459,0.03386,-0.00423,2.1e-4,0.79026,-1.44972,2.06885,-0.62465,0.13278,-0.01898,0.00156,-6e-5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
9,2025-04-29,18:32:15,"Reyes, Matt",1000149886,Right,DEL_BLU,Undefined,ChangeUp,NA,NA,79.00267,0.339462,-2.551578,1704.234057,252.906336,02:30:00,4.83261,1.97235,6.39488,-37.60923,6.97378,17.44119,2.01103,1.07746,71.37132,-6.73138,0.608118,0.480569,-9.90123,4.00496,-1.79645,50,4.84008,4.48494,-114.6301,-0.37368,-12.95498,24.47935,-26.93386,cab927e5-93b0-4c7e-9652-0472fa14d2fe,NA,NA,NA,NA,-130.634874,1000213588,"Aponte, Diego",2946.887912,NA,67.54101,Left,31.173747,NA,NA,NA,NA,39.76442,NA,NA,0.43075,1.96615,-1.05956,NA,NA,NA,NA,NA,3,1,MAR_HAW,1,Top,2,0,0,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,DEL_BLU,MAR_HAW,BobHannahStadium,D1,CAA,20250429-BobHannahStadium-1,cdbde560-2549-11f0-af0f-f52e6a1df6b9,78.43287,20.91453,NA,7.63135,NA,NA,NA,2c8d4e6b-0c63-4c39-bf11-7524ae535e35,2025-04-29,22:32:15,2025-04-29T22:32:15Z,2025-04-29T22:32:15Z,NA,v3,471283,471350,NA,"Walmsley, Brett",10109573,Right,DEL_BLU,54.10419,-115.50323,12.23968,4.83627,0.58699,-13.46693,-1.96466,4.94702,-6.47749,NA,0.4329,-55.25775,3.13905,NA,NA,NA,NA,NA,NA,1.98816,50.67264,-25.001,NA,NA,NA,NA,NA,NA,-1.07336,-63.94106,10.54929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Undefined,NA,NA,NA
10,2025-04-29,18:32:32,"Reyes, Matt",1000149886,Right,DEL_BLU,Undefined,Sinker,NA,NA,81.57388,-1.274375,-3.904178,1770.36822,252.930099,02:30:00,4.80298,1.96811,6.30246,-34.70344,7.52603,19.31918,0.73397,-0.02463,73.50964,-7.784702,-0.414186,0.467713,-11.37276,4.79217,-1.69004,50,4.69279,7.34859,-118.13722,-3.6439,-15.74682,26.75627,-25.5388,530c1cf7-051b-4471-ad69-386af2b11692,NA,NA,NA,NA,NA,1000213588,"Aponte, Diego",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,MAR_HAW,1,Top,2,0,1,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,DEL_BLU,MAR_HAW,BobHannahStadium,D1,CAA,20250429-BobHannahStadium-1,d8202130-2549-11f0-af0f-f52e6a1df6b9,80.58886,NA,NA,8.06424,NA,NA,NA,2c8d4e6b-0c63-4c39-bf11-7524ae535e35,2025-04-29,22:32:32,2025-04-29T22:32:32Z,2025-04-29T22:32:32Z,NA,v3,471283,471350,NA,"Walmsley, Brett",10109573,Right,DEL_BLU,54.19712,-119.08401,13.37813,4.80574,-2.74019,-12.7694,-1.95993,7.9058,-7.87341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
