PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-23,13:02:28,"Bourque, Tom",1000187575,Left,WM_TRI,Undefined,Fastball,NA,NA,88.17643,-2.743192,1.342904,2185.107713,138.735733,10:30:00,6.29531,-0.74479,5.70527,-18.05036,18.52064,-15.12395,2.23247,-0.75364,79.98934,-6.165806,-1.362742,0.435251,8.07981,10.62288,0.6417,50,6.05417,-2.34153,-127.78851,-6.66098,13.23341,28.67279,-14.77552,fa03426c-e1a9-4eb4-9553-8a969dc8ebdc,NA,NA,NA,NA,NA,1000301830,"Rodriguez, Lewis",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,MAR_RED,1,Top,0,0,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,WM_TRI,MAR_RED,PlumeriPark,D1,CAA,20250223-PlumeriPark-1,5853f330-f210-11ef-8df1-3357a3c756e2,86.59934,NA,NA,8.18709,NA,NA,NA,1342a143-940c-46a1-bfd9-23766bb4c76f,2025-02-23,18:02:28,2025-02-23T18:02:28Z,2025-02-23T18:02:28Z,NA,v3,471493,471346,23 February 2025 13:00-marist@willmary,"Barnes, Jerry",810954,Right,WM_TRI,54.79285,-128.85943,14.33639,6.29264,-6.10912,-7.38776,0.73839,-2.83579,6.6167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-02-23,13:02:43,"Bourque, Tom",1000187575,Left,WM_TRI,Undefined,Fastball,NA,NA,87.76817,-3.453362,1.112993,2180.383792,128.95726,10:15:00,6.31158,-0.53688,5.62578,-22.05237,15.10328,-17.03481,1.24689,-0.91773,79.62708,-7.572693,-1.932144,0.438716,8.99784,9.13186,0.45328,50,6.00309,-1.73632,-127.0912,-8.38278,14.53514,29.04593,-17.42241,ead9d47b-5aa2-408b-86f9-5ad480169594,NA,NA,NA,NA,NA,1000301830,"Rodriguez, Lewis",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,MAR_RED,1,Top,0,0,1,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,WM_TRI,MAR_RED,PlumeriPark,D1,CAA,20250223-PlumeriPark-1,61b95870-f210-11ef-8df1-3357a3c756e2,85.91529,NA,NA,8.14109,NA,NA,NA,1342a143-940c-46a1-bfd9-23766bb4c76f,2025-02-23,18:02:43,2025-02-23T18:02:43Z,2025-02-23T18:02:43Z,NA,v3,471493,471346,23 February 2025 13:00-marist@willmary,"Barnes, Jerry",810954,Right,WM_TRI,54.87296,-128.20005,14.52297,6.31041,-7.71767,-8.7112,0.53015,-2.2912,7.26757,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-02-23,13:03:00,"Bourque, Tom",1000187575,Left,WM_TRI,Undefined,ChangeUp,NA,NA,81.76856,-3.312201,2.176723,2099.255039,133.240781,10:30:00,6.20684,-0.70204,5.92478,-26.80982,16.00773,-15.2254,0.89357,0.04998,73.50043,-8.357984,-0.559473,0.470958,8.62087,9.8454,0.53675,50,5.92656,-3.91136,-118.28761,-7.62124,11.91719,27.67855,-18.56411,4cad5d5b-6402-4f52-802c-c3e3cc9a6cfd,NA,NA,NA,NA,NA,1000301830,"Rodriguez, Lewis",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,MAR_RED,1,Top,0,1,1,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,WM_TRI,MAR_RED,PlumeriPark,D1,CAA,20250223-PlumeriPark-1,6bbc0f20-f210-11ef-8df1-3357a3c756e2,80.03354,NA,NA,8.26814,NA,NA,NA,1342a143-940c-46a1-bfd9-23766bb4c76f,2025-02-23,18:03:00,2025-02-23T18:03:00Z,2025-02-23T18:03:00Z,NA,v3,471493,471346,23 February 2025 13:00-marist@willmary,"Barnes, Jerry",810954,Right,WM_TRI,54.57318,-119.35291,13.83927,6.20613,-6.90674,-9.28205,0.69611,-4.37003,5.9586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-02-23,13:03:20,"Bourque, Tom",1000187575,Left,WM_TRI,Undefined,ChangeUp,NA,NA,82.4002,-5.426517,2.534696,2313.57496,119.268841,10:00:00,6.06121,-0.81753,6.2219,-29.26462,12.25103,-19.153,-1.4047,-0.07323,75.12868,-10.852171,-0.931112,0.463743,11.04867,8.52642,0.63812,50,5.63904,-4.60929,-119.08903,-12.15767,15.6154,26.25252,-20.12342,820ad926-9004-4dda-9dcf-4dbbe9947af3,NA,NA,NA,NA,NA,1000301830,"Rodriguez, Lewis",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,MAR_RED,1,Top,0,1,2,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,WM_TRI,MAR_RED,PlumeriPark,D1,CAA,20250223-PlumeriPark-1,7754f630-f210-11ef-8df1-3357a3c756e2,81.27873,NA,NA,7.27152,NA,NA,NA,1342a143-940c-46a1-bfd9-23766bb4c76f,2025-02-23,18:03:20,2025-02-23T18:03:20Z,2025-02-23T18:03:20Z,NA,v3,471493,471346,23 February 2025 13:00-marist@willmary,"Barnes, Jerry",810954,Right,WM_TRI,54.28096,-120.02903,13.12626,6.06146,-11.43713,-10.06171,0.81317,-5.16842,7.8077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-02-23,13:03:43,"Bourque, Tom",1000187575,Left,WM_TRI,Undefined,Fastball,NA,NA,87.30356,-0.886031,1.948712,2209.722656,132.949,10:30:00,6.31371,-0.75338,6.04184,-22.61438,14.28276,-13.93367,3.60828,-0.10955,78.86424,-5.172222,-0.558713,0.437188,7.76024,8.00953,0.60873,50,6.23251,-3.73204,-126.63797,-2.63598,12.43514,29.05884,-19.33944,7b4f17b9-264d-4ecc-9367-ae30d9fce153,NA,NA,NA,NA,NA,1000301830,"Rodriguez, Lewis",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,MAR_RED,1,Top,0,2,2,Sinker,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,NA,WM_TRI,MAR_RED,PlumeriPark,D1,CAA,20250223-PlumeriPark-1,856e6da0-f210-11ef-8df1-3357a3c756e2,86.21572,NA,NA,8.43932,NA,NA,NA,1342a143-940c-46a1-bfd9-23766bb4c76f,2025-02-23,18:03:43,2025-02-23T18:03:43Z,2025-02-23T18:03:43Z,NA,v3,471493,471346,23 February 2025 13:00-marist@willmary,"Barnes, Jerry",810954,Right,WM_TRI,54.45568,-127.65629,14.52942,6.31301,-1.95826,-9.66972,0.74715,-4.16781,6.21757,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.33424,NA,NA,1.307471,NA,NA,NA,-2.46918,4.01235,3.15468,69.40234,12.89563,-55.3904,-2.43134,59.15224,-3.21374,4.20959,28.57299,-16.7231,3.04547,-50.24472,4.22165,High,High,High,NA,NA,High,High,High
6,2025-02-23,13:04:15,"Bourque, Tom",1000187575,Left,WM_TRI,Undefined,Fastball,NA,NA,89.10688,-0.812921,0.889611,2211.241633,130.572494,10:15:00,6.31112,-0.70628,5.79218,-21.58824,14.58379,-15.37702,3.75574,-1.16008,79.54039,-4.917284,-1.865719,0.43287,8.07567,8.10662,0.64203,50,6.2316,-1.31751,-129.07413,-2.50408,13.27676,33.24231,-18.84639,0be2fa87-1d0b-4ee0-b8b9-54fe2ae72e88,NA,NA,NA,NA,NA,1000397843,"Rivera, Noel",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,MAR_RED,1,Top,1,0,0,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,WM_TRI,MAR_RED,PlumeriPark,D1,CAA,20250223-PlumeriPark-1,982b0750-f210-11ef-8df1-3357a3c756e2,87.07558,NA,NA,9.56649,NA,NA,NA,1342a143-940c-46a1-bfd9-23766bb4c76f,2025-02-23,18:04:15,2025-02-23T18:04:15Z,2025-02-23T18:04:15Z,NA,v3,471493,471346,23 February 2025 13:00-marist@willmary,"Barnes, Jerry",810954,Right,WM_TRI,54.70253,-130.27961,16.62116,6.31002,-1.82065,-9.4232,0.69854,-1.79897,6.63838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-02-23,13:04:31,"Bourque, Tom",1000187575,Left,WM_TRI,Undefined,Cutter,NA,NA,78.93878,0.557394,0.856094,2297.967413,221.652999,01:30:00,6.2855,-0.64175,5.72621,-40.22183,5.00933,3.15941,3.4529,0.41895,72.19196,-6.863662,1.421694,0.48405,-1.35858,2.83225,0.56834,50,6.30733,-1.8338,-114.61573,-0.1662,-1.80044,21.92925,-28.42071,46a08fc4-261f-4038-a88a-07964c60b918,NA,NA,NA,NA,NA,1000397843,"Rivera, Noel",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,MAR_RED,1,Top,1,1,0,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,WM_TRI,MAR_RED,PlumeriPark,D1,CAA,20250223-PlumeriPark-1,a1ef2e60-f210-11ef-8df1-3357a3c756e2,77.86887,NA,NA,6.74681,NA,NA,NA,1342a143-940c-46a1-bfd9-23766bb4c76f,2025-02-23,18:04:31,2025-02-23T18:04:31Z,2025-02-23T18:04:31Z,NA,v3,471493,471346,23 February 2025 13:00-marist@willmary,"Barnes, Jerry",810954,Right,WM_TRI,54.77269,-115.52527,10.96463,6.28978,1.01258,-14.21035,0.64285,-1.75912,-0.90022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-02-23,13:04:47,"Bourque, Tom",1000187575,Left,WM_TRI,Undefined,Cutter,NA,NA,78.16392,-0.52477,-0.741892,2561.730187,265.643984,02:45:00,6.23696,-0.74941,5.62991,-44.4568,2.13776,7.10741,2.04253,-0.84941,71.30093,-8.684644,0.530207,0.491291,-3.86547,1.65945,0.8078,50,6.16367,1.20162,-113.43614,-2.46723,-4.97962,22.94555,-30.0363,557bcd73-6aa1-4eaa-a326-8c26cda2fdc7,NA,NA,NA,NA,111.26239,1000397843,"Rivera, Noel",2404.584883,NA,56.31346,Right,58.274349,NA,NA,NA,NA,12.02661,NA,NA,1.36269,2.11453,1.17822,NA,NA,NA,NA,NA,2,3,MAR_RED,1,Top,1,1,1,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,WM_TRI,MAR_RED,PlumeriPark,D1,CAA,20250223-PlumeriPark-1,abad13e0-f210-11ef-8df1-3357a3c756e2,76.72117,19.37393,NA,6.863,NA,NA,NA,1342a143-940c-46a1-bfd9-23766bb4c76f,2025-02-23,18:04:47,2025-02-23T18:04:47Z,2025-02-23T18:04:47Z,NA,v3,471493,471346,23 February 2025 13:00-marist@willmary,"Barnes, Jerry",810954,Right,WM_TRI,54.87031,-114.41705,11.47278,6.2417,-1.18319,-15.01815,0.75188,1.41449,-2.48981,NA,1.36368,-15.79973,-2.2968,NA,NA,NA,NA,NA,NA,2.11609,70.17404,-20.99101,NA,NA,NA,NA,NA,NA,1.17935,40.4193,-4.80011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Undefined,NA,NA,NA
9,2025-02-23,13:05:06,"Bourque, Tom",1000187575,Left,WM_TRI,Undefined,Fastball,NA,NA,88.99544,-1.766689,1.005015,2331.953606,153.141113,11:00:00,6.384,-0.63176,5.6313,-13.36162,23.22367,-11.01426,3.62135,-0.61179,79.1819,-4.400812,-0.961845,0.435336,5.93343,12.80154,0.55344,50,6.22566,-1.76831,-128.80444,-4.29557,9.69219,33.64895,-11.26283,f26455e8-a24a-46c8-87c1-c310fa255065,NA,NA,NA,NA,49.385258,1000397843,"Rivera, Noel",4740.588181,NA,79.13183,Right,66.957479,NA,NA,NA,NA,45.16015,NA,NA,1.17583,3.62394,0.50423,NA,NA,NA,NA,NA,2,4,MAR_RED,1,Top,1,1,2,Four-Seam,FoulBallFieldable,Undefined,Undefined,Undefined,0,0,NA,WM_TRI,MAR_RED,PlumeriPark,D1,CAA,20250223-PlumeriPark-1,b6a2b610-f210-11ef-8df1-3357a3c756e2,86.5824,95.59012,NA,9.81353,NA,NA,NA,1342a143-940c-46a1-bfd9-23766bb4c76f,2025-02-23,18:05:06,2025-02-23T18:05:06Z,2025-02-23T18:05:06Z,NA,v3,471493,471346,23 February 2025 13:00-marist@willmary,"Barnes, Jerry",810954,Right,WM_TRI,54.86413,-130.06894,16.82448,6.37913,-3.87232,-5.63142,0.62673,-2.13253,4.8461,NA,1.17583,29.57189,-16.68544,6.01316,-1.68579,0.43902,-0.11583,0.0281,-0.00415,3.62394,106.79996,-29.95502,3.72954,-0.57258,0.06073,-0.01241,0.00725,-0.0019,0.50423,34.48416,-1.51785,-0.5649,0.33605,-0.11385,0.02739,-0.0034,-4e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Undefined,NA,NA,NA
10,2025-02-23,13:05:35,"Bourque, Tom",1000187575,Left,WM_TRI,Undefined,ChangeUp,NA,NA,81.36307,-1.982311,1.240159,2122.451391,140.295373,10:45:00,6.12595,-0.81808,5.84362,-25.879270000000002,17.49473,-13.08961,2.12594,-0.75617,72.80409,-6.887154,-1.10839,0.474009,7.07402,10.11552,0.72462,50,5.94971,-2.02273,-117.77909,-4.80991,9.67948,27.76525,-18.33283,5fb7b206-bca8-4186-b344-4e2dd6865322,NA,NA,NA,NA,NA,1000397843,"Rivera, Noel",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,MAR_RED,1,Top,1,1,2,Changeup,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,NA,WM_TRI,MAR_RED,PlumeriPark,D1,CAA,20250223-PlumeriPark-1,c7f58690-f210-11ef-8df1-3357a3c756e2,79.51848,NA,NA,8.55898,NA,NA,NA,1342a143-940c-46a1-bfd9-23766bb4c76f,2025-02-23,18:05:35,2025-02-23T18:05:35Z,2025-02-23T18:05:35Z,NA,v3,471493,471346,23 February 2025 13:00-marist@willmary,"Barnes, Jerry",810954,Right,WM_TRI,54.65072,-118.8704,13.88263,6.1246,-4.08935,-9.16641,0.81159,-2.40318,4.83974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.79319,2.413619,1.144576,1.269043,-0.24638,1.92237,0.78941,-3.13884,4.87838,2.29759,68.95551,7.95074,-55.83165,-3.07994,61.75463,-3.92562,5.01285,22.54778,-15.92241,2.20595,-51.42642,4.47429,High,High,High,NA,NA,High,High,High
