PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-03-07,16:06:10,"Bendik, Brady",10283647,Right,NAV_MID,Undefined,Fastball,NA,NA,85.28988,-1.655753,-2.242294,2099.560585,189.345211,12:15:00,5.21605,2.17664,6.02814,-27.17139,11.54568,1.67417,1.41675,0.23847,77.28815,-6.749602,-1.941154,0.44784,-1.58221,6.86378,-2.00219,50,5.07183,4.7768,-123.66911,-4.41061,-2.41643,27.84528,-21.69124,90e5013d-1c83-47f3-ba8e-75d693416a11,NA,NA,NA,NA,NA,10108911,"Tirado, Anthony",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,UMA_AMH,1,Top,0,0,0,Cutter,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,NAV_MID,UMA_AMH,USNavalAcademy,D1,PAT,20250307-USNavalAcademy-1,febc1ff0-fb97-11ef-ae87-773fa543d761,84.16504,NA,NA,8.00172,NA,NA,NA,73e9da7c-dda3-4080-a2e0-bf863255d03f,2025-03-07,21:06:10,2025-03-07T21:06:10Z,2025-03-07T21:06:10Z,NA,v3,471474,umass,NA,"DePerno, Ty",10277636,Right,NAV_MID,54.47054,-124.67163,13.92264,5.21657,-3.62966,-10.84562,-2.17573,4.8638,-1.20821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-03-07,16:06:20,"Bendik, Brady",10283647,Right,NAV_MID,Undefined,Fastball,NA,NA,84.523,0.943854,-0.161598,2128.297217,167.980503,11:30:00,5.22182,2.05794,6.00402,-26.04655,13.15327,-2.52083,3.92587,1.69815,76.63239,-3.968275,-0.614913,0.450623,1.2348,6.86544,-2.04394,50,5.28184,0.44881,-122.68333,1.23781,1.86771,25.98705,-21.78974,eb81b9b4-481d-441a-9f0d-0185646df11b,NA,NA,NA,NA,NA,10108911,"Tirado, Anthony",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,UMA_AMH,1,Top,0,0,1,Cutter,BallCalled,Undefined,Undefined,Undefined,0,0,NA,NAV_MID,UMA_AMH,USNavalAcademy,D1,PAT,20250307-USNavalAcademy-1,04f04270-fb98-11ef-ae87-773fa543d761,83.64516,NA,NA,7.89061,NA,NA,NA,73e9da7c-dda3-4080-a2e0-bf863255d03f,2025-03-07,21:06:20,2025-03-07T21:06:20Z,2025-03-07T21:06:20Z,NA,v3,471474,umass,NA,"DePerno, Ty",10277636,Right,NAV_MID,54.49188,-123.63115,12.99353,5.2222,2.03254,-10.89487,-2.05907,0.38069,0.93386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-03-07,16:06:31,"Bendik, Brady",10283647,Right,NAV_MID,Undefined,Fastball,NA,NA,84.47182,0.233893,-1.214668,2138.384745,184.925811,12:15:00,5.26561,2.13505,6.11836,-26.47462,13.01068,0.99595,3.27569,1.09487,75.90693,-4.784927,-1.035198,0.452261,-0.91047,7.05681,-2.04246,50,5.26995,2.55653,-122.48609,-0.27593,-1.3579,28.31727,-21.6493,5d1da922-8dde-4e69-adaa-e281461ab1ce,NA,NA,NA,NA,NA,10108911,"Tirado, Anthony",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,UMA_AMH,1,Top,0,1,1,Cutter,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,NAV_MID,UMA_AMH,USNavalAcademy,D1,PAT,20250307-USNavalAcademy-1,0b3e5590-fb98-11ef-ae87-773fa543d761,83.34224,NA,NA,8.5649,NA,NA,NA,73e9da7c-dda3-4080-a2e0-bf863255d03f,2025-03-07,21:06:31,2025-03-07T21:06:31Z,2025-03-07T21:06:31Z,NA,v3,471474,umass,NA,"DePerno, Ty",10277636,Right,NAV_MID,54.37576,-123.49356,14.15863,5.26606,0.49431,-10.82465,-2.13428,2.60484,-0.67895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-03-07,16:06:42,"Bendik, Brady",10283647,Right,NAV_MID,Undefined,Curveball,NA,NA,71.67106,2.214789,0.415304,2396.023861,48.453159,07:30:00,5.31451,2.11477,5.42769,-71.91508,-14.21402,-18.85218,1.39705,0.93273,63.68832,-10.933486,-2.949485,0.546718,9.67843,-7.44374,-2.13784,50,5.46122,-0.0592,-103.65372,1.73191,10.05289,24.61742,-39.90578,5d99071c-2e00-420f-aab3-a35d4b3d6617,NA,NA,NA,NA,NA,10108911,"Tirado, Anthony",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,UMA_AMH,1,Top,0,1,2,Curveball,StrikeCalled,Strikeout,Undefined,Undefined,0,0,NA,NAV_MID,UMA_AMH,USNavalAcademy,D1,PAT,20250307-USNavalAcademy-1,126e6440-fb98-11ef-ae87-773fa543d761,68.94311,NA,NA,7.98273,NA,NA,NA,73e9da7c-dda3-4080-a2e0-bf863255d03f,2025-03-07,21:06:42,2025-03-07T21:06:42Z,2025-03-07T21:06:42Z,NA,v3,471474,umass,NA,"DePerno, Ty",10277636,Right,NAV_MID,55.07253,-104.85151,12.30871,5.32972,3.67357,-19.95289,-2.12306,-0.54833,5.02644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76.96495,NA,NA,0.829321,NA,NA,NA,3.02775,5.68093,-3.63934,70.58014,6.56189,-54.23119,3.07591,87.17715,-6.95053,5.68375,10.27245,-11.10754,-3.72357,-68.9602,9.68335,High,High,High,NA,NA,High,Medium,Medium
5,2025-03-07,16:07:10,"Bendik, Brady",10283647,Right,NAV_MID,Undefined,Fastball,NA,NA,86.1728,-0.161732,-3.530267,2172.206518,176.326004,12:00:00,5.26217,1.7948,5.92924,-23.30938,14.8793,-0.86815,3.16938,-1.55723,77.73468,-4.569393,-3.685618,0.444773,-0.68626,8.06607,-1.51188,50,5.2362,7.73365,-124.7712,-1.05139,-1.06648,28.42625,-19.63893,afa4712b-6338-4f31-8059-6785a6ba8b7b,NA,NA,NA,NA,NA,1000325281,"Sullivan, Braden",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,UMA_AMH,1,Top,1,0,0,Cutter,BallCalled,Undefined,Undefined,Undefined,0,0,NA,NAV_MID,UMA_AMH,USNavalAcademy,D1,PAT,20250307-USNavalAcademy-1,2287a350-fb98-11ef-ae87-773fa543d761,84.74528,NA,NA,8.43812,NA,NA,NA,73e9da7c-dda3-4080-a2e0-bf863255d03f,2025-03-07,21:07:10,2025-03-07T21:07:10Z,2025-03-07T21:07:10Z,NA,v3,471474,umass,NA,"DePerno, Ty",10277636,Right,NAV_MID,54.56643,-125.80725,14.21312,5.26148,-0.33561,-9.81946,-1.79446,7.77252,-0.53324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-03-07,16:07:21,"Bendik, Brady",10283647,Right,NAV_MID,Undefined,Fastball,NA,NA,85.28629,-1.103589,-2.348485,2149.757868,182.612289,12:00:00,5.28184,1.8839,6.0914,-21.8456,16.73202,0.70154,2.43956,-0.23123,77.18627,-5.256863,-2.222265,0.447033,-1.10221,9.38193,-1.70317,50,5.18528,5.04539,-123.69289,-3.00099,-1.68625,27.55759,-17.82093,59936f04-6454-4b4c-87db-4f450473dbbd,NA,NA,NA,NA,NA,1000325281,"Sullivan, Braden",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,UMA_AMH,1,Top,1,1,0,Cutter,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,NAV_MID,UMA_AMH,USNavalAcademy,D1,PAT,20250307-USNavalAcademy-1,29a143d0-fb98-11ef-ae87-773fa543d761,84.31698,NA,NA,8.10002,NA,NA,NA,73e9da7c-dda3-4080-a2e0-bf863255d03f,2025-03-07,21:07:21,2025-03-07T21:07:21Z,2025-03-07T21:07:21Z,NA,v3,471474,umass,NA,"DePerno, Ty",10277636,Right,NAV_MID,54.40662,-124.67077,13.7788,5.28054,-2.36861,-8.91047,-1.88326,5.10523,-0.84312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-03-07,16:07:39,"Bendik, Brady",10283647,Right,NAV_MID,Undefined,Fastball,NA,NA,86.5773,0.014704,-2.348659,2214.341205,154.872749,11:15:00,5.38292,1.89527,6.07578,-26.51946,10.87481,-4.50162,3.18658,-0.65426,78.48204,-4.969489,-3.15807,0.440123,1.5839,5.98311,-1.71122,50,5.37011,5.3347,-125.58534,-0.79059,2.50301,27.92473,-22.71903,0ff16a6d-f8c3-40e8-a827-8d25db3f1b64,NA,NA,NA,NA,NA,1000325281,"Sullivan, Braden",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,UMA_AMH,1,Top,1,1,1,Cutter,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,NAV_MID,UMA_AMH,USNavalAcademy,D1,PAT,20250307-USNavalAcademy-1,33ee9810-fb98-11ef-ae87-773fa543d761,85.64075,NA,NA,8.09526,NA,NA,NA,73e9da7c-dda3-4080-a2e0-bf863255d03f,2025-03-07,21:07:39,2025-03-07T21:07:39Z,2025-03-07T21:07:39Z,NA,v3,471474,umass,NA,"DePerno, Ty",10277636,Right,NAV_MID,54.42105,-126.56457,13.96237,5.38386,0.00609,-11.35951,-1.89675,5.24693,1.2515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-03-07,16:07:53,"Bendik, Brady",10283647,Right,NAV_MID,Undefined,Curveball,NA,NA,72.31187,1.810703,-0.964356,2343.068915,63.391063,08:00:00,5.25345,2.0266,5.45463,-61.46956,-6.27055,-16.41446,1.82685,-0.24412,65.71993,-9.404589,-3.889448,0.534733,7.98004,-3.24673,-1.92975,50,5.3709,2.35773,-104.84001,1.39163,8.71779,20.77691,-35.72092,d7746fff-56be-462b-b6d3-4cb8d9dc4caf,NA,NA,NA,NA,NA,1000325281,"Sullivan, Braden",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,UMA_AMH,1,Top,1,1,2,Curveball,StrikeCalled,Strikeout,Undefined,Undefined,0,0,NA,NAV_MID,UMA_AMH,USNavalAcademy,D1,PAT,20250307-USNavalAcademy-1,3cbaa380-fb98-11ef-ae87-773fa543d761,70.48833,NA,NA,6.59193,NA,NA,NA,73e9da7c-dda3-4080-a2e0-bf863255d03f,2025-03-07,21:07:53,2025-03-07T21:07:53Z,2025-03-07T21:07:53Z,NA,v3,471474,umass,NA,"DePerno, Ty",10277636,Right,NAV_MID,55.04678,-105.83544,10.38846,5.26323,3.10304,-17.86046,-2.03271,1.94006,4.35889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.38077,NA,NA,0.82395,NA,NA,NA,2.36333,5.64838,-3.75031,70.27459,6.1355,-54.53609,2.41294,87.85854,-6.64089,5.66231,10.46508,-11.99414,-3.83621,-69.08448,9.11276,High,High,High,NA,NA,High,Medium,High
9,2025-03-07,16:08:19,"Bendik, Brady",10283647,Right,NAV_MID,Undefined,Fastball,NA,NA,86.61878,-1.563328,-3.16851,2180.516402,162.712776,11:30:00,5.437,1.61533,6.02133,-24.95907,12.57351,-3.50851,1.9065,-1.61483,78.62655,-6.245127,-3.798143,0.440936,0.82138,7.34079,-1.36509,50,5.30091,7.0895,-125.50993,-4.19782,1.29539,28.09005,-20.59719,e3bccbba-4954-49fe-981c-8dbd2da1233e,NA,NA,NA,NA,NA,1000102134,"Beverly, Jack",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,UMA_AMH,1,Top,2,0,0,Cutter,BallCalled,Undefined,Undefined,Undefined,0,0,NA,NAV_MID,UMA_AMH,USNavalAcademy,D1,PAT,20250307-USNavalAcademy-1,4c27eb20-fb98-11ef-ae87-773fa543d761,85.48279,NA,NA,7.99222,NA,NA,NA,73e9da7c-dda3-4080-a2e0-bf863255d03f,2025-03-07,21:08:19,2025-03-07T21:08:19Z,2025-03-07T21:08:19Z,NA,v3,471474,umass,NA,"DePerno, Ty",10277636,Right,NAV_MID,54.47644,-126.50782,14.04503,5.43704,-3.46611,-10.2986,-1.61613,7.04348,0.6477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-03-07,16:08:31,"Bendik, Brady",10283647,Right,NAV_MID,Undefined,Fastball,NA,NA,85.07622,-0.648423,-2.629139,2266.634687,161.145767,11:15:00,5.31575,2.12933,5.99735,-26.73702,11.73993,-3.59874,2.48614,-0.60858,77.95566,-5.640181,-3.275149,0.446449,1.11819,6.58579,-1.92027,50,5.24995,5.81325,-123.49358,-2.22739,1.72666,24.61547,-22.0047,b7c647c2-6c7a-4671-8c31-566b7c473ce3,NA,NA,NA,NA,NA,1000102134,"Beverly, Jack",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,UMA_AMH,1,Top,2,1,0,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,NAV_MID,UMA_AMH,USNavalAcademy,D1,PAT,20250307-USNavalAcademy-1,52ff2b70-fb98-11ef-ae87-773fa543d761,84.42722,NA,NA,7.12056,NA,NA,NA,73e9da7c-dda3-4080-a2e0-bf863255d03f,2025-03-07,21:08:31,2025-03-07T21:08:31Z,2025-03-07T21:08:31Z,NA,v3,471474,umass,NA,"DePerno, Ty",10277636,Right,NAV_MID,54.50141,-124.38759,12.30773,5.31633,-1.4282,-11.00235,-2.13027,5.75054,0.86333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
