PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-22,12:06:10,"Sivley, Kros",1000187789,Left,SOU_GOL,Undefined,Fastball,NA,NA,88.61292,0.508906,3.070558,1894.465885,117.018847,10:00:00,5.32255,-1.47953,6.31933,-26.84718,8.43095,-14.2091,3.55469,0.16711,80.37912,-4.548505,0.503721,0.427488,8.37626,4.56603,1.2617,50,5.34699,-6.34514,-128.61529,0.31621,13.91349,28.75328,-24.5896,97fa5d2d-9f3d-4d69-a86d-ce970b540af4,NA,NA,NA,NA,26.891056,699599,"Berkley, Garrison",NA,NA,46.22064,Right,-38.172741,NA,NA,NA,6.8828,6.59366,0.085217,16.112336,2.51264,3.61383,-0.16902,NA,NA,NA,NA,NA,1,1,LOU_BUL,1,Top,0,0,0,Sinker,InPlay,Undefined,Bunt,Single,0,0,NA,SOU_GOL,LOU_BUL,HillDensonField,D1,SBELT,20250222-HillDensonField-1,b264d7a0-f147-11ef-9355-fd1b21042958,88.17188,3.61383,NA,8.2338,NA,NA,NA,9a1f0b6b-49a2-42df-851b-1a7e8d850ca5,2025-02-22,18:06:10,2025-02-22T18:06:10Z,2025-02-22T18:06:10Z,GroundBall,v3,471449,3374,22 February 2025 15:00-latech@smiss,"Stockman, Tucker",1000181089,Right,SOU_GOL,54.1798,-129.54635,14.37664,5.32386,1.11246,-12.2948,1.47446,-6.79568,6.95674,180,2.50469,48.10991,NA,NA,NA,NA,NA,NA,NA,3.62084,-42.4073,NA,NA,NA,NA,NA,NA,NA,-0.17305,24.39811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
2,2025-02-22,12:06:47,"Sivley, Kros",1000187789,Left,SOU_GOL,Undefined,Fastball,NA,NA,88.55045,0.751969,3.071103,1916.774844,120.773284,10:00:00,5.42316,-1.41222,6.41992,-24.33383,11.00288,-16.40895,4.08763,0.0462,79.9318,-3.872415,0.101554,0.427843,9.53796,5.8639,1.20004,50,5.46584,-6.24735,-128.47624,0.97624,15.7453,29.68177,-22.4939,94738fb3-f2c8-4881-bd01-7ad6055221c2,NA,NA,NA,NA,NA,1000299399,"Ballard, Michael",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,LOU_BUL,1,Top,0,0,0,Sinker,InPlay,Undefined,Bunt,Sacrifice,0,1,NA,SOU_GOL,LOU_BUL,HillDensonField,D1,SBELT,20250222-HillDensonField-1,c88d2500-f147-11ef-9355-fd1b21042958,88.09879,NA,NA,8.61865,NA,NA,NA,9a1f0b6b-49a2-42df-851b-1a7e8d850ca5,2025-02-22,18:06:47,2025-02-22T18:06:47Z,2025-02-22T18:06:47Z,NA,v3,471449,3374,22 February 2025 15:00-latech@smiss,"Stockman, Tucker",1000181089,Right,SOU_GOL,54.07788,-129.41493,14.84088,5.42371,1.68761,-11.24695,1.40549,-6.74529,7.87265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-02-22,12:07:43,"Sivley, Kros",1000187789,Left,SOU_GOL,Undefined,Fastball,NA,NA,89.08956,-0.271917,3.797784,1980.400084,116.409338,10:00:00,5.29035,-1.36218,6.3095,-25.77368,9.43741,-16.44158,2.89151,0.77128,80.26842,-5.144591,0.830662,0.427082,9.68426,5.3713,1.09067,50,5.25826,-7.88637,-129.08423,-1.40848,16.10079,30.54061,-23.24388,aedc4387-6a27-44c3-a07d-9baaf1fc915a,NA,NA,NA,NA,NA,813832,"Coates, Colton",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,LOU_BUL,1,Top,0,0,0,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,SOU_GOL,LOU_BUL,HillDensonField,D1,SBELT,20250222-HillDensonField-1,ea31a9b0-f147-11ef-9355-fd1b21042958,88.2558,NA,NA,8.82114,NA,NA,NA,9a1f0b6b-49a2-42df-851b-1a7e8d850ca5,2025-02-22,18:07:43,2025-02-22T18:07:43Z,2025-02-22T18:07:43Z,NA,v3,471449,3374,22 February 2025 15:00-latech@smiss,"Stockman, Tucker",1000181089,Right,SOU_GOL,54.18633,-130.07092,15.27031,5.29163,-0.65753,-11.62194,1.35386,-8.40654,8.05039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-02-22,12:08:01,"Sivley, Kros",1000187789,Left,SOU_GOL,Undefined,ChangeUp,NA,NA,75.20828,0.869691,0.82825,1140.027497,105.791162,09:30:00,5.20506,-1.35999,5.91635,-45.32148,5.08662,-11.20028,2.23553,-1.52464,67.61309,-7.569605,-1.184787,0.511001,5.95225,2.92547,1.29966,50,5.24978,-1.15788,-108.99679,0.31266,6.99576,23.26814,-28.73569,2264c308-59f1-4ab7-a715-a37c7befd246,NA,NA,NA,NA,NA,813832,"Coates, Colton",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,LOU_BUL,1,Top,0,0,1,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,SOU_GOL,LOU_BUL,HillDensonField,D1,SBELT,20250222-HillDensonField-1,f4ef24e0-f147-11ef-9355-fd1b21042958,73.76201,NA,NA,7.59519,NA,NA,NA,9a1f0b6b-49a2-42df-851b-1a7e8d850ca5,2025-02-22,18:08:01,2025-02-22T18:08:01Z,2025-02-22T18:08:01Z,NA,v3,471449,3374,22 February 2025 15:00-latech@smiss,"Stockman, Tucker",1000181089,Right,SOU_GOL,54.57716,-109.96956,11.63407,5.2116,1.51401,-14.36784,1.35418,-1.45036,3.49788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-02-22,12:08:20,"Sivley, Kros",1000187789,Left,SOU_GOL,Undefined,ChangeUp,NA,NA,75.02813,0.320187,0.187344,1127.922395,94.352713,09:15:00,5.21716,-1.25888,6.00974,-47.47404,2.70626,-11.6704,1.55762,-2.05785,67.98467,-8.485464,-1.915522,0.509845,6.0389,1.84433,1.25036,50,5.21686,0.0615,-108.86924,-0.78178,7.11423,22.3991,-30.00128,441de8ae-8f05-4b6a-bb5c-bf0fba9539bb,NA,NA,NA,NA,NA,813832,"Coates, Colton",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,LOU_BUL,1,Top,0,0,2,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,SOU_GOL,LOU_BUL,HillDensonField,D1,SBELT,20250222-HillDensonField-1,ffde5e70-f147-11ef-9355-fd1b21042958,73.92924,NA,NA,7.04346,NA,NA,NA,9a1f0b6b-49a2-42df-851b-1a7e8d850ca5,2025-02-22,18:08:20,2025-02-22T18:08:20Z,2025-02-22T18:08:20Z,NA,v3,471449,3374,22 February 2025 15:00-latech@smiss,"Stockman, Tucker",1000181089,Right,SOU_GOL,54.48659,-109.78844,11.19955,5.22367,0.4494,-15.00064,1.25383,-0.23046,3.55711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-02-22,12:08:41,"Sivley, Kros",1000187789,Left,SOU_GOL,Undefined,Fastball,NA,NA,89.59946,-0.545911,4.231837,1983.696609,126.925359,10:15:00,5.31135,-1.26849,6.43209,-23.42143,10.95347,-13.0491,2.8564600000000002,1.54042,81.43824,-4.978524,1.874324,0.42198,7.98178,6.22717,0.97211,50,5.26186,-9.07689,-129.87433,-1.93667,13.56574,28.45003,-21.5904,343b7205-2fd0-4469-bfb6-9e2aa93ff099,NA,NA,NA,NA,NA,813832,"Coates, Colton",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,LOU_BUL,1,Top,0,1,2,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,SOU_GOL,LOU_BUL,HillDensonField,D1,SBELT,20250222-HillDensonField-1,0cadc9b0-f148-11ef-9355-fd1b21042958,89.32277,NA,NA,8.16122,NA,NA,NA,9a1f0b6b-49a2-42df-851b-1a7e8d850ca5,2025-02-22,18:08:41,2025-02-22T18:08:41Z,2025-02-22T18:08:41Z,NA,v3,471449,3374,22 February 2025 15:00-latech@smiss,"Stockman, Tucker",1000181089,Right,SOU_GOL,54.06423,-130.7616,14.22501,5.31176,-1.26333,-10.7952,1.26179,-9.49996,6.78287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-02-22,12:09:00,"Sivley, Kros",1000187789,Left,SOU_GOL,Undefined,Slider,NA,NA,77.372559999999993,0.368656,0.199484,2419.893154,277.875287,03:15:00,5.2456,-1.43382,5.57602,-49.43365,-1.455,22.9021,1.47046,0.661,70.20779,-8.690476,4.292251,0.498535,-11.57768,-0.40437,1.40109,50,5.24503,-1.26129,-112.2513,-0.88347,-14.48381,24.01799,-32.67994,29048da1-030a-4b96-a179-ebdcddba6e4b,NA,NA,NA,NA,NA,813832,"Coates, Colton",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,LOU_BUL,1,Top,0,2,2,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,NA,SOU_GOL,LOU_BUL,HillDensonField,D1,SBELT,20250222-HillDensonField-1,17c9b890-f148-11ef-9355-fd1b21042958,75.60644,NA,NA,7.16476,NA,NA,NA,9a1f0b6b-49a2-42df-851b-1a7e8d850ca5,2025-02-22,18:09:00,2025-02-22T18:09:00Z,2025-02-22T18:09:00Z,NA,v3,471449,3374,22 February 2025 15:00-latech@smiss,"Stockman, Tucker",1000181089,Right,SOU_GOL,54.92363,-113.2999,12.00899,5.25246,0.54329,-16.33997,1.44235,-0.62894,-7.24191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-02-22,12:09:30,"Sivley, Kros",1000187789,Left,SOU_GOL,Undefined,Fastball,NA,NA,89.33298,-0.635882,2.91626,1989.826784,119.191151,10:00:00,5.32304,-1.36225,6.42379,-24.51875,10.06205,-15.91091,2.69454,-0.00525,81.08815,-5.273532,0.034383,0.423242,9.20638,5.79327,1.16113,50,5.26657,-5.97949,-129.68142,-2.1758,15.54248,29.30369,-22.39366,f8833950-8d9b-45ea-8958-fb728108c79a,NA,NA,NA,NA,5.787025,1000222230,"Berch, Elijah (Eli)",2794.966367,NA,96.27588,Right,17.481447,108.34318,30.16622,19.0191,311.43568,311.43568,3.310323,17.641667,0.59891,2.61118,0.03249,NA,NA,NA,NA,NA,4,1,LOU_BUL,1,Top,1,0,0,Sinker,InPlay,Undefined,FlyBall,Double,0,1,NA,SOU_GOL,LOU_BUL,HillDensonField,D1,SBELT,20250222-HillDensonField-1,297668e0-f148-11ef-9355-fd1b21042958,89.05641,35.6961,NA,8.24484,NA,NA,NA,9a1f0b6b-49a2-42df-851b-1a7e8d850ca5,2025-02-22,18:09:30,2025-02-22T18:09:30Z,2025-02-22T18:09:30Z,LineDrive,v3,471449,3374,22 February 2025 15:00-latech@smiss,"Stockman, Tucker",1000181089,Right,SOU_GOL,54.07457,-130.5989,14.65184,5.32372,-1.47468,-11.19683,1.35596,-6.46612,7.77124,230.839127,0.59897,133.99528,-23.62252,5.23778,-1.11875,0.2446,-0.04983,0.00703,-4.5e-4,2.6111,42.41833,-13.8912,-0.02289,0.28871,-0.16354,0.05459,-0.00942,6.6e-4,0.03242,13.58105,9.48325,-2.92804,0.8609,-0.26246,0.0676,-0.0108,7.4e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
9,2025-02-22,12:10:08,"Sivley, Kros",1000187789,Left,SOU_GOL,Undefined,Slider,NA,NA,79.08935,1.386691,1.478039,2520.736794,277.735987,03:15:00,5.21006,-1.53734,5.41111,-47.47046,-1.23488,21.09513,2.55402,1.60562,71.62442,-7.301867,5.227449,0.489395,-10.22225,-0.69539,1.39025,50,5.30019,-3.78371,-114.64408,1.17342,-13.34885,24.91211,-33.08213,9bc03a27-9713-4e9c-8c56-5e35f0d549dd,NA,NA,NA,NA,NA,1000181464,"Comeaux, Grant",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,LOU_BUL,1,Top,1,0,0,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,SOU_GOL,LOU_BUL,HillDensonField,D1,SBELT,20250222-HillDensonField-1,40a1f570-f148-11ef-9355-fd1b21042958,77.01843,NA,NA,7.46493,NA,NA,NA,9a1f0b6b-49a2-42df-851b-1a7e8d850ca5,2025-02-22,18:10:08,2025-02-22T18:10:08Z,2025-02-22T18:10:08Z,NA,v3,471449,3374,22 February 2025 15:00-latech@smiss,"Stockman, Tucker",1000181089,Right,SOU_GOL,55.08874,-115.74457,12.45605,5.21607,2.63483,-16.54107,1.54437,-3.19402,-6.67442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-02-22,12:10:28,"Sivley, Kros",1000187789,Left,SOU_GOL,Undefined,ChangeUp,NA,NA,77.55729,0.481866,2.043832,1205.194474,86.239254,08:45:00,5.25688,-1.39253,5.89671,-46.34188,0.99665,-11.68965,1.84271,-0.4684,69.94778,-8.102408,-0.056415,0.495198,6.6387,0.90024,1.23458,50,5.26966,-3.56932,-112.41604,-0.49493,8.31911,24.32059,-31.04594,170a609c-c03e-4e74-9bbd-09bddd959243,NA,NA,NA,NA,NA,1000181464,"Comeaux, Grant",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,LOU_BUL,1,Top,1,1,0,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,SOU_GOL,LOU_BUL,HillDensonField,D1,SBELT,20250222-HillDensonField-1,4c45b1f0-f148-11ef-9355-fd1b21042958,76.11591,NA,NA,7.60952,NA,NA,NA,9a1f0b6b-49a2-42df-851b-1a7e8d850ca5,2025-02-22,18:10:28,2025-02-22T18:10:28Z,2025-02-22T18:10:28Z,NA,v3,471449,3374,22 February 2025 15:00-latech@smiss,"Stockman, Tucker",1000181089,Right,SOU_GOL,54.5992,-113.40669,12.1603,5.26406,0.76966,-15.52297,1.38687,-3.90819,4.15955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
