PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-22,12:02:11,"Cozzi, Gino",808462,Right,UNI_MON,Undefined,Fastball,NA,NA,87.11982,-2.882586,-3.991307,2196.752946,222.205048,01:30:00,6.53084,1.78494,5.48038,-18.12245,19.91336,16.79804,2.31431,-0.5563,78.71105,-6.322681,-1.008435,0.443882,-9.65123,11.30603,-1.4454,50,6.26489,8.03835,-125.89025,-6.89549,-15.3183,28.17709,-14.22932,c3223ae8-bffb-418e-b901-a7f766192e75,NA,NA,NA,NA,NA,830197,"Evans, Jordan",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,MIS_COL1,1,Top,0,0,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,UNI_MON,MIS_COL1,UofMontevallo,D2,Team,20250222-UofMontevallo-1,25573920-f147-11ef-8934-439e787b4a8d,84.91543,NA,NA,8.40878,NA,NA,NA,bd44ef15-aad7-45b4-b1d1-7c4b19da02e0,2025-02-22,18:02:11,2025-02-22T18:02:11Z,2025-02-22T18:02:11Z,NA,v3,NA,NA,NA,"Maldet, Dominic",10271177,Right,UNI_MON,55.02315,-127.00957,14.08855,6.52758,-6.33023,-7.11466,-1.7768,8.64686,-7.65915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-02-22,12:02:27,"Cozzi, Gino",808462,Right,UNI_MON,Undefined,Fastball,NA,NA,85.72974,-2.187725,-3.983378,2397.063592,236.072821,01:45:00,6.3316,1.62953,5.4652,-27.31431,11.57894,15.30276,2.00162,-0.82992,78.36282,-7.230337,-1.264835,0.448858,-8.89162,6.83138,-1.28903,50,6.1197,7.99806,-124.10518,-5.68645,-13.83987,25.29985,-21.54094,df40ab48-2337-42da-b00b-3af40a1d74cd,NA,NA,NA,NA,-11.325228,830197,"Evans, Jordan",NA,NA,90.52476,Right,-22.541137,NA,NA,NA,7.06295,7.06295,0.041004,-1.420041,2.12183,2.09064,0.81413,NA,NA,NA,NA,NA,1,2,MIS_COL1,1,Top,0,0,1,Changeup,InPlay,Undefined,GroundBall,Out,1,0,NA,UNI_MON,MIS_COL1,UofMontevallo,D2,Team,20250222-UofMontevallo-1,2ea8a130-f147-11ef-8934-439e787b4a8d,83.97417,2.09064,NA,7.36692,NA,NA,NA,bd44ef15-aad7-45b4-b1d1-7c4b19da02e0,2025-02-22,18:02:27,2025-02-22T18:02:27Z,2025-02-22T18:02:27Z,GroundBall,v3,NA,NA,NA,"Maldet, Dominic",10271177,Right,UNI_MON,55.04153,-125.12872,12.64992,6.33212,-4.81499,-10.77047,-1.62393,8.55797,-6.91993,NA,2.12044,120.44992,NA,NA,NA,NA,NA,NA,NA,2.09123,-50.98612,NA,NA,NA,NA,NA,NA,NA,0.81441,-24.12343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Estimated,Estimated,NA,NA,NA
3,2025-02-22,12:03:03,"Cozzi, Gino",808462,Right,UNI_MON,Undefined,Fastball,NA,NA,88.92384,-1.280547,-4.842879,2273.734632,225.746228,01:30:00,6.54121,1.69272,5.5115,-19.32655,16.90477,16.08332,3.72855,-1.5071,80.7054,-4.921621,-1.991393,0.433225,-9.47126,9.24465,-1.2799,50,6.41627,10.17116,-128.58276,-3.5038,-15.79269,27.66646,-16.7592,cd58d5c9-64bb-45dc-bbaf-e826d9be9e21,NA,NA,NA,NA,NA,830194,"LaRocca, Bryce",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,MIS_COL1,1,Top,1,0,0,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,UNI_MON,MIS_COL1,UofMontevallo,D2,Team,20250222-UofMontevallo-1,448e8e60-f147-11ef-8934-439e787b4a8d,87.00431,NA,NA,8.21844,NA,NA,NA,bd44ef15-aad7-45b4-b1d1-7c4b19da02e0,2025-02-22,18:03:03,2025-02-22T18:03:03Z,2025-02-22T18:03:03Z,NA,v3,NA,NA,NA,"Maldet, Dominic",10271177,Right,UNI_MON,54.99301,-129.65263,13.83323,6.53923,-2.85572,-8.3796,-1.68503,10.78187,-7.89635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-02-22,12:03:19,"Cozzi, Gino",808462,Right,UNI_MON,Undefined,Fastball,NA,NA,87.14842,-2.312028,-3.480453,2240.130151,227.312764,01:30:00,6.66306,1.695,5.16172,-19.32942,19.20521,19.25592,2.87064,0.01929,78.4407,-5.959568,-0.077716,0.446783,-10.63221,10.68831,-1.38479,50,6.43251,6.76887,-125.94411,-5.7147,-16.83023,29.031860000000002,-15.25501,9d5c6314-0c86-4a9f-96f7-32c1de43cfb1,NA,NA,NA,NA,NA,830194,"LaRocca, Bryce",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,MIS_COL1,1,Top,1,1,0,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,UNI_MON,MIS_COL1,UofMontevallo,D2,Team,20250222-UofMontevallo-1,4df57a40-f147-11ef-8934-439e787b4a8d,84.36402,NA,NA,8.70772,NA,NA,NA,bd44ef15-aad7-45b4-b1d1-7c4b19da02e0,2025-02-22,18:03:19,2025-02-22T18:03:19Z,2025-02-22T18:03:19Z,NA,v3,NA,NA,NA,"Maldet, Dominic",10271177,Right,UNI_MON,55.34123,-127.16937,14.515930000000001,6.66011,-5.07087,-7.62751,-1.68545,7.47917,-8.41512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-02-22,12:03:35,"Cozzi, Gino",808462,Right,UNI_MON,Undefined,Fastball,NA,NA,85.57736,-2.524829,-3.245191,2358.945944,246.682283,02:15:00,6.28777,1.60524,5.52828,-33.15061,5.87366,10.59831,1.1593,-0.54891,78.26911,-8.595791,-1.356333,0.449613,-6.35713,4.06886,-1.3300399999999999,50,6.04536,6.58738,-123.92989,-6.6359,-9.82979,26.09929,-25.88254,5a8fc8f0-4989-45b1-bfdb-9ccd7c0b45de,NA,NA,NA,NA,NA,830194,"LaRocca, Bryce",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,MIS_COL1,1,Top,1,1,1,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,UNI_MON,MIS_COL1,UofMontevallo,D2,Team,20250222-UofMontevallo-1,579417f0-f147-11ef-8934-439e787b4a8d,83.83307,NA,NA,7.30826,NA,NA,NA,bd44ef15-aad7-45b4-b1d1-7c4b19da02e0,2025-02-22,18:03:35,2025-02-22T18:03:35Z,2025-02-22T18:03:35Z,NA,v3,NA,NA,NA,"Maldet, Dominic",10271177,Right,UNI_MON,54.97844,-124.97394,13.04965,6.29011,-5.60052,-12.94127,-1.60142,6.9806,-4.91489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-02-22,12:03:51,"Cozzi, Gino",808462,Right,UNI_MON,Undefined,Fastball,NA,NA,85.17688,-0.752612,-3.343548,2452.81952,241.615951,02:00:00,6.34467,1.82263,5.40522,-30.37521,9.07441,14.37989,3.10689,-0.11584,77.67414,-6.351817,-0.789834,0.452057,-8.25567,5.14481,-1.53489,50,6.25624,6.60688,-123.44245,-2.6842,-12.68926,25.46163,-24.2663,c5f4f3a3-453b-458d-aa97-604322fbbeda,NA,NA,NA,NA,-36.951544,830194,"LaRocca, Bryce",NA,NA,94.3071,Right,-13.715711,NA,NA,NA,15.26808,6.10943,0.097388,-30.084522,2.72901,3.20136,0.23152,NA,NA,NA,NA,NA,2,4,MIS_COL1,1,Top,1,2,1,Changeup,InPlay,Undefined,GroundBall,Out,1,0,NA,UNI_MON,MIS_COL1,UofMontevallo,D2,Team,20250222-UofMontevallo-1,61114af0-f147-11ef-8934-439e787b4a8d,83.3799,3.20136,NA,7.50275,NA,NA,NA,bd44ef15-aad7-45b4-b1d1-7c4b19da02e0,2025-02-22,18:03:51,2025-02-22T18:03:51Z,2025-02-22T18:03:51Z,GroundBall,v3,NA,NA,NA,"Maldet, Dominic",10271177,Right,UNI_MON,55.10159,-124.49028,12.73081,6.34615,-1.68556,-12.13315,-1.81753,7.12908,-6.34463,180,2.72508,107.63381,NA,NA,NA,NA,NA,NA,NA,3.20256,-32.87212,NA,NA,NA,NA,NA,NA,NA,0.23448,-80.96527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Low,Low,NA,NA,NA
7,2025-02-22,12:04:22,"Cozzi, Gino",808462,Right,UNI_MON,Undefined,Fastball,NA,NA,87.39352,-1.988511,-2.609384,2193.78485,243.952437,02:15:00,6.50974,1.77256,5.47027,-25.04127,12.6232,23.07419,2.55911,1.25142,79.12861,-6.648977,1.499327,0.44171,-12.37847,7.37024,-1.55878,50,6.31768,4.74158,-126.57561,-5.2541,-19.84521,28.67882,-20.35803,83d3db68-b940-4720-833e-31236b296112,NA,NA,NA,NA,NA,830203,"Capobianco, Bryce",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,MIS_COL1,1,Top,2,0,0,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,UNI_MON,MIS_COL1,UofMontevallo,D2,Team,20250222-UofMontevallo-1,733eeb10-f147-11ef-8934-439e787b4a8d,85.333,NA,NA,8.26491,NA,NA,NA,bd44ef15-aad7-45b4-b1d1-7c4b19da02e0,2025-02-22,18:04:22,2025-02-22T18:04:22Z,2025-02-22T18:04:22Z,NA,v3,NA,NA,NA,"Maldet, Dominic",10271177,Right,UNI_MON,55.03465,-127.71124,14.33941,6.50978,-4.44796,-10.17902,-1.7621,5.52741,-9.92261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-02-22,12:04:37,"Cozzi, Gino",808462,Right,UNI_MON,Undefined,Fastball,NA,NA,88.72772,-2.233611,-2.16805,2306.504592,232.336053,01:45:00,6.49065,1.66949,5.26323,-20.6045,16.31627,19.38363,2.67239,1.24677,80.04581,-6.09664,1.269883,0.437327,-10.39717,9.26056,-1.48579,50,6.27112,3.97789,-128.43718,-5.70935,-17.11422,30.2204,-16.9307,04c988fe-25af-4340-92cd-daeaa1895c75,NA,NA,NA,NA,-7.545694,830203,"Capobianco, Bryce",2210.46139,NA,84.24492,Left,25.567047,107.84135,43.48239,-21.68446,310.8385,301.90389,3.925238,-15.795201,1.04299,2.68468,-1.23934,NA,NA,NA,NA,NA,3,2,MIS_COL1,1,Top,2,0,1,Sinker,InPlay,Undefined,FlyBall,Out,1,0,NA,UNI_MON,MIS_COL1,UofMontevallo,D2,Team,20250222-UofMontevallo-1,7c580510-f147-11ef-8934-439e787b4a8d,86.18813,50.77945,NA,8.68191,NA,NA,NA,bd44ef15-aad7-45b4-b1d1-7c4b19da02e0,2025-02-22,18:04:37,2025-02-22T18:04:37Z,2025-02-22T18:04:37Z,LineDrive,v3,NA,NA,NA,"Maldet, Dominic",10271177,Right,UNI_MON,55.24146,-129.66459,15.1102,6.48904,-5.0217,-8.46535,-1.66147,4.67299,-8.55711,141.81227,1.04306,110.49713,-17.14001,3.8921,-0.81696,0.18068,-0.04397,0.00788,-6e-4,2.68544,53.2965,-15.44635,0.0683,0.43046,-0.26462,0.09045,-0.01548,0.00103,-1.23945,-14.63081,-4.63617,1.67145,-0.44431,0.09269,-0.01634,0.00215,-1.3e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
9,2025-02-22,12:07:21,"Peterson, Caleb",830201,Right,MIS_COL1,Undefined,Fastball,NA,NA,89.495,-2.172564,-0.806241,2372.038497,199.79486,12:45:00,6.82222,0.82549,6.15063,-16.98993,17.60324,5.93418,3.39759,0.57491,81.78294,-5.411609,0.264126,0.423318,-3.27756,10.03453,-0.76698,50,6.64774,1.58194,-129.94961,-5.40191,-5.5984,27.51105,-15.03416,08900fb7-f841-461f-9158-c1d6f013b613,NA,NA,NA,NA,NA,1000362266,"Crowson, Connor",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,UNI_MON,1,Bottom,0,0,0,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,UNI_MON,MIS_COL1,UofMontevallo,D2,Team,20250222-UofMontevallo-1,dddff9f0-f147-11ef-8934-439e787b4a8d,89.04052,NA,NA,7.71205,NA,NA,NA,bd44ef15-aad7-45b4-b1d1-7c4b19da02e0,2025-02-22,18:07:21,2025-02-22T18:07:21Z,2025-02-22T18:07:21Z,NA,v3,NA,NA,NA,"Kirsch, Beau",830196,Right,MIS_COL1,54.35356,-130.86804,13.75553,6.8197,-4.90001,-7.51708,-0.82291,1.76884,-2.7992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-02-22,12:07:35,"Peterson, Caleb",830201,Right,MIS_COL1,Undefined,Fastball,NA,NA,90.06533,-3.25709,-1.375346,2415.46894,204.951463,12:45:00,6.71068,0.75209,6.13877,-17.75178,16.4906,7.15398,2.21673,0.07678,82.4005,-6.619184,-0.085211,0.421166,-4.09599,9.78906,-0.65073,50,6.45238,2.84465,-130.66123,-7.95326,-7.06943,27.9509,-15.27879,d19a3b2a-3e64-4b38-9a2c-dabcbb5ed256,NA,NA,NA,NA,-14.42969,1000362266,"Crowson, Connor",NA,NA,82.22178,Right,-38.142383,NA,NA,NA,4.03499,4.03499,0.029435,-11.05651,1.2502,2.19739,-0.07654,NA,NA,NA,NA,NA,1,2,UNI_MON,1,Bottom,0,0,1,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,NA,UNI_MON,MIS_COL1,UofMontevallo,D2,Team,20250222-UofMontevallo-1,e63aa5f0-f147-11ef-8934-439e787b4a8d,89.49546,2.19739,NA,7.66483,NA,NA,NA,bd44ef15-aad7-45b4-b1d1-7c4b19da02e0,2025-02-22,18:07:35,2025-02-22T18:07:35Z,2025-02-22T18:07:35Z,GroundBall,v3,NA,NA,NA,"Kirsch, Beau",830196,Right,MIS_COL1,54.36698,-131.59209,13.97545,6.70878,-7.44443,-7.63939,-0.74939,3.08009,-3.53471,NA,1.24919,92.0639,NA,NA,NA,NA,NA,NA,NA,2.19821,-74.65233,NA,NA,NA,NA,NA,NA,NA,-0.07628,-23.68885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Estimated,Estimated,NA,NA,NA
