PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-30,17:31:38,"Morash, Matt",831927,Left,PEN_NIT,Undefined,FourSeamFastBall,NA,NA,90.18285,-4.157345,3.500388,2124.066034,143.879232,10:45:00,5.60792,-1.99118,6.02399,-15.80115,18.90155,-12.89406,0.4268,0.18029,81.85223,-7.179243,1.185268,0.423987,7.72953,11.36867,1.72413,50,5.27306,-7.44038,-130.39922,-9.93381,13.18956,29.7164,-12.77472,9a195f96-142f-41da-a6f6-7af00228c0a5,NA,NA,NA,NA,NA,1000278567,"Leahy, Matthew",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,RID_BRO,1,Top,0,0,0,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,PEN_NIT,RID_BRO,LubranoPark,D1,BIG10,20250430-LubranoPark-1,819269b0-260a-11f0-a9f3-bf25f7f51817,88.8999,NA,NA,8.33062,NA,NA,NA,a125bd70-80ed-49ce-aa71-12aa4f311689,2025-04-30,21:31:38,2025-04-30T21:31:38Z,2025-04-30T21:31:38Z,NA,v3,5326,471421,30 April 2025 15:00-rider@pennst,"Maloney, Matthew",1000078039,Right,PEN_NIT,54.47388,-131.4148,14.8582,5.6051,-9.49722,-6.38736,1.98612,-7.89114,6.59478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-04-30,17:31:52,"Morash, Matt",831927,Left,PEN_NIT,Undefined,FourSeamFastBall,NA,NA,89.47625,-3.883021,4.328628,2163.019171,144.60053,10:45:00,5.6534,-1.9157,6.16888,-15.4519,19.81375,-13.15079,0.76347,0.99409,80.77538,-6.867969,1.965158,0.427413,8.17394,11.8589,1.59395,50,5.35028,-9.24113,-129.25099,-9.19144,13.63862,30.37179,-12.38696,9b933d5a-840e-42bf-b3a7-ed9808f0428e,NA,NA,NA,NA,NA,1000278567,"Leahy, Matthew",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,RID_BRO,1,Top,0,1,0,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,PEN_NIT,RID_BRO,LubranoPark,D1,BIG10,20250430-LubranoPark-1,8a417740-260a-11f0-a9f3-bf25f7f51817,88.18746,NA,NA,8.70087,NA,NA,NA,a125bd70-80ed-49ce-aa71-12aa4f311689,2025-04-30,21:31:52,2025-04-30T21:31:52Z,2025-04-30T21:31:52Z,NA,v3,5326,471421,30 April 2025 15:00-rider@pennst,"Maloney, Matthew",1000078039,Right,PEN_NIT,54.32764,-130.26394,15.1859,5.64994,-8.77832,-6.19348,1.90975,-9.696,6.81931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-04-30,17:32:08,"Morash, Matt",831927,Left,PEN_NIT,Undefined,FourSeamFastBall,NA,NA,90.14625,-1.868845,2.533579,2191.652995,120.777371,10:00:00,5.74553,-1.88508,5.89017,-22.62363,12.23969,-18.44804,2.1227,-1.06845,81.46766,-6.125033,-0.77689,0.424968,10.19709,7.21933,1.69126,50,5.58193,-4.97495,-130.64003,-5.00073,17.38683,30.95676,-19.86451,ba657709-8516-4a00-a9af-c0426e1d446b,NA,NA,NA,NA,NA,1000278567,"Leahy, Matthew",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,RID_BRO,1,Top,0,2,0,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,PEN_NIT,RID_BRO,LubranoPark,D1,BIG10,20250430-LubranoPark-1,92f73b90-260a-11f0-a9f3-bf25f7f51817,88.69485,NA,NA,8.67859,NA,NA,NA,a125bd70-80ed-49ce-aa71-12aa4f311689,2025-04-30,21:32:08,2025-04-30T21:32:08Z,2025-04-30T21:32:08Z,NA,v3,5326,471421,30 April 2025 15:00-rider@pennst,"Maloney, Matthew",1000078039,Right,PEN_NIT,54.60626,-131.72702,15.47838,5.74528,-4.30323,-9.93226,1.87667,-5.58546,8.69342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-04-30,17:32:21,"Morash, Matt",831927,Left,PEN_NIT,Undefined,FourSeamFastBall,NA,NA,90.25821,-2.354058,2.209105,2263.121669,123.24163,10:00:00,5.7352,-1.94987,5.8152,-21.96741,12.77583,-17.65198,1.7129,-1.3658,81.94161,-6.472901,-0.955269,0.424235,9.73749,7.59993,1.77974,50,5.52933,-4.29288,-130.85291,-6.10391,16.71855,30.12438,-19.12556,9486a5d2-b487-4647-8bc6-1d6216bd0510,NA,NA,NA,NA,137.053882,1000278567,"Leahy, Matthew",3608.049914,NA,63.45164,Right,18.926084,NA,NA,NA,129.7751,48.12943,1.75389,142.04311,1.36105,1.81341,1.12407,NA,NA,NA,NA,NA,1,4,RID_BRO,1,Top,0,2,1,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,PEN_NIT,RID_BRO,LubranoPark,D1,BIG10,20250430-LubranoPark-1,9ad16cf0-260a-11f0-a9f3-bf25f7f51817,88.84798,13.92811,NA,8.3166,NA,NA,NA,a125bd70-80ed-49ce-aa71-12aa4f311689,2025-04-30,21:32:21,2025-04-30T21:32:21Z,2025-04-30T21:32:21Z,LineDrive,v3,5326,471421,30 April 2025 15:00-rider@pennst,"Maloney, Matthew",1000078039,Right,PEN_NIT,54.68321,-131.92666,15.06219,5.73475,-5.42221,-9.56278,1.94337,-4.88879,8.35927,NA,1.36105,-64.43826,3.18468,-0.01692,-0.07762,0.02875,-0.00459,3.2e-4,1e-5,1.81341,30.18455,-19.93638,1.60256,-0.29418,0.05254,-0.00741,0.00135,-1.6e-4,1.12407,59.97653,-11.53543,2.36286,-0.51046,0.08331,-0.01329,0.00165,-1e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Low,NA,NA,NA
5,2025-04-30,17:32:40,"Morash, Matt",831927,Left,PEN_NIT,Undefined,FourSeamFastBall,NA,NA,89.88162,-1.969235,1.029426,2154.698814,143.632418,10:45:00,5.72945,-1.91586,5.90683,-16.41406,18.39103,-12.66898,2.53273,-2.01598,81.62277,-5.106441,-1.245354,0.424613,6.77437,10.34961,1.84035,50,5.56196,-1.79744,-130.41173,-4.95151,11.58027,29.31889,-14.48213,c37d4b24-e263-4c54-84fa-319bf4e8d6eb,NA,NA,NA,NA,NA,1000278567,"Leahy, Matthew",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,RID_BRO,1,Top,0,2,2,Four-Seam,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,NA,PEN_NIT,RID_BRO,LubranoPark,D1,BIG10,20250430-LubranoPark-1,a630a660-260a-11f0-a9f3-bf25f7f51817,88.76898,NA,NA,8.25885,NA,NA,NA,a125bd70-80ed-49ce-aa71-12aa4f311689,2025-04-30,21:32:40,2025-04-30T21:32:40Z,2025-04-30T21:32:40Z,NA,v3,5326,471421,30 April 2025 15:00-rider@pennst,"Maloney, Matthew",1000078039,Right,PEN_NIT,54.58959,-131.4395,14.65945,5.72664,-4.44384,-7.24106,1.91047,-2.20339,5.7901300000000004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.13225,2.557331,1.589606,0.967725,-1.02396,2.31087,2.07126,-1.00482,5.44126,5.96268,78.14509,1.99263,46.63095,-0.94541,90.60553,-9.25047,5.44901,7.69415,-11.6538,5.96409,43.04456,-1.0578,High,High,High,NA,NA,High,High,High
6,2025-04-30,17:33:08,"Morash, Matt",831927,Left,PEN_NIT,Undefined,Slider,NA,NA,80.68974,-0.417572,2.370311,1998.050652,266.939753,03:00:00,5.16128,-2.55841,5.84319,-41.86546,2.09201,8.30658,1.28409,0.33784,72.7536,-8.156229,3.859306,0.477186,-3.42638,1.68008,2.36048,50,5.10302,-5.16086,-116.89366,-2.19782,-4.62857,26.89989,-29.90452,4827460b-ac0b-4066-84e6-91e5c4245d42,NA,NA,NA,NA,NA,1000239317,"Hartmann, Erich",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,RID_BRO,1,Top,1,0,0,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,PEN_NIT,RID_BRO,LubranoPark,D1,BIG10,20250430-LubranoPark-1,b6f73c70-260a-11f0-a9f3-bf25f7f51817,78.98898,NA,NA,7.93614,NA,NA,NA,a125bd70-80ed-49ce-aa71-12aa4f311689,2025-04-30,21:33:08,2025-04-30T21:33:08Z,2025-04-30T21:33:08Z,NA,v3,5326,471421,30 April 2025 15:00-rider@pennst,"Maloney, Matthew",1000078039,Right,PEN_NIT,54.65281,-117.95951,13.44995,5.16662,-1.01291,-14.95226,2.56134,-4.97746,-2.31428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-04-30,17:33:21,"Morash, Matt",831927,Left,PEN_NIT,Undefined,FourSeamFastBall,NA,NA,90.46781,-1.649573,2.397589,2304.969139,147.014721,11:00:00,5.75771,-2.01356,5.84919,-14.3604,20.40757,-12.40997,3.02644,-0.81854,81.31705,-4.440534,0.174266,0.424386,7.15678,11.35501,1.82605,50,5.61544,-4.95334,-131.08193,-4.16165,12.23969,32.1178,-12.7545,1f607abe-be54-40eb-8f98-f319315699a4,NA,NA,NA,NA,14.474654,1000239317,"Hartmann, Erich",6977.073992,NA,82.98993,Left,9.48424,106.2182,7.62387,28.5952,152.33417,152.33417,1.470124,15.243789,2.41489,3.12781,0.82151,NA,NA,NA,NA,NA,2,2,RID_BRO,1,Top,1,1,0,Four-Seam,InPlay,Undefined,LineDrive,Single,0,0,NA,PEN_NIT,RID_BRO,LubranoPark,D1,BIG10,20250430-LubranoPark-1,be8326c0-260a-11f0-a9f3-bf25f7f51817,88.81635,9.46743,NA,9.15076,NA,NA,NA,a125bd70-80ed-49ce-aa71-12aa4f311689,2025-04-30,21:33:21,2025-04-30T21:33:21Z,2025-04-30T21:33:21Z,LineDrive,v3,5326,471421,30 April 2025 15:00-rider@pennst,"Maloney, Matthew",1000078039,Right,PEN_NIT,54.64751,-132.21577,16.0589,5.75441,-3.71139,-6.37725,2.00854,-5.38543,6.11985,209.583989,2.41489,116.24386,-15.11013,2.5936,-0.52547,0.10037,-0.01903,0.00313,-2.9e-4,3.12781,20.0563,-16.58987,1.28022,-0.23952,0.05361,-0.00925,0.00145,-1.4e-4,0.82151,30.00785,-2.70498,0.39302,-0.07711,0.01384,-0.0027,4.5e-4,-4e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
8,2025-04-30,17:33:53,"Morash, Matt",831927,Left,PEN_NIT,Undefined,ChangeUp,NA,NA,79.04579,1.884061,3.166006,1315.063361,41.118631,07:15:00,5.3988,-2.43322,5.48657,-53.97149,-8.42182,-8.60154,2.66713,-0.18505,72.46016,-7.93556,1.635293,0.485751,5.22654,-4.3352,2.16157,50,5.52738,-6.00015,-114.61978,1.90597,6.94177,21.50523,-37.93197,3d4a0495-c953-46fc-ac3b-0f93cce7ec14,NA,NA,NA,NA,NA,1000278564,"Tiroly, Joe",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,RID_BRO,1,Top,1,0,0,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,PEN_NIT,RID_BRO,LubranoPark,D1,BIG10,20250430-LubranoPark-1,d1a84640-260a-11f0-a9f3-bf25f7f51817,77.59616,NA,NA,6.58563,NA,NA,NA,a125bd70-80ed-49ce-aa71-12aa4f311689,2025-04-30,21:33:53,2025-04-30T21:33:53Z,2025-04-30T21:33:53Z,NA,v3,5326,471421,30 April 2025 15:00-rider@pennst,"Maloney, Matthew",1000078039,Right,PEN_NIT,55.01421,-115.55673,10.75261,5.40834,3.55861,-18.96598,2.42958,-6.30259,3.47089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-04-30,17:34:06,"Morash, Matt",831927,Left,PEN_NIT,Undefined,FourSeamFastBall,NA,NA,89.67532,-1.661261,2.18938,2070.784977,140.284898,10:45:00,5.67504,-2.11595,5.83534,-16.79442,18.50265,-14.3102,2.72987,-1.27255,80.87907,-4.882121,-0.374828,0.427603,7.95185,10.32103,1.94566,50,5.52972,-4.33876,-129.95873,-4.24897,13.4178,30.62905,-14.75858,d7c222db-3579-4900-ab4d-8f2091746ba8,NA,NA,NA,NA,NA,1000278564,"Tiroly, Joe",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,RID_BRO,1,Top,1,0,1,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,PEN_NIT,RID_BRO,LubranoPark,D1,BIG10,20250430-LubranoPark-1,d9532a40-260a-11f0-a9f3-bf25f7f51817,88.14822,NA,NA,8.79625,NA,NA,NA,a125bd70-80ed-49ce-aa71-12aa4f311689,2025-04-30,21:34:06,2025-04-30T21:34:06Z,2025-04-30T21:34:06Z,NA,v3,5326,471421,30 April 2025 15:00-rider@pennst,"Maloney, Matthew",1000078039,Right,PEN_NIT,54.65986,-131.05238,15.31452,5.67203,-3.722,-7.37929,2.10913,-4.81786,6.7089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-04-30,17:34:24,"Morash, Matt",831927,Left,PEN_NIT,Undefined,FourSeamFastBall,NA,NA,89.68251,-2.716161,1.775155,2124.333207,140.247629,10:45:00,5.80065,-1.8351,5.81518,-16.98265,18.17119,-14.10237,1.85681,-1.35922,81.44007,-5.947033,-0.752237,0.426735,7.72682,10.44938,1.69816,50,5.56808,-3.42025,-129.99934,-6.66951,13.11828,29.2637,-14.43357,85262c75-9151-4d2f-9fca-98babd4b4581,NA,NA,NA,NA,NA,1000278564,"Tiroly, Joe",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,RID_BRO,1,Top,1,0,2,Four-Seam,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,NA,PEN_NIT,RID_BRO,LubranoPark,D1,BIG10,20250430-LubranoPark-1,e41eaf30-260a-11f0-a9f3-bf25f7f51817,88.32758,NA,NA,8.24244,NA,NA,NA,a125bd70-80ed-49ce-aa71-12aa4f311689,2025-04-30,21:34:24,2025-04-30T21:34:24Z,2025-04-30T21:34:24Z,NA,v3,5326,471421,30 April 2025 15:00-rider@pennst,"Maloney, Matthew",1000078039,Right,PEN_NIT,54.6818,-131.049,14.63185,5.79802,-6.15179,-7.21679,1.82927,-3.89079,6.55914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
