PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-03-07,18:06:54,"McKinney, Collin",803289,Right,ARI_WIL,Undefined,Fastball,NA,NA,93.69741,-1.731238,-1.577745,2306.595345,208.007696,01:00:00,5.89139,0.53752,6.07136,-14.37749,17.11013,8.58819,3.09015,-0.20714,85.91721,-4.477692,-0.03156,0.40387,-4.83166,9.56772,-0.41975,50,5.74943,3.37494,-136.11894,-4.52885,-9.10261,28.7215,-14.14898,4b5effc9-20c9-42a0-9b43-8b50c19ae07e,NA,NA,NA,NA,NA,824679,"Nunez, Julian",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,PEP_WAV,1,Top,0,0,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,ARI_WIL,PEP_WAV,UArizona,D1,BIG12,20250307-UArizona-1,a0881890-fbb9-11ef-b3a1-751d6974d184,93.32818,NA,NA,7.7802,NA,NA,NA,ff822d79-9b8c-4c29-b1cb-6652b678b2d8,2025-03-08,01:06:54,2025-03-08T01:06:54Z,2025-03-08T01:06:54Z,NA,v3,232,471410,NA,"Guzman, Adonys",702631,Right,ARI_WIL,54.42751,-137.04998,14.36075,5.8888,-4.0702,-7.07449,-0.53394,3.67001,-4.5513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-03-07,18:07:10,"McKinney, Collin",803289,Right,ARI_WIL,Undefined,Slider,NA,NA,82.13596,0.692193,-0.076412,2353.158531,111.947526,09:45:00,5.88643,0.13733,5.64502,-37.67581,4.03024,-6.81977,3.3925,-0.50226,75.35666,-6.241295,-1.295587,0.464805,3.42599,2.26626,-0.12648,50,5.92129,0.43502999999999997,-119.31283,0.1679,4.94487,22.68063,-28.90308,5775d2a9-1c91-4c9f-a715-bb6a2fcffe06,NA,NA,NA,NA,NA,824679,"Nunez, Julian",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,PEP_WAV,1,Top,0,0,1,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,ARI_WIL,PEP_WAV,UArizona,D1,BIG12,20250307-UArizona-1,a9bcd0e0-fbb9-11ef-b3a1-751d6974d184,81.09298,NA,NA,6.77929,NA,NA,NA,ff822d79-9b8c-4c29-b1cb-6652b678b2d8,2025-03-08,01:07:10,2025-03-08T01:07:10Z,2025-03-08T01:07:10Z,NA,v3,232,471410,NA,"Guzman, Adonys",702631,Right,ARI_WIL,54.85385,-120.23198,11.34032,5.89075,1.33922,-14.45154,-0.14005,0.23464,2.47243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-03-07,18:07:25,"McKinney, Collin",803289,Right,ARI_WIL,Undefined,Fastball,NA,NA,92.74303,-2.387563,-1.746235,2328.7229,206.958499,01:00:00,5.89154,0.27545,6.52406,-15.83147,15.7415,7.52052,2.37948,-0.70044,85.25905,-5.412294,-0.380565,0.404417,-4.43319,9.20579,-0.15716,50,5.71831,3.81547,-134.79887,-6.0559,-8.19327,28.08143,-15.16026,0eaff9cb-654a-4088-9d63-a2febeee8f1d,NA,NA,NA,NA,2.651471,824679,"Nunez, Julian",3196.00327,NA,64.44898,Right,24.558057,109.35411,29.78265,11.9028,187.94091,180.79473,2.994531,8.615511,2.28589,2.36725,0.70227,NA,NA,NA,NA,NA,1,3,PEP_WAV,1,Top,0,1,1,Four-Seam,InPlay,Undefined,LineDrive,Out,1,0,NA,ARI_WIL,PEP_WAV,UArizona,D1,BIG12,20250307-UArizona-1,b2ad5440-fbb9-11ef-b3a1-751d6974d184,93.20201,29.87934,NA,7.48399,NA,NA,NA,ff822d79-9b8c-4c29-b1cb-6652b678b2d8,2025-03-08,01:07:25,2025-03-08T01:07:25Z,2025-03-08T01:07:25Z,LineDrive,v3,232,471410,NA,"Guzman, Adonys",702631,Right,ARI_WIL,53.97661,-135.62475,14.04071,5.88986,-5.61003,-7.58013,-0.27291,4.05644,-4.09663,206.433662,2.28576,85.88702,-13.38337,2.76462,-0.54405,0.10147,-0.01564,0.00101,8e-5,2.3674,39.27979,-14.68692,0.56225,-0.11217,0.0576,-0.02471,0.00666,-7.4e-4,0.70233,3.97462,3.11266,-0.76369,0.14596,-0.0148,-0.00143,6.8e-4,-7e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
4,2025-03-07,18:07:55,"McKinney, Collin",803289,Right,ARI_WIL,Undefined,Fastball,NA,NA,92.27531,-1.165866,-0.991857,2342.414854,201.976858,12:45:00,5.77992,0.52806,6.42619,-14.423,17.37245,6.64733,3.50607,0.17023,85.14203,-3.930829,0.213216,0.405839,-3.71071,9.64768,-0.46017,50,5.6899,2.05544,-134.26546,-3.11264,-6.84528,26.1941,-14.37675,7699cec5-305a-4819-b503-8b882de4e6ed,NA,NA,NA,NA,NA,824676,"Upstill, Nick",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,PEP_WAV,1,Top,1,0,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,ARI_WIL,PEP_WAV,UArizona,D1,BIG12,20250307-UArizona-1,c5062310-fbb9-11ef-b3a1-751d6974d184,92.87532,NA,NA,7.13328,NA,NA,NA,ff822d79-9b8c-4c29-b1cb-6652b678b2d8,2025-03-08,01:07:55,2025-03-08T01:07:55Z,2025-03-08T01:07:55Z,NA,v3,232,471410,NA,"Guzman, Adonys",702631,Right,ARI_WIL,54.07347,-135.05782,13.09705,5.77748,-2.67775,-7.18838,-0.52548,2.26251,-3.42264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-03-07,18:08:10,"McKinney, Collin",803289,Right,ARI_WIL,Undefined,Slider,NA,NA,81.88056,1.980663,0.572676,2230.692938,54.767055,07:45:00,6.08544,0.39304,5.63773,-43.17479,-1.49713,-3.77831,4.33618,0.61247,75.61256,-5.920817,-0.102369,0.464647,2.05299,-0.86114,-0.43929,50,6.22621,-1.03773,-118.99912,2.62206,2.9725,20.75337,-33.42091,f1b1fc92-875f-4c3e-8856-583d3f608e6a,NA,NA,NA,NA,NA,824676,"Upstill, Nick",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,PEP_WAV,1,Top,1,1,0,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,ARI_WIL,PEP_WAV,UArizona,D1,BIG12,20250307-UArizona-1,cda440b0-fbb9-11ef-b3a1-751d6974d184,81.1206,NA,NA,6.26799,NA,NA,NA,ff822d79-9b8c-4c29-b1cb-6652b678b2d8,2025-03-08,01:08:10,2025-03-08T01:08:10Z,2025-03-08T01:08:10Z,NA,v3,232,471410,NA,"Guzman, Adonys",702631,Right,ARI_WIL,54.86313,-119.84425,10.37669,6.09172,3.98303,-16.71046,-0.39456,-1.15877,1.48625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-03-07,18:08:25,"McKinney, Collin",803289,Right,ARI_WIL,Undefined,Fastball,NA,NA,93.45063,-3.361896,-1.347539,2349.932617,208.095612,01:00:00,5.84029,0.52075,6.28842,-11.32056,20.28832,10.28099,1.79427,0.13542,85.35688,-5.569576,0.511152,0.404647,-5.72457,11.8069,-0.42628,50,5.58668,2.75961,-135.60346,-8.23153,-10.64438,30.03725,-10.22011,fc5d937d-7b94-4bf1-859b-1ad595c0f5a7,NA,NA,NA,NA,NA,824676,"Upstill, Nick",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,PEP_WAV,1,Top,1,2,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,ARI_WIL,PEP_WAV,UArizona,D1,BIG12,20250307-UArizona-1,d6741cb0-fbb9-11ef-b3a1-751d6974d184,93.14905,NA,NA,8.09375,NA,NA,NA,ff822d79-9b8c-4c29-b1cb-6652b678b2d8,2025-03-08,01:08:25,2025-03-08T01:08:25Z,2025-03-08T01:08:25Z,NA,v3,232,471410,NA,"Guzman, Adonys",702631,Right,ARI_WIL,54.21087,-136.53302,15.01863,5.83653,-7.91525,-5.11005,-0.51678,3.08902,-5.32219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-03-07,18:08:40,"McKinney, Collin",803289,Right,ARI_WIL,Undefined,Fastball,NA,NA,93.09242,-3.05311,-1.194407,2368.193187,200.691207,12:45:00,5.80671,0.28322,6.55004,-12.58654,18.67568,6.70103,1.95486,-0.2538,85.73144,-5.484369,0.023235,0.402421,-3.83768,10.90304,-0.2034,50,5.58986,2.55641,-135.28622,-7.52335,-7.16082,27.63298,-11.8299,e23ad9d1-f1f5-4a5e-ad1d-880dc1d4f970,NA,NA,NA,NA,-155.257245,824676,"Upstill, Nick",1755.285119,NA,76.99887,Left,13.265853,-99.14796,6.12934,-47.64083,138.49985,44.81234,1.321672,-154.269719,1.85769,1.64067,0.11174,NA,NA,NA,NA,NA,2,4,PEP_WAV,1,Top,1,2,1,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,ARI_WIL,PEP_WAV,UArizona,D1,BIG12,20250307-UArizona-1,dfa79c80-fbb9-11ef-b3a1-751d6974d184,93.66408,9.64651,NA,7.36098,NA,NA,NA,ff822d79-9b8c-4c29-b1cb-6652b678b2d8,2025-03-08,01:08:40,2025-03-08T01:08:40Z,2025-03-08T01:08:40Z,LineDrive,v3,232,471410,NA,"Guzman, Adonys",702631,Right,ARI_WIL,53.95034,-136.09071,13.81649,5.80388,-7.17894,-5.91495,-0.28086,2.76488,-3.58041,NA,1.89243,-100.17212,3.26296,NA,NA,NA,NA,NA,NA,1.69969,25.31116,-20.15551,NA,NA,NA,NA,NA,NA,0.13752,-46.26529,0.49073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Low,NA,NA,NA
8,2025-03-07,18:08:57,"McKinney, Collin",803289,Right,ARI_WIL,Undefined,ChangeUp,NA,NA,87.16927,-0.437344,-2.326133,862.514756,261.018663,02:45:00,5.82967,0.77028,6.16459,-32.85423,3.02252,13.01914,2.68748,-0.2947,80.99471,-6.506954,0.023231,0.4311,-7.30059,1.97626,-0.6004,50,5.77958,4.64372,-126.82298,-2.0538,-12.0617,22.43457,-28.90894,5ed6f4e8-5bd8-4a98-ae5f-e8752a78dd74,NA,NA,NA,NA,NA,824676,"Upstill, Nick",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,PEP_WAV,1,Top,1,2,2,Splitter,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,NA,ARI_WIL,PEP_WAV,UArizona,D1,BIG12,20250307-UArizona-1,e9e5fca0-fbb9-11ef-b3a1-751d6974d184,87.43317,NA,NA,6.17457,NA,NA,NA,ff822d79-9b8c-4c29-b1cb-6652b678b2d8,2025-03-08,01:08:57,2025-03-08T01:08:57Z,2025-03-08T01:08:57Z,NA,v3,232,471410,NA,"Guzman, Adonys",702631,Right,ARI_WIL,54.33746,-127.58795,11.21728,5.83281,-1.06806,-14.45447,-0.76575,5.055,-6.03085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.46555,NA,1.650688,NA,-0.87014,2.42093,0.29174,-0.34898,6.09638,-0.91795,NA,NA,NA,-0.09421,92.43582,-8.10573,6.14527,19.59263,-12.32617,-0.98311,-35.52157,2.32337,High,High,High,NA,NA,High,High,Low
9,2025-03-07,18:09:31,"McKinney, Collin",803289,Right,ARI_WIL,Undefined,Slider,NA,NA,82.43596,1.267525,1.476546,2197.396817,55.606573,07:45:00,5.93967,0.34695,5.73298,-44.59833,-3.44587,-6.81209,3.40413,1.15463,75.91871,-6.901114,0.256722,0.46171,3.8404,-1.66595,-0.46586,50,6.01807,-2.81337,-119.78347,1.10579,5.60507,22.15158,-34.60552,a705fcc8-d1ca-4f8c-bb0e-1b327703ad17,NA,NA,NA,NA,NA,803173,"Rubin, Justin",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,PEP_WAV,1,Top,2,0,0,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,ARI_WIL,PEP_WAV,UArizona,D1,BIG12,20250307-UArizona-1,fe061df0-fbb9-11ef-b3a1-751d6974d184,81.6366,NA,NA,6.51726,NA,NA,NA,ff822d79-9b8c-4c29-b1cb-6652b678b2d8,2025-03-08,01:09:31,2025-03-08T01:09:31Z,2025-03-08T01:09:31Z,NA,v3,232,471410,NA,"Guzman, Adonys",702631,Right,ARI_WIL,54.7677,-120.66194,11.07579,5.94701,2.47815,-17.30276,-0.34989,-3.03565,2.80253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-03-07,18:09:46,"McKinney, Collin",803289,Right,ARI_WIL,Undefined,Slider,NA,NA,83.45506,-0.192136,-0.089252,2268.056871,57.505622,08:00:00,5.92778,0.40699,5.54411,-41.16538,-1.26642,-3.59008,2.31777,0.02441,77.99579,-7.67057,-0.730603,0.454624,1.80453,-0.29244,-0.39679,50,5.8834,0.33312,-121.46396,-1.86904,2.74398,19.81336,-32.61873,e15224f1-243b-4912-9ab3-287fc4b29681,NA,NA,NA,NA,NA,803173,"Rubin, Justin",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,PEP_WAV,1,Top,2,1,0,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,ARI_WIL,PEP_WAV,UArizona,D1,BIG12,20250307-UArizona-1,072ea140-fbba-11ef-b3a1-751d6974d184,82.90909,NA,NA,5.45928,NA,NA,NA,ff822d79-9b8c-4c29-b1cb-6652b678b2d8,2025-03-08,01:09:46,2025-03-08T01:09:46Z,2025-03-08T01:09:46Z,NA,v3,232,471410,NA,"Guzman, Adonys",702631,Right,ARI_WIL,54.95848,-122.27012,9.90668,5.93245,-0.54187,-16.30937,-0.40808,0.22148,1.37199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
