PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-26,18:36:44,"Keo, Maddox",831152,Left,RIC_OWL,Undefined,Fastball,NA,NA,90.14068,-1.6959,3.694204,2327.965987,123.157843,10:00:00,5.04557,-2.50445,5.46722,-22.57379,12.62619,-17.51548,1.57339,-0.50172,82.03354,-5.897895,0.581609,0.427015,9.87489,7.19878,2.19123,50,4.88079,-7.63419,-130.53333,-4.66305,16.97321,28.45053,-19.80062,aad7411c-966e-455b-bb2d-118af155a76d,NA,NA,NA,NA,NA,804911,"Summerhill, Brendan",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,ARI_WIL,1,Top,0,0,0,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,RIC_OWL,ARI_WIL,RiceUniversity,D1,AMER,20250226-RiceUniversity-1,ebe70580-f4a2-11ef-af87-6956375a7b97,88.26967,NA,NA,8.10714,NA,NA,NA,e2535a87-6d47-4972-8b71-bf01ec3b14bd,2025-02-27,00:36:44,2025-02-27T00:36:44Z,2025-02-27T00:36:44Z,NA,v3,2352,232,26 February 2025 19:30-arizona@rice,"West, Landon",825305,Right,RIC_OWL,55.03386,-131.62592,14.22527,5.04526,-3.90264,-9.90031,2.49693,-8.28601,8.4866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-02-26,18:37:00,"Keo, Maddox",831152,Left,RIC_OWL,Undefined,ChangeUp,NA,NA,86.15267,-1.047715,4.469993,1911.487934,101.158516,09:15:00,4.93151,-2.4856,5.21939,-33.93892,4.8074,-18.1104,1.11502,0.21673,78.95007,-7.234645,1.268575,0.448009,10.36906,3.01256,2.08662,50,4.80884,-8.9714,-124.73774,-3.54798,16.35386,24.84922,-27.42271,724528e1-0151-4b3d-99e8-e52e03c3dd2e,NA,NA,NA,NA,177.269133,804911,"Summerhill, Brendan",1810.936341,NA,60.27637,Left,4.683105,NA,NA,NA,30.76505,30.76505,0.359639,176.607969,0.20531,0.17904,-0.66947,NA,NA,NA,NA,NA,1,2,ARI_WIL,1,Top,0,0,1,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,RIC_OWL,ARI_WIL,RiceUniversity,D1,AMER,20250226-RiceUniversity-1,f57d3ec0-f4a2-11ef-af87-6956375a7b97,84.13325,0.77427,NA,7.2026,NA,NA,NA,e2535a87-6d47-4972-8b71-bf01ec3b14bd,2025-02-27,00:37:00,2025-02-27T00:37:00Z,2025-02-27T00:37:00Z,GroundBall,v3,2352,232,26 February 2025 19:30-arizona@rice,"West, Landon",825305,Right,RIC_OWL,55.28456,-125.78608,12.42461,4.93412,-2.39106,-13.71136,2.47967,-9.66134,8.17693,NA,0.20531,-88.01,6.13599,-1.34022,0.26156,-0.05441,0.016,-0.00957,0.005,0.17904,7.21781,-22.23287,2.33311,-0.49769,0.09858,-0.02174,0.00622,-0.00188,-0.66947,4.19797,8.16272,-1.7405,0.33293,-0.06526,0.01064,0.00364,-0.00406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Low,High,NA,NA,NA
3,2025-02-26,18:37:23,"Keo, Maddox",831152,Left,RIC_OWL,Undefined,Slider,NA,NA,76.6882,2.858275,2.651494,2151.333331,297.397964,04:00:00,4.70673,-2.63666,5.13999,-56.35452,-7.03024,16.60245,2.70715,1.24544,70.08645,-7.343251,5.580501,0.505478,-7.45036,-3.85465,2.37468,50,4.93151,-5.80823,-111.05576,3.578,-9.2396,21.18621,-36.95442,6afbc899-2ee2-4912-9dfa-ff45385c450a,NA,NA,NA,NA,NA,804911,"Summerhill, Brendan",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,ARI_WIL,1,Top,0,0,2,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,RIC_OWL,ARI_WIL,RiceUniversity,D1,AMER,20250226-RiceUniversity-1,03174d00-f4a3-11ef-af87-6956375a7b97,74.56798,NA,NA,6.60176,NA,NA,NA,e2535a87-6d47-4972-8b71-bf01ec3b14bd,2025-02-27,00:37:23,2025-02-27T00:37:23Z,2025-02-27T00:37:23Z,NA,v3,2352,232,26 February 2025 19:30-arizona@rice,"West, Landon",825305,Right,RIC_OWL,55.36372,-112.07433,10.5931,4.71678,5.35466,-18.47721,2.64324,-5.36402,-4.6198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-02-26,18:37:41,"Keo, Maddox",831152,Left,RIC_OWL,Undefined,Fastball,NA,NA,91.25806,0.852018,2.627295,2354.45867,126.486218,10:15:00,5.27422,-2.32567,5.00871,-21.82088,12.9806,-16.02619,4.26097,-1.17943,82.94428,-3.19274,-0.198315,0.42459,8.65146,6.51453,2.08684,50,5.33895,-5.29053,-132.24354,1.14581,15.29572,28.63028,-20.65643,ea2f1417-f4f5-4573-bb0a-f7027a4a583e,NA,NA,NA,NA,NA,804911,"Summerhill, Brendan",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,ARI_WIL,1,Top,0,1,2,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,RIC_OWL,ARI_WIL,RiceUniversity,D1,AMER,20250226-RiceUniversity-1,0dd05b60-f4a3-11ef-af87-6956375a7b97,88.77364,NA,NA,8.31378,NA,NA,NA,e2535a87-6d47-4972-8b71-bf01ec3b14bd,2025-02-27,00:37:41,2025-02-27T00:37:41Z,2025-02-27T00:37:41Z,NA,v3,2352,232,26 February 2025 19:30-arizona@rice,"West, Landon",825305,Right,RIC_OWL,55.49182,-133.4272,14.31514,5.27392,1.99981,-10.32822,2.31864,-5.9229,7.64786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-02-26,18:37:58,"Keo, Maddox",831152,Left,RIC_OWL,Undefined,ChangeUp,NA,NA,83.37866,0.883544,4.157828,1851.026565,109.648895,09:45:00,4.82588,-2.5426,5.38996,-33.73655,7.39394,-17.00946,2.84489,-0.05611,76.06426,-5.322469,1.143627,0.461587,9.78465,3.82481,2.18323,50,4.88122,-8.07951,-120.77164,0.69992,14.44296,23.65084,-26.52832,abec057f-6901-4b4b-867a-66327680ccb2,NA,NA,NA,NA,-1.014842,804911,"Summerhill, Brendan",3863.46318,NA,101.83332,Left,29.1732,109.79154,59.54187,-6.76175,388.37124,384.02952,5.451692,-10.398626,2.19741,2.96897,0.08191,NA,NA,NA,NA,NA,1,5,ARI_WIL,1,Top,0,2,2,Changeup,InPlay,Undefined,FlyBall,Triple,0,0,NA,RIC_OWL,ARI_WIL,RiceUniversity,D1,AMER,20250226-RiceUniversity-1,1808a100-f4a3-11ef-af87-6956375a7b97,81.65838,92.80672,NA,7.3144,NA,NA,NA,e2535a87-6d47-4972-8b71-bf01ec3b14bd,2025-02-27,00:37:58,2025-02-27T00:37:58Z,2025-02-27T00:37:58Z,FlyBall,v3,2352,232,26 February 2025 19:30-arizona@rice,"West, Landon",825305,Right,RIC_OWL,55.11322,-121.76885,11.82542,4.82813,1.81846,-13.26416,2.53673,-8.68848,7.22148,155.023672,2.20111,130.32181,-26.1133,5.88429,-1.1084,0.16685,-0.02056,0.00198,-1e-4,2.96861,72.80263,-15.99419,0.35925,0.20337,-0.11576,0.03137,-0.00412,2.1e-4,0.08284,-2.32955,-6.333,2.06605,-0.49769,0.08551,-0.00975,6.8e-4,-2e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
6,2025-02-26,18:38:53,"Keo, Maddox",831152,Left,RIC_OWL,Undefined,Fastball,NA,NA,89.85387,-1.6631880000000001,3.223831,2296.442761,124.181207,10:15:00,5.16498,-2.32096,5.31087,-22.33584,13.19733,-17.70938,1.73956,-0.76744,81.93852,-5.809209,0.083566,0.429031,9.72705,7.42422,2.0413,50,4.9979,-6.51007,-130.16919,-4.58179,16.6658,27.68156,-19.45375,4ce53617-160d-474b-9750-0737e1115c7b,NA,NA,NA,NA,NA,830239,"Walton, Aaron",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,ARI_WIL,1,Top,0,0,0,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,RIC_OWL,ARI_WIL,RiceUniversity,D1,AMER,20250226-RiceUniversity-1,38ca8de0-f4a3-11ef-af87-6956375a7b97,87.85484,NA,NA,7.91535,NA,NA,NA,e2535a87-6d47-4972-8b71-bf01ec3b14bd,2025-02-27,00:38:53,2025-02-27T00:38:53Z,2025-02-27T00:38:53Z,NA,v3,2352,232,26 February 2025 19:30-arizona@rice,"West, Landon",825305,Right,RIC_OWL,55.18971,-131.26819,13.84078,5.16448,-3.80945,-9.72687,2.31289,-7.17172,8.3329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-02-26,18:39:11,"Keo, Maddox",831152,Left,RIC_OWL,Undefined,Fastball,NA,NA,89.63252,-0.741807,3.275565,2258.553995,117.360945,10:00:00,4.89801,-2.58501,5.12934,-25.16852,10.62099,-18.34631,2.10079,-1.02545,82.0079,-5.372122,0.033798,0.430576,10.04146,5.82032,2.29212,50,4.80897,-6.58921,-129.9338,-2.63383,17.20767,26.61329,-22.20002,4a61026d-09da-4097-a28f-e365c37206b3,NA,NA,NA,NA,1.949477,830239,"Walton, Aaron",NA,NA,95.434,Right,-8.502001,NA,NA,NA,13.47857,13.22985,0.092161,5.590581,0.74469,2.08391,0.98479,NA,NA,NA,NA,NA,2,2,ARI_WIL,1,Top,0,0,1,Sinker,InPlay,Undefined,GroundBall,Single,1,1,NA,RIC_OWL,ARI_WIL,RiceUniversity,D1,AMER,20250226-RiceUniversity-1,438b1650-f4a3-11ef-af87-6956375a7b97,87.53966,2.08391,NA,7.62461,NA,NA,NA,e2535a87-6d47-4972-8b71-bf01ec3b14bd,2025-02-27,00:39:11,2025-02-27T00:39:11Z,2025-02-27T00:39:11Z,GroundBall,v3,2352,232,26 February 2025 19:30-arizona@rice,"West, Landon",825305,Right,RIC_OWL,55.37321,-131.02973,13.30664,4.8986,-1.71964,-11.10001,2.57805,-7.29782,8.60383,62.827477,0.74468,138.35446,-9.54908,NA,NA,NA,NA,NA,NA,2.08396,-20.70089,-20.74414,NA,NA,NA,NA,NA,NA,0.98483,4.70288,-12.38904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
8,2025-02-26,18:39:49,"Keo, Maddox",831152,Left,RIC_OWL,Undefined,Slider,NA,NA,75.61063,0.939206,4.308393,2106.463091,284.669062,03:30:00,4.74869,-2.43661,5.11083,-53.00956,-2.13051,14.31135,1.2187,2.82286,69.44715,-8.622228,6.82569,0.513382,-5.81654,-0.81669,2.01839,50,4.79629,-8.80515,-109.38334,-0.01335,-7.00053,20.48329,-33.15699,d2d8fc61-3458-4573-be03-302f96a9d5de,NA,NA,NA,NA,NA,702517,"White, Mason",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,ARI_WIL,1,Top,1,0,0,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,RIC_OWL,ARI_WIL,RiceUniversity,D1,AMER,20250226-RiceUniversity-1,59f9e290-f4a3-11ef-af87-6956375a7b97,73.41984,NA,NA,6.16348,NA,NA,NA,e2535a87-6d47-4972-8b71-bf01ec3b14bd,2025-02-27,00:39:49,2025-02-27T00:39:49Z,2025-02-27T00:39:49Z,NA,v3,2352,232,26 February 2025 19:30-arizona@rice,"West, Landon",825305,Right,RIC_OWL,55.39119,-110.38828,10.24165,4.75704,1.61339,-16.5785,2.44196,-8.46169,-3.50027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-02-26,18:40:58,"Keo, Maddox",831152,Left,RIC_OWL,Undefined,Slider,NA,NA,77.55417,3.012307,1.46685,2185.139503,281.627814,03:30:00,4.89545,-2.64336,4.89794,-49.41038,-1.14819,12.68316,3.63075,-0.19866,71.07972,-5.924714,3.697558,0.500006,-5.8302,-0.91811,2.4885100000000002,50,5.14929,-3.40603,-112.38227,4.1327,-7.46949,20.02635,-33.35031,45f33cec-5ff7-4f31-8993-52e24419cb23,NA,NA,NA,NA,NA,702517,"White, Mason",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,ARI_WIL,1,Top,1,1,0,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,RIC_OWL,ARI_WIL,RiceUniversity,D1,AMER,20250226-RiceUniversity-1,83932580-f4a3-11ef-af87-6956375a7b97,75.38403,NA,NA,6.47445,NA,NA,NA,e2535a87-6d47-4972-8b71-bf01ec3b14bd,2025-02-27,00:40:58,2025-02-27T00:40:58Z,2025-02-27T00:40:58Z,NA,v3,2352,232,26 February 2025 19:30-arizona@rice,"West, Landon",825305,Right,RIC_OWL,55.60439,-113.37657,10.01318,4.903,5.78852,-16.67515,2.64842,-3.03517,-3.73474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-02-26,18:41:17,"Keo, Maddox",831152,Left,RIC_OWL,Undefined,Slider,NA,NA,75.02901,4.351254,-1.08406,2058.568378,284.298336,03:30:00,4.7025,-2.80441,4.97405,-53.70278,-2.28673,15.02906,4.34589,-2.57606,68.66771,-5.373017,1.563298,0.516084,-7.64827,-1.7448,2.89641,50,5.0798,1.44633,-108.6285,6.39527,-9.18021,18.22221,-34.26834,d52228e7-f0a6-4270-aaf6-e778f0e39664,NA,NA,NA,NA,NA,702517,"White, Mason",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,ARI_WIL,1,Top,1,2,0,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,RIC_OWL,ARI_WIL,RiceUniversity,D1,AMER,20250226-RiceUniversity-1,8e9f0ed0-f4a3-11ef-af87-6956375a7b97,73.0354,NA,NA,6.3613,NA,NA,NA,e2535a87-6d47-4972-8b71-bf01ec3b14bd,2025-02-27,00:41:17,2025-02-27T00:41:17Z,2025-02-27T00:41:17Z,NA,v3,2352,232,26 February 2025 19:30-arizona@rice,"West, Landon",825305,Right,RIC_OWL,55.52878,-109.55201,9.11111,4.71168,8.13201,-17.13417,2.81132,1.91159,-4.59011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
