PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-03-07,17:54:42,"Absher, Luke",1000228879,Right,TUS_PIO,Undefined,Fastball,NA,NA,86.32644,-1.198526,-3.185715,2201.753622,209.415367,01:00:00,5.84413,1.94919,5.80604,-21.80611,15.76611,8.23209,2.91046,-0.33052,79.15101,-5.287815,-1.713629,0.441169,-5.05957,8.72603,-1.69252,50,5.73266,6.63224,-125.23547,-3.29827,-8.06292,24.48084,-18.26826,1b74a337-c473-4701-b587-ccfc09bf77ab,NA,NA,NA,NA,74.063536,10052374,"Bonocore, Ethan",5130.7019550000005,NA,84.4495,Right,40.404159,NA,NA,NA,NA,92.93233,NA,NA,0.39984,2.61585,-0.06071,NA,NA,NA,NA,NA,1,1,LIM_STO,1,Top,0,0,0,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,TUS_PIO,LIM_STO,PioneerPark,D2,Team,20250307-PioneerPark-1,28dd0ba0-fba7-11ef-942a-7d5666885fd1,85.43768,69.48485,NA,7.17543,NA,NA,NA,d2f5dbcd-cf3c-48f2-a3f9-e3d9133d3fa4,2025-03-07,22:54:42,2025-03-07T22:54:42Z,2025-03-07T22:54:42Z,NA,v3,471724,LIM_STO,NA,"Collins, Avery",805118,Right,TUS_PIO,54.69272,-126.14946,12.24042,5.84306,-2.61622,-9.13413,-1.94575,6.93327,-4.03146,NA,0.39985,25.89467,-15.32644,4.59373,-1.10379,0.81666,-0.9963,0.60197,-0.13705,2.61584,80.28341,-22.09813,1.90048,-0.31806,-0.15356,0.3582,-0.23795,0.05608,-0.06071,90.69239,-14.36331,2.95756,-0.56268,0.23401,-0.20744,0.11221,-0.02419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Undefined,NA,NA,NA
2,2025-03-07,17:55:05,"Absher, Luke",1000228879,Right,TUS_PIO,Undefined,Fastball,NA,NA,85.65377,-1.591472,-3.623338,2053.671418,245.257863,02:15:00,5.63301,1.969,5.96545,-29.20383,9.23351,17.11993,1.72041,0.03161,77.75602,-7.03909,-0.550325,0.446219,-9.92036,5.61894,-1.69103,50,5.49039,7.17028,-124.09749,-4.38674,-15.31267,27.19348,-23.50091,4321a026-9148-462e-9ed5-cb37873c1ed3,NA,NA,NA,NA,NA,10052374,"Bonocore, Ethan",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,LIM_STO,1,Top,0,0,1,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,TUS_PIO,LIM_STO,PioneerPark,D2,Team,20250307-PioneerPark-1,36481aa0-fba7-11ef-942a-7d5666885fd1,84.47071,NA,NA,7.89776,NA,NA,NA,d2f5dbcd-cf3c-48f2-a3f9-e3d9133d3fa4,2025-03-07,22:55:05,2025-03-07T22:55:05Z,2025-03-07T22:55:05Z,NA,v3,471724,LIM_STO,NA,"Collins, Avery",805118,Right,TUS_PIO,54.53349,-125.08697,13.59674,5.63446,-3.53163,-11.75045,-1.96207,7.72745,-7.65634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-03-07,17:55:25,"Absher, Luke",1000228879,Right,TUS_PIO,Undefined,Fastball,NA,NA,85.39686,-2.037441,-3.246328,2045.874177,209.252403,01:00:00,5.55989,2.28315,5.82144,-23.77206,15.05402,7.67969,1.6808,-0.09827,77.60868,-6.497807,-1.872276,0.44847,-4.90807,8.6991,-2.02202,50,5.37902,6.7029,-123.69402,-5.13757,-7.54204,26.55381,-18.80651,ad22e2d2-edb3-4a50-b7ba-6fd13cdffba7,NA,NA,NA,NA,NA,10052374,"Bonocore, Ethan",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,LIM_STO,1,Top,0,0,2,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,TUS_PIO,LIM_STO,PioneerPark,D2,Team,20250307-PioneerPark-1,4235b160-fba7-11ef-942a-7d5666885fd1,84.04679,NA,NA,7.78819,NA,NA,NA,d2f5dbcd-cf3c-48f2-a3f9-e3d9133d3fa4,2025-03-07,22:55:25,2025-03-07T22:55:25Z,2025-03-07T22:55:25Z,NA,v3,471724,LIM_STO,NA,"Collins, Avery",805118,Right,TUS_PIO,54.67619,-124.69383,13.2769,5.55913,-4.42946,-9.40325,-2.27974,6.98688,-3.77102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-03-07,17:55:45,"Absher, Luke",1000228879,Right,TUS_PIO,Undefined,Slider,NA,NA,76.74725,-0.252071,-1.495842,2353.88427,112.190416,09:45:00,5.57682,2.14727,4.95967,-45.50806,3.93693,-5.61067,1.54625,0.26618000000000003,70.20877,-8.500753,-2.486464,0.506096,2.36575,2.4204,-1.99744,50,5.5149,3.12654,-111.26963,-2.05334,2.94329,21.38689,-29.16277,fed5233d-aafc-4c32-9c61-0180628e6fe3,NA,NA,NA,NA,-56.010003,10052374,"Bonocore, Ethan",4196.296269,NA,60.13894,Right,3.969674,NA,NA,NA,60.34971,56.38853,0.683865,-57.055815,4.04031,2.11362,-0.78142,NA,NA,NA,NA,NA,1,4,LIM_STO,1,Top,0,1,2,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,TUS_PIO,LIM_STO,PioneerPark,D2,Team,20250307-PioneerPark-1,4df3aca0-fba7-11ef-942a-7d5666885fd1,74.47692,2.78691,NA,6.53848,NA,NA,NA,d2f5dbcd-cf3c-48f2-a3f9-e3d9133d3fa4,2025-03-07,22:55:45,2025-03-07T22:55:45Z,2025-03-07T22:55:45Z,GroundBall,v3,471724,LIM_STO,NA,"Collins, Avery",805118,Right,TUS_PIO,55.54038,-112.32948,10.69345,5.58085,-0.60814,-14.58138,-2.14876,2.98068,1.47165,NA,4.04031,49.19177,-11.12153,1.21673,-0.24775,0.03539,-0.0042,0.00102,-2.6e-4,2.11362,6.1062,-14.00108,0.8523,-0.07998,0.02513,-0.00416,3.7e-4,-4e-5,-0.78142,-72.95728,-0.15437,0.38282,-0.11447,0.02701,-0.00467,4.7e-4,4e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,High,NA,NA,NA
5,2025-03-07,17:56:09,"Absher, Luke",1000228879,Right,TUS_PIO,Undefined,Fastball,NA,NA,85.24341,-1.103429,-1.95697,2054.082257,241.387149,02:00:00,5.93199,2.04801,5.74315,-29.28883,9.67729,15.30418,2.46314,1.50055,77.52242,-6.548502,0.783428,0.449278,-8.47674,5.63284,-1.89512,50,5.8223,3.61154,-123.68549,-3.34419,-13.01118,26.77515,-23.52807,5f8b8a0a-143a-49bc-acb4-b5d88e1d3872,NA,NA,NA,NA,NA,10052374,"Bonocore, Ethan",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,LIM_STO,1,Top,0,1,2,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,TUS_PIO,LIM_STO,PioneerPark,D2,Team,20250307-PioneerPark-1,5c8a4350-fba7-11ef-942a-7d5666885fd1,83.89561,NA,NA,7.72099,NA,NA,NA,d2f5dbcd-cf3c-48f2-a3f9-e3d9133d3fa4,2025-03-07,22:56:09,2025-03-07T22:56:09Z,2025-03-07T22:56:09Z,NA,v3,471724,LIM_STO,NA,"Collins, Avery",805118,Right,TUS_PIO,54.75688,-124.71099,13.38758,5.93313,-2.44305,-11.76403,-2.04299,4.10988,-6.50559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-03-07,17:56:31,"Absher, Luke",1000228879,Right,TUS_PIO,Undefined,Slider,NA,NA,76.44916,-1.166193,-2.883511,2210.656032,69.69045,08:15:00,5.77916,2.29509,4.9129,-49.79656,-0.46417,-5.07004,0.52518,-0.85629,71.21155,-10.074558,-3.777421,0.505519,1.79398,0.41354,-2.0088,50,5.62298,5.78353,-110.89932,-4.00423,2.25004,18.51343,-31.65539,30fa0168-7330-46f7-be34-00440ae39990,NA,NA,NA,NA,NA,10052374,"Bonocore, Ethan",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,LIM_STO,1,Top,0,1,2,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,TUS_PIO,LIM_STO,PioneerPark,D2,Team,20250307-PioneerPark-1,69bb2f80-fba7-11ef-942a-7d5666885fd1,74.56185,NA,NA,5.23762,NA,NA,NA,d2f5dbcd-cf3c-48f2-a3f9-e3d9133d3fa4,2025-03-07,22:56:31,2025-03-07T22:56:31Z,2025-03-07T22:56:31Z,NA,v3,471724,LIM_STO,NA,"Collins, Avery",805118,Right,TUS_PIO,55.58918,-111.82848,9.25671,5.78408,-2.4155,-15.8277,-2.29623,5.6706,1.12502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-03-07,17:56:50,"Absher, Luke",1000228879,Right,TUS_PIO,Undefined,Curveball,NA,NA,76.86289,-0.974514,-2.871453,2165.602863,32.688369,07:00:00,5.92217,2.09565,5.4137,-58.54913,-10.49611,-7.6217,0.12888,-1.23181,71.66983,-11.489855,-4.230052,0.498921,3.11012,-4.77229,-1.83455,50,5.79365,5.87764,-111.6018,-3.8562,3.92931,19.75511,-38.20338,96230f88-1103-4086-9d5f-68f4bc7310a3,NA,NA,NA,NA,NA,10052374,"Bonocore, Ethan",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,LIM_STO,1,Top,0,2,2,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,TUS_PIO,LIM_STO,PioneerPark,D2,Team,20250307-PioneerPark-1,74a008d0-fba7-11ef-942a-7d5666885fd1,75.54792,NA,NA,5.19306,NA,NA,NA,d2f5dbcd-cf3c-48f2-a3f9-e3d9133d3fa4,2025-03-07,22:56:50,2025-03-07T22:56:50Z,2025-03-07T22:56:50Z,NA,v3,471724,LIM_STO,NA,"Collins, Avery",805118,Right,TUS_PIO,55.09055,-112.49929,9.87756,5.92941,-2.12059,-19.10169,-2.09752,5.69913,1.96466,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-03-07,17:57:16,"Absher, Luke",1000228879,Right,TUS_PIO,Undefined,Fastball,NA,NA,86.77263,-2.01988,-2.002391,2153.814605,204.086728,12:45:00,5.8414,1.97739,5.51468,-25.74682,11.75615,4.74591,1.80517,0.49974,79.90455,-6.76907,-1.156543,0.440762,-2.95244,6.81835,-1.80621,50,5.648,4.20558,-125.94076,-5.32811,-4.76411,24.45496,-21.17177,1b5d8ddf-c9c0-4272-982f-c11b055cc534,NA,NA,NA,NA,NA,10052374,"Bonocore, Ethan",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,8,LIM_STO,1,Top,0,3,2,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,NA,TUS_PIO,LIM_STO,PioneerPark,D2,Team,20250307-PioneerPark-1,84240cc0-fba7-11ef-942a-7d5666885fd1,85.51652,NA,NA,6.86807,NA,NA,NA,d2f5dbcd-cf3c-48f2-a3f9-e3d9133d3fa4,2025-03-07,22:57:16,2025-03-07T22:57:16Z,2025-03-07T22:57:16Z,NA,v3,471724,LIM_STO,NA,"Collins, Avery",805118,Right,TUS_PIO,54.9857,-126.90518,12.22748,5.84166,-4.49317,-10.58589,-1.97577,4.39346,-2.38206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-03-07,17:58:00,"Absher, Luke",1000228879,Right,TUS_PIO,Undefined,Fastball,NA,NA,86.20214,-1.825261,-3.428183,2209.773598,242.293318,02:00:00,5.73605,2.08046,6.05509,-29.06663,8.18792,13.45379,1.6207,0.02456,79.47018,-7.213528,-1.008593,0.4393,-7.91292,5.02351,-1.82126,50,5.57812,6.9787,-125.11937,-4.92289,-12.6089,24.0154,-24.16929,460b8a08-f398-43f1-9c48-b342ad11873b,NA,NA,NA,NA,96.282625,1000138880,"Faucett, Adams",NA,NA,51.86833,Right,-47.238407,NA,NA,NA,3.8191,3.8191,0.03376,26.042771,3.62313,1.89521,-0.06535,NA,NA,NA,NA,NA,2,1,LIM_STO,1,Top,1,0,0,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,TUS_PIO,LIM_STO,PioneerPark,D2,Team,20250307-PioneerPark-1,9e9686f0-fba7-11ef-942a-7d5666885fd1,85.80116,1.89521,NA,6.73196,NA,NA,NA,d2f5dbcd-cf3c-48f2-a3f9-e3d9133d3fa4,2025-03-07,22:58:00,2025-03-07T22:58:00Z,2025-03-07T22:58:00Z,GroundBall,v3,471724,LIM_STO,NA,"Collins, Avery",805118,Right,TUS_PIO,54.44646,-125.96994,12.0077,5.73732,-4.06687,-12.08465,-2.07634,7.42527,-6.30445,NA,3.62329,-5.68114,NA,NA,NA,NA,NA,NA,NA,1.89676,-56.1379,NA,NA,NA,NA,NA,NA,NA,-0.06678,51.60262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Estimated,Estimated,NA,NA,NA
10,2025-03-07,17:58:25,"Absher, Luke",1000228879,Right,TUS_PIO,Undefined,Fastball,NA,NA,84.976070000000007,-0.404956,-2.533168,2272.341208,193.236399,12:30:00,5.85386,2.04674,5.421,-26.43324,12.48776,2.68425,3.27139,-0.10395,78.69544,-5.272213,-2.056284,0.449018,-1.95756,6.72453,-1.82366,50,5.79951,5.34757,-123.42258,-1.77837,-3.06156,21.36431,-21.65715,30af9d41-e991-4d91-bf44-0ec6b7dc7975,NA,NA,NA,NA,NA,1000138880,"Faucett, Adams",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,LIM_STO,1,Top,1,0,1,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,TUS_PIO,LIM_STO,PioneerPark,D2,Team,20250307-PioneerPark-1,adb9f450-fba7-11ef-942a-7d5666885fd1,83.94423,NA,NA,6.28063,NA,NA,NA,d2f5dbcd-cf3c-48f2-a3f9-e3d9133d3fa4,2025-03-07,22:58:25,2025-03-07T22:58:25Z,2025-03-07T22:58:25Z,NA,v3,471724,LIM_STO,NA,"Collins, Avery",805118,Right,TUS_PIO,55.07856,-124.29856,10.68216,5.85422,-0.89037,-10.82857,-2.0455,5.4731,-1.53078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
