PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-22,12:02:25,"Petrovic, Alexander",10111483,Right,AUB_TIG,Undefined,Fastball,NA,NA,87.75739,-3.684428,-3.544055,2284.799815,218.044753,01:15:00,6.43714,2.07036,6.08794,-16.9195,20.02718,14.54158,1.60754,-5.7e-4,78.74971,-6.951174,-0.930131,0.437481,-8.64213,11.95386,-1.80394,50,6.14306,7.24436,-126.79218,-8.61196,-13.78216,30.84338,-13.1105,e928f123-7470-4db5-b9a1-f8724f9ab2ca,NA,NA,NA,NA,NA,1000270400,"Peltier, JP",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,WRI_RAI,1,Top,0,0,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,AUB_TIG,WRI_RAI,PlainsmanPark,D1,SEC,20250222-PlainsmanPark-1,2c3aae70-f147-11ef-af60-0795e435552a,86.1579,NA,NA,9.00767,NA,NA,NA,0fe8177c-a009-44f1-ae6d-093f32f498c4,2025-02-22,18:02:25,2025-02-22T18:02:25Z,2025-02-22T18:02:25Z,NA,v3,471236,471496,NA,"Fralick, Chase",812834,Right,AUB_TIG,54.4085,-127.86009,15.42169,6.43338,-8.15803,-6.55525,-2.06303,7.72155,-6.89108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-02-22,12:02:43,"Petrovic, Alexander",10111483,Right,AUB_TIG,Undefined,Fastball,NA,NA,87.94554,-3.312344,-4.108766,2273.894942,224.61287,01:30:00,6.34919,2.04288,6.24532,-17.25005,19.16824,17.55489,1.8453,-0.29038,79.19992,-6.641183,-0.94628,0.434342,-10.37812,11.38855,-1.74473,50,6.09323,8.41422,-127.13864,-7.81472,-16.71546,29.95208,-13.83119,e90c674f-4da6-4246-8a0c-f5ce2e6c3f09,NA,NA,NA,NA,NA,1000270400,"Peltier, JP",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,WRI_RAI,1,Top,0,0,1,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,AUB_TIG,WRI_RAI,PlainsmanPark,D1,SEC,20250222-PlainsmanPark-1,36d84590-f147-11ef-af60-0795e435552a,86.78065,NA,NA,8.74562,NA,NA,NA,0fe8177c-a009-44f1-ae6d-093f32f498c4,2025-02-22,18:02:43,2025-02-22T18:02:43Z,2025-02-22T18:02:43Z,NA,v3,471236,471496,NA,"Fralick, Chase",812834,Right,AUB_TIG,54.25233,-128.13651,14.97604,6.34591,-7.35392,-6.91559,-2.03433,8.97111,-8.35773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-02-22,12:03:00,"Petrovic, Alexander",10111483,Right,AUB_TIG,Undefined,ChangeUp,NA,NA,77.52213,-1.472032,-3.448519,2164.739356,270.801925,03:00:00,6.07326,2.4632,6.35208,-44.85707,1.27516,20.88769,0.97745,1.02574,70.9714,-9.782114,0.337692,0.488848,-11.94327,1.58366,-2.22207,50,5.94558,6.05733,-112.47393,-4.18076,-15.15388,22.20827,-30.16466,5b06bcde-108e-4e01-8839-35fd5f4c2368,NA,NA,NA,NA,NA,1000270400,"Peltier, JP",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,WRI_RAI,1,Top,0,0,2,Changeup,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,NA,AUB_TIG,WRI_RAI,PlainsmanPark,D1,SEC,20250222-PlainsmanPark-1,4140c2f0-f147-11ef-af60-0795e435552a,77.10466,NA,NA,6.55072,NA,NA,NA,0fe8177c-a009-44f1-ae6d-093f32f498c4,2025-02-22,18:03:00,2025-02-22T18:03:00Z,2025-02-22T18:03:00Z,NA,v3,471236,471496,NA,"Fralick, Chase",812834,Right,AUB_TIG,54.14967,-113.29033,11.10413,6.07888,-3.07188,-15.08233,-2.45498,6.61441,-7.57694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-02-22,12:03:37,"Petrovic, Alexander",10111483,Right,AUB_TIG,Undefined,Fastball,NA,NA,89.60123,-3.251895,-3.167956,2229.72607,221.457147,01:30:00,6.37165,2.27109,6.36587,-15.68548,19.0895,15.73509,2.06423,0.66412,80.88467,-6.291727,-0.322807,0.424429,-9.13678,11.32127,-2.04839,50,6.12834,6.53143,-129.71988,-7.76354,-15.35362,30.63004,-13.14961,ed273222-42e8-4011-bc25-2ec4b0e37bfd,NA,NA,NA,NA,NA,1000077197,"Smith, Boston",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,WRI_RAI,1,Top,1,0,0,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,AUB_TIG,WRI_RAI,PlainsmanPark,D1,SEC,20250222-PlainsmanPark-1,57025f40-f147-11ef-af60-0795e435552a,88.80745,NA,NA,8.71656,NA,NA,NA,0fe8177c-a009-44f1-ae6d-093f32f498c4,2025-02-22,18:03:37,2025-02-22T18:03:37Z,2025-02-22T18:03:37Z,NA,v3,471236,471496,NA,"Fralick, Chase",812834,Right,AUB_TIG,54.13161,-130.69181,15.31502,6.36807,-7.34628,-6.57481,-2.26338,7.01863,-7.67681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-02-22,12:03:49,"Petrovic, Alexander",10111483,Right,AUB_TIG,Undefined,ChangeUp,NA,NA,77.07353,-1.771911,-4.498413,2283.437948,272.606591,03:00:00,6.08798,2.38122,6.20055,-46.24999,0.65095,19.82269,0.59256,-0.128,70.83568,-10.288609,-0.921352,0.492904,-11.63753,1.2974,-2.05222,50,5.93111,8.1026,-111.68205,-4.81624,-14.61761,21.14486,-30.5444,a639b4f8-f686-4a6d-8d37-0a115e99f66e,NA,NA,NA,NA,NA,1000077197,"Smith, Boston",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,WRI_RAI,1,Top,1,0,1,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,AUB_TIG,WRI_RAI,PlainsmanPark,D1,SEC,20250222-PlainsmanPark-1,5ea5c930-f147-11ef-af60-0795e435552a,76.47018,NA,NA,6.23785,NA,NA,NA,0fe8177c-a009-44f1-ae6d-093f32f498c4,2025-02-22,18:03:49,2025-02-22T18:03:49Z,2025-02-22T18:03:49Z,NA,v3,471236,471496,NA,"Fralick, Chase",812834,Right,AUB_TIG,54.302,-112.4936,10.57243,6.09346,-3.64392,-15.2722,-2.37397,8.66363,-7.3088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-02-22,12:04:07,"Petrovic, Alexander",10111483,Right,AUB_TIG,Undefined,Fastball,NA,NA,89.27619,-2.904278,-3.052052,2198.294894,233.372028,01:45:00,6.42247,2.04682,6.1791,-20.34037,14.6582,18.10548,2.03926,0.7344,81.24786,-6.752774,0.212599,0.425791,-10.28575,8.80784,-1.82501,50,6.1922,6.16192,-129.3908,-7.17399,-17.31916,28.71038,-17.34342,02eacf45-89ba-4fac-bf34-7cce7249c55f,NA,NA,NA,NA,8.695404,1000077197,"Smith, Boston",NA,NA,84.10027,Left,-35.394971,NA,NA,NA,3.67631,3.67631,0.027645,-4.920664,0.90953,1.979,-0.73642,NA,NA,NA,NA,NA,2,3,WRI_RAI,1,Top,1,1,1,Sinker,InPlay,Undefined,GroundBall,Out,1,0,NA,AUB_TIG,WRI_RAI,PlainsmanPark,D1,SEC,20250222-PlainsmanPark-1,692bb9a0-f147-11ef-af60-0795e435552a,88.52332,1.979,NA,8.02833,NA,NA,NA,0fe8177c-a009-44f1-ae6d-093f32f498c4,2025-02-22,18:04:07,2025-02-22T18:04:07Z,2025-02-22T18:04:07Z,GroundBall,v3,471236,471496,NA,"Fralick, Chase",812834,Right,AUB_TIG,54.3211,-130.34608,14.35519,6.4213,-6.59693,-8.67171,-2.03962,6.73818,-8.65958,NA,0.90865,99.59167,NA,NA,NA,NA,NA,NA,NA,1.97963,-71.58576,NA,NA,NA,NA,NA,NA,NA,-0.73655,15.23149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Estimated,Estimated,NA,NA,NA
7,2025-02-22,12:04:47,"Petrovic, Alexander",10111483,Right,AUB_TIG,Undefined,Cutter,NA,NA,83.72861,-0.712661,-3.151118,2218.149457,207.843089,01:00:00,6.21338,2.43011,6.65118,-30.45403,8.38741,3.77547,3.02226,-0.14224,76.63655,-6.443896,-2.464873,0.448558,-2.90232,4.99488,-2.21921,50,6.153,6.56199,-121.60306,-2.35818,-4.33227,24.54054,-24.71822,f8c6bd4a-024d-46f8-b87b-a8c496419a2c,NA,NA,NA,NA,-14.222945,1000238608,"Fultz, Patrick",1834.716585,NA,104.25946,Left,9.807014,104.4209,14.14264,-34.58714,219.00866,219.00866,1.858771,-22.299571,0.28063,3.00161,0.16988,NA,NA,NA,NA,NA,3,1,WRI_RAI,1,Top,2,0,0,Slider,InPlay,Undefined,LineDrive,Single,0,0,NA,AUB_TIG,WRI_RAI,PlainsmanPark,D1,SEC,20250222-PlainsmanPark-1,80e22110-f147-11ef-af60-0795e435552a,84.03016,14.15628,NA,7.09206,NA,NA,NA,0fe8177c-a009-44f1-ae6d-093f32f498c4,2025-02-22,18:04:47,2025-02-22T18:04:47Z,2025-02-22T18:04:47Z,LineDrive,v3,471236,471496,NA,"Fralick, Chase",812834,Right,AUB_TIG,53.84904,-122.37737,12.27027,6.2151,-1.57827,-12.35911,-2.42841,6.69869,-2.16614,110.998135,0.28063,146.06031,-29.37781,7.1795,-1.58896,0.31864,-0.05769,0.00786,-5.3e-4,3.00161,26.04585,-15.1764,-0.33243,0.4868,-0.19009,0.0519,-0.00898,7.7e-4,0.16988,-37.02125,-8.58077,3.94651,-1.3174,0.37069,-0.08725,0.01457,-0.00122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
8,2025-02-22,12:05:22,"Petrovic, Alexander",10111483,Right,AUB_TIG,Undefined,Fastball,NA,NA,88.28271,-1.315637,-3.015559,2229.414439,227.560173,01:30:00,6.39135,2.20962,6.12178,-18.77426,17.12812,17.36308,3.60863,0.86611,79.93336,-4.906238,0.110053,0.431254,-9.80186,9.58619,-1.98699,50,6.28059,6.01551,-128.00298,-3.46539,-16.11389,28.67616,-16.41468,22133bf4-ad99-412b-8878-d5d167db07db,NA,NA,NA,NA,NA,1000270399,"Warren, Hunter",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,WRI_RAI,1,Top,2,0,0,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,AUB_TIG,WRI_RAI,PlainsmanPark,D1,SEC,20250222-PlainsmanPark-1,958729d0-f147-11ef-af60-0795e435552a,87.40198,NA,NA,8.34936,NA,NA,NA,0fe8177c-a009-44f1-ae6d-093f32f498c4,2025-02-22,18:05:22,2025-02-22T18:05:22Z,2025-02-22T18:05:22Z,NA,v3,471236,471496,NA,"Fralick, Chase",812834,Right,AUB_TIG,54.37619,-128.97964,14.33808,6.3891,-2.90633,-8.20734,-2.20122,6.56432,-8.05695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-02-22,12:05:37,"Petrovic, Alexander",10111483,Right,AUB_TIG,Undefined,Fastball,NA,NA,87.60033,-2.963529,-5.147681,2347.670493,223.648554,01:30:00,6.52549,2.16044,6.43396,-18.01111,18.16592,16.12603,2.28748,-1.23943,79.57136,-6.421764,-2.239758,0.4329,-9.88796,10.71879,-1.79993,50,6.3053,10.77308,-126.64964,-7.03814,-15.96311,27.32814,-14.86969,7fbae2f7-95ac-4c3e-9143-e475ace8e8a8,NA,NA,NA,NA,NA,1000270399,"Warren, Hunter",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,WRI_RAI,1,Top,2,1,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,AUB_TIG,WRI_RAI,PlainsmanPark,D1,SEC,20250222-PlainsmanPark-1,9efce2c0-f147-11ef-af60-0795e435552a,87.06958,NA,NA,8.02897,NA,NA,NA,0fe8177c-a009-44f1-ae6d-093f32f498c4,2025-02-22,18:05:37,2025-02-22T18:05:37Z,2025-02-22T18:05:37Z,NA,v3,471236,471496,NA,"Fralick, Chase",812834,Right,AUB_TIG,54.06478,-127.52371,13.66407,6.5228,-6.56254,-7.43484,-2.15266,11.28366,-7.98156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-02-22,12:05:55,"Petrovic, Alexander",10111483,Right,AUB_TIG,Undefined,ChangeUp,NA,NA,76.5145,0.066498,-4.360848,2379.630484,271.755071,03:00:00,6.21798,2.45464,6.1797,-46.68129,0.90032,22.30497,2.38947,0.27844,69.97899,-8.572686,-0.341851,0.496468,-12.773,0.95465,-2.13534,50,6.19971,7.66921,-110.93115,-1.24104,-15.82707,20.88194,-30.99112,cf77e0e7-e9ef-4557-9eca-078c5de42349,NA,NA,NA,NA,NA,1000270399,"Warren, Hunter",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,WRI_RAI,1,Top,2,2,0,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,AUB_TIG,WRI_RAI,PlainsmanPark,D1,SEC,20250222-PlainsmanPark-1,a941d290-f147-11ef-af60-0795e435552a,75.92124,NA,NA,6.53551,NA,NA,NA,0fe8177c-a009-44f1-ae6d-093f32f498c4,2025-02-22,18:05:55,2025-02-22T18:05:55Z,2025-02-22T18:05:55Z,NA,v3,471236,471496,NA,"Fralick, Chase",812834,Right,AUB_TIG,54.32219,-111.7418,10.44097,6.22453,-0.03794,-15.49556,-2.445,8.28364,-7.91354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
