PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-21,13:30:23,"Gardner, Patrick",1000259199,Left,PIT_PAN,Undefined,Fastball,NA,NA,87.70757,-0.848555,3.733373,2158.495449,134.65674,10:30:00,5.36375,-2.5872,6.21012,-21.76548,14.94213,-13.70048,2.76508,-0.27835,78.53531,-5.011773,1.266249,0.436063,8.24937,8.40185,2.31285,50,5.28912,-7.70394,-126.93624,-2.49883,13.18443,30.93601,-18.74593,41bfbd06-1e2e-4d13-b63c-bb2a3ca17e1c,NA,NA,NA,NA,NA,1000121884,"Caufield, Casey",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,MON_HAW,1,Top,0,0,0,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,PIT_PAN,MON_HAW,USABBCary3,D1,ACC,20250221-USABBCary3-1,ea186750-f081-11ef-abd3-afd772db2b59,86.43801,NA,NA,9.17226,NA,NA,NA,4c96448b-12b5-413f-b657-7673320d81de,2025-02-21,18:30:23,2025-02-21T18:30:23Z,2025-02-21T18:30:23Z,NA,v3,471411,4164,NA,"Melendez, Jayden",695624,Right,PIT_PAN,54.28397,-127.97604,15.468,5.36252,-1.86876,-9.37296,2.57924,-8.14708,6.59221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-02-21,13:30:38,"Gardner, Patrick",1000259199,Left,PIT_PAN,Undefined,Fastball,NA,NA,88.607,-1.282635,3.188342,2195.826095,136.591879,10:30:00,5.36434,-2.61476,6.11424,-20.72454,15.19217,-13.11501,2.44932,-0.75665,79.71463,-5.235322,0.828623,0.43134,7.93229,8.66823,2.37723,50,5.25519,-6.63285,-128.41003,-3.4869,13.00211,31.1293,-17.96561,1ae28590-7098-46b8-8aff-95fcb2a6b2ed,NA,NA,NA,NA,NA,1000121884,"Caufield, Casey",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,MON_HAW,1,Top,0,0,1,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,PIT_PAN,MON_HAW,USABBCary3,D1,ACC,20250221-USABBCary3-1,f344e240-f081-11ef-abd3-afd772db2b59,87.38453,NA,NA,8.89236,NA,NA,NA,4c96448b-12b5-413f-b657-7673320d81de,2025-02-21,18:30:38,2025-02-21T18:30:38Z,2025-02-21T18:30:38Z,NA,v3,471411,4164,NA,"Melendez, Jayden",695624,Right,PIT_PAN,54.38556,-129.46882,15.56465,5.3634,-2.87585,-8.98281,2.61035,-7.07509,6.50105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-02-21,13:30:55,"Gardner, Patrick",1000259199,Left,PIT_PAN,Undefined,Slider,NA,NA,79.1181,1.650339,3.543847,2479.448066,298.782539,04:00:00,5.06456,-2.88038,5.36689,-48.61085,-2.49795,7.35926,2.5645,1.06005,72.0088,-7.21041,4.847015,0.488745,-2.59705,-1.29331,2.55664,50,5.17853,-7.38858,-114.52147,1.62586,-3.41386,23.16018,-33.87415,ba3553f8-3354-4cc2-8559-0d88be4f6570,NA,NA,NA,NA,NA,1000121884,"Caufield, Casey",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,MON_HAW,1,Top,0,1,1,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,PIT_PAN,MON_HAW,USABBCary3,D1,ACC,20250221-USABBCary3-1,fd3bb210-f081-11ef-abd3-afd772db2b59,77.12082,NA,NA,7.1093,NA,NA,NA,4c96448b-12b5-413f-b657-7673320d81de,2025-02-21,18:30:55,2025-02-21T18:30:55Z,2025-02-21T18:30:55Z,NA,v3,471411,4164,NA,"Melendez, Jayden",695624,Right,PIT_PAN,55.13226,-115.55472,11.58009,5.07229,3.13711,-16.93708,2.88287,-7.23628,-1.70693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-02-21,13:31:14,"Gardner, Patrick",1000259199,Left,PIT_PAN,Undefined,Fastball,NA,NA,87.9019,-0.569557,3.749279,2175.696922,132.873181,10:30:00,5.38471,-2.62938,6.29857,-20.96025,15.49056,-15.17288,3.11209,-0.43428,78.58899,-4.598007,1.012574,0.434535,9.18083,8.63874,2.3606,50,5.33279,-7.73184,-127.28238,-1.84465,14.7176,31.68067,-18.32549,742b7e32-8512-44b9-b7cb-e26ca52a12f6,NA,NA,NA,NA,NA,1000121884,"Caufield, Casey",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,MON_HAW,1,Top,0,2,1,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,PIT_PAN,MON_HAW,USABBCary3,D1,ACC,20250221-USABBCary3-1,08895f50-f082-11ef-abd3-afd772db2b59,86.74196,NA,NA,9.31291,NA,NA,NA,4c96448b-12b5-413f-b657-7673320d81de,2025-02-21,18:31:14,2025-02-21T18:31:14Z,2025-02-21T18:31:14Z,NA,v3,471411,4164,NA,"Melendez, Jayden",695624,Right,PIT_PAN,54.19851,-128.32313,15.84034,5.3835,-1.24263,-9.16275,2.62255,-8.21533,7.3588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-02-21,13:31:51,"Gardner, Patrick",1000259199,Left,PIT_PAN,Undefined,Slider,NA,NA,80.13956,0.911255,3.931291,2465.951974,292.951368,03:45:00,5.1747,-2.83814,5.44664,-47.62463,-2.68118,9.94127,2.06125,1.6768,72.92219,-7.768827,5.693139,0.482508,-3.74878,-1.1635,2.48338,50,5.22282,-8.37171,-115.96655,0.19851,-5.03813,24.33824,-33.73773,8b80c527-56b3-427d-bdc8-8421858d8b7c,NA,NA,NA,NA,NA,1000121884,"Caufield, Casey",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,MON_HAW,1,Top,0,2,2,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,PIT_PAN,MON_HAW,USABBCary3,D1,ACC,20250221-USABBCary3-1,1e5eaab0-f082-11ef-abd3-afd772db2b59,78.11773,NA,NA,7.21736,NA,NA,NA,4c96448b-12b5-413f-b657-7673320d81de,2025-02-21,18:31:51,2025-02-21T18:31:51Z,2025-02-21T18:31:51Z,NA,v3,471411,4164,NA,"Melendez, Jayden",695624,Right,PIT_PAN,55.05221,-117.02206,12.16912,5.18248,1.66168,-16.86887,2.84171,-8.15322,-2.51907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-02-21,13:32:11,"Gardner, Patrick",1000259199,Left,PIT_PAN,Undefined,Fastball,NA,NA,88.9761,-2.103366,3.866684,2201.744703,127.069658,10:15:00,5.35974,-2.64502,6.11545,-21.71615,13.90253,-16.67336,1.6,-0.45393,80.25569,-6.221449,0.868396,0.429547,9.83351,8.22559,2.35668,50,5.18683,-8.01268,-128.79506,-5.39181,16.27306,30.44844,-18.56188,be03d36d-e89e-45a0-bad2-2e5c4a1be5ee,NA,NA,NA,NA,-6.598733,1000121884,"Caufield, Casey",NA,NA,67.60836,Left,-32.341905,NA,NA,NA,3.7313,3.7313,0.029738,2.52464,1.2467,1.58142,0.45136,NA,NA,NA,NA,NA,1,6,MON_HAW,1,Top,0,3,2,Sinker,InPlay,Undefined,GroundBall,Out,1,0,NA,PIT_PAN,MON_HAW,USABBCary3,D1,ACC,20250221-USABBCary3-1,2a6065b0-f082-11ef-abd3-afd772db2b59,87.74934,1.58142,NA,8.7204,NA,NA,NA,4c96448b-12b5-413f-b657-7673320d81de,2025-02-21,18:32:11,2025-02-21T18:32:11Z,2025-02-21T18:32:11Z,GroundBall,v3,471411,4164,NA,"Melendez, Jayden",695624,Right,PIT_PAN,54.38248,-129.82699,15.22422,5.3589,-4.76273,-9.28094,2.63758,-8.56419,8.13653,NA,1.24572,83.42721,NA,NA,NA,NA,NA,NA,NA,1.58205,-53.17823,NA,NA,NA,NA,NA,NA,NA,0.45148,-9.65099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Estimated,Estimated,NA,NA,NA
7,2025-02-21,13:32:47,"Gardner, Patrick",1000259199,Left,PIT_PAN,Undefined,Slider,NA,NA,80.8194,1.155048,2.034518,2523.631925,267.085895,03:00:00,5.17883,-2.90399,5.71208,-40.96195,1.77669,11.33934,2.84223,-0.06282,74.75921,-6.351238,4.060156,0.470524,-5.2878,0.94378,2.72635,50,5.24985,-4.60386,-117.44529,1.02009,-7.44141,20.66949,-30.84587,d299c6a3-7285-46aa-bc1e-dd9f3dfba526,NA,NA,NA,NA,-23.324898,1000327423,"Walsh, Chris",NA,NA,69.47073,Right,-4.759217,NA,NA,NA,22.35578,21.25306,0.213919,-22.292908,1.32468,2.80328,0.07218,NA,NA,NA,NA,NA,2,1,MON_HAW,1,Top,1,0,0,Slider,InPlay,Undefined,GroundBall,Out,1,0,NA,PIT_PAN,MON_HAW,USABBCary3,D1,ACC,20250221-USABBCary3-1,3fe435b0-f082-11ef-abd3-afd772db2b59,80.10739,2.80328,NA,6.06019,NA,NA,NA,4c96448b-12b5-413f-b657-7673320d81de,2025-02-21,18:32:47,2025-02-21T18:32:47Z,2025-02-21T18:32:47Z,GroundBall,v3,471411,4164,NA,"Melendez, Jayden",695624,Right,PIT_PAN,54.78984,-118.28526,10.33475,5.18292,2.27362,-15.42293,2.90729,-4.30146,-3.7207,32.299772,1.32504,93.21765,-12.70977,NA,NA,NA,NA,NA,NA,2.8044,-8.52278,-21.46578,NA,NA,NA,NA,NA,NA,0.07242,-40.21878,1.10219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
8,2025-02-21,13:33:28,"Gardner, Patrick",1000259199,Left,PIT_PAN,Undefined,Fastball,NA,NA,89.71761,-0.78963,2.117369,2160.148791,137.153746,10:30:00,5.37834,-2.6921,6.26735,-17.65052,16.98926,-14.61524,3.17893,-1.95707,80.93857,-4.19017,-0.522818,0.423603,8.15969,9.3917,2.54164,50,5.31104,-4.19321,-130.1603,-2.26551,13.81745,30.61117,-16.27037,fa72e2a6-f83d-4f14-8409-c9e3bf525f2f,NA,NA,NA,NA,NA,1000121797,"Andrews, Chris",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,MON_HAW,1,Top,2,0,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,PIT_PAN,MON_HAW,USABBCary3,D1,ACC,20250221-USABBCary3-1,5815e7a0-f082-11ef-abd3-afd772db2b59,88.9806,NA,NA,8.77904,NA,NA,NA,4c96448b-12b5-413f-b657-7673320d81de,2025-02-21,18:33:28,2025-02-21T18:33:28Z,2025-02-21T18:33:28Z,NA,v3,471411,4164,NA,"Melendez, Jayden",695624,Right,PIT_PAN,54.2285,-131.15099,15.30559,5.37584,-1.73894,-8.13519,2.68458,-4.6404,6.90873,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-02-21,13:33:47,"Gardner, Patrick",1000259199,Left,PIT_PAN,Undefined,Slider,NA,NA,81.24387,0.652928,3.445081,2377.619875,269.922547,03:00:00,5.23273,-2.83526,5.54191,-41.28502,1.12488,7.72162,2.40367,1.03186,75.65582,-6.855278,4.817424,0.468711,-3.09146,0.77335,2.53112,50,5.2618,-7.40652,-117.96892,-0.06975,-4.41902,19.42345,-31.06857,88c5fc5f-dea7-489b-8a47-2c218bd06d5f,NA,NA,NA,NA,NA,1000121797,"Andrews, Chris",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,MON_HAW,1,Top,2,1,0,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,PIT_PAN,MON_HAW,USABBCary3,D1,ACC,20250221-USABBCary3-1,637ebe00-f082-11ef-abd3-afd772db2b59,80.41723,NA,NA,5.58806,NA,NA,NA,4c96448b-12b5-413f-b657-7673320d81de,2025-02-21,18:33:47,2025-02-21T18:33:47Z,2025-02-21T18:33:47Z,NA,v3,471411,4164,NA,"Melendez, Jayden",695624,Right,PIT_PAN,54.95966,-118.78272,9.71173,5.23745,1.23194,-15.53429,2.83755,-7.22138,-2.20951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-02-21,13:34:06,"Gardner, Patrick",1000259199,Left,PIT_PAN,Undefined,Fastball,NA,NA,88.90544,-2.39772,3.978154,2164.706861,134.506023,10:30:00,5.3515,-2.57696,6.17922,-18.82379,16.07977,-15.27406,1.56196,-0.17015,81.74772,-5.956152,1.229628,0.425213,8.9406,9.27697,2.28355,50,5.1601,-8.35195,-128.92001,-5.95678,15.14471,25.17064,-16.45957,2ff0425a-e972-4f26-85ec-54c1b387159d,NA,NA,NA,NA,NA,1000121797,"Andrews, Chris",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,MON_HAW,1,Top,2,2,0,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,PIT_PAN,MON_HAW,USABBCary3,D1,ACC,20250221-USABBCary3-1,6efdb470-f082-11ef-abd3-afd772db2b59,88.64374,NA,NA,7.15771,NA,NA,NA,4c96448b-12b5-413f-b657-7673320d81de,2025-02-21,18:34:06,2025-02-21T18:34:06Z,2025-02-21T18:34:06Z,NA,v3,471411,4164,NA,"Melendez, Jayden",695624,Right,PIT_PAN,54.32122,-129.76096,12.58532,5.34993,-5.40687,-8.22978,2.57104,-8.85793,7.57236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
