PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-05-02,15:05:13,"Hendrickx, Andrew",804866,Right,BUT_BUL,Undefined,Fastball,NA,NA,91.82775,-3.24553,-2.303381,2285.470517,214.614976,01:15:00,5.643,1.08891,6.3809,-21.89537,10.6828,6.66642,0.8271,-0.47566,84.32478,-7.350406,-1.095695,0.410804,-4.14961,6.7902,-0.92606,50,5.39866,5.0981,-133.25711,-8.23767,-7.46294,28.58313,-19.96205,1cc62729-f2fa-4a87-9f1e-a65cf6e361de,NA,NA,NA,NA,NA,1000077224,"Gillen, Tate",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,CRE_BLU,1,Top,0,0,0,Four-Seam,BallinDirt,Undefined,Undefined,Undefined,0,0,NA,BUT_BUL,CRE_BLU,BulldogPark,D1,BEAST,20250502-BulldogPark-1,60ea51d0-2788-11f0-a3ec-f50759d31948,91.75285,NA,NA,7.50297,NA,NA,NA,6a6c7851-0de9-42d8-ab5d-13effa4caef0,2025-05-02,19:05:13,2025-05-02T19:05:13Z,2025-05-02T19:05:13Z,NA,v3,471250,471278,02 May 2025 15:00-creighton@butler,"Sackett, Connor",234024,Right,BUT_BUL,54.11855,-134.13762,14.29157,5.64295,-7.62274,-9.98103,-1.08665,5.32799,-3.73147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-05-02,15:05:28,"Hendrickx, Andrew",804866,Right,BUT_BUL,Undefined,Fastball,NA,NA,93.5878,-3.434553,-1.507643,2395.611043,220.717146,01:15:00,5.7966,1.09951,6.3527,-19.55387,11.86327,9.34894,1.00097,0.4906,85.80109,-7.113692,0.186181,0.403418,-5.33036,7.45969,-0.99454,50,5.538,3.19594,-135.82641,-8.75828,-9.94859,30.00765,-18.25126,f3b44f09-6831-4e89-ae04-75dcb12c2ec5,NA,NA,NA,NA,NA,1000077224,"Gillen, Tate",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,CRE_BLU,1,Top,0,1,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,BUT_BUL,CRE_BLU,BulldogPark,D1,BEAST,20250502-BulldogPark-1,69aaeb90-2788-11f0-a3ec-f50759d31948,93.43283,NA,NA,7.78671,NA,NA,NA,6a6c7851-0de9-42d8-ab5d-13effa4caef0,2025-05-02,19:05:28,2025-05-02T19:05:28Z,2025-05-02T19:05:28Z,NA,v3,471250,471278,02 May 2025 15:00-creighton@butler,"Sackett, Connor",234024,Right,BUT_BUL,54.14646,-136.7394,15.00383,5.79602,-8.20298,-9.12563,-1.09638,3.49863,-4.97429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-05-02,15:05:42,"Hendrickx, Andrew",804866,Right,BUT_BUL,Undefined,Curveball,NA,NA,83.83072,0.228354,-1.990479,2656.006547,30.720812,07:00:00,6.21957,0.91492,5.41027,-49.38483,-8.98103,-6.05374,2.31824,-1.45514,77.3659,-8.710991,-3.068587,0.457491,2.51484,-4.27402,-0.73341,50,6.20491,4.48138,-121.7577,-1.33853,3.77793,23.74593,-38.59472,62604c41-03c2-479b-8019-c03f779e75af,NA,NA,NA,NA,NA,1000077224,"Gillen, Tate",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,CRE_BLU,1,Top,0,2,0,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,BUT_BUL,CRE_BLU,BulldogPark,D1,BEAST,20250502-BulldogPark-1,7211a580-2788-11f0-a3ec-f50759d31948,82.38948,NA,NA,6.46482,NA,NA,NA,6a6c7851-0de9-42d8-ab5d-13effa4caef0,2025-05-02,19:05:42,2025-05-02T19:05:42Z,2025-05-02T19:05:42Z,NA,v3,471250,471278,02 May 2025 15:00-creighton@butler,"Sackett, Connor",234024,Right,BUT_BUL,55.09122,-122.7466,11.87296,6.22719,0.26875,-19.29736,-0.91676,4.32405,1.88897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-05-02,15:05:57,"Hendrickx, Andrew",804866,Right,BUT_BUL,Undefined,Fastball,NA,NA,93.54297,-2.664791,-1.285369,2430.525618,197.888389,12:30:00,5.8459,1.10595,6.34851,-15.60993,15.67654,4.75012,2.08974,0.31842,85.90909,-5.637972,-0.42537,0.402578,-2.82614,9.18863,-1.01482,50,5.64482,2.85442,-135.8958,-6.77112,-5.30355,28.80361,-14.93071,b85c9d56-ae55-403a-9b8d-d713d6830200,NA,NA,NA,NA,NA,1000077224,"Gillen, Tate",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,CRE_BLU,1,Top,0,3,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,BUT_BUL,CRE_BLU,BulldogPark,D1,BEAST,20250502-BulldogPark-1,7aea0d00-2788-11f0-a3ec-f50759d31948,93.62771,NA,NA,7.6338800000000004,NA,NA,NA,6a6c7851-0de9-42d8-ab5d-13effa4caef0,2025-05-02,19:05:57,2025-05-02T19:05:57Z,2025-05-02T19:05:57Z,NA,v3,471250,471278,02 May 2025 15:00-creighton@butler,"Sackett, Connor",234024,Right,BUT_BUL,54.15005,-136.77259,14.4018,5.84402,-6.31662,-7.46535,-1.10417,3.01586,-2.65178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-05-02,15:06:11,"Hendrickx, Andrew",804866,Right,BUT_BUL,Undefined,Fastball,NA,NA,93.39265,-3.819216,-1.895205,2383.504848,214.672641,01:15:00,5.87615,0.96205,6.18282,-17.36528,14.22359,9.17997,0.89524,-0.02361,86.10953,-7.08259,-0.238263,0.404518,-5.29319,8.67756,-0.82375,50,5.5785,4.1084,-135.51114,-9.58862,-9.90332,27.90099,-15.93877,fe847732-a634-4821-ba10-fe644e75533c,NA,NA,NA,NA,NA,1000077224,"Gillen, Tate",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,CRE_BLU,1,Top,0,3,1,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,NA,BUT_BUL,CRE_BLU,BulldogPark,D1,BEAST,20250502-BulldogPark-1,838f7da0-2788-11f0-a3ec-f50759d31948,93.17854,NA,NA,7.28312,NA,NA,NA,6a6c7851-0de9-42d8-ab5d-13effa4caef0,2025-05-02,19:06:11,2025-05-02T19:06:11Z,2025-05-02T19:06:11Z,NA,v3,471250,471278,02 May 2025 15:00-creighton@butler,"Sackett, Connor",234024,Right,BUT_BUL,54.31724,-136.39713,13.9505,5.87495,-9.08248,-7.96938,-0.9592,4.42288,-4.95166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-05-02,15:06:47,"Hendrickx, Andrew",804866,Right,BUT_BUL,Undefined,Fastball,NA,NA,92.60559,-2.496698,-2.735552,2437.043505,191.621659,12:30:00,5.72632,1.0833,6.1664,-16.65721,15.36402,2.96878,2.02798,-1.19799,85.49661,-5.639966,-2.200812,0.407277,-2.2237,8.87654,-0.87744,50,5.5282,6.30119,-134.4606,-6.37034,-4.11064,26.49857,-15.7652,ce920048-1da2-4572-b7de-a7516b006800,NA,NA,NA,NA,NA,1000132390,"Deters, Teddy",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,CRE_BLU,1,Top,0,0,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,BUT_BUL,CRE_BLU,BulldogPark,D1,BEAST,20250502-BulldogPark-1,98f34280-2788-11f0-a3ec-f50759d31948,92.54735,NA,NA,7.10898,NA,NA,NA,6a6c7851-0de9-42d8-ab5d-13effa4caef0,2025-05-02,19:06:47,2025-05-02T19:06:47Z,2025-05-02T19:06:47Z,NA,v3,471250,471278,02 May 2025 15:00-creighton@butler,"Sackett, Connor",234024,Right,BUT_BUL,54.33237,-135.3117,13.24929,5.72468,-5.86398,-7.8826,-1.08195,6.43322,-2.05532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-05-02,15:07:06,"Hendrickx, Andrew",804866,Right,BUT_BUL,Undefined,Fastball,NA,NA,92.46326,-1.327524,-1.166547,2409.554315,187.574135,12:15:00,5.83698,0.9257,6.30565,-15.6608,16.38367,2.04839,3.30846,0.02157,84.76415,-4.321971,-0.796079,0.407425,-1.38075,9.18536,-0.84111,50,5.73191,2.65284,-134.41388,-3.55331,-2.5334,28.33915,-15.32059,c911c041-8b00-4a78-9559-ab58ddaeaa71,NA,NA,NA,NA,NA,1000132390,"Deters, Teddy",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,CRE_BLU,1,Top,0,1,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,BUT_BUL,CRE_BLU,BulldogPark,D1,BEAST,20250502-BulldogPark-1,a3eeb110-2788-11f0-a3ec-f50759d31948,92.51373,NA,NA,7.69911,NA,NA,NA,6a6c7851-0de9-42d8-ab5d-13effa4caef0,2025-05-02,19:07:06,2025-05-02T19:07:06Z,2025-05-02T19:07:06Z,NA,v3,471250,471278,02 May 2025 15:00-creighton@butler,"Sackett, Connor",234024,Right,BUT_BUL,54.19234,-135.29488,14.16958,5.83497,-3.07703,-7.6603,-0.9248,2.7316,-1.2667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-05-02,15:07:27,"Hendrickx, Andrew",804866,Right,BUT_BUL,Undefined,Fastball,NA,NA,92.61026,-4.114407,-1.953096,2371.520901,198.348857,12:30:00,5.67471,0.81349,6.40462,-14.66115,17.08072,5.35988,0.66095,-0.53646,85.71168,-6.896874,-0.982114,0.405497,-3.31839,10.27749,-0.67613,50,5.37265,4.37619,-134.41938,-10.08207,-6.1352,26.27122,-13.17262,ce7a3b78-4dee-4a5e-b1a8-4992591f7a67,NA,NA,NA,NA,NA,1000132390,"Deters, Teddy",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,CRE_BLU,1,Top,0,1,1,Four-Seam,BallinDirt,Undefined,Undefined,Undefined,0,0,NA,BUT_BUL,CRE_BLU,BulldogPark,D1,BEAST,20250502-BulldogPark-1,b0f6b880-2788-11f0-a3ec-f50759d31948,92.95372,NA,NA,6.89858,NA,NA,NA,6a6c7851-0de9-42d8-ab5d-13effa4caef0,2025-05-02,19:07:27,2025-05-02T19:07:27Z,2025-05-02T19:07:27Z,NA,v3,471250,471278,02 May 2025 15:00-creighton@butler,"Sackett, Connor",234024,Right,BUT_BUL,54.09604,-135.21755,13.13561,5.67288,-9.68186,-6.58631,-0.81191,4.56259,-3.0676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-05-02,15:07:47,"Hendrickx, Andrew",804866,Right,BUT_BUL,Undefined,Fastball,NA,NA,90.15831,-4.143524,-3.218076,2427.426199,208.471709,01:00:00,5.56727,1.37637,5.871,-25.78738,8.50485,4.07607,-0.44313,-1.27617,83.69484,-8.868625,-2.487279,0.421472,-2.93599,5.68339,-1.11829,50,5.21574,7.18184,-130.6322,-10.36086,-5.12088,25.10439,-22.26126,08c07583-5690-404a-b0ef-e930b05c2e4d,NA,NA,NA,NA,NA,1000132390,"Deters, Teddy",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,CRE_BLU,1,Top,0,2,1,Cutter,BallinDirt,Undefined,Undefined,Undefined,0,0,NA,BUT_BUL,CRE_BLU,BulldogPark,D1,BEAST,20250502-BulldogPark-1,bc58ff30-2788-11f0-a3ec-f50759d31948,89.43037,NA,NA,6.46347,NA,NA,NA,6a6c7851-0de9-42d8-ab5d-13effa4caef0,2025-05-02,19:07:47,2025-05-02T19:07:47Z,2025-05-02T19:07:47Z,NA,v3,471250,471278,02 May 2025 15:00-creighton@butler,"Sackett, Connor",234024,Right,BUT_BUL,54.63036,-131.51903,12.5522,5.56786,-9.57446,-11.13063,-1.37519,7.36274,-2.56044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-05-02,15:08:26,"Hendrickx, Andrew",804866,Right,BUT_BUL,Undefined,Fastball,NA,NA,91.96827,-1.73966,-1.566973,2396.788128,200.167492,12:45:00,5.70716,1.08128,6.41517,-19.92446,12.27867,4.15654,2.44636,-0.01328,84.62025,-5.500906,-0.813529,0.408433,-2.59858,7.18044,-0.97122,50,5.57364,3.49392,-133.71582,-4.66053,-4.7276,27.52654,-19.11075,c9780357-927e-48b6-b842-bd3c658bf9f2,NA,NA,NA,NA,-7.885778,1000132390,"Deters, Teddy",NA,NA,80.69962,Right,-42.644909,NA,NA,NA,4.1689,4.1689,0.030543,-4.869649,1.5128,2.45562,0.01191,NA,NA,NA,NA,NA,2,5,CRE_BLU,1,Top,0,3,1,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,NA,BUT_BUL,CRE_BLU,BulldogPark,D1,BEAST,20250502-BulldogPark-1,d38d3e50-2788-11f0-a3ec-f50759d31948,92.28558,2.45562,NA,7.34802,NA,NA,NA,6a6c7851-0de9-42d8-ab5d-13effa4caef0,2025-05-02,19:08:26,2025-05-02T19:08:26Z,2025-05-02T19:08:26Z,GroundBall,v3,471250,471278,02 May 2025 15:00-creighton@butler,"Sackett, Connor",234024,Right,BUT_BUL,54.08407,-134.55393,13.76327,5.70668,-4.07866,-9.55538,-1.07979,3.63786,-2.3638,NA,1.51166,86.47081,NA,NA,NA,NA,NA,NA,NA,2.45668,-80.39945,NA,NA,NA,NA,NA,NA,NA,0.012070000000000001,-11.97694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Estimated,Estimated,NA,NA,NA
