PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-18,16:02:30,"Boaz, Folger",10057367,Left,NOR_TAR,Undefined,Fastball,NA,NA,90.87554,-1.338742,3.499707,2259.526697,130.149314,10:15:00,5.47753,-1.66809,5.5856,-18.9582,16.11969,-17.48084,2.64501,0.14724,81.14861,-4.949974,0.386363,0.426273,9.98961,8.98241,1.37878,50,5.35047,-7.22841,-131.39456,-3.6766,17.07061,33.68684,-16.82464,8a01972f-70ce-4544-933f-05c173d04204,NA,NA,NA,NA,NA,821957,"Dean, Micah",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,KAN_WIL,1,Top,0,0,0,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,NOR_TAR,KAN_WIL,UNC,D1,ACC,20250218-UNC-1,ab3ae6e0-ee3b-11ef-aab6-95ac079887e8,88.42317,NA,NA,9.72693,NA,NA,NA,59ce8d7e-e759-4358-8f6f-ab911c1223ac,2025-02-18,21:02:30,2025-02-18T21:02:30Z,2025-02-18T21:02:30Z,NA,v3,471370,471328,NA,"Stevenson, Luke",806233,Right,NOR_TAR,54.90735,-132.64674,16.84342,5.47551,-3.05121,-8.41232,1.65926,-7.86294,8.5353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-02-18,16:02:48,"Boaz, Folger",10057367,Left,NOR_TAR,Undefined,Fastball,NA,NA,89.93366,-0.921052,2.23907,1939.651367,132.216105,10:30:00,5.49777,-1.79305,5.59265,-22.43143,13.0295,-12.94016,2.7678,-0.77979,81.0142,-5.136007,-0.069587,0.428594,7.22654,7.25658,1.60946,50,5.40451,-4.50665,-130.28764,-2.8514,12.23742,31.16013,-19.88576,8cf3a5e8-76d4-45c6-8906-46a8b465518e,NA,NA,NA,NA,NA,821957,"Dean, Micah",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,KAN_WIL,1,Top,0,0,1,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,NOR_TAR,KAN_WIL,UNC,D1,ACC,20250218-UNC-1,b5bd2dd0-ee3b-11ef-aab6-95ac079887e8,87.94432,NA,NA,8.91945,NA,NA,NA,59ce8d7e-e759-4358-8f6f-ab911c1223ac,2025-02-18,21:02:48,2025-02-18T21:02:48Z,2025-02-18T21:02:48Z,NA,v3,471370,471328,NA,"Stevenson, Luke",806233,Right,NOR_TAR,54.90079,-131.45451,15.58007,5.49734,-2.10673,-9.94288,1.7868,-4.96491,6.11871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-02-18,16:03:03,"Boaz, Folger",10057367,Left,NOR_TAR,Undefined,Fastball,NA,NA,90.13584,-1.994999,3.485823,1852.163942,129.809354,10:15:00,5.5448,-1.6809,5.41012,-22.92718,12.63599,-13.62225,1.76096,0.45365,81.44558,-6.269105,1.066881,0.429212,7.99237,7.35178,1.38063,50,5.3514099999999996,-7.33202,-130.41079,-5.35573,13.58781,30.70064,-19.67534,b29fb180-bb65-4ffb-8e85-7be1d8679c82,NA,NA,NA,NA,NA,821957,"Dean, Micah",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,KAN_WIL,1,Top,0,0,2,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,NOR_TAR,KAN_WIL,UNC,D1,ACC,20250218-UNC-1,be889d00-ee3b-11ef-aab6-95ac079887e8,87.81781,NA,NA,8.69026,NA,NA,NA,59ce8d7e-e759-4358-8f6f-ab911c1223ac,2025-02-18,21:03:03,2025-02-18T21:03:03Z,2025-02-18T21:03:03Z,NA,v3,471370,471328,NA,"Stevenson, Luke",806233,Right,NOR_TAR,55.0859,-131.60265,15.35032,5.5445,-4.5919,-9.83767,1.67551,-7.85952,6.79391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-02-18,16:03:25,"Boaz, Folger",10057367,Left,NOR_TAR,Undefined,Slider,NA,NA,80.32381,1.696655,0.867103,2237.873314,357.536058,06:00:00,5.36534,-1.63672,5.14601,-55.26377,-9.80134,0.4948,2.35802,-0.77908,72.31314,-8.344831,0.954822,0.485286,0.05283,-4.84425,1.55523,50,5.48203,-1.78151,-116.29531,1.38002,0.07081,26.23985,-38.66375,3a0ef635-5117-4ae3-a355-7efbebf3bec6,NA,NA,NA,NA,NA,821957,"Dean, Micah",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,KAN_WIL,1,Top,0,0,2,Curveball,StrikeCalled,Strikeout,Undefined,Undefined,0,0,NA,NOR_TAR,KAN_WIL,UNC,D1,ACC,20250218-UNC-1,cbbbfa30-ee3b-11ef-aab6-95ac079887e8,77.67056,NA,NA,8.01067,NA,NA,NA,59ce8d7e-e759-4358-8f6f-ab911c1223ac,2025-02-18,21:03:25,2025-02-18T21:03:25Z,2025-02-18T21:03:25Z,NA,v3,471370,471328,NA,"Stevenson, Luke",806233,Right,NOR_TAR,55.34899,-117.49601,13.11992,5.37841,3.14922,-19.33187,1.63682,-1.78475,0.0354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.47897,2.804806,1.865011,0.939795,-1.31346,1.94404,0.73347,-1.66049,4.93934,-3.83981,68.49788,8.67706,-56.26228,-1.63147,79.0144,-4.66072,4.99108,17.46374,-14.38493,-3.96488,-64.59292,9.46418,High,High,High,NA,NA,High,High,High
5,2025-02-18,16:03:50,"Boaz, Folger",10057367,Left,NOR_TAR,Undefined,Fastball,NA,NA,92.03229,-0.309503,1.886871,2015.548016,143.92036,10:45:00,5.48279,-1.57202,5.80069,-17.81906,15.72036,-10.57993,3.70986,-0.69819,82.87272,-3.708943,-0.007755,0.416821,5.93902,8.43839,1.42316,50,5.44686,-3.91044,-133.41623,-1.2699,10.55857,32.35948,-17.17207,3bcf99b9-103a-4dd6-a20c-fbb373bbf833,NA,NA,NA,NA,NA,806131,"Kennedy, Dee",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,KAN_WIL,1,Top,1,0,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,NOR_TAR,KAN_WIL,UNC,D1,ACC,20250218-UNC-1,daefe250-ee3b-11ef-aab6-95ac079887e8,90.42844,NA,NA,9.15958,NA,NA,NA,59ce8d7e-e759-4358-8f6f-ab911c1223ac,2025-02-18,21:03:50,2025-02-18T21:03:50Z,2025-02-18T21:03:50Z,NA,v3,471370,471328,NA,"Stevenson, Luke",806233,Right,NOR_TAR,54.69194,-134.54942,16.17974,5.4808,-0.66855,-8.58603,1.56657,-4.28019,5.27928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-02-18,16:04:07,"Boaz, Folger",10057367,Left,NOR_TAR,Undefined,Fastball,NA,NA,90.01734,-0.661253,2.712742,1997.464695,147.546514,11:00:00,5.53026,-1.76437,5.65339,-17.36607,17.97304,-10.60997,3.46568,-0.11672,80.94968,-3.98264,0.819748,0.427857,6.18607,9.65938,1.54109,50,5.46344,-5.69061,-130.35587,-2.02199,10.49037,31.09887,-15.79363,077291e3-ddda-4ee2-8e93-23172cd8c6c2,NA,NA,NA,NA,NA,806131,"Kennedy, Dee",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,KAN_WIL,1,Top,1,1,0,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,NOR_TAR,KAN_WIL,UNC,D1,ACC,20250218-UNC-1,e4f6b7b0-ee3b-11ef-aab6-95ac079887e8,88.09579,NA,NA,9.06766,NA,NA,NA,59ce8d7e-e759-4358-8f6f-ab911c1223ac,2025-02-18,21:04:07,2025-02-18T21:04:07Z,2025-02-18T21:04:07Z,NA,v3,471370,471328,NA,"Stevenson, Luke",806233,Right,NOR_TAR,54.83861,-131.50515,15.54944,5.52738,-1.43833,-7.89681,1.75855,-6.07828,5.24519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-02-18,16:04:36,"Boaz, Folger",10057367,Left,NOR_TAR,Undefined,Fastball,NA,NA,90.37136,-3.231991,2.281097,2153.479343,141.35512,10:45:00,5.52458,-1.72432,5.56096,-18.85021,16.4921,-12.12087,0.92874,-0.60222,81.36161,-6.79305,0.119476,0.427877,6.83307,9.76347,1.53542,50,5.2332,-4.65049,-130.68321,-7.98576,11.6165,31.89222,-15.57581,47ae88a1-9a73-4e28-9d91-daffed618372,NA,NA,NA,NA,NA,806131,"Kennedy, Dee",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,KAN_WIL,1,Top,1,1,1,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,NOR_TAR,KAN_WIL,UNC,D1,ACC,20250218-UNC-1,f60f6560-ee3b-11ef-aab6-95ac079887e8,88.09179,NA,NA,9.00975,NA,NA,NA,59ce8d7e-e759-4358-8f6f-ab911c1223ac,2025-02-18,21:04:36,2025-02-18T21:04:36Z,2025-02-18T21:04:36Z,NA,v3,471370,471328,NA,"Stevenson, Luke",806233,Right,NOR_TAR,54.93193,-131.88131,15.94611,5.52221,-7.40062,-7.7879,1.71833,-5.08689,5.80825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-02-18,16:04:51,"Boaz, Folger",10057367,Left,NOR_TAR,Undefined,Curveball,NA,NA,80.5694,2.754493,1.8641,2329.243144,328.54063,05:00:00,5.42434,-1.74676,5.41072,-51.75208,-7.46099,5.47386,3.69555,0.45638,73.16428,-6.685922,2.836775,0.478994,-2.16402,-4.08969,1.57709,50,5.63363,-4.0258,-116.73245,3.76688,-2.95759,23.92386,-37.76346,ed1c0003-1ba1-4052-a825-43c873f8c65e,NA,NA,NA,NA,NA,806131,"Kennedy, Dee",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,KAN_WIL,1,Top,1,2,1,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,NOR_TAR,KAN_WIL,UNC,D1,ACC,20250218-UNC-1,febfd280-ee3b-11ef-aab6-95ac079887e8,78.69091,NA,NA,7.40512,NA,NA,NA,59ce8d7e-e759-4358-8f6f-ab911c1223ac,2025-02-18,21:04:51,2025-02-18T21:04:51Z,2025-02-18T21:04:51Z,NA,v3,471370,471328,NA,"Stevenson, Luke",806233,Right,NOR_TAR,55.08627,-117.77025,11.96193,5.43469,5.40503,-18.88173,1.74894,-3.8975,-1.4788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-02-18,16:05:10,"Boaz, Folger",10057367,Left,NOR_TAR,Undefined,Fastball,NA,NA,91.79313,-2.298078,3.436055,2226.752396,141.393181,10:45:00,5.49136,-1.72599,5.52684,-16.47729,17.74745,-13.16103,1.96495,0.39319,82.64034,-5.437869,1.095004,0.421058,7.74359,10.05611,1.43618,50,5.28073,-7.36613,-132.76198,-5.85255,13.61756,32.32269,-14.48983,5f3940eb-05c9-4357-8102-eefe833a0c4b,NA,NA,NA,NA,166.893916,806131,"Kennedy, Dee",1436.016559,NA,73.57345,Right,11.256711,NA,NA,NA,89.07641,50.21692,0.899322,166.658526,1.20573,1.73921,-0.43649,NA,NA,NA,NA,NA,2,5,KAN_WIL,1,Top,1,3,1,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,NOR_TAR,KAN_WIL,UNC,D1,ACC,20250218-UNC-1,0a948a10-ee3c-11ef-aab6-95ac079887e8,89.51848,5.85479,NA,9.15279,NA,NA,NA,59ce8d7e-e759-4358-8f6f-ab911c1223ac,2025-02-18,21:05:10,2025-02-18T21:05:10Z,2025-02-18T21:05:10Z,LineDrive,v3,471370,471328,NA,"Stevenson, Luke",806233,Right,NOR_TAR,54.9677,-133.96597,16.16135,5.48868,-5.31282,-7.24491,1.72001,-7.87337,6.80878,3.145964,1.20573,-103.07495,6.9059,-1.25488,0.26412,-0.05413,0.01305,-0.00252,3.3e-4,1.73921,21.06411,-28.25688,3.60264,-0.81694,0.17329,-0.03826,0.00763,-8.9e-4,-0.43649,23.99783,-1.01661,0.37786,-0.08037,0.01871,-0.00359,7e-4,-6e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Medium,NA,NA,NA
10,2025-02-18,16:05:30,"Boaz, Folger",10057367,Left,NOR_TAR,Undefined,Fastball,NA,NA,90.90534,-1.55373,2.508903,2030.642753,139.73332,10:45:00,5.6174,-1.52656,5.70767,-18.87816,16.20249,-12.5065,2.59492,-0.22983,80.73464,-5.168877,0.273751,0.42629,7.30119,9.20808,1.32442,50,5.47599,-5.20273,-131.4876,-4.15261,12.392760000000001,35.78906,-16.54465,17598b8c-39a0-47fa-8fdb-5f8733495e4a,NA,NA,NA,NA,-4.873466,806131,"Kennedy, Dee",1277.653208,NA,102.67889,Right,14.503631,109.65607,22.93909,-8.69093,263.17213,263.17213,2.544773,-4.132887,1.0853,2.6284,0.21271,NA,NA,NA,NA,NA,2,6,KAN_WIL,1,Top,1,3,2,Four-Seam,InPlay,Undefined,LineDrive,Single,0,0,NA,NOR_TAR,KAN_WIL,UNC,D1,ACC,20250218-UNC-1,16610440-ee3c-11ef-aab6-95ac079887e8,88.41967,24.62907,NA,10.1707,NA,NA,NA,59ce8d7e-e759-4358-8f6f-ab911c1223ac,2025-02-18,21:05:30,2025-02-18T21:05:30Z,2025-02-18T21:05:30Z,LineDrive,v3,471370,471328,NA,"Stevenson, Luke",806233,Right,NOR_TAR,54.78553,-132.78377,17.89453,5.61553,-3.55341,-8.27233,1.52097,-5.65156,6.1963800000000004,184.252843,1.08531,145.26966,-27.30662,6.69625,-1.59417,0.3642,-0.07123,0.00961,-6.3e-4,2.6284,37.71365,-17.25716,1.0686,-0.13071,0.00924,1.2e-4,3e-5,-1e-5,0.21271,-12.38586,2.75131,-0.47109,0.0756,-0.01195,0.00194,-2.3e-4,1e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
