PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-27,14:02:51,"Evans, Casan",815786,Right,LSU_TIG,Undefined,Fastball,NA,NA,95.94571,-2.692598,-3.79343,2621.002477,201.795281,12:45:00,6.28252,2.78167,5.64881,-11.72426,19.57076,7.35611,2.78655,-0.1489,86.16234,-4.978073,-2.483938,0.402633,-4.92103,11.08217,-2.464,50,6.04617,8.83316,-138.62815,-6.84374,-9.42259,35.63017,-10.95429,18ce5eaa-5dea-4aa5-b11a-98e3bd80142f,NA,NA,NA,NA,NA,806053,"Curley, Dean",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,TEN_VOL,1,Top,0,0,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,LSU_TIG,TEN_VOL,LSU,D1,SEC,20250427-LSU-1,384bc1b0-239a-11f0-94fc-99f59fdd7ae4,93.61493,NA,NA,9.78337,NA,NA,NA,73b2db59-f90d-43b5-9288-39ab18a7375a,2025-04-27,19:02:51,2025-04-27T19:02:51Z,2025-04-27T19:02:51Z,NA,v3,5323,471459,27 April 2025 15:00-tennessee@lsu,"Hernandez, Luis",1000121822,Right,LSU_TIG,54.84796,-139.86862,17.81508,6.2778,-6.46237,-5.47715,-2.77724,9.16121,-4.7113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-04-27,14:03:06,"Evans, Casan",815786,Right,LSU_TIG,Undefined,Fastball,NA,NA,97.16113,-2.529064,-3.360966,2587.147015,214.47342,01:15:00,6.455,2.75193,5.73086,-14.14509,15.96284,10.2456,2.91525,0.47194,88.07493,-5.226447,-1.531903,0.394922,-6.24335,9.19733,-2.47783,50,6.23512,7.7831,-140.68019,-6.67814,-12.41424,34.23986,-13.8861,8f8b77ee-243d-4be6-9809-754ccced76bb,NA,NA,NA,NA,6.904179,806053,"Curley, Dean",3249.131795,NA,100.44163,Right,19.636218,108.28694,35.47889,19.33604,331.82706,331.82706,3.706369,16.298553,1.16145,2.89926,-0.46183,NA,NA,NA,NA,NA,1,2,TEN_VOL,1,Top,0,0,1,Four-Seam,InPlay,Undefined,LineDrive,Single,0,0,NA,LSU_TIG,TEN_VOL,LSU,D1,SEC,20250427-LSU-1,413937d0-239a-11f0-94fc-99f59fdd7ae4,95.44268,44.36555,NA,9.0862,NA,NA,NA,73b2db59-f90d-43b5-9288-39ab18a7375a,2025-04-27,19:03:06,2025-04-27T19:03:06Z,2025-04-27T19:03:06Z,LineDrive,v3,5323,471459,27 April 2025 15:00-tennessee@lsu,"Hernandez, Luis",1000121822,Right,LSU_TIG,54.77012,-141.83643,17.11993,6.45272,-6.20922,-6.94305,-2.74773,8.20231,-6.20712,227.190724,1.16078,137.76143,-27.50081,6.95888,-1.77388,0.47187,-0.11167,0.01704,-0.0011,2.8999,49.48586,-15.18788,-0.31404,0.64344,-0.2871,0.07741,-0.01073,5.6e-4,-0.46189,16.68102,8.15309,-3.82449,1.22822,-0.30185,0.05502,-0.00621,3.1e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
3,2025-04-27,14:03:49,"Evans, Casan",815786,Right,LSU_TIG,Undefined,ChangeUp,NA,NA,86.49539,-2.299689,-5.237571,1513.925674,261.873984,02:45:00,6.00897,2.92131,5.22771,-35.37431,3.19429,13.76784,0.8889,-0.86908,79.48466,-8.710233,-2.80699,0.44698,-8.33819,2.58339,-2.44798,50,5.76942,10.85537,-124.99168,-6.37321,-13.21003,24.8503,-28.08126,32020037-03c7-4049-b460-b21ccd36a66f,NA,NA,NA,NA,NA,702264,"Kilen, Gavin",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,TEN_VOL,1,Top,0,0,0,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,LSU_TIG,TEN_VOL,LSU,D1,SEC,20250427-LSU-1,5ae49170-239a-11f0-94fc-99f59fdd7ae4,84.32687,NA,NA,7.01073,NA,NA,NA,73b2db59-f90d-43b5-9288-39ab18a7375a,2025-04-27,19:03:49,2025-04-27T19:03:49Z,2025-04-27T19:03:49Z,NA,v3,5323,471459,27 April 2025 15:00-tennessee@lsu,"Hernandez, Luis",1000121822,Right,LSU_TIG,55.27503,-126.03608,12.42515,6.01247,-5.19303,-14.04063,-2.91587,11.41056,-6.60502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-04-27,14:04:11,"Evans, Casan",815786,Right,LSU_TIG,Undefined,ChangeUp,NA,NA,85.5353,-0.763936,-3.031181,1237.310685,270.061239,03:00:00,6.00154,2.99356,5.31727,-38.009,1.29681,14.41843,2.11609,1.34751,78.03905,-7.698224,-0.470711,0.451232,-8.11335,1.26992,-2.72945,50,5.90476,5.93492,-123.95702,-3.07039,-12.54906,26.14352,-30.20985,8cd725ee-e88e-427e-843d-a94ba76ed19a,NA,NA,NA,NA,NA,702264,"Kilen, Gavin",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,TEN_VOL,1,Top,0,1,0,Splitter,BallCalled,Undefined,Undefined,Undefined,0,0,NA,LSU_TIG,TEN_VOL,LSU,D1,SEC,20250427-LSU-1,67ac0d70-239a-11f0-94fc-99f59fdd7ae4,83.53232,NA,NA,7.49626,NA,NA,NA,73b2db59-f90d-43b5-9288-39ab18a7375a,2025-04-27,19:04:11,2025-04-27T19:04:11Z,2025-04-27T19:04:11Z,NA,v3,5323,471459,27 April 2025 15:00-tennessee@lsu,"Hernandez, Luis",1000121822,Right,LSU_TIG,55.18436,-125.04567,13.07176,6.00643,-1.81243,-15.10493,-2.98746,6.45747,-6.27453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-04-27,14:04:35,"Evans, Casan",815786,Right,LSU_TIG,Undefined,Fastball,NA,NA,96.14293,-2.746345,-3.286165,2593.435774,206.716466,01:00:00,6.42055,2.6003,5.80075,-12.12969,18.60816,8.8193,2.84915,0.27536,86.96122,-5.094776,-1.709912,0.399032,-5.51327,10.65556,-2.33533,50,6.1873,7.58335,-139.16775,-7.02888,-10.70559,34.11568,-11.48329,21f4733a-99e4-42d7-9e98-0d3fe63d2c73,NA,NA,NA,NA,-27.430033,702264,"Kilen, Gavin",4252.75355,NA,85.13827,Left,55.240082,NA,NA,NA,NA,255.0125,NA,NA,1.65016,3.23222,-0.74322,NA,NA,NA,NA,NA,2,3,TEN_VOL,1,Top,0,2,0,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,NA,LSU_TIG,TEN_VOL,LSU,D1,SEC,20250427-LSU-1,7652a9b0-239a-11f0-94fc-99f59fdd7ae4,94.45962,77.00083,NA,9.18171,NA,NA,NA,73b2db59-f90d-43b5-9288-39ab18a7375a,2025-04-27,19:04:35,2025-04-27T19:04:35Z,2025-04-27T19:04:35Z,NA,v3,5323,471459,27 April 2025 15:00-tennessee@lsu,"Hernandez, Luis",1000121822,Right,LSU_TIG,54.6995,-140.31506,17.05784,6.41719,-6.64269,-5.74165,-2.59641,7.94338,-5.3528,141.151652,1.65016,63.18892,-15.28491,4.05649,-1.02027,0.41892,-0.32012,0.18754,-0.04779,3.23222,102.58613,-27.26952,3.27857,-0.62325,0.06871,0.04243,-0.03972,0.01121,-0.74322,-32.79605,-3.04801,1.67027,-0.60006,0.3408,-0.30105,0.18268,-0.04697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Undefined,NA,NA,NA
6,2025-04-27,14:05:21,"Evans, Casan",815786,Right,LSU_TIG,Undefined,ChangeUp,NA,NA,85.57852,-2.115158,-5.06454,1347.488127,252.787066,02:30:00,5.9982,2.91879,4.98487,-34.5214,5.75154,13.85528,1.11521,-0.72183,77.55132,-8.392912,-2.629117,0.45675,-8.44371,3.93126,-2.44113,50,5.76553,10.31378,-123.45787,-5.88815,-12.87432,27.35363,-26.17995,d7311c16-6364-4d2f-9955-e8afb641a3af,NA,NA,NA,NA,NA,702652,"Fischer, Andrew",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,TEN_VOL,1,Top,1,0,0,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,LSU_TIG,TEN_VOL,LSU,D1,SEC,20250427-LSU-1,915507d0-239a-11f0-94fc-99f59fdd7ae4,82.5232,NA,NA,8.0272,NA,NA,NA,73b2db59-f90d-43b5-9288-39ab18a7375a,2025-04-27,19:05:21,2025-04-27T19:05:21Z,2025-04-27T19:05:21Z,NA,v3,5323,471459,27 April 2025 15:00-tennessee@lsu,"Hernandez, Luis",1000121822,Right,LSU_TIG,55.51516,-124.67384,13.67681,6.00141,-4.72436,-13.08998,-2.91234,10.88609,-6.43716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-04-27,14:05:40,"Evans, Casan",815786,Right,LSU_TIG,Undefined,Slider,NA,NA,86.88892,-0.845898,-3.458937,2535.039826,219.411365,01:15:00,6.07974,2.86134,5.22954,-35.28325,3.07815,1.46032,2.34275,-0.27263,79.08885,-7.281152,-3.200565,0.445778,-1.78665,2.14032,-2.54338,50,5.97526,7.53939,-125.79543,-3.18791,-2.8375,27.63513,-28.77487,e9a4ace7-9074-43a3-a583-540cbe0ee49a,NA,NA,NA,NA,47.251628,702652,"Fischer, Andrew",3936.346115,NA,98.16078,Left,22.48015,70.91367,37.89282,84.09059,303.88214,203.20781,3.419979,57.15375,2.82698,2.84142,-0.06393,NA,NA,NA,NA,NA,3,2,TEN_VOL,1,Top,1,1,0,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,LSU_TIG,TEN_VOL,LSU,D1,SEC,20250427-LSU-1,9caacb60-239a-11f0-94fc-99f59fdd7ae4,84.55429,44.78062,NA,7.80008,NA,NA,NA,73b2db59-f90d-43b5-9288-39ab18a7375a,2025-04-27,19:05:40,2025-04-27T19:05:40Z,2025-04-27T19:05:40Z,LineDrive,v3,5323,471459,27 April 2025 15:00-tennessee@lsu,"Hernandez, Luis",1000121822,Right,LSU_TIG,55.27184,-126.94828,13.81757,6.08321,-1.98751,-14.38743,-2.86036,7.65776,-1.41875,NA,2.82736,90.27968,-23.0634,5.4433,-0.93865,0.02308,0.0389,-0.0103,9.1e-4,2.84129,55.05505,-20.26526,1.87693,-0.46848,0.1662,-0.05042,0.00957,-7.8e-4,-0.06404,97.69383,-9.15756,0.96861,-0.11316,0.0241,-0.00499,4e-5,9e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Low,NA,NA,NA
8,2025-04-27,14:06:06,"Evans, Casan",815786,Right,LSU_TIG,Undefined,ChangeUp,NA,NA,84.76762,-0.847656,-3.763478,1216.092972,269.502763,03:00:00,6.04494,2.98109,5.33508,-38.54852,1.44142,13.90749,2.03548,0.60389,77.4582,-7.87505,-1.295887,0.455142,-8.13441,1.30752,-2.65136,50,5.94028,7.49189,-122.79251,-3.22615,-12.36089,25.38901,-30.18714,ba57179a-3dc2-45bb-92f9-6ec4e2556ef6,NA,NA,NA,NA,28.026349,702652,"Fischer, Andrew",2825.093782,NA,91.68979,Left,23.956658,93.37656,37.19819,58.14428,284.0487,284.0487,3.228521,39.25422,2.43608,2.16335,-0.69228,NA,NA,NA,NA,NA,3,3,TEN_VOL,1,Top,1,1,1,Changeup,InPlay,Undefined,LineDrive,Single,0,0,NA,LSU_TIG,TEN_VOL,LSU,D1,SEC,20250427-LSU-1,ac3510e0-239a-11f0-94fc-99f59fdd7ae4,82.8147,41.36244,NA,7.30942,NA,NA,NA,73b2db59-f90d-43b5-9288-39ab18a7375a,2025-04-27,19:06:06,2025-04-27T19:06:06Z,2025-04-27T19:06:06Z,LineDrive,v3,5323,471459,27 April 2025 15:00-tennessee@lsu,"Hernandez, Luis",1000121822,Right,LSU_TIG,55.168,-123.85646,12.6945,6.04897,-1.96113,-15.09357,-2.97617,8.00988,-6.1804500000000004,247.173615,2.43575,108.49333,-22.34413,5.53465,-1.43031,0.37547,-0.08992,0.01344,-8.2e-4,2.16348,54.59988,-21.24506,1.76447,-0.15531,-0.02678,0.01372,-0.0014,-5e-5,-0.6924,57.74896,2.43679,-2.26995,0.77478,-0.17573,0.02631,-0.00231,9e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
9,2025-04-27,14:07:03,"Evans, Casan",815786,Right,LSU_TIG,Undefined,Fastball,NA,NA,95.04675,-2.543929,-3.940992,2495.855346,198.038484,12:30:00,6.24062,2.83956,5.49495,-13.02178,18.87725,5.77677,2.76853,-0.37149,85.86217,-5.044372,-2.916016,0.4065,-4.12937,10.63075,-2.49815,50,6.00896,9.19024,-137.39832,-6.51101,-7.80951,33.47656,-12.06897,1683c4f1-52af-4b5d-aa39-141ae863f63f,NA,NA,NA,NA,17.9586,1000069609,"Ensley, Hunter",3145.809498,NA,100.82554,Right,15.83788,102.34494,26.81038,40.31764,297.08494,292.33562,3.028824,27.626575,0.75562,2.82476,0.4107,NA,NA,NA,NA,NA,4,1,TEN_VOL,1,Top,1,0,0,Four-Seam,InPlay,Undefined,LineDrive,Sacrifice,1,1,NA,LSU_TIG,TEN_VOL,LSU,D1,SEC,20250427-LSU-1,ce3d3960-239a-11f0-94fc-99f59fdd7ae4,92.72442,30.88131,NA,9.18458,NA,NA,NA,73b2db59-f90d-43b5-9288-39ab18a7375a,2025-04-27,19:07:03,2025-04-27T19:07:03Z,2025-04-27T19:07:03Z,LineDrive,v3,5323,471459,27 April 2025 15:00-tennessee@lsu,"Hernandez, Luis",1000121822,Right,LSU_TIG,55.00432,-138.61224,16.73828,6.23713,-6.07337,-6.03449,-2.83654,9.47343,-3.90476,233.836996,0.75569,135.33069,-26.36718,5.73148,-1.31015,0.32339,-0.07822,0.01286,-9.4e-4,2.82469,40.35974,-15.38337,0.63953,0.03849,-0.07381,0.03384,-0.00696,5.6e-4,0.41059,43.867,3.17344,-1.93328,0.71415,-0.25451,0.07548,-0.01364,0.00106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
10,2025-04-27,14:07:53,"Evans, Casan",815786,Right,LSU_TIG,Undefined,Fastball,NA,NA,95.56957,-3.709877,-4.285834,2539.428899,221.103092,01:15:00,6.25405,2.90615,5.53858,-16.63088,15.07343,12.12064,1.38595,-0.09722,86.1276,-6.850049,-2.132622,0.405257,-7.44567,9.12182,-2.54177,50,5.92012,9.74633,-137.89523,-9.52535,-14.13492,34.68661,-14.85719,2a8c8f34-c923-4dd0-bbee-dab73d912b48,NA,NA,NA,NA,NA,702256,"Chapman, Reese",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,TEN_VOL,1,Top,2,0,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,LSU_TIG,TEN_VOL,LSU,D1,SEC,20250427-LSU-1,ec01c4c0-239a-11f0-94fc-99f59fdd7ae4,93.00872,NA,NA,9.44197,NA,NA,NA,73b2db59-f90d-43b5-9288-39ab18a7375a,2025-04-27,19:07:53,2025-04-27T19:07:53Z,2025-04-27T19:07:53Z,NA,v3,5323,471459,27 April 2025 15:00-tennessee@lsu,"Hernandez, Luis",1000121822,Right,LSU_TIG,54.95967,-139.13721,17.34331,6.25166,-8.99338,-7.4286,-2.89981,10.25244,-7.06746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
