PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-16,12:05:45,"Sanford, Will",1000345636,Right,ORE_DUC,Undefined,Fastball,NA,NA,91.92248,-2.037962,-2.757451,2506.915033,203.619866,12:45:00,5.53913,1.60198,6.37477,-11.43812,21.73844,8.94989,2.70797,-0.19114,82.27792,-4.325912,-1.139245,0.41456,-5.5774,12.35292,-1.40678,50,5.38633,6.03614,-133.16038,-4.9623100000000004,-9.80068,34.28237,-10.46741,bee8ada4-1d94-449b-83b7-411f6fdc55e8,NA,NA,NA,NA,-69.590375,1000236670,"Konczak, Caden",3645.57022,NA,64.91572,Left,56.45248,23.47743,82.10823,-107.46524,181.16663,66.64715,4.530428,-80.01655,1.43226,3.82596,-0.46771,NA,NA,NA,NA,NA,1,1,TOL_ROC,1,Top,0,0,0,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,ORE_DUC,TOL_ROC,PKPark,D1,BIG10,20250216-PKPark-1,7c6c0b00-eca1-11ef-9240-e7971e96921a,90.92162,84.3211,NA,9.64456,NA,NA,NA,f7088a04-1025-4963-90fa-d055b2884b12,2025-02-16,20:05:45,2025-02-16T20:05:45Z,2025-02-16T20:05:45Z,Popup,v3,4807,471468,16 February 2025 15:05-toledo@oregon,"Aroz, Anson",695484,Right,ORE_DUC,54.11992,-134.21687,17.14118,5.53428,-4.63973,-5.2337,-1.59745,6.33817,-4.90034,NA,1.4605,17.68431,-3.84823,-3.65779,4.67223,-2.38917,0.63046,-0.08342,0.00438,3.82626,79.31348,-22.40056,1.34738,0.57375,-0.55137,0.19128,-0.03098,0.00193,-0.46877,-49.27148,3.81826,-0.11915,-0.53505,0.33908,-0.10077,0.01484,-8.7e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Low,NA,NA,NA
2,2025-02-16,12:06:04,"Sanford, Will",1000345636,Right,ORE_DUC,Undefined,Fastball,NA,NA,93.0519,-0.992116,-1.727719,2498.899475,202.427056,12:45:00,5.58574,1.75216,6.57208,-10.76863,21.16202,8.25229,3.77847,0.85574,83.58626,-3.155247,-0.228393,0.406701,-4.85555,11.71808,-1.63638,50,5.51234,3.72668,-135.04102,-2.52478,-8.81219,34.11908,-10.90724,a45643c0-6ecb-4c75-9006-aafcbb9a2862,NA,NA,NA,NA,NA,1000236670,"Konczak, Caden",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,TOL_ROC,1,Top,0,0,1,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,ORE_DUC,TOL_ROC,PKPark,D1,BIG10,20250216-PKPark-1,883502c0-eca1-11ef-9240-e7971e96921a,92.67851,NA,NA,9.46563,NA,NA,NA,f7088a04-1025-4963-90fa-d055b2884b12,2025-02-16,20:06:04,2025-02-16T20:06:04Z,2025-02-16T20:06:04Z,NA,v3,4807,471468,16 February 2025 15:05-toledo@oregon,"Aroz, Anson",695484,Right,ORE_DUC,53.92231,-136.02841,17.05954,5.58084,-2.20913,-5.45362,-1.74792,3.9817,-4.40609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-02-16,12:06:23,"Sanford, Will",1000345636,Right,ORE_DUC,Undefined,Fastball,NA,NA,92.49469,-0.931997,-2.29794,2428.697424,211.976546,01:00:00,5.54856,1.60827,6.67692,-11.35154,20.66348,12.2041,3.74928,0.52206,83.54498,-3.195727,-0.077053,0.407238,-7.14469,11.50623,-1.45891,50,5.48116,4.90478,-134.32525,-2.40259,-12.89925,32.31503,-11.40031,c421b3a7-ba53-44d8-b8df-9d97069c73e7,NA,NA,NA,NA,-61.354195,1000236670,"Konczak, Caden",3833.814911,NA,75.57535,Left,74.694501,NA,NA,NA,NA,36.55104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,TOL_ROC,1,Top,0,1,1,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,ORE_DUC,TOL_ROC,PKPark,D1,BIG10,20250216-PKPark-1,93014b00-eca1-11ef-9240-e7971e96921a,92.55634,114.61658,NA,8.94971,NA,NA,NA,f7088a04-1025-4963-90fa-d055b2884b12,2025-02-16,20:06:23,2025-02-16T20:06:23Z,2025-02-16T20:06:23Z,NA,v3,4807,471468,16 February 2025 15:05-toledo@oregon,"Aroz, Anson",695484,Right,ORE_DUC,53.82026,-135.24118000000001,16.15752,5.54468,-2.07946,-5.70015,-1.60311,5.2704,-6.44963,NA,4.80092,14.02467,-10.43309,3.34427,-1.00523,1.27005,-1.65632,1.06017,-0.2587,23.43871,106.91238,-28.49478,3.57023,-0.76631,0.2837,-0.19109,0.0965,-0.02114,-5.26014,-25.67825,0.18269,0.41817,-0.20261,0.3425,-0.47494,0.30926,-0.07603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Undefined,NA,NA,NA
4,2025-02-16,12:06:52,"Sanford, Will",1000345636,Right,ORE_DUC,Undefined,Curveball,NA,NA,78.14837,2.28121,0.018033,2786.041091,26.781116,07:00:00,5.5678,1.65078,5.51673,-64.13893,-16.91048,-9.39414,2.35699,0.8848,70.7279,-9.400609,-1.660311,0.494622,4.7228,-8.73567,-1.64596,50,5.72382,0.3379,-113.31315,2.27325,6.01468,24.65931,-43.29933,c1fb1280-65e5-4e70-82f1-5f926b51e3d3,NA,NA,NA,NA,NA,1000236670,"Konczak, Caden",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,TOL_ROC,1,Top,0,1,2,Curveball,StrikeCalled,Strikeout,Undefined,Undefined,0,0,NA,ORE_DUC,TOL_ROC,PKPark,D1,BIG10,20250216-PKPark-1,a45e2da0-eca1-11ef-9240-e7971e96921a,76.20456,NA,NA,7.42047,NA,NA,NA,f7088a04-1025-4963-90fa-d055b2884b12,2025-02-16,20:06:52,2025-02-16T20:06:52Z,2025-02-16T20:06:52Z,NA,v3,4807,471468,16 February 2025 15:05-toledo@oregon,"Aroz, Anson",695484,Right,ORE_DUC,54.98431,-114.3927,12.32966,5.5828,4.16883,-21.64967,-1.65499,0.07458,3.00734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-02-16,12:07:18,"Sanford, Will",1000345636,Right,ORE_DUC,Undefined,Fastball,NA,NA,92.77053,-0.620052,-1.677537,2478.080636,206.429785,01:00:00,5.57136,1.76586,6.78808,-10.37623,21.34989,10.05693,4.1404,1.07219,83.63361,-2.713245,0.157362,0.405397,-5.79784,11.76536,-1.65986,50,5.5262,3.53857,-134.75206,-1.61556,-10.5176,32.94468,-10.83107,0e9a6f38-6a97-48e6-a083-08a701e57da1,NA,NA,NA,NA,NA,10012651,"Walton, Luke",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,TOL_ROC,1,Top,1,0,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,ORE_DUC,TOL_ROC,PKPark,D1,BIG10,20250216-PKPark-1,b3eb8060-eca1-11ef-9240-e7971e96921a,92.97671,NA,NA,9.13693,NA,NA,NA,f7088a04-1025-4963-90fa-d055b2884b12,2025-02-16,20:07:18,2025-02-16T20:07:18Z,2025-02-16T20:07:18Z,NA,v3,4807,471468,16 February 2025 15:05-toledo@oregon,"Aroz, Anson",695484,Right,ORE_DUC,53.70697,-135.65533,16.47234,5.56642,-1.3186,-5.41553,-1.76083,3.82694,-5.2588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-02-16,12:07:32,"Sanford, Will",1000345636,Right,ORE_DUC,Undefined,Fastball,NA,NA,91.52472,-2.374909,-2.394487,2441.975332,207.138955,01:00:00,5.57891,1.60511,6.44993,-9.92209,23.37297,11.33438,2.567,0.34846,82.08276,-4.388764,-0.341207,0.415299,-6.64583,13.2867,-1.43977,50,5.40535,5.06551,-132.62306,-5.64541,-11.61384,33.34204,-8.95503,e2c45689-adb8-45cc-ada1-c71abfc9215f,NA,NA,NA,NA,NA,10012651,"Walton, Luke",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,TOL_ROC,1,Top,1,1,0,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,ORE_DUC,TOL_ROC,PKPark,D1,BIG10,20250216-PKPark-1,bc8c5d20-eca1-11ef-9240-e7971e96921a,90.75969,NA,NA,9.44196,NA,NA,NA,f7088a04-1025-4963-90fa-d055b2884b12,2025-02-16,20:07:32,2025-02-16T20:07:32Z,2025-02-16T20:07:32Z,NA,v3,4807,471468,16 February 2025 15:05-toledo@oregon,"Aroz, Anson",695484,Right,ORE_DUC,54.04401,-133.63587,16.67102,5.57271,-5.37339,-4.47752,-1.59901,5.4183,-5.80692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-02-16,12:07:53,"Sanford, Will",1000345636,Right,ORE_DUC,Undefined,Cutter,NA,NA,85.60708,1.239825,-1.725103,2584.662768,115.82716,09:45:00,5.47632,1.8613,6.0065,-33.80348,4.69059,-6.89284,3.80873,-0.31185,77.27051,-5.067368,-2.963595,0.446548,2.95658,2.44484,-1.72221,50,5.55567,4.02398,-124.13688,1.57407,4.54519,28.28229,-28.41557,b2bc4c50-2795-483d-9867-debc4318331a,NA,NA,NA,NA,NA,10012651,"Walton, Luke",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,TOL_ROC,1,Top,1,1,1,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,ORE_DUC,TOL_ROC,PKPark,D1,BIG10,20250216-PKPark-1,c90c21c0-eca1-11ef-9240-e7971e96921a,84.40847,NA,NA,8.33656,NA,NA,NA,f7088a04-1025-4963-90fa-d055b2884b12,2025-02-16,20:07:53,2025-02-16T20:07:53Z,2025-02-16T20:07:53Z,NA,v3,4807,471468,16 February 2025 15:05-toledo@oregon,"Aroz, Anson",695484,Right,ORE_DUC,54.48848,-125.15532,14.14115,5.48057,2.5973,-14.20779,-1.86417,3.86031,2.2726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-02-16,12:08:10,"Sanford, Will",1000345636,Right,ORE_DUC,Undefined,Fastball,NA,NA,91.51248,-2.405816,-2.136804,2489.454774,198.780609,12:45:00,5.55483,1.66222,6.4636,-9.54634,23.94738,7.69016,2.54674,0.33952,81.5731,-4.365046,-0.743209,0.416537,-4.67642,13.5878,-1.51397,50,5.37944,4.60658,-132.49923,-5.66999,-8.10878,34.80609,-8.61327,4986e7f5-dc7f-405f-b94b-c732b997943e,NA,NA,NA,NA,-150.141752,10012651,"Walton, Luke",2139.945411,NA,66.61307,Left,16.11159,NA,NA,NA,135.27041,50.337,1.680635,-151.889856,NA,NA,NA,NA,NA,NA,NA,NA,2,4,TOL_ROC,1,Top,1,2,1,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,ORE_DUC,TOL_ROC,PKPark,D1,BIG10,20250216-PKPark-1,d2bd3600-eca1-11ef-9240-e7971e96921a,90.49011,12.64764,NA,9.93938,NA,NA,NA,f7088a04-1025-4963-90fa-d055b2884b12,2025-02-16,20:08:10,2025-02-16T20:08:10Z,2025-02-16T20:08:10Z,LineDrive,v3,4807,471468,16 February 2025 15:05-toledo@oregon,"Aroz, Anson",695484,Right,ORE_DUC,54.02681,-133.55284,17.40305,5.54713,-5.40926,-4.30663,-1.65713,4.85204,-4.05439,71.01865,-2.83508,-81.39406,7.11378,0.5801,-1.69184,2.37812,-1.7038,0.60325,-0.08472,2.50832,27.11389,-19.22662,1.68316,-0.49058,0.36104,-0.18975,0.05095,-0.00544,0.00495,-46.72524,6.14263,-0.42136,-0.76112,1.25243,-0.93098,0.33633,-0.04792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Low,NA,NA,NA
9,2025-02-16,12:08:33,"Sanford, Will",1000345636,Right,ORE_DUC,Undefined,Fastball,NA,NA,94.75493,-3.387417,-2.452683,2577.510163,212.98124,01:00:00,5.50957,1.64238,6.39702,-7.8839,22.88934,14.17202,1.73082,0.56637,86.07043,-4.989279,0.112052,0.399262,-8.04961,13.19363,-1.47213,50,5.26183,5.27279,-137.37062,-8.24002,-15.30013,31.93544,-7.09645,bfddb3e0-16b6-4b86-a817-a5f9bf0f38d2,NA,NA,NA,NA,NA,10012651,"Walton, Luke",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,TOL_ROC,1,Top,1,2,2,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,ORE_DUC,TOL_ROC,PKPark,D1,BIG10,20250216-PKPark-1,e0cfcfa0-eca1-11ef-9240-e7971e96921a,94.40527,NA,NA,8.6845,NA,NA,NA,f7088a04-1025-4963-90fa-d055b2884b12,2025-02-16,20:08:33,2025-02-16T20:08:33Z,2025-02-16T20:08:33Z,NA,v3,4807,471468,16 February 2025 15:05-toledo@oregon,"Aroz, Anson",695484,Right,ORE_DUC,54.10003,-138.3205,15.96772,5.50378,-8.02895,-3.54822,-1.63573,5.72787,-7.65007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-02-16,12:08:56,"Sanford, Will",1000345636,Right,ORE_DUC,Undefined,Fastball,NA,NA,92.26073,-2.246034,-2.376122,2481.719852,196.338362,12:30:00,5.54735,1.57178,6.8089,-9.97146,21.82611,6.09394,2.66415,-0.08977,84.08555,-4.241013,-1.264824,0.405853,-3.94327,12.5804,-1.42048,50,5.39806,5.33431,-134.03644,-5.43687,-7.14655,29.99416,-9.37402,66cd958d-faad-4166-b0a9-24f35fe89d0c,NA,NA,NA,NA,-50.830864,10012651,"Walton, Luke",4340.196317,NA,72.50782,Left,61.514093,NA,NA,NA,130.13905,79.19462,5.251829,-60.252529,1.02226,4.04583,1.39832,NA,NA,NA,NA,NA,2,6,TOL_ROC,1,Top,1,3,2,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,ORE_DUC,TOL_ROC,PKPark,D1,BIG10,20250216-PKPark-1,eea73500-eca1-11ef-9240-e7971e96921a,92.87224,112.02292,NA,8.17519,NA,NA,NA,f7088a04-1025-4963-90fa-d055b2884b12,2025-02-16,20:08:56,2025-02-16T20:08:56Z,2025-02-16T20:08:56Z,Popup,v3,4807,471468,16 February 2025 15:05-toledo@oregon,"Aroz, Anson",695484,Right,ORE_DUC,53.69034,-134.85973,14.99708,5.54377,-5.17957,-4.68701,-1.56959,5.53047,-3.57327,168.576909,1.02533,31.95797,-12.71653,3.67952,-0.42892,-0.10617,0.05282,-0.00828,4.6e-4,4.03327,93.69959,-25.01277,3.38315,-1.06773,0.28917,-0.04557,0.00302,-3e-5,1.39227,-39.19483,9.43776,-2.0147,-0.10925,0.22196,-0.06612,0.00872,-4.4e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Low,Low,NA,NA,NA
