PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-05-02,18:06:05,"Ellwanger, James",806067,Right,DAL_PAT,Undefined,Sinker,NA,NA,97.59435,-1.265252,-3.616453,2083.358602,241.885264,02:00:00,6.44198,2.06536,6.2541,-19.67092,9.24339,15.62863,3.63341,0.02823,89.37669,-4.964369,-0.798117,0.387015,-9.05178,5.41327,-1.80366,50,6.33809,8.25831,-141.64481,-3.79827,-18.44545,31.43494,-21.14306,6bc4ad85-aa1c-4e76-b991-8f5149638fb0,NA,NA,NA,NA,NA,831557,"Crespo, Javier",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,FLO_PAN,1,Top,0,0,0,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,DAL_PAT,FLO_PAN,DallasBaptist,D1,CUSA,20250502-DallasBaptist-1,06ba6d90-27aa-11f0-a173-47c1b56dfa2a,97.39269,NA,NA,8.21766,NA,NA,NA,89e66b7e-6e9c-4f3a-b8f5-1849d3d7719f,2025-05-02,23:06:05,2025-05-02T23:06:05Z,2025-05-02T23:06:05Z,NA,v3,471502,4468,02 May 2025 19:06-flinternat@dallasbapt,"Jay, Grant",1000132428,Right,DAL_PAT,54.24743,-142.58432,15.71747,6.44217,-3.16636,-10.57153,-2.05872,8.80959,-9.22272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-05-02,18:06:17,"Ellwanger, James",806067,Right,DAL_PAT,Undefined,Sinker,NA,NA,98.59566,-3.225066,-4.579476,2346.084167,226.893947,01:30:00,6.32337,2.10236,6.53514,-14.61434,13.4715,13.47355,2.13457,-0.98452,90.5642,-6.011791,-2.142214,0.38143,-8.22095,8.16587,-1.78916,50,6.09213,10.8586,-142.81953,-8.49725,-17.08409,31.00361,-15.20443,0b78196e-4c8e-4894-b7ba-21559a7c3437,NA,NA,NA,NA,NA,831557,"Crespo, Javier",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,FLO_PAN,1,Top,0,1,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,DAL_PAT,FLO_PAN,DallasBaptist,D1,CUSA,20250502-DallasBaptist-1,0dceddf0-27aa-11f0-a173-47c1b56dfa2a,98.81867,NA,NA,8.03147,NA,NA,NA,89e66b7e-6e9c-4f3a-b8f5-1849d3d7719f,2025-05-02,23:06:17,2025-05-02T23:06:17Z,2025-05-02T23:06:17Z,NA,v3,471502,4468,02 May 2025 19:06-flinternat@dallasbapt,"Jay, Grant",1000132428,Right,DAL_PAT,53.96622,-143.67794,15.5018,6.32157,-8.07628,-7.60221,-2.09636,11.33162,-8.54205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-05-02,18:06:31,"Ellwanger, James",806067,Right,DAL_PAT,Undefined,Slider,NA,NA,92.15923,-2.146245,-3.635498,2589.71063,142.600933,10:45:00,6.23267,2.2449,6.14632,-27.30332,5.20681,-3.25654,1.96917,-1.39048,85.15052,-7.186141,-4.221161,0.410375,0.73642,3.55457,-1.96609,50,6.05474,8.62963,-133.69615,-5.95736,1.34077,27.2375,-25.70245,d718f73f-88f8-41cc-875d-57230f1bea87,NA,NA,NA,NA,NA,831557,"Crespo, Javier",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,FLO_PAN,1,Top,0,2,0,Cutter,BallCalled,Undefined,Undefined,Undefined,0,0,NA,DAL_PAT,FLO_PAN,DallasBaptist,D1,CUSA,20250502-DallasBaptist-1,164bb7f0-27aa-11f0-a173-47c1b56dfa2a,91.84878,NA,NA,7.00872,NA,NA,NA,89e66b7e-6e9c-4f3a-b8f5-1849d3d7719f,2025-05-02,23:06:31,2025-05-02T23:06:31Z,2025-05-02T23:06:31Z,NA,v3,471502,4468,02 May 2025 19:06-flinternat@dallasbapt,"Jay, Grant",1000132428,Right,DAL_PAT,54.35538,-134.58053,13.61875,6.23463,-5.12282,-12.85122,-2.24558,8.58609,0.67039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-05-02,18:06:45,"Ellwanger, James",806067,Right,DAL_PAT,Undefined,Fastball,NA,NA,94.13401,0.496218,-1.810239,2193.107419,209.492192,01:00:00,6.45037,1.97683,6.10655,-15.81265,15.43284,8.17934,5.59178,0.98383,85.87551,-2.524216,-0.337442,0.402314,-4.68445,8.10032,-1.8417,50,6.48001,3.95834,-136.73778,0.71757,-8.87571,29.93646,-16.82621,53bcd4f5-a3dc-4f6e-afca-024c3601bb73,NA,NA,NA,NA,NA,831557,"Crespo, Javier",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,FLO_PAN,1,Top,0,3,0,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,NA,DAL_PAT,FLO_PAN,DallasBaptist,D1,CUSA,20250502-DallasBaptist-1,1ea8ade0-27aa-11f0-a173-47c1b56dfa2a,93.68911,NA,NA,8.2585,NA,NA,NA,89e66b7e-6e9c-4f3a-b8f5-1849d3d7719f,2025-05-02,23:06:45,2025-05-02T23:06:45Z,2025-05-02T23:06:45Z,NA,v3,471502,4468,02 May 2025 19:06-flinternat@dallasbapt,"Jay, Grant",1000132428,Right,DAL_PAT,54.39257,-137.6961,14.96823,6.44842,1.25621,-8.41311,-1.97296,4.24246,-4.43785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-05-02,18:07:19,"Ellwanger, James",806067,Right,DAL_PAT,Undefined,Curveball,NA,NA,82.71614,-0.498108,-0.401812,2774.721197,39.618253,07:15:00,6.23369,2.24588,5.71831,-49.54739,-8.90686,-8.28808,1.64071,1.18089,77.11016,-9.488365,-1.889405,0.458829,4.1415,-4.10819,-2.20702,50,6.16097,1.16677,-120.3694,-2.77631,6.13159,21.36851,-38.25632,fe792972-4171-44a7-945c-aa66f89fea7c,NA,NA,NA,NA,NA,695302,"Frett, Kishon",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,FLO_PAN,1,Top,0,0,0,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,DAL_PAT,FLO_PAN,DallasBaptist,D1,CUSA,20250502-DallasBaptist-1,32cbb560-27aa-11f0-a173-47c1b56dfa2a,82.14914,NA,NA,5.60598,NA,NA,NA,89e66b7e-6e9c-4f3a-b8f5-1849d3d7719f,2025-05-02,23:07:19,2025-05-02T23:07:19Z,2025-05-02T23:07:19Z,NA,v3,471502,4468,02 May 2025 19:06-flinternat@dallasbapt,"Jay, Grant",1000132428,Right,DAL_PAT,54.78713,-121.21625,10.68425,6.24095,-1.26017,-19.12816,-2.24845,0.92378,3.06579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-05-02,18:07:39,"Ellwanger, James",806067,Right,DAL_PAT,Undefined,Curveball,NA,NA,80.10745,1.672298,-1.403301,2837.603896,49.995034,07:45:00,6.18347,2.17758,5.72708,-52.78408,-9.32752,-12.5517,3.34328,-0.17569,74.27675,-7.94226,-3.649907,0.474459,6.03162,-4.80366,-2.05261,50,6.29037,3.33472,-116.48175,1.60978,8.34448,20.45473,-38.81968,b13a4fc4-902f-43b5-b191-28883ddd69e9,NA,NA,NA,NA,NA,695302,"Frett, Kishon",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,FLO_PAN,1,Top,0,1,0,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,DAL_PAT,FLO_PAN,DallasBaptist,D1,CUSA,20250502-DallasBaptist-1,3ef12500-27aa-11f0-a173-47c1b56dfa2a,79.44291,NA,NA,5.8307,NA,NA,NA,89e66b7e-6e9c-4f3a-b8f5-1849d3d7719f,2025-05-02,23:07:39,2025-05-02T23:07:39Z,2025-05-02T23:07:39Z,NA,v3,471502,4468,02 May 2025 19:06-flinternat@dallasbapt,"Jay, Grant",1000132428,Right,DAL_PAT,54.77838,-117.31785,10.22736,6.19214,3.19657,-19.40984,-2.18195,2.99364,4.17224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-05-02,18:07:58,"Ellwanger, James",806067,Right,DAL_PAT,Undefined,Sinker,NA,NA,96.17757,-2.484983,-4.181432,2241.954885,220.092127,01:15:00,6.3289,1.9445,6.33173,-15.46363,14.04595,11.11516,2.74444,-0.98652,88.856,-5.412648,-2.177354,0.390979,-6.80201,8.18646,-1.64414,50,6.13955,9.72947,-139.51851,-6.5382,-13.57323,27.75042,-15.83822,8282bcf6-fa77-4e30-8859-c67d8fc0ec4d,NA,NA,NA,NA,NA,695302,"Frett, Kishon",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,FLO_PAN,1,Top,0,1,1,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,DAL_PAT,FLO_PAN,DallasBaptist,D1,CUSA,20250502-DallasBaptist-1,4a3c6140-27aa-11f0-a173-47c1b56dfa2a,96.40537,NA,NA,7.32157,NA,NA,NA,89e66b7e-6e9c-4f3a-b8f5-1849d3d7719f,2025-05-02,23:07:58,2025-05-02T23:07:58Z,2025-05-02T23:07:58Z,NA,v3,471502,4468,02 May 2025 19:06-flinternat@dallasbapt,"Jay, Grant",1000132428,Right,DAL_PAT,54.17061,-140.3456,13.87521,6.32738,-6.06615,-7.91911,-1.94015,10.13401,-6.78662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-05-02,18:08:18,"Ellwanger, James",806067,Right,DAL_PAT,Undefined,Curveball,NA,NA,81.31159,0.092222,-1.917321,2769.276151,46.70486,07:30:00,6.10533,2.29575,5.6241,-54.31357,-11.66127,-13.71544,1.66531,-0.6371,75.24568,-9.747641,-4.37058,0.470048,6.5067,-5.71866,-2.12292,50,6.07747,4.48002,-118.16964,-1.68551,9.1849,22.87432,-40.24657,38d48ff5-ef55-4e23-835a-f2e80b8a78ec,NA,NA,NA,NA,-35.254717,695302,"Frett, Kishon",2612.683133,NA,91.16874,Right,22.221586,85.9634,36.68707,-68.63152,290.39916,260.62676,3.457535,-46.638339,3.47382,2.05222,0.53362,NA,NA,NA,NA,NA,2,4,FLO_PAN,1,Top,0,2,1,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,DAL_PAT,FLO_PAN,DallasBaptist,D1,CUSA,20250502-DallasBaptist-1,55f3f3e0-27aa-11f0-a173-47c1b56dfa2a,80.18842,42.30876,NA,6.0659,NA,NA,NA,89e66b7e-6e9c-4f3a-b8f5-1849d3d7719f,2025-05-02,23:08:18,2025-05-02T23:08:18Z,2025-05-02T23:08:18Z,LineDrive,v3,471502,4468,02 May 2025 19:06-flinternat@dallasbapt,"Jay, Grant",1000132428,Right,DAL_PAT,54.88197,-119.11091,11.43716,6.11276,-0.02939,-20.12328,-2.2995,4.10206,4.59245,129.235189,3.47371,101.08652,-24.78614,6.35211,-1.40888,0.24968,-0.0317,0.00198,3e-5,2.05221,50.56732,-16.7057,0.42436,0.06122,0.01461,-0.02002,0.00609,-6.1e-4,0.53356,-71.44484,3.07879,0.46702,-0.34294,0.10674,-0.02196,0.00281,-1.7e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA
9,2025-05-02,18:08:51,"Ellwanger, James",806067,Right,DAL_PAT,Undefined,Slider,NA,NA,89.69458,-0.978306,-2.189341,2769.928318,93.741399,09:00:00,6.23136,2.2625,5.96437,-32.95832,1.33425,-5.94414,2.57695,-0.2639,83.21757,-7.028019,-3.2574,0.421475,2.53488,1.18831,-2.08535,50,6.135,5.22576,-130.41071,-3.3855,4.40819,24.90599,-30.10758,a0dfc1c9-582f-49bf-83c2-51f5d49db05c,NA,NA,NA,NA,151.8892,695302,"Frett, Kishon",4641.476143,NA,71.57318,Right,27.872895,NA,NA,NA,NA,47.80907,NA,NA,1.71737,2.64493,0.12992,NA,NA,NA,NA,NA,2,5,FLO_PAN,1,Top,0,2,2,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,DAL_PAT,FLO_PAN,DallasBaptist,D1,CUSA,20250502-DallasBaptist-1,69aaf320-27aa-11f0-a173-47c1b56dfa2a,89.42988,22.432,NA,6.4770200000000004,NA,NA,NA,89e66b7e-6e9c-4f3a-b8f5-1849d3d7719f,2025-05-02,23:08:51,2025-05-02T23:08:51Z,2025-05-02T23:08:51Z,NA,v3,471502,4468,02 May 2025 19:06-flinternat@dallasbapt,"Jay, Grant",1000132428,Right,DAL_PAT,54.53931,-131.27477,12.453,6.23433,-2.34098,-15.05379,-2.264,5.07283,2.20409,NA,1.71737,-81.84915,5.24817,0.46318,-0.24776,0.09864,-0.02544,0.00797,-0.00194,2.64493,49.07649,-26.40589,3.24621,-0.69693,0.13781,-0.02272,0.00185,8.5e-4,0.12992,43.7232,-11.2905,2.3643,-0.5337,0.09927,-0.01855,0.0027,1.2e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Undefined,NA,NA,NA
10,2025-05-02,18:09:14,"Ellwanger, James",806067,Right,DAL_PAT,Undefined,Sinker,NA,NA,97.73983,-3.147335,-4.42819,2325.744787,227.784868,01:30:00,6.37484,1.87643,6.4301,-16.06769,12.59225,12.92225,2.13149,-1.1249,89.88827,-6.190298,-2.09427,0.385309,-7.87548,7.66237,-1.56593,50,6.14239,10.41081,-141.61143,-8.30132,-16.10239,30.2552,-16.50736,6cadd529-4c90-4c2d-9ee2-0b5d062be683,NA,NA,NA,NA,NA,695302,"Frett, Kishon",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,FLO_PAN,1,Top,0,2,2,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,DAL_PAT,FLO_PAN,DallasBaptist,D1,CUSA,20250502-DallasBaptist-1,7737e200-27aa-11f0-a173-47c1b56dfa2a,97.82395,NA,NA,7.85157,NA,NA,NA,89e66b7e-6e9c-4f3a-b8f5-1849d3d7719f,2025-05-02,23:09:14,2025-05-02T23:09:14Z,2025-05-02T23:09:14Z,NA,v3,471502,4468,02 May 2025 19:06-flinternat@dallasbapt,"Jay, Grant",1000132428,Right,DAL_PAT,54.07159,-142.47867,15.1276,6.37356,-7.82815,-8.25368,-1.87096,10.87237,-8.05119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
