PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-30,15:00:23,"Chavana, Joseph",830129,Right,XAV_MUS,Undefined,Cutter,NA,NA,91.12729,-0.883817,-1.835887,2480.301844,174.344232,11:45:00,6.38749,0.75167,5.71404,-19.23115,14.6306,-1.34354,3.96107,-1.07113,83.30905,-4.496641,-2.076029,0.418819,0.17295,8.00028,-0.59726,50,6.3017,4.29979,-132.26847,-2.67023,0.30664,28.00733,-17.99022,4ce5af54-9f7b-4e4e-bd66-4b4b109bb69e,NA,NA,NA,NA,NA,1000034148,"Baker, Dillon",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,MIA_RED,1,Top,0,0,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,XAV_MUS,MIA_RED,HaydenField,D1,BEAST,20250430-HaydenField-1,5efb7b40-25f5-11f0-ad03-9f02a880250d,89.99703,NA,NA,7.81824,NA,NA,NA,4f47989a-2131-4c5e-95c4-8fa2e151af3c,2025-04-30,19:00:23,2025-04-30T19:00:23Z,2025-04-30T19:00:23Z,NA,v3,471497,471355,30 April 2025 15:00-miamioh@xavier,"Jelic, Jason",830126,Right,XAV_MUS,54.78157,-133.2771,14.00367,6.38619,-2.02235,-8.99511,-0.75192,4.28875,0.15332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-04-30,15:00:38,"Chavana, Joseph",830129,Right,XAV_MUS,Undefined,Fastball,NA,NA,89.78434,-1.631128,-1.912866,2442.327842,209.987376,01:00:00,6.3252,0.59089,5.73983,-18.86903,16.36686,8.72973,3.23276,-0.46339,81.24677,-5.207849,-0.351055,0.427232,-5.00457,9.18052,-0.43702,50,6.17805,3.9592,-130.14301,-4.29105,-8.49434,29.951,-16.59176,f0912fb2-b9ba-4ad8-9311-371d3f63b2db,NA,NA,NA,NA,NA,1000034148,"Baker, Dillon",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,MIA_RED,1,Top,0,1,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,XAV_MUS,MIA_RED,HaydenField,D1,BEAST,20250430-HaydenField-1,682955c0-25f5-11f0-ad03-9f02a880250d,88.22468,NA,NA,8.53757,NA,NA,NA,4f47989a-2131-4c5e-95c4-8fa2e151af3c,2025-04-30,19:00:38,2025-04-30T19:00:38Z,2025-04-30T19:00:38Z,NA,v3,471497,471355,30 April 2025 15:00-miamioh@xavier,"Jelic, Jason",830126,Right,XAV_MUS,54.75471,-131.23269,14.9755,6.32319,-3.6874,-8.29588,-0.58669,4.26824,-4.24717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-04-30,15:00:52,"Chavana, Joseph",830129,Right,XAV_MUS,Undefined,Curveball,NA,NA,79.24091,-1.400702,-2.454831,2917.703559,21.16436,06:45:00,6.33547,0.49844,5.01018,-57.15436,-10.86772,-4.7754,0.24908,-2.21792,73.20985,-11.611012,-3.300864,0.489665,1.6774,-4.7537,-0.25871,50,6.15384,5.11551,-114.89155,-4.88625,2.2263,22.68676,-38.4833,68b0d7c5-5e12-4216-b6ae-eea29f726278,NA,NA,NA,NA,NA,1000034148,"Baker, Dillon",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,MIA_RED,1,Top,0,1,1,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,XAV_MUS,MIA_RED,HaydenField,D1,BEAST,20250430-HaydenField-1,70a5e1a0-25f5-11f0-ad03-9f02a880250d,76.97594,NA,NA,6.03106,NA,NA,NA,4f47989a-2131-4c5e-95c4-8fa2e151af3c,2025-04-30,19:00:52,2025-04-30T19:00:52Z,2025-04-30T19:00:52Z,NA,v3,471497,471355,30 April 2025 15:00-miamioh@xavier,"Jelic, Jason",830126,Right,XAV_MUS,55.49162,-115.97087,11.34338,6.34275,-3.05541,-19.24165,-0.49956,5.00959,1.11315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-04-30,15:01:09,"Chavana, Joseph",830129,Right,XAV_MUS,Undefined,Cutter,NA,NA,90.09578,-3.255915,-1.942641,2571.251856,179.697235,12:00:00,6.32064,0.73076,5.74736,-21.71147,12.81379,-0.06217,1.47514,-1.08368,83.06669,-7.278366,-1.953772,0.422902,-0.48028,7.72091,-0.56933,50,6.03656,4.43554,-130.69425,-8.16924,-0.83483,26.2558,-18.75304,baa9b338-ff6e-4ee5-b424-d2cc7b980195,NA,NA,NA,NA,NA,1000034148,"Baker, Dillon",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,MIA_RED,1,Top,0,2,1,Cutter,BallCalled,Undefined,Undefined,Undefined,0,0,NA,XAV_MUS,MIA_RED,HaydenField,D1,BEAST,20250430-HaydenField-1,7a90a380-25f5-11f0-ad03-9f02a880250d,89.12808,NA,NA,7.02909,NA,NA,NA,4f47989a-2131-4c5e-95c4-8fa2e151af3c,2025-04-30,19:01:09,2025-04-30T19:01:09Z,2025-04-30T19:01:09Z,NA,v3,471497,471355,30 April 2025 15:00-miamioh@xavier,"Jelic, Jason",830126,Right,XAV_MUS,54.75182,-131.6454,13.1279,6.32019,-7.48988,-9.37652,-0.73056,4.46579,-0.41741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-04-30,15:01:27,"Chavana, Joseph",830129,Right,XAV_MUS,Undefined,Fastball,NA,NA,90.56204,-3.173031,-1.503924,2482.280058,209.988212,01:00:00,6.26363,0.64964,5.6278,-17.74076,16.76434,9.02705,1.82052,-0.00169,82.85075,-6.504106,0.1086,0.422779,-5.05697,9.76288,-0.52772,50,5.98205,3.06042,-131.31435,-7.85616,-8.81886,28.12911,-15.14852,859f74f3-50d2-4354-a573-acf363568607,NA,NA,NA,NA,NA,1000034148,"Baker, Dillon",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,MIA_RED,1,Top,0,3,1,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,XAV_MUS,MIA_RED,HaydenField,D1,BEAST,20250430-HaydenField-1,8503a830-25f5-11f0-ad03-9f02a880250d,89.15408,NA,NA,7.71129,NA,NA,NA,4f47989a-2131-4c5e-95c4-8fa2e151af3c,2025-04-30,19:01:27,2025-04-30T19:01:27Z,2025-04-30T19:01:27Z,NA,v3,471497,471355,30 April 2025 15:00-miamioh@xavier,"Jelic, Jason",830126,Right,XAV_MUS,54.871,-132.35367,14.06456,6.26198,-7.29645,-7.57426,-0.64682,3.38626,-4.40943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-04-30,15:01:40,"Chavana, Joseph",830129,Right,XAV_MUS,Undefined,Curveball,NA,NA,78.16021,-0.39495,-0.425736,2906.761167,24.904982,06:45:00,6.36511,0.51092,4.80651,-53.86688,-6.16134,-3.56071,1.50201,-0.18916,72.02799,-10.048028,-1.054286,0.497114,1.65398,-2.61504,-0.46526,50,6.27846,0.98739,-113.42319,-2.75629,2.14711,21.42392,-35.5687,ad91e7aa-c68f-41f2-99a8-ba2e983923f6,NA,NA,NA,NA,NA,1000034148,"Baker, Dillon",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,MIA_RED,1,Top,0,3,2,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,XAV_MUS,MIA_RED,HaydenField,D1,BEAST,20250430-HaydenField-1,8d3e4910-25f5-11f0-ad03-9f02a880250d,75.82255,NA,NA,6.13222,NA,NA,NA,4f47989a-2131-4c5e-95c4-8fa2e151af3c,2025-04-30,19:01:40,2025-04-30T19:01:40Z,2025-04-30T19:01:40Z,NA,v3,471497,471355,30 April 2025 15:00-miamioh@xavier,"Jelic, Jason",830126,Right,XAV_MUS,55.69417,-114.49368,10.71196,6.37178,-0.97903,-17.78435,-0.51192,0.8801,1.07355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-04-30,15:01:59,"Chavana, Joseph",830129,Right,XAV_MUS,Undefined,Curveball,NA,NA,77.48207,2.23727,-1.130424,2866.394047,21.554268,06:45:00,6.34228,0.60714,4.84229,-56.05212,-7.27524,-3.51272,3.79096,-0.75599,70.63246,-7.872598,-1.749073,0.502665,1.38169,-3.71295,-0.49224,50,6.51556,2.36334,-112.26092,2.31505,1.75059,21.68331,-36.8783,03276bca-241a-4e20-9c1b-bf455182f917,NA,NA,NA,NA,NA,1000034148,"Baker, Dillon",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,MIA_RED,1,Top,0,3,2,Curveball,BallCalled,Walk,Undefined,Undefined,0,0,NA,XAV_MUS,MIA_RED,HaydenField,D1,BEAST,20250430-HaydenField-1,980b0680-25f5-11f0-ad03-9f02a880250d,74.98525,NA,NA,6.84961,NA,NA,NA,4f47989a-2131-4c5e-95c4-8fa2e151af3c,2025-04-30,19:01:59,2025-04-30T19:01:59Z,2025-04-30T19:01:59Z,NA,v3,471497,471355,30 April 2025 15:00-miamioh@xavier,"Jelic, Jason",830126,Right,XAV_MUS,55.65587,-113.34809,10.84165,6.35313,4.16407,-18.43915,-0.60854,2.27557,0.8753,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-04-30,15:02:32,"Chavana, Joseph",830129,Right,XAV_MUS,Undefined,Cutter,NA,NA,89.38127,-1.356713,-1.920633,2494.41433,163.986309,11:30:00,6.17222,1.35447,5.99874,-23.59222,11.02339,-2.87185,2.94814,-0.66517,82.38799,-5.752147,-2.436831,0.423455,0.98406,6.34158,-1.20175,50,6.05238,4.47266,-129.87712,-3.84519,1.69146,25.58586,-21.27349,e1df3a9c-b3df-4b03-ac58-9480d23f8141,NA,NA,NA,NA,19.429957,10035937,"Novak, Ryan",2086.950727,NA,65.14891,Left,13.447297,NA,NA,NA,98.31293,98.18956,1.190622,16.992471,0.50978,2.54911,0.17388,NA,NA,NA,NA,NA,2,1,MIA_RED,1,Top,0,0,0,Cutter,InPlay,Undefined,GroundBall,FieldersChoice,1,0,NA,XAV_MUS,MIA_RED,HaydenField,D1,BEAST,20250430-HaydenField-1,ac52d410-25f5-11f0-ad03-9f02a880250d,89.01168,8.22035,NA,6.99329,NA,NA,NA,4f47989a-2131-4c5e-95c4-8fa2e151af3c,2025-04-30,19:02:32,2025-04-30T19:02:32Z,2025-04-30T19:02:32Z,GroundBall,v3,471497,471355,30 April 2025 15:00-miamioh@xavier,"Jelic, Jason",830126,Right,XAV_MUS,54.49957,-130.76053,12.79293,6.17246,-3.11067,-10.63675,-1.35517,4.41427,0.84573,31.523926,0.50978,87.6384,-7.7438,0.00869,0.52442,-1.17071,1.31297,-0.76515,0.18126,2.54911,22.22063,-22.91668,2.42386,-0.41303,0.12753,-0.0476,0.01989,-0.00427,0.17388,30.91341,-5.70255,-0.19239,0.46172,-0.95965,1.06788,-0.62155,0.14719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
9,2025-04-30,15:03:16,"Chavana, Joseph",830129,Right,XAV_MUS,Undefined,ChangeUp,NA,NA,83.87781,-1.571802,-1.342623,1823.62537,250.47244800000001,02:15:00,6.08885,1.42008,5.6657400000000004,-35.20919,4.53268,9.52812,1.68842,0.96198,77.68636,-8.014097,0.363241,0.453728,-5.1817,3.07445,-1.31272,50,5.93373,2.47061,-121.87385,-4.55383,-7.85574,22.16139,-27.51301,3a0989a3-3130-45b4-bae2-8bd845e5ab72,NA,NA,NA,NA,NA,1000113533,"Zarlingo, Anthony",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,MIA_RED,1,Top,1,0,0,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,XAV_MUS,MIA_RED,HaydenField,D1,BEAST,20250430-HaydenField-1,c6111970-25f5-11f0-ad03-9f02a880250d,83.0728,NA,NA,6.19145,NA,NA,NA,4f47989a-2131-4c5e-95c4-8fa2e151af3c,2025-04-30,19:03:16,2025-04-30T19:03:16Z,2025-04-30T19:03:16Z,NA,v3,471497,471355,30 April 2025 15:00-miamioh@xavier,"Jelic, Jason",830126,Right,XAV_MUS,54.83283,-122.7495,11.0807,6.09219,-3.46673,-13.75651,-1.41647,2.78101,-3.92787,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-04-30,15:03:34,"Chavana, Joseph",830129,Right,XAV_MUS,Undefined,Cutter,NA,NA,89.69123,-1.982518,-2.584066,2554.485315,183.282265,12:00:00,6.10251,1.23013,6.12906,-24.52993,9.96878,0.50894,2.22327,-1.11758,82.17519,-6.562231,-2.492395,0.422739,-0.99465,6.0417,-1.03289,50,5.93809,5.85422,-130.16983,-5.29616,-1.70403,27.70984,-21.82354,4d042cf2-a291-4dde-8950-721594114c05,NA,NA,NA,NA,NA,1000113533,"Zarlingo, Anthony",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,MIA_RED,1,Top,1,1,0,Cutter,FoulBallFieldable,Undefined,Undefined,Undefined,0,0,NA,XAV_MUS,MIA_RED,HaydenField,D1,BEAST,20250430-HaydenField-1,d14f3650-25f5-11f0-ad03-9f02a880250d,89.16234,NA,NA,7.51603,NA,NA,NA,4f47989a-2131-4c5e-95c4-8fa2e151af3c,2025-04-30,19:03:34,2025-04-30T19:03:34Z,2025-04-30T19:03:34Z,NA,v3,471497,471355,30 April 2025 15:00-miamioh@xavier,"Jelic, Jason",830126,Right,XAV_MUS,54.36895,-131.09657,13.85492,6.10301,-4.56629,-10.91177,-1.22964,5.91121,-0.85202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
