PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-22,13:03:34,"Van Meeteren, Dylan",1000337829,Right,LEE_UNI,Undefined,Fastball,NA,NA,90.82309,-3.07194,-2.241094,2366.631834,228.7672,01:45:00,6.14912,0.71218,5.99606,-18.5717,15.60922,16.42324,1.74986,0.00295,82.29109,-6.593901,0.71216,0.420788,-9.13595,9.33319,-0.54461,50,5.89669,4.44806,-131.58697,-7.62691,-15.83626,30.8891,-15.9959,5322cf64-216d-4c30-875e-bdec098083da,NA,NA,NA,NA,5.725537,10103006,"Lapinskes, Sean",2093.605696,NA,91.83411,Right,14.719519,108.90179,21.00772,15.50242,241.69824,241.69824,2.526869,10.914682,0.78121,1.79932,-0.00695,NA,NA,NA,NA,NA,1,1,UNI_ALA,1,Top,0,0,0,Sinker,InPlay,Undefined,LineDrive,Single,0,0,NA,LEE_UNI,UNI_ALA,LeeUniversity,D2,Team,20250222-LeeUniversity-1,55b1ea70-f147-11ef-87d0-0f65280e0d2c,89.57584,21.77624,NA,8.532,NA,NA,NA,3fc7e2a3-2816-4b7c-9334-ec2c1cab6d6a,2025-02-22,18:03:34,2025-02-22T18:03:34Z,2025-02-22T18:03:34Z,LineDrive,v3,NA,NA,NA,"French, Isaiah",10050808,Right,LEE_UNI,54.50286,-132.63977,15.44455,6.14735,-7.08172,-7.99795,-0.70541,4.98781,-7.91813,228.293031,0.78123,129.61767,-20.89262,3.92821,-0.6519,0.03865,0.01571,-0.00496,4.9e-4,1.79931,34.22446,-15.55025,0.92182,-0.23401,0.11619,-0.04095,0.00856,-7.6e-4,-0.00698,12.99928,4.68451,-1.7354,0.25902,0.08411,-0.05928,0.01431,-0.00132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
2,2025-02-22,13:04:09,"Van Meeteren, Dylan",1000337829,Right,LEE_UNI,Undefined,Fastball,NA,NA,90.75046,-2.73407,-0.13587,2342.858965,236.841541,02:00:00,6.12654,0.84801,5.88711,-22.36257,12.10611,16.62099,1.72225,2.10693,82.06777,-6.925515,2.849594,0.422555,-8.51323,7.44823,-0.84644,50,5.8932,-0.41745,-131.52323,-7.01151,-14.67476,32.03722,-19.33508,438ed844-7452-47c9-8b0f-cbd0b594ea35,NA,NA,NA,NA,NA,1000237690,"Noles, Will",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,UNI_ALA,1,Top,0,0,0,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,LEE_UNI,UNI_ALA,LeeUniversity,D2,Team,20250222-LeeUniversity-1,6ac6f310-f147-11ef-87d0-0f65280e0d2c,89.20117,NA,NA,8.68269,NA,NA,NA,3fc7e2a3-2816-4b7c-9334-ec2c1cab6d6a,2025-02-22,18:04:09,2025-02-22T18:04:09Z,2025-02-22T18:04:09Z,NA,v3,NA,NA,NA,"French, Isaiah",10050808,Right,LEE_UNI,54.61046,-132.64152,16.01861,6.12616,-6.3366,-9.66754,-0.84081,0.09479,-7.33738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-02-22,13:04:27,"Van Meeteren, Dylan",1000337829,Right,LEE_UNI,Undefined,ChangeUp,NA,NA,79.39471,0.040899,-0.990022,2063.272619,357.689739,06:00:00,6.16678,0.76142,5.54964,-51.22353,-5.63811,0.29331,1.93638,-0.13938,72.06323,-9.31773,-0.937577,0.485942,-0.47343,-2.33858,-0.67593,50,6.1368,1.97782,-115.13057,-1.67742,-0.62432,24.86491,-35.258,2cde0107-d470-4787-8543-020527e1ac90,NA,NA,NA,NA,NA,1000237690,"Noles, Will",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,UNI_ALA,1,Top,0,1,0,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,LEE_UNI,UNI_ALA,LeeUniversity,D2,Team,20250222-LeeUniversity-1,75493a00-f147-11ef-87d0-0f65280e0d2c,77.56573,NA,NA,7.33148,NA,NA,NA,3fc7e2a3-2816-4b7c-9334-ec2c1cab6d6a,2025-02-22,18:04:27,2025-02-22T18:04:27Z,2025-02-22T18:04:27Z,NA,v3,NA,NA,NA,"French, Isaiah",10050808,Right,LEE_UNI,54.94923,-116.19454,12.43245,6.1763,-0.16873,-17.629,-0.76114,2.00453,-0.31216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-02-22,13:05:04,"Van Meeteren, Dylan",1000337829,Right,LEE_UNI,Undefined,Fastball,NA,NA,89.54176,-1.692827,-1.640788,2384.893698,207.302148,01:00:00,6.11378,0.85064,6.14251,-14.57438,20.66127,9.96815,3.33376,0.16461,80.1724,-4.548125,0.156005,0.427231,-5.70792,11.63182,-0.73062,50,5.97726,3.30066,-129.78102,-4.18819,-9.52089,32.73139,-12.77197,26c6bce3-8b6b-4d6d-87a5-67e51a18ce6b,NA,NA,NA,NA,-55.919773,1000237690,"Noles, Will",4147.820302,NA,78.58339,Left,49.321372,47.96022,92.13287,-98.99394,245.18205,86.20822,4.830745,-70.949216,0.9881,3.90062,-0.34972,NA,NA,NA,NA,NA,2,3,UNI_ALA,1,Top,0,1,1,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,LEE_UNI,UNI_ALA,LeeUniversity,D2,Team,20250222-LeeUniversity-1,8b0b99a0-f147-11ef-87d0-0f65280e0d2c,88.225,96.29447,NA,9.36937,NA,NA,NA,3fc7e2a3-2816-4b7c-9334-ec2c1cab6d6a,2025-02-22,18:05:04,2025-02-22T18:05:04Z,2025-02-22T18:05:04Z,FlyBall,v3,NA,NA,NA,"French, Isaiah",10050808,Right,LEE_UNI,54.35426,-130.87458,16.3657,6.11006,-3.76147,-6.38598,-0.84621,3.61876,-4.76045,141.316697,1.01398,41.62538,-11.603,1.34002,0.49963,-0.13428,-0.03953,0.01666,-0.00149,3.89033,87.62778,-25.66582,4.26682,-1.85138,0.68577,-0.15958,0.02001,-0.00103,-0.33943,-62.43347,5.32699,-1.8604,1.14664,-0.48741,0.11675,-0.01421,6.8e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Low,NA,NA,NA
5,2025-02-22,13:05:25,"Van Meeteren, Dylan",1000337829,Right,LEE_UNI,Undefined,Fastball,NA,NA,90.85703,-3.764302,-2.146554,2408.310562,220.207866,01:15:00,6.18411,0.64462,6.23542,-13.80808,20.0247,15.91387,1.55341,-0.01035,82.39005,-6.44042,0.726982,0.418639,-8.95961,11.92052,-0.49234,50,5.89599,4.28665,-131.63846,-9.01213,-15.55869,30.64551,-11.47359,104432d4-07c4-4125-8938-5a5fdd408eec,NA,NA,NA,NA,61.804873,1000237690,"Noles, Will",NA,NA,95.99176,Left,-43.014887,NA,NA,NA,3.85287,3.85287,0.017579,24.898389,2.63867,1.69055,0.02515,NA,NA,NA,NA,NA,2,4,UNI_ALA,1,Top,0,1,2,Four-Seam,InPlay,Undefined,GroundBall,FieldersChoice,1,0,NA,LEE_UNI,UNI_ALA,LeeUniversity,D2,Team,20250222-LeeUniversity-1,97f48050-f147-11ef-87d0-0f65280e0d2c,90.03557,1.69055,NA,8.46697,NA,NA,NA,3fc7e2a3-2816-4b7c-9334-ec2c1cab6d6a,2025-02-22,18:05:25,2025-02-22T18:05:25Z,2025-02-22T18:05:25Z,GroundBall,v3,NA,NA,NA,"French, Isaiah",10050808,Right,LEE_UNI,54.26464,-132.62755,15.32276,6.18089,-8.64182,-5.73679,-0.6388,4.78882,-7.77935,NA,2.63849,48.70053,NA,NA,NA,NA,NA,NA,NA,1.69091,-96.16924,NA,NA,NA,NA,NA,NA,NA,0.02481,90.84465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Estimated,Estimated,NA,NA,NA
6,2025-02-22,13:06:01,"Van Meeteren, Dylan",1000337829,Right,LEE_UNI,Undefined,Slider,NA,NA,86.4486,-2.54429,-3.648392,2585.169802,182.534517,12:00:00,6.19583,0.6848,6.16967,-17.37442,20.26552,0.83681,2.39161,-2.61987,78.14217,-5.885364,-3.497969,0.441566,-1.58083,11.643,-0.40859,50,5.99361,7.94127,-125.08248,-6.00233,-2.47209,28.27365,-13.96667,7762879d-a896-4d5e-9d7a-bcb0ceb0b4ba,NA,NA,NA,NA,NA,1000237683,"Butler, Brock",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,UNI_ALA,1,Top,1,0,0,Cutter,BallCalled,Undefined,Undefined,Undefined,0,0,NA,LEE_UNI,UNI_ALA,LeeUniversity,D2,Team,20250222-LeeUniversity-1,ad60a9a0-f147-11ef-87d0-0f65280e0d2c,85.36077,NA,NA,8.30643,NA,NA,NA,3fc7e2a3-2816-4b7c-9334-ec2c1cab6d6a,2025-02-22,18:06:01,2025-02-22T18:06:01Z,2025-02-22T18:06:01Z,NA,v3,NA,NA,NA,"French, Isaiah",10050808,Right,LEE_UNI,54.32544,-126.05641,14.13683,6.19208,-5.52122,-6.98333,-0.68361,8.02642,-1.23604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-02-22,13:06:21,"Van Meeteren, Dylan",1000337829,Right,LEE_UNI,Undefined,ChangeUp,NA,NA,80.54446,-0.076846,-1.929858,2257.98403,354.351706,05:45:00,6.22368,0.60112,5.58569,-49.81302,-5.93142,0.73012,2.0008,-1.1409,73.70833,-9.15693,-1.799328,0.476774,-0.95154,-2.49437,-0.43575,50,6.18486,3.90862,-116.86971,-1.8882,-1.30501,23.75238,-35.59496,9cf40c37-6bf2-40da-b044-52a48b4fd4eb,NA,NA,NA,NA,NA,1000237683,"Butler, Brock",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,UNI_ALA,1,Top,1,1,0,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,LEE_UNI,UNI_ALA,LeeUniversity,D2,Team,20250222-LeeUniversity-1,b90f62a0-f147-11ef-87d0-0f65280e0d2c,79.05725,NA,NA,6.83613,NA,NA,NA,3fc7e2a3-2816-4b7c-9334-ec2c1cab6d6a,2025-02-22,18:06:21,2025-02-22T18:06:21Z,2025-02-22T18:06:21Z,NA,v3,NA,NA,NA,"French, Isaiah",10050808,Right,LEE_UNI,54.91442,-117.86428,11.87619,6.23272,-0.39776,-17.79748,-0.60056,3.96326,-0.6525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-02-22,13:06:43,"Van Meeteren, Dylan",1000337829,Right,LEE_UNI,Undefined,Fastball,NA,NA,91.12412,-3.20761,-2.332803,2485.630806,217.916764,01:15:00,6.21403,0.46025,6.09035,-12.89166,20.89603,15.34749,2.167,-0.41991,82.55964,-5.718462,0.429945,0.41836,-8.63874,12.11375,-0.28835,50,5.95948,4.73209,-132.04272,-7.72164,-15.10331,30.67,-10.99532,117bba14-2e17-40b3-a5c6-ca0622b6a4ea,NA,NA,NA,NA,56.418822,1000237683,"Butler, Brock",5850.213588,NA,83.87324,Right,54.778552,NA,NA,NA,NA,51.84584,NA,NA,0.50134,2.59223,-0.16,NA,NA,NA,NA,NA,3,3,UNI_ALA,1,Top,1,1,1,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,LEE_UNI,UNI_ALA,LeeUniversity,D2,Team,20250222-LeeUniversity-1,c604f380-f147-11ef-87d0-0f65280e0d2c,90.09561,74.74004,NA,8.56448,NA,NA,NA,3fc7e2a3-2816-4b7c-9334-ec2c1cab6d6a,2025-02-22,18:06:43,2025-02-22T18:06:43Z,2025-02-22T18:06:43Z,NA,v3,NA,NA,NA,"French, Isaiah",10050808,Right,LEE_UNI,54.40896,-133.06286,15.335,6.21023,-7.35592,-5.49766,-0.4541,5.23445,-7.55166,NA,0.50134,39.24195,-18.58324,6.3835,-1.76409,0.45162,-0.11055,0.02285,-0.00283,2.59223,100.49362,-25.30615,2.20988,-0.12382,-0.0713,0.03563,-0.0101,0.00151,-0.16,59.106,-12.13472,3.08015,-0.65398,0.12877,-0.02448,0.00402,-4.4e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Undefined,NA,NA,NA
9,2025-02-22,13:07:06,"Van Meeteren, Dylan",1000337829,Right,LEE_UNI,Undefined,Fastball,NA,NA,90.88536,-1.273231,-1.554092,2475.325188,211.073492,01:00:00,6.24476,0.50818,6.27822,-14.1319,19.8932,11.20323,3.89287,0.00894,81.30447,-4.051807,0.470652,0.419828,-6.32339,11.11422,-0.39851,50,6.14374,3.10241,-131.77779,-3.25966,-10.86946,33.86709,-13.06949,a99e2d54-4ec4-4129-90d4-002d5267fce8,NA,NA,NA,NA,118.036605,1000237683,"Butler, Brock",2243.951178,NA,63.26889,Right,53.346787,NA,NA,NA,NA,25.67967,NA,NA,-0.10169,3.93344,0.0481,NA,NA,NA,NA,NA,3,4,UNI_ALA,1,Top,1,1,2,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,LEE_UNI,UNI_ALA,LeeUniversity,D2,Team,20250222-LeeUniversity-1,d3f2ee20-f147-11ef-87d0-0f65280e0d2c,89.78075,34.58802,NA,9.58088,NA,NA,NA,3fc7e2a3-2816-4b7c-9334-ec2c1cab6d6a,2025-02-22,18:07:06,2025-02-22T18:07:06Z,2025-02-22T18:07:06Z,NA,v3,NA,NA,NA,"French, Isaiah",10050808,Right,LEE_UNI,54.21796,-132.85739,16.93354,6.24101,-2.84303,-6.53475,-0.50293,3.4489,-5.43473,318.876548,-0.09018,-26.35577,-2.15496,NA,NA,NA,NA,NA,NA,3.95461,73.87051,-24.7844,NA,NA,NA,NA,NA,NA,0.06763,48.36285,-9.85533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Undefined,NA,NA,NA
10,2025-02-22,13:07:27,"Van Meeteren, Dylan",1000337829,Right,LEE_UNI,Undefined,ChangeUp,NA,NA,81.17576,-0.375476,-0.662544,2391.368478,349.848616,05:45:00,6.24986,0.42567,5.37075,-46.98294,-3.00103,0.82512,1.98255,-0.12679,73.47614,-8.949707,-0.51551,0.477319,-0.64039,-0.99492,-0.36689,50,6.18274,1.32727,-117.66897,-2.42492,-0.88008,26.44881,-33.54139,b4471e77-d05d-4de6-88ac-090111db5267,NA,NA,NA,NA,-63.226747,1000237683,"Butler, Brock",NA,NA,66.06574,Right,-27.762516,NA,NA,NA,6.37424,6.37424,0.049965,-35.798979,3.23304,2.26349,0.11037,NA,NA,NA,NA,NA,3,5,UNI_ALA,1,Top,1,1,2,Curveball,FoulBallFieldable,Undefined,Undefined,Undefined,0,0,NA,LEE_UNI,UNI_ALA,LeeUniversity,D2,Team,20250222-LeeUniversity-1,e04190a0-f147-11ef-87d0-0f65280e0d2c,78.96704,2.26349,NA,7.69962,NA,NA,NA,3fc7e2a3-2816-4b7c-9334-ec2c1cab6d6a,2025-02-22,18:07:27,2025-02-22T18:07:27Z,2025-02-22T18:07:27Z,GroundBall,v3,NA,NA,NA,"French, Isaiah",10050808,Right,LEE_UNI,55.12901,-118.81624,13.2244,6.25637,-0.97,-16.7707,-0.42529,1.36545,-0.44004,NA,3.2319,38.76574,NA,NA,NA,NA,NA,NA,NA,2.26483,-45.30129,NA,NA,NA,NA,NA,NA,NA,0.11264,-76.83223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Estimated,Estimated,NA,NA,NA
