PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-19,16:03:06,"Kittrell, Zachary",1000209963,Right,ALA_CRI,Undefined,Sinker,NA,NA,92.69696,-1.482702,-3.149289,2499.287657,234.96284,01:45:00,5.20853,2.0241,5.87787,-17.78883,15.16938,19.95863,2.34669,0.7595,83.68889,-4.868948,0.42727,0.413193,-11.13197,8.5489,-1.78073,50,5.07833,6.49014,-134.31422,-4.03454,-20.09657,32.28283,-16.74069,c119f351-71f0-4a15-9b28-036c1873890f,NA,NA,NA,NA,NA,822888,"Pryor, Mikel",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,ALA_HOR,1,Top,0,0,0,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,ALA_CRI,ALA_HOR,SwellThomasStadium,D1,SEC,20250219-SwellThomasStadium-1,4c6deae0-ef0d-11ef-845f-e5e567ea5d9e,91.22227,NA,NA,9.00807,NA,NA,NA,af5034f6-9abc-4db8-a16c-8e1591d742a9,2025-02-19,22:03:06,2025-02-19T22:03:06Z,2025-02-19T22:03:06Z,NA,v3,471226,4765,19 February 2025 17:00-alabamast@alabama,"Plattner, Will",830739,Right,ALA_CRI,54.62035,-135.42018,16.14141,5.20673,-3.46103,-8.37035,-2.01487,7.17862,-10.04829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-02-19,16:03:17,"Kittrell, Zachary",1000209963,Right,ALA_CRI,Undefined,Fastball,NA,NA,91.66322,-0.543231,-4.560729,2547.54406,229.316176,01:45:00,5.26709,1.80818,6.23465,-17.73714,15.27914,16.5193,3.28625,-1.03145,83.40025,-3.927898,-1.589715,0.413557,-9.79796,8.38122,-1.47496,50,5.21748,9.89596,-132.82806,-1.77372,-17.47671,28.87622,-17.22438,ebbc70b7-75fb-4da8-8628-89ff2755605b,NA,NA,NA,NA,NA,822888,"Pryor, Mikel",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,ALA_HOR,1,Top,0,0,1,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,ALA_CRI,ALA_HOR,SwellThomasStadium,D1,SEC,20250219-SwellThomasStadium-1,5374edc0-ef0d-11ef-845f-e5e567ea5d9e,91.14205,NA,NA,8.26297,NA,NA,NA,af5034f6-9abc-4db8-a16c-8e1591d742a9,2025-02-19,22:03:17,2025-02-19T22:03:17Z,2025-02-19T22:03:17Z,NA,v3,471226,4765,19 February 2025 17:00-alabamast@alabama,"Plattner, Will",830739,Right,ALA_CRI,54.26435,-133.7519,14.43811,5.26541,-1.22267,-8.61219,-1.80051,10.45509,-8.73836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-02-19,16:03:30,"Kittrell, Zachary",1000209963,Right,ALA_CRI,Undefined,Slider,NA,NA,82.69288,0.242712,-1.907695,2664.880421,82.753071,08:45:00,5.24655,2.2325,5.30543,-41.57664,0.1478,-8.82394,2.0098,-0.2943,76.07152,-7.317635,-3.47392,0.464908,3.93701,0.32772,-2.05243,50,5.23805,4.35942,-120.04567,-0.98317,5.74732,23.1555,-31.69563,c60738e0-8846-43f9-9f0d-e1749c1f52af,NA,NA,NA,NA,15.085848,822888,"Pryor, Mikel",4800.98229,NA,93.01557,Right,46.826528,NA,NA,NA,NA,261.38932,NA,NA,2.40478,2.18519,0.26543,NA,NA,NA,NA,NA,1,3,ALA_HOR,1,Top,0,1,1,Slider,InPlay,Undefined,FlyBall,Out,1,0,NA,ALA_CRI,ALA_HOR,SwellThomasStadium,D1,SEC,20250219-SwellThomasStadium-1,5b29bcd0-ef0d-11ef-845f-e5e567ea5d9e,81.07509,73.529,NA,6.62135,NA,NA,NA,af5034f6-9abc-4db8-a16c-8e1591d742a9,2025-02-19,22:03:30,2025-02-19T22:03:30Z,2025-02-19T22:03:30Z,NA,v3,471226,4765,19 February 2025 17:00-alabamast@alabama,"Plattner, Will",830739,Right,ALA_CRI,55.19621,-121.04382,11.57775,5.25099,0.38311,-15.84782,-2.23501,4.11168,2.87366,204.65224,2.40479,90.12353,-24.64234,6.62151,-0.34583,-2.70954,3.64874,-2.15069,0.47503,2.18518,99.49195,-23.02194,1.95537,-1.06788,2.21556,-2.72997,1.61738,-0.36531,0.26542,24.29438,2.66035,-1.42364,-0.2043,1.60901,-2.10418,1.24844,-0.2797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Undefined,NA,NA,NA
4,2025-02-19,16:04:01,"Kittrell, Zachary",1000209963,Right,ALA_CRI,Undefined,Fastball,NA,NA,93.0247,-1.516046,-4.584217,2592.72713,227.254152,01:30:00,5.3206,1.97911,6.14316,-14.9119,17.48836,17.6934,2.67213,-0.79182,84.10604,-4.395619,-1.407273,0.409681,-10.43898,9.78985,-1.63767,50,5.19685,10.01594,-134.64631,-3.97786,-19.00572,31.49039,-14.35014,11bb0f09-14e9-48be-8f27-a9bb45fe6039,NA,NA,NA,NA,NA,1000329210,"Santana, Fabian",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,ALA_HOR,1,Top,1,0,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,ALA_CRI,ALA_HOR,SwellThomasStadium,D1,SEC,20250219-SwellThomasStadium-1,6d910a90-ef0d-11ef-845f-e5e567ea5d9e,92.00444,NA,NA,8.91866,NA,NA,NA,af5034f6-9abc-4db8-a16c-8e1591d742a9,2025-02-19,22:04:01,2025-02-19T22:04:01Z,2025-02-19T22:04:01Z,NA,v3,471226,4765,19 February 2025 17:00-alabamast@alabama,"Plattner, Will",830739,Right,ALA_CRI,54.35472,-135.66095,15.74519,5.31757,-3.5155,-7.17507,-1.97025,10.62831,-9.50286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-02-19,16:04:12,"Kittrell, Zachary",1000209963,Right,ALA_CRI,Undefined,Fastball,NA,NA,92.68293,-1.444324,-3.18187,2669.6995230000002,227.973588,01:30:00,5.20949,2.01423,6.14169,-15.89572,16.56056,17.15631,2.54775,0.50041,84.11585,-4.494285,-0.093242,0.410035,-9.84079,9.31886,-1.78038,50,5.09103,6.74855,-134.44082,-3.8504,-17.8914,30.95028,-15.23156,e5c27447-aba6-43de-a141-e372d0412022,NA,NA,NA,NA,-8.379129,1000329210,"Santana, Fabian",NA,NA,74.41924,Right,53.232573,109.19667,107.77255,-13.26964,211.1117,119.99574,5.302495,-6.288875,2.41175,3.5822600000000002,-0.43484,NA,NA,NA,NA,NA,2,2,ALA_HOR,1,Top,1,0,1,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,NA,ALA_CRI,ALA_HOR,SwellThomasStadium,D1,SEC,20250219-SwellThomasStadium-1,74139b30-ef0d-11ef-845f-e5e567ea5d9e,91.925,108.61744,NA,8.56708,NA,NA,NA,af5034f6-9abc-4db8-a16c-8e1591d742a9,2025-02-19,22:04:12,2025-02-19T22:04:12Z,2025-02-19T22:04:12Z,Popup,v3,471226,4765,19 February 2025 17:00-alabamast@alabama,"Plattner, Will",830739,Right,ALA_CRI,54.35835,-135.44046,15.47514,5.20744,-3.35844,-7.61578,-2.00767,7.32642,-8.9457,184.495122,2.41684,64.52809,-13.08174,2.8593,-0.19311,-0.07464,0.02197,-0.00222,7e-5,3.58156,87.44013,-21.19946,1.63034,-0.05283,-0.12498,0.0468,-0.00711,4e-4,-0.43597,-9.49591,2.92278,-0.69124,0.05619,0.01657,-0.00574,6.8e-4,-3e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Low,NA,NA,NA
6,2025-02-19,16:04:43,"Kittrell, Zachary",1000209963,Right,ALA_CRI,Undefined,Fastball,NA,NA,92.55093,-0.918492,-3.262535,2673.299086,223.956449,01:30:00,5.36208,1.86299,6.04555,-15.71009,16.79544,15.18497,3.2011,0.10463,84.34961,-3.922885,-0.534723,0.410346,-8.72642,9.21528,-1.61671,50,5.28191,7.00025,-134.2893,-2.61323,-15.91969,29.34511,-15.36251,d79e529c-39be-4096-9ee7-3f53d735d1e8,NA,NA,NA,NA,99.489058,1000222582,"Cruz Lopez, Juan",1713.120577,NA,73.43903,Right,41.52349,NA,NA,NA,NA,18.59246,NA,NA,1.08801,3.03608,-0.13445,NA,NA,NA,NA,NA,3,1,ALA_HOR,1,Top,2,0,0,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,ALA_CRI,ALA_HOR,SwellThomasStadium,D1,SEC,20250219-SwellThomasStadium-1,865dc400-ef0d-11ef-845f-e5e567ea5d9e,91.85529,17.65326,NA,8.20132,NA,NA,NA,af5034f6-9abc-4db8-a16c-8e1591d742a9,2025-02-19,22:04:43,2025-02-19T22:04:43Z,2025-02-19T22:04:43Z,NA,v3,471226,4765,19 February 2025 17:00-alabamast@alabama,"Plattner, Will",830739,Right,ALA_CRI,54.45411,-135.25911,14.67256,5.35988,-2.10552,-7.68125,-1.85675,7.52637,-7.95984,NA,1.08811,-13.30043,1.45417,NA,NA,NA,NA,NA,NA,3.03657,71.37673,-32.00888,NA,NA,NA,NA,NA,NA,-0.13691,79.68006,8.87216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Low,Undefined,NA,NA,NA
7,2025-02-19,16:04:59,"Kittrell, Zachary",1000209963,Right,ALA_CRI,Undefined,Fastball,NA,NA,93.03996,-1.410455,-3.100385,2554.934204,227.632731,01:30:00,5.28454,1.857,6.04248,-16.24221,15.92627,16.32257,2.62295,0.34387,84.85007,-4.505824,-0.167084,0.408213,-9.28355,8.90981,-1.62393,50,5.16565,6.609,-135.00645,-3.8157,-17.11449,29.70662,-15.74855,43b2f57c-ef00-4ed5-bfe4-c49df9940c5d,NA,NA,NA,NA,24.179018,1000222582,"Cruz Lopez, Juan",NA,NA,92.22632,Right,-3.80722,NA,NA,NA,27.29051,25.80013,0.203628,23.987802,0.7956,2.48929,-0.41148,NA,NA,NA,NA,NA,3,2,ALA_HOR,1,Top,2,0,1,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,NA,ALA_CRI,ALA_HOR,SwellThomasStadium,D1,SEC,20250219-SwellThomasStadium-1,9008e4d0-ef0d-11ef-845f-e5e567ea5d9e,92.33521,2.48929,NA,8.18989,NA,NA,NA,af5034f6-9abc-4db8-a16c-8e1591d742a9,2025-02-19,22:04:59,2025-02-19T22:04:59Z,2025-02-19T22:04:59Z,GroundBall,v3,471226,4765,19 February 2025 17:00-alabamast@alabama,"Plattner, Will",830739,Right,ALA_CRI,54.45765,-135.98377,14.85331,5.28266,-3.29759,-7.87427,-1.85062,7.17205,-8.55724,276.337735,0.79683,123.04635,-22.1929,NA,NA,NA,NA,NA,NA,2.4899,-9.02091,-15.77042,NA,NA,NA,NA,NA,NA,-0.41247,55.34552,5.74688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
8,2025-02-19,16:07:44,"Power, Trey",10148738,Left,ALA_HOR,Undefined,Curveball,NA,NA,72.89511,0.895075,1.753216,2581.656367,300.948556,04:00:00,5.72743,-1.26636,4.42049,-64.06929,-8.27839,16.73143,1.24285,1.80132,67.27413,-10.489387,4.679649,0.537592,-7.61272,-3.75693,1.06266,50,5.75944,-3.91234,-105.66583,-0.67266,-8.5646,18.83186,-36.40075,5e1effee-aab9-4da8-98ac-89f1f2bb4d8c,NA,NA,NA,NA,NA,830736,"Fowler, Bryce",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,ALA_CRI,1,Bottom,0,0,0,Curveball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,ALA_CRI,ALA_HOR,SwellThomasStadium,D1,SEC,20250219-SwellThomasStadium-1,f255fe70-ef0d-11ef-845f-e5e567ea5d9e,70.11342,NA,NA,5.62099,NA,NA,NA,af5034f6-9abc-4db8-a16c-8e1591d742a9,2025-02-19,22:07:44,2025-02-19T22:07:44Z,2025-02-19T22:07:44Z,NA,v3,471226,4765,19 February 2025 17:00-alabamast@alabama,"Santana, Fabian",1000329210,Right,ALA_HOR,56.08254,-106.74436,9.41593,5.73826,1.41207,-18.20037,1.27268,-3.42183,-4.2823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-02-19,16:07:58,"Power, Trey",10148738,Left,ALA_HOR,Undefined,Sinker,NA,NA,86.01378,-2.433855,3.834851,2126.290375,122.052955,10:00:00,6.00103,-0.53203,4.73169,-28.22435,11.25886,-16.00036,1.33332,1.77834,79.07924,-7.555117,1.028914,0.452249,8.88268,6.5365,0.15999,50,5.7303,-7.60568,-124.45475,-6.38783,14.00168,23.80365,-21.87061,948caf97-e2a2-4943-86bb-29189e2e1de2,NA,NA,NA,NA,NA,830736,"Fowler, Bryce",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,ALA_CRI,1,Bottom,0,0,1,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,ALA_CRI,ALA_HOR,SwellThomasStadium,D1,SEC,20250219-SwellThomasStadium-1,fa6c2760-ef0d-11ef-845f-e5e567ea5d9e,83.34443,NA,NA,6.93454,NA,NA,NA,af5034f6-9abc-4db8-a16c-8e1591d742a9,2025-02-19,22:07:58,2025-02-19T22:07:58Z,2025-02-19T22:07:58Z,NA,v3,471226,4765,19 February 2025 17:00-alabamast@alabama,"Santana, Fabian",1000329210,Right,ALA_HOR,55.76863,-125.55323,11.90182,6.0018,-5.37856,-10.93531,0.52588,-8.25183,7.00084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-02-19,16:08:13,"Power, Trey",10148738,Left,ALA_HOR,Undefined,Curveball,NA,NA,73.77575,0.684671,2.1921,2561.101952,303.391481,04:00:00,5.69475,-0.94722,4.37371,-62.82594,-8.51989,15.37946,1.11363,2.42886,68.43156,-10.446367,4.878453,0.53039,-6.87288,-3.86544,0.69618,50,5.70507,-4.72244,-106.97998,-1.03626,-7.96823,18.38421,-36.65553,b44c234d-5785-4bf1-92cf-0d59fbac233d,NA,NA,NA,NA,NA,830736,"Fowler, Bryce",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,ALA_CRI,1,Bottom,0,1,1,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,ALA_CRI,ALA_HOR,SwellThomasStadium,D1,SEC,20250219-SwellThomasStadium-1,037effd0-ef0e-11ef-845f-e5e567ea5d9e,71.06549,NA,NA,5.34418,NA,NA,NA,af5034f6-9abc-4db8-a16c-8e1591d742a9,2025-02-19,22:08:13,2025-02-19T22:08:13Z,2025-02-19T22:08:13Z,NA,v3,471226,4765,19 February 2025 17:00-alabamast@alabama,"Santana, Fabian",1000329210,Right,ALA_HOR,56.13008,-108.02828,9.1921,5.70457,1.0539,-18.32777,0.95251,-4.26808,-3.98411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
