PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-05-16,18:32:18,"Coppola, Pierce",695518,Left,FLA_GAT,Undefined,FourSeamFastBall,NA,NA,90.65954,-0.600352,3.984136,2246.884634,140.408733,10:45:00,6.12755,-3.01194,5.92202,-18.17438,16.08178,-12.34253,4.05455,-0.33742,82.21611,-4.057044,1.775425,0.421251,7.45044,8.73953,2.69943,50,6.06908,-8.60595,-131.32799,-1.92509,12.93981,29.24798,-16.99532,da439fd2-b4c3-4864-8e90-d12867e80c0f,NA,NA,NA,NA,NA,830736,"Fowler, Bryce",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,ALA_CRI,1,Top,0,0,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,FLA_GAT,ALA_CRI,CondronBallpark,D1,SEC,20250516-CondronBallpark-1,5e5b7f60-32a6-11f0-997f-05a467e80ec8,89.47742,NA,NA,8.44343,NA,NA,NA,4ac38565-5308-48fb-b4a7-29e3c72ad3c6,2025-05-16,22:32:18,2025-05-16T22:32:18Z,2025-05-16T22:32:18Z,NA,v3,471297,471226,16 May 2025 18:30-alabama@florida,"Donay, Brody",701330,Right,FLA_GAT,54.5746,-132.34287,14.62399,6.12565,-1.33536,-8.49766,3.00584,-9.05495,6.46991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-05-16,18:32:29,"Coppola, Pierce",695518,Left,FLA_GAT,Undefined,FourSeamFastBall,NA,NA,90.65315,-1.10776,4.502918,2335.072225,131.766485,10:30:00,6.04274,-3.06502,5.94594,-19.80572,14.74595,-15.09824,3.36147,-0.13796,81.60235,-4.872913,1.801665,0.423064,9.20686,8.27981,2.71448,50,5.94333,-9.68187,-131.14851,-3.15285,15.80107,31.51689,-17.96396,993b9280-05a8-4c66-ba3d-802826ab082e,NA,NA,NA,NA,41.29441,830736,"Fowler, Bryce",3197.95319,NA,98.32672,Left,39.944613,79.28962,82.99632,76.24343,374.96464,166.51869,5.599067,51.925572,3.00606,4.06414,0.00719,NA,NA,NA,NA,NA,1,2,ALA_CRI,1,Top,0,1,0,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,FLA_GAT,ALA_CRI,CondronBallpark,D1,SEC,20250516-CondronBallpark-1,65071bd0-32a6-11f0-997f-05a467e80ec8,89.09398,115.40631,NA,9.0508,NA,NA,NA,4ac38565-5308-48fb-b4a7-29e3c72ad3c6,2025-05-16,22:32:29,2025-05-16T22:32:29Z,2025-05-16T22:32:29Z,FlyBall,v3,471297,471226,16 May 2025 18:30-alabama@florida,"Donay, Brody",701330,Right,FLA_GAT,54.55171,-132.23783,15.75845,6.04157,-2.53196,-8.98198,3.05855,-10.228,7.90054,NA,3.01609,82.88306,-18.63545,3.89167,-0.39891,-0.04882,0.02057,-0.00222,8e-5,4.06222,92.61377,-23.56103,2.52234,-0.36785,-0.01247,0.01981,-0.00341,1.9e-4,0.01006,72.911,-7.31386,1.08991,-0.00939,-0.05437,0.01442,-0.00159,7e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Low,NA,NA,NA
3,2025-05-16,18:32:49,"Coppola, Pierce",695518,Left,FLA_GAT,Undefined,Slider,NA,NA,77.78424,0.146088,0.945164,2203.494195,257.152246,02:30:00,5.9832,-3.23511,5.56846,-42.65841,4.24189,11.96733,2.56482,-1.35485,71.26007,-7.680825,3.081644,0.4929,-5.77544,2.56559,3.14563,50,5.96792,-2.32267,-112.91972,-1.08923,-7.4211,21.48572,-28.87742,c354c60c-7851-4b3a-a3f0-8f2aa52714d9,NA,NA,NA,NA,NA,830736,"Fowler, Bryce",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,ALA_CRI,1,Top,0,1,1,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,FLA_GAT,ALA_CRI,CondronBallpark,D1,SEC,20250516-CondronBallpark-1,713c69f0-32a6-11f0-997f-05a467e80ec8,76.4707,NA,NA,6.52417,NA,NA,NA,4ac38565-5308-48fb-b4a7-29e3c72ad3c6,2025-05-16,22:32:49,2025-05-16T22:32:49Z,2025-05-16T22:32:49Z,NA,v3,471297,471226,16 May 2025 18:30-alabama@florida,"Donay, Brody",701330,Right,FLA_GAT,54.92993,-113.8539,10.74286,5.98798,0.16633,-14.43871,3.2396,-2.00001,-3.71055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-05-16,18:33:02,"Coppola, Pierce",695518,Left,FLA_GAT,Undefined,FourSeamFastBall,NA,NA,91.41454,-3.038082,5.397675,2325.999078,140.561619,10:45:00,6.10467,-3.07592,6.18177,-17.31761,16.23627,-12.40564,1.84097,0.8894,83.09372,-6.336105,3.173635,0.41691,7.93611,9.61044,2.67306,50,5.86516,-11.94457,-132.04059,-7.53069,13.94415,29.36295,-15.28798,09d317b1-27a6-45c5-8934-aa32f99b7728,NA,NA,NA,NA,NA,830736,"Fowler, Bryce",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,ALA_CRI,1,Top,0,2,1,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,FLA_GAT,ALA_CRI,CondronBallpark,D1,SEC,20250516-CondronBallpark-1,789eac30-32a6-11f0-997f-05a467e80ec8,90.40895,NA,NA,8.32081,NA,NA,NA,4ac38565-5308-48fb-b4a7-29e3c72ad3c6,2025-05-16,22:33:02,2025-05-16T22:33:02Z,2025-05-16T22:33:02Z,NA,v3,471297,471226,16 May 2025 18:30-alabama@florida,"Donay, Brody",701330,Right,FLA_GAT,54.31481,-132.99664,14.68147,6.10225,-7.03291,-7.64399,3.06937,-12.39859,6.97208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-05-16,18:33:16,"Coppola, Pierce",695518,Left,FLA_GAT,Undefined,FourSeamFastBall,NA,NA,92.77698,-2.443171,4.661631,2360.661701,144.996451,10:45:00,5.97286,-3.08978,6.06669,-14.42245,18.19635,-11.96182,2.50113,0.23695,84.23659,-5.218604,2.518385,0.41106,7.55725,10.43548,2.73417,50,5.77513,-10.43511,-134.23369,-6.14622,13.71039,30.59882,-13.24191,e0dd8730-9af3-4026-a0ff-6004d8ffc0f3,NA,NA,NA,NA,-116.846615,830736,"Fowler, Bryce",5573.449514,NA,64.05007,Left,49.255777,NA,NA,NA,NA,38.98686,NA,NA,1.42479,2.19936,-0.1134,NA,NA,NA,NA,NA,1,5,ALA_CRI,1,Top,0,3,1,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,FLA_GAT,ALA_CRI,CondronBallpark,D1,SEC,20250516-CondronBallpark-1,80df1970-32a6-11f0-997f-05a467e80ec8,91.69569,40.12048,NA,8.54039,NA,NA,NA,4ac38565-5308-48fb-b4a7-29e3c72ad3c6,2025-05-16,22:33:16,2025-05-16T22:33:16Z,2025-05-16T22:33:16Z,NA,v3,471297,471226,16 May 2025 18:30-alabama@florida,"Donay, Brody",701330,Right,FLA_GAT,54.43191,-135.24018,15.29941,5.97014,-5.71065,-6.62095,3.08483,-10.88608,6.8552,39.476256,1.42479,-27.68917,-3.57747,1.06483,-0.25108,0.04455,0.00749,-0.01192,0.00439,2.19936,71.17184,-25.16787,2.93422,-0.59933,0.1067,0.00717,-0.01714,0.00645,-0.1134,-54.70464,7.9795,-0.01162,-0.073,0.05809,-0.00832,-0.00267,0.00129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Undefined,NA,NA,NA
6,2025-05-16,18:33:34,"Coppola, Pierce",695518,Left,FLA_GAT,Undefined,FourSeamFastBall,NA,NA,91.18022,-1.025159,2.997184,2364.724105,144.331979,10:45:00,5.94414,-3.03963,5.94544,-17.76808,15.53584,-10.45123,3.51118,-1.128,83.92579,-4.375826,1.122787,0.415355,6.10311,8.52886,2.80658,50,5.85229,-6.48455,-132.40992,-2.92297,10.93374,25.86218,-16.89459,51e47e64-2a99-4f6e-a420-e38b4221bdfc,NA,NA,NA,NA,NA,830736,"Fowler, Bryce",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,ALA_CRI,1,Top,0,3,2,Four-Seam,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,NA,FLA_GAT,ALA_CRI,CondronBallpark,D1,SEC,20250516-CondronBallpark-1,8c265e10-32a6-11f0-997f-05a467e80ec8,90.74762,NA,NA,7.25443,NA,NA,NA,4ac38565-5308-48fb-b4a7-29e3c72ad3c6,2025-05-16,22:33:34,2025-05-16T22:33:34Z,2025-05-16T22:33:34Z,NA,v3,471297,471226,16 May 2025 18:30-alabama@florida,"Donay, Brody",701330,Right,FLA_GAT,54.55343,-133.29632,12.93109,5.94255,-2.34392,-8.44729,3.03526,-6.8593,5.46687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.14573,NA,NA,1.080054,NA,NA,NA,0.73043,4.45051,4.10589,72.38935,8.65795,-52.38262,0.75364,70.57242,-3.92564,4.5523,21.7284,-16.56826,4.01874,-59.01561,6.26754,High,High,High,NA,NA,High,Medium,High
7,2025-05-16,18:34:01,"Coppola, Pierce",695518,Left,FLA_GAT,Undefined,FourSeamFastBall,NA,NA,91.55403,-1.604635,4.07184,2371.774475,151.71789,11:00:00,6.05618,-2.96532,6.02257,-17.79355,15.5871,-7.79788,3.08302,0.16255,83.43039,-4.979327,2.674284,0.415833,5.16327,8.79941,2.65028,50,5.92054,-9.10755,-132.63628,-4.26132,9.17634,28.98967,-16.53543,6f220825-a2ee-41b6-a149-47d9806aa8ae,NA,NA,NA,NA,NA,807311,"Lebron, Justin",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,ALA_CRI,1,Top,1,0,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,FLA_GAT,ALA_CRI,CondronBallpark,D1,SEC,20250516-CondronBallpark-1,9bcfc450-32a6-11f0-997f-05a467e80ec8,90.64324,NA,NA,8.12364,NA,NA,NA,4ac38565-5308-48fb-b4a7-29e3c72ad3c6,2025-05-16,22:34:01,2025-05-16T22:34:01Z,2025-05-16T22:34:01Z,NA,v3,471297,471226,16 May 2025 18:30-alabama@florida,"Donay, Brody",701330,Right,FLA_GAT,54.475,-133.61078,14.49483,6.05444,-3.70547,-8.26772,2.96161,-9.41602,4.58817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-05-16,18:34:23,"Coppola, Pierce",695518,Left,FLA_GAT,Undefined,Slider,NA,NA,77.1147,-0.918418,2.968846,2119.746045,260.193067,02:45:00,6.0277,-3.24312,5.64034,-43.52581,4.54351,16.87729,1.54256,0.93535,70.51753,-8.880841,5.977743,0.499006,-7.64382,3.07685,2.97977,50,5.92205,-6.42781,-111.74156,-3.16182,-9.53822,22.5907,-28.33468,b841f4d8-beb3-428b-a3ca-966202097dc4,NA,NA,NA,NA,NA,807311,"Lebron, Justin",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,ALA_CRI,1,Top,1,0,1,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,FLA_GAT,ALA_CRI,CondronBallpark,D1,SEC,20250516-CondronBallpark-1,a91d3930-32a6-11f0-997f-05a467e80ec8,75.5351,NA,NA,6.59717,NA,NA,NA,4ac38565-5308-48fb-b4a7-29e3c72ad3c6,2025-05-16,22:34:23,2025-05-16T22:34:23Z,2025-05-16T22:34:23Z,NA,v3,471297,471226,16 May 2025 18:30-alabama@florida,"Donay, Brody",701330,Right,FLA_GAT,54.85802,-112.71942,11.29535,6.03237,-1.93533,-14.16734,3.24907,-6.01494,-4.76911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-05-16,18:34:38,"Coppola, Pierce",695518,Left,FLA_GAT,Undefined,Slider,NA,NA,78.04677,-0.09681,3.012926,2405.88751,252.642405,02:30:00,5.89216,-3.31372,5.72249,-40.87376,5.44248,12.81304,2.39572,0.56297,71.78009,-7.59749,5.299465,0.489822,-5.66662,3.2413,3.05393,50,5.85893,-6.43968,-113.21709,-1.47492,-7.33718,21.14057,-27.97719,3b534148-a83f-49be-bf28-3d66d92828be,NA,NA,NA,NA,NA,807311,"Lebron, Justin",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,ALA_CRI,1,Top,1,1,1,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,FLA_GAT,ALA_CRI,CondronBallpark,D1,SEC,20250516-CondronBallpark-1,b1d43600-32a6-11f0-997f-05a467e80ec8,76.95134,NA,NA,6.26668,NA,NA,NA,4ac38565-5308-48fb-b4a7-29e3c72ad3c6,2025-05-16,22:34:38,2025-05-16T22:34:38Z,2025-05-16T22:34:38Z,NA,v3,471297,471226,16 May 2025 18:30-alabama@florida,"Donay, Brody",701330,Right,FLA_GAT,54.77627,-114.10546,10.57029,5.89621,-0.29926,-13.9886,3.31806,-6.13136,-3.66859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-05-16,18:34:53,"Coppola, Pierce",695518,Left,FLA_GAT,Undefined,Slider,NA,NA,78.37105,-1.709546,1.32353,2315.711858,257.598786,02:30:00,5.90684,-3.19806,5.51869,-41.60093,4.01914,12.60493,0.84078,-0.90993,73.20145,-9.250092,3.573811,0.486126,-6.10705,2.80898,3.07398,50,5.7297,-3.10207,-113.91145,-4.76198,-8.11508,18.70651,-28.44148,02373c1b-a9d7-4c79-9253-68e762fea87d,NA,NA,NA,NA,NA,807311,"Lebron, Justin",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,ALA_CRI,1,Top,1,1,2,Slider,BallinDirt,Undefined,Undefined,Undefined,0,0,NA,FLA_GAT,ALA_CRI,CondronBallpark,D1,SEC,20250516-CondronBallpark-1,bacb4910-32a6-11f0-997f-05a467e80ec8,77.53628,NA,NA,5.1696,NA,NA,NA,4ac38565-5308-48fb-b4a7-29e3c72ad3c6,2025-05-16,22:34:53,2025-05-16T22:34:53Z,2025-05-16T22:34:53Z,NA,v3,471297,471226,16 May 2025 18:30-alabama@florida,"Donay, Brody",701330,Right,FLA_GAT,54.98291,-114.72683,9.35325,5.91025,-3.52228,-14.22074,3.20149,-2.74835,-4.05754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
