PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-16,13:01:51,"Van Alstine, Marcus",1000211958,Right,VIR_KEY,Undefined,Fastball,NA,NA,89.46891,-2.144078,-4.211928,2185.48876,240.62959,02:00:00,5.08756,1.40471,5.60866,-26.5236,8.78339,13.66808,0.86955,-1.39494,82.24592,-7.029837,-1.778214,0.427663,-8.02493,5.35654,-1.05292,50,4.88657,8.94394,-129.58431,-5.80992,-13.71233,25.83406,-23.0212,0be1c8d4-e1c0-4142-9731-91fde96a1dba,NA,NA,NA,NA,NA,1000076873,"Jimenez, Julian",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,MAR_HAW,1,Top,0,0,0,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,VIR_KEY,MAR_HAW,GrayMinorStadium,D1,SOCON,20250216-GrayMinorStadium-1,19a5b270-ec90-11ef-a033-4545558427ec,88.13584,NA,NA,7.22299,NA,NA,NA,12fbabd4-d71c-40bf-b420-83d67cd2806e,2025-02-16,18:01:51,2025-02-16T18:01:51Z,2025-02-16T18:01:51Z,NA,v3,471480,471350,NA,"Peterson, Ryan",1000079058,Left,VIR_KEY,54.89108,-130.55576,12.91703,5.08876,-4.94425,-11.5106,-1.39894,9.45957,-6.85616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-02-16,13:02:10,"Van Alstine, Marcus",1000211958,Right,VIR_KEY,Undefined,Fastball,NA,NA,90.13216,-0.076056,-3.050323,2085.5683,246.119639,02:15:00,5.11958,1.35327,5.60857,-26.51513,8.20918,16.10733,2.83889,-0.15443,82.48976,-4.984202,-0.178269,0.42412,-8.94237,4.51378,-1.10269,50,5.09602,6.24788,-130.77645,-1.12828,-15.52825,26.88185,-24.33594,191f2bb3-82f3-4864-8e90-b1b308c45f57,NA,NA,NA,NA,NA,1000076873,"Jimenez, Julian",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,MAR_HAW,1,Top,0,1,0,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,VIR_KEY,MAR_HAW,GrayMinorStadium,D1,SOCON,20250216-GrayMinorStadium-1,24a53fb0-ec90-11ef-a033-4545558427ec,88.87221,NA,NA,7.6424,NA,NA,NA,12fbabd4-d71c-40bf-b420-83d67cd2806e,2025-02-16,18:02:10,2025-02-16T18:02:10Z,2025-02-16T18:02:10Z,NA,v3,471480,471350,NA,"Peterson, Ryan",1000079058,Left,VIR_KEY,54.89081,-131.77795,13.44092,5.12117,-0.22163,-12.16797,-1.34624,6.8264,-7.76412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-02-16,13:02:24,"Van Alstine, Marcus",1000211958,Right,VIR_KEY,Undefined,ChangeUp,NA,NA,82.01342,0.780416,-1.544945,1607.976476,276.920813,03:15:00,5.34294,1.11645,5.49902,-42.85384,-0.69433,16.61206,2.50206,1.05538,75.17227,-7.056755,1.417623,0.467325,-8.78119,-0.13906,-0.99275,50,5.38236,2.5272,-119.08679,0.11296,-12.59721,23.08713,-32.37351,b1d7ad2d-4c6b-4aff-93f8-78a1aa347c21,NA,NA,NA,NA,NA,1000076873,"Jimenez, Julian",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,MAR_HAW,1,Top,0,1,1,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,VIR_KEY,MAR_HAW,GrayMinorStadium,D1,SOCON,20250216-GrayMinorStadium-1,2d785000-ec90-11ef-a033-4545558427ec,80.65567,NA,NA,6.84114,NA,NA,NA,12fbabd4-d71c-40bf-b420-83d67cd2806e,2025-02-16,18:02:24,2025-02-16T18:02:24Z,2025-02-16T18:02:24Z,NA,v3,471480,471350,NA,"Peterson, Ryan",1000079058,Left,VIR_KEY,55.00149,-120.0525,11.54357,5.34931,1.46711,-16.18676,-1.10948,3.05413,-6.29861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-02-16,13:02:40,"Van Alstine, Marcus",1000211958,Right,VIR_KEY,Undefined,Fastball,NA,NA,90.96614,-0.011594,-2.990376,2132.341189,231.121491,01:45:00,5.17161,1.39098,5.52449,-22.76529,11.12965,12.61733,3.26365,-0.35583,83.91956,-4.225488,-0.745008,0.419024,-7.08603,5.92461,-1.13927,50,5.15539,6.33289,-132.09323,-0.84335,-12.67448,24.88447,-21.57694,a0f22df9-6272-4556-bbe8-acc9599dafa0,NA,NA,NA,NA,NA,1000076873,"Jimenez, Julian",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,MAR_HAW,1,Top,0,1,2,Sinker,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,NA,VIR_KEY,MAR_HAW,GrayMinorStadium,D1,SOCON,20250216-GrayMinorStadium-1,36cec120-ec90-11ef-a033-4545558427ec,89.95297,NA,NA,7.04658,NA,NA,NA,12fbabd4-d71c-40bf-b420-83d67cd2806e,2025-02-16,18:02:40,2025-02-16T18:02:40Z,2025-02-16T18:02:40Z,NA,v3,471480,471350,NA,"Peterson, Ryan",1000079058,Left,VIR_KEY,54.97566,-133.02727,12.44223,5.17184,-0.03346,-10.78847,-1.38591,6.80862,-6.33724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.42002,2.344178,1.243494,1.100684,-2.37388,2.97245,0.39987,-2.65582,6.27394,-0.21628,73.39622,7.45706,-51.40218,-2.61219,74.25296,-4.73913,6.31413,16.7911,-14.32852,-0.2699,-51.91332,4.98012,High,High,High,NA,NA,High,High,High
5,2025-02-16,13:03:14,"Van Alstine, Marcus",1000211958,Right,VIR_KEY,Undefined,Fastball,NA,NA,90.94638,-0.348232,-3.620312,2105.645332,236.147706,01:45:00,5.1657,1.35731,5.59242,-23.13143,10.67367,14.50694,2.91228,-0.81863,84.04478,-4.626518,-1.03732,0.418468,-8.23268,5.78433,-1.05612,50,5.12066,7.71663,-132.03396,-1.62889,-14.73367,24.47334,-21.82207,a86f1053-8264-42d6-ae4e-1513e865d8fe,NA,NA,NA,NA,NA,824423,"Carson, Ansel",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,MAR_HAW,1,Top,1,0,0,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,VIR_KEY,MAR_HAW,GrayMinorStadium,D1,SOCON,20250216-GrayMinorStadium-1,4ab42360-ec90-11ef-a033-4545558427ec,90.0724,NA,NA,6.9016,NA,NA,NA,12fbabd4-d71c-40bf-b420-83d67cd2806e,2025-02-16,18:03:14,2025-02-16T18:03:14Z,2025-02-16T18:03:14Z,NA,v3,471480,471350,NA,"Peterson, Ryan",1000079058,Left,VIR_KEY,54.90894,-132.94075,12.23667,5.16603,-0.82034,-10.91103,-1.35215,8.26255,-7.36683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-02-16,13:03:36,"Van Alstine, Marcus",1000211958,Right,VIR_KEY,Undefined,Slider,NA,NA,79.57522,1.317499,0.254692,2077.375939,100.016362,09:15:00,4.91084,1.55356,5.50863,-42.19317,2.92874,-7.94544,2.62708,1.12963,72.30375,-6.446716,-1.161951,0.483465,4.05855,1.56768,-1.5704,50,4.99778,-0.19152,-115.42057,1.23633,5.42674,23.24658,-30.07789,22f19fdf-5f4f-4da5-8c20-6714a41c7074,NA,NA,NA,NA,NA,824423,"Carson, Ansel",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,MAR_HAW,1,Top,1,0,1,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,VIR_KEY,MAR_HAW,GrayMinorStadium,D1,SOCON,20250216-GrayMinorStadium-1,5802d0c0-ec90-11ef-a033-4545558427ec,77.96311,NA,NA,7.27146,NA,NA,NA,12fbabd4-d71c-40bf-b420-83d67cd2806e,2025-02-16,18:03:36,2025-02-16T18:03:36Z,2025-02-16T18:03:36Z,NA,v3,471480,471350,NA,"Peterson, Ryan",1000079058,Left,VIR_KEY,54.98867,-116.42099,11.62329,4.91673,2.53074,-15.03895,-1.55714,-0.42506,2.71337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-02-16,13:03:54,"Van Alstine, Marcus",1000211958,Right,VIR_KEY,Undefined,Fastball,NA,NA,91.27314,0.408173,-2.130006,2102.092462,221.881521,01:30:00,5.28742,1.41881,5.53295,-18.80009,16.08721,13.18839,4.10256,0.52589,81.13358,-3.185361,0.21915,0.425114,-7.27292,8.31241,-1.24223,50,5.31079,4.27177,-132.02443,0.34927,-12.51338,34.70817,-17.87219,252feec5-ca04-49df-9704-eea7ef60623a,NA,NA,NA,NA,NA,824423,"Carson, Ansel",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,MAR_HAW,1,Top,1,0,2,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,VIR_KEY,MAR_HAW,GrayMinorStadium,D1,SOCON,20250216-GrayMinorStadium-1,62d07890-ec90-11ef-a033-4545558427ec,88.66434,NA,NA,10.13956,NA,NA,NA,12fbabd4-d71c-40bf-b420-83d67cd2806e,2025-02-16,18:03:54,2025-02-16T18:03:54Z,2025-02-16T18:03:54Z,NA,v3,471480,471350,NA,"Peterson, Ryan",1000079058,Left,VIR_KEY,54.95851,-133.32161,17.35409,5.28526,1.01722,-8.93609,-1.41063,4.73944,-6.25669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-02-16,13:04:10,"Van Alstine, Marcus",1000211958,Right,VIR_KEY,Undefined,ChangeUp,NA,NA,81.88679,0.499283,-1.558062,1627.004714,246.713204,02:15:00,5.19945,1.24973,5.44202,-35.29132,7.73662,14.34532,2.72619,0.98594,73.82557,-6.035131,0.995712,0.472114,-7.63713,4.21898,-1.12182,50,5.21983,2.61467,-118.63673,-0.16389,-10.7153,25.98818,-26.2546,afa2d232-8402-4752-b0cc-941cb1b08c98,NA,NA,NA,NA,NA,824423,"Carson, Ansel",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,MAR_HAW,1,Top,1,1,2,Changeup,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,NA,VIR_KEY,MAR_HAW,GrayMinorStadium,D1,SOCON,20250216-GrayMinorStadium-1,6c942a70-ec90-11ef-a033-4545558427ec,79.83764,NA,NA,8.06121,NA,NA,NA,12fbabd4-d71c-40bf-b420-83d67cd2806e,2025-02-16,18:04:10,2025-02-16T18:04:10Z,2025-02-16T18:04:10Z,NA,v3,471480,471350,NA,"Peterson, Ryan",1000079058,Left,VIR_KEY,55.05324,-119.73856,12.99409,5.20318,0.94924,-13.1273,-1.24231,3.06896,-5.35765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-02-16,13:04:39,"Van Alstine, Marcus",1000211958,Right,VIR_KEY,Undefined,ChangeUp,NA,NA,82.40205,0.040112,-1.92179,1603.015215,249.424095,02:15:00,5.2046,1.38715,5.57708,-35.83411,6.1815,12.61906,2.25591,0.64314,74.82428,-6.579102,0.330555,0.466527,-6.98811,3.5278,-1.23027,50,5.18473,3.49755,-119.51307,-1.11949,-10.00597,25.18676,-27.12277,5ee42567-f6ff-4b57-89f6-4851b8bd3540,NA,NA,NA,NA,-15.162913,10148849,"Taylor, Bronson",2953.672692,NA,84.824700000000007,Left,29.51817,104.62296,50.2772,-33.97078,291.06945,286.69692,4.027579,-21.527453,1.49018,2.32194,-0.64628,NA,NA,NA,NA,NA,3,1,MAR_HAW,1,Top,2,0,0,Changeup,InPlay,Undefined,FlyBall,Out,1,0,NA,VIR_KEY,MAR_HAW,GrayMinorStadium,D1,SOCON,20250216-GrayMinorStadium-1,7d8c09b0-ec90-11ef-a033-4545558427ec,80.79373,57.83352,NA,7.57776,NA,NA,NA,12fbabd4-d71c-40bf-b420-83d67cd2806e,2025-02-16,18:04:39,2025-02-16T18:04:39Z,2025-02-16T18:04:39Z,FlyBall,v3,471480,471350,NA,"Peterson, Ryan",1000079058,Left,VIR_KEY,54.9216,-120.54581,12.59338,5.20783,-0.00737,-13.56139,-1.38209,3.90783,-5.00299,145.660433,1.48948,104.51287,-18.62782,4.53657,-1.18,0.35782,-0.09735,0.01602,-0.00108,2.32325,61.25933,-18.58686,0.8555,0.26598,-0.24098,0.08275,-0.01316,7.9e-4,-0.64656,-28.31102,-0.58089,0.7737,-0.25811,0.05889,-0.0091,6.5e-4,-0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
10,2025-02-16,13:07:26,"McCabe, Austin",10107108,Right,MAR_HAW,Undefined,Fastball,NA,NA,85.56291,-1.395238,-2.077863,2137.354287,176.904986,12:00:00,6.54817,1.93877,5.29273,-26.06746,12.75414,-0.62713,3.06471,-0.06536,78.8667,-6.189203,-2.189104,0.448444,-0.22043,7.10792,-1.74911,50,6.40224,4.53207,-124.16359,-3.93758,-0.34662,23.15112,-20.99646,f8bf775e-eec2-42f3-aaab-e630f32ccc6b,NA,NA,NA,NA,NA,1000230989,"Prince, Owen",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,VIR_KEY,1,Bottom,0,0,0,Cutter,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,VIR_KEY,MAR_HAW,GrayMinorStadium,D1,SOCON,20250216-GrayMinorStadium-1,e1466ef0-ec90-11ef-a033-4545558427ec,84.05163,NA,NA,6.69621,NA,NA,NA,12fbabd4-d71c-40bf-b420-83d67cd2806e,2025-02-16,18:07:26,2025-02-16T18:07:26Z,2025-02-16T18:07:26Z,NA,v3,471480,471350,NA,"Taylor, Bronson",10148849,Right,MAR_HAW,55.20578,-125.13048,11.57556,6.54838,-3.06068,-10.49823,-1.93869,4.54655,-0.17331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
