PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-03-01,15:00:40,"Flora, Jackson",1000137584,Right,SAN_GAU,Undefined,Slider,NA,NA,86.24869,-0.06784,-1.88847,2543.006851,116.831606,10:00:00,5.51792,1.5892,5.72941,-32.82482,5.02666,-7.57993,2.7193,-0.80181,78.94611,-6.123258,-3.243994,0.442805,3.31362,2.95012,-1.42706,50,5.49218,4.44555,-125.20625,-1.2851,5.24877,25.78904,-27.50108,533c0f13-7d00-4a1f-9ca3-21929eba9cfb,NA,NA,NA,NA,NA,1000282249,"Collins, Sky",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,FRE_BUL,1,Top,0,0,0,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,SAN_GAU,FRE_BUL,CaesarUyesaka,D1,BW,20250301-CaesarUyesaka-1,a8391840-f6f1-11ef-b39a-99cb39262dc7,85.12191,NA,NA,7.30258,NA,NA,NA,2e676246-d2ea-4dd0-b3b6-22d10697e860,2025-03-01,23:00:40,2025-03-01T23:00:40Z,2025-03-01T23:00:40Z,NA,v3,471258,471253,NA,"Vargas, Nathan",1000119588,Right,SAN_GAU,54.76738,-126.18438,12.89452,5.52114,-0.24204,-13.75054,-1.5919,4.24648,2.62439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-03-01,15:00:53,"Flora, Jackson",1000137584,Right,SAN_GAU,Undefined,Fastball,NA,NA,97.97773,-2.106097,-2.169103,2438.613707,205.522878,12:45:00,5.9606,1.15542,6.42854,-11.06319,17.6417,7.96205,3.10071,-0.17564,88.95271,-4.274258,-0.72684,0.385611,-4.80815,10.13402,-1.00439,50,5.80532,5.04289,-142.22307,-5.50237,-9.78094,34.7023,-11.55906,b4e38868-b6ee-4611-938a-cf4d94ede923,NA,NA,NA,NA,64.944051,1000282249,"Collins, Sky",5799.63792,NA,74.21722,Right,67.563022,NA,NA,NA,89.68723,42.57697,5.351621,79.331641,2.05185,3.17066,-1.92344,NA,NA,NA,NA,NA,1,2,FRE_BUL,1,Top,0,0,1,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,SAN_GAU,FRE_BUL,CaesarUyesaka,D1,BW,20250301-CaesarUyesaka-1,af8672f0-f6f1-11ef-b39a-99cb39262dc7,97.74728,119.86571000000001,NA,9.02502,NA,NA,NA,2e676246-d2ea-4dd0-b3b6-22d10697e860,2025-03-01,23:00:53,2025-03-01T23:00:53Z,2025-03-01T23:00:53Z,Popup,v3,471258,471253,NA,"Vargas, Nathan",1000119588,Right,SAN_GAU,54.06834,-143.2123,17.35115,5.95747,-5.17286,-5.77953,-1.15212,5.32171,-4.89047,NA,2.04209,17.76909,-11.41254,4.86114,-1.67523,0.45075,-0.07886,0.00754,-3e-4,3.14815,101.05805,-28.48969,5.66089,-2.59523,0.96058,-0.21297,0.02443,-0.00112,-1.92817,37.70596,-13.22528,4.44217,-1.09556,0.18976,-0.01756,2.3e-4,5e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Low,NA,NA,NA
3,2025-03-01,15:01:15,"Flora, Jackson",1000137584,Right,SAN_GAU,Undefined,Sweeper,NA,NA,80.63762,0.291073,-0.464335,2599.484599,83.87849,08:45:00,5.57851,1.48754,5.68099,-44.88821,-0.7428,-22.03155,2.10916,-0.78125,72.82025,-7.970369,-4.407269,0.478205,10.97406,0.03181,-1.43468,50,5.57538,1.83341,-116.93749,-0.91327,14.85465,26.662,-32.13097,98799e08-6f42-49a6-9728-a36790f11ede,NA,NA,NA,NA,NA,1000282249,"Collins, Sky",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,FRE_BUL,1,Top,0,0,2,Slider,StrikeCalled,Strikeout,Undefined,Undefined,0,0,NA,SAN_GAU,FRE_BUL,CaesarUyesaka,D1,BW,20250301-CaesarUyesaka-1,bcaf21c0-f6f1-11ef-b39a-99cb39262dc7,78.82066,NA,NA,7.81736,NA,NA,NA,2e676246-d2ea-4dd0-b3b6-22d10697e860,2025-03-01,23:01:15,2025-03-01T23:01:15Z,2025-03-01T23:01:15Z,NA,v3,471258,471253,NA,"Vargas, Nathan",1000119588,Right,SAN_GAU,54.81567,-118.03036,13.331,5.58582,0.40377999999999997,-16.06549,-1.49735,1.22452,7.42733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.29457,2.709026,1.765324,0.943701,-0.40502,1.84828,0.92383,-3.62359,5.86499,4.72579,70.97384,10.46752,53.79397,-3.53974,87.31499,-8.85695,5.88827,17.2842,-13.17362,4.75476,55.44853,-3.69234,High,High,High,NA,NA,High,High,High
4,2025-03-01,15:01:41,"Flora, Jackson",1000137584,Right,SAN_GAU,Undefined,Fastball,NA,NA,98.11419,-3.348327,-1.912262,2402.832155,194.77724,12:30:00,5.91283,1.32304,6.08644,-9.46343,19.74576,4.93343,2.02155,-0.03546,88.65138,-5.221561,-1.024327,0.388983,-3.14961,11.54843,-1.17811,50,5.64921,4.5223,-142.14297,-8.53728,-6.36574,36.26945,-8.83332,ce06d0b8-53c5-4b70-b24d-f6bbe435e4f7,NA,NA,NA,NA,-150.466413,700244,"Saldivar, Eddie",3516.393769,NA,67.14868,Left,33.964506,NA,NA,NA,NA,41.82727,NA,NA,1.8368,1.56347,0.40057,NA,NA,NA,NA,NA,2,1,FRE_BUL,1,Top,1,0,0,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,SAN_GAU,FRE_BUL,CaesarUyesaka,D1,BW,20250301-CaesarUyesaka-1,cc374460-f6f1-11ef-b39a-99cb39262dc7,96.89984,24.2279,NA,9.46281,NA,NA,NA,2e676246-d2ea-4dd0-b3b6-22d10697e860,2025-03-01,23:01:41,2025-03-01T23:01:41Z,2025-03-01T23:01:41Z,NA,v3,471258,471253,NA,"Vargas, Nathan",1000119588,Right,SAN_GAU,54.40985,-143.26377,18.13473,5.90882,-8.26431,-4.41666,-1.3209,4.71902,-3.18287,30.174771,1.8368,-71.06837,3.78786,0.46785,-0.18211,0.14079,-0.22658,0.29349,-0.15297,1.56347,55.02128,-27.66928,3.37825,-0.75098,0.28751,-0.40166,0.5069,-0.25959,0.40057,-40.26356,7.17403,-0.99108,0.20013,-0.07408,0.13434,-0.1727,0.08794,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Undefined,NA,NA,NA
5,2025-03-01,15:01:55,"Flora, Jackson",1000137584,Right,SAN_GAU,Undefined,Sweeper,NA,NA,80.65324,0.327778,0.371113,2473.048627,96.998903,09:15:00,5.62266,1.42312,5.76524,-40.27077,3.55862,-16.05993,2.57182,0.43018,72.8611,-7.129981,-2.507617,0.47649,8.32449,2.14788,-1.44387,50,5.62557,-0.13088,-116.99938,-0.63148,11.32436,25.90259,-29.25218,d30f3ecd-f26a-402f-aceb-0f8863fad502,NA,NA,NA,NA,76.101652,700244,"Saldivar, Eddie",NA,NA,77.92306,Left,-47.854562,NA,NA,NA,3.26903,2.42136,0.032283,35.736072,2.05693,2.74445,-0.50175,NA,NA,NA,NA,NA,2,2,FRE_BUL,1,Top,1,0,1,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,SAN_GAU,FRE_BUL,CaesarUyesaka,D1,BW,20250301-CaesarUyesaka-1,d4fe6dd0-f6f1-11ef-b39a-99cb39262dc7,79.10429,2.74445,NA,7.79214,NA,NA,NA,2e676246-d2ea-4dd0-b3b6-22d10697e860,2025-03-01,23:01:55,2025-03-01T23:01:55Z,2025-03-01T23:01:55Z,GroundBall,v3,471258,471253,NA,"Vargas, Nathan",1000119588,Right,SAN_GAU,54.73142,-118.04222,12.95129,5.62728,0.54621,-14.62609,-1.42942,-0.5868,5.66218,NA,2.05661,18.48044,NA,NA,NA,NA,NA,NA,NA,2.74588,-85.013,NA,NA,NA,NA,NA,NA,NA,-0.50301,74.68522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Low,Low,NA,NA,NA
6,2025-03-01,15:02:18,"Flora, Jackson",1000137584,Right,SAN_GAU,Undefined,Fastball,NA,NA,98.4932,-1.268893,-1.302142,2519.897112,194.021839,12:30:00,6.17845,1.00036,6.15391,-9.97193,18.98454,4.47681,4.17465,0.17019,88.47156,-3.251697,-0.494965,0.387297,-2.71512,10.48201,-0.90356,50,6.07666,3.03655,-142.84277,-3.38127,-5.51678,37.99114,-10.87592,64b52abd-df6b-4853-a418-a7f8aa391fb0,NA,NA,NA,NA,NA,700244,"Saldivar, Eddie",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,FRE_BUL,1,Top,1,0,2,Four-Seam,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,NA,SAN_GAU,FRE_BUL,CaesarUyesaka,D1,BW,20250301-CaesarUyesaka-1,e23b8f00-f6f1-11ef-b39a-99cb39262dc7,97.32178,NA,NA,10.02164,NA,NA,NA,2e676246-d2ea-4dd0-b3b6-22d10697e860,2025-03-01,23:02:18,2025-03-01T23:02:18Z,2025-03-01T23:02:18Z,NA,v3,471258,471253,NA,"Vargas, Nathan",1000119588,Right,SAN_GAU,54.33933,-143.99225,18.99557,6.17399,-3.0522,-5.43796,-0.99796,3.20346,-2.75839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.46657,NA,NA,0.924707,NA,NA,NA,5.42569,5.30686,2.4087,66.77299,6.90127,57.99706,5.47861,73.2875,-7.59033,5.33691,15.09266,-14.50242,2.42751,63.54845,-3.74187,High,High,High,NA,NA,High,High,High
7,2025-03-01,15:02:44,"Flora, Jackson",1000137584,Right,SAN_GAU,Undefined,Fastball,NA,NA,98.46146,-1.496951,-1.552923,2544.001882,196.257858,12:30:00,5.91196,1.22333,6.13893,-11.01477,17.80324,4.90067,3.60983,0.19624,89.0242,-3.653887,-0.669677,0.38637,-2.9891,9.91867,-1.10732,50,5.79191,3.64534,-142.86546,-4.01116,-6.11598,35.98786,-11.87944,f23c1137-dbf5-49cd-ad84-1c9e108345be,NA,NA,NA,NA,NA,809092,"Gray, Murf",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,FRE_BUL,1,Top,2,0,0,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,SAN_GAU,FRE_BUL,CaesarUyesaka,D1,BW,20250301-CaesarUyesaka-1,f20c2c50-f6f1-11ef-b39a-99cb39262dc7,97.55528,NA,NA,9.43726,NA,NA,NA,2e676246-d2ea-4dd0-b3b6-22d10697e860,2025-03-01,23:02:44,2025-03-01T23:02:44Z,2025-03-01T23:02:44Z,NA,v3,471258,471253,NA,"Vargas, Nathan",1000119588,Right,SAN_GAU,54.35565,-143.95847,17.99393,5.90825,-3.65036,-5.93972,-1.22086,3.83109,-3.05799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-03-01,15:03:02,"Flora, Jackson",1000137584,Right,SAN_GAU,Undefined,Fastball,NA,NA,99.01371,-1.994118,-1.094848,2508.985356,192.185101,12:30:00,6.07378,1.00321,6.21952,-8.75544,19.69395,4.0367,3.50303,0.32922,89.41423,-3.746001,-0.366059,0.383891,-2.4376,11.12949,-0.92326,50,5.92008,2.56386,-143.68744,-5.18459,-5.03423,37.06813,-9.18904,f687e7cd-e6e4-4453-b09a-ac38a139b542,NA,NA,NA,NA,158.595429,809092,"Gray, Murf",4485.357217,NA,72.51104,Right,40.242782,NA,NA,NA,NA,45.0429,NA,NA,1.26548,3.55735,-0.31439,NA,NA,NA,NA,NA,3,2,FRE_BUL,1,Top,2,0,1,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,SAN_GAU,FRE_BUL,CaesarUyesaka,D1,BW,20250301-CaesarUyesaka-1,fcef30e0-f6f1-11ef-b39a-99cb39262dc7,98.18527,35.10225,NA,9.59948,NA,NA,NA,2e676246-d2ea-4dd0-b3b6-22d10697e860,2025-03-01,23:03:02,2025-03-01T23:03:02Z,2025-03-01T23:03:02Z,NA,v3,471258,471253,NA,"Vargas, Nathan",1000119588,Right,SAN_GAU,54.27659,-144.7865,18.53407,6.06976,-4.91214,-4.59452,-1.00149,2.71313,-2.51712,314.840483,1.26548,-75.57887,3.87922,0.65227,-0.19204,-0.54596,1.43643,-1.65844,0.76534,3.55735,68.7046,-29.24525,3.83788,-0.65234,-0.51245,1.42592,-1.64462,0.75771,-0.31439,29.62591,-11.204040000000001,3.02588,-0.46203,-0.97921,2.4595,-2.82279,1.3002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Medium,Medium,Medium,High,Undefined,NA,NA,NA
9,2025-03-01,15:03:28,"Flora, Jackson",1000137584,Right,SAN_GAU,Undefined,Fastball,NA,NA,100.26293,-2.433436,-0.467993,2484.817691,194.900156,12:30:00,6.15297,0.8831,6.08021,-8.60646,19.31131,4.87516,3.18299,0.85638,90.51242,-4.149762,0.410068,0.380287,-2.66083,11.00949,-0.8495,50,5.96035,0.96024,-145.434,-6.36808,-5.62757,38.09121,-8.8893,1c8b137e-06da-44e2-8380-e7d3711ea0e8,NA,NA,NA,NA,NA,809092,"Gray, Murf",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,FRE_BUL,1,Top,2,0,2,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,SAN_GAU,FRE_BUL,CaesarUyesaka,D1,BW,20250301-CaesarUyesaka-1,0bd917b0-f6f2-11ef-b39a-99cb39262dc7,99.11573,NA,NA,9.75051,NA,NA,NA,2e676246-d2ea-4dd0-b3b6-22d10697e860,2025-03-01,23:03:28,2025-03-01T23:03:28Z,2025-03-01T23:03:28Z,NA,v3,471258,471253,NA,"Vargas, Nathan",1000119588,Right,SAN_GAU,54.41565,-146.58596,19.0456,6.14887,-6.09925,-4.44465,-0.88112,1.13043,-2.81379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-03-01,15:03:46,"Flora, Jackson",1000137584,Right,SAN_GAU,Undefined,Slider,NA,NA,87.53755,-0.027528,-0.922688,2782.630742,120.125607,10:00:00,5.67024,1.27417,5.68411,-26.85836,10.73229,-16.02044,3.40638,-0.92096,78.34872,-5.066406,-3.785457,0.441277,7.7463,5.87441,-1.18661,50,5.65156,2.74939,-126.81055,-0.95617,12.30363,31.87422,-22.8436,dc22b105-9d33-4a00-9dcf-4957e508a811,NA,NA,NA,NA,NA,809092,"Gray, Murf",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,FRE_BUL,1,Top,2,0,2,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,NA,SAN_GAU,FRE_BUL,CaesarUyesaka,D1,BW,20250301-CaesarUyesaka-1,17189420-f6f2-11ef-b39a-99cb39262dc7,85.41674,NA,NA,9.18883,NA,NA,NA,2e676246-d2ea-4dd0-b3b6-22d10697e860,2025-03-01,23:03:46,2025-03-01T23:03:46Z,2025-03-01T23:03:46Z,NA,v3,471258,471253,NA,"Vargas, Nathan",1000119588,Right,SAN_GAU,54.80886,-128.01356,15.93711,5.67138,-0.09399,-11.4218,-1.28161,2.28502,6.15181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.44985,NA,NA,1.0271,NA,NA,NA,1.24376,4.84655,-0.45222,72.13742,2.40364,52.63766,1.2912,76.68816,-7.58086,4.88008,12.83699,-14.90113,-0.43751,55.05053,-3.30942,High,High,High,NA,NA,High,High,High
