PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-27,13:06:33,"Mueller, Kyle",803705,Right,PRE_BLH,Undefined,Undefined,NA,NA,89.31482,-2.046425,-1.908469,2426.89952,207.001303,01:00:00,5.85791,1.48749,6.56817,-15.08898,19.6447,9.35189,2.72262,0.5166,80.31501,-5.003577,-0.209387,0.424177,-5.49264,11.32257,-1.35946,50,5.71013,3.93969,-129.52963,-4.96332,-9.16479,31.56874,-13.28169,56d68b86-b03f-4330-accc-aeca24f5b08f,NA,NA,NA,NA,NA,827268,"Collins, Kain",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,CHA_BUC,1,Top,0,0,0,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,PRE_BLH,CHA_BUC,PresbyterianCollege,D1,BSOU,20250427-PresbyterianCollege-1,f918a900-2389-11f0-b85f-63514ddfcdc0,88.86024,NA,NA,8.99982,NA,NA,NA,04a2b9f7-5a53-4a6f-b90f-f735ee4dc9ca,2025-04-27,17:06:33,2025-04-27T17:06:33Z,2025-04-27T17:06:33Z,NA,v3,471507,471239,27 April 2025 13:00-charlsouth@presbytrn,"Becker, Ryan",1000092550,Right,PRE_BLH,53.92988,-130.4839,15.78437,5.85409,-4.56184,-6.64085,-1.48274,4.21673,-4.5824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-04-27,13:06:48,"Mueller, Kyle",803705,Right,PRE_BLH,Undefined,Undefined,NA,NA,89.31448,-2.1182,-1.155501,2440.300671,205.048274,12:45:00,5.82865,1.47921,6.46773,-16.09532,18.67194,8.135,2.54054,1.09567,80.5502,-5.244622,0.320494,0.424382,-4.59118,10.78768,-1.40082,50,5.67161,2.28333,-129.57454,-5.17947,-7.68582,30.94856,-14.115,1c67c4c5-7013-43b8-9264-9dbcb2fa3661,NA,NA,NA,NA,NA,827268,"Collins, Kain",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,CHA_BUC,1,Top,0,0,1,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,PRE_BLH,CHA_BUC,PresbyterianCollege,D1,BSOU,20250427-PresbyterianCollege-1,01b2f610-238a-11f0-b85f-63514ddfcdc0,88.81731,NA,NA,8.76429,NA,NA,NA,04a2b9f7-5a53-4a6f-b90f-f735ee4dc9ca,2025-04-27,17:06:48,2025-04-27T17:06:48Z,2025-04-27T17:06:48Z,NA,v3,471507,471239,27 April 2025 13:00-charlsouth@presbytrn,"Becker, Ryan",1000092550,Right,PRE_BLH,54.03064,-130.5337,15.47428,5.82536,-4.74201,-7.0575,-1.47528,2.52153,-3.84291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-04-27,13:07:05,"Mueller, Kyle",803705,Right,PRE_BLH,Undefined,Undefined,NA,NA,83.79636,-1.945926,-2.212977,2026.173732,279.035543,03:15:00,5.61921,1.7098,6.49111,-41.40309,-1.545,19.32619,0.38042,1.28761,75.53755,-9.656787,1.304879,0.454391,-10.91445,0.32563,-1.5623,50,5.46505,3.97824,-121.51665,-5.39695,-15.87968,29.794,-31.70027,1d0e0b0e-f4ff-437f-b5b6-f327579daf8a,NA,NA,NA,NA,NA,827268,"Collins, Kain",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,CHA_BUC,1,Top,0,1,1,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,PRE_BLH,CHA_BUC,PresbyterianCollege,D1,BSOU,20250427-PresbyterianCollege-1,0bd2aaa0-238a-11f0-b85f-63514ddfcdc0,82.95154,NA,NA,8.2588,NA,NA,NA,04a2b9f7-5a53-4a6f-b90f-f735ee4dc9ca,2025-04-27,17:07:05,2025-04-27T17:07:05Z,2025-04-27T17:07:05Z,NA,v3,471507,471239,27 April 2025 13:00-charlsouth@presbytrn,"Becker, Ryan",1000092550,Right,PRE_BLH,54.01061,-122.49604,14.897,5.62533,-4.35489,-15.85014,-1.70166,4.50024,-7.93984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-04-27,13:07:20,"Mueller, Kyle",803705,Right,PRE_BLH,Undefined,Undefined,NA,NA,89.12175,-2.029036,-3.390118,2400.746908,202.256602,12:45:00,5.7922,1.39013,6.58246,-17.9417,16.88698,6.3954,2.43344,-1.18755,80.44531,-5.492717,-2.230243,0.424756,-4.40508,9.85851,-1.15969,50,5.64494,7.39317,-129.13202,-5.02854,-7.33327,30.42571,-15.76229,be80496f-0946-4eef-8b59-1f997fb436a5,NA,NA,NA,NA,NA,827268,"Collins, Kain",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,CHA_BUC,1,Top,0,2,1,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,PRE_BLH,CHA_BUC,PresbyterianCollege,D1,BSOU,20250427-PresbyterianCollege-1,14ec87f0-238a-11f0-b85f-63514ddfcdc0,88.73899,NA,NA,8.67644,NA,NA,NA,04a2b9f7-5a53-4a6f-b90f-f735ee4dc9ca,2025-04-27,17:07:20,2025-04-27T17:07:20Z,2025-04-27T17:07:20Z,NA,v3,471507,471239,27 April 2025 13:00-charlsouth@presbytrn,"Becker, Ryan",1000092550,Right,PRE_BLH,53.91557,-130.05133,15.21285,5.78968,-4.55229,-7.88115,-1.38642,7.61474,-3.66663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-04-27,13:07:36,"Mueller, Kyle",803705,Right,PRE_BLH,Undefined,Undefined,NA,NA,86.85564,-1.029483,-1.063465,2359.55826,215.791979,01:15:00,5.96947,1.46596,6.47005,-23.41265,13.17205,8.57922,3.07262,1.20405,78.6899,-5.485026,0.49370000000000003,0.435333,-4.78516,7.5854,-1.3943,50,5.88644,2.00488,-126.12662,-2.91883,-7.61923,28.4158,-20.09617,3d6f1628-0081-4f4a-945a-d979c44e4d9f,NA,NA,NA,NA,NA,827268,"Collins, Kain",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,CHA_BUC,1,Top,0,3,1,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,NA,PRE_BLH,CHA_BUC,PresbyterianCollege,D1,BSOU,20250427-PresbyterianCollege-1,1e1d6fb0-238a-11f0-b85f-63514ddfcdc0,86.58308,NA,NA,8.16575,NA,NA,NA,04a2b9f7-5a53-4a6f-b90f-f735ee4dc9ca,2025-04-27,17:07:36,2025-04-27T17:07:36Z,2025-04-27T17:07:36Z,NA,v3,471507,471239,27 April 2025 13:00-charlsouth@presbytrn,"Becker, Ryan",1000092550,Right,PRE_BLH,54.02903,-127.0311,14.2079,5.96917,-2.27916,-10.04808,-1.46197,2.2474,-3.80961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-04-27,13:08:06,"Mueller, Kyle",803705,Right,PRE_BLH,Undefined,Undefined,NA,NA,87.59798,-1.764559,-1.988289,2344.789046,228.945181,01:45:00,5.86381,1.38236,6.5563,-22.90076,13.04264,13.51032,2.33593,0.68434,79.28944,-6.127657,0.467394,0.4315,-7.77512,7.7863,-1.25062,50,5.73215,3.9089,-127.16842,-4.55033,-12.55081,29.54617,-19.6052,e7e7dce9-595d-46b7-9fe0-fcba5622b827,NA,NA,NA,NA,-47.598617,1000369107,"Smith, Kaden",4080.706807,NA,95.19409,Right,7.261238,NA,NA,NA,111.72252,111.72252,0.888,-50.061968,2.76961,2.61805,-0.95243,NA,NA,NA,NA,NA,2,1,CHA_BUC,1,Top,0,0,0,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,PRE_BLH,CHA_BUC,PresbyterianCollege,D1,BSOU,20250427-PresbyterianCollege-1,30190350-238a-11f0-b85f-63514ddfcdc0,87.35206,5.74037,NA,8.30853,NA,NA,NA,04a2b9f7-5a53-4a6f-b90f-f735ee4dc9ca,2025-04-27,17:08:06,2025-04-27T17:08:06Z,2025-04-27T17:08:06Z,LineDrive,v3,471507,471239,27 April 2025 13:00-charlsouth@presbytrn,"Becker, Ryan",1000092550,Right,PRE_BLH,53.94563,-128.08186,14.77309,5.86346,-3.94422,-9.8026,-1.37746,4.29692,-6.2754,NA,2.86141,91.97549,-16.35564,NA,NA,NA,NA,NA,NA,2.71443,16.15938,-21.75025,NA,NA,NA,NA,NA,NA,-0.95319,-102.27054,7.74753,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
7,2025-04-27,13:08:39,"Mueller, Kyle",803705,Right,PRE_BLH,Undefined,Undefined,NA,NA,88.52848,-1.664629,-2.089804,2276.203942,220.2281,01:15:00,5.92055,1.54691,6.48566,-19.27722,15.58891,12.24804,2.78425,0.64792,80.97693,-5.3407,0.132358,0.424985,-7.03063,8.97784,-1.40525,50,5.79484,4.22846,-128.63718,-4.26393,-11.76869,26.93603,-17.14591,f81bc2db-046b-4435-a357-176024d9ee2f,NA,NA,NA,NA,15.163012,1000369107,"Smith, Kaden",3105.760093,NA,47.26923,Right,9.291118,NA,NA,NA,57.50254,57.49871,0.889212,17.413002,1.37091,2.75684,-0.65309,NA,NA,NA,NA,NA,2,2,CHA_BUC,1,Top,0,0,1,Four-Seam,InPlay,Undefined,GroundBall,Single,0,0,NA,PRE_BLH,CHA_BUC,PresbyterianCollege,D1,BSOU,20250427-PresbyterianCollege-1,44163350-238a-11f0-b85f-63514ddfcdc0,88.69131,4.65321,NA,7.55154,NA,NA,NA,04a2b9f7-5a53-4a6f-b90f-f735ee4dc9ca,2025-04-27,17:08:39,2025-04-27T17:08:39Z,2025-04-27T17:08:39Z,GroundBall,v3,471507,471239,27 April 2025 13:00-charlsouth@presbytrn,"Becker, Ryan",1000092550,Right,PRE_BLH,54.01714,-129.47562,13.46801,5.91926,-3.73023,-8.57295,-1.54257,4.59478,-5.88435,264.108647,1.37091,66.03661,-7.25253,0.87672,-0.18494,0.01719,0.0019,-0.00267,9.1e-4,2.75684,11.19308,-16.81509,0.92761,-0.13288,0.03276,-0.00359,7.1e-4,-2.1e-4,-0.65309,17.89598,2.91024,-0.63641,0.17475,-0.02985,0.00181,0.0022,-8.9e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
8,2025-04-27,13:09:18,"Mueller, Kyle",803705,Right,PRE_BLH,Undefined,Undefined,NA,NA,84.21523,-1.96477,-2.490158,1898.103734,239.460504,02:00:00,5.80868,1.7265,6.7565,-27.8473,11.30772,16.52442,1.69096,0.82747,75.35125,-7.28386,0.525394,0.450366,-9.69524,7.1278,-1.56904,50,5.66924,4.72296,-122.09966,-4.91858,-14.21055,30.55259,-21.72667,c58f5a05-0aff-4c36-bdd1-8e001f450ac4,NA,NA,NA,NA,-123.786405,1000136826,"Tuupo, Chandler",4958.908481,NA,42.72305,Left,-1.466241,NA,NA,NA,19.53539,16.33994,0.343945,-113.81974,3.67841,1.67585,-0.65673,NA,NA,NA,NA,NA,3,1,CHA_BUC,1,Top,0,0,0,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,PRE_BLH,CHA_BUC,PresbyterianCollege,D1,BSOU,20250427-PresbyterianCollege-1,5b63c6d0-238a-11f0-b85f-63514ddfcdc0,83.69298,1.67585,NA,8.86397,NA,NA,NA,04a2b9f7-5a53-4a6f-b90f-f735ee4dc9ca,2025-04-27,17:09:18,2025-04-27T17:09:18Z,2025-04-27T17:09:18Z,GroundBall,v3,471507,471239,27 April 2025 13:00-charlsouth@presbytrn,"Becker, Ryan",1000092550,Right,PRE_BLH,53.74402,-123.03295,15.27629,5.80935,-4.2549,-10.86333,-1.71993,5.15704,-7.10528,174.017525,3.67692,-34.77607,3.34749,NA,NA,NA,NA,NA,NA,1.67562,-1.59359,-9.52988,NA,NA,NA,NA,NA,NA,-0.6592,-51.96516,5.60749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Medium,NA,NA,NA
9,2025-04-27,13:09:45,"Mueller, Kyle",803705,Right,PRE_BLH,Undefined,Undefined,NA,NA,82.61417,-0.365169,-1.719821,2236.143027,333.889073,05:15:00,5.94547,1.66552,5.97488,-40.15199,0.85721,0.23677,2.26077,0.09034,75.54819,-7.774832,-1.677223,0.460906,-0.63484,0.90134,-1.52948,50,5.89411,3.59336,-119.97586,-2.06365,-0.91896,24.69734,-30.86927,7a895364-fc7e-46f2-82eb-5b5c06910b43,NA,NA,NA,NA,-15.761058,1000136826,"Tuupo, Chandler",5327.596338,NA,90.65008,Left,33.187465,102.05268,64.4765,-41.05163,307.20206,208.56497,4.822872,-31.868607,1.88595,3.01809,-0.82738,NA,NA,NA,NA,NA,3,2,CHA_BUC,1,Top,0,0,1,Slider,InPlay,Undefined,FlyBall,Out,1,0,NA,PRE_BLH,CHA_BUC,PresbyterianCollege,D1,BSOU,20250427-PresbyterianCollege-1,6b5b4d10-238a-11f0-b85f-63514ddfcdc0,81.77908,80.13165,NA,7.06598,NA,NA,NA,04a2b9f7-5a53-4a6f-b90f-f735ee4dc9ca,2025-04-27,17:09:45,2025-04-27T17:09:45Z,2025-04-27T17:09:45Z,FlyBall,v3,471507,471239,27 April 2025 13:00-charlsouth@presbytrn,"Becker, Ryan",1000092550,Right,PRE_BLH,54.52813,-120.90439,12.34867,5.94988,-0.90308,-15.43464,-1.66523,3.62791,-0.45948,140.081109,1.8894,107.01377,-25.6576,6.24645,-1.19371,0.17895,-0.02842,0.00437,-3.1e-4,3.01967,72.73421,-18.71716,0.26473,0.60608,-0.32736,0.09043,-0.01241,6.6e-4,-0.82793,-30.21136,-5.098,2.84112,-1.00086,0.27064,-0.05271,0.00612,-3e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA
10,2025-04-27,13:10:33,"Mueller, Kyle",803705,Right,PRE_BLH,Undefined,Undefined,NA,NA,79.4099,-0.320164,-1.559006,2168.412525,359.081827,06:00:00,5.99235,1.50046,5.75436,-51.88105,-6.78548,0.13382,1.37076,0.05992,72.4066,-9.807016,-1.534983,0.483324,-0.57362,-3.04378,-1.37112,50,5.93365,3.13162,-115.24628,-2.34259,-0.75939,24.54077,-36.2037,6d2c4a09-5974-40fc-8bc5-b89532b59c69,NA,NA,NA,NA,-24.61924,1000216381,"Martin, AJ",1638.931959,NA,101.76262,Right,17.247505,100.14215,30.49662,-45.51428,337.89308,322.84575,3.575488,-27.102663,2.75947,1.78241,-0.23684,NA,NA,NA,NA,NA,4,1,CHA_BUC,1,Top,1,0,0,Curveball,InPlay,Undefined,LineDrive,Double,0,1,NA,PRE_BLH,CHA_BUC,PresbyterianCollege,D1,BSOU,20250427-PresbyterianCollege-1,882f0fd0-238a-11f0-b85f-63514ddfcdc0,77.98586,39.76616,NA,7.0033,NA,NA,NA,04a2b9f7-5a53-4a6f-b90f-f735ee4dc9ca,2025-04-27,17:10:33,2025-04-27T17:10:33Z,2025-04-27T17:10:33Z,LineDrive,v3,471507,471239,27 April 2025 13:00-charlsouth@presbytrn,"Becker, Ryan",1000092550,Right,PRE_BLH,54.74984,-116.25332,12.27038,5.9993,-0.85696,-18.10185,-1.50027,3.16279,-0.37969,NA,2.75947,129.58329,-23.80957,5.24668,-0.95303,0.11688,-0.00341,-0.00152,1.9e-4,1.7825,44.24796,-12.51008,-0.57052,0.2329,0.00818,-0.02379,0.00655,-6e-4,-0.23664,-59.38918,10.71578,-3.48004,0.87901,-0.16752,0.02237,-0.00175,5e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
