PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-05-02,19:36:15,"Green, Mason",813893,Left,BAY_BEA,Undefined,Fastball,NA,NA,87.37843,-1.667785,0.7606,2247.675486,162.487012,11:30:00,6.21842,-0.85607,6.50389,-14.60835,21.26962,-6.33713,3.46969,-0.68599,79.55502,-4.516371,-0.389874,0.431107,3.51902,11.954650000000001,0.8053,50,6.09482,-1.43859,-126.94608,-4.01471,5.71636,27.09224,-12.75479,902cb621-d808-4b79-8cca-8d698245e3f4,NA,NA,NA,NA,NA,1000124216,"Walker, Kyle",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,ARI_SUN,1,Top,0,0,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,BAY_BEA,ARI_SUN,Baylor,D1,BIG12,20250502-Baylor-1,9f91a9a0-27b6-11f0-beaa-35c6078645d0,87.43172,NA,NA,7.82342,NA,NA,NA,68678720-4696-4051-9ad9-e5c9f0af83fd,2025-05-03,00:36:15,2025-05-03T00:36:15Z,2025-05-03T00:36:15Z,NA,v3,3033,5035,NA,"Castle, Cortlan",1000127061,Right,BAY_BEA,53.99631,-127.7961,13.54612,6.2145,-3.61452,-6.3774,0.85325,-1.61794,2.85818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-05-02,19:36:31,"Green, Mason",813893,Left,BAY_BEA,Undefined,Fastball,NA,NA,88.40454,-2.769713,2.988542,2150.062296,152.206256,11:00:00,6.16144,-0.8083,6.48062,-16.47639,18.77914,-9.26721,2.23962,1.16621,80.44855,-5.9453,1.30956,0.427351,5.82095,11.06965,0.6021,50,5.95892,-6.35147,-128.22766,-6.62928,9.62084,28.32359,-13.87822,cf459fd7-67fd-4dfb-a82a-9b2dcab3c4a7,NA,NA,NA,NA,NA,1000124216,"Walker, Kyle",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,ARI_SUN,1,Top,0,1,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,BAY_BEA,ARI_SUN,Baylor,D1,BIG12,20250502-Baylor-1,a8ede720-27b6-11f0-beaa-35c6078645d0,88.20016,NA,NA,7.95598,NA,NA,NA,68678720-4696-4051-9ad9-e5c9f0af83fd,2025-05-03,00:36:31,2025-05-03T00:36:31Z,2025-05-03T00:36:31Z,NA,v3,3033,5035,NA,"Castle, Cortlan",1000127061,Right,BAY_BEA,54.02325,-129.11327,14.1618,6.15942,-6.19534,-6.93911,0.8054,-6.65229,4.81042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-05-02,19:36:46,"Green, Mason",813893,Left,BAY_BEA,Undefined,Fastball,NA,NA,87.69026,-2.102854,2.289699,2092.371454,150.557851,11:00:00,6.12359,-0.83131,6.5831,-18.01332,17.50509,-9.22355,2.69285,0.49965,80.03229,-5.562121,0.613817,0.428941,5.47429,10.13863,0.67763,50,5.97133,-4.7365,-127.32352,-5.12736,8.96038,26.84782,-15.57899,636ff8c2-126f-425c-90fd-7430652279c6,NA,NA,NA,NA,NA,1000124216,"Walker, Kyle",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,ARI_SUN,1,Top,0,2,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,BAY_BEA,ARI_SUN,Baylor,D1,BIG12,20250502-Baylor-1,b25b62b0-27b6-11f0-beaa-35c6078645d0,87.87315,NA,NA,7.65797,NA,NA,NA,68678720-4696-4051-9ad9-e5c9f0af83fd,2025-05-03,00:36:46,2025-05-03T00:36:46Z,2025-05-03T00:36:46Z,NA,v3,3033,5035,NA,"Castle, Cortlan",1000127061,Right,BAY_BEA,53.91777,-128.14697,13.42391,6.12126,-4.64953,-7.78949,0.82712,-5.01132,4.48019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-05-02,19:37:03,"Green, Mason",813893,Left,BAY_BEA,Undefined,Fastball,NA,NA,87.59118,-2.217944,2.496596,2073.663409,147.245656,11:00:00,6.21125,-0.7996,6.33526,-19.6234,16.1604,-9.67548,2.53071,0.69445,80.34718,-5.940104,0.746919,0.430541,5.69579,9.35469,0.6218,50,6.03988,-5.16425,-127.16657,-5.47216,9.34949,25.48676,-16.81854,0370b145-4c79-4b1f-b935-36794e4a53ec,NA,NA,NA,NA,NA,1000124216,"Walker, Kyle",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,ARI_SUN,1,Top,0,2,1,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,BAY_BEA,ARI_SUN,Baylor,D1,BIG12,20250502-Baylor-1,bc1bb930-27b6-11f0-beaa-35c6078645d0,87.54667,NA,NA,7.24399,NA,NA,NA,68678720-4696-4051-9ad9-e5c9f0af83fd,2025-05-03,00:37:03,2025-05-03T00:37:03Z,2025-05-03T00:37:03Z,NA,v3,3033,5035,NA,"Castle, Cortlan",1000127061,Right,BAY_BEA,54.16647,-127.99889,12.74338,6.20961,-4.92292,-8.40927,0.79544,-5.46957,4.67474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-05-02,19:37:20,"Green, Mason",813893,Left,BAY_BEA,Undefined,Splitter,NA,NA,78.47319,-0.332455,1.987691,1058.664701,107.792527,09:30:00,6.1697,-0.88778,6.50249,-40.09778,3.77563,-7.92205,2.52288,0.27726,72.85089,-7.782938,0.548161,0.47673,4.68681,2.4148,0.75208,50,6.12873,-3.70348,-114.20253,-1.77481,6.24667,19.219,-28.95558,49db029c-4594-4061-8743-ddb392a0c1af,NA,NA,NA,NA,-46.033412,1000124216,"Walker, Kyle",NA,NA,75.19981,Right,58.019401,77.47874,110.34671,-78.08334,162.43805,78.1267,5.410482,-45.493786,2.46325,2.92404,-0.25841,NA,NA,NA,NA,NA,1,5,ARI_SUN,1,Top,0,2,2,Slider,InPlay,Undefined,Popup,Out,1,0,NA,BAY_BEA,ARI_SUN,Baylor,D1,BIG12,20250502-Baylor-1,c6505550-27b6-11f0-beaa-35c6078645d0,79.0646,116.13489,NA,5.62231,NA,NA,NA,68678720-4696-4051-9ad9-e5c9f0af83fd,2025-05-03,00:37:20,2025-05-03T00:37:20Z,2025-05-03T00:37:20Z,Popup,v3,3033,5035,NA,"Castle, Cortlan",1000127061,Right,BAY_BEA,54.00255,-114.87414,9.6095,6.17307,-0.76296,-14.47779,0.88531,-3.92177,3.12334,179.960629,2.47073,40.40666,-11.18859,2.67475,-0.10427,-0.14756,0.04651,-0.00592,2.8e-4,2.91873,93.63341,-22.92781,1.94685,-0.1671,-0.07057,0.03398,-0.00582,3.6e-4,-0.26617,-41.89121,11.58569,-2.76789,0.107,0.15310000000000001,-0.04821,0.00613,-2.9e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Low,NA,NA,NA
6,2025-05-02,19:37:54,"Green, Mason",813893,Left,BAY_BEA,Undefined,Fastball,NA,NA,88.85216,-2.403912,1.677032,2222.128205,158.157617,11:15:00,6.18457,-0.849,6.36643,-14.40788,20.34859,-7.71304,2.76944,0.05199,81.31554,-5.188376,0.28095,0.424316,4.49181,11.61827,0.73113,50,6.00356,-3.47656,-129.04859,-5.76961,7.57827,26.73644,-12.57243,9a1ae441-c59d-4c9f-bd10-f3b60240345b,NA,NA,NA,NA,-19.66384,815408,"Hairston, Landon",4637.819732,NA,92.01617,Left,51.90666,96.4634,128.18483,-52.86588,246.43567,246.43567,6.017045,-35.280515,0.83306,2.7271,-0.08166,NA,NA,NA,NA,NA,2,1,ARI_SUN,1,Top,1,0,0,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,NA,BAY_BEA,ARI_SUN,Baylor,D1,BIG12,20250502-Baylor-1,da75a6c0-27b6-11f0-beaa-35c6078645d0,88.83107,140.4627,NA,7.53662,NA,NA,NA,68678720-4696-4051-9ad9-e5c9f0af83fd,2025-05-03,00:37:54,2025-05-03T00:37:54Z,2025-05-03T00:37:54Z,FlyBall,v3,3033,5035,NA,"Castle, Cortlan",1000127061,Right,BAY_BEA,54.135980000000004,-129.90266,13.36822,6.18145,-5.368,-6.28622,0.84605,-3.71864,3.78913,159.192378,0.83692,78.31285,-24.30431,6.63798,-1.06282,0.0243,0.02484,-0.00405,2e-4,2.7163,106.37595,-25.25302,2.62265,-0.46967,0.05371,0.00374,-0.00177,1.3e-4,-0.07997,-28.05329,-0.44752,0.75299,-0.1417,-0.01966,0.01253,-0.00191,1e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Low,NA,NA,NA
7,2025-05-02,19:38:35,"Green, Mason",813893,Left,BAY_BEA,Undefined,Fastball,NA,NA,89.79964,-3.42304,1.28585,2271.902353,157.58319,11:15:00,6.13169,-0.9234,6.40974,-15.44469,18.53068,-7.2017,1.69258,-0.34099,82.40081,-6.379457,-0.019458,0.419521,4.11225,10.94312,0.83446,50,5.87901,-2.64254,-130.35128,-8.19553,7.08902,26.90444,-13.30941,963f172f-6d86-4f6e-b5b3-8cd50ef61223,NA,NA,NA,NA,NA,823153,"King, Matt",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,ARI_SUN,1,Top,2,0,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,BAY_BEA,ARI_SUN,Baylor,D1,BIG12,20250502-Baylor-1,f31f47d0-27b6-11f0-beaa-35c6078645d0,89.84638,NA,NA,7.39883,NA,NA,NA,68678720-4696-4051-9ad9-e5c9f0af83fd,2025-05-03,00:38:35,2025-05-03T00:38:35Z,2025-05-03T00:38:35Z,NA,v3,3033,5035,NA,"Castle, Cortlan",1000127061,Right,BAY_BEA,54.09261,-131.19328,13.45222,6.12897,-7.779,-6.6547,0.92063,-2.86439,3.54451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-05-02,19:38:49,"Green, Mason",813893,Left,BAY_BEA,Undefined,Fastball,NA,NA,88.24901,-2.068509,2.047436,2188.06445,148.675556,11:00:00,6.11249,-0.84264,6.3836,-17.69824,17.45119,-9.95378,2.73264,0.21225,80.92908,-5.446337,0.245238,0.426708,5.80217,10.03284,0.69973,50,5.95503,-4.20761,-128.22134,-5.11049,9.67546,26.09961,-15.44373,ac4d2dc3-cf38-43ae-aec2-d9773cd25a04,NA,NA,NA,NA,-17.502138,823153,"King, Matt",1828.969751,NA,93.06041,Right,20.66495,104.22716,36.95466,-35.16655,335.92871,327.62837,3.919178,-20.193304,1.19498,2.71699,-0.21717,NA,NA,NA,NA,NA,3,2,ARI_SUN,1,Top,2,1,0,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,NA,BAY_BEA,ARI_SUN,Baylor,D1,BIG12,20250502-Baylor-1,fb631070-27b6-11f0-beaa-35c6078645d0,88.33318,46.54051,NA,7.31993,NA,NA,NA,68678720-4696-4051-9ad9-e5c9f0af83fd,2025-05-03,00:38:49,2025-05-03T00:38:49Z,2025-05-03T00:38:49Z,LineDrive,v3,3033,5035,NA,"Castle, Cortlan",1000127061,Right,BAY_BEA,54.12028,-129.0573,13.0498,6.11079,-4.61584,-7.72187,0.83947,-4.51751,4.83773,160.333521,1.19426,121.8182,-20.67677,4.93941,-1.20735,0.31647,-0.07642,0.01203,-8.1e-4,2.71828,48.12665,-13.33189,-0.43057,0.58823,-0.3007,0.09405,-0.0152,9.6e-4,-0.21718,-38.40545,2.66549,0.12595,-0.09015,-0.00718,0.01086,-0.00256,2e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA
9,2025-05-02,19:41:44,"Jacobs, Ben",800624,Left,ARI_SUN,Undefined,Fastball,NA,NA,91.05336,-2.321917,0.767499,2216.557882,142.432042,10:45:00,5.82567,-0.80718,5.68174,-16.00375,18.2667,-13.13914,2.32613,-1.18659,82.59518,-5.369139,-1.581815,0.421339,6.87205,10.31186,0.75075,50,5.62002,-1.17609,-132.02022,-5.83255,12.02561,30.33191,-14.12896,193524a0-7f46-4d9b-bd97-af8298f9fce9,NA,NA,NA,NA,NA,801622,"Apodaca, Enzo",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,BAY_BEA,1,Bottom,0,0,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,BAY_BEA,ARI_SUN,Baylor,D1,BIG12,20250502-Baylor-1,63731430-27b7-11f0-beaa-35c6078645d0,89.45877,NA,NA,8.45818,NA,NA,NA,68678720-4696-4051-9ad9-e5c9f0af83fd,2025-05-03,00:41:44,2025-05-03T00:41:44Z,2025-05-03T00:41:44Z,NA,v3,3033,5035,NA,"Briggs, Brody",806486,Right,ARI_SUN,54.81858,-133.1227,15.16596,5.82268,-5.319,-7.06448,0.80144,-1.61319,6.01281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-05-02,19:42:00,"Jacobs, Ben",800624,Left,ARI_SUN,Undefined,Fastball,NA,NA,91.49558,-2.768176,1.415339,2333.147103,148.828962,11:00:00,5.81389,-0.83924,5.5632,-14.29524,19.9145,-11.30906,2.03356,-0.45906,82.75601,-5.509783,-0.60164,0.420965,6.11469,11.24812,0.72449,50,5.56551,-2.75105,-132.51761,-6.82003,10.75891,31.09871,-12.3827,380c0a52-6e12-4255-a9ed-093f7a7daa98,NA,NA,NA,NA,NA,801622,"Apodaca, Enzo",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,BAY_BEA,1,Bottom,0,1,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,BAY_BEA,ARI_SUN,Baylor,D1,BIG12,20250502-Baylor-1,6d7c5a90-27b7-11f0-beaa-35c6078645d0,89.53815,NA,NA,8.73957,NA,NA,NA,68678720-4696-4051-9ad9-e5c9f0af83fd,2025-05-03,00:42:00,2025-05-03T00:42:00Z,2025-05-03T00:42:00Z,NA,v3,3033,5035,NA,"Briggs, Brody",806486,Right,ARI_SUN,54.93626,-133.67101,15.54935,5.80994,-6.36077,-6.19135,0.83392,-3.15008,5.37946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
