PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-21,17:02:45,"Perkins, Wilson",1000217662,Right,DAV_WIL,Undefined,Fastball,NA,NA,90.3002,-2.311407,-1.207484,2001.600994,182.19811,12:00:00,6.20482,1.12894,5.88939,-16.34021,18.55253,0.66201,2.69525,0.06274,81.19765,-5.452485,-1.088688,0.425147,-0.73409,10.60296,-1.03197,50,6.00907,2.72768,-130.80099,-5.7355,-1.2493,32.14513,-14.13011,60c7880d-7062-4409-94eb-fff5b3db8e51,NA,NA,NA,NA,NA,10109198,"Chiaravallo, Michael",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,BUC_BIS,1,Top,0,0,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,DAV_WIL,BUC_BIS,WilsonField,D1,A10,20250221-WilsonField-1,94da1040-f09f-11ef-8fbf-0b2832a7adb3,88.6575,NA,NA,9.10256,NA,NA,NA,ec4ff956-ec78-4460-8853-794c72be5f63,2025-02-21,22:02:45,2025-02-21T22:02:45Z,2025-02-21T22:02:45Z,NA,v3,471280,471249,21 February 2025 17:30-bucknell@davidson,"Jouras, Noah",1000282260,Right,DAV_WIL,54.60576,-131.92803,16.07257,6.20148,-5.24008,-7.06505,-1.12837,2.77148,-0.62465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-02-21,17:02:57,"Perkins, Wilson",1000217662,Right,DAV_WIL,Undefined,Sinker,NA,NA,91.28725,-2.092079,-1.195603,1980.539546,246.316638,02:15:00,6.2122,0.9271,5.88255,-24.86442,9.56819,18.70442,2.19605,1.37532,81.59467,-6.761914,2.164488,0.422334,-10.02205,6.03118,-0.84151,50,6.02915,1.93894,-132.2089,-5.66746,-17.23962,35.57215,-21.79943,c332823a-a47f-42c3-b1d6-05d676c783f0,NA,NA,NA,NA,NA,10109198,"Chiaravallo, Michael",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,BUC_BIS,1,Top,0,0,1,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,DAV_WIL,BUC_BIS,WilsonField,D1,A10,20250221-WilsonField-1,9c6f2250-f09f-11ef-8fbf-0b2832a7adb3,89.24786,NA,NA,9.69258,NA,NA,NA,ec4ff956-ec78-4460-8853-794c72be5f63,2025-02-21,22:02:57,2025-02-21T22:02:57Z,2025-02-21T22:02:57Z,NA,v3,471280,471249,21 February 2025 17:30-bucknell@davidson,"Jouras, Noah",1000282260,Right,DAV_WIL,54.61508,-133.44486,17.78607,6.21291,-4.91004,-10.89971,-0.91929,2.53794,-8.61981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-02-21,17:03:10,"Perkins, Wilson",1000217662,Right,DAV_WIL,Undefined,Fastball,NA,NA,92.22842,-2.984509,-1.064094,1991.995038,207.700256,01:00:00,6.2464,0.87242,5.92172,-17.87674,15.4804,7.4843,1.98412,0.50854,83.20859,-6.380903,0.280541,0.415686,-4.18815,9.26142,-0.79153,50,5.9973,2.15447,-133.61227,-7.51651,-7.44901,33.11704,-15.70178,ceb3d3ab-c002-4d38-9020-d716338a8a8c,NA,NA,NA,NA,19.302235,10109198,"Chiaravallo, Michael",2387.694635,NA,103.58605,Right,2.496799,NA,NA,NA,70.74863,69.79167,0.502588,20.549763,0.72312,1.91399,-0.56583,NA,NA,NA,NA,NA,1,3,BUC_BIS,1,Top,0,1,1,Four-Seam,InPlay,Undefined,GroundBall,Single,0,0,NA,DAV_WIL,BUC_BIS,WilsonField,D1,A10,20250221-WilsonField-1,a40a00c0-f09f-11ef-8fbf-0b2832a7adb3,90.67518,2.41371,NA,9.01984,NA,NA,NA,ec4ff956-ec78-4460-8853-794c72be5f63,2025-02-21,22:03:10,2025-02-21T22:03:10Z,2025-02-21T22:03:10Z,GroundBall,v3,471280,471249,21 February 2025 17:30-bucknell@davidson,"Jouras, Noah",1000282260,Right,DAV_WIL,54.57606,-134.74172,16.55852,6.24451,-6.981,-7.85089,-0.86933,2.40852,-3.7245,293.985923,0.75116,142.49806,-24.34152,NA,NA,NA,NA,NA,NA,1.93176,6.14098,-19.93207,NA,NA,NA,NA,NA,NA,-0.5737,50.3856,0.36378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
4,2025-02-21,17:03:44,"Perkins, Wilson",1000217662,Right,DAV_WIL,Undefined,Sinker,NA,NA,90.51995,-1.84846,-1.234382,1788.668914,235.774635,01:45:00,6.15217,1.15285,6.11055,-23.93824,10.61382,13.65828,2.44709,1.14945,81.20552,-6.369806,1.22905,0.423066,-7.38433,6.49815,-1.06462,50,5.99798,2.22809,-131.17053,-4.99681,-12.57688,33.54666,-21.10649,8543f297-b0d0-408f-a9f8-c425574b5964,NA,NA,NA,NA,NA,1000274079,"Trommer, Michael",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,BUC_BIS,1,Top,0,0,0,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,DAV_WIL,BUC_BIS,WilsonField,D1,A10,20250221-WilsonField-1,b8439d80-f09f-11ef-8fbf-0b2832a7adb3,89.09346,NA,NA,9.31443,NA,NA,NA,ec4ff956-ec78-4460-8853-794c72be5f63,2025-02-21,22:03:44,2025-02-21T22:03:44Z,2025-02-21T22:03:44Z,NA,v3,471280,471249,21 February 2025 17:30-bucknell@davidson,"Jouras, Noah",1000282260,Right,DAV_WIL,54.38445,-132.28709,16.77333,6.15261,-4.29431,-10.55325,-1.14574,2.6467,-6.28844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-02-21,17:04:00,"Perkins, Wilson",1000217662,Right,DAV_WIL,Undefined,Fastball,NA,NA,92.07827,-0.992074,-0.662471,1935.157502,208.193579,01:00:00,6.18234,1.02679,5.75063,-20.50741,13.2193,6.41083,3.54965,0.94426,82.64875,-4.87258,0.485449,0.417983,-3.43319,7.40457,-0.9755,50,6.08771,1.24236,-133.41839,-2.98478,-6.0739,33.65346,-19.07414,4f704a22-1a24-45cb-956e-171cd08ece53,NA,NA,NA,NA,NA,1000274079,"Trommer, Michael",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,BUC_BIS,1,Top,0,0,1,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,DAV_WIL,BUC_BIS,WilsonField,D1,A10,20250221-WilsonField-1,c1a9c610-f09f-11ef-8fbf-0b2832a7adb3,90.177,NA,NA,9.42952,NA,NA,NA,ec4ff956-ec78-4460-8853-794c72be5f63,2025-02-21,22:04:00,2025-02-21T22:04:00Z,2025-02-21T22:04:00Z,NA,v3,471280,471249,21 February 2025 17:30-bucknell@davidson,"Jouras, Noah",1000282260,Right,DAV_WIL,54.74311,-134.60948,16.82673,6.1814,-2.3097,-9.53707,-1.02327,1.45734,-3.03695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-02-21,17:04:20,"Perkins, Wilson",1000217662,Right,DAV_WIL,Undefined,Sinker,NA,NA,91.07993,-2.432413,-1.672442,1992.663874,239.70913,02:00:00,6.14669,1.10259,5.89737,-23.82446,10.70875,16.01001,1.90074,0.88361,81.53158,-6.914092,1.203775,0.422951,-8.74052,6.72611,-0.97698,50,5.93741,3.13797,-131.84794,-6.39276,-14.9957,34.65837,-20.63436,a8a82481-d300-4c30-9a77-2c03024137b0,NA,NA,NA,NA,NA,1000274079,"Trommer, Michael",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,BUC_BIS,1,Top,0,1,1,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,DAV_WIL,BUC_BIS,WilsonField,D1,A10,20250221-WilsonField-1,cd71d370-f09f-11ef-8fbf-0b2832a7adb3,89.11778,NA,NA,9.54835,NA,NA,NA,ec4ff956-ec78-4460-8853-794c72be5f63,2025-02-21,22:04:20,2025-02-21T22:04:20Z,2025-02-21T22:04:20Z,NA,v3,471280,471249,21 February 2025 17:30-bucknell@davidson,"Jouras, Noah",1000282260,Right,DAV_WIL,54.5988,-133.05131,17.32918,6.14694,-5.67632,-10.31718,-1.09497,3.65864,-7.49785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-02-21,17:04:39,"Perkins, Wilson",1000217662,Right,DAV_WIL,Undefined,Curveball,NA,NA,79.74257,-0.812033,-1.761399,2269.850458,1.095721,06:00:00,6.11272,1.101,5.51469,-53.94857,-8.60823,-0.19575,0.85728,-0.56289,72.55087,-10.616209,-1.796408,0.484634,-0.49224,-3.71807,-0.94732,50,6.00537,3.56279,-115.60855,-3.49063,-0.65299,25.54072,-37.10619,100ec01d-750b-463f-8612-b8dbc30bfa82,NA,NA,NA,NA,NA,1000274079,"Trommer, Michael",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,BUC_BIS,1,Top,0,1,2,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,DAV_WIL,BUC_BIS,WilsonField,D1,A10,20250221-WilsonField-1,d8f97c70-f09f-11ef-8fbf-0b2832a7adb3,77.7751,NA,NA,7.1917,NA,NA,NA,ec4ff956-ec78-4460-8853-794c72be5f63,2025-02-21,22:04:39,2025-02-21T22:04:39Z,2025-02-21T22:04:39Z,NA,v3,471280,471249,21 February 2025 17:30-bucknell@davidson,"Jouras, Noah",1000282260,Right,DAV_WIL,54.98664,-116.70502,12.77036,6.12103,-1.89765,-18.55309,-1.10087,3.59083,-0.3265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-02-21,17:05:04,"Perkins, Wilson",1000217662,Right,DAV_WIL,Undefined,Fastball,NA,NA,91.27436,-2.05034,-1.006388,2023.285309,187.457521,12:15:00,6.14176,1.04128,5.98384,-19.92182,13.87812,1.66091,2.58006,0.24678,82.64264,-5.818378,-0.707666,0.418436,-1.17173,8.12516,-0.96274,50,5.96888,2.25486,-132.39166,-5.36467,-2.05412,31.49862,-17.92993,2dce306a-22ab-44d3-8c03-9b6ba5acc259,NA,NA,NA,NA,NA,1000274079,"Trommer, Michael",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,BUC_BIS,1,Top,0,2,2,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,DAV_WIL,BUC_BIS,WilsonField,D1,A10,20250221-WilsonField-1,e7993ae0-f09f-11ef-8fbf-0b2832a7adb3,90.07927,NA,NA,8.63172,NA,NA,NA,ec4ff956-ec78-4460-8853-794c72be5f63,2025-02-21,22:05:04,2025-02-21T22:05:04Z,2025-02-21T22:05:04Z,NA,v3,471280,471249,21 February 2025 17:30-bucknell@davidson,"Jouras, Noah",1000282260,Right,DAV_WIL,54.5145,-133.46143,15.74931,6.14074,-4.75573,-8.96496,-1.04051,2.32462,-1.02706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-02-21,17:05:41,"Perkins, Wilson",1000217662,Right,DAV_WIL,Undefined,Fastball,NA,NA,91.81139,0.587083,-1.119487,2003.530701,200.287746,12:45:00,6.22494,1.24664,5.86423,-20.25438,13.18548,4.4552,5.08259,0.57779,83.06843,-3.244439,-0.320553,0.416202,-2.58862,6.8844900000000004,-1.15836,50,6.26083,2.40065,-133.20548,0.71047,-4.61218,30.84531,-19.90778,34212a20-c098-41c6-b6f3-b072f3dccba0,NA,NA,NA,NA,NA,1000274079,"Trommer, Michael",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,BUC_BIS,1,Top,0,2,2,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,DAV_WIL,BUC_BIS,WilsonField,D1,A10,20250221-WilsonField-1,fde515d0-f09f-11ef-8fbf-0b2832a7adb3,90.56295,NA,NA,8.74297,NA,NA,NA,ec4ff956-ec78-4460-8853-794c72be5f63,2025-02-21,22:05:41,2025-02-21T22:05:41Z,2025-02-21T22:05:41Z,NA,v3,471280,471249,21 February 2025 17:30-bucknell@davidson,"Jouras, Noah",1000282260,Right,DAV_WIL,54.63156,-134.27369,15.42265,6.22429,1.3999,-9.95389,-1.24426,2.56037,-2.30609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-02-21,17:07:09,"Perkins, Wilson",1000217662,Right,DAV_WIL,Undefined,Curveball,NA,NA,77.22473,1.523521,-1.033896,2272.156731,17.187787,06:30:00,6.22862,1.23241,5.42844,-58.21291,-9.99052,-3.6024,2.80503,-0.03622,70.31166,-9.071654,-1.676066,0.4998,1.47102,-4.91772,-1.13823,50,6.32378,2.16455,-112.00044,0.97027,1.84402,22.70681,-38.33865,4b689a0a-4a42-4b60-888b-f9d8a9e1e083,NA,NA,NA,NA,NA,1000274079,"Trommer, Michael",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,7,BUC_BIS,1,Top,0,3,2,Curveball,StrikeCalled,Strikeout,Undefined,Undefined,0,0,NA,DAV_WIL,BUC_BIS,WilsonField,D1,A10,20250221-WilsonField-1,3285d540-f0a0-11ef-8fbf-0b2832a7adb3,75.41511,NA,NA,6.91308,NA,NA,NA,ec4ff956-ec78-4460-8853-794c72be5f63,2025-02-21,22:07:09,2025-02-21T22:07:09Z,2025-02-21T22:07:09Z,NA,v3,471280,471249,21 February 2025 17:30-bucknell@davidson,"Jouras, Noah",1000282260,Right,DAV_WIL,55.07208,-113.02407,11.35341,6.24108,2.69858,-19.16932,-1.23394,2.08143,0.92201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
