PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-21,15:06:19,"Vigue, Dylan",10092010,Right,MIC_WOL,Undefined,Fastball,NA,NA,95.35356,-1.746748,-7.123855,2362.505235,249.777718,02:15:00,5.23404,4.09167,6.29376,-22.74202,8.10622,19.10473,1.71629,-0.91464,86.43893,-6.01765,-3.7069,0.399748,-11.96812,5.04776,-3.57376,50,5.09369,16.34798,-137.47955,-4.98042,-22.7757,32.09291,-22.568,f15602bb-7564-4bb6-bb80-2ffa6084be77,NA,NA,NA,NA,NA,823055,"Griffin, Colton",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,TCU_HFG,1,Top,0,0,0,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,MIC_WOL,TCU_HFG,Arlington,D1,BIG12,20250221-Arlington-1,b2bdb600-f097-11ef-81c0-f7b1985596c8,94.29043,NA,NA,8.91463,NA,NA,NA,b265fd9f-e5f5-462f-bd97-8386b6ff17c5,2025-02-21,21:06:19,2025-02-21T21:06:19Z,2025-02-21T21:06:19Z,NA,v3,2290,5045,NA,"Spear, Matt",1000126763,Right,MIC_WOL,54.20442,-138.45754,16.04646,5.23498,-4.29269,-11.284,-4.08252,17.04204,-11.38785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-02-21,15:06:31,"Vigue, Dylan",10092010,Right,MIC_WOL,Undefined,Fastball,NA,NA,94.41263,-0.891217,-5.932319,2249.746747,272.090203,03:00:00,5.23952,4.01953,6.04271,-31.27891,0.37902,19.55737,1.80331,0.13723,85.62312,-6.677817,-2.4343,0.404961,-11.75524,0.83268,-3.5657,50,5.15323,13.29265,-136.42962,-3.29734,-21.98787,32.14009,-30.61653,8ed6b1a9-7289-4a1f-9406-777e9ad9ecc1,NA,NA,NA,NA,NA,823055,"Griffin, Colton",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,TCU_HFG,1,Top,0,1,0,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,MIC_WOL,TCU_HFG,Arlington,D1,BIG12,20250221-Arlington-1,b99f5690-f097-11ef-81c0-f7b1985596c8,93.07682,NA,NA,8.78951,NA,NA,NA,b265fd9f-e5f5-462f-bd97-8386b6ff17c5,2025-02-21,21:06:31,2025-02-21T21:06:31Z,2025-02-21T21:06:31Z,NA,v3,2290,5045,NA,"Spear, Matt",1000126763,Right,MIC_WOL,54.45559,-137.47526,16.07005,5.24429,-2.30126,-15.30826,-4.0098,14.008,-10.99393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-02-21,15:06:45,"Vigue, Dylan",10092010,Right,MIC_WOL,Undefined,Fastball,NA,NA,95.19807,-2.257808,-7.047709,2300.786215,263.921354,02:45:00,5.26481,4.02562,6.3073,-27.88155,3.16095,19.36131,0.84449,-0.88638,86.23305,-7.4487,-3.579751,0.401005,-12.19686,2.66937,-3.51528,50,5.08487,16.12879,-137.21662,-6.42107,-23.03239,33.06596,-27.13326,ac6eef12-274d-4c91-9f44-247c6446dcd3,NA,NA,NA,NA,NA,823055,"Griffin, Colton",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,TCU_HFG,1,Top,0,1,1,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,MIC_WOL,TCU_HFG,Arlington,D1,BIG12,20250221-Arlington-1,c2037870-f097-11ef-81c0-f7b1985596c8,93.99495,NA,NA,8.96502,NA,NA,NA,b265fd9f-e5f5-462f-bd97-8386b6ff17c5,2025-02-21,21:06:45,2025-02-21T21:06:45Z,2025-02-21T21:06:45Z,NA,v3,2290,5045,NA,"Spear, Matt",1000126763,Right,MIC_WOL,54.1914,-138.22295,16.53298,5.26772,-5.59529,-13.56663,-4.01681,16.82976,-11.51619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-02-21,15:06:59,"Vigue, Dylan",10092010,Right,MIC_WOL,Undefined,Fastball,NA,NA,94.34607,-1.719952,-5.476953,2328.181299,258.53317500000003,02:30:00,5.254,4.14106,6.05682,-26.56139,5.13012,19.82403,1.44079,0.70814,85.49483,-6.666029,-1.925998,0.405175,-11.81922,3.50418,-3.7247,50,5.10573,12.19244,-136.37878,-5.05886,-22.06486,32.44543,-25.6322,f0d741e0-ff38-4747-b83c-06d041a0047c,NA,NA,NA,NA,NA,823055,"Griffin, Colton",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,TCU_HFG,1,Top,0,2,1,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,MIC_WOL,TCU_HFG,Arlington,D1,BIG12,20250221-Arlington-1,ca353fb0-f097-11ef-81c0-f7b1985596c8,93.02748,NA,NA,8.85123,NA,NA,NA,b265fd9f-e5f5-462f-bd97-8386b6ff17c5,2025-02-21,21:06:59,2025-02-21T21:06:59Z,2025-02-21T21:06:59Z,NA,v3,2290,5045,NA,"Spear, Matt",1000126763,Right,MIC_WOL,54.44133,-137.43134,16.22271,5.25635,-4.22734,-12.8161,-4.13185,12.90825,-11.03243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-02-21,15:07:15,"Vigue, Dylan",10092010,Right,MIC_WOL,Undefined,Fastball,NA,NA,94.78193,-0.675448,-5.396842,2268.768783,272.512302,03:00:00,5.21581,3.94831,6.14233,-31.12277,0.22118,20.30375,1.99526,0.63826,85.6607,-6.454487,-1.752909,0.402947,-12.06823,0.70035,-3.54576,50,5.14855,12.0352,-137.07209,-2.76848,-22.69559,33.56127,-30.85695,78be24bb-5d2d-40b6-a797-6d8f85216391,NA,NA,NA,NA,NA,823055,"Griffin, Colton",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,TCU_HFG,1,Top,0,3,1,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,MIC_WOL,TCU_HFG,Arlington,D1,BIG12,20250221-Arlington-1,d3ddc870-f097-11ef-81c0-f7b1985596c8,93.54189,NA,NA,9.12122,NA,NA,NA,b265fd9f-e5f5-462f-bd97-8386b6ff17c5,2025-02-21,21:07:15,2025-02-21T21:07:15Z,2025-02-21T21:07:15Z,NA,v3,2290,5045,NA,"Spear, Matt",1000126763,Right,MIC_WOL,54.35556,-138.13441,16.780639999999998,5.22072,-1.79177,-15.42848,-3.93808,12.75359,-11.3478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-02-21,15:07:30,"Vigue, Dylan",10092010,Right,MIC_WOL,Undefined,Fastball,NA,NA,95.0869,-1.029505,-4.115541,2306.259014,256.149795,02:30:00,5.27284,4.13085,6.18095,-25.17942,5.70512,18.85682,2.22133,1.8953,86.25223,-5.740948,-0.720607,0.399983,-10.86528,3.60414,-3.8282,50,5.18244,9.06071,-137.77906,-3.36571,-20.72928,32.75104,-25.29789,422ab12f-1223-4d68-9fa7-5059044040c1,NA,NA,NA,NA,NA,823055,"Griffin, Colton",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,TCU_HFG,1,Top,0,3,2,Sinker,BallCalled,Walk,Undefined,Undefined,0,0,NA,MIC_WOL,TCU_HFG,Arlington,D1,BIG12,20250221-Arlington-1,dce15ea0-f097-11ef-81c0-f7b1985596c8,94.23501,NA,NA,8.83467,NA,NA,NA,b265fd9f-e5f5-462f-bd97-8386b6ff17c5,2025-02-21,21:07:30,2025-02-21T21:07:30Z,2025-02-21T21:07:30Z,NA,v3,2290,5045,NA,"Spear, Matt",1000126763,Right,MIC_WOL,54.31598,-138.80121,16.37552,5.27517,-2.57617,-12.64895,-4.12108,9.70766,-10.36464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-02-21,15:08:02,"Vigue, Dylan",10092010,Right,MIC_WOL,Undefined,Fastball,NA,NA,94.96357,-1.19255,-5.136476,2349.342112,257.704555,02:30:00,5.28892,4.10713,6.00839,-25.91364,5.28233,19.38462,2.02002,0.9511,86.25637,-6.015397,-1.665418,0.401995,-11.392760000000001,3.39965,-3.71296,50,5.18092,11.46973,-137.40138,-3.80873,-21.66351,31.95967,-25.70957,47905c85-b41d-4795-8def-215948e36721,NA,NA,NA,NA,NA,822347,"Cadena, Isaac",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,TCU_HFG,1,Top,0,0,0,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,MIC_WOL,TCU_HFG,Arlington,D1,BIG12,20250221-Arlington-1,efd498b0-f097-11ef-81c0-f7b1985596c8,93.76351,NA,NA,8.7072,NA,NA,NA,b265fd9f-e5f5-462f-bd97-8386b6ff17c5,2025-02-21,21:08:02,2025-02-21T21:08:02Z,2025-02-21T21:08:02Z,NA,v3,2290,5045,NA,"Spear, Matt",1000126763,Right,MIC_WOL,54.48964,-138.44174,15.97983,5.29128,-2.97183,-12.85479,-4.09781,12.17492,-10.83176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-02-21,15:08:22,"Vigue, Dylan",10092010,Right,MIC_WOL,Undefined,Cutter,NA,NA,89.50515,-0.976293,-4.041023,2657.414897,192.244921,12:30:00,5.34484,4.21521,6.04276,-31.14809,3.34398,0.51386,1.84294,0.51049,82.82807,-6.711714,-3.948854,0.422699,-1.28445,2.27917,-3.90017,50,5.25174,9.15442,-129.8781,-3.29133,-2.21399,24.87238,-28.24545,709fed43-6a3f-4f05-bb6f-500b52f70a6d,NA,NA,NA,NA,NA,822347,"Cadena, Isaac",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,TCU_HFG,1,Top,0,0,1,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,MIC_WOL,TCU_HFG,Arlington,D1,BIG12,20250221-Arlington-1,fba92930-f097-11ef-81c0-f7b1985596c8,89.17094,NA,NA,6.67708,NA,NA,NA,b265fd9f-e5f5-462f-bd97-8386b6ff17c5,2025-02-21,21:08:22,2025-02-21T21:08:22Z,2025-02-21T21:08:22Z,NA,v3,2290,5045,NA,"Spear, Matt",1000126763,Right,MIC_WOL,54.45665,-130.72878,12.43619,5.34779,-2.32527,-14.12272,-4.21457,9.23014,-1.107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-02-21,15:08:43,"Vigue, Dylan",10092010,Right,MIC_WOL,Undefined,Slider,NA,NA,83.99202,-0.479504,-2.520427,2477.312634,79.170678,08:45:00,5.30453,4.08394,6.19312,-40.29427,-1.15764,-12.17623,1.50355,0.74086,77.46974,-7.901405,-4.716517,0.45026,5.58579,-0.06752,-3.88834,50,5.24848,5.83772,-122.03189,-2.32697,8.42114,24.06498,-32.27582,756645ae-c82c-4d9b-9ca2-9a0131ecca8b,NA,NA,NA,NA,NA,822347,"Cadena, Isaac",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,TCU_HFG,1,Top,0,0,2,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,MIC_WOL,TCU_HFG,Arlington,D1,BIG12,20250221-Arlington-1,083aa110-f098-11ef-81c0-f7b1985596c8,83.71267,NA,NA,6.52228,NA,NA,NA,b265fd9f-e5f5-462f-bd97-8386b6ff17c5,2025-02-21,21:08:43,2025-02-21T21:08:43Z,2025-02-21T21:08:43Z,NA,v3,2290,5045,NA,"Spear, Matt",1000126763,Right,MIC_WOL,54.30618,-122.87814,12.03249,5.31035,-1.19198,-16.13791,-4.08842,5.54158,4.21057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-02-21,15:09:32,"Vigue, Dylan",10092010,Right,MIC_WOL,Undefined,Fastball,NA,NA,94.23942,-2.165014,-7.662818,2373.884678,254.244734,02:30:00,5.39312,4.09059,6.04717,-25.28434,6.66347,19.69974,1.26278,-1.4043,85.54894,-6.867691,-4.161644,0.40681,-12.28091,4.40693,-3.50071,50,5.20959,17.36396,-135.62951,-6.06151,-22.77657,30.86691,-24.00078,d1a8f33a-d989-480c-bd2e-48828a70fdf9,NA,NA,NA,NA,NA,822347,"Cadena, Isaac",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,TCU_HFG,1,Top,0,1,2,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,MIC_WOL,TCU_HFG,Arlington,D1,BIG12,20250221-Arlington-1,259b3a80-f098-11ef-81c0-f7b1985596c8,92.65362,NA,NA,8.69049,NA,NA,NA,b265fd9f-e5f5-462f-bd97-8386b6ff17c5,2025-02-21,21:09:32,2025-02-21T21:09:32Z,2025-02-21T21:09:32Z,NA,v3,2290,5045,NA,"Spear, Matt",1000126763,Right,MIC_WOL,54.4508,-136.63868,15.43346,5.39493,-5.27683,-12.00039,-4.08058,18.10862,-11.38828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
