PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-21,15:05:02,"Gravel, Alexis",683325,Left,MCN_COW,Undefined,Fastball,NA,NA,90.44195,-2.516122,2.743768,2134.513779,142.041478,10:45:00,6.11469,-1.17549,5.25398,-15.22174,20.01265,-14.67965,2.47766,0.1814,82.24056,-5.40336,0.143504,0.427223,8.14241,11.08753,0.93505,50,5.87283,-5.5979,-130.96724,-6.24257,14.08599,28.68702,-12.99316,28b2d15b-9f2a-4c43-9bd4-729a86c0497e,NA,NA,NA,NA,NA,804062,"Rice, Trent",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,OAK_GOL,1,Top,0,0,0,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,MCN_COW,OAK_GOL,JoeMillerBallpark,D1,SLAND,20250221-JoeMillerBallpark-1,84e039b0-f097-11ef-962d-9bc36debf459,88.22657,NA,NA,8.20139,NA,NA,NA,83dca69f-10d6-4451-aa75-8da54db49e2c,2025-02-21,21:05:02,2025-02-21T21:05:02Z,2025-02-21T21:05:02Z,NA,v3,mcneese,471397,21 February 2025 19:00-oakland@mcneese,"Mangrum, Grant",1000181501,Right,MCN_COW,55.24701,-132.11154,14.34351,6.11151,-5.72428,-6.49658,1.16955,-6.15978,7.043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-02-21,15:05:16,"Gravel, Alexis",683325,Left,MCN_COW,Undefined,Slider,NA,NA,81.15616,-0.022488,0.163802,2133.622681,303.953469,04:15:00,5.97524,-1.33026,4.93718,-44.69754,-0.69618,3.10445,2.22919,-0.91673,74.48576,-8.09892,0.712237,0.477424,-1.48744,0.08728,1.31163,50,5.93595,-0.47015,-117.75471,-1.72275,-2.08534,22.67505,-32.05166,cbcde571-b7f3-4022-884d-9badd6f4c813,NA,NA,NA,NA,NA,804062,"Rice, Trent",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,OAK_GOL,1,Top,0,0,1,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,MCN_COW,OAK_GOL,JoeMillerBallpark,D1,SLAND,20250221-JoeMillerBallpark-1,8d316fd0-f097-11ef-962d-9bc36debf459,78.9496,NA,NA,6.6704,NA,NA,NA,83dca69f-10d6-4451-aa75-8da54db49e2c,2025-02-21,21:05:16,2025-02-21T21:05:16Z,2025-02-21T21:05:16Z,NA,v3,mcneese,471397,21 February 2025 19:00-oakland@mcneese,"Mangrum, Grant",1000181501,Right,MCN_COW,55.56444,-118.82138,11.33752,5.98153,-0.21499,-16.02583,1.33144,-0.37206,-1.04267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-02-21,15:05:31,"Gravel, Alexis",683325,Left,MCN_COW,Undefined,Slider,NA,NA,83.07076,-0.989934,0.346001,2182.573951,267.858413,03:00:00,6.05319,-1.16816,4.79244,-40.78656,1.45654,2.9904,1.71602,-0.59105,76.27674,-8.339965,0.872965,0.467788,-1.38024,1.36866,1.13087,50,5.91881,-0.85945,-120.48677,-3.65762,-2.02567,23.76689,-30.16538,e3c1facc-7c53-4333-8170-73ce2786ceb9,NA,NA,NA,NA,NA,804062,"Rice, Trent",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,OAK_GOL,1,Top,0,0,2,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,NA,MCN_COW,OAK_GOL,JoeMillerBallpark,D1,SLAND,20250221-JoeMillerBallpark-1,966b7f50-f097-11ef-962d-9bc36debf459,80.57587,NA,NA,6.79403,NA,NA,NA,83dca69f-10d6-4451-aa75-8da54db49e2c,2025-02-21,21:05:31,2025-02-21T21:05:31Z,2025-02-21T21:05:31Z,NA,v3,mcneese,471397,21 February 2025 19:00-oakland@mcneese,"Mangrum, Grant",1000181501,Right,MCN_COW,55.70954,-121.6078,11.88344,6.05778,-2.23478,-15.08269,1.16915,-0.76391,-1.01283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-02-21,15:06:02,"Gravel, Alexis",683325,Left,MCN_COW,Undefined,Slider,NA,NA,82.03396,-0.379296,1.143142,2181.179606,323.35102,04:45:00,6.07824,-1.16822,5.08249,-45.11447,-2.43992,2.77575,1.96109,0.14082,75.6812,-8.524009,1.634821,0.470171,-1.07492,-0.74551,1.05763,50,6.00645,-2.4936,-119.10187,-2.46976,-1.54741,22.40262,-33.24724,68ffd90a-1b93-421d-9535-b3bc4211ae2e,NA,NA,NA,NA,NA,1000315303,"Orr, Aidan",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,OAK_GOL,1,Top,1,0,0,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,MCN_COW,OAK_GOL,JoeMillerBallpark,D1,SLAND,20250221-JoeMillerBallpark-1,a8ebac40-f097-11ef-962d-9bc36debf459,80.16749,NA,NA,6.35276,NA,NA,NA,83dca69f-10d6-4451-aa75-8da54db49e2c,2025-02-21,21:06:02,2025-02-21T21:06:02Z,2025-02-21T21:06:02Z,NA,v3,mcneese,471397,21 February 2025 19:00-oakland@mcneese,"Mangrum, Grant",1000181501,Right,MCN_COW,55.42066,-120.11715,11.20131,6.08424,-0.96301,-16.62362,1.16905,-2.42347,-0.7737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-02-21,15:06:18,"Gravel, Alexis",683325,Left,MCN_COW,Undefined,Slider,NA,NA,82.14897,-0.802428,1.26182,2183.115599,329.606757,05:00:00,6.06366,-1.02797,4.94847,-45.38109,-2.58882,2.27992,1.52339,0.35463,75.83969,-8.965382,1.664804,0.470819,-0.79035,-0.70724,0.90349,50,5.94793,-2.72354,-119.22983,-3.39182,-1.13994,22.50439,-33.1941,b8600bc2-6616-40e2-9dbb-78683b36c8ee,NA,NA,NA,NA,NA,1000315303,"Orr, Aidan",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,OAK_GOL,1,Top,1,0,1,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,MCN_COW,OAK_GOL,JoeMillerBallpark,D1,SLAND,20250221-JoeMillerBallpark-1,b23217d0-f097-11ef-962d-9bc36debf459,80.05718,NA,NA,6.30927,NA,NA,NA,83dca69f-10d6-4451-aa75-8da54db49e2c,2025-02-21,21:06:18,2025-02-21T21:06:18Z,2025-02-21T21:06:18Z,NA,v3,mcneese,471397,21 February 2025 19:00-oakland@mcneese,"Mangrum, Grant",1000181501,Right,MCN_COW,55.5548,-120.27371,11.2522,6.06955,-1.85208,-16.59705,1.0286,-2.67066,-0.56997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-02-21,15:06:36,"Gravel, Alexis",683325,Left,MCN_COW,Undefined,Slider,NA,NA,82.8283,-1.081388,0.576306,2217.80225,280.726733,03:15:00,6.1414,-1.10821,5.17218,-41.061279999999996,0.52193,3.68965,1.70177,-0.25836,76.66438,-8.506398,1.231139,0.46412,-1.71126,0.84449,1.05152,50,6.00887,-1.36238,-120.31673,-3.77433,-2.5219,22.17389,-30.92955,78ff6a3a-32e0-431d-aac9-01d8e334d680,NA,NA,NA,NA,22.966175,1000315303,"Orr, Aidan",NA,NA,96.76913,Left,-6.054425,NA,NA,NA,21.7798,20.69606,0.139707,21.369429,2.10643,2.0938,0.23352,NA,NA,NA,NA,NA,2,3,OAK_GOL,1,Top,1,0,2,Slider,InPlay,Undefined,GroundBall,Out,1,0,NA,MCN_COW,OAK_GOL,JoeMillerBallpark,D1,SLAND,20250221-JoeMillerBallpark-1,bd040560-f097-11ef-962d-9bc36debf459,81.21269,2.0938,NA,6.16392,NA,NA,NA,83dca69f-10d6-4451-aa75-8da54db49e2c,2025-02-21,21:06:36,2025-02-21T21:06:36Z,2025-02-21T21:06:36Z,GroundBall,v3,mcneese,471397,21 February 2025 19:00-oakland@mcneese,"Mangrum, Grant",1000181501,Right,MCN_COW,55.33184,-121.29539,11.08695,6.14532,-2.40923,-15.46477,1.10919,-1.25107,-1.26095,180,2.10302,130.10063,NA,NA,NA,NA,NA,NA,NA,2.09419,-14.98703,NA,NA,NA,NA,NA,NA,NA,0.23208,55.13382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Low,Low,NA,NA,NA
7,2025-02-21,15:07:13,"Gravel, Alexis",683325,Left,MCN_COW,Undefined,Fastball,NA,NA,91.16039,-2.101399,0.728527,2117.94052,141.487697,10:45:00,6.10399,-1.28551,5.30604,-15.8954,18.76714,-13.98213,2.80564,-1.76674,82.67187,-5.112245,-1.754023,0.423742,7.18264,10.3617,1.22975,50,5.902,-1.01972,-132.11631,-5.35457,12.59578,30.2031,-14.00331,7bb815c0-7eca-4737-bbb4-371b87ccd556,NA,NA,NA,NA,NA,1000125197,"Nigh, Brandon",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,OAK_GOL,1,Top,2,0,0,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,MCN_COW,OAK_GOL,JoeMillerBallpark,D1,SLAND,20250221-JoeMillerBallpark-1,d2f3b690-f097-11ef-962d-9bc36debf459,88.9514,NA,NA,8.48852,NA,NA,NA,83dca69f-10d6-4451-aa75-8da54db49e2c,2025-02-21,21:07:13,2025-02-21T21:07:13Z,2025-02-21T21:07:13Z,NA,v3,mcneese,471397,21 February 2025 19:00-oakland@mcneese,"Mangrum, Grant",1000181501,Right,MCN_COW,55.19313,-133.29823,15.10155,6.10082,-4.80659,-7.00165,1.2793,-1.51262,6.29789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-02-21,15:07:29,"Gravel, Alexis",683325,Left,MCN_COW,Undefined,Slider,NA,NA,82.44377,-2.422581,1.484728,2056.548467,340.155355,05:15:00,6.11239,-1.18934,4.97407,-43.64498,-1.07488,0.86055,0.18493,0.28509,76.25379,-10.248014,1.637044,0.469595,-0.02185,0.3976,1.04511,50,5.84183,-3.13445,-119.55831,-6.68719,-0.03163,23.03689,-31.5985,3259fcdd-5e14-4e88-824c-6611198f5e7f,NA,NA,NA,NA,NA,1000125197,"Nigh, Brandon",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,OAK_GOL,1,Top,2,1,0,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,MCN_COW,OAK_GOL,JoeMillerBallpark,D1,SLAND,20250221-JoeMillerBallpark-1,dc3da490-f097-11ef-962d-9bc36debf459,80.2658,NA,NA,6.18998,NA,NA,NA,83dca69f-10d6-4451-aa75-8da54db49e2c,2025-02-21,21:07:29,2025-02-21T21:07:29Z,2025-02-21T21:07:29Z,NA,v3,mcneese,471397,21 February 2025 19:00-oakland@mcneese,"Mangrum, Grant",1000181501,Right,MCN_COW,55.53045,-120.61923,11.51845,6.11629,-5.23198,-15.79925,1.18943,-3.13299,-0.01582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-02-21,15:07:46,"Gravel, Alexis",683325,Left,MCN_COW,Undefined,Fastball,NA,NA,91.63455,-2.134855,2.819071,2168.531964,146.238337,10:45:00,6.08675,-1.26457,5.89234,-14.20402,19.24533,-12.1215,2.9175,0.34498,83.40878,-4.864483,0.646775,0.416261,6.99528,10.78327,1.04414,50,5.90627,-6.01076,-132.85727,-5.35194,12.46407,29.29231,-12.96063,40468151-b588-4ae6-8ba9-3c840b7f05e9,NA,NA,NA,NA,NA,1000125197,"Nigh, Brandon",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,OAK_GOL,1,Top,2,2,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,MCN_COW,OAK_GOL,JoeMillerBallpark,D1,SLAND,20250221-JoeMillerBallpark-1,e66dacd0-f097-11ef-962d-9bc36debf459,90.5501,NA,NA,8.22577,NA,NA,NA,83dca69f-10d6-4451-aa75-8da54db49e2c,2025-02-21,21:07:46,2025-02-21T21:07:46Z,2025-02-21T21:07:46Z,NA,v3,mcneese,471397,21 February 2025 19:00-oakland@mcneese,"Mangrum, Grant",1000181501,Right,MCN_COW,54.60814,-133.86942,14.64616,6.08346,-4.90411,-6.48032,1.25927,-6.44143,6.23203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-02-21,15:08:01,"Gravel, Alexis",683325,Left,MCN_COW,Undefined,Slider,NA,NA,82.48593,0.750357,-1.136825,2223.836863,290.099158,03:45:00,6.04292,-1.19078,4.76372,-42.35085,0.12882,2.98776,3.22537,-2.0199,76.20214,-6.8749,-0.611321,0.469096,-1.75425,0.25236,1.30203,50,6.08077,2.24407,-119.75367,-0.08064,-2.57037,21.18094,-31.80429,c4077e60-8ccf-427f-8c2f-ad780fc84f12,NA,NA,NA,NA,NA,1000125197,"Nigh, Brandon",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,OAK_GOL,1,Top,2,2,1,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,MCN_COW,OAK_GOL,JoeMillerBallpark,D1,SLAND,20250221-JoeMillerBallpark-1,efa17ac0-f097-11ef-962d-9bc36debf459,80.35121,NA,NA,6.2838,NA,NA,NA,83dca69f-10d6-4451-aa75-8da54db49e2c,2025-02-21,21:08:01,2025-02-21T21:08:01Z,2025-02-21T21:08:01Z,NA,v3,mcneese,471397,21 February 2025 19:00-oakland@mcneese,"Mangrum, Grant",1000181501,Right,MCN_COW,55.73892,-120.76445,10.59047,6.0484,1.4371,-15.90215,1.19201,2.36673,-1.28518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
