PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-29,18:33:10,"Bing, Kade",1000265701,Left,TEX_LON,Undefined,Fastball,NA,NA,87.32606,-2.930082,4.263625,2312.269283,141.134987,10:45:00,5.38891,-2.71447,6.11614,-18.77958,17.23383,-13.07347,1.10495,0.14543,81.02357,-6.457519,1.915707,0.43192,7.76898,9.9204,2.3939,50,5.15349,-8.92866,-126.62143,-7.04334,12.81279,22.0162,-15.81309,63afae75-209c-4fc5-83b7-ac2d0fd64e0c,NA,NA,NA,NA,NA,815688,"Moses, Sonnier",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,PRA_PAN,1,Top,0,0,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,TEX_LON,PRA_PAN,Texas,D1,SEC,20250429-Texas-1,4fab0780-2552-11f0-bacc-433e9998c627,87.26713,NA,NA,6.30249,NA,NA,NA,c9f75f7f-9dc7-471a-ba24-37f3cb9d78fc,2025-04-29,23:33:10,2025-04-29T23:33:10Z,2025-04-29T23:33:10Z,NA,v3,471466,4766,29 April 2025 00:00-prairview@texas,"Galvan, Rylan",805025,Right,TEX_LON,54.38544,-127.38166,11.0081,5.38727,-6.4973,-7.90655,2.70986,-9.37109,6.40639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-04-29,18:33:23,"Bing, Kade",1000265701,Left,TEX_LON,Undefined,Fastball,NA,NA,87.34448,-0.852469,2.511101,2429.548714,141.189437,10:45:00,5.32582,-2.87004,5.94575,-17.43269,18.98686,-14.3732,3.08157,-1.73712,80.0446,-4.169743,-0.068431,0.434349,8.01225,10.29611,2.6779,50,5.24796,-4.96795,-126.84395,-2.37886,13.110900000000001,24.88129,-15.32597,31772227-e12b-49f2-b2fe-928e2454c5a9,NA,NA,NA,NA,NA,815688,"Moses, Sonnier",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,PRA_PAN,1,Top,0,1,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,TEX_LON,PRA_PAN,Texas,D1,SEC,20250429-Texas-1,57a284e0-2552-11f0-bacc-433e9998c627,86.77917,NA,NA,7.29988,NA,NA,NA,c9f75f7f-9dc7-471a-ba24-37f3cb9d78fc,2025-04-29,23:33:23,2025-04-29T23:33:23Z,2025-04-29T23:33:23Z,NA,v3,471466,4766,29 April 2025 00:00-prairview@texas,"Galvan, Rylan",805025,Right,TEX_LON,54.5536,-127.73404,12.44064,5.32325,-1.83059,-7.66299,2.86401,-5.43697,6.5554500000000004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-04-29,18:33:40,"Bing, Kade",1000265701,Left,TEX_LON,Undefined,Fastball,NA,NA,86.2541,-1.220909,4.346002,2382.724443,129.972716,10:15:00,5.37308,-2.63274,6.16988,-22.44104,14.66241,-16.13816,2.37189,0.04429,79.21592,-5.446135,1.444841,0.438408,9.5402,8.2602,2.3114,50,5.2688,-8.88704,-125.10226,-3.33153,15.20267,23.93205,-19.01106,c842c223-605b-4771-ae76-1e601d97d4da,NA,NA,NA,NA,166.896016,815688,"Moses, Sonnier",2109.569883,NA,68.7092,Right,25.64619,NA,NA,NA,NA,45.71546,NA,NA,3.0037,2.02489,-0.19887,NA,NA,NA,NA,NA,1,3,PRA_PAN,1,Top,0,2,0,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,TEX_LON,PRA_PAN,Texas,D1,SEC,20250429-Texas-1,617ec7d0-2552-11f0-bacc-433e9998c627,85.9757,19.09025,NA,7.03819,NA,NA,NA,c9f75f7f-9dc7-471a-ba24-37f3cb9d78fc,2025-04-29,23:33:40,2025-04-29T23:33:40Z,2025-04-29T23:33:40Z,NA,v3,471466,4766,29 April 2025 00:00-prairview@texas,"Galvan, Rylan",805025,Right,TEX_LON,54.33153,-125.92816,11.96602,5.37245,-2.67545,-9.50553,2.62715,-9.41168,7.60134,5.677127,3.0037,-88.47994,5.93165,-0.40504,0.0739,0.00375,-0.00229,0.00223,-0.00107,2.02489,43.61597,-24.43489,2.44803,-0.50473,0.09991,-0.01555,0.0018600000000000001,3.1e-4,-0.19887,20.59641,-0.84177,-0.10425,0.02508,-0.0112,0.00301,-0.00151,5.7e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Undefined,NA,NA,NA
4,2025-04-29,18:34:02,"Bing, Kade",1000265701,Left,TEX_LON,Undefined,Fastball,NA,NA,85.95129,-1.908969,4.110199,2263.937897,134.004829,10:30:00,5.24044,-2.71547,6.12885,-21.99285,15.43674,-14.79383,1.63792,-0.14245,79.01565,-6.046118,1.451249,0.440331,8.76619,8.8376,2.4086,50,5.08259,-8.38743,-124.64624,-4.808,13.86816,23.74883,-18.19293,3dd6163a-8370-433e-8b32-57bec8362b75,NA,NA,NA,NA,8.165433,815688,"Moses, Sonnier",2831.507078,NA,95.46491,Right,21.315746,108.02287,37.24412,20.76194,327.50137,322.97926,3.91685,15.728207,1.93223,1.34081,0.21108,NA,NA,NA,NA,NA,1,4,PRA_PAN,1,Top,0,2,1,Sinker,InPlay,Undefined,FlyBall,Out,1,0,NA,TEX_LON,PRA_PAN,Texas,D1,SEC,20250429-Texas-1,6e94d900-2552-11f0-bacc-433e9998c627,85.60031,47.81112,NA,6.93565,NA,NA,NA,c9f75f7f-9dc7-471a-ba24-37f3cb9d78fc,2025-04-29,23:34:02,2025-04-29T23:34:02Z,2025-04-29T23:34:02Z,LineDrive,v3,471466,4766,29 April 2025 00:00-prairview@texas,"Galvan, Rylan",805025,Right,TEX_LON,54.37233,-125.47654,11.87441,5.23956,-4.17195,-9.09646,2.71031,-8.87228,6.93408,214.910037,1.93141,129.13995,-24.41677,5.85707,-1.43236,0.36469,-0.08198,0.01183,-7.3e-4,1.34182,50.86502,-14.07769,-0.42742,0.55882,-0.246,0.06623,-0.00921,5e-4,0.21113,18.52155,4.50957,-2.2138,0.68258,-0.15356,0.02494,-0.00251,1.1e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA
5,2025-04-29,18:34:41,"Bing, Kade",1000265701,Left,TEX_LON,Undefined,Fastball,NA,NA,88.96558,-3.119898,3.447904,2377.414356,138.218388,10:30:00,5.36062,-2.83948,5.98437,-18.86253,16.13556,-13.4943,0.88886,-0.76434,82.18129,-6.657486,1.026154,0.425788,7.83949,9.41008,2.57461,50,5.10312,-7.22849,-129.02231,-7.621,13.34849,24.29846,-16.15128,dff36e09-34c5-4739-9047-d2cd300af8da,NA,NA,NA,NA,NA,699853,"Williams, Jayden",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,PRA_PAN,1,Top,1,0,0,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,TEX_LON,PRA_PAN,Texas,D1,SEC,20250429-Texas-1,85ce6f50-2552-11f0-bacc-433e9998c627,88.52391,NA,NA,6.78429,NA,NA,NA,c9f75f7f-9dc7-471a-ba24-37f3cb9d78fc,2025-04-29,23:34:41,2025-04-29T23:34:41Z,2025-04-29T23:34:41Z,NA,v3,471466,4766,29 April 2025 00:00-prairview@texas,"Galvan, Rylan",805025,Right,TEX_LON,54.51723,-129.87024,12.14923,5.35924,-7.05738,-8.07564,2.83499,-7.69431,6.67425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-04-29,18:34:55,"Bing, Kade",1000265701,Left,TEX_LON,Undefined,Fastball,NA,NA,87.79066,-0.970957,5.161671,2446.35578,130.240672,10:15:00,5.45031,-2.76587,5.96219,-22.15592,13.85221,-15.12765,2.69989,0.77275,80.91913,-5.11334,2.458691,0.431889,9.18563,7.69252,2.36431,50,5.36049,-10.90444,-127.23301,-2.86017,15.2125,23.58544,-19.43434,7c695659-f59b-40ac-8543-8c5fecbc3ebc,NA,NA,NA,NA,NA,699853,"Williams, Jayden",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,PRA_PAN,1,Top,1,1,0,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,TEX_LON,PRA_PAN,Texas,D1,SEC,20250429-Texas-1,8e94ae60-2552-11f0-bacc-433e9998c627,87.27352,NA,NA,6.87154,NA,NA,NA,c9f75f7f-9dc7-471a-ba24-37f3cb9d78fc,2025-04-29,23:34:55,2025-04-29T23:34:55Z,2025-04-29T23:34:55Z,NA,v3,471466,4766,29 April 2025 00:00-prairview@texas,"Galvan, Rylan",805025,Right,TEX_LON,54.54091,-128.072,11.79272,5.44993,-2.16884,-9.71717,2.76184,-11.44558,7.60625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-04-29,18:35:11,"Bing, Kade",1000265701,Left,TEX_LON,Undefined,ChangeUp,NA,NA,75.09356,3.079543,2.756944,1860.88864,50.187003,07:45:00,4.90615,-3.15615,5.73263,-58.98452,-9.16422,-12.79201,2.86477,-1.65269,69.04769,-7.697366,0.470282,0.508013,7.22898,-4.99819,2.93414,50,5.12701,-4.77773,-108.94322,3.98831,8.71233,18.63607,-38.19784,704d7b26-de28-426a-ba9c-28329339da80,NA,NA,NA,NA,NA,699853,"Williams, Jayden",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,PRA_PAN,1,Top,1,1,1,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,TEX_LON,PRA_PAN,Texas,D1,SEC,20250429-Texas-1,98162720-2552-11f0-bacc-433e9998c627,74.19585,NA,NA,6.04587,NA,NA,NA,c9f75f7f-9dc7-471a-ba24-37f3cb9d78fc,2025-04-29,23:35:11,2025-04-29T23:35:11Z,2025-04-29T23:35:11Z,NA,v3,471466,4766,29 April 2025 00:00-prairview@texas,"Galvan, Rylan",805025,Right,TEX_LON,54.77106,-109.75634,9.31804,4.91663,5.65493,-19.09892,3.15089,-5.15786,4.35616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-04-29,18:35:25,"Bing, Kade",1000265701,Left,TEX_LON,Undefined,Fastball,NA,NA,86.67739,-0.341042,3.931457,2439.308516,137.29102,10:30:00,5.48311,-2.62894,6.00059,-21.92044,14.95328,-12.79272,3.33965,-0.04639,79.66999,-4.45999,1.638338,0.437049,7.56166,8.1093,2.32609,50,5.44405,-8.12471,-125.76417,-1.41235,12.2079,23.58921,-19.082,a03ba3d8-a8c8-4a5a-a519-604659dcaa8c,NA,NA,NA,NA,NA,699853,"Williams, Jayden",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,PRA_PAN,1,Top,1,2,1,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,TEX_LON,PRA_PAN,Texas,D1,SEC,20250429-Texas-1,a081c310-2552-11f0-bacc-433e9998c627,86.24308,NA,NA,7.0074,NA,NA,NA,c9f75f7f-9dc7-471a-ba24-37f3cb9d78fc,2025-04-29,23:35:25,2025-04-29T23:35:25Z,2025-04-29T23:35:25Z,NA,v3,471466,4766,29 April 2025 00:00-prairview@texas,"Galvan, Rylan",805025,Right,TEX_LON,54.49921,-126.60526,11.79461,5.48228,-0.73196,-9.541,2.62354,-8.55999,6.10395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-04-29,18:35:46,"Bing, Kade",1000265701,Left,TEX_LON,Undefined,Fastball,NA,NA,87.50652,-2.30916,5.638872,2418.705892,129.675158,10:15:00,5.40074,-2.82955,6.06354,-20.59529,15.84237,-17.70154,1.53579,0.93101,80.18392,-6.19002,2.472526,0.434457,10.58201,9.12099,2.39996,50,5.20954,-11.77265,-126.53988,-5.73459,17.23473,24.73798,-17.31888,5816689b-cc9e-4eff-81dc-e48eadc16a59,NA,NA,NA,NA,NA,699853,"Williams, Jayden",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,PRA_PAN,1,Top,1,2,2,Changeup,StrikeCalled,Strikeout,Undefined,Undefined,0,0,NA,TEX_LON,PRA_PAN,Texas,D1,SEC,20250429-Texas-1,ac9e8020-2552-11f0-bacc-433e9998c627,86.75765,NA,NA,7.3226,NA,NA,NA,c9f75f7f-9dc7-471a-ba24-37f3cb9d78fc,2025-04-29,23:35:46,2025-04-29T23:35:46Z,2025-04-29T23:35:46Z,NA,v3,471466,4766,29 April 2025 00:00-prairview@texas,"Galvan, Rylan",805025,Right,TEX_LON,54.43655,-127.40426,12.36899,5.39934,-5.12944,-8.65944,2.82183,-12.37485,8.61737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-04-29,18:36:18,"Bing, Kade",1000265701,Left,TEX_LON,Undefined,Fastball,NA,NA,87.91542,-1.729212,4.55097,2422.138424,135.409034,10:30:00,5.42851,-2.90241,6.0838,-19.45867,16.38832,-15.07627,2.20163,0.06043,80.75909,-5.404097,1.846855,0.430921,8.97859,9.24315,2.5583,50,5.28411,-9.54011,-127.42871,-4.42911,14.85939,24.58906,-16.87685,d6554cf6-54bc-4cee-8dd9-b1fe4e7ffc64,NA,NA,NA,NA,6.546056,830816,"Williams, Landon",2933.600584,NA,98.04245,Right,29.780774,108.62265,58.25213,17.35031,368.56502,365.52402,4.932166,13.085027,0.57416,2.17715,-0.10533,NA,NA,NA,NA,NA,3,1,PRA_PAN,1,Top,2,0,0,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,NA,TEX_LON,PRA_PAN,Texas,D1,SEC,20250429-Texas-1,c0165380-2552-11f0-bacc-433e9998c627,87.46947,81.2189,NA,7.15634,NA,NA,NA,c9f75f7f-9dc7-471a-ba24-37f3cb9d78fc,2025-04-29,23:36:18,2025-04-29T23:36:18Z,2025-04-29T23:36:18Z,FlyBall,v3,471466,4766,29 April 2025 00:00-prairview@texas,"Galvan, Rylan",805025,Right,TEX_LON,54.41712,-128.27822,12.29453,5.42706,-3.84605,-8.43843,2.89677,-10.05348,7.4297,208.097751,0.57801,123.91678,-24.34652,5.66246,-0.89939,0.05728,0.00513,-6.5e-4,-1e-5,2.17744,71.4001,-17.30666,0.16661,0.435,-0.22669,0.06372,-0.00898,4.9e-4,-0.10537,14.22424,4.05574,-2.08963,0.64232,-0.14341,0.02339,-0.00244,1.1e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA
