PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-03-01,12:05:29,"Ruzicka, Joseph",10012582,Right,BEL_BRU,Undefined,Fastball,NA,NA,93.12404,-2.403283,-2.681955,2202.60998,210.901302,01:00:00,5.39451,1.88274,6.54678,-15.45788,16.45147,9.15571,1.89873,0.18445,84.02426,-5.399567,-1.020221,0.406565,-5.67051,9.74359,-1.70087,50,5.22137,5.95305,-135.02609,-6.06945,-10.31151,33.5218,-14.45582,9868b391-b06c-4142-b57b-1804619db9f8,NA,NA,NA,NA,NA,1000120922,"Zimbardo, Jared",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NOT_IRI,1,Top,0,0,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,BEL_BRU,NOT_IRI,ESRosePark,D1,MVC,20250301-ESRosePark-1,c3357500-f6c7-11ef-b66a-c9d16a293745,92.70941,NA,NA,9.09978,NA,NA,NA,67c3c61f-2154-43cf-9b77-c3f77eba84d9,2025-03-01,18:05:29,2025-03-01T18:05:29Z,2025-03-01T18:05:29Z,NA,v3,471514,225,01 March 2025 13:00-notredame@belmont,"Godsey, Landon",1000095692,Right,BEL_BRU,53.94998,-136.00318,16.7609,5.39214,-5.64809,-7.22791,-1.87877,6.25361,-5.15575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-03-01,12:05:40,"Ruzicka, Joseph",10012582,Right,BEL_BRU,Undefined,Fastball,NA,NA,93.87969,-2.684344,-2.492946,2239.761761,198.158371,12:30:00,5.48889,1.70381,6.33115,-11.63922,19.77997,6.13815,2.04304,-0.08164,85.29589,-4.963513,-1.383717,0.403431,-3.93469,11.40973,-1.52482,50,5.28723,5.67023,-136.15814,-6.66009,-7.33932,31.67874,-10.89171,c39bfc85-afe8-41b5-ba1c-0201ad227e6c,NA,NA,NA,NA,138.398835,1000120922,"Zimbardo, Jared",5072.862279,NA,75.41243,Right,31.291164,NA,NA,NA,NA,31.24842,NA,NA,0.50838,1.85433,0.31269,NA,NA,NA,NA,NA,1,2,NOT_IRI,1,Top,0,0,1,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,BEL_BRU,NOT_IRI,ESRosePark,D1,MVC,20250301-ESRosePark-1,c99e8a30-f6c7-11ef-b66a-c9d16a293745,93.42978,18.64481,NA,8.5838,NA,NA,NA,67c3c61f-2154-43cf-9b77-c3f77eba84d9,2025-03-01,18:05:40,2025-03-01T18:05:40Z,2025-03-01T18:05:40Z,NA,v3,471514,225,01 March 2025 13:00-notredame@belmont,"Godsey, Landon",1000095692,Right,BEL_BRU,54.16625,-137.12403,15.83937,5.48524,-6.328,-5.44586,-1.70112,5.89401,-3.66966,NA,0.50811,-70.66754,4.53747,NA,NA,NA,NA,NA,NA,1.86035,57.21314,-24.70719,NA,NA,NA,NA,NA,NA,0.31621,62.61692,-9.02016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Undefined,NA,NA,NA
3,2025-03-01,12:05:55,"Ruzicka, Joseph",10012582,Right,BEL_BRU,Undefined,Fastball,NA,NA,94.11245,-1.275583,-3.075199,2246.191416,204.206008,12:45:00,5.36614,1.77783,6.13042,-11.69422,20.13367,8.52154,3.21069,-0.3572,84.47111,-3.586595,-1.542327,0.406046,-5.39847,11.1365,-1.54702,50,5.26245,6.94853,-136.34251,-3.30963,-9.98488,34.84561,-11.57615,d081545d-ec31-43c6-9b83-e09c64cbfd62,NA,NA,NA,NA,169.956356,1000120922,"Zimbardo, Jared",2310.322267,NA,79.16122,Right,11.679131,-109.69334,7.82084,8.20758,142.89308,43.55805,1.512673,177.498798,0.03716,3.35721,0.37019,NA,NA,NA,NA,NA,1,3,NOT_IRI,1,Top,0,0,2,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,BEL_BRU,NOT_IRI,ESRosePark,D1,MVC,20250301-ESRosePark-1,d2394c70-f6c7-11ef-b66a-c9d16a293745,92.82797,10.96337,NA,9.64134,NA,NA,NA,67c3c61f-2154-43cf-9b77-c3f77eba84d9,2025-03-01,18:05:55,2025-03-01T18:05:55Z,2025-03-01T18:05:55Z,LineDrive,v3,471514,225,01 March 2025 13:00-notredame@belmont,"Godsey, Landon",1000095692,Right,BEL_BRU,54.36505,-137.45357,17.42281,5.3621,-2.94052,-5.78808,-1.77365,7.2669,-4.99244,271.520684,-0.14465,-110.29147,10.65504,NA,NA,NA,NA,NA,NA,3.5492,21.74258,-15.99927,NA,NA,NA,NA,NA,NA,0.73189,16.42992,-8.5876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Low,NA,NA,NA
4,2025-03-01,12:06:10,"Ruzicka, Joseph",10012582,Right,BEL_BRU,Undefined,Cutter,NA,NA,87.82099,-2.136098,-2.846977,2509.632321,99.645983,09:15:00,5.51484,1.83231,6.28542,-33.7923,1.87347,-4.75327,0.72683,-1.18975,81.11558,-8.367545,-3.706115,0.429831,1.72913,1.81413,-1.62004,50,5.34057,6.51905,-127.53412,-5.8482,2.85105,25.95208,-29.18283,3fb681e1-d21a-4d86-845a-de08b4d32e09,NA,NA,NA,NA,NA,1000120922,"Zimbardo, Jared",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,NOT_IRI,1,Top,0,0,2,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,NA,BEL_BRU,NOT_IRI,ESRosePark,D1,MVC,20250301-ESRosePark-1,db900bb0-f6c7-11ef-b66a-c9d16a293745,87.6914,NA,NA,6.70541,NA,NA,NA,67c3c61f-2154-43cf-9b77-c3f77eba84d9,2025-03-01,18:06:10,2025-03-01T18:06:10Z,2025-03-01T18:06:10Z,NA,v3,471514,225,01 March 2025 13:00-notredame@belmont,"Godsey, Landon",1000095692,Right,BEL_BRU,54.21574,-128.38912,12.97604,5.51741,-4.88677,-14.59141,-1.83326,6.42512,1.42552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-03-01,12:06:40,"Ruzicka, Joseph",10012582,Right,BEL_BRU,Undefined,Fastball,NA,NA,94.3784,-3.706104,-2.627623,2197.050421,213.020849,01:00:00,5.41994,1.87161,6.42316,-12.28453,18.53623,11.4054,0.98122,0.40505,86.40531,-6.084145,-0.562352,0.39957,-6.72449,11.03784,-1.68931,50,5.14945,5.81949,-136.87553,-9.18452,-12.76594,30.01381,-11.21951,5a05018e-6a5e-445f-9117-46b5586d28a2,NA,NA,NA,NA,NA,1000111037,"Watters, Brenson",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NOT_IRI,1,Top,1,0,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,BEL_BRU,NOT_IRI,ESRosePark,D1,MVC,20250301-ESRosePark-1,ed242af0-f6c7-11ef-b66a-c9d16a293745,94.33243,NA,NA,7.9731,NA,NA,NA,67c3c61f-2154-43cf-9b77-c3f77eba84d9,2025-03-01,18:06:40,2025-03-01T18:06:40Z,2025-03-01T18:06:40Z,NA,v3,471514,225,01 March 2025 13:00-notredame@belmont,"Godsey, Landon",1000095692,Right,BEL_BRU,54.0765,-137.76652,15.00691,5.41715,-8.85146,-5.60976,-1.86769,6.19845,-6.38297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-03-01,12:06:50,"Ruzicka, Joseph",10012582,Right,BEL_BRU,Undefined,Fastball,NA,NA,94.28655,-3.098353,-2.078351,2301.489195,208.243533,01:00:00,5.41844,2.05148,6.4513,-11.83201,19.21111,9.7469,1.5813,0.95348,85.60321,-5.415466,-0.31165,0.401009,-5.73233,11.30375,-1.90846,50,5.19328,4.56088,-136.76372,-7.68176,-10.77083,32.39838,-10.93465,fed91801-9f17-412d-8f10-528178ace0fd,NA,NA,NA,NA,-9.955015,1000111037,"Watters, Brenson",1719.586566,NA,105.22958,Left,8.663504,107.2035,11.1232,-24.64544,207.66843,207.66843,1.712716,-15.001548,1.61475,1.6272200000000001,-0.96322,NA,NA,NA,NA,NA,2,2,NOT_IRI,1,Top,1,1,0,Four-Seam,InPlay,Undefined,LineDrive,Single,0,0,NA,BEL_BRU,NOT_IRI,ESRosePark,D1,MVC,20250301-ESRosePark-1,f37cc560-f6c7-11ef-b66a-c9d16a293745,93.99401,11.12207,NA,8.68334,NA,NA,NA,67c3c61f-2154-43cf-9b77-c3f77eba84d9,2025-03-01,18:06:50,2025-03-01T18:06:50Z,2025-03-01T18:06:50Z,LineDrive,v3,471514,225,01 March 2025 13:00-notredame@belmont,"Godsey, Landon",1000095692,Right,BEL_BRU,54.04657,-137.71899,16.19919,5.41502,-7.35935,-5.46733,-2.04762,4.87846,-5.38542,121.494305,1.61474,150.27972,-28.44851,6.78285,-1.22153,-0.01443,0.13746,-0.05458,0.00779,1.62724,23.24553,-14.06081,-0.33361,0.03502,0.30974,-0.24829,0.08738,-0.01209,-0.96324,-26.37443,-5.4821,2.57962,-0.54169,-0.16301,0.19688,-0.07327,0.01032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
7,2025-03-01,12:07:30,"Ruzicka, Joseph",10012582,Right,BEL_BRU,Undefined,Fastball,NA,NA,93.31792,-2.285862,-2.922883,2171.388319,205.808841,12:45:00,5.50514,1.83622,6.40584,-12.5578,19.27887,8.78276,2.35295,-0.12182,84.42321,-4.746663,-1.334154,0.406102,-5.4813,11.0904,-1.63061,50,5.33526,6.54236,-135.30074,-5.70003,-10.05254,32.45451,-11.83461,e0510911-7899-4125-a49f-d384e4b74cdc,NA,NA,NA,NA,-3.507202,1000107859,"Brzustewicz, Parker",NA,NA,77.26555,Right,-36.960556,NA,NA,NA,4.45356,1.4512,0.034232,-0.770164,1.35056,2.33901,0.13029,NA,NA,NA,NA,NA,3,1,NOT_IRI,1,Top,1,0,0,Four-Seam,InPlay,Undefined,GroundBall,Out,2,0,NA,BEL_BRU,NOT_IRI,ESRosePark,D1,MVC,20250301-ESRosePark-1,0afcb380-f6c8-11ef-b66a-c9d16a293745,92.81523,2.33901,NA,8.89471,NA,NA,NA,67c3c61f-2154-43cf-9b77-c3f77eba84d9,2025-03-01,18:07:30,2025-03-01T18:07:30Z,2025-03-01T18:07:30Z,GroundBall,v3,471514,225,01 March 2025 13:00-notredame@belmont,"Godsey, Landon",1000095692,Right,BEL_BRU,54.091,-136.27851,16.22725,5.50162,-5.34349,-5.9173,-1.83228,6.84522,-5.02627,NA,1.34917,90.63372,NA,NA,NA,NA,NA,NA,NA,2.34006,-68.3276,NA,NA,NA,NA,NA,NA,NA,0.13038,-5.55483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Low,Low,NA,NA,NA
8,2025-03-01,12:10:43,"Dennies, Jackson",802613,Right,NOT_IRI,Undefined,Sinker,NA,NA,89.07306,0.869584,-5.051781,2276.301843,249.95914,02:15:00,4.16509,2.23432,6.68335,-26.38742,7.81985,18.56497,2.76467,-0.85127,81.49144,-4.107873,-1.687512,0.42095,-11.06886,4.22394,-1.90259,50,4.21288,10.70344,-129.15542,1.19513,-18.77395,25.8605,-25.00978,0277bcc6-5065-4875-b748-401d8b449aa7,NA,NA,NA,NA,NA,10146754,"Daniel, Pete",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,BEL_BRU,1,Bottom,0,0,0,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,BEL_BRU,NOT_IRI,ESRosePark,D1,MVC,20250301-ESRosePark-1,7e38d2c0-f6c8-11ef-b66a-c9d16a293745,89.54133,NA,NA,7.58162,NA,NA,NA,67c3c61f-2154-43cf-9b77-c3f77eba84d9,2025-03-01,18:10:43,2025-03-01T18:10:43Z,2025-03-01T18:10:43Z,NA,v3,471514,225,01 March 2025 13:00-notredame@belmont,"Johnson, Davis",823743,Right,NOT_IRI,53.81598,-129.91724,12.93025,4.16682,1.93189,-12.50489,-2.22605,11.2565,-9.38698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-03-01,12:10:57,"Dennies, Jackson",802613,Right,NOT_IRI,Undefined,Sinker,NA,NA,90.03096,0.176176,-4.053734,2273.076223,250.443096,02:15:00,4.19781,2.10858,6.84349,-25.01895,8.34792,20.4721,2.27395,0.11196,82.03942,-4.575838,-0.322516,0.415747,-11.96182,4.71071,-1.85508,50,4.19999,8.48765,-130.71736,-0.30455,-20.64567,28.18968,-24.04355,69eb8c09-75f0-44c5-aa04-61381859733b,NA,NA,NA,NA,NA,10146754,"Daniel, Pete",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,BEL_BRU,1,Bottom,0,1,0,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,BEL_BRU,NOT_IRI,ESRosePark,D1,MVC,20250301-ESRosePark-1,86aab040-f6c8-11ef-b66a-c9d16a293745,90.66199,NA,NA,7.99153,NA,NA,NA,67c3c61f-2154-43cf-9b77-c3f77eba84d9,2025-03-01,18:10:57,2025-03-01T18:10:57Z,2025-03-01T18:10:57Z,NA,v3,471514,225,01 March 2025 13:00-notredame@belmont,"Johnson, Davis",823743,Right,NOT_IRI,53.65573,-131.50337,14.09484,4.19914,0.36585,-12.02178,-2.09976,9.06331,-10.32283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-03-01,12:11:14,"Dennies, Jackson",802613,Right,NOT_IRI,Undefined,Sinker,NA,NA,89.50003,-1.574352,-4.130217,2289.183606,247.340257,02:15:00,4.29984,2.0062,6.8585,-27.00675,7.01571,13.998,0.61,-0.59895,81.28283,-6.688228,-1.577614,0.419812,-8.75792,4.54524,-1.74739,50,4.18958,8.86504,-129.81024,-4.34025,-14.7844,29.87776,-24.50115,36e066f5-6112-4419-9262-b8f0c3e7ba96,NA,NA,NA,NA,NA,10146754,"Daniel, Pete",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,BEL_BRU,1,Bottom,0,1,1,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,BEL_BRU,NOT_IRI,ESRosePark,D1,MVC,20250301-ESRosePark-1,90c6e260-f6c8-11ef-b66a-c9d16a293745,89.78417,NA,NA,8.2172,NA,NA,NA,67c3c61f-2154-43cf-9b77-c3f77eba84d9,2025-03-01,18:11:14,2025-03-01T18:11:14Z,2025-03-01T18:11:14Z,NA,v3,471514,225,01 March 2025 13:00-notredame@belmont,"Johnson, Davis",823743,Right,NOT_IRI,53.64062,-130.64549,14.93888,4.30134,-3.6553,-12.25057,-2.00099,9.27835,-7.3922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Medium,Medium,Medium,NA,NA,NA,NA,NA
