PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-03-07,15:06:10,"Hoeymans, Jack",1000184889,Right,VCU_RAM,Undefined,Sinker,NA,NA,89.18616,-0.892235,-3.618828,2178.17152,234.834708,01:45:00,6.03578,1.87207,5.9914,-22.28655,12.9465,16.70143,3.34999,-0.09429,81.07556,-5.090816,-0.621395,0.427215,-9.63103,7.26178,-1.59569,50,5.95309,7.47732,-129.30323,-2.71829,-16.22423,28.21449,-19.94105,03258b20-14bf-4d68-a3b5-a805bd084dfd,NA,NA,NA,NA,143.83671,1000078032,"Koonin, Jake",4313.647229,NA,73.34154,Right,39.442285,-95.63855,53.8998,54.34325,208.86104,74.14568,3.375443,155.35694,0.22459,3.38072,0.16833,NA,NA,NA,NA,NA,1,1,PRI_TIG,1,Top,0,0,0,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,VCU_RAM,PRI_TIG,TheDiamond,D1,A10,20250307-TheDiamond-1,9d558f60-fb8f-11ef-a403-21a31e81859e,88.22829,53.96903,NA,8.1106,NA,NA,NA,08e20df4-29fe-449d-baa8-aa8a276886a1,2025-03-07,20:06:10,2025-03-07T20:06:10Z,2025-03-07T20:06:10Z,FlyBall,v3,471479,princeton,NA,"Kleinman, Casey",1000098568,Right,VCU_RAM,54.50634,-130.28282,14.10725,6.03545,-2.02595,-9.97052,-1.86507,8.04061,-8.11211,310.533664,0.22461,-67.0667,1.69939,0.81267,-0.11914,-0.09323,0.06487,-0.0148,0.00118,3.38081,68.33646,-26.73892,3.17238,-0.64947,0.12171,-0.02473,0.00456,-3.9e-4,0.1684,49.02236,-11.72467,2.70078,-0.76288,0.29128,-0.11025,0.02403,-0.00204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Low,NA,NA,NA
2,2025-03-07,15:06:34,"Hoeymans, Jack",1000184889,Right,VCU_RAM,Undefined,Sinker,NA,NA,89.27824,-0.587199,-2.759656,2177.47389,233.653911,01:45:00,6.00521,1.91784,6.01824,-23.15092,11.8941,14.59438,3.53141,0.57589,81.25278,-4.941925,-0.136434,0.426074,-8.31276,6.63264,-1.70943,50,5.94657,5.63722,-129.56338,-2.06474,-14.06628,28.21368,-20.95073,07081e1f-f1dd-422f-9f7f-446735850d54,NA,NA,NA,NA,166.82256,1000078032,"Koonin, Jake",3389.231839,NA,71.13688,Right,18.380965,-108.77783,12.38701,16.35167,147.71367,47.84998,1.757151,172.786691,0.26645,3.40365,-0.57794,NA,NA,NA,NA,NA,1,2,PRI_TIG,1,Top,0,0,1,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,VCU_RAM,PRI_TIG,TheDiamond,D1,A10,20250307-TheDiamond-1,ab8e0080-fb8f-11ef-a403-21a31e81859e,88.46463,16.07905,NA,8.02546,NA,NA,NA,08e20df4-29fe-449d-baa8-aa8a276886a1,2025-03-07,20:06:34,2025-03-07T20:06:34Z,2025-03-07T20:06:34Z,LineDrive,v3,471479,princeton,NA,"Kleinman, Casey",1000098568,Right,VCU_RAM,54.47956,-130.5352,14.10684,6.00527,-1.34309,-10.47536,-1.91195,6.12174,-7.03314,299.315852,0.26644,-96.40321,7.78277,-0.31128,-0.00936,0.01447,0.00473,-4.8e-4,-2.7e-4,3.40365,32.90023,-22.96281,2.3711,-0.37422,-0.03096,0.05781,-0.02001,0.00265,-0.57794,22.57171,-9.33013,2.09658,-0.22642,-0.23536,0.18388,-0.06124,0.00828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Low,NA,NA,NA
3,2025-03-07,15:06:58,"Hoeymans, Jack",1000184889,Right,VCU_RAM,Undefined,FourSeamFastBall,NA,NA,89.77624,-1.14509,-3.548771,2278.741116,224.105722,01:30:00,6.10963,1.77704,5.95415,-19.28454,15.74363,14.05977,3.43847,-0.34659,81.12349,-4.814202,-1.028229,0.425971,-8.25874,8.77528,-1.50238,50,6.00774,7.45583,-130.04415,-3.18107,-13.99303,29.96758,-17.30587,4a7b71b6-3ad1-4fa2-970e-587af3881c29,NA,NA,NA,NA,NA,1000078032,"Koonin, Jake",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,PRI_TIG,1,Top,0,0,2,Sinker,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,NA,VCU_RAM,PRI_TIG,TheDiamond,D1,A10,20250307-TheDiamond-1,ba24be40-fb8f-11ef-a403-21a31e81859e,88.4859,NA,NA,8.65275,NA,NA,NA,08e20df4-29fe-449d-baa8-aa8a276886a1,2025-03-07,20:06:58,2025-03-07T20:06:58Z,2025-03-07T20:06:58Z,NA,v3,471479,princeton,NA,"Kleinman, Casey",1000098568,Right,VCU_RAM,54.54143,-131.08651,14.98379,6.10791,-2.57912,-8.65293,-1.77018,7.94254,-6.99652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.05654,2.681779,1.561344,1.120435,-1.23644,3.20994,0.39129,-4.41061,5.08476,5.31278,64.26189,6.39429,60.50906,-4.34818,68.25655,-6.29474,5.13326,18.09411,-15.16791,5.31934,51.38772,-1.90423,High,High,High,NA,NA,High,High,High
4,2025-03-07,15:07:33,"Hoeymans, Jack",1000184889,Right,VCU_RAM,Undefined,FourSeamFastBall,NA,NA,89.43545,-1.758265,-4.331338,2180.307133,218.43523,01:15:00,6.03864,1.93303,6.21053,-17.24843,17.6869,13.07225,2.9734,-0.98266,81.02857,-5.069288,-1.980432,0.425406,-8.2515,10.12229,-1.61468,50,5.89795,9.30897,-129.55515,-4.46816,-13.88494,29.57842,-15.14113,afe85920-81ab-4c01-9358-5634570f6dc2,NA,NA,NA,NA,NA,683345,"Shapiro, Caden",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,PRI_TIG,1,Top,1,0,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,VCU_RAM,PRI_TIG,TheDiamond,D1,A10,20250307-TheDiamond-1,cea66080-fb8f-11ef-a403-21a31e81859e,88.60343,NA,NA,8.40687,NA,NA,NA,08e20df4-29fe-449d-baa8-aa8a276886a1,2025-03-07,20:07:33,2025-03-07T20:07:33Z,2025-03-07T20:07:33Z,NA,v3,471479,princeton,NA,"Kleinman, Casey",1000098568,Right,VCU_RAM,54.28962,-130.53083,14.78921,6.0371,-3.96871,-7.57056,-1.9293,9.76698,-6.94247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-03-07,15:07:52,"Hoeymans, Jack",1000184889,Right,VCU_RAM,Undefined,FourSeamFastBall,NA,NA,87.82703,-2.069721,-3.63128,2203.2558,220.434418,01:15:00,5.97821,2.01216,6.24209,-21.9369,14.06615,10.96249,2.23644,-0.42813,80.05804,-6.215059,-1.655122,0.431858,-6.78768,8.26831,-1.74698,50,5.81295,7.65339,-127.32397,-5.2518,-11.08775,27.34081,-18.66766,86ca13b3-7b10-45ab-aa66-894c5a715a03,NA,NA,NA,NA,82.400577,683345,"Shapiro, Caden",NA,NA,72.5718,Left,-27.555708,NA,NA,NA,6.39806,6.39806,0.049484,51.606568,3.35402,2.44455,0.37092,NA,NA,NA,NA,NA,2,2,PRI_TIG,1,Top,1,1,0,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,VCU_RAM,PRI_TIG,TheDiamond,D1,A10,20250307-TheDiamond-1,da2026d0-fb8f-11ef-a403-21a31e81859e,87.27966,2.44455,NA,7.769,NA,NA,NA,08e20df4-29fe-449d-baa8-aa8a276886a1,2025-03-07,20:07:52,2025-03-07T20:07:52Z,2025-03-07T20:07:52Z,GroundBall,v3,471479,princeton,NA,"Kleinman, Casey",1000098568,Right,VCU_RAM,54.25632,-128.23469,13.6704,5.97753,-4.62998,-9.33383,-2.00807,8.02272,-5.54387,NA,3.35369,12.52028,NA,NA,NA,NA,NA,NA,NA,2.44583,-49.40115,NA,NA,NA,NA,NA,NA,NA,0.36847,93.84233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Estimated,Estimated,NA,NA,NA
6,2025-03-07,15:08:40,"Hoeymans, Jack",1000184889,Right,VCU_RAM,Undefined,Cutter,NA,NA,80.31138,0.65531,-1.915286,2343.149797,73.501369,08:30:00,5.9922,2.00085,5.36265,-43.96266,0.23547,-3.83721,2.94351,-0.11556,73.74226,-7.357532,-2.597241,0.478491,1.38854,0.37217,-1.82606,50,6.01987,4.05369,-116.54676,-0.20363,1.90949,21.93887,-31.66227,ee9cd417-8184-40a6-a43d-e6a2f0649e45,NA,NA,NA,NA,NA,683345,"Shapiro, Caden",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,PRI_TIG,1,Top,1,1,1,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,VCU_RAM,PRI_TIG,TheDiamond,D1,A10,20250307-TheDiamond-1,f6c1b600-fb8f-11ef-a403-21a31e81859e,78.77362,NA,NA,6.56913,NA,NA,NA,08e20df4-29fe-449d-baa8-aa8a276886a1,2025-03-07,20:08:40,2025-03-07T20:08:40Z,2025-03-07T20:08:40Z,NA,v3,471479,princeton,NA,"Kleinman, Casey",1000098568,Right,VCU_RAM,55.13539,-117.50947,10.96944,5.99832,1.18576,-15.83113,-2.00211,3.9699,0.95475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-03-07,15:09:00,"Hoeymans, Jack",1000184889,Right,VCU_RAM,Undefined,Sinker,NA,NA,90.76995,-1.901164,-4.257387,2201.106804,229.057281,01:45:00,5.9887,1.84372,5.92072,-20.73493,13.27965,14.04532,2.49105,-0.94383,82.96621,-5.792543,-1.743668,0.419763,-8.56331,7.6887,-1.51104,50,5.82435,9.22671,-131.54174,-5.04909,-14.98981,28.15011,-18.71522,01b14fb7-af6d-4ade-8c12-516853a4ae1e,NA,NA,NA,NA,87.184853,683345,"Shapiro, Caden",NA,NA,53.12317,Left,-8.462053,NA,NA,NA,18.34231,11.49822,0.198791,60.256191,NA,NA,NA,NA,NA,NA,NA,NA,2,4,PRI_TIG,1,Top,1,1,2,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,VCU_RAM,PRI_TIG,TheDiamond,D1,A10,20250307-TheDiamond-1,03142910-fb90-11ef-a403-21a31e81859e,89.79462,3.19834,NA,7.80374,NA,NA,NA,08e20df4-29fe-449d-baa8-aa8a276886a1,2025-03-07,20:09:00,2025-03-07T20:09:00Z,2025-03-07T20:09:00Z,GroundBall,v3,471479,princeton,NA,"Kleinman, Casey",1000098568,Right,VCU_RAM,54.58046,-132.51834,14.07506,5.98825,-4.3998100000000004,-9.35761,-1.84016,9.74675,-7.49491,NA,8.29448,3.79623,1.29208,NA,NA,NA,NA,NA,NA,3.19968,-11.55477,-22.8756,NA,NA,NA,NA,NA,NA,1.13815,76.96649,-12.97538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Low,Low,NA,NA,NA
8,2025-03-07,15:09:29,"Hoeymans, Jack",1000184889,Right,VCU_RAM,Undefined,Cutter,NA,NA,82.98406,-0.459802,-2.236469,2398.157374,188.056883,12:15:00,5.94539,2.09371,5.57609,-35.02644,5.64886,0.63677,2.59674,0.0569,76.85835,-6.872424,-2.122874,0.459025,-0.88417,3.30666,-1.90162,50,5.88261,4.68354,-120.57112,-2.15969,-1.31437,21.28132,-27.25851,d7abc7e2-c7f7-4197-89ea-070ea4f475eb,NA,NA,NA,NA,-166.081321,683345,"Shapiro, Caden",3735.788626,NA,66.75673,Left,28.258124,-107.19259,21.24654,-24.69261,157.37558,47.86091,2.146745,-167.413544,1.47048,2.68134,-0.05235,NA,NA,NA,NA,NA,2,5,PRI_TIG,1,Top,1,1,2,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,VCU_RAM,PRI_TIG,TheDiamond,D1,A10,20250307-TheDiamond-1,145a4f60-fb90-11ef-a403-21a31e81859e,82.11406,24.78203,NA,6.12571,NA,NA,NA,08e20df4-29fe-449d-baa8-aa8a276886a1,2025-03-07,20:09:29,2025-03-07T20:09:29Z,2025-03-07T20:09:29Z,FlyBall,v3,471479,princeton,NA,"Kleinman, Casey",1000098568,Right,VCU_RAM,54.92374,-121.43707,10.64066,5.94793,-1.05052,-13.62926,-2.09328,4.73702,-0.65719,12.255419,1.47058,-83.71612,4.87072,0.05914,0.4093,-0.45045,0.24803,-0.06473,0.00619,2.68136,46.35351,-26.75401,2.99713,-0.6156,0.19528,-0.09189,0.03083,-0.00412,-0.05234,-20.74571,2.94007,-0.50911,0.17674,-0.11494,0.06313,-0.01802,0.00194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Low,NA,NA,NA
9,2025-03-07,15:09:55,"Hoeymans, Jack",1000184889,Right,VCU_RAM,Undefined,Sinker,NA,NA,89.53158,-4.065638,-3.751564,2194.339336,228.989868,01:45:00,6.05686,1.80511,6.05495,-19.47973,15.51166,16.47796,0.65588,-0.29923,81.75635,-7.734213,-0.790089,0.425748,-9.66158,9.54071,-1.5224,50,5.72942,7.83027,-129.53654,-9.81423,-16.35284,28.03331,-16.02577,95edc5b3-bdc9-443d-8e23-a600ec70e0f3,NA,NA,NA,NA,NA,683345,"Shapiro, Caden",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,PRI_TIG,1,Top,1,1,2,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,VCU_RAM,PRI_TIG,TheDiamond,D1,A10,20250307-TheDiamond-1,238cb0e0-fb90-11ef-a403-21a31e81859e,88.53236,NA,NA,7.77523,NA,NA,NA,08e20df4-29fe-449d-baa8-aa8a276886a1,2025-03-07,20:09:55,2025-03-07T20:09:55Z,2025-03-07T20:09:55Z,NA,v3,471479,princeton,NA,"Kleinman, Casey",1000098568,Right,VCU_RAM,54.44459,-130.49486,14.01665,6.05556,-9.26639,-8.01289,-1.79964,8.38929,-8.17642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-03-07,15:10:16,"Hoeymans, Jack",1000184889,Right,VCU_RAM,Undefined,Sinker,NA,NA,89.2244,-0.650031,-2.146543,2289.104841,230.01285,01:45:00,5.99597,1.92347,6.18441,-22.49352,12.13406,13.19005,3.52085,1.03967,81.7218,-4.884961,0.233101,0.423528,-7.35713,6.78638,-1.76764,50,5.93544,4.31143,-129.62857,-2.16434,-12.54653,26.52758,-20.60086,dccbeed6-b223-4fa3-981c-9f3b95b78ecd,NA,NA,NA,NA,NA,683345,"Shapiro, Caden",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,7,PRI_TIG,1,Top,1,2,2,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,VCU_RAM,PRI_TIG,TheDiamond,D1,A10,20250307-TheDiamond-1,302f18b0-fb90-11ef-a403-21a31e81859e,88.99627,NA,NA,7.5026,NA,NA,NA,08e20df4-29fe-449d-baa8-aa8a276886a1,2025-03-07,20:10:16,2025-03-07T20:10:16Z,2025-03-07T20:10:16Z,NA,v3,471479,princeton,NA,"Kleinman, Casey",1000098568,Right,VCU_RAM,54.31266,-130.50814,13.26379,5.99588,-1.48128,-10.30043,-1.91749,4.72743,-6.27327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
