PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-03-07,15:05:14,"Frost, Jacob",1000238999,Left,KAN_WIL,Undefined,Fastball,NA,NA,90.62238,-2.000453,3.998799,2246.809143,140.920171,10:45:00,5.72479,-2.42404,6.30904,-12.09178,21.74147,-16.70662,2.86902,-0.12644,82.11226,-4.384928,0.986732,0.418642,9.90776,12.25851,2.13829,50,5.57183,-8.50352,-131.3207,-4.86281,17.17317,29.7341,-10.92634,91ef51b8-a66f-4a0e-8218-6600110bb950,NA,NA,NA,NA,6.808111,10009966,"Laskofski, Jamie",NA,NA,85.83892,Left,60.741567,108.7651,124.04681,16.43627,144.64182,74.75304,5.921384,8.899721,2.01239,1.74113,-0.0873,NA,NA,NA,NA,NA,1,1,WM_TRI,1,Top,0,0,0,Four-Seam,InPlay,Undefined,Popup,Out,1,0,NA,KAN_WIL,WM_TRI,KansasState,D1,BIG12,20250307-KansasState-1,de2784a0-fb97-11ef-bf97-99b7a1234586,90.03495,142.92586,NA,8.51012,NA,NA,NA,b2e33c2e-9c4b-4c2c-a0fc-865035391d3d,2025-03-07,21:05:14,2025-03-07T21:05:14Z,2025-03-07T21:05:14Z,Popup,v3,471328,471493,NA,"Madliak, Bear",1000213566,Right,KAN_WIL,54.19184,-132.26643,14.86705,5.72097,-4.51529,-5.46317,2.41744,-9.04973,8.58658,181.579486,2.01636,60.99726,-22.16768,6.63017,-1.21028,0.09269,0.01115,-0.00296,1.8e-4,1.711,110.33367,-27.98431,4.67475,-1.7126,0.52194,-0.09709,0.00933,-3.5e-4,-0.08593,7.26809,-1.7595,0.38247,-0.00733,-0.0227,0.00664,-8.1e-4,4e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Low,NA,NA,NA
2,2025-03-07,15:05:54,"Frost, Jacob",1000238999,Left,KAN_WIL,Undefined,Fastball,NA,NA,91.0653,-2.667697,3.533374,2299.441359,141.055981,10:45:00,5.78338,-2.30665,6.08296,-11.61201,22.11013,-16.94032,2.34113,-0.44519,82.73258,-4.948116,0.489555,0.417955,9.69485,12.47209,2.04191,50,5.57037,-7.4162,-131.92579,-6.41387,17.01315,29.18307,-10.28721,5f19b154-dd57-40c4-8b8f-6323a2a21346,NA,NA,NA,NA,NA,1000125342,"Parker, Ben",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,WM_TRI,1,Top,1,0,0,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,KAN_WIL,WM_TRI,KansasState,D1,BIG12,20250307-KansasState-1,f5d623e0-fb97-11ef-bf97-99b7a1234586,90.18311,NA,NA,8.33272,NA,NA,NA,b2e33c2e-9c4b-4c2c-a0fc-865035391d3d,2025-03-07,21:05:54,2025-03-07T21:05:54Z,2025-03-07T21:05:54Z,NA,v3,471328,471493,NA,"Madliak, Bear",1000213566,Right,KAN_WIL,54.41662,-132.8992,14.59154,5.77858,-6.07074,-5.14361,2.29874,-7.98367,8.50658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-03-07,15:06:14,"Frost, Jacob",1000238999,Left,KAN_WIL,Undefined,Fastball,NA,NA,92.07956,-1.945336,4.133533,2236.878677,142.441497,10:45:00,5.78006,-2.28653,6.05816,-10.89363,22.34281,-16.26296,3.06624,0.19092,83.04185,-4.10971,1.216335,0.414934,9.57367,12.39575,1.97314,50,5.62243,-8.91242,-133.2698,-4.75966,17.03351,31.50476,-10.11948,8b852f18-1940-4521-b154-bf57bdb81c09,NA,NA,NA,NA,NA,1000125342,"Parker, Ben",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,WM_TRI,1,Top,1,0,1,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,KAN_WIL,WM_TRI,KansasState,D1,BIG12,20250307-KansasState-1,015f2c70-fb98-11ef-bf97-99b7a1234586,90.83967,NA,NA,9.03772,NA,NA,NA,b2e33c2e-9c4b-4c2c-a0fc-865035391d3d,2025-03-07,21:06:14,2025-03-07T21:06:14Z,2025-03-07T21:06:14Z,NA,v3,471328,471493,NA,"Madliak, Bear",1000213566,Right,KAN_WIL,54.44015,-134.31534,15.75238,5.77482,-4.42383,-5.05974,2.27829,-9.47771,8.51676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-03-07,15:06:34,"Frost, Jacob",1000238999,Left,KAN_WIL,Undefined,Fastball,NA,NA,91.55361,-1.62053,4.151714,2237.597361,144.267064,10:45:00,5.86116,-2.06627,6.0932,-11.98816,21.19863,-14.48292,3.35882,0.57389,83.51001,-3.959541,1.552486,0.414624,8.55197,11.6591,1.75299,50,5.72926,-9.0066,-132.68625,-4.04271,15.2649,28.06119,-11.36301,19c068af-cee1-4cc2-ad83-7ef93dc7e7c6,NA,NA,NA,NA,NA,1000125342,"Parker, Ben",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,WM_TRI,1,Top,1,0,2,Four-Seam,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,NA,KAN_WIL,WM_TRI,KansasState,D1,BIG12,20250307-KansasState-1,0d561200-fb98-11ef-bf97-99b7a1234586,90.9076,NA,NA,8.0436,NA,NA,NA,b2e33c2e-9c4b-4c2c-a0fc-865035391d3d,2025-03-07,21:06:34,2025-03-07T21:06:34Z,2025-03-07T21:06:34Z,NA,v3,471328,471493,NA,"Madliak, Bear",1000213566,Right,KAN_WIL,54.40657,-133.61492,14.03059,5.85683,-3.66665,-5.6815,2.05942,-9.51178,7.63245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.93276,2.744727,1.818726,0.926001,-1.80061,3.13105,-0.65666,0.40367,4.91913,-2.61846,76.26363,11.6435,-48.55405,0.57616,89.04055,-7.79666,4.96936,18.94523,-12.6471,-2.82875,-56.69171,7.78589,High,High,High,NA,NA,High,High,High
5,2025-03-07,15:07:06,"Frost, Jacob",1000238999,Left,KAN_WIL,Undefined,Fastball,NA,NA,91.18914,-1.495708,5.280408,2235.091176,138.729005,10:30:00,5.68093,-2.16792,6.06371,-12.43583,21.50048,-17.80418,3.2541,1.24937,82.23753,-3.941151,2.09462,0.41928,10.702209999999999,11.83044,1.76615,50,5.55754,-11.40539,-131.81701,-3.73733,18.65043,30.51754,-11.55746,a018e95c-8314-4a58-b8b5-c8e1f00f9ece,NA,NA,NA,NA,NA,810941,"Carmichael, Lucas",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,WM_TRI,1,Top,2,0,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,KAN_WIL,WM_TRI,KansasState,D1,BIG12,20250307-KansasState-1,208ff200-fb98-11ef-bf97-99b7a1234586,89.89808,NA,NA,8.95161,NA,NA,NA,b2e33c2e-9c4b-4c2c-a0fc-865035391d3d,2025-03-07,21:07:06,2025-03-07T21:07:06Z,2025-03-07T21:07:06Z,NA,v3,471328,471493,NA,"Madliak, Bear",1000213566,Right,KAN_WIL,54.43501,-132.83981,15.25877,5.6763,-3.34998,-5.77873,2.15888,-12.03046,9.32522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-03-07,15:07:25,"Frost, Jacob",1000238999,Left,KAN_WIL,Undefined,Fastball,NA,NA,91.00408,-0.811711,4.041362,2270.64341,140.125402,10:45:00,5.78217,-2.2516,5.92714,-12.32804,21.53411,-17.06044,3.99972,0.0829,82.72878,-3.21647,0.987896,0.418821,9.81768,11.5532,1.93728,50,5.70996,-8.56854,-131.88605,-2.16927,17.26589,28.44516,-11.85605,839a204e-ae83-430c-a4ed-ea2b832f96f7,NA,NA,NA,NA,NA,810941,"Carmichael, Lucas",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,WM_TRI,1,Top,2,1,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,KAN_WIL,WM_TRI,KansasState,D1,BIG12,20250307-KansasState-1,2babb9d0-fb98-11ef-bf97-99b7a1234586,89.99648,NA,NA,8.27529,NA,NA,NA,b2e33c2e-9c4b-4c2c-a0fc-865035391d3d,2025-03-07,21:07:25,2025-03-07T21:07:25Z,2025-03-07T21:07:25Z,NA,v3,471328,471493,NA,"Madliak, Bear",1000213566,Right,KAN_WIL,54.57256,-132.8686,14.22258,5.77781,-1.75973,-5.92803,2.24355,-9.16493,8.63294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-03-07,15:07:46,"Frost, Jacob",1000238999,Left,KAN_WIL,Undefined,Fastball,NA,NA,92.09147,-2.494811,3.852125,2381.971522,141.305979,10:45:00,5.68524,-2.08459,5.98606,-12.50489,20.3467,-15.46769,2.3241,0.20223,84.30785,-4.910892,1.07961,0.412524,9.01323,11.45564,1.7888,50,5.48087,-8.33278,-133.49247,-6.16048,16.32314,27.76154,-11.42766,38627a83-8399-43dc-b8b3-1ccde790b386,NA,NA,NA,NA,-20.224103,810941,"Carmichael, Lucas",3159.792355,NA,105.10541,Left,3.377841,NA,NA,NA,107.47653,102.34147,0.794414,-24.10178,0.9337,2.18107,-0.08996,NA,NA,NA,NA,NA,3,3,WM_TRI,1,Top,2,2,0,Four-Seam,InPlay,Undefined,GroundBall,Single,0,0,NA,KAN_WIL,WM_TRI,KansasState,D1,BIG12,20250307-KansasState-1,386d9080-fb98-11ef-bf97-99b7a1234586,91.37023,3.50484,NA,7.78363,NA,NA,NA,b2e33c2e-9c4b-4c2c-a0fc-865035391d3d,2025-03-07,21:07:46,2025-03-07T21:07:46Z,2025-03-07T21:07:46Z,GroundBall,v3,471328,471493,NA,"Madliak, Bear",1000213566,Right,KAN_WIL,54.51597,-134.42834,13.88077,5.68205,-5.77523,-5.71383,2.07899,-8.88305,8.16157,97.196782,1.06724,142.09432,-25.29322,NA,NA,NA,NA,NA,NA,2.2099,8.58819,-14.35436,NA,NA,NA,NA,NA,NA,-0.04463,-53.99809,-1.56272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
8,2025-03-07,15:08:22,"Frost, Jacob",1000238999,Left,KAN_WIL,Undefined,ChangeUp,NA,NA,85.09272,-1.11064,5.753477,1557.752552,98.776741,09:15:00,5.40864,-2.89791,6.12224,-33.58955,4.41603,-21.70182,1.57741,0.6306,78.941,-7.303678,1.862782,0.443706,12.57528,2.87957,2.46715,50,5.3055,-11.58897,-123.29201,-3.48568,19.6477,21.05698,-27.67501,eb5ebba2-581b-4c01-88a8-80c9b3d5cdcf,NA,NA,NA,NA,NA,1000268595,"Holmes, Derek",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,WM_TRI,1,Top,2,0,0,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,KAN_WIL,WM_TRI,KansasState,D1,BIG12,20250307-KansasState-1,4e187080-fb98-11ef-bf97-99b7a1234586,84.9492,NA,NA,6.15172,NA,NA,NA,b2e33c2e-9c4b-4c2c-a0fc-865035391d3d,2025-03-07,21:08:22,2025-03-07T21:08:22Z,2025-03-07T21:08:22Z,NA,v3,471328,471493,NA,"Madliak, Bear",1000213566,Right,KAN_WIL,54.38226,-124.03819,10.52849,5.41164,-2.50497,-13.8375,2.89016,-12.28521,9.82385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-03-07,15:08:55,"Frost, Jacob",1000238999,Left,KAN_WIL,Undefined,Fastball,NA,NA,91.70022,-1.312685,4.335152,2174.377858,138.254236,10:30:00,5.67476,-2.31622,6.1912,-14.12977,18.5867,-15.71796,3.2816,0.3842,84.26136,-4.024464,1.509596,0.411675,9.26441,10.26953,1.99683,50,5.56823,-9.43996,-133.03343,-3.43969,16.74348,26.27759,-13.61402,bfba3980-1951-4cb9-9146-9014290d5b28,NA,NA,NA,NA,124.169488,1000268595,"Holmes, Derek",3394.820747,NA,68.85821,Right,47.471042,NA,NA,NA,NA,33.94893,NA,NA,1.21486,3.09002,-0.52064,NA,NA,NA,NA,NA,4,2,WM_TRI,1,Top,2,1,0,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,KAN_WIL,WM_TRI,KansasState,D1,BIG12,20250307-KansasState-1,61622f00-fb98-11ef-bf97-99b7a1234586,91.55871,35.76164,NA,7.43886,NA,NA,NA,b2e33c2e-9c4b-4c2c-a0fc-865035391d3d,2025-03-07,21:08:55,2025-03-07T21:08:55Z,2025-03-07T21:08:55Z,NA,v3,471328,471493,NA,"Madliak, Bear",1000213566,Right,KAN_WIL,54.31121,-133.88229,13.13879,5.67224,-2.99991,-6.80701,2.31052,-9.98084,8.37174,322.228977,1.21486,-38.34151,-3.64509,1.56301,0.95861,-4.69986,9.13359,-9.3832,4.0092,3.09002,74.42453,-25.23128,2.68033,-0.24619,-0.85882,1.77897,-1.83833,0.78708,-0.52064,56.48253,-7.19667,1.37136,0.17141,-1.39095,2.71048,-2.78706,1.19173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Undefined,NA,NA,NA
10,2025-03-07,15:09:38,"Frost, Jacob",1000238999,Left,KAN_WIL,Undefined,Slider,NA,NA,83.27332,0.697258,3.418527,2285.130424,214.899749,01:15:00,5.44089,-2.79069,6.1285,-36.66766,2.6611,1.15768,3.03097,0.46957,77.63496,-6.056482,3.626622,0.451364,0.17622,1.50571,2.52844,50,5.47485,-7.27376,-121.05745,0.3177,0.26614,19.70741,-29.90003,6ced0d94-5f49-4261-92e5-142a38f66133,NA,NA,NA,NA,9.216743,1000268595,"Holmes, Derek",2164.649596,NA,67.70838,Right,-0.032201,NA,NA,NA,40.16611,38.30951,0.412285,10.091547,0.92886,3.11796,-0.47295,NA,NA,NA,NA,NA,4,3,WM_TRI,1,Top,2,1,1,Slider,InPlay,Undefined,GroundBall,Out,1,0,NA,KAN_WIL,WM_TRI,KansasState,D1,BIG12,20250307-KansasState-1,7b52cf00-fb98-11ef-bf97-99b7a1234586,83.50793,3.11796,NA,5.63836,NA,NA,NA,b2e33c2e-9c4b-4c2c-a0fc-865035391d3d,2025-03-07,21:09:38,2025-03-07T21:09:38Z,2025-03-07T21:09:38Z,GroundBall,v3,471328,471493,NA,"Madliak, Bear",1000213566,Right,KAN_WIL,54.37517,-121.76762,9.85371,5.44399,1.39516,-14.95002,2.79073,-7.28335,0.13307,289.184794,0.93092,97.95669,-10.43815,NA,NA,NA,NA,NA,NA,3.12243,-0.19997,-17.91027,NA,NA,NA,NA,NA,NA,-0.47682,16.03126,5.34802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA
