PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-29,18:33:16,"Townsend, Cade",807254,Right,OLE_REB,Undefined,Fastball,NA,NA,96.10423,-2.727744,-1.498207,2504.642954,200.92206,12:45:00,5.95908,1.62334,5.72248,-10.08115,20.81237,7.52756,2.57539,0.85478,86.61446,-4.715595,-0.152113,0.400041,-4.31189,11.78477,-1.50294,50,5.72513,3.28926,-139.21836,-6.88326,-8.34475,35.31553,-9.36722,95149064-df38-4738-9904-9698a2c96b63,NA,NA,NA,NA,27.49286,806500,"Proctor, Kyler",NA,NA,76.36073,Right,77.356941,NA,NA,NA,79.39212,77.14936,5.650049,40.228912,3.87065,1.90315,-0.83183,NA,NA,NA,NA,NA,1,1,AUS_GOV,1,Top,0,0,0,Four-Seam,InPlay,Undefined,Popup,Out,1,0,NA,OLE_REB,AUS_GOV,OleMiss,D1,SEC,20250429-OleMiss-1,3d1a11b0-2552-11f0-b064-1dd749cb2d7d,94.22133,136.01233,NA,9.48977,NA,NA,NA,1335e45d-9c5d-40ff-905c-434dc7f2405a,2025-04-29,23:33:16,2025-04-29T23:33:16Z,2025-04-29T23:33:16Z,Popup,v3,5322,471237,29 April 2025 19:30-austinpeay@olemiss,"Fawley, Austin",701366,Right,OLE_REB,54.77643,-140.42477,17.65776,5.95481,-6.56327,-4.68361,-1.62017,3.57432,-4.17238,187.393652,3.86782,21.77155,-6.35449,1.43255,-0.14119,-0.01042,0.00638,-0.00101,6e-5,1.90059,109.32923,-28.83498,4.26753,-1.10928,0.2687,-0.05038,0.00549,-2.5e-4,-0.83076,11.30245,-0.76184,0.13789,-0.03602,0.01179,-0.00241,2.5e-4,-1e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA
2,2025-04-29,18:33:51,"Townsend, Cade",807254,Right,OLE_REB,Undefined,Fastball,NA,NA,95.85615,-3.503691,-2.27695,2507.733839,189.946603,12:15:00,5.98631,1.34527,6.00528,-8.52634,22.32159,3.71339,2.02287,-0.45606,86.25623,-5.222867,-1.610092,0.399746,-2.65406,12.9565,-1.16827,50,5.70588,5.34952,-138.73774,-8.65994,-5.08916,35.73061,-7.32995,528bcffc-b519-4a95-9616-20d1c6ebc2ad,NA,NA,NA,NA,144.585034,700083,"Bay, John",4656.280883,NA,77.73686,Right,49.77651,-97.49751,76.83501,50.93355,232.36337,70.87886,4.020826,156.727851,1.48923,1.92102,0.3846,NA,NA,NA,NA,NA,2,1,AUS_GOV,1,Top,1,0,0,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,OLE_REB,AUS_GOV,OleMiss,D1,SEC,20250429-OleMiss-1,522fdda0-2552-11f0-b064-1dd749cb2d7d,94.29094,77.57112,NA,9.59992,NA,NA,NA,1335e45d-9c5d-40ff-905c-434dc7f2405a,2025-04-29,23:33:51,2025-04-29T23:33:51Z,2025-04-29T23:33:51Z,FlyBall,v3,5322,471237,29 April 2025 19:30-austinpeay@olemiss,"Fawley, Austin",701366,Right,OLE_REB,54.4936,-139.89024,17.8653,5.98139,-8.42352,-3.66497,-1.34346,5.51367,-2.54458,321.270745,1.49159,-60.06913,0.19992,0.43292,0.27924,-0.25244,0.08075,-0.01136,5.7e-4,1.91976,87.09181,-30.59991,4.62512,-1.45996,0.53134,-0.15061,0.02391,-0.00153,0.38448,42.67568,-11.60591,3.55971,-1.19241,0.46777,-0.14332,0.02454,-0.00169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Low,NA,NA,NA
3,2025-04-29,18:34:10,"Townsend, Cade",807254,Right,OLE_REB,Undefined,Fastball,NA,NA,95.55693,-1.288556,-1.185599,2444.329515,205.28776,12:45:00,6.00295,1.54764,5.99341,-12.05095,18.53914,8.28237,3.80408,1.13893,86.86359,-3.626909,0.303427,0.398072,-4.61252,10.21339,-1.45879,50,5.89478,2.50302,-138.75895,-3.44941,-8.94919,32.45915,-12.35809,29b10a30-1dff-4ace-a793-471345f350cb,NA,NA,NA,NA,NA,700083,"Bay, John",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,AUS_GOV,1,Top,1,0,1,Four-Seam,HitByPitch,Undefined,Undefined,Undefined,0,0,NA,OLE_REB,AUS_GOV,OleMiss,D1,SEC,20250429-OleMiss-1,5d1cf450-2552-11f0-b064-1dd749cb2d7d,94.68741,NA,NA,8.69334,NA,NA,NA,1335e45d-9c5d-40ff-905c-434dc7f2405a,2025-04-29,23:34:10,2025-04-29T23:34:10Z,2025-04-29T23:34:10Z,NA,v3,5322,471237,29 April 2025 19:30-austinpeay@olemiss,"Fawley, Austin",701366,Right,OLE_REB,54.5068,-139.80923,16.22958,5.99992,-3.04954,-6.17905,-1.54446,2.79258,-4.4746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-04-29,18:34:51,"Townsend, Cade",807254,Right,OLE_REB,Undefined,Cutter,NA,NA,90.77852,-1.89538,-2.127628,2556.813107,145.612463,10:45:00,6.00918,1.49509,5.9141,-24.67434,8.98249,-5.48225,2.19198,-0.93738,83.88646,-6.45971,-3.111348,0.417549,2.28626,5.39276,-1.32118,50,5.84284,5.12649,-131.87049,-5.20942,4.05556,26.10464,-22.60787,74d06e53-e8f2-4a7c-9c17-bd29034e18de,NA,NA,NA,NA,47.741761,800728,"Nickens, Cameron",NA,NA,76.91059,Right,-15.129005,NA,NA,NA,8.44945,8.44945,0.06942,51.511326,0.16328,2.04854,1.00576,NA,NA,NA,NA,NA,3,1,AUS_GOV,1,Top,1,0,0,Cutter,InPlay,Undefined,GroundBall,Out,2,0,NA,OLE_REB,AUS_GOV,OleMiss,D1,SEC,20250429-OleMiss-1,75e14950-2552-11f0-b064-1dd749cb2d7d,90.27062,2.04854,NA,6.89206,NA,NA,NA,1335e45d-9c5d-40ff-905c-434dc7f2405a,2025-04-29,23:34:51,2025-04-29T23:34:51Z,2025-04-29T23:34:51Z,GroundBall,v3,5322,471237,29 April 2025 19:30-austinpeay@olemiss,"Fawley, Austin",701366,Right,OLE_REB,54.58811,-132.77562,13.05232,6.00988,-4.42553,-11.30393,-1.4965,4.98587,2.02778,NA,0.16138,73.39807,NA,NA,NA,NA,NA,NA,NA,2.04931,-29.50926,NA,NA,NA,NA,NA,NA,NA,1.00366,80.78163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Estimated,Estimated,NA,NA,NA
5,2025-04-29,18:37:59,"Cox, Chance",1000139292,Left,AUS_GOV,Undefined,Sinker,NA,NA,89.51263,-2.061203,4.453006,2138.023964,114.663637,09:45:00,5.45972,-2.18403,5.56812,-26.86159,8.76103,-16.48072,1.28909,0.61081,81.61374,-7.023248,1.521672,0.42957,9.62776,5.37851,1.81047,50,5.26384,-9.35975,-129.51205,-5.63359,16.29344,27.96152,-23.07181,f1f5e53f-75b3-44a8-b63e-159cf9ff2f41,NA,NA,NA,NA,NA,820838,"Federico, Hayden",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,OLE_REB,1,Bottom,0,0,0,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,OLE_REB,AUS_GOV,OleMiss,D1,SEC,20250429-OleMiss-1,e62f9770-2552-11f0-b064-1dd749cb2d7d,87.74452,NA,NA,7.89889,NA,NA,NA,1335e45d-9c5d-40ff-905c-434dc7f2405a,2025-04-29,23:37:59,2025-04-29T23:37:59Z,2025-04-29T23:37:59Z,NA,v3,5322,471237,29 April 2025 19:30-austinpeay@olemiss,"Cottam, Keaton",807042,Right,AUS_GOV,54.93277,-130.57269,13.98076,5.46094,-4.75843,-11.53591,2.17722,-9.97779,8.14672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-04-29,18:38:15,"Cox, Chance",1000139292,Left,AUS_GOV,Undefined,Sinker,NA,NA,88.91757,0.258305,5.562397,2078.997757,125.990859,10:15:00,5.41657,-2.25215,5.8127,-24.43509,11.28158,-13.94859,3.62165,1.77424,81.00632,-4.301522,3.081001,0.430137,8.74871,6.01933,1.80358,50,5.4233,-11.94814,-128.6184,-0.22569,14.64715,26.81178,-22.09646,a5ad7733-77bf-46bf-bc0e-abb46aee0b73,NA,NA,NA,NA,NA,820838,"Federico, Hayden",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,OLE_REB,1,Bottom,0,0,1,Sinker,HitByPitch,Undefined,Undefined,Undefined,0,0,NA,OLE_REB,AUS_GOV,OleMiss,D1,SEC,20250429-OleMiss-1,ef4e56c0-2552-11f0-b064-1dd749cb2d7d,87.62891,NA,NA,7.91126,NA,NA,NA,1335e45d-9c5d-40ff-905c-434dc7f2405a,2025-04-29,23:38:15,2025-04-29T23:38:15Z,2025-04-29T23:38:15Z,NA,v3,5322,471237,29 April 2025 19:30-austinpeay@olemiss,"Cottam, Keaton",807042,Right,AUS_GOV,54.68949,-129.59228,13.40589,5.41693,0.57692,-11.04823,2.24724,-12.48017,7.32358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-04-29,18:38:52,"Cox, Chance",1000139292,Left,AUS_GOV,Undefined,Sinker,NA,NA,87.61682,-0.239447,4.268479,1947.037019,112.744161,09:45:00,5.3893,-2.39195,5.66447,-28.61041,8.23481,-16.82548,2.7812,0.1936,80.01095,-5.536523,1.271211,0.43688,9.75406,4.59055,2.04143,50,5.35091,-8.76291,-126.95537,-1.52227,15.91894,25.99769,-24.6821,34ca1523-bf5c-42b4-afb1-cebe5a1d5651,NA,NA,NA,NA,33.920335,702619,"Hill, Luke",NA,NA,83.18101,Right,66.184307,61.9585,127.6154,90.89083,155.41016,69.94529,5.866472,57.881552,0.68888,2.9718,-0.43936,NA,NA,NA,NA,NA,2,1,OLE_REB,1,Bottom,0,0,0,Sinker,InPlay,Undefined,Popup,Out,1,0,NA,OLE_REB,AUS_GOV,OleMiss,D1,SEC,20250429-OleMiss-1,053443f0-2553-11f0-b064-1dd749cb2d7d,86.27644,143.3284,NA,7.60587,NA,NA,NA,1335e45d-9c5d-40ff-905c-434dc7f2405a,2025-04-29,23:38:52,2025-04-29T23:38:52Z,2025-04-29T23:38:52Z,Popup,v3,5322,471237,29 April 2025 19:30-austinpeay@olemiss,"Cottam, Keaton",807042,Right,AUS_GOV,54.83727,-127.9421,12.99884,5.39091,-0.58548,-12.34105,2.38549,-9.36711,7.95947,197.876402,0.67525,41.039790000000004,-16.77959,5.11719,-0.79974,-0.05266,0.04913,-0.00799,4.3e-4,2.94567,112.05419,-29.5691,5.42581,-2.00941,0.59724,-0.10893,0.01042,-4e-4,-0.42978,27.3464,0.02282,-0.98132,0.44294,-0.10132,0.01111,-3.4e-4,-2e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Low,NA,NA,NA
8,2025-04-29,18:39:52,"Cox, Chance",1000139292,Left,AUS_GOV,Undefined,Slider,NA,NA,79.05923,1.33151,2.275552,2899.764083,298.331785,04:00:00,5.24071,-2.53233,5.36682,-47.48664,-1.97165,6.18575,2.53323,0.11801,72.79473,-7.305532,3.373909,0.485566,-2.48225,-0.90811,2.32351,50,5.32656,-4.80668,-114.72991,1.02212,-3.31714,20.70945,-33.3876,09727e7b-22e9-4185-a8bc-44b36f198788,NA,NA,NA,NA,NA,689407,"Sanford, Mitchell",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,OLE_REB,1,Bottom,1,0,0,Curveball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,OLE_REB,AUS_GOV,OleMiss,D1,SEC,20250429-OleMiss-1,292e0340-2553-11f0-b064-1dd749cb2d7d,77.62572,NA,NA,6.2645,NA,NA,NA,1335e45d-9c5d-40ff-905c-434dc7f2405a,2025-04-29,23:39:52,2025-04-29T23:39:52Z,2025-04-29T23:39:52Z,NA,v3,5322,471237,29 April 2025 19:30-austinpeay@olemiss,"Cottam, Keaton",807042,Right,AUS_GOV,55.13481,-115.65306,10.35472,5.24782,2.51041,-16.6938,2.53448,-4.65882,-1.65857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-04-29,18:40:14,"Cox, Chance",1000139292,Left,AUS_GOV,Undefined,Slider,NA,NA,81.46054,1.9143,3.52094,1579.946434,280.442995,03:15:00,5.23173,-2.20788,5.37984,-42.55487,0.23976,5.35437,3.48412,1.54318,75.09825,-5.832001,4.468918,0.470832,-1.77748,0.01909,1.88844,50,5.3733,-7.48555,-118.0938,2.45101,-2.52804,20.98986,-32.14688,5d45dca9-a82b-4130-be23-ea0f5234077c,NA,NA,NA,NA,NA,689407,"Sanford, Mitchell",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,OLE_REB,1,Bottom,1,0,1,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,OLE_REB,AUS_GOV,OleMiss,D1,SEC,20250429-OleMiss-1,360e1050-2553-11f0-b064-1dd749cb2d7d,80.05494,NA,NA,6.36229,NA,NA,NA,1335e45d-9c5d-40ff-905c-434dc7f2405a,2025-04-29,23:40:14,2025-04-29T23:40:14Z,2025-04-29T23:40:14Z,NA,v3,5322,471237,29 April 2025 19:30-austinpeay@olemiss,"Cottam, Keaton",807042,Right,AUS_GOV,55.12182,-119.00067,10.49493,5.2374,3.83991,-16.07344,2.20948,-7.37633,-1.26402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-04-29,18:40:33,"Cox, Chance",1000139292,Left,AUS_GOV,Undefined,Sinker,NA,NA,89.82467,0.158557,3.096704,2120.235823,121.045375,10:00:00,5.53482,-2.21477,5.78945,-24.20907,10.5654,-15.73607,3.66512,-0.64243,82.03986,-4.359673,0.282381,0.424426,8.91422,5.66894,1.96922,50,5.53336,-6.38169,-130.3561,-0.45855,15.34776,27.24778,-22.41375,2d8c00cd-741d-4d3a-9bef-55ae10eaf0a0,NA,NA,NA,NA,-173.237554,689407,"Sanford, Mitchell",3839.35777,NA,72.72131,Left,49.940253,-109.95715,68.81603,-3.06124,210.88456,68.23787,3.733244,175.821291,1.09396,3.63782,0.62604,NA,NA,NA,NA,NA,3,3,OLE_REB,1,Bottom,1,1,1,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,OLE_REB,AUS_GOV,OleMiss,D1,SEC,20250429-OleMiss-1,41865000-2553-11f0-b064-1dd749cb2d7d,88.80812,68.81558,NA,7.78481,NA,NA,NA,1335e45d-9c5d-40ff-905c-434dc7f2405a,2025-04-29,23:40:33,2025-04-29T23:40:33Z,2025-04-29T23:40:33Z,Popup,v3,5322,471237,29 April 2025 19:30-austinpeay@olemiss,"Cottam, Keaton",807042,Right,AUS_GOV,54.71227,-131.3374,13.62389,5.53534,0.34865,-11.20687,2.209,-6.93442,7.67388,16.398122,1.09342,-68.15037,1.96414,0.65733,-0.18483,-0.00996,0.03142,-0.00888,7.7e-4,3.63834,81.6193,-30.45409,3.86168,-0.57261,-0.03156,0.0395,-0.00743,4.6e-4,0.6256,-8.07142,3.7079,-0.15422,-0.0203,-0.01368,0.01985,-0.00576,5.2e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Low,NA,NA,NA
