PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-26,14:07:58,"Magovern, Ben",1000120882,Left,BUC_BIS,Undefined,Fastball,NA,NA,82.14263,-1.05179,4.561204,2057.35953,146.139403,10:45:00,5.97195,-2.05103,5.92656,-24.77399,17.18017,-10.53489,2.9283,1.31226,74.39583,-5.729776,2.678127,0.466186,6.71839,9.53737,1.69126,50,5.87364,-9.05366,-118.81059,-2.89024,9.51811,24.64626,-18.66224,bc717a8a-acf0-4f4a-83b3-297c2b0a1db5,NA,NA,NA,NA,NA,823247,"Barr, Chris",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,ARM_BLA,1,Top,0,0,0,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,BUC_BIS,ARM_BLA,DepewField,D1,PAT,20250426-DepewField-1,62a92af0-22c9-11f0-9902-1d3830272f95,80.85284,NA,NA,7.7468,NA,NA,NA,c4928886-db72-4738-bbce-eb93f839fcd8,2025-04-26,18:07:58,2025-04-26T18:07:58Z,2025-04-26T18:07:58Z,NA,v3,471249,4744,26 April 2025 13:00-army@bucknell,"Nascimento, Luke",10109928,Right,BUC_BIS,54.56807,-119.75444,12.32313,5.97064,-2.17555,-9.33112,2.04496,-9.41817,4.75906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-04-26,14:08:10,"Magovern, Ben",1000120882,Left,BUC_BIS,Undefined,Fastball,NA,NA,82.21884,-0.773986,3.44723,1935.459481,120.846925,10:00:00,5.83768,-2.37392,5.70649,-30.98702,10.95871,-15.97288,2.53294,-0.48926,74.84918,-6.531517,0.594459,0.466139,9.19481,6.20662,2.09511,50,5.75355,-6.55003,-119.16911,-2.59751,13.13828,24.26117,-23.30556,2679c623-0af3-4ccd-afe8-822f54de07ad,NA,NA,NA,NA,-67.629677,823247,"Barr, Chris",NA,NA,67.37482,Right,-23.640827,NA,NA,NA,7.36625,7.36625,0.067802,-44.839563,2.87756,2.69794,0.50541,NA,NA,NA,NA,NA,1,2,ARM_BLA,1,Top,0,1,0,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,BUC_BIS,ARM_BLA,DepewField,D1,PAT,20250426-DepewField-1,6a23fe40-22c9-11f0-9902-1d3830272f95,80.86097,2.69794,NA,7.36965,NA,NA,NA,c4928886-db72-4738-bbce-eb93f839fcd8,2025-04-26,18:08:10,2025-04-26T18:08:10Z,2025-04-26T18:08:10Z,GroundBall,v3,471249,4744,26 April 2025 13:00-army@bucknell,"Nascimento, Luke",10109928,Right,BUC_BIS,54.79286,-120.1409,12.13058,5.8389,-1.66399,-11.65278,2.36802,-7.07629,6.56914,NA,2.87599,34.59645,NA,NA,NA,NA,NA,NA,NA,2.69975,-39.79118,NA,NA,NA,NA,NA,NA,NA,0.50923,-84.06083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Estimated,Estimated,NA,NA,NA
3,2025-04-26,14:08:28,"Magovern, Ben",1000120882,Left,BUC_BIS,Undefined,Slider,NA,NA,75.24477,0.736197,1.438456,2112.308527,281.269969,03:30:00,5.9577,-2.45078,5.39241,-52.73877,-1.27614,16.1454,2.25302,0.24307,67.87225,-8.913097,4.31092,0.516318,-7.63402,-0.3835,2.31048,50,5.98658,-3.35088,-108.98294,-0.30682,-8.94646,23.72063,-32.6235,1d64d816-046f-4467-9cfa-2b49599eae5d,NA,NA,NA,NA,NA,823247,"Barr, Chris",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,ARM_BLA,1,Top,0,1,1,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,BUC_BIS,ARM_BLA,DepewField,D1,PAT,20250426-DepewField-1,74c713a0-22c9-11f0-9902-1d3830272f95,73.00234,NA,NA,7.37252,NA,NA,NA,c4928886-db72-4738-bbce-eb93f839fcd8,2025-04-26,18:08:28,2025-04-26T18:08:28Z,2025-04-26T18:08:28Z,NA,v3,471249,4744,26 April 2025 13:00-army@bucknell,"Nascimento, Luke",10109928,Right,BUC_BIS,55.10579,-110.08863,11.86032,5.96544,1.21386,-16.31175,2.45695,-2.93386,-4.47323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-04-26,14:08:46,"Magovern, Ben",1000120882,Left,BUC_BIS,Undefined,Slider,NA,NA,76.48798,-2.209182,0.993476,2193.048458,292.032142,03:45:00,6.06309,-2.33955,5.26118,-50.62184,-0.64764,6.22185,-0.23224,-0.88761,69.53205,-11.376412,2.101696,0.508797,-2.79559,0.91146,2.24374,50,5.82341,-2.16019,-110.72246,-5.96198,-3.39171,23.95054,-31.06822,24988090-f534-4277-901a-834b3113816e,NA,NA,NA,NA,NA,823247,"Barr, Chris",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,ARM_BLA,1,Top,0,1,2,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,BUC_BIS,ARM_BLA,DepewField,D1,PAT,20250426-DepewField-1,7fca7170-22c9-11f0-9902-1d3830272f95,74.08154,NA,NA,6.95593,NA,NA,NA,c4928886-db72-4738-bbce-eb93f839fcd8,2025-04-26,18:08:46,2025-04-26T18:08:46Z,2025-04-26T18:08:46Z,NA,v3,471249,4744,26 April 2025 13:00-army@bucknell,"Nascimento, Luke",10109928,Right,BUC_BIS,55.23703,-111.84955,11.97527,6.06958,-4.49993,-15.53411,2.34164,-2.00058,-1.69585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-04-26,14:09:06,"Magovern, Ben",1000120882,Left,BUC_BIS,Undefined,TwoSeamFastBall,NA,NA,82.93947,-0.914143,3.166182,1925.717079,131.479181,10:30:00,5.97233,-2.25131,5.73075,-26.25529,15.53973,-15.7515,2.93167,-0.61227,74.31513,-5.87152,0.351554,0.465301,9.15335,8.67394,1.99724,50,5.88028,-6.00908,-120.04594,-2.70887,13.05887,28.07729,-19.79913,ad48f9b6-964d-497f-b773-78287cf91684,NA,NA,NA,NA,-37.613354,823247,"Barr, Chris",3977.366625,NA,94.35376,Right,3.896633,NA,NA,NA,76.95888,71.04093,0.598548,-38.211491,2.64412,2.90826,0.70953,NA,NA,NA,NA,NA,1,5,ARM_BLA,1,Top,0,2,2,Changeup,InPlay,Undefined,GroundBall,Out,1,0,NA,BUC_BIS,ARM_BLA,DepewField,D1,PAT,20250426-DepewField-1,8bb5be40-22c9-11f0-9902-1d3830272f95,81.00663,3.77475,NA,8.62433,NA,NA,NA,c4928886-db72-4738-bbce-eb93f839fcd8,2025-04-26,18:09:06,2025-04-26T18:09:06Z,2025-04-26T18:09:06Z,LineDrive,v3,471249,4744,26 April 2025 13:00-army@bucknell,"Nascimento, Luke",10109928,Right,BUC_BIS,54.76643,-121.15561,14.03865,5.97188,-1.92636,-9.89956,2.24493,-6.5252,6.52943,NA,2.68026,108.55104,-20.14643,NA,NA,NA,NA,NA,NA,2.94498,8.5721,-22.63708,NA,NA,NA,NA,NA,NA,0.71251,-84.33701,6.03107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
6,2025-04-26,14:09:41,"Magovern, Ben",1000120882,Left,BUC_BIS,Undefined,TwoSeamFastBall,NA,NA,83.65919,-1.674824,3.932551,1881.086115,119.819743,10:00:00,5.99071,-2.13028,5.69861,-30.53238,10.03867,-15.11965,1.88152,0.28009,76.28247,-7.329456,1.23388,0.458437,8.94233,5.97882,1.80974,50,5.83076,-7.73348,-121.16978,-4.5424,13.21412,25.01641,-23.33914,ecf1129e-cc5d-466d-885a-f3c858ec6736,NA,NA,NA,NA,36.539524,1000235153,"Ainsworth, Addison",NA,NA,79.79481,Left,-23.887136,NA,NA,NA,8.895,8.895,0.050143,17.127318,4.17821,2.38252,-0.58343,NA,NA,NA,NA,NA,2,1,ARM_BLA,1,Top,1,0,0,Changeup,InPlay,Undefined,GroundBall,Out,1,0,NA,BUC_BIS,ARM_BLA,DepewField,D1,PAT,20250426-DepewField-1,a084bd30-22c9-11f0-9902-1d3830272f95,82.2195,2.38252,NA,7.37671,NA,NA,NA,c4928886-db72-4738-bbce-eb93f839fcd8,2025-04-26,18:09:41,2025-04-26T18:09:41Z,2025-04-26T18:09:41Z,GroundBall,v3,471249,4744,26 April 2025 13:00-army@bucknell,"Nascimento, Luke",10109928,Right,BUC_BIS,54.80163,-122.1571,12.50821,5.99186,-3.62129,-11.66957,2.12525,-8.255,6.60706,180,4.17639,86.19939,NA,NA,NA,NA,NA,NA,NA,2.38352,-47.51427,NA,NA,NA,NA,NA,NA,NA,-0.58477,63.87627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Low,Low,NA,NA,NA
7,2025-04-26,14:10:12,"Magovern, Ben",1000120882,Left,BUC_BIS,Undefined,TwoSeamFastBall,NA,NA,81.06941,-1.356109,3.355042,1835.230719,123.109311,10:00:00,5.79242,-2.5692,5.73655,-30.18884,12.75989,-17.39875,2.01148,-0.89132,74.11943,-6.965066,0.244707,0.471679,9.81516,7.30331,2.30043,50,5.66088,-6.20965,-117.52996,-3.72205,13.69842,22.73636,-21.98128,cd2f09ce-00f6-43ac-be54-42680a358f16,NA,NA,NA,NA,NA,10284379,"Parker, William",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,ARM_BLA,1,Top,2,0,0,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,BUC_BIS,ARM_BLA,DepewField,D1,PAT,20250426-DepewField-1,b2f050b0-22c9-11f0-9902-1d3830272f95,79.91121,NA,NA,6.94998,NA,NA,NA,c4928886-db72-4738-bbce-eb93f839fcd8,2025-04-26,18:10:12,2025-04-26T18:10:12Z,2025-04-26T18:10:12Z,NA,v3,471249,4744,26 April 2025 13:00-army@bucknell,"Nascimento, Luke",10109928,Right,BUC_BIS,54.76237,-118.44766,11.36818,5.79321,-2.83482,-10.99064,2.56223,-6.76256,6.84921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-04-26,14:10:26,"Magovern, Ben",1000120882,Left,BUC_BIS,Undefined,ChangeUp,NA,NA,76.89552,-0.906985,3.064226,1756.084574,120.413124,10:00:00,5.7186,-2.41873,6.18305,-36.53935,10.68024,-15.39662,1.83488,-0.86957,69.99232,-7.738191,0.286869,0.494575,8.98717,6.26634,2.1952,50,5.63154,-5.44164,-111.54313,-2.77729,11.20102,22.07545,-24.36407,53e505f8-9c2e-409a-be2c-b799abfc528f,NA,NA,NA,NA,-56.077689,10284379,"Parker, William",NA,NA,71.99016,Right,-12.803992,NA,NA,NA,10.71233,9.81905,0.086057,-35.242414,3.79142,2.0189,1.18997,NA,NA,NA,NA,NA,3,2,ARM_BLA,1,Top,2,0,1,Changeup,InPlay,Undefined,GroundBall,Out,1,0,NA,BUC_BIS,ARM_BLA,DepewField,D1,PAT,20250426-DepewField-1,bb3af720-22c9-11f0-9902-1d3830272f95,76.21172,2.0189,NA,6.9032,NA,NA,NA,c4928886-db72-4738-bbce-eb93f839fcd8,2025-04-26,18:10:26,2025-04-26T18:10:26Z,2025-04-26T18:10:26Z,GroundBall,v3,471249,4744,26 April 2025 13:00-army@bucknell,"Nascimento, Luke",10109928,Right,BUC_BIS,54.31626,-112.39411,11.03772,5.7205,-1.83808,-12.18203,2.41329,-5.87343,5.60051,180,3.78935,57.60776,NA,NA,NA,NA,NA,NA,NA,2.01975,-23.46018,NA,NA,NA,NA,NA,NA,NA,1.19304,-85.65733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Low,Low,NA,NA,NA
9,2025-04-26,14:12:53,"Lehman, Justin",1000136807,Right,ARM_BLA,Undefined,Fastball,NA,NA,84.41238,-0.069283,0.252859,2013.950824,174.108588,11:45:00,5.62243,1.43615,5.90636,-27.97198,11.45902,-1.04547,3.22712,1.58373,76.68761,-5.309267,0.065089,0.45195,0.6202,6.26902,-1.45582,50,5.60092,-0.50058,-122.58726,-1.01835,0.93511,26.30807,-22.72193,1d4b6bd1-aa26-4577-a9d6-2a9f04382352,NA,NA,NA,NA,NA,1000120885,"Karp, Brady",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,BUC_BIS,1,Bottom,0,0,0,Slider,HitByPitch,Undefined,Undefined,Undefined,0,0,NA,BUC_BIS,ARM_BLA,DepewField,D1,PAT,20250426-DepewField-1,13153320-22ca-11f0-9902-1d3830272f95,83.39957,NA,NA,7.72477,NA,NA,NA,c4928886-db72-4738-bbce-eb93f839fcd8,2025-04-26,18:12:53,2025-04-26T18:12:53Z,2025-04-26T18:12:53Z,NA,v3,471249,4744,26 April 2025 13:00-army@bucknell,"Quinlan, Jack",10025449,Right,ARM_BLA,54.59307,-123.56903,13.15404,5.6231,-0.17041,-11.36096,-1.43648,-0.53548,0.46756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-04-26,14:13:27,"Lehman, Justin",1000136807,Right,ARM_BLA,Undefined,Fastball,NA,NA,81.00916,0.539029,-1.353516,2042.02298,146.033274,10:45:00,5.55732,1.44665,5.81751,-35.37463,7.00977,-3.89276,3.11077,-0.13646,74.72007,-5.99292,-2.051082,0.46857,1.64126,3.8213,-1.33351,50,5.58037,2.93104,-117.74195,-0.01906,2.31961,20.934,-26.77332,4878da93-4329-4822-bf58-ff0d559723b4,NA,NA,NA,NA,NA,1000120884,"Kender, Billy",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,BUC_BIS,1,Bottom,0,0,0,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,BUC_BIS,ARM_BLA,DepewField,D1,PAT,20250426-DepewField-1,270ff220-22ca-11f0-9902-1d3830272f95,80.44143,NA,NA,6.28909,NA,NA,NA,c4928886-db72-4738-bbce-eb93f839fcd8,2025-04-26,18:13:27,2025-04-26T18:13:27Z,2025-04-26T18:13:27Z,NA,v3,471249,4744,26 April 2025 13:00-army@bucknell,"Quinlan, Jack",10025449,Right,ARM_BLA,54.68187,-118.57144,10.467,5.56011,1.04182,-13.38666,-1.44783,2.83913,1.1598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
