PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-05-16,16:33:27,"Bremner, Tyler",803285,Right,SAN_GAU,Undefined,Fastball,NA,NA,95.99314,-2.666377,-5.020544,2276.465547,220.178355,01:15:00,5.7709,2.54102,5.52796,-11.98288,19.48651,15.44895,2.26836,-0.87687,86.12438,-4.999438,-2.282176,0.403753,-9.34225,10.98851,-2.1141,50,5.53058,11.40552,-138.48707,-6.80516,-17.86708,35.31555,-11.15843,53be1959-467f-4e86-90b9-bab9e2f58963,NA,NA,NA,NA,NA,683277,"Johnson, Tyrese",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,CSU_BAK,1,Top,0,0,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,SAN_GAU,CSU_BAK,CaesarUyesaka,D1,BW,20250516-CaesarUyesaka-1,0a791b60-32af-11f0-827e-ff2ba462ea8e,93.35522,NA,NA,9.86876,NA,NA,NA,5b86c7b9-bd22-47ec-8a1e-591d78b5bbf9,2025-05-16,23:33:27,2025-05-16T23:33:27Z,2025-05-16T23:33:27Z,NA,v3,471258,471252,16 May 2025 19:35-calstbaker@ucsb,"Vargas, Nathan",1000119588,Right,SAN_GAU,54.96615,-139.74775,17.65778,5.76639,-6.40683,-5.57921,-2.53263,12.04333,-8.93354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-05-16,16:33:44,"Bremner, Tyler",803285,Right,SAN_GAU,Undefined,Fastball,NA,NA,96.49329,-2.528511,-4.559435,2353.353686,212.080872,01:00:00,5.7797,2.43947,5.49313,-10.35567,20.95163,12.36257,2.54246,-0.80432,86.13648,-4.579321,-2.36795,0.402712,-7.70611,11.70095,-2.04815,50,5.5511,10.48302,-139.21,-6.41586,-14.81143,37.23971,-9.68434,7ac1711d-535a-4a97-ba2c-f4df7289a485,NA,NA,NA,NA,NA,683277,"Johnson, Tyrese",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,CSU_BAK,1,Top,0,0,1,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,SAN_GAU,CSU_BAK,CaesarUyesaka,D1,BW,20250516-CaesarUyesaka-1,145dc2c0-32af-11f0-827e-ff2ba462ea8e,93.59654,NA,NA,10.35681,NA,NA,NA,5b86c7b9-bd22-47ec-8a1e-591d78b5bbf9,2025-05-16,23:33:44,2025-05-16T23:33:44Z,2025-05-16T23:33:44Z,NA,v3,471258,471252,16 May 2025 19:35-calstbaker@ucsb,"Vargas, Nathan",1000119588,Right,SAN_GAU,54.99953,-140.54105,18.61986,5.77423,-6.06972,-4.84217,-2.4323,11.01242,-7.40572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-05-16,16:34:01,"Bremner, Tyler",803285,Right,SAN_GAU,Undefined,Fastball,NA,NA,97.21797,-1.711567,-5.698629,2432.439454,223.152431,01:30:00,5.87074,2.36364,5.48354,-13.46398,17.34946,15.16272,3.139,-1.722,87.00553,-4.305419,-3.018403,0.399523,-9.42544,9.59284,-1.87287,50,5.7112,13.22269,-140.1462,-4.62287,-18.43133,36.62942,-13.41536,28a69348-9ef2-4e6f-99b7-9408a706553f,NA,NA,NA,NA,NA,683277,"Johnson, Tyrese",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,CSU_BAK,1,Top,0,0,2,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,SAN_GAU,CSU_BAK,CaesarUyesaka,D1,BW,20250516-CaesarUyesaka-1,1eb37b70-32af-11f0-827e-ff2ba462ea8e,94.34365,NA,NA,10.21244,NA,NA,NA,5b86c7b9-bd22-47ec-8a1e-591d78b5bbf9,2025-05-16,23:34:01,2025-05-16T23:34:01Z,2025-05-16T23:34:01Z,NA,v3,471258,471252,16 May 2025 19:35-calstbaker@ucsb,"Vargas, Nathan",1000119588,Right,SAN_GAU,55.01009,-141.44961,18.31471,5.86721,-4.1455,-6.70768,-2.35505,13.87854,-9.21567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-05-16,16:34:19,"Bremner, Tyler",803285,Right,SAN_GAU,Undefined,ChangeUp,NA,NA,83.60435,-1.07482,-6.179022,2330.31504,265.481695,02:45:00,5.33774,2.7476,5.48976,-38.26073,3.19055,21.34194,1.13788,-1.27675,75.67662,-8.089481,-2.401412,0.463383,-12.60249,2.41831,-2.21922,50,5.21751,12.14413,-120.58302,-3.6246,-18.34301,25.95164,-28.65421,50f8bba6-eda8-475f-8c2d-8e46f62fcbf3,NA,NA,NA,NA,NA,683277,"Johnson, Tyrese",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,CSU_BAK,1,Top,0,1,2,Changeup,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,NA,SAN_GAU,CSU_BAK,CaesarUyesaka,D1,BW,20250516-CaesarUyesaka-1,2945a0e0-32af-11f0-827e-ff2ba462ea8e,81.34181,NA,NA,7.92773,NA,NA,NA,5b86c7b9-bd22-47ec-8a1e-591d78b5bbf9,2025-05-16,23:34:19,2025-05-16T23:34:19Z,2025-05-16T23:34:19Z,NA,v3,471258,471252,16 May 2025 19:35-calstbaker@ucsb,"Vargas, Nathan",1000119588,Right,SAN_GAU,55.00711,-121.65587,12.97582,5.34286,-2.44003,-14.32711,-2.73693,12.90243,-9.1715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-05-16,16:34:51,"Bremner, Tyler",803285,Right,SAN_GAU,Undefined,Fastball,NA,NA,96.984,-2.251254,-4.827287,2328.267056,217.387607,01:15:00,5.77268,2.48346,5.58028,-11.27166,19.31096,13.91481,2.72237,-0.87585,87.42405,-4.446445,-2.357698,0.398024,-8.46402,10.73717,-2.07663,50,5.57126,11.14655,-140.08785,-5.83486,-16.64758,34.66885,-11.05548,38cf6bfb-cdcb-454d-abee-16932746229c,NA,NA,NA,NA,NA,809923,"Cloyd, Evan",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,CSU_BAK,1,Top,1,0,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,SAN_GAU,CSU_BAK,CaesarUyesaka,D1,BW,20250516-CaesarUyesaka-1,3c617190-32af-11f0-827e-ff2ba462ea8e,94.69902,NA,NA,9.55995,NA,NA,NA,5b86c7b9-bd22-47ec-8a1e-591d78b5bbf9,2025-05-16,23:34:51,2025-05-16T23:34:51Z,2025-05-16T23:34:51Z,NA,v3,471258,471252,16 May 2025 19:35-calstbaker@ucsb,"Vargas, Nathan",1000119588,Right,SAN_GAU,54.91457,-141.29887,17.33442,5.76834,-5.44868,-5.52774,-2.47615,11.72806,-8.32379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-05-16,16:35:08,"Bremner, Tyler",803285,Right,SAN_GAU,Undefined,Fastball,NA,NA,96.71464,-1.871473,-4.295876,2368.590344,212.003183,01:00:00,5.8912,2.42352,5.43462,-7.90201,23.163,13.73914,3.47462,-0.46193,86.57099,-3.480791,-1.861528,0.40115,-8.2389,12.52131,-2.05219,50,5.72005,9.80122,-139.69354,-4.71207,-16.0088,36.36324,-7.84419,cbed07b9-1e8f-45d9-b934-bacfb0af71b8,NA,NA,NA,NA,NA,809923,"Cloyd, Evan",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,CSU_BAK,1,Top,1,0,1,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,SAN_GAU,CSU_BAK,CaesarUyesaka,D1,BW,20250516-CaesarUyesaka-1,4675db80-32af-11f0-827e-ff2ba462ea8e,93.96088,NA,NA,10.14365,NA,NA,NA,5b86c7b9-bd22-47ec-8a1e-591d78b5bbf9,2025-05-16,23:35:08,2025-05-16T23:35:08Z,2025-05-16T23:35:08Z,NA,v3,471258,471252,16 May 2025 19:35-calstbaker@ucsb,"Vargas, Nathan",1000119588,Right,SAN_GAU,55.05886,-141.00425,18.18162,5.8848,-4.42933,-3.9221,-2.41587,10.37826,-8.0044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-05-16,16:35:28,"Bremner, Tyler",803285,Right,SAN_GAU,Undefined,ChangeUp,NA,NA,84.75073,-1.889196,-5.299493,2442.814673,261.466081,02:45:00,5.37532,2.80021,5.49407,-36.15553,4.28394,18.45084,0.58697,-0.63356,76.50606,-8.529409,-2.025138,0.457693,-11.0302,3.21701,-2.34825,50,5.18512,10.55922,-122.3115,-5.32618,-16.42866,27.90703,-27.38258,86f73b14-1bfa-4a55-b0e6-0d37b8881d6f,NA,NA,NA,NA,NA,809923,"Cloyd, Evan",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,CSU_BAK,1,Top,1,1,1,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,SAN_GAU,CSU_BAK,CaesarUyesaka,D1,BW,20250516-CaesarUyesaka-1,52759ab0-32af-11f0-827e-ff2ba462ea8e,82.35307,NA,NA,8.24466,NA,NA,NA,5b86c7b9-bd22-47ec-8a1e-591d78b5bbf9,2025-05-16,23:35:28,2025-05-16T23:35:28Z,2025-05-16T23:35:28Z,NA,v3,471258,471252,16 May 2025 19:35-calstbaker@ucsb,"Vargas, Nathan",1000119588,Right,SAN_GAU,55.00241,-123.44759,13.95352,5.37926,-4.21144,-13.69129,-2.79173,11.22803,-8.21433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-05-16,16:35:49,"Bremner, Tyler",803285,Right,SAN_GAU,Undefined,ChangeUp,NA,NA,84.34162,0.042163,-3.93502,2506.083813,264.553415,02:45:00,5.48427,2.68259,5.4967,-37.193600000000004,3.65429,21.74981,2.42433,0.80863,75.55545,-6.829867,-0.06608,0.459998,-12.21032,2.31677,-2.35284,50,5.46337,7.43987,-121.94347,-1.22653,-17.97963,28.91857,-28.76262,3ba5afce-8d46-4048-b06f-33bafe0c6362,NA,NA,NA,NA,NA,809923,"Cloyd, Evan",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,CSU_BAK,1,Top,1,2,1,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,SAN_GAU,CSU_BAK,CaesarUyesaka,D1,BW,20250516-CaesarUyesaka-1,5ece2840-32af-11f0-827e-ff2ba462ea8e,81.9404,NA,NA,8.78617,NA,NA,NA,5b86c7b9-bd22-47ec-8a1e-591d78b5bbf9,2025-05-16,23:35:49,2025-05-16T23:35:49Z,2025-05-16T23:35:49Z,NA,v3,471258,471252,16 May 2025 19:35-calstbaker@ucsb,"Vargas, Nathan",1000119588,Right,SAN_GAU,54.99829,-123.12309,14.45928,5.48947,-0.05326,-14.38131,-2.67129,8.17328,-8.98982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-05-16,16:36:09,"Bremner, Tyler",803285,Right,SAN_GAU,Undefined,Fastball,NA,NA,96.97727,-2.596956,-4.802051,2392.677514,235.27198,01:45:00,5.81808,2.34403,5.52724,-16.44111,14.34497,19.0304,2.01007,-0.56971,87.15,-5.712987,-1.424209,0.399345,-11.05627,8.38292,-1.93857,50,5.58086,10.81488,-139.98977,-6.93459,-21.61903,35.91857,-15.78236,0666b9be-7e91-4d0b-b7f6-b810bf97de39,NA,NA,NA,NA,NA,809923,"Cloyd, Evan",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,CSU_BAK,1,Top,1,2,2,Sinker,StrikeCalled,Strikeout,Undefined,Undefined,0,0,NA,SAN_GAU,CSU_BAK,CaesarUyesaka,D1,BW,20250516-CaesarUyesaka-1,6ae6edb0-32af-11f0-827e-ff2ba462ea8e,94.38555,NA,NA,9.82727,NA,NA,NA,5b86c7b9-bd22-47ec-8a1e-591d78b5bbf9,2025-05-16,23:36:09,2025-05-16T23:36:09Z,2025-05-16T23:36:09Z,NA,v3,471258,471252,16 May 2025 19:35-calstbaker@ucsb,"Vargas, Nathan",1000119588,Right,SAN_GAU,54.96762,-141.25861,17.95929,5.81598,-6.37707,-7.89118,-2.3341,11.57858,-10.80951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.84016,2.884125,1.760614,1.123511,-1.56421,1.70633,0.63893,-5.16404,5.27919,5.95757,65.69702,8.42018,59.07245,-5.10968,69.08295,-5.38951,5.34934,20.96947,-16.22401,5.95267,48.80182,-1.35505,High,High,High,NA,NA,High,High,High
10,2025-05-16,16:36:42,"Bremner, Tyler",803285,Right,SAN_GAU,Undefined,Fastball,NA,NA,95.58497,-2.139228,-4.620689,2319.494166,223.640031,01:30:00,5.70178,2.50876,5.65855,-13.03186,18.46966,16.48942,2.61346,-0.43542,85.82106,-4.664739,-1.687324,0.403959,-9.75186,10.34316,-2.12731,50,5.51209,10.35899,-138.07163,-5.54316,-18.54836,34.95737,-12.50097,3f9a5fe9-3950-4791-8ae2-b1638c460d5e,NA,NA,NA,NA,NA,1000125317,"Perreira, Brock",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,CSU_BAK,1,Top,2,0,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,SAN_GAU,CSU_BAK,CaesarUyesaka,D1,BW,20250516-CaesarUyesaka-1,7ec6aaa0-32af-11f0-827e-ff2ba462ea8e,93.30763,NA,NA,9.7639,NA,NA,NA,5b86c7b9-bd22-47ec-8a1e-591d78b5bbf9,2025-05-16,23:36:42,2025-05-16T23:36:42Z,2025-05-16T23:36:42Z,NA,v3,471258,471252,16 May 2025 19:35-calstbaker@ucsb,"Vargas, Nathan",1000119588,Right,SAN_GAU,54.83551,-139.29052,17.47868,5.69777,-5.10728,-6.25049,-2.49978,11.00573,-9.27418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
