PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-05-17,13:05:22,"Kovach, Luke",1000117537,Left,CAL_MUS,Undefined,Fastball,NA,NA,90.16326,-5.305811,0.954254,2434.469639,158.072325,11:15:00,6.43949,-0.84256,5.58133,-12.58662,23.06375,-8.72831,0.42042,-0.67863,81.14593,-7.744723,-0.603134,0.429738,4.7204,13.80398,0.76633,50,5.97414,-1.77425,-130.11884,-12.40159,7.94826,31.85091,-8.93075,edff5026-7c17-4ad8-aaea-868e9db42ca7,NA,NA,NA,NA,NA,702975,"Pitts, Robert",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,CAL_HIG,1,Top,0,0,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,CAL_MUS,CAL_HIG,BaggettStadium,D1,BW,20250517-BaggettStadium-1,44699a10-335a-11f0-a5a0-4b87b06982de,87.71032,NA,NA,9.01733,NA,NA,NA,886a4351-b2e4-4a0b-99c8-6bac470b7bb4,2025-05-17,20:05:22,2025-05-17T20:05:22Z,2025-05-17T20:05:22Z,NA,v3,471251,471263,17 May 2025 16:00-ucriver@calpoly,"Collins, Jack",1000228996,Right,CAL_MUS,54.91616,-131.31672,15.92545,6.43423,-12.06572,-4.46538,0.83868,-2.07318,3.97413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-05-17,13:05:39,"Kovach, Luke",1000117537,Left,CAL_MUS,Undefined,Fastball,NA,NA,90.5188,-2.644607,1.155502,2376.9067,167.078561,11:30:00,6.56577,-0.76787,5.51524,-10.02501,25.82045,-5.56922,3.25515,-0.15133,79.89517,-4.689271,0.163486,0.430912,3.24902,14.44839,0.67103,50,6.32933,-2.3807,-130.77867,-6.22311,5.42741,36.67898,-8.03843,5328d5d8-0faf-4df7-909d-6734701f5a36,NA,NA,NA,NA,166.392719,702975,"Pitts, Robert",4351.053718,NA,77.52221,Right,76.198507,NA,NA,NA,NA,9.96066,NA,NA,2.57239,3.24917,0.27368,NA,NA,NA,NA,NA,1,2,CAL_HIG,1,Top,0,1,0,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,CAL_MUS,CAL_HIG,BaggettStadium,D1,BW,20250517-BaggettStadium-1,4e370ff0-335a-11f0-a5a0-4b87b06982de,87.47134,42.27269,NA,10.62363,NA,NA,NA,886a4351-b2e4-4a0b-99c8-6bac470b7bb4,2025-05-17,20:05:39,2025-05-17T20:05:39Z,2025-05-17T20:05:39Z,NA,v3,471251,471263,17 May 2025 16:00-ucriver@calpoly,"Collins, Jack",1000228996,Right,CAL_MUS,54.97982,-132.16796,18.33949,6.55928,-5.91864,-4.01921,0.7651,-2.58627,2.71371,13.030649,2.58206,-26.68943,-4.81005,NA,NA,NA,NA,NA,NA,3.26208,109.98803,-31.53867,NA,NA,NA,NA,NA,NA,0.25974,6.85065,9.57802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Undefined,NA,NA,NA
3,2025-05-17,13:06:02,"Kovach, Luke",1000117537,Left,CAL_MUS,Undefined,Fastball,NA,NA,92.21694,-3.224648,1.096002,2342.64948,163.602491,11:30:00,6.49851,-0.70945,5.51039,-8.29162,25.75407,-7.19209,2.78821,-0.28371,82.62028,-4.916411,-0.184955,0.419955,4.00705,14.46576,0.61888,50,6.21213,-2.22075,-133.41392,-7.66017,7.07835,34.032,-6.62061,450b084b-1f84-42a0-8925-9babeed735fe,NA,NA,NA,NA,150.149753,702975,"Pitts, Robert",3853.116418,NA,71.28939,Right,55.604085,NA,NA,NA,NA,48.79679,NA,NA,2.17394,2.83835,0.2762,NA,NA,NA,NA,NA,1,3,CAL_HIG,1,Top,0,1,1,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,CAL_MUS,CAL_HIG,BaggettStadium,D1,BW,20250517-BaggettStadium-1,5c603ed0-335a-11f0-a5a0-4b87b06982de,89.75358,56.01287,NA,9.59666,NA,NA,NA,886a4351-b2e4-4a0b-99c8-6bac470b7bb4,2025-05-17,20:06:02,2025-05-17T20:06:02Z,2025-05-17T20:06:02Z,NA,v3,471251,471263,17 May 2025 16:00-ucriver@calpoly,"Collins, Jack",1000228996,Right,CAL_MUS,54.98787,-134.68025,17.016,6.49258,-7.41382,-3.31031,0.70641,-2.48413,3.53918,351.826621,2.17394,-51.22858,-0.73306,1.46262,-2.1966,5.25594,-7.09097,4.8299,-1.3205,2.83835,86.27655,-32.20868,4.76504,-2.23118,3.51959,-4.46764,2.98107,-0.80565,0.2762,29.3989,-2.07607,0.25076,0.08189,-0.34256,0.48869,-0.34026,0.09422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Undefined,NA,NA,NA
4,2025-05-17,13:06:26,"Kovach, Luke",1000117537,Left,CAL_MUS,Undefined,Fastball,NA,NA,91.727,-2.615249,1.06033,2373.853104,167.442437,11:30:00,6.54702,-0.69233,5.4971,-10.60666,23.55052,-4.97071,3.21469,-0.11461,82.75729,-4.705652,0.175107,0.420642,2.81673,12.99894,0.60295,50,6.31129,-2.22506,-132.83556,-6.30944,4.97335,31.59504,-9.22259,c1a1bbb5-189c-417c-888f-87d8e3479eb2,NA,NA,NA,NA,NA,702975,"Pitts, Robert",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,CAL_HIG,1,Top,0,1,2,Four-Seam,StrikeCalled,Strikeout,Undefined,Undefined,0,0,NA,CAL_MUS,CAL_HIG,BaggettStadium,D1,BW,20250517-BaggettStadium-1,6a4ade10-335a-11f0-a5a0-4b87b06982de,89.60697,NA,NA,8.96971,NA,NA,NA,886a4351-b2e4-4a0b-99c8-6bac470b7bb4,2025-05-17,20:06:26,2025-05-17T20:06:26Z,2025-05-17T20:06:26Z,NA,v3,471251,471263,17 May 2025 16:00-ucriver@calpoly,"Collins, Jack",1000228996,Right,CAL_MUS,54.99971,-134.01947,15.79752,6.54124,-5.96385,-4.6113,0.68982,-2.41141,2.48668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.03689,3.107801,1.995008,1.112793,-0.66227,3.04163,0.10887,-1.90163,5.94569,-3.2872,69.27035,4.44418,-55.52256,-1.84999,68.73349,-4.34633,5.97311,12.96429,-12.89233,-3.34462,-51.96378,4.57484,High,High,High,NA,NA,High,High,High
5,2025-05-17,13:07:03,"Kovach, Luke",1000117537,Left,CAL_MUS,Undefined,Fastball,NA,NA,91.01686,-3.967876,1.319301,2364.943365,167.484414,11:30:00,6.46994,-0.86473,5.26528,-9.9393,25.20974,-5.30524,1.90708,-0.06719,82.0369,-5.932974,0.378791,0.426705,3.09169,14.28891,0.74814,50,6.0999,-2.78556,-131.58684,-9.36501,5.34379,31.6224,-7.47661,ee66ea6d-4a25-4a23-89ba-a466a43565a9,NA,NA,NA,NA,NA,1000120868,"Rivas, Andrew",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,CAL_HIG,1,Top,1,0,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,CAL_MUS,CAL_HIG,BaggettStadium,D1,BW,20250517-BaggettStadium-1,80637400-335a-11f0-a5a0-4b87b06982de,88.33367,NA,NA,8.97996,NA,NA,NA,886a4351-b2e4-4a0b-99c8-6bac470b7bb4,2025-05-17,20:07:03,2025-05-17T20:07:03Z,2025-05-17T20:07:03Z,NA,v3,471251,471263,17 May 2025 16:00-ucriver@calpoly,"Collins, Jack",1000228996,Right,CAL_MUS,55.23405,-132.83871,15.8112,6.46478,-9.06903,-3.73831,0.86261,-2.99711,2.67189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-05-17,13:07:24,"Kovach, Luke",1000117537,Left,CAL_MUS,Undefined,Slider,NA,NA,80.44213,-0.88683,0.59414,2770.650308,289.412899,03:45:00,6.25934,-1.09196,5.20873,-49.24542,-4.53095,17.11123,1.32144,0.89274,73.64542,-9.788037,3.635042,0.481277,-8.4156,-1.60067,1.02343,50,6.13999,-1.9077,-116.69783,-3.57499,-11.46854,24.37327,-34.35538,565ee5f7-7ff3-4287-add1-abfeb0974896,NA,NA,NA,NA,NA,1000120868,"Rivas, Andrew",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,CAL_HIG,1,Top,1,0,1,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,CAL_MUS,CAL_HIG,BaggettStadium,D1,BW,20250517-BaggettStadium-1,8cdafb40-335a-11f0-a5a0-4b87b06982de,78.31748,NA,NA,6.79671,NA,NA,NA,886a4351-b2e4-4a0b-99c8-6bac470b7bb4,2025-05-17,20:07:24,2025-05-17T20:07:24Z,2025-05-17T20:07:24Z,NA,v3,471251,471263,17 May 2025 16:00-ucriver@calpoly,"Collins, Jack",1000228996,Right,CAL_MUS,55.294,-117.79833000000001,12.18663,6.26639,-2.02377,-17.17769,1.09787,-1.38987,-5.73427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-05-17,13:07:45,"Kovach, Luke",1000117537,Left,CAL_MUS,Undefined,Fastball,NA,NA,92.42456,-3.060752,2.16725,2437.409533,167.532785,11:30:00,6.50892,-0.63309,5.5879200000000004,-8.96961,24.81419,-5.20083,2.89849,0.9583,82.881,-4.872495,1.240429,0.418337,3.31603,13.85249,0.45023,50,6.24005,-4.81148,-133.6514,-7.30324,5.89154,33.57189,-7.56239,8f246516-4af9-42ff-9617-a7a0e0e63f59,NA,NA,NA,NA,NA,1000120868,"Rivas, Andrew",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,CAL_HIG,1,Top,1,0,2,Four-Seam,StrikeCalled,Strikeout,Undefined,Undefined,0,0,NA,CAL_MUS,CAL_HIG,BaggettStadium,D1,BW,20250517-BaggettStadium-1,992f9130-335a-11f0-a5a0-4b87b06982de,90.10076,NA,NA,9.54356,NA,NA,NA,886a4351-b2e4-4a0b-99c8-6bac470b7bb4,2025-05-17,20:07:45,2025-05-17T20:07:45Z,2025-05-17T20:07:45Z,NA,v3,471251,471263,17 May 2025 16:00-ucriver@calpoly,"Collins, Jack",1000228996,Right,CAL_MUS,54.90768,-134.87853,16.78594,6.50195,-7.02681,-3.78119,0.63003,-5.02683,2.94577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.6376,NA,NA,1.081396,NA,NA,NA,-1.0431,5.42912,-1.79535,83.01186,7.40453,-41.79085,-0.95915,83.70899,-5.5801,5.46968,15.9908,-13.11989,-1.87683,-42.03783,4.72068,High,High,High,NA,NA,High,Medium,High
8,2025-05-17,13:08:17,"Kovach, Luke",1000117537,Left,CAL_MUS,Undefined,Slider,NA,NA,80.93728,-0.227268,0.329868,2717.952974,300.347151,04:00:00,6.27251,-1.09855,5.12655,-50.84971,-6.10111,13.24036,1.82097,0.31551,73.22562,-9.444019,2.679255,0.481461,-6.47508,-2.4824,1.05681,50,6.2118,-1.23656,-117.26267,-2.34198,-8.81918,26.68299,-35.55512,9b885912-5d54-4022-a897-3e0d84d5020a,NA,NA,NA,NA,NA,10103783,"Chapman, Manoah",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,CAL_HIG,1,Top,2,0,0,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,CAL_MUS,CAL_HIG,BaggettStadium,D1,BW,20250517-BaggettStadium-1,ac3b0e30-335a-11f0-a5a0-4b87b06982de,78.28764,NA,NA,7.71165,NA,NA,NA,886a4351-b2e4-4a0b-99c8-6bac470b7bb4,2025-05-17,20:08:17,2025-05-17T20:08:17Z,2025-05-17T20:08:17Z,NA,v3,471251,471263,17 May 2025 16:00-ucriver@calpoly,"Collins, Jack",1000228996,Right,CAL_MUS,55.37376,-118.47915,13.34149,6.28162,-0.72102,-17.77756,1.10402,-0.83449,-4.40959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-05-17,13:08:34,"Kovach, Luke",1000117537,Left,CAL_MUS,Undefined,Fastball,NA,NA,92.15942,-4.205892,2.315709,2492.79804,159.294258,11:15:00,6.50641,-0.765,5.42432,-7.97819,26.07108,-9.38107,1.8917,0.62349,83.1856,-5.822327,0.64923,0.419977,5.46055,14.81383,0.56627,50,6.12754,-4.95417,-133.20279,-9.94775,9.69556,31.74913,-5.87124,350587d6-d93d-4c27-9c56-68e9e2fbc1c0,NA,NA,NA,NA,NA,10103783,"Chapman, Manoah",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,CAL_HIG,1,Top,2,0,1,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,CAL_MUS,CAL_HIG,BaggettStadium,D1,BW,20250517-BaggettStadium-1,b6676cf0-335a-11f0-a5a0-4b87b06982de,89.74888,NA,NA,8.97382,NA,NA,NA,886a4351-b2e4-4a0b-99c8-6bac470b7bb4,2025-05-17,20:08:34,2025-05-17T20:08:34Z,2025-05-17T20:08:34Z,NA,v3,471251,471263,17 May 2025 16:00-ucriver@calpoly,"Collins, Jack",1000228996,Right,CAL_MUS,55.07535,-134.40706,15.87457,6.50065,-9.72505,-2.93562,0.76116,-5.32194,4.84778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-05-17,13:08:51,"Kovach, Luke",1000117537,Left,CAL_MUS,Undefined,Slider,NA,NA,79.7978,0.001414,0.027699,2645.357938,310.29778,04:15:00,6.26248,-1.08605,4.98106,-53.67074,-7.72863,10.99304,1.79126,-0.14381,72.72935,-9.676094,1.973873,0.487839,-5.4628,-3.4228,1.07385,50,6.21844,-0.51492,-115.70053,-1.98459,-7.29881,24.47629,-36.74722,2bdf861f-3596-40f6-857c-4720926930f5,NA,NA,NA,NA,-3.851445,10103783,"Chapman, Manoah",2985.245892,NA,90.24032,Right,20.067045,109.99281,33.65891,-1.20286,311.50162,303.95586,3.684658,4.580023,1.54458,1.81833,0.16448,NA,NA,NA,NA,NA,3,3,CAL_HIG,1,Top,2,0,2,Curveball,InPlay,Undefined,FlyBall,Out,1,0,NA,CAL_MUS,CAL_HIG,BaggettStadium,D1,BW,20250517-BaggettStadium-1,c0bfbdb0-335a-11f0-a5a0-4b87b06982de,77.26406,40.38728,NA,7.06845,NA,NA,NA,886a4351-b2e4-4a0b-99c8-6bac470b7bb4,2025-05-17,20:08:51,2025-05-17T20:08:51Z,2025-05-17T20:08:51Z,LineDrive,v3,471251,471263,17 May 2025 16:00-ucriver@calpoly,"Collins, Jack",1000228996,Right,CAL_MUS,55.5212,-116.86269,12.23814,6.27124,-0.23979,-18.37361,1.09007,-0.16837,-3.6494,221.256336,1.54402,124.0554,-19.17353,4.10346,-1.05188,0.33393,-0.09514,0.01647,-0.00117,1.81913,45.38688,-13.69141,-0.2713,0.60561,-0.33383,0.10988,-0.0186,0.00124,0.1646,-8.35424,9.3931,-3.14312,0.91858,-0.23649,0.05101,-0.0072,4.5e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA
