PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-26,15:04:23,"Smith, Mason",803693,Right,CAM_CAM,Undefined,Fastball,NA,NA,89.9929,-2.895941,-2.48928,2366.547026,216.218934,01:15:00,5.95107,1.53759,5.75668,-11.60729,23.43698,16.263,2.28317,0.57416,81.5306,-5.17233,0.418875,0.426069,-8.99481,13.14036,-1.34091,50,5.70354,4.94942,-130.35346,-6.86758,-15.35296,29.44619,-9.74522,2238a6a3-f708-4fdf-a0ec-136b30f77876,NA,NA,NA,NA,NA,1000050917,"Peyton, Jordan",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,TOW_TIG,1,Top,0,0,0,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,CAM_CAM,TOW_TIG,JimPerry,D1,CAA,20250426-JimPerry-1,11501470-22d3-11f0-bd23-7db78746675a,88.46558,NA,NA,8.4623,NA,NA,NA,3d3b3fd2-f71e-4544-b7d4-5c2f5e0c73db,2025-04-26,19:04:23,2025-04-26T19:04:23Z,2025-04-26T19:04:23Z,NA,v3,471264,471469,26 April 2025 15:00-towson@campbell,"Schuldt, Andrew",810905,Right,CAM_CAM,54.74312,-131.42054,14.72309,5.94601,-6.51443,-4.87261,-1.53035,5.50579,-7.67648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-04-26,15:04:37,"Smith, Mason",803693,Right,CAM_CAM,Undefined,ChangeUp,NA,NA,83.25253,-1.915014,-2.376733,2387.332623,210.891473,01:00:00,5.92102,1.44137,5.37579,-37.07368,3.77918,1.55315,1.03395,-0.65874,77.21952,-8.641279,-2.100437,0.460026,-1.39488,2.72012,-1.22947,50,5.72272,4.95227,-120.83527,-5.35797,-2.07863,21.80436,-28.12055,f9c59164-d2eb-4ef3-8563-e96e96ecd923,NA,NA,NA,NA,NA,1000050917,"Peyton, Jordan",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,TOW_TIG,1,Top,0,0,1,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,CAM_CAM,TOW_TIG,JimPerry,D1,CAA,20250426-JimPerry-1,19b23a80-22d3-11f0-bd23-7db78746675a,81.93539,NA,NA,6.03301,NA,NA,NA,3d3b3fd2-f71e-4544-b7d4-5c2f5e0c73db,2025-04-26,19:04:37,2025-04-26T19:04:37Z,2025-04-26T19:04:37Z,NA,v3,471264,471469,26 April 2025 15:00-towson@campbell,"Schuldt, Andrew",810905,Right,CAM_CAM,55.12727,-121.75695,10.90218,5.92408,-4.1693,-14.06028,-1.44066,5.0401300000000004,-1.03931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-04-26,15:04:53,"Smith, Mason",803693,Right,CAM_CAM,Undefined,ChangeUp,NA,NA,83.5126,-2.640981,-5.119693,2361.103234,229.001513,01:45:00,5.86714,1.69508,5.38084,-38.72601,2.70386,1.53303,0.15253,-2.9894,76.6143,-9.652146,-4.84843,0.463263,-2.28831,2.53193,-1.23676,50,5.60228,10.74116,-120.59481,-6.96159,-3.34998,24.74487,-28.46743,df5e68d0-5a08-4129-a47c-23d91b77cdd1,NA,NA,NA,NA,NA,1000050917,"Peyton, Jordan",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,TOW_TIG,1,Top,0,0,2,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,CAM_CAM,TOW_TIG,JimPerry,D1,CAA,20250426-JimPerry-1,234c6b60-22d3-11f0-bd23-7db78746675a,81.36285,NA,NA,6.8983,NA,NA,NA,3d3b3fd2-f71e-4544-b7d4-5c2f5e0c73db,2025-04-26,19:04:53,2025-04-26T19:04:53Z,2025-04-26T19:04:53Z,NA,v3,471264,471469,26 April 2025 15:00-towson@campbell,"Schuldt, Andrew",810905,Right,CAM_CAM,55.12028,-121.6409,12.37243,5.87114,-5.75813,-14.23371,-1.69384,10.88278,-1.67499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-04-26,15:05:12,"Smith, Mason",803693,Right,CAM_CAM,Undefined,Fastball,NA,NA,90.61968,-2.833313,-2.401804,2221.789162,213.434543,01:00:00,6.08248,1.11112,5.59811,-14.19446,20.26344,12.64595,2.24981,-0.07881,82.8755,-5.53861,-0.146681,0.422489,-7.10528,11.40178,-0.91375,50,5.83036,4.95761,-131.38074,-6.92866,-12.43122,27.57548,-12.22573,46aa30ee-1172-44bc-b1cb-17bbb7f4e3b4,NA,NA,NA,NA,-16.017261,1000050917,"Peyton, Jordan",940.316744,NA,96.85185,Right,5.217915,NA,NA,NA,116.86287,115.39418,0.915905,-17.745403,1.66707,2.52139,0.34421,NA,NA,NA,NA,NA,1,4,TOW_TIG,1,Top,0,1,2,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,NA,CAM_CAM,TOW_TIG,JimPerry,D1,CAA,20250426-JimPerry-1,2e657410-22d3-11f0-bd23-7db78746675a,89.21515,4.83802,NA,7.74418,NA,NA,NA,3d3b3fd2-f71e-4544-b7d4-5c2f5e0c73db,2025-04-26,19:05:12,2025-04-26T19:05:12Z,2025-04-26T19:05:12Z,GroundBall,v3,471264,471469,26 April 2025 15:00-towson@campbell,"Schuldt, Andrew",810905,Right,CAM_CAM,54.90387,-132.40601,13.78774,6.07952,-6.4741,-6.11286,-1.10666,5.41981,-6.21561,84.710911,1.76294,134.53634,-16.414180000000002,NA,NA,NA,NA,NA,NA,2.57274,12.15448,-16.39342,NA,NA,NA,NA,NA,NA,0.3627,-39.31396,0.01274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
5,2025-04-26,15:05:41,"Smith, Mason",803693,Right,CAM_CAM,Undefined,ChangeUp,NA,NA,83.59778,-1.378928,-2.727184,1466.652829,232.713284,01:45:00,5.97604,1.59216,5.99371,-29.62769,10.46745,11.97867,2.22746,0.06106,76.22278,-6.905957,-0.574068,0.45574,-6.94658,6.19284,-1.38356,50,5.851,5.30373,-121.25417,-3.83871,-10.28084,25.01791,-23.00871,de43fbb5-e5d7-48bb-8b78-01979a8d9286,NA,NA,NA,NA,NA,1000093782,"Ahalt, Brett",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,TOW_TIG,1,Top,1,0,0,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,CAM_CAM,TOW_TIG,JimPerry,D1,CAA,20250426-JimPerry-1,3fed1030-22d3-11f0-bd23-7db78746675a,82.706,NA,NA,7.375,NA,NA,NA,3d3b3fd2-f71e-4544-b7d4-5c2f5e0c73db,2025-04-26,19:05:41,2025-04-26T19:05:41Z,2025-04-26T19:05:41Z,NA,v3,471264,471469,26 April 2025 15:00-towson@campbell,"Schuldt, Andrew",810905,Right,CAM_CAM,54.50626,-122.1804,12.50895,5.97735,-2.98687,-11.50435,-1.58696,5.68435,-5.14042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-04-26,15:05:55,"Smith, Mason",803693,Right,CAM_CAM,Undefined,ChangeUp,NA,NA,83.39616,-2.344697,-2.296331,1435.13104,231.366562,01:45:00,6.04409,1.4789,6.16884,-27.77187,12.18304,13.58812,1.56105,0.48901,76.2854,-7.539427,0.156128,0.454942,-7.69788,7.38477,-1.31161,50,5.85207,4.33559,-121.00265,-5.77637,-11.36581,24.52306,-21.27056,8ad4235c-63f4-41d7-8f8b-5b3b742ecd20,NA,NA,NA,NA,NA,1000093782,"Ahalt, Brett",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,TOW_TIG,1,Top,1,0,1,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,CAM_CAM,TOW_TIG,JimPerry,D1,CAA,20250426-JimPerry-1,486f6870-22d3-11f0-bd23-7db78746675a,82.851,NA,NA,7.11076,NA,NA,NA,3d3b3fd2-f71e-4544-b7d4-5c2f5e0c73db,2025-04-26,19:05:55,2025-04-26T19:05:55Z,2025-04-26T19:05:55Z,NA,v3,471264,471469,26 April 2025 15:00-towson@campbell,"Schuldt, Andrew",810905,Right,CAM_CAM,54.33191,-121.87742,12.26153,6.04459,-5.01763,-10.63528,-1.4735,4.74102,-5.6829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-04-26,15:06:10,"Smith, Mason",803693,Right,CAM_CAM,Undefined,ChangeUp,NA,NA,84.12629,-2.901741,-2.856254,1505.196189,245.60354,02:15:00,6.0576,1.6073,6.0341,-32.03549,7.34493,13.43485,0.6952,0.07967,77.41474,-8.816024,-0.436866,0.45166,-7.75831,4.95937,-1.39142,50,5.81304,5.57403,-122.00142,-7.2048,-11.68963,24.07169,-24.70167,08affbab-e265-4b0b-9a4b-4018c4c01fbc,NA,NA,NA,NA,NA,1000093782,"Ahalt, Brett",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,TOW_TIG,1,Top,1,0,2,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,CAM_CAM,TOW_TIG,JimPerry,D1,CAA,20250426-JimPerry-1,50ff0720-22d3-11f0-bd23-7db78746675a,83.45314,NA,NA,6.71156,NA,NA,NA,3d3b3fd2-f71e-4544-b7d4-5c2f5e0c73db,2025-04-26,19:06:10,2025-04-26T19:06:10Z,2025-04-26T19:06:10Z,NA,v3,471264,471469,26 April 2025 15:00-towson@campbell,"Schuldt, Andrew",810905,Right,CAM_CAM,54.46838,-122.87991,12.03585,6.05953,-6.30333,-12.35083,-1.60262,6.00063,-5.84482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-04-26,15:06:28,"Smith, Mason",803693,Right,CAM_CAM,Undefined,ChangeUp,NA,NA,84.36262,-1.382689,-2.118132,1540.162548,243.832162,02:15:00,6.04768,1.47744,5.8121,-30.25454,9.07044,15.96202,2.23956,0.83703,77.49189,-6.982078,0.744034,0.451342,-8.70434,5.39288,-1.31317,50,5.91628,3.88319,-122.48887,-3.94826,-13.24699,23.8035,-23.96674,e6f7e8ec-9597-44d2-b0df-77cec3b9c9f8,NA,NA,NA,NA,NA,1000093782,"Ahalt, Brett",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,TOW_TIG,1,Top,1,1,2,Changeup,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,NA,CAM_CAM,TOW_TIG,JimPerry,D1,CAA,20250426-JimPerry-1,5c174c80-22d3-11f0-bd23-7db78746675a,83.51194,NA,NA,6.87074,NA,NA,NA,3d3b3fd2-f71e-4544-b7d4-5c2f5e0c73db,2025-04-26,19:06:28,2025-04-26T19:06:28Z,2025-04-26T19:06:28Z,NA,v3,471264,471469,26 April 2025 15:00-towson@campbell,"Schuldt, Andrew",810905,Right,CAM_CAM,54.68921,-123.39677,11.90175,6.04944,-3.03414,-11.98337,-1.47092,4.38845,-6.6235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.84742,2.200841,1.22711,0.97373,-0.76655,1.96724,-0.86762,-1.15094,5.21717,-1.89958,72.54338,8.67353,-52.28629,-1.09508,81.71782,-6.25338,5.25767,17.4859,-14.35159,-1.95876,-57.38265,5.84719,High,High,High,NA,NA,High,Medium,Medium
9,2025-04-26,15:06:58,"Smith, Mason",803693,Right,CAM_CAM,Undefined,ChangeUp,NA,NA,81.60418,-1.232922,-2.0515,1549.953493,242.761594,02:00:00,6.12199,1.32828,5.97671,-31.82214,10.063,16.93123,2.32627,0.83657,74.77874,-7.149171,0.994015,0.465802,-9.36485,5.90823,-1.17566,50,6.00663,3.61514,-118.51392,-3.52033,-13.28567,23.18239,-23.79221,019e9c03-40bb-4e31-9bdd-486ba3281b4d,NA,NA,NA,NA,NA,1000363138,"D'Alessandro, Max",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,TOW_TIG,1,Top,2,0,0,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,CAM_CAM,TOW_TIG,JimPerry,D1,CAA,20250426-JimPerry-1,6e1c2ef0-22d3-11f0-bd23-7db78746675a,80.91942,NA,NA,6.82544,NA,NA,NA,3d3b3fd2-f71e-4544-b7d4-5c2f5e0c73db,2025-04-26,19:06:58,2025-04-26T19:06:58Z,2025-04-26T19:06:58Z,NA,v3,471264,471469,26 April 2025 15:00-towson@campbell,"Schuldt, Andrew",810905,Right,CAM_CAM,54.52604,-119.39597,11.59119,6.12335,-2.61508,-11.89611,-1.32283,4.12064,-6.64283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-04-26,15:07:20,"Smith, Mason",803693,Right,CAM_CAM,Undefined,ChangeUp,NA,NA,82.44445,-3.303158,-4.407148,1519.18193,243.400555,02:00:00,6.10915,1.23342,5.69056,-32.82683,9.06524,15.27942,0.28236,-1.60904,75.52511,-9.332892,-1.680237,0.465841,-9.04524,5.99099,-0.8718,50,5.80978,8.57634,-119.18367,-7.96876,-12.95917,23.74976,-23.59073,66e9bbf1-8351-43af-94ac-6589c9d39c10,NA,NA,NA,NA,NA,1000363138,"D'Alessandro, Max",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,TOW_TIG,1,Top,2,0,1,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,CAM_CAM,TOW_TIG,JimPerry,D1,CAA,20250426-JimPerry-1,7ad1a990-22d3-11f0-bd23-7db78746675a,80.91275,NA,NA,6.91934,NA,NA,NA,3d3b3fd2-f71e-4544-b7d4-5c2f5e0c73db,2025-04-26,19:07:20,2025-04-26T19:07:20Z,2025-04-26T19:07:20Z,NA,v3,471264,471469,26 April 2025 15:00-towson@campbell,"Schuldt, Andrew",810905,Right,CAM_CAM,54.81048,-120.13843,11.87488,6.11107,-7.0204,-11.79536,-1.22705,9.09731,-6.47958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
