PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-27,11:05:07,"Sheffield, Lincoln",830369,Left,KAN_WIL,Undefined,Fastball,NA,NA,87.86553,-0.725734,3.270164,2104.67329,108.355185,09:30:00,5.99999,-2.02843,5.502,-29.49163,8.20843,-20.24544,2.86241,-0.65358,78.45753,-6.218341,-0.333975,0.441919,11.24205,4.83292,1.75603,50,5.91714,-6.33524,-127.05259,-2.65801,17.92149,32.03239,-24.46965,f9f04a0b-0b28-4427-a16b-ef93e44a9de6,NA,NA,NA,NA,NA,822863,"Jimenez, Kenneth",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,HOU_COU,1,Top,0,0,0,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,KAN_WIL,HOU_COU,KansasState,D1,BIG12,20250427-KansasState-1,63a8b700-2381-11f0-891b-8fc97095e0ea,85.29267,NA,NA,9.408,NA,NA,NA,0d1acea7-e2cd-495b-b83a-f480c9b04730,2025-04-27,16:05:07,2025-04-27T16:05:07Z,2025-04-27T16:05:07Z,NA,v3,471328,3030,27 April 2025 14:00-houston@kansasst,"Madliak, Bear",1000213566,Right,KAN_WIL,54.99447,-128.30561,16.0162,6.00239,-1.70082,-12.23483,2.01756,-7.03628,8.96075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-04-27,11:05:20,"Sheffield, Lincoln",830369,Left,KAN_WIL,Undefined,ChangeUp,NA,NA,82.95168,-0.252767,2.428542,1573.876055,96.660727,09:15:00,5.71909,-1.90098,5.51404,-38.649,2.78563,-12.06481,2.26177,-0.63407,75.68152,-7.34364,0.277668,0.46329,6.82052,1.87803,1.69756,50,5.67111,-4.60712,-120.31512,-1.87573,9.93617,24.68701,-29.43812,74961b95-aab7-4e18-ba8d-397e02a99208,NA,NA,NA,NA,2.737706,822863,"Jimenez, Kenneth",NA,NA,97.4602,Right,-15.62779,NA,NA,NA,8.19355,8.0784300000000009,0.053548,6.968302,0.75971,2.06488,0.64146,NA,NA,NA,NA,NA,1,2,HOU_COU,1,Top,0,0,1,Changeup,InPlay,Undefined,GroundBall,Single,0,0,NA,KAN_WIL,HOU_COU,KansasState,D1,BIG12,20250427-KansasState-1,6b786110-2381-11f0-891b-8fc97095e0ea,81.35818,2.06488,NA,7.27016,NA,NA,NA,0d1acea7-e2cd-495b-b83a-f480c9b04730,2025-04-27,16:05:20,2025-04-27T16:05:20Z,2025-04-27T16:05:20Z,GroundBall,v3,471328,3030,27 April 2025 14:00-houston@kansasst,"Madliak, Bear",1000213566,Right,KAN_WIL,54.98675,-121.33401,12.3435,5.72345,-0.66074,-14.71906,1.89617,-5.01721,4.96808,180,0.75802,137.69669,NA,NA,NA,NA,NA,NA,NA,2.06535,-38.56162,NA,NA,NA,NA,NA,NA,NA,0.64138,6.58443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,High,NA,NA,NA
3,2025-04-27,11:06:02,"Sheffield, Lincoln",830369,Left,KAN_WIL,Undefined,Fastball,NA,NA,86.17741,-0.78265,3.980205,2036.763801,125.267651,10:15:00,5.91946,-2.20576,5.46215,-27.65718,10.81146,-13.49583,2.88031,0.40112,78.56724,-5.900411,1.584249,0.446401,7.90819,6.04737,1.86411,50,5.83163,-8.09705,-124.79552,-2.66517,12.44491,25.6114,-22.65742,53c917f3-a43f-4755-8132-26c88956c32e,NA,NA,NA,NA,NA,822908,"Lugo, Aaron",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,HOU_COU,1,Top,0,0,0,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,KAN_WIL,HOU_COU,KansasState,D1,BIG12,20250427-KansasState-1,84bd09a0-2381-11f0-891b-8fc97095e0ea,84.43631,NA,NA,7.61017,NA,NA,NA,0d1acea7-e2cd-495b-b83a-f480c9b04730,2025-04-27,16:06:02,2025-04-27T16:06:02Z,2025-04-27T16:06:02Z,NA,v3,471328,3030,27 April 2025 14:00-houston@kansasst,"Madliak, Bear",1000213566,Right,KAN_WIL,55.03747,-125.8251,12.8057,5.92046,-1.75434,-11.32871,2.19967,-8.59734,6.22246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-04-27,11:06:19,"Sheffield, Lincoln",830369,Left,KAN_WIL,Undefined,ChangeUp,NA,NA,81.15287,-0.893628,3.369673,1680.030798,117.423363,10:00:00,5.71383,-2.135,5.40004,-34.68978,8.58874,-13.90426,1.98408,-0.13233,74.45597,-7.257206,0.899611,0.473486,7.96682,4.95721,1.84451,50,5.60967,-6.3705,-117.65364,-3.00543,11.17599,22.1525,-25.22002,e5ab12ee-c440-4d08-9217-a84e600798b0,NA,NA,NA,NA,6.166891,822908,"Lugo, Aaron",NA,NA,87.34916,Right,67.470219,NA,NA,NA,112.59268,49.34824,6.216297,14.426011,1.34542,2.06207,-0.66705,NA,NA,NA,NA,NA,2,2,HOU_COU,1,Top,0,0,1,Changeup,InPlay,Undefined,Popup,Out,1,0,NA,KAN_WIL,HOU_COU,KansasState,D1,BIG12,20250427-KansasState-1,8ebf7230-2381-11f0-891b-8fc97095e0ea,79.60616,161.05586,NA,6.6969,NA,NA,NA,0d1acea7-e2cd-495b-b83a-f480c9b04730,2025-04-27,16:06:19,2025-04-27T16:06:19Z,2025-04-27T16:06:19Z,Popup,v3,471328,3030,27 April 2025 14:00-houston@kansasst,"Madliak, Bear",1000213566,Right,KAN_WIL,55.1016,-118.61031,11.07625,5.71595,-1.91629,-12.61001,2.13005,-6.85314,5.588,NA,1.3361,48.94106,-19.56262,6.47618,-1.57659,0.29598,-0.0386,0.00291,-9e-5,2.0478,118.57781,-28.87405,4.38553,-1.37318,0.39958,-0.07752,0.00802,-3.3e-4,-0.66529,5.24197,0.26963,-0.34418,0.16759,-0.05173,0.00963,-9.6e-4,4e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Low,NA,NA,NA
5,2025-04-27,11:07:05,"Sheffield, Lincoln",830369,Left,KAN_WIL,Undefined,ChangeUp,NA,NA,80.5927,-0.875322,4.347863,1661.155725,87.490787,09:00:00,5.73102,-2.18196,5.4963,-43.25333,0.81169,-15.04292,1.30536,0.63936,73.71609,-8.7677,1.67233,0.477769,8.92886,1.04945,1.8116,50,5.62475,-8.27982,-116.68564,-3.25772,12.24004,23.12701,-30.73541,5bb600b2-3afb-4581-81a4-f8001dadc93d,NA,NA,NA,NA,NA,702554,"Perez, Xavier",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,HOU_COU,1,Top,1,0,0,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,KAN_WIL,HOU_COU,KansasState,D1,BIG12,20250427-KansasState-1,aa464290-2381-11f0-891b-8fc97095e0ea,78.89255,NA,NA,6.87661,NA,NA,NA,0d1acea7-e2cd-495b-b83a-f480c9b04730,2025-04-27,16:07:05,2025-04-27T16:07:05Z,2025-04-27T16:07:05Z,NA,v3,471328,3030,27 April 2025 14:00-houston@kansasst,"Madliak, Bear",1000213566,Right,KAN_WIL,55.00602,-117.67365,11.56351,5.73587,-1.94468,-15.36771,2.17649,-8.80272,6.12002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-04-27,11:07:29,"Sheffield, Lincoln",830369,Left,KAN_WIL,Undefined,Fastball,NA,NA,87.9955,-2.071888,4.469425,2128.702902,120.888795,10:00:00,5.85601,-2.28595,5.69188,-26.74277,10.6552,-15.34599,1.6897,0.60921,78.76845,-7.073571,1.734227,0.440144,9.28626,6.54902,1.91905,50,5.66492,-9.25345,-127.04786,-5.50722,14.82867,31.61402,-21.71631,c17478b2-a092-4d37-b7e4-fc9f9c7ddcba,NA,NA,NA,NA,NA,702554,"Perez, Xavier",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,HOU_COU,1,Top,1,0,1,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,KAN_WIL,HOU_COU,KansasState,D1,BIG12,20250427-KansasState-1,b89e70b0-2381-11f0-891b-8fc97095e0ea,85.63651,NA,NA,9.22704,NA,NA,NA,0d1acea7-e2cd-495b-b83a-f480c9b04730,2025-04-27,16:07:29,2025-04-27T16:07:29Z,2025-04-27T16:07:29Z,NA,v3,471328,3030,27 April 2025 14:00-houston@kansasst,"Madliak, Bear",1000213566,Right,KAN_WIL,54.80482,-128.23789,15.80701,5.85684,-4.68976,-10.85816,2.27788,-9.81163,7.41434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-04-27,11:07:48,"Sheffield, Lincoln",830369,Left,KAN_WIL,Undefined,Slider,NA,NA,79.86278,-2.037837,1.774582,2524.147967,287.654282,03:30:00,6.07456,-1.82945,4.81939,-46.11577,-0.06394,5.07307,0.29953,0.27478,73.24526,-10.310474,2.669413,0.488422,-1.98083,0.98079,1.64852,50,5.83213,-3.79572,-115.65584,-5.82156,-2.65854,23.40489,-30.8577,6b4ee2ef-2049-4e21-80b2-5baddf3f64d4,NA,NA,NA,NA,NA,702554,"Perez, Xavier",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,HOU_COU,1,Top,1,0,2,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,KAN_WIL,HOU_COU,KansasState,D1,BIG12,20250427-KansasState-1,c427a050-2381-11f0-891b-8fc97095e0ea,77.17195,NA,NA,6.61752,NA,NA,NA,0d1acea7-e2cd-495b-b83a-f480c9b04730,2025-04-27,16:07:48,2025-04-27T16:07:48Z,2025-04-27T16:07:48Z,NA,v3,471328,3030,27 April 2025 14:00-houston@kansasst,"Madliak, Bear",1000213566,Right,KAN_WIL,55.68184,-116.8,11.70244,6.07985,-4.31307,-15.42885,1.8309,-3.66575,-1.32927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-04-27,11:08:13,"Sheffield, Lincoln",830369,Left,KAN_WIL,Undefined,Slider,NA,NA,80.82375,-3.24499,1.91561,2303.315889,269.60773,03:00:00,6.06716,-2.04163,5.02013,-43.42187,1.70965,9.83729,-0.61871,0.58663,73.64019,-11.05577,3.657235,0.483516,-4.32185,2.29847,1.84954,50,5.72081,-4.31088,-116.85573,-8.18655,-5.85981,26.0124,-29.05764,21e3215f-975d-4e79-b377-1498ffd79af8,NA,NA,NA,NA,NA,702554,"Perez, Xavier",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,HOU_COU,1,Top,1,1,2,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,KAN_WIL,HOU_COU,KansasState,D1,BIG12,20250427-KansasState-1,d28f5ed0-2381-11f0-891b-8fc97095e0ea,77.95483,NA,NA,7.18356,NA,NA,NA,0d1acea7-e2cd-495b-b83a-f480c9b04730,2025-04-27,16:08:13,2025-04-27T16:08:13Z,2025-04-27T16:08:13Z,NA,v3,471328,3030,27 April 2025 14:00-houston@kansasst,"Madliak, Bear",1000213566,Right,KAN_WIL,55.48112,-118.06954,13.0062,6.07118,-6.83064,-14.52882,2.04432,-4.03744,-2.9299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-04-27,11:08:34,"Sheffield, Lincoln",830369,Left,KAN_WIL,Undefined,Fastball,NA,NA,88.50739,-1.949004,3.48629,2190.353239,116.857484,10:00:00,5.82546,-2.12402,5.67904,-26.58706,10.03347,-17.14328,1.78888,-0.29859,79.82866,-6.904492,0.425091,0.435546,9.86445,6.11177,1.84094,50,5.64434,-7.06291,-128.082,-5.27203,16.12094,30.45535,-22.18588,11081c16-c72a-4afc-b28b-b66e65e8484e,NA,NA,NA,NA,-80.018784,702554,"Perez, Xavier",NA,NA,83.74581,Right,-44.906461,NA,NA,NA,2.85121,2.10186,0.021488,-32.547804,2.07879,1.86674,0.31054,NA,NA,NA,NA,NA,3,5,HOU_COU,1,Top,1,2,2,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,KAN_WIL,HOU_COU,KansasState,D1,BIG12,20250427-KansasState-1,df441620-2381-11f0-891b-8fc97095e0ea,86.54075,1.86674,NA,8.67873,NA,NA,NA,0d1acea7-e2cd-495b-b83a-f480c9b04730,2025-04-27,16:08:34,2025-04-27T16:08:34Z,2025-04-27T16:08:34Z,GroundBall,v3,471328,3030,27 April 2025 14:00-houston@kansasst,"Madliak, Bear",1000213566,Right,KAN_WIL,54.82061,-129.22316,15.22767,5.82631,-4.44072,-11.09294,2.1169,-7.66697,8.06047,NA,2.07869,15.10696,NA,NA,NA,NA,NA,NA,NA,1.86732,-86.87545,NA,NA,NA,NA,NA,NA,NA,0.31111,-85.84037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Estimated,Estimated,NA,NA,NA
10,2025-04-27,11:09:02,"Sheffield, Lincoln",830369,Left,KAN_WIL,Undefined,Fastball,NA,NA,87.45119,-1.335643,3.611659,2217.358901,108.299347,09:30:00,5.77834,-2.21688,5.53511,-31.19277,5.94469,-14.38824,1.92775,-0.03546,80.10338,-7.065688,1.049758,0.438609,8.33867,3.70591,1.91307,50,5.64129,-7.3922,-126.76281,-4.07701,13.56225,26.01591,-26.14661,ac11f063-432c-439c-8c20-481f76216b5d,NA,NA,NA,NA,NA,702554,"Perez, Xavier",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,HOU_COU,1,Top,1,2,2,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,KAN_WIL,HOU_COU,KansasState,D1,BIG12,20250427-KansasState-1,efbc6520-2381-11f0-891b-8fc97095e0ea,85.93632,NA,NA,7.34781,NA,NA,NA,0d1acea7-e2cd-495b-b83a-f480c9b04730,2025-04-27,16:09:02,2025-04-27T16:09:02Z,2025-04-27T16:09:02Z,NA,v3,471328,3030,27 April 2025 14:00-houston@kansasst,"Madliak, Bear",1000213566,Right,KAN_WIL,54.96709,-127.77815,13.00796,5.7805,-3.05656,-13.07331,2.2119,-7.9215,6.78112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
