PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-21,12:02:23,"Snow, Brock",10291197,Left,CSI_EAG,Undefined,Fastball,NA,NA,86.19802,-2.093058,5.157902,2011.037297,140.095972,10:45:00,5.77282,-2.97398,5.61131,-19.95753,17.98552,-14.08796,2.14726,0.67935,79.40485,-5.824036,2.657418,0.443341,8.47355,10.00316,2.54163,50,5.58044,-10.6806,-124.75368,-5.20256,13.48708,22.75512,-16.25236,38ee046d-27a8-413a-a2bd-cdbcb90f4313,NA,NA,NA,NA,NA,1000393154,"Olson, Daniel",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,TRE_VAL,1,Top,0,0,0,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,CSI_EAG,TRE_VAL,SouthernIdaho,JUCO,NJCAA,20250221-SouthernIdaho-1,62b4ba70-f086-11ef-970f-43a66f85c31a,85.01911,NA,NA,6.79317,NA,NA,NA,6c7fad42-20d7-42db-b5a5-af75eb582bbe,2025-02-21,19:02:23,2025-02-21T19:02:23Z,2025-02-21T19:02:23Z,NA,v3,NA,NA,NA,"Hicks, Kolton",1000256032,Right,CSI_EAG,54.8892,-125.6423,11.37756,5.77121,-4.56787,-8.12618,2.96902,-11.20729,6.74354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-02-21,12:02:49,"Snow, Brock",10291197,Left,CSI_EAG,Undefined,Fastball,NA,NA,86.19459,-2.437638,5.299016,2110.097432,138.991999,10:45:00,5.77041,-2.91195,5.48176,-18.87851,19.45111,-15.858,1.90528,0.73871,79.03684,-5.980693,2.491883,0.445593,9.45375,10.83772,2.45732,50,5.54311,-10.89457,-124.61972,-5.91631,14.9467,23.78332,-15.03923,13e80eb8-a7f8-437a-8b91-95b68377b382,NA,NA,NA,NA,NA,1000393154,"Olson, Daniel",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,TRE_VAL,1,Top,0,0,1,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,CSI_EAG,TRE_VAL,SouthernIdaho,JUCO,NJCAA,20250221-SouthernIdaho-1,72334020-f086-11ef-970f-43a66f85c31a,84.58931,NA,NA,7.15774,NA,NA,NA,6c7fad42-20d7-42db-b5a5-af75eb582bbe,2025-02-21,19:02:49,2025-02-21T19:02:49Z,2025-02-21T19:02:49Z,NA,v3,NA,NA,NA,"Hicks, Kolton",1000256032,Right,CSI_EAG,55.01868,-125.57387,11.89166,5.76836,-5.31296,-7.51961,2.90642,-11.49421,7.47335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-02-21,12:03:09,"Snow, Brock",10291197,Left,CSI_EAG,Undefined,Fastball,NA,NA,86.38019,-0.371545,4.1496,2046.907208,137.25604,10:30:00,5.7414,-2.90784,5.77139,-20.13918,17.41513,-15.03383,3.71647,-0.29234,79.15544,-4.165463,1.467282,0.441064,8.73351,9.31658,2.57346,50,5.69845,-8.46092,-125.23601,-1.42246,13.95072,23.91879,-17.29193,a42d768c-2957-4a18-8d76-aef8dd77d537,NA,NA,NA,NA,NA,1000393154,"Olson, Daniel",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,TRE_VAL,1,Top,0,0,2,Sinker,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,NA,CSI_EAG,TRE_VAL,SouthernIdaho,JUCO,NJCAA,20250221-SouthernIdaho-1,7dc5be90-f086-11ef-970f-43a66f85c31a,85.45806,NA,NA,7.22475,NA,NA,NA,6c7fad42-20d7-42db-b5a5-af75eb582bbe,2025-02-21,19:03:09,2025-02-21T19:03:09Z,2025-02-21T19:03:09Z,NA,v3,NA,NA,NA,"Hicks, Kolton",1000256032,Right,CSI_EAG,54.72763,-126.1357,11.9594,5.73972,-0.77203,-8.64597,2.90158,-8.98567,6.97536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.39909,2.779534,1.815398,0.964136,-0.62144,3.56499,0.24195,-0.87311,6.42767,4.69484,70.22973,4.16264,54.55882,-0.83405,78.84497,-5.34022,6.44232,9.73961,-12.55875,4.72154,55.2104,-3.65793,High,High,High,NA,NA,High,High,High
4,2025-02-21,12:03:36,"Snow, Brock",10291197,Left,CSI_EAG,Undefined,Fastball,NA,NA,85.77469,0.531641,2.949002,2063.75566,139.490409,10:45:00,5.8131,-3.02352,5.57181,-19.67261,18.68072,-14.955870000000001,4.67098,-1.51284,78.43207,-3.178581,0.285614,0.445731,8.29784,9.64272,2.77912,50,5.84617,-5.76795,-124.43997,0.55985,13.06753,23.96331,-16.98864,5af2c3e2-7231-4bb2-be4f-6fc3fca98082,NA,NA,NA,NA,NA,1000308495,"Caringella, Vinny",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,TRE_VAL,1,Top,1,0,0,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,CSI_EAG,TRE_VAL,SouthernIdaho,JUCO,NJCAA,20250221-SouthernIdaho-1,8e16d680-f086-11ef-970f-43a66f85c31a,84.56317,NA,NA,7.34262,NA,NA,NA,6c7fad42-20d7-42db-b5a5-af75eb582bbe,2025-02-21,19:03:36,2025-02-21T19:03:36Z,2025-02-21T19:03:36Z,NA,v3,NA,NA,NA,"Hicks, Kolton",1000256032,Right,CSI_EAG,54.92596,-125.38497,11.98166,5.81088,1.2298,-8.49432,3.01674,-6.28327,6.53377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-02-21,12:03:53,"Snow, Brock",10291197,Left,CSI_EAG,Undefined,Fastball,NA,NA,84.94809,-1.975581,4.656667,2007.499886,135.420919,10:30:00,5.76855,-2.99918,5.47813,-22.61033,16.71009,-15.27032,2.02895,0.09517,78.08601,-6.179758,1.948733,0.451316,8.92331,9.30922,2.60042,50,5.57933,-9.37911,-122.97768,-4.98577,13.76121,22.78438,-17.81771,8a703db7-b775-4ecf-8254-673b13481e94,NA,NA,NA,NA,NA,1000308495,"Caringella, Vinny",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,TRE_VAL,1,Top,1,1,0,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,CSI_EAG,TRE_VAL,SouthernIdaho,JUCO,NJCAA,20250221-SouthernIdaho-1,9834b650-f086-11ef-970f-43a66f85c31a,83.51678,NA,NA,6.86207,NA,NA,NA,6c7fad42-20d7-42db-b5a5-af75eb582bbe,2025-02-21,19:03:53,2025-02-21T19:03:53Z,2025-02-21T19:03:53Z,NA,v3,NA,NA,NA,"Hicks, Kolton",1000256032,Right,CSI_EAG,55.02161,-123.90455,11.39219,5.76741,-4.26094,-8.90886,2.99335,-9.93892,6.8806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-02-21,12:04:10,"Snow, Brock",10291197,Left,CSI_EAG,Undefined,Fastball,NA,NA,85.64106,-1.316472,4.472334,2022.693183,137.66941,10:30:00,5.75722,-3.05247,5.71762,-20.89907,17.36576,-14.76017,2.78535,-0.10792,78.70111,-5.235002,1.842858,0.445217,8.68796,9.53591,2.68735,50,5.63398,-9.10562,-124.10733,-3.5026,13.65147,23.10406,-17.19016,0e713e44-931c-4241-b7ad-cc9221ad1093,NA,NA,NA,NA,149.810402,1000308495,"Caringella, Vinny",2852.997823,NA,72.93355,Right,32.569084,NA,NA,NA,NA,51.48933,NA,NA,1.01897,2.6349,-0.00216,NA,NA,NA,NA,NA,2,3,TRE_VAL,1,Top,1,1,1,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,CSI_EAG,TRE_VAL,SouthernIdaho,JUCO,NJCAA,20250221-SouthernIdaho-1,a2853ee0-f086-11ef-970f-43a66f85c31a,84.66091,27.29151,NA,6.93995,NA,NA,NA,6c7fad42-20d7-42db-b5a5-af75eb582bbe,2025-02-21,19:04:10,2025-02-21T19:04:10Z,2025-02-21T19:04:10Z,NA,v3,NA,NA,NA,"Hicks, Kolton",1000256032,Right,CSI_EAG,54.78241,-124.99446,11.55203,5.7558,-2.84255,-8.59508,3.04704,-9.6298,6.82573,NA,1.01897,-77.92036,4.48709,1.24484,-0.59523,0.21265,-0.05747,0.01526,-0.00268,2.6349,57.58316,-31.16484,4.72654,-1.05111,0.21052,-0.04096,0.00861,-0.00117,-0.00216,45.3318,-10.03293,2.57,-0.61967,0.12868,-0.02697,0.0055,-6.7e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Undefined,NA,NA,NA
7,2025-02-21,12:04:35,"Snow, Brock",10291197,Left,CSI_EAG,Undefined,ChangeUp,NA,NA,78.14219,-0.969659,4.788492,1890.523509,118.564026,10:00:00,5.78063,-3.00983,5.56022,-36.41305,10.07906,-15.79682,1.83702,0.15796,71.77486,-7.662792,1.981542,0.490751,9.28666,5.80666,2.60617,50,5.67267,-8.86921,-113.11836,-3.07095,12.06361,20.13847,-24.63104,a287d56b-d3d3-4f5a-8561-846f0575dd3e,NA,NA,NA,NA,NA,1000308495,"Caringella, Vinny",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,TRE_VAL,1,Top,1,1,2,Changeup,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,NA,CSI_EAG,TRE_VAL,SouthernIdaho,JUCO,NJCAA,20250221-SouthernIdaho-1,b12f84a0-f086-11ef-970f-43a66f85c31a,76.80567,NA,NA,6.36733,NA,NA,NA,6c7fad42-20d7-42db-b5a5-af75eb582bbe,2025-02-21,19:04:35,2025-02-21T19:04:35Z,2025-02-21T19:04:35Z,NA,v3,NA,NA,NA,"Hicks, Kolton",1000256032,Right,CSI_EAG,54.93894,-113.99425,10.06924,5.78294,-1.99967,-12.31552,3.00334,-9.39389,6.0318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.26647,2.49595,1.520998,0.974951,0.39777,1.69859,-0.19274,-1.43013,6.57059,5.71849,70.79687,8.37077,54.00137,-1.37441,79.65322,-5.76604,6.58717,14.12593,-12.60979,5.74676,52.43845,-3.0165,High,High,High,NA,NA,High,High,High
8,2025-02-21,12:05:03,"Snow, Brock",10291197,Left,CSI_EAG,Undefined,Fastball,NA,NA,84.58966,0.282466,3.102212,1945.555478,134.51994,10:30:00,5.84907,-2.88366,5.64559,-23.28804,15.97619,-15.03922,4.17227,-1.24042,77.55461,-4.074981,0.420486,0.450993,8.4202,8.38772,2.62991,50,5.85832,-6.02927,-122.75477,-0.12331,12.92293,22.97417,-19.30097,e0881a6c-cbd1-4fb4-871e-99f3590ab8cf,NA,NA,NA,NA,NA,1000302545,"Willhelm, Gunner",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,TRE_VAL,1,Top,2,0,0,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,CSI_EAG,TRE_VAL,SouthernIdaho,JUCO,NJCAA,20250221-SouthernIdaho-1,c1ca9de0-f086-11ef-970f-43a66f85c31a,83.57651,NA,NA,7.03504,NA,NA,NA,6c7fad42-20d7-42db-b5a5-af75eb582bbe,2025-02-21,19:05:03,2025-02-21T19:05:03Z,2025-02-21T19:05:03Z,NA,v3,NA,NA,NA,"Hicks, Kolton",1000256032,Right,CSI_EAG,54.85316,-123.65973,11.48708,5.84821,0.63696,-9.65049,2.87743,-6.5383,6.46147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-02-21,12:05:18,"Snow, Brock",10291197,Left,CSI_EAG,Undefined,TwoSeamFastBall,NA,NA,84.82881,-0.870723,3.698877,1999.504435,141.989059,10:45:00,5.82352,-2.89185,5.54804,-21.80812,17.41277,-12.67607,3.19074,-0.48684,77.88455,-4.947916,1.444773,0.450744,7.33949,9.38386,2.57979,50,5.73368,-7.41675,-122.99287,-2.55682,11.31912,22.83897,-17.70208,ebce7e96-d45d-4bcf-868b-c4212ab23bd3,NA,NA,NA,NA,NA,1000302545,"Willhelm, Gunner",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,TRE_VAL,1,Top,2,1,0,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,CSI_EAG,TRE_VAL,SouthernIdaho,JUCO,NJCAA,20250221-SouthernIdaho-1,cab777c0-f086-11ef-970f-43a66f85c31a,83.62271,NA,NA,6.94426,NA,NA,NA,6c7fad42-20d7-42db-b5a5-af75eb582bbe,2025-02-21,19:05:18,2025-02-21T19:05:18Z,2025-02-21T19:05:18Z,NA,v3,NA,NA,NA,"Hicks, Kolton",1000256032,Right,CSI_EAG,54.9502,-123.90868,11.41949,5.82198,-1.847,-8.85104,2.88629,-7.87063,5.65956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-02-21,12:05:35,"Snow, Brock",10291197,Left,CSI_EAG,Undefined,ChangeUp,NA,NA,77.3478,-0.355274,4.428389,1891.104142,110.933069,09:45:00,5.88326,-3.06656,5.41136,-39.71695,7.97843,-16.88446,2.23967,-0.31649,70.99487,-7.628524,1.433632,0.497061,9.72788,4.5528,2.6842800000000002,50,5.82384,-8.02553,-112.01865,-1.97922,12.38036,19.93365,-26.37985,97905a84-05b0-46e4-a908-3d1c54d8b16d,NA,NA,NA,NA,4.391567,1000302545,"Willhelm, Gunner",1862.238989,NA,68.5401,Right,28.401434,109.11956,39.93369,13.88926,231.04033,228.69696,3.442548,9.541805,0.90261,2.20586,0.30659,NA,NA,NA,NA,NA,3,3,TRE_VAL,1,Top,2,1,1,Changeup,InPlay,Undefined,Popup,Single,0,0,NA,CSI_EAG,TRE_VAL,SouthernIdaho,JUCO,NJCAA,20250221-SouthernIdaho-1,d5513e50-f086-11ef-970f-43a66f85c31a,75.83064,40.53669,NA,6.35293,NA,NA,NA,6c7fad42-20d7-42db-b5a5-af75eb582bbe,2025-02-21,19:05:35,2025-02-21T19:05:35Z,2025-02-21T19:05:35Z,FlyBall,v3,NA,NA,NA,"Hicks, Kolton",1000256032,Right,CSI_EAG,55.08846,-112.9205,9.96682,5.88638,-0.78572,-13.18992,3.06006,-8.58565,6.19018,208.492206,0.90285,88.16057,-11.85793,2.63792,-0.52904,0.13434,-0.04472,0.01013,-9.1e-4,2.20592,47.80879,-15.72469,0.40608,0.27987,-0.26844,0.11545,-0.02349,0.00182,0.30645,6.77461,2.73357,-0.8081,0.19544,-0.05111,0.01475,-0.00295,2.5e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
