PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-05-16,17:05:37,"Schueler, Dillon",1000248265,Right,UIC_FLA,Undefined,Fastball,NA,NA,91.38314,-0.646796,-3.781002,2424.316781,216.667375,01:15:00,5.81167,1.8219,6.74787,-17.25745,14.9228,10.41461,3.78136,-0.76936,84.10922,-3.950039,-1.887363,0.408288,-6.43496,8.34052,-1.57681,50,5.76203,8.37193,-132.76302,-1.94938,-11.5871,26.06324,-17.15573,9843729d-ad6c-484e-889b-0e3cab2db44a,NA,NA,NA,NA,NA,10146754,"Daniel, Pete",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,BEL_BRU,1,Top,0,0,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,UIC_FLA,BEL_BRU,CurtisGrandisonStadium,D1,MVC,20250516-CurtisGrandisonStadium-1,849f8fc0-3299-11f0-88cb-f7a2298d1a14,92.31836,NA,NA,7.27392,NA,NA,NA,0eba9eeb-0241-4d7c-ac45-2da3b48274f8,2025-05-16,21:05:37,2025-05-16T21:05:37Z,2025-05-16T21:05:37Z,NA,v3,471318,471514,NA,"Curry, Thomas",823525,Right,UIC_FLA,53.7513,-133.49743,13.03162,5.81014,-1.46597,-8.57786,-1.81731,8.69842,-5.79355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-05-16,17:05:51,"Schueler, Dillon",1000248265,Right,UIC_FLA,Undefined,Fastball,NA,NA,91.10791,-3.948553,-4.089649,2308.311085,216.032434,01:15:00,5.56195,1.7414,6.74841,-16.50485,16.62186,11.23442,0.56446,-1.0648,82.64136,-7.131812,-2.046981,0.414248,-7.14138,10.32823,-1.47611,50,5.29506,8.97893,-131.79019,-9.5185,-12.43576,30.59426,-14.18885,5a16ef0e-a72a-4dfb-925a-6d0ef1af4ed2,NA,NA,NA,NA,NA,10146754,"Daniel, Pete",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,BEL_BRU,1,Top,0,1,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,UIC_FLA,BEL_BRU,CurtisGrandisonStadium,D1,MVC,20250516-CurtisGrandisonStadium-1,8d17aed0-3299-11f0-88cb-f7a2298d1a14,90.99,NA,NA,8.46655,NA,NA,NA,0eba9eeb-0241-4d7c-ac45-2da3b48274f8,2025-05-16,21:05:51,2025-05-16T21:05:51Z,2025-05-16T21:05:51Z,NA,v3,471318,471514,NA,"Curry, Thomas",823525,Right,UIC_FLA,53.74814,-132.65745,15.29713,5.55917,-9.11629,-7.09443,-1.73563,9.33145,-6.21788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-05-16,17:06:08,"Schueler, Dillon",1000248265,Right,UIC_FLA,Undefined,Fastball,NA,NA,90.383,-2.328684,-2.786606,2380.828264,219.129328,01:15:00,5.68846,1.8462,6.63854,-20.02974,13.21934,9.90638,1.88382,0.11872,82.88257,-6.132674,-0.984979,0.415012,-5.96992,7.92355,-1.66147,50,5.52258,6.00558,-131.24499,-5.8976,-10.42675,27.4322,-18.33519,55ed7a8f-f4eb-46f5-b982-b23c4fd1352a,NA,NA,NA,NA,NA,10146754,"Daniel, Pete",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,BEL_BRU,1,Top,0,2,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,UIC_FLA,BEL_BRU,CurtisGrandisonStadium,D1,MVC,20250516-CurtisGrandisonStadium-1,96c14900-3299-11f0-88cb-f7a2298d1a14,90.82246,NA,NA,7.50043,NA,NA,NA,0eba9eeb-0241-4d7c-ac45-2da3b48274f8,2025-05-16,21:06:08,2025-05-16T21:06:08Z,2025-05-16T21:06:08Z,NA,v3,471318,471514,NA,"Curry, Thomas",823525,Right,UIC_FLA,53.86025,-132.04938,13.7161,5.68763,-5.35996,-9.1676,-1.84206,6.31132,-5.21337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-05-16,17:06:23,"Schueler, Dillon",1000248265,Right,UIC_FLA,Undefined,Slider,NA,NA,81.3846,0.485985,-2.00206,2257.796417,172.746705,11:45:00,5.73723,1.85107,6.11817,-39.58234,1.87126,-0.08882,2.8883,-0.00806,75.31086,-6.822922,-2.01807,0.463396,-0.46469,1.15976,-1.69761,50,5.75351,4.14061,-118.35772,-0.22197,-0.66443,20.90114,-30.5158,6939badd-618a-4bf4-af7f-3f5c17d554f0,NA,NA,NA,NA,-32.167797,10146754,"Daniel, Pete",2214.347894,NA,98.26986,Right,16.378524,90.58122,22.8029,-62.40914,244.47439,220.77356,2.259969,-38.98858,2.35561,3.09787,0.08173,NA,NA,NA,NA,NA,1,4,BEL_BRU,1,Top,0,2,1,Slider,InPlay,Undefined,LineDrive,Double,0,0,NA,UIC_FLA,BEL_BRU,CurtisGrandisonStadium,D1,MVC,20250516-CurtisGrandisonStadium-1,9ff42c90-3299-11f0-88cb-f7a2298d1a14,81.33951,23.25731,NA,6.07375,NA,NA,NA,0eba9eeb-0241-4d7c-ac45-2da3b48274f8,2025-05-16,21:06:23,2025-05-16T21:06:23Z,2025-05-16T21:06:23Z,LineDrive,v3,471318,471514,NA,"Curry, Thomas",823525,Right,UIC_FLA,54.38328,-119.12927,10.45057,5.74092,0.90449,-15.2579,-1.85091,4.1651300000000004,-0.33221,NA,2.35568,117.04856,-23.24402,5.37675,-0.98325,-0.00241,0.09738,-0.03286,0.00368,3.09773,40.65085,-22.9946,3.31499,-1.34229,0.76804,-0.34226,0.08348,-0.00821,0.08175,-73.62165,3.71404,-0.88917,0.27735,-0.12573,0.05038,-0.01167,0.00112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA
5,2025-05-16,17:07:09,"Schueler, Dillon",1000248265,Right,UIC_FLA,Undefined,ChangeUp,NA,NA,84.03229,-1.519246,-4.613362,2136.978135,266.041468,02:45:00,5.47883,2.13593,6.9851,-35.69679,2.7363,20.414180000000002,1.11768,-0.3674,76.5199,-8.242337,-0.880047,0.446194,-12.29938,2.33354,-1.85727,50,5.37362,9.13326,-121.85568,-4.21256,-18.30087,26.27087,-28.70182,9ffc099c-2f2d-46ed-87ba-406c6d5c18fe,NA,NA,NA,NA,NA,1000231814,"Davis, Charlie",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,BEL_BRU,1,Top,0,0,0,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,UIC_FLA,BEL_BRU,CurtisGrandisonStadium,D1,MVC,20250516-CurtisGrandisonStadium-1,bb0b2420-3299-11f0-88cb-f7a2298d1a14,84.47539,NA,NA,7.51238,NA,NA,NA,0eba9eeb-0241-4d7c-ac45-2da3b48274f8,2025-05-16,21:07:09,2025-05-16T21:07:09Z,2025-05-16T21:07:09Z,NA,v3,471318,471514,NA,"Curry, Thomas",823525,Right,UIC_FLA,53.51514,-122.61117,13.13544,5.4829,-3.38717,-14.35091,-2.12749,9.65955,-9.15044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-05-16,17:07:23,"Schueler, Dillon",1000248265,Right,UIC_FLA,Undefined,Fastball,NA,NA,91.30758,-2.017386,-3.440814,2458.405729,212.949067,01:00:00,5.68615,2.0837,6.66829,-15.4591,17.36028,10.52961,2.54802,-0.19074,82.92904,-5.015215,-1.527714,0.412322,-6.59536,10.09571,-1.85677,50,5.54419,7.5576,-132.45936,-5.05108,-11.63166,30.23482,-14.3692,5f6e6964-4839-4929-bcd4-9f31af2b4d85,NA,NA,NA,NA,NA,1000231814,"Davis, Charlie",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,BEL_BRU,1,Top,0,1,0,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,UIC_FLA,BEL_BRU,CurtisGrandisonStadium,D1,MVC,20250516-CurtisGrandisonStadium-1,c3bd6600-3299-11f0-88cb-f7a2298d1a14,91.41502,NA,NA,8.37853,NA,NA,NA,0eba9eeb-0241-4d7c-ac45-2da3b48274f8,2025-05-16,21:07:23,2025-05-16T21:07:23Z,2025-05-16T21:07:23Z,NA,v3,471318,471514,NA,"Curry, Thomas",823525,Right,UIC_FLA,53.83046,-133.33082,15.11741,5.68381,-4.63692,-7.1846,-2.07944,7.89286,-5.81583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-05-16,17:07:46,"Schueler, Dillon",1000248265,Right,UIC_FLA,Undefined,ChangeUp,NA,NA,83.93149,-0.13963,-2.459732,1916.059109,259.816144,02:45:00,5.47164,2.24654,6.76364,-34.24604,4.16748,16.4041,2.49016,1.36577,76.82154,-6.579334,0.533949,0.446081,-9.31934,2.65473,-2.09078,50,5.44995,4.6516,-122.02193,-1.26908,-14.0123,24.62385,-28.18249,d4c3d963-bd76-4e38-beda-0a518283cc75,NA,NA,NA,NA,NA,1000231814,"Davis, Charlie",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,BEL_BRU,1,Top,0,1,1,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,UIC_FLA,BEL_BRU,CurtisGrandisonStadium,D1,MVC,20250516-CurtisGrandisonStadium-1,d15b1dc0-3299-11f0-88cb-f7a2298d1a14,84.49692,NA,NA,7.10996,NA,NA,NA,0eba9eeb-0241-4d7c-ac45-2da3b48274f8,2025-05-16,21:07:46,2025-05-16T21:07:46Z,2025-05-16T21:07:46Z,NA,v3,471318,471514,NA,"Curry, Thomas",823525,Right,UIC_FLA,53.73557,-122.77345,12.31193,5.47555,-0.40895,-14.09125,-2.23927,5.07925,-7.00615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-05-16,17:08:02,"Schueler, Dillon",1000248265,Right,UIC_FLA,Undefined,Fastball,NA,NA,90.98122,-0.869396,-3.031718,2180.730792,217.237696,01:15:00,5.60865,2.10224,6.93123,-18.94631,13.33375,9.40489,3.23717,0.12349,83.60825,-4.496359,-1.31322,0.40892,-5.82276,7.63697,-1.9157,50,5.54737,6.66491,-132.29744,-2.49861,-10.37187,26.89489,-18.57062,c8eccb26-87a6-4a08-af73-220c560a5909,NA,NA,NA,NA,-25.707809,1000231814,"Davis, Charlie",3922.610527,NA,83.51394,Left,31.476824,94.25077,53.56435,-56.71646,302.48517,174.6937,3.990803,-36.657046,0.35098,3.11527,-0.05815,NA,NA,NA,NA,NA,2,4,BEL_BRU,1,Top,0,1,2,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,NA,UIC_FLA,BEL_BRU,CurtisGrandisonStadium,D1,MVC,20250516-CurtisGrandisonStadium-1,dac27ed0-3299-11f0-88cb-f7a2298d1a14,92.17552,59.82571,NA,7.37297,NA,NA,NA,0eba9eeb-0241-4d7c-ac45-2da3b48274f8,2025-05-16,21:08:02,2025-05-16T21:08:02Z,2025-05-16T21:08:02Z,FlyBall,v3,471318,471514,NA,"Curry, Thomas",823525,Right,UIC_FLA,53.56887,-133.02098,13.44744,5.60787,-1.99901,-9.28531,-2.09876,6.94393,-5.18593,130.694866,0.35245,94.08323,-19.52349,5.26179,-0.91805,0.05742,0.01103,-0.00174,2e-5,3.11586,63.93524,-19.79403,0.7013,0.52498,-0.37552,0.12774,-0.02156,0.00141,-0.05778,-45.3253,-1.55472,0.96656,-0.23451,0.01444,0.0069,-0.00162,1e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA
9,2025-05-16,17:08:39,"Schueler, Dillon",1000248265,Right,UIC_FLA,Undefined,Fastball,NA,NA,91.49508,-2.940518,-2.46556,2356.496962,214.647884,01:15:00,5.66756,2.09511,6.62539,-16.16843,16.60954,10.69737,1.62275,0.72749,83.10396,-6.058777,-0.520213,0.412062,-6.37181,9.96831,-1.9319,50,5.46107,5.29313,-132.71806,-7.23169,-11.26612,30.707,-14.54886,55223189-4cec-4bbb-b12d-83d26801529c,NA,NA,NA,NA,NA,1000066150,"Allen, Ty",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,BEL_BRU,1,Top,1,0,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,UIC_FLA,BEL_BRU,CurtisGrandisonStadium,D1,MVC,20250516-CurtisGrandisonStadium-1,f0e65f60-3299-11f0-88cb-f7a2298d1a14,91.47274,NA,NA,8.39112,NA,NA,NA,0eba9eeb-0241-4d7c-ac45-2da3b48274f8,2025-05-16,21:08:39,2025-05-16T21:08:39Z,2025-05-16T21:08:39Z,NA,v3,471318,471514,NA,"Curry, Thomas",823525,Right,UIC_FLA,53.87259,-133.61105,15.3535,5.66523,-6.80859,-7.27443,-2.09059,5.62077,-5.63306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-05-16,17:08:55,"Schueler, Dillon",1000248265,Right,UIC_FLA,Undefined,Slider,NA,NA,82.629,-2.341834,-2.992242,2330.391404,150.333561,11:00:00,5.63956,2.1125,6.35499,-35.79734,3.92992,-1.64012,0.49687,-0.78075,77.2982,-8.925846,-3.289132,0.453645,0.15575,2.91244,-1.89471,50,5.4525,6.33421,-120.0866,-5.98866,0.23075,20.0687,-27.85896,a23a9b11-3d5a-48e2-8e20-749b2a055902,NA,NA,NA,NA,NA,1000066150,"Allen, Ty",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,BEL_BRU,1,Top,1,0,1,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,UIC_FLA,BEL_BRU,CurtisGrandisonStadium,D1,MVC,20250516-CurtisGrandisonStadium-1,fa7e9470-3299-11f0-88cb-f7a2298d1a14,83.08805,NA,NA,5.3308,NA,NA,NA,0eba9eeb-0241-4d7c-ac45-2da3b48274f8,2025-05-16,21:08:55,2025-05-16T21:08:55Z,2025-05-16T21:08:55Z,NA,v3,471318,471514,NA,"Curry, Thomas",823525,Right,UIC_FLA,54.14691,-120.77764,10.03435,5.64219,-5.02937,-13.92948,-2.11268,6.32627,0.11537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
