PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-17,18:32:34,"Stone, Brandon",825762,Right,SOU_GAM,Undefined,Sinker,NA,NA,92.16343,-1.078561,-3.772562,2129.300387,245.085536,02:15:00,5.74716,2.85956,5.7435600000000004,-23.90887,9.41918,17.87143,2.74821,0.83114,83.78856,-5.534967,-0.580486,0.415505,-10.24115,5.43555,-2.55671,50,5.6427,8.01742,-133.55788,-3.36085,-18.40024,30.18591,-22.40799,94b0102b-f9d4-45e1-8920-d1fcf75db25e,NA,NA,NA,NA,-24.666128,702619,"Hill, Luke",2791.410804,NA,82.66195,Right,-3.523804,NA,NA,NA,35.14487,31.42686,0.280862,-28.116787,1.41412,3.29879,-1.52753,NA,NA,NA,NA,NA,1,1,OLE_REB,1,Top,0,0,0,Sinker,InPlay,Undefined,GroundBall,Out,1,0,NA,SOU_GAM,OLE_REB,UofSouthCarolina,D1,SEC,20250417-UofSouthCarolina-1,dbda9b10-1bdb-11f0-be31-d56fd2294376,90.71472,3.29879,NA,8.37487,NA,NA,NA,bbbf0e22-ce45-4e30-9759-26996906df59,2025-04-17,22:32:34,2025-04-17T22:32:34Z,2025-04-17T22:32:34Z,GroundBall,v3,471441,5322,17 April 2025 00:00-olemiss@scarolina,"Braland, Gavin",816167,Right,SOU_GAM,54.75767,-134.62889,15.09295,5.74784,-2.5658,-11.204,-2.85275,8.67027,-9.20012,NA,1.41477,109.93603,-16.41506,NA,NA,NA,NA,NA,NA,3.29971,-7.49488,-15.1564,NA,NA,NA,NA,NA,NA,-1.52499,-50.62029,-10.43225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
2,2025-04-17,18:33:10,"Stone, Brandon",825762,Right,SOU_GAM,Undefined,Sinker,NA,NA,92.13965,0.349555,-4.400417,2081.234124,240.664603,02:00:00,5.71472,2.68213,5.7507,-23.41552,10.03843,15.82985,4.08983,-0.10346,83.38577,-4.030935,-1.5783,0.416289,-9.27733,5.34319,-2.32542,50,5.72972,9.53413,-133.36204,-3.4e-4,-16.5984,30.43907,-22.61439,edf10d91-fce8-42f3-861a-fe16c9f6a7d1,NA,NA,NA,NA,NA,689407,"Sanford, Mitchell",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,OLE_REB,1,Top,1,0,0,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,SOU_GAM,OLE_REB,UofSouthCarolina,D1,SEC,20250417-UofSouthCarolina-1,f1440540-1bdb-11f0-be31-d56fd2294376,90.54391,NA,NA,8.75388,NA,NA,NA,bbbf0e22-ce45-4e30-9759-26996906df59,2025-04-17,22:33:10,2025-04-17T22:33:10Z,2025-04-17T22:33:10Z,NA,v3,471441,5322,17 April 2025 00:00-olemiss@scarolina,"Braland, Gavin",816167,Right,SOU_GAM,54.74758,-134.44128,15.21954,5.71552,0.80147,-11.3072,-2.67389,10.12264,-8.2992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-04-17,18:33:25,"Stone, Brandon",825762,Right,SOU_GAM,Undefined,Sinker,NA,NA,91.64194,-0.306575,-5.162807,1982.785766,266.083716,02:45:00,5.32797,2.76489,5.83147,-31.2612,2.3778,18.51269,2.43673,-0.50458,83.44801,-6.077027,-1.859573,0.417439,-10.92505,1.63567,-2.35335,50,5.28441,11.16958,-132.62996,-1.85817,-19.39959,29.19117,-29.26963,1430cbc9-53e2-4394-9215-6eca77b8ea13,NA,NA,NA,NA,NA,689407,"Sanford, Mitchell",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,OLE_REB,1,Top,1,0,1,Sinker,InPlay,Undefined,GroundBall,Out,1,0,NA,SOU_GAM,OLE_REB,UofSouthCarolina,D1,SEC,20250417-UofSouthCarolina-1,fa317b60-1bdb-11f0-be31-d56fd2294376,90.29448,NA,NA,8.19392,NA,NA,NA,bbbf0e22-ce45-4e30-9759-26996906df59,2025-04-17,22:33:25,2025-04-17T22:33:25Z,2025-04-17T22:33:25Z,NA,v3,471441,5322,17 April 2025 00:00-olemiss@scarolina,"Braland, Gavin",816167,Right,SOU_GAM,54.67013,-133.65388,14.59558,5.33158,-0.8315,-14.63481,-2.75707,11.85004,-9.69979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-04-17,18:33:59,"Stone, Brandon",825762,Right,SOU_GAM,Undefined,Sinker,NA,NA,91.26069,0.355133,-3.963812,2028.204028,269.596581,03:00:00,5.30395,3.00109,5.95305,-32.47171,1.26158,19.45946,2.92814,0.94063,82.93222,-5.658571,-0.474908,0.418024,-11.07186,0.91287,-2.69597,50,5.31432,8.30979,-132.28552,-0.35635,-19.50908,29.70082,-30.56552,da24bf7f-c527-4893-b5a7-34f200c1fd8f,NA,NA,NA,NA,NA,1000092437,"Furniss, Wilburn",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,OLE_REB,1,Top,2,0,0,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,SOU_GAM,OLE_REB,UofSouthCarolina,D1,SEC,20250417-UofSouthCarolina-1,0e7d8eb0-1bdc-11f0-be31-d56fd2294376,90.16818,NA,NA,8.32847,NA,NA,NA,bbbf0e22-ce45-4e30-9759-26996906df59,2025-04-17,22:33:59,2025-04-17T22:33:59Z,2025-04-17T22:33:59Z,NA,v3,471441,5322,17 April 2025 00:00-olemiss@scarolina,"Braland, Gavin",816167,Right,SOU_GAM,54.54774,-133.30267,14.85041,5.3086,0.69041,-15.28276,-2.99199,8.97791,-9.75454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-04-17,18:34:13,"Stone, Brandon",825762,Right,SOU_GAM,Undefined,ChangeUp,NA,NA,84.60454,1.760443,-2.72665,1470.28293,269.732035,03:00:00,5.27159,2.97322,5.88985,-38.08663,1.45071,15.08694,3.73473,1.69673,76.42285,-5.304882,-0.022189,0.452559,-8.46981,0.66736,-2.7614899999999998,50,5.39233,5.20644,-122.61036,2.4741,-12.74242,26.89234,-31.17001,f97cc625-9009-4255-9e76-b3eff426b380,NA,NA,NA,NA,NA,1000092437,"Furniss, Wilburn",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,OLE_REB,1,Top,2,1,0,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,SOU_GAM,OLE_REB,UofSouthCarolina,D1,SEC,20250417-UofSouthCarolina-1,16cf3a00-1bdc-11f0-be31-d56fd2294376,83.28734,NA,NA,8.18169,NA,NA,NA,bbbf0e22-ce45-4e30-9759-26996906df59,2025-04-17,22:34:13,2025-04-17T22:34:13Z,2025-04-17T22:34:13Z,NA,v3,471441,5322,17 April 2025 00:00-olemiss@scarolina,"Braland, Gavin",816167,Right,SOU_GAM,54.60849,-123.61702,13.44617,5.27788,3.64088,-15.585,-2.96531,5.68343,-6.37121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-04-17,18:34:30,"Stone, Brandon",825762,Right,SOU_GAM,Undefined,Sinker,NA,NA,92.77103,-0.660168,-4.84928,2000.478862,264.91652,02:45:00,5.34593,2.89121,5.87132,-30.18171,2.77315,18.25162,2.21534,-0.10295,84.00741,-6.249627,-1.587255,0.413172,-10.80249,1.96209,-2.50844,50,5.27489,10.57509,-134.23737,-2.66048,-19.51891,31.70264,-28.62879,a0796dcf-6dd2-4183-b730-602b7fcf99ed,NA,NA,NA,NA,-14.83977,1000092437,"Furniss, Wilburn",NA,NA,97.70925,Left,-34.332606,NA,NA,NA,3.23934,3.23934,0.025737,-11.504481,0.22558,2.08341,0.1352,NA,NA,NA,NA,NA,3,3,OLE_REB,1,Top,2,2,0,Sinker,InPlay,Undefined,GroundBall,Out,1,0,NA,SOU_GAM,OLE_REB,UofSouthCarolina,D1,SEC,20250417-UofSouthCarolina-1,20f445c0-1bdc-11f0-be31-d56fd2294376,91.22697,2.08341,NA,8.76362,NA,NA,NA,bbbf0e22-ce45-4e30-9759-26996906df59,2025-04-17,22:34:30,2025-04-17T22:34:30Z,2025-04-17T22:34:30Z,GroundBall,v3,471441,5322,17 April 2025 00:00-olemiss@scarolina,"Braland, Gavin",816167,Right,SOU_GAM,54.6293,-135.32624,15.85132,5.34939,-1.67718,-14.31439,-2.88317,11.2455,-9.75946,NA,0.22485,114.56809,NA,NA,NA,NA,NA,NA,NA,2.08392,-80.9486,NA,NA,NA,NA,NA,NA,NA,0.13539,-30.35529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Estimated,Estimated,NA,NA,NA
7,2025-04-17,18:37:41,"Elliott, Hunter",695545,Left,OLE_REB,Undefined,Fastball,NA,NA,87.23134,-2.399581,4.522864,2162.859094,134.61265,10:30:00,5.10641,-2.67982,6.38943,-20.99328,16.15111,-14.85646,1.14159,0.25105,77.86439,-6.437627,1.841781,0.43865,9.27705,9.67209,2.3601,50,4.9236,-9.36914,-126.03508,-5.85201,14.53851,31.75274,-17.01642,38b26da9-5811-4dcc-b1a4-6b27d7f3ae5d,NA,NA,NA,NA,NA,703449,"Hall, Nathan",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,SOU_GAM,1,Bottom,0,0,0,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,SOU_GAM,OLE_REB,UofSouthCarolina,D1,SEC,20250417-UofSouthCarolina-1,930c5760-1bdc-11f0-be31-d56fd2294376,85.92829,NA,NA,9.36695,NA,NA,NA,bbbf0e22-ce45-4e30-9759-26996906df59,2025-04-17,22:37:41,2025-04-17T22:37:41Z,2025-04-17T22:37:41Z,NA,v3,471441,5322,17 April 2025 00:00-olemiss@scarolina,"Fawley, Austin",701366,Right,OLE_REB,54.10652,-127.06545,15.87637,5.10454,-5.29984,-8.50821,2.67178,-9.84091,7.26925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-04-17,18:37:56,"Elliott, Hunter",695545,Left,OLE_REB,Undefined,Fastball,NA,NA,87.72216,-2.20887,5.291198,2233.132796,140.376387,10:45:00,5.07096,-2.67336,6.47233,-19.81863,16.54525,-12.56993,1.38114,1.15233,78.92416,-6.017286,3.024655,0.434017,8.27839,9.75871,2.30461,50,4.90572,-11.24395,-126.75143,-5.4234,13.24132,29.96853,-16.56496,815cd734-0bd9-4209-aff7-2517f879e708,NA,NA,NA,NA,NA,703449,"Hall, Nathan",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,SOU_GAM,1,Bottom,0,1,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,SOU_GAM,OLE_REB,UofSouthCarolina,D1,SEC,20250417-UofSouthCarolina-1,9c221600-1bdc-11f0-be31-d56fd2294376,86.84561,NA,NA,8.798,NA,NA,NA,bbbf0e22-ce45-4e30-9759-26996906df59,2025-04-17,22:37:56,2025-04-17T22:37:56Z,2025-04-17T22:37:56Z,NA,v3,471441,5322,17 April 2025 00:00-olemiss@scarolina,"Fawley, Austin",701366,Right,OLE_REB,54.02544,-127.69964,14.98427,5.06903,-4.89928,-8.28248,2.66699,-11.6629,6.62066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-04-17,18:38:12,"Elliott, Hunter",695545,Left,OLE_REB,Undefined,Fastball,NA,NA,88.15129,-1.721206,4.430358,2299.708469,136.50727,10:30:00,5.04705,-2.7521,6.37512,-19.79981,16.23375,-14.12713,1.8082,0.15505,79.28545,-5.523926,1.881887,0.432041,8.84847,9.41729,2.43823,50,4.91329,-9.33045,-127.57649,-4.37743,14.32914,30.50952,-16.92377,b4b871c5-00a8-4774-91e6-f4f0873e37b0,NA,NA,NA,NA,-54.443736,703449,"Hall, Nathan",NA,NA,113.62636,Right,-17.44915,NA,NA,NA,7.80643,7.80643,0.038087,-40.331653,2.42639,1.90514,-0.12144,NA,NA,NA,NA,NA,1,3,SOU_GAM,1,Bottom,0,2,0,Sinker,InPlay,Undefined,GroundBall,Double,0,0,NA,SOU_GAM,OLE_REB,UofSouthCarolina,D1,SEC,20250417-UofSouthCarolina-1,a57fda20-1bdc-11f0-be31-d56fd2294376,87.24273,1.90514,NA,8.86585,NA,NA,NA,bbbf0e22-ce45-4e30-9759-26996906df59,2025-04-17,22:38:12,2025-04-17T22:38:12Z,2025-04-17T22:38:12Z,GroundBall,v3,471441,5322,17 April 2025 00:00-olemiss@scarolina,"Fawley, Austin",701366,Right,OLE_REB,54.12417,-128.55899,15.25476,5.04548,-3.83243,-8.46189,2.74613,-9.79189,7.16457,NA,2.42584,92.53818,NA,NA,NA,NA,NA,NA,NA,1.90544,-50.02029,NA,NA,NA,NA,NA,NA,NA,-0.12068,-129.46463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Estimated,Estimated,NA,NA,NA
10,2025-04-17,18:39:17,"Elliott, Hunter",695545,Left,OLE_REB,Undefined,Slider,NA,NA,80.25703,1.883325,1.738173,2158.626461,233.226227,01:45:00,5.0885,-2.75803,5.99485,-36.53037,8.40386,8.68359,3.79104,-0.42312,70.72864,-5.01594,3.297168,0.482459,-3.69288,4.15244,2.61673,50,5.21781,-3.87182,-116.0008,2.71635,-4.83552,29.57467,-26.73678,28017745-fe85-4ff5-8cd9-2b9f75ce1397,NA,NA,NA,NA,NA,808793,"Kaczmar, Henry",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,SOU_GAM,1,Bottom,0,0,0,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,SOU_GAM,OLE_REB,UofSouthCarolina,D1,SEC,20250417-UofSouthCarolina-1,cc1f6510-1bdc-11f0-be31-d56fd2294376,78.12575,NA,NA,9.52839,NA,NA,NA,bbbf0e22-ce45-4e30-9759-26996906df59,2025-04-17,22:39:17,2025-04-17T22:39:17Z,2025-04-17T22:39:17Z,NA,v3,471441,5322,17 April 2025 00:00-olemiss@scarolina,"Fawley, Austin",701366,Right,OLE_REB,54.49621,-117.14151,14.78734,5.09315,3.7476,-13.36839,2.76247,-3.68531,-2.41776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
