PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-22,10:34:14,"Grigg, Landon",1000265118,Right,ULM_WAR,Undefined,Fastball,NA,NA,91.53563,-2.536525,-0.48439,2395.176808,211.844322,01:00:00,5.4848,0.76342,5.35867,-16.31824,18.00194,10.44414,1.74453,1.17949,83.07299,-5.618919,1.372029,0.421644,-5.37481,10.13713,-0.72756,50,5.24554,0.63342,-132.64044,-6.40501,-9.50093,30.42931,-14.25483,2e2ff24b-7653-400d-8bb7-78f4902914a4,NA,NA,NA,NA,NA,1000189206,"Dutka, Kenneth",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,HBU_HUS,1,Top,0,0,0,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,ULM_WAR,HBU_HUS,WarHawkField,D1,SBELT,20250222-WarHawkField-1,dbff17e0-f13a-11ef-b297-678e65eaf7c1,89.39396,NA,NA,8.46264,NA,NA,NA,13cdf32f-bc84-4690-838c-9b88242afdd0,2025-02-22,16:34:14,2025-02-22T16:34:14Z,2025-02-22T16:34:14Z,NA,v3,471389,471314,22 February 2025 15:00-houstnbapt@ulamo,"Lindwedel, Tony",802616,Right,ULM_WAR,55.13951,-133.81432,15.21466,5.48202,-5.8551,-7.12741,-0.75906,0.99994,-4.75046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-02-22,10:34:29,"Grigg, Landon",1000265118,Right,ULM_WAR,Undefined,Fastball,NA,NA,90.0976,-0.385075,-0.26384,2434.657652,181.487094,12:00:00,5.7842,0.43946,5.58112,-11.00827,24.04005,0.59331,4.5072,0.24249,81.56268,-2.555547,-0.157994,0.426094,-0.37587,12.56375,-0.41715,50,5.74405,0.57471,-130.70283,-1.12139,-0.64566,29.34076,-10.59203,01bc7f3c-a0b4-4a34-bb3e-ea686fe1081c,NA,NA,NA,NA,NA,1000189206,"Dutka, Kenneth",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,HBU_HUS,1,Top,0,0,1,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,ULM_WAR,HBU_HUS,WarHawkField,D1,SBELT,20250222-WarHawkField-1,e4a23e90-f13a-11ef-b297-678e65eaf7c1,88.46047,NA,NA,8.53492,NA,NA,NA,13cdf32f-bc84-4690-838c-9b88242afdd0,2025-02-22,16:34:29,2025-02-22T16:34:29Z,2025-02-22T16:34:29Z,NA,v3,471389,471314,22 February 2025 15:00-houstnbapt@ulamo,"Lindwedel, Tony",802616,Right,ULM_WAR,54.91529,-131.80161,14.67038,5.77862,-0.72473,-5.29601,-0.43912,0.59889,-0.32283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-02-22,10:34:45,"Grigg, Landon",1000265118,Right,ULM_WAR,Undefined,Cutter,NA,NA,84.86674,-0.578342,0.867692,2397.40806,163.556176,11:30:00,5.3217,1.11019,4.35924,-34.13793,7.7339,-1.81673,1.92432,1.78773,76.29767,-6.774763,0.550436,0.465728,1.15807,4.40217,-1.20139,50,5.22647,-1.76903,-122.67566,-2.61841,1.73284,28.36407,-25.58698,27920b50-725b-4c8b-840d-944547a5a40d,NA,NA,NA,NA,NA,1000189206,"Dutka, Kenneth",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,HBU_HUS,1,Top,0,1,1,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,ULM_WAR,HBU_HUS,WarHawkField,D1,SBELT,20250222-WarHawkField-1,ee37b480-f13a-11ef-b297-678e65eaf7c1,80.93229,NA,NA,8.56907,NA,NA,NA,13cdf32f-bc84-4690-838c-9b88242afdd0,2025-02-22,16:34:45,2025-02-22T16:34:45Z,2025-02-22T16:34:45Z,NA,v3,471389,471314,22 February 2025 15:00-houstnbapt@ulamo,"Lindwedel, Tony",802616,Right,ULM_WAR,56.13536,-124.08612,14.18203,5.32504,-1.34605,-12.79349,-1.11128,-1.8552,0.86642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-02-22,10:35:03,"Grigg, Landon",1000265118,Right,ULM_WAR,Undefined,Fastball,NA,NA,90.18611,-1.782339,-0.860299,2501.425028,208.347442,01:00:00,5.59728,0.6495,5.39459,-22.68521,12.54288,6.12492,2.03573,0.3536,82.03474,-5.998566,0.22952,0.427185,-3.37221,7.19087,-0.57731,50,5.42252,1.6929,-130.79913,-4.87493,-5.79932,29.47104,-19.80757,6319873c-130d-4121-8ecc-1e3044d0fc40,NA,NA,NA,NA,-122.955195,1000189206,"Dutka, Kenneth",4305.332916,NA,72.05991,Left,40.651174,NA,NA,NA,NA,44.11921,NA,NA,1.50939,2.20426,-0.11167,NA,NA,NA,NA,NA,1,4,HBU_HUS,1,Top,0,2,1,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,ULM_WAR,HBU_HUS,WarHawkField,D1,SBELT,20250222-WarHawkField-1,f8e9e510-f13a-11ef-b297-678e65eaf7c1,88.23447,32.14168,NA,8.15138,NA,NA,NA,13cdf32f-bc84-4690-838c-9b88242afdd0,2025-02-22,16:35:03,2025-02-22T16:35:03Z,2025-02-22T16:35:03Z,NA,v3,471389,471314,22 February 2025 15:00-houstnbapt@ulamo,"Lindwedel, Tony",802616,Right,ULM_WAR,55.1059,-131.94456,14.73552,5.59703,-4.1051,-9.90378,-0.64749,1.9183,-2.89966,NA,1.50939,-43.61883,-6.96837,4.31747,-1.46298,0.43691,-0.11723,0.02879,-0.00433,2.20426,68.85047,-34.59705,6.17424,-1.44993,0.31418,-0.06541,0.01318,-0.00162,-0.11167,-67.28224,14.5969,-1.69759,0.08716,0.08321,-0.0383,0.01294,-0.00257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Undefined,NA,NA,NA
5,2025-02-22,10:35:24,"Grigg, Landon",1000265118,Right,ULM_WAR,Undefined,Fastball,NA,NA,90.07823,-1.656189,0.682524,2311.412801,188.550606,12:15:00,5.70514,0.65963,5.36441,-17.54107,17.73552,2.49024,2.68982,1.50719,81.98439,-4.960234,1.125095,0.427479,-1.04453,9.70989,-0.7227,50,5.54431,-1.67159,-130.62066,-4.3466,-1.79793,28.45938,-15.4602,4b67095f-2305-49f9-84d9-eb707e9c7d6c,NA,NA,NA,NA,NA,1000189206,"Dutka, Kenneth",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,HBU_HUS,1,Top,0,2,2,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,ULM_WAR,HBU_HUS,WarHawkField,D1,SBELT,20250222-WarHawkField-1,057bd220-f13b-11ef-b297-678e65eaf7c1,88.17377,NA,NA,8.09385,NA,NA,NA,13cdf32f-bc84-4690-838c-9b88242afdd0,2025-02-22,16:35:24,2025-02-22T16:35:24Z,2025-02-22T16:35:24Z,NA,v3,471389,471314,22 February 2025 15:00-houstnbapt@ulamo,"Lindwedel, Tony",802616,Right,ULM_WAR,55.13279,-131.73424,14.22969,5.70255,-3.74166,-7.7301,-0.65867,-1.60124,-0.89897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-02-22,10:35:44,"Grigg, Landon",1000265118,Right,ULM_WAR,Undefined,Fastball,NA,NA,89.81365,-0.144627,-0.36111,2288.355463,246.113643,02:15:00,5.51231,0.61548,5.72404,-25.03297,10.72233,21.03895,3.29151,2.03237,80.08319,-4.859237,3.403731,0.43037,-10.66237,5.90811,-0.59771,50,5.48528,-0.14943,-130.0904,-1.17317,-17.76992,34.27572,-22.32761,47e4c337-212a-4396-8684-02d214a4e5d9,NA,NA,NA,NA,NA,1000189206,"Dutka, Kenneth",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,HBU_HUS,1,Top,0,3,2,Sinker,BallCalled,Walk,Undefined,Undefined,0,0,NA,ULM_WAR,HBU_HUS,WarHawkField,D1,SBELT,20250222-WarHawkField-1,11a81f90-f13b-11ef-b297-678e65eaf7c1,87.58152,NA,NA,9.73047,NA,NA,NA,13cdf32f-bc84-4690-838c-9b88242afdd0,2025-02-22,16:35:44,2025-02-22T16:35:44Z,2025-02-22T16:35:44Z,NA,v3,471389,471314,22 February 2025 15:00-houstnbapt@ulamo,"Lindwedel, Tony",802616,Right,ULM_WAR,54.77077,-131.34137,17.13786,5.51323,-0.35827,-11.16381,-0.60409,0.49912,-8.88496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-02-22,10:36:12,"Grigg, Landon",1000265118,Right,ULM_WAR,Undefined,Curveball,NA,NA,78.32295,2.058055,1.730691,2450.936772,76.999644,08:30:00,5.54831,0.56892,4.60541,-49.71991,-1.30406,-13.01324,3.36385,1.1308,70.8772,-6.922183,-0.549937,0.500801,6.8167,-0.70071,-0.73464,50,5.71491,-2.84723,-113.31927,2.18715,8.76433,22.87765,-33.07495,ee2ab4ee-d4fd-44eb-9da4-ff67ec52e602,NA,NA,NA,NA,NA,10157102,"Bazile, Walker",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,HBU_HUS,1,Top,0,0,0,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,ULM_WAR,HBU_HUS,WarHawkField,D1,SBELT,20250222-WarHawkField-1,22318590-f13b-11ef-b297-678e65eaf7c1,75.2643,NA,NA,7.44575,NA,NA,NA,13cdf32f-bc84-4690-838c-9b88242afdd0,2025-02-22,16:36:12,2025-02-22T16:36:12Z,2025-02-22T16:36:12Z,NA,v3,471389,471314,22 February 2025 15:00-houstnbapt@ulamo,"Lindwedel, Tony",802616,Right,ULM_WAR,55.89277,-114.50276,11.43882,5.55751,3.89817,-16.53748,-0.57562,-3.30062,4.38217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-02-22,10:36:30,"Grigg, Landon",1000265118,Right,ULM_WAR,Undefined,Fastball,NA,NA,90.13645,-2.03798,-0.373931,2440.963488,198.358389,12:30:00,5.39245,0.61471,5.02917,-15.63627,20.30119,6.31138,2.16562,0.78782,81.4477,-5.003889,0.740864,0.431465,-3.23587,11.05186,-0.58426,50,5.18583,0.54963,-130.52409,-5.14828,-5.52172,30.2551,-13.31503,e9c82a45-88ba-4534-86f3-a2602707073b,NA,NA,NA,NA,NA,10157102,"Bazile, Walker",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,HBU_HUS,1,Top,0,1,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,ULM_WAR,HBU_HUS,WarHawkField,D1,SBELT,20250222-WarHawkField-1,2d152660-f13b-11ef-b297-678e65eaf7c1,87.35926,NA,NA,8.68876,NA,NA,NA,13cdf32f-bc84-4690-838c-9b88242afdd0,2025-02-22,16:36:30,2025-02-22T16:36:30Z,2025-02-22T16:36:30Z,NA,v3,471389,471314,22 February 2025 15:00-houstnbapt@ulamo,"Lindwedel, Tony",802616,Right,ULM_WAR,55.46793,-131.78545,15.12755,5.38889,-4.59317,-6.65751,-0.61198,0.77983,-2.76086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-02-22,10:37:02,"Grigg, Landon",1000265118,Right,ULM_WAR,Undefined,Cutter,NA,NA,89.36854,-2.314744,-0.262168,2368.541949,181.080485,12:00:00,5.51249,0.44135,5.72632,-17.89985,17.53414,0.30799,1.8637,0.22283,81.27695,-5.703491,-0.207039,0.428432,-0.23406,9.95926,-0.41966,50,5.30836,0.57966,-129.61395,-5.7847,-0.39567,28.67943,-15.33821,67ea4c59-27f7-4446-bd61-1daceeb2b91e,NA,NA,NA,NA,NA,10157102,"Bazile, Walker",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,HBU_HUS,1,Top,0,1,1,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,ULM_WAR,HBU_HUS,WarHawkField,D1,SBELT,20250222-WarHawkField-1,3fee21b0-f13b-11ef-b297-678e65eaf7c1,87.97773,NA,NA,8.0916,NA,NA,NA,13cdf32f-bc84-4690-838c-9b88242afdd0,2025-02-22,16:37:02,2025-02-22T16:37:02Z,2025-02-22T16:37:02Z,NA,v3,471389,471314,22 February 2025 15:00-houstnbapt@ulamo,"Lindwedel, Tony",802616,Right,ULM_WAR,54.77179,-130.66553,14.33972,5.51015,-5.22229,-7.6691,-0.44118,0.59417,-0.19783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-02-22,10:37:18,"Grigg, Landon",1000265118,Right,ULM_WAR,Undefined,Fastball,NA,NA,90.65423,-2.634237,-0.879523,2316.620935,203.046249,12:45:00,5.5118,0.56001,5.56824,-15.7367,19.03871,7.57981,1.7376,0.36999,82.14237,-5.631634,0.472855,0.424432,-4.11811,10.80729,-0.48936,50,5.27461,1.67937,-131.37805,-6.52288,-7.12612,30.41236,-13.47277,f070d89b-de87-455c-9131-04cf764fd5c7,NA,NA,NA,NA,-65.077478,10157102,"Bazile, Walker",7317.533206,NA,86.95377,Left,46.471806,NA,NA,NA,NA,58.34721,NA,NA,1.95208,1.79023,-0.36563,NA,NA,NA,NA,NA,2,4,HBU_HUS,1,Top,0,1,2,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,ULM_WAR,HBU_HUS,WarHawkField,D1,SBELT,20250222-WarHawkField-1,498ff3b0-f13b-11ef-b297-678e65eaf7c1,88.80687,58.21661,NA,8.51186,NA,NA,NA,13cdf32f-bc84-4690-838c-9b88242afdd0,2025-02-22,16:37:18,2025-02-22T16:37:18Z,2025-02-22T16:37:18Z,NA,v3,471389,471314,22 February 2025 15:00-houstnbapt@ulamo,"Lindwedel, Tony",802616,Right,ULM_WAR,54.93071,-132.51454,15.20618,5.50896,-6.01942,-6.73639,-0.5571,1.94567,-3.56306,NA,1.95208,37.01204,-31.48523,12.00472,-3.80919,1.14352,-0.32627,0.07847,-0.01114,1.79023,92.46523,-31.81013,2.78585,0.30252,-0.3776,0.17114,-0.05237,0.00846,-0.36563,-79.65362,19.44382,-6.40281,1.81443,-0.49298,0.12874,-0.02887,0.00392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Low,Undefined,NA,NA,NA
