PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-23,13:01:10,"Vokal, Jacob",10077468,Right,DAV_WIL,Undefined,Fastball,NA,NA,89.18935,-1.622234,-1.183327,2030.564753,209.811862,01:00:00,6.13331,1.38767,4.67465,-19.26218,18.24131,9.63016,2.98668,1.06617,79.94162,-5.231577,0.506588,0.440765,-5.12457,9.87583,-1.27656,50,5.95199,2.19464,-128.96931,-4.34386,-8.46256,31.70841,-15.86539,724a2bfd-23ce-4d7f-9f9c-4f90109b31d1,NA,NA,NA,NA,-33.737502,1000120884,"Kender, Billy",1781.757191,NA,106.54749,Right,17.2247,89.18808,29.42048,-64.3849,303.15308,303.15308,3.053884,-41.130028,2.17188,3.12293,-1.02033,NA,NA,NA,NA,NA,1,1,BUC_BIS,1,Top,0,0,0,Four-Seam,InPlay,Undefined,LineDrive,Double,0,0,NA,DAV_WIL,BUC_BIS,WilsonField,D1,A10,20250223-WilsonField-2,2a32de30-f210-11ef-9d99-affcae2ee4f8,85.51591,34.70801,NA,9.24774,NA,NA,NA,11be5751-1f83-4ace-b17d-c37c981eb32d,2025-02-23,18:01:10,2025-02-23T18:01:10Z,2025-02-23T18:01:10Z,LineDrive,v3,471280,471249,23 February 2025 13:00-bucknell@davidson,"Jouras, Noah",1000282260,Right,DAV_WIL,55.82206,-130.39287,15.8542,6.13102,-3.63158,-7.93269,-1.38361,2.57457,-4.23128,NA,2.17176,124.131,-28.89704,7.30389,-2.06617,0.66184,-0.17768,0.0292,-0.00208,3.12337,46.25124,-19.06062,1.61783,0.33805,-0.52575,0.22185,-0.04358,0.00338,-1.02037,-82.89552,10.12985,-2.38554,0.52112,-0.09059,0.00979,-3e-4,-3e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Medium,NA,NA,NA
2,2025-02-23,13:01:50,"Vokal, Jacob",10077468,Right,DAV_WIL,Undefined,Fastball,NA,NA,89.18974,-1.923725,-1.035729,2068.737894,195.698357,12:30:00,6.16173,1.45307,4.67514,-15.07784,22.42159,5.89788,3.07723,0.96078,79.90941,-4.801592,-0.001024,0.440741,-3.19921,11.95843,-1.35323,50,5.95358,2.03509,-128.91605,-4.80538,-5.28683,31.30649,-12.41221,6b87a8ff-11c8-4d9a-8df0-d5a69be437ea,NA,NA,NA,NA,NA,1000274079,"Trommer, Michael",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,BUC_BIS,1,Top,0,0,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,DAV_WIL,BUC_BIS,WilsonField,D1,A10,20250223-WilsonField-2,426d1ba0-f210-11ef-9d99-affcae2ee4f8,85.52056,NA,NA,9.28034,NA,NA,NA,11be5751-1f83-4ace-b17d-c37c981eb32d,2025-02-23,18:01:50,2025-02-23T18:01:50Z,2025-02-23T18:01:50Z,NA,v3,471280,471249,23 February 2025 13:00-bucknell@davidson,"Jouras, Noah",1000282260,Right,DAV_WIL,55.81871,-130.32143,15.65325,6.15679,-4.24819,-6.20611,-1.44991,2.27242,-2.64342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-02-23,13:02:08,"Vokal, Jacob",10077468,Right,DAV_WIL,Undefined,Curveball,NA,NA,77.30106,1.112629,-1.412228,2218.691403,98.185824,09:15:00,5.75038,2.20219,4.38376,-46.662350000000004,2.70953,-8.37796,2.92467,0.15532,71.10667,-7.249841,-2.874395,0.505721,3.67394,1.47382,-2.04239,50,5.82322,3.12544,-112.05385,0.41109,4.68619,19.63772,-30.29416,88ef18e8-721a-4dd6-967d-bbc127d1f635,NA,NA,NA,NA,NA,1000274079,"Trommer, Michael",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,BUC_BIS,1,Top,0,0,1,Curveball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,DAV_WIL,BUC_BIS,WilsonField,D1,A10,20250223-WilsonField-2,4d360880-f210-11ef-9d99-affcae2ee4f8,74.53205,NA,NA,6.19439,NA,NA,NA,11be5751-1f83-4ace-b17d-c37c981eb32d,2025-02-23,18:02:08,2025-02-23T18:02:08Z,2025-02-23T18:02:08Z,NA,v3,471280,471249,23 February 2025 13:00-bucknell@davidson,"Jouras, Noah",1000282260,Right,DAV_WIL,56.11601,-113.12062,9.81886,5.75619,2.05674,-15.14708,-2.20526,2.87088,2.3431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-02-23,13:02:26,"Vokal, Jacob",10077468,Right,DAV_WIL,Undefined,Cutter,NA,NA,82.20996,-1.082632,-1.908454,2085.289708,137.402301,10:30:00,5.80991,2.1404,4.65161,-38.10896,5.6854,-3.8289,1.60481,0.00734,74.79628,-7.97271,-2.580328,0.4763,1.29646,3.525,-1.94152,50,5.66478,4.13513,-119.00746,-3.70153,1.83951,25.10605,-27.17252,1451bc87-013b-403e-a02e-c15cc1ef4b06,NA,NA,NA,NA,-46.842839,1000274079,"Trommer, Michael",5384.05843,NA,82.44683,Left,63.699461,39.75673,120.04407,-102.56405,169.7835,71.38866,5.320355,-72.060762,1.80424,1.57639,0.16344,NA,NA,NA,NA,NA,2,3,BUC_BIS,1,Top,0,0,2,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,DAV_WIL,BUC_BIS,WilsonField,D1,A10,20250223-WilsonField-2,5809a3c0-f210-11ef-9d99-affcae2ee4f8,79.13594,123.38847,NA,7.41368,NA,NA,NA,11be5751-1f83-4ace-b17d-c37c981eb32d,2025-02-23,18:02:26,2025-02-23T18:02:26Z,2025-02-23T18:02:26Z,Popup,v3,471280,471249,23 February 2025 13:00-bucknell@davidson,"Jouras, Noah",1000282260,Right,DAV_WIL,55.84728,-120.23469,12.55303,5.81325,-2.37328,-13.58626,-2.14146,4.04522,0.91976,153.411127,1.80749,36.48836,-16.73614,3.97519,0.49404,-0.72464,0.22752,-0.03133,0.00163,1.60771,107.77665,-28.09305,-0.17738,2.60336,-1.29213,0.3057,-0.03609,0.0017,0.14564,-38.77757,-1.10892,2.75113,-1.37884,0.36417,-0.04445,0.00136,9e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Low,NA,NA,NA
5,2025-02-23,13:02:59,"Vokal, Jacob",10077468,Right,DAV_WIL,Undefined,Fastball,NA,NA,89.85395,-1.483038,0.127236,2039.27359,214.864081,01:15:00,6.05762,1.69062,4.48391,-21.54194,15.21154,9.72028,2.84869,2.62191,81.56029,-5.444131,1.827419,0.436336,-4.64244,8.18441,-1.7138,50,5.88195,-0.78493,-130.08293,-4.21092,-7.90652,28.83354,-18.23525,9cb89cd8-2360-45a0-b8ac-a4ac4df70466,NA,NA,NA,NA,NA,1000274079,"Trommer, Michael",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,BUC_BIS,1,Top,0,0,2,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,DAV_WIL,BUC_BIS,WilsonField,D1,A10,20250223-WilsonField-2,6b5cff30-f210-11ef-9d99-affcae2ee4f8,86.38404,NA,NA,8.29366,NA,NA,NA,11be5751-1f83-4ace-b17d-c37c981eb32d,2025-02-23,18:02:59,2025-02-23T18:02:59Z,2025-02-23T18:02:59Z,NA,v3,471280,471249,23 February 2025 13:00-bucknell@davidson,"Jouras, Noah",1000282260,Right,DAV_WIL,56.01195,-131.40875,14.41677,6.0563,-3.37242,-9.11763,-1.68606,-0.42138,-3.95326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-02-23,13:03:18,"Vokal, Jacob",10077468,Right,DAV_WIL,Undefined,Fastball,NA,NA,89.55019,-1.739652,-1.724157,2057.226108,204.143818,12:45:00,6.15095,1.36046,4.46687,-18.25682,18.73666,7.83363,2.96975,0.369,81.3284,-5.128259,-0.355348,0.437758,-4.31941,9.98048,-1.18675,50,5.951,3.51338,-129.62598,-4.62093,-7.31429,28.305,-15.27365,a3e62d10-a796-40e7-b9fe-fd46428f5190,NA,NA,NA,NA,NA,1000274079,"Trommer, Michael",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,BUC_BIS,1,Top,0,1,2,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,DAV_WIL,BUC_BIS,WilsonField,D1,A10,20250223-WilsonField-2,76c2ef60-f210-11ef-9d99-affcae2ee4f8,86.10337,NA,NA,8.22179,NA,NA,NA,11be5751-1f83-4ace-b17d-c37c981eb32d,2025-02-23,18:03:18,2025-02-23T18:03:18Z,2025-02-23T18:03:18Z,NA,v3,471280,471249,23 February 2025 13:00-bucknell@davidson,"Jouras, Noah",1000282260,Right,DAV_WIL,56.03142,-130.93637,14.1525,6.14856,-3.91383,-7.63682,-1.35724,3.852,-3.65715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-02-23,13:03:42,"Vokal, Jacob",10077468,Right,DAV_WIL,Undefined,Cutter,NA,NA,80.83089,-0.542371,-1.376207,2010.87665,100.333374,09:15:00,5.89566,2.13813,4.4298,-43.40872,2.86441,-5.85599,1.76067,0.33695,72.61977,-8.377358,-2.400405,0.489594,2.35815,2.08378,-1.98598,50,5.79631,3.07315,-116.80595,-2.79517,3.17954,26.93549,-29.36446,4659205d-38c1-4e82-85e6-ea68d2c84dbf,NA,NA,NA,NA,NA,1000274079,"Trommer, Michael",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,BUC_BIS,1,Top,0,1,2,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,NA,DAV_WIL,BUC_BIS,WilsonField,D1,A10,20250223-WilsonField-2,851cf240-f210-11ef-9d99-affcae2ee4f8,76.98717,NA,NA,8.21112,NA,NA,NA,11be5751-1f83-4ace-b17d-c37c981eb32d,2025-02-23,18:03:42,2025-02-23T18:03:42Z,2025-02-23T18:03:42Z,NA,v3,471280,471249,23 February 2025 13:00-bucknell@davidson,"Jouras, Noah",1000282260,Right,DAV_WIL,56.06622,-118.19654,13.46775,5.90148,-1.27918,-14.68223,-2.1404,2.909,1.58977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-02-23,13:04:12,"Vokal, Jacob",10077468,Right,DAV_WIL,Undefined,Curveball,NA,NA,76.52288,1.879456,-2.274654,2239.437593,69.876829,08:15:00,5.7938,2.03691,4.61366,-51.86097,-1.75264,-8.97323,3.26111,-0.87475,70.31182,-7.430785,-3.845131,0.509479,3.74536,-0.88937,-1.79406,50,5.93945,4.78161,-110.87061,1.72729,4.66691,19.62433,-33.28227,45b09a34-5398-4f3b-983c-7ec6b5722415,NA,NA,NA,NA,NA,1000198373,"Facinelli, Ryan",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,BUC_BIS,1,Top,1,0,0,Curveball,StrikeSwinging,Undefined,Undefined,Undefined,1,0,NA,DAV_WIL,BUC_BIS,WilsonField,D1,A10,20250223-WilsonField-2,96cdc140-f210-11ef-9d99-affcae2ee4f8,73.9823,NA,NA,6.21106,NA,NA,NA,11be5751-1f83-4ace-b17d-c37c981eb32d,2025-02-23,18:04:12,2025-02-23T18:04:12Z,2025-02-23T18:04:12Z,NA,v3,471280,471249,23 February 2025 13:00-bucknell@davidson,"Jouras, Noah",1000282260,Right,DAV_WIL,55.88689,-111.90775,9.81217,5.80168,3.48624,-16.64114,-2.04024,4.53497,2.33345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-02-23,13:04:28,"Vokal, Jacob",10077468,Right,DAV_WIL,Undefined,Fastball,NA,NA,89.00536,-2.088281,-2.386346,2201.736513,206.687162,01:00:00,6.14583,1.49204,4.98961,-18.63501,18.27162,8.52871,2.61847,-0.05184,80.57701,-5.579796,-0.882538,0.437244,-4.95823,10.06241,-1.26945,50,5.93014,4.96785,-128.80796,-5.34143,-8.25296,29.06896,-15.42516,031b001b-9277-41d7-8d44-9daf08294099,NA,NA,NA,NA,145.412017,1000198373,"Facinelli, Ryan",3677.910895,NA,78.28846,Right,22.734407,NA,NA,NA,NA,52.00328,NA,NA,0.03586,2.4541,-0.05143,NA,NA,NA,NA,NA,3,2,BUC_BIS,1,Top,2,0,1,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,DAV_WIL,BUC_BIS,WilsonField,D1,A10,20250223-WilsonField-2,a04d8c50-f210-11ef-9d99-affcae2ee4f8,86.20465,20.32992,NA,8.42835,NA,NA,NA,11be5751-1f83-4ace-b17d-c37c981eb32d,2025-02-23,18:04:28,2025-02-23T18:04:28Z,2025-02-23T18:04:28Z,NA,v3,471280,471249,23 February 2025 13:00-bucknell@davidson,"Jouras, Noah",1000282260,Right,DAV_WIL,55.50832,-130.04512,14.53448,6.1435,-4.68494,-7.71258,-1.48835,5.31909,-4.12648,NA,0.03586,-87.18428,8.2646,-1.40681,0.14281,0.01426,-0.01515,0.00748,-0.00225,2.4541,44.37445,-21.16138,1.30663,0.05218,-0.09413,0.03733,-0.00918,0.00113,-0.05143,60.11742,-20.63193,6.38703,-1.65413,0.39571,-0.09511,0.02225,-0.00394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Undefined,NA,NA,NA
10,2025-02-23,13:04:50,"Vokal, Jacob",10077468,Right,DAV_WIL,Undefined,Fastball,NA,NA,89.64155,-0.897118,-2.819745,2193.779384,193.174176,12:30:00,6.21921,1.20562,4.67987,-15.44993,21.76663,4.75929,4.07866,-1.07772,80.09803,-3.846965,-1.986374,0.439076,-3.23957,11.28402,-0.92306,50,6.11526,6.13433,-129.45391,-2.51969,-5.39176,31.86786,-13.39362,ec8ac5d1-85a1-42e8-a21c-afd44fe558bd,NA,NA,NA,NA,NA,1000198373,"Facinelli, Ryan",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,BUC_BIS,1,Top,2,0,2,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,DAV_WIL,BUC_BIS,WilsonField,D1,A10,20250223-WilsonField-2,ad788510-f210-11ef-9d99-affcae2ee4f8,85.84495,NA,NA,9.54351,NA,NA,NA,11be5751-1f83-4ace-b17d-c37c981eb32d,2025-02-23,18:04:50,2025-02-23T18:04:50Z,2025-02-23T18:04:50Z,NA,v3,471280,471249,23 February 2025 13:00-bucknell@davidson,"Jouras, Noah",1000282260,Right,DAV_WIL,55.81287,-130.87705,15.93393,6.21443,-1.92156,-6.69681,-1.20239,6.37512,-2.69588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
