PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-05-16,13:04:59,"O'Hara, Connor",1000036031,Right,GEO_PAT,Undefined,Cutter,NA,NA,88.32191,-1.236434,-1.702877,2252.391638,225.431802,01:30:00,6.00624,1.20415,4.81782,-22.28214,15.18958,14.14843,2.97744,0.76961,80.36611,-5.353166,0.786234,0.440578,-7.49111,8.20292,-1.048,50,5.86484,3.14055,-127.98909,-3.59101,-12.37324,27.46276,-18.62504,1254a2be-5a43-4e91-806e-a0fd731b62e8,NA,NA,NA,NA,NA,1000367095,"Kirk, Taylor",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,FOR_RAM,1,Top,0,0,0,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,GEO_PAT,FOR_RAM,SpuhlerFieldMain,D1,A10,20250516-SpuhlerFieldMain-1,e6c36ef0-3277-11f0-91e7-fb5a2aac2a77,85.55219,NA,NA,7.9558,NA,NA,NA,02d18158-196c-4e82-8889-159833404470,2025-05-16,17:04:59,2025-05-16T17:04:59Z,2025-05-16T17:04:59Z,NA,v3,471300,471298,16 May 2025 14:00-fordham@georgemas,"Barenz, Nick",1000218914,Right,GEO_PAT,55.68401,-129.20295,13.73138,6.00537,-2.76777,-9.31252,-1.1989,3.68746,-6.18662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-05-16,13:05:12,"O'Hara, Connor",1000036031,Right,GEO_PAT,Undefined,Slider,NA,NA,82.26015,-0.520027,-2.821114,2103.592706,30.112827,07:00:00,5.79869,1.41851,4.59306,-46.02695,-2.87847,-2.39599,1.46785,-1.4668,76.20974,-8.730589,-3.240874,0.472775,0.4476,-0.94961,-1.12456,50,5.70165,5.9835,-119.28413,-2.90817,0.64915,21.53807,-33.55119,d7f56fc3-acea-419d-94ac-eaa991c1c9fd,NA,NA,NA,NA,NA,1000367095,"Kirk, Taylor",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,FOR_RAM,1,Top,0,0,1,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,GEO_PAT,FOR_RAM,SpuhlerFieldMain,D1,A10,20250516-SpuhlerFieldMain-1,eec59ab0-3277-11f0-91e7-fb5a2aac2a77,79.72603,NA,NA,6.05041,NA,NA,NA,02d18158-196c-4e82-8889-159833404470,2025-05-16,17:05:12,2025-05-16T17:05:12Z,2025-05-16T17:05:12Z,NA,v3,471300,471298,16 May 2025 14:00-fordham@georgemas,"Barenz, Nick",1000218914,Right,GEO_PAT,55.91161,-120.3468,10.76904,5.8043,-1.25278,-16.7756,-1.41899,5.95147,0.32457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-05-16,13:05:27,"O'Hara, Connor",1000036031,Right,GEO_PAT,Undefined,Slider,NA,NA,82.16288,-0.648463,-2.455086,2120.791362,359.419541,06:00:00,5.81303,1.41542,4.66881,-46.79125,-3.37811,0.04799,1.29721,-0.91406,75.61515,-9.022791,-2.446654,0.474222,-0.71406,-1.13394,-1.16503,50,5.70399,5.10392,-119.08932,-3.18365,-1.02435,23.09827,-33.80076,fe97ea7b-eafc-4afa-9b36-ca20301550a9,NA,NA,NA,NA,NA,1000367095,"Kirk, Taylor",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,FOR_RAM,1,Top,0,1,1,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,GEO_PAT,FOR_RAM,SpuhlerFieldMain,D1,A10,20250516-SpuhlerFieldMain-1,f756e710-3277-11f0-91e7-fb5a2aac2a77,79.48263,NA,NA,6.54772,NA,NA,NA,02d18158-196c-4e82-8889-159833404470,2025-05-16,17:05:27,2025-05-16T17:05:27Z,2025-05-16T17:05:27Z,NA,v3,471300,471298,16 May 2025 14:00-fordham@georgemas,"Barenz, Nick",1000218914,Right,GEO_PAT,55.83518,-120.21577,11.54914,5.81906,-1.53526,-16.90038,-1.41515,5.15387,-0.51218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-05-16,13:05:40,"O'Hara, Connor",1000036031,Right,GEO_PAT,Undefined,Slider,NA,NA,80.45824,-1.743936,-2.772546,2194.185682,22.609823,06:45:00,5.86791,1.51907,4.2985,-49.01546,-3.41331,-1.96811,0.11301,-1.29854,74.89926,-10.397654,-3.116032,0.486031,0.25374,-0.97059,-1.2161,50,5.62793,5.73219,-116.60964,-5.50274,0.35182,20.50823,-33.51971,da9a21f2-6683-47e8-a96d-c8e224aba98b,NA,NA,NA,NA,NA,1000367095,"Kirk, Taylor",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,FOR_RAM,1,Top,0,1,2,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,GEO_PAT,FOR_RAM,SpuhlerFieldMain,D1,A10,20250516-SpuhlerFieldMain-1,ff10e640-3277-11f0-91e7-fb5a2aac2a77,77.55147,NA,NA,5.55899,NA,NA,NA,02d18158-196c-4e82-8889-159833404470,2025-05-16,17:05:40,2025-05-16T17:05:40Z,2025-05-16T17:05:40Z,NA,v3,471300,471298,16 May 2025 14:00-fordham@georgemas,"Barenz, Nick",1000218914,Right,GEO_PAT,56.2076,-117.69631,10.25411,5.87245,-3.72663,-16.75986,-1.51934,5.71355,0.17591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-05-16,13:05:55,"O'Hara, Connor",1000036031,Right,GEO_PAT,Undefined,Slider,NA,NA,81.35785,1.617857,-1.44527,2139.218531,38.508123,07:15:00,5.85074,1.5965,4.45905,-52.92314,-8.31276,-7.72193,2.98408,-0.42542,74.62127,-7.832808,-2.795493,0.480717,3.35508,-4.11933,-1.43582,50,5.96973,3.32247,-117.93428,1.19331,4.71858,22.72169,-37.96748,70a6cd2e-2738-46bc-8344-5f7c58327537,NA,NA,NA,NA,108.845984,1000367095,"Kirk, Taylor",4370.306613,NA,78.22183,Right,28.081051,NA,NA,NA,NA,62.43665,NA,NA,0.36899,2.68559,0.48433,NA,NA,NA,NA,NA,1,5,FOR_RAM,1,Top,0,2,2,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,GEO_PAT,FOR_RAM,SpuhlerFieldMain,D1,A10,20250516-SpuhlerFieldMain-1,085c81f0-3278-11f0-91e7-fb5a2aac2a77,78.40881,29.97026,NA,6.73658,NA,NA,NA,02d18158-196c-4e82-8889-159833404470,2025-05-16,17:05:55,2025-05-16T17:05:55Z,2025-05-16T17:05:55Z,NA,v3,471300,471298,16 May 2025 14:00-fordham@georgemas,"Barenz, Nick",1000218914,Right,GEO_PAT,56.04562,-119.09336,11.36084,5.85946,3.13011,-18.98374,-1.59917,3.08177,2.35929,NA,0.369,-32.69706,-5.14072,2.04574,0.26264,-2.48877,3.83205,-2.57565,0.59012,2.68559,54.00359,-21.61821,2.03963,-0.66761,1.00028,-1.4061,0.96139,-0.23281,0.48433,95.79337,-19.47669,4.1355,-0.34001,-1.42161,2.24708,-1.45713,0.30547,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Undefined,NA,NA,NA
6,2025-05-16,13:06:11,"O'Hara, Connor",1000036031,Right,GEO_PAT,Undefined,ChangeUp,NA,NA,80.257,-0.496304,-2.710916,1886.933224,269.420812,03:00:00,5.6671,1.58533,4.73807,-43.79813,1.63421,16.40414,1.54588,0.37864,73.60299,-8.3867,0.173283,0.485125,-8.90193,1.30752,-1.32769,50,5.57799,4.81136,-116.31402,-2.6468,-12.16925,22.24968,-30.38661,5ca6745d-b37b-446a-849f-2560246e652e,NA,NA,NA,NA,-36.501642,1000367095,"Kirk, Taylor",2815.619058,NA,93.91717,Right,-0.833004,NA,NA,NA,68.35117,59.74203,0.501487,-37.114311,3.43007,2.60114,-0.36083,NA,NA,NA,NA,NA,1,6,FOR_RAM,1,Top,0,2,2,Changeup,InPlay,Undefined,GroundBall,Single,0,0,NA,GEO_PAT,FOR_RAM,SpuhlerFieldMain,D1,A10,20250516-SpuhlerFieldMain-1,11cdce10-3278-11f0-91e7-fb5a2aac2a77,77.69627,2.60114,NA,6.65401,NA,NA,NA,02d18158-196c-4e82-8889-159833404470,2025-05-16,17:06:11,2025-05-16T17:06:11Z,2025-05-16T17:06:11Z,GroundBall,v3,471300,471298,16 May 2025 14:00-fordham@georgemas,"Barenz, Nick",1000218914,Right,GEO_PAT,55.76623,-117.41186,11.12484,5.67159,-1.14747,-15.1933,-1.5799,5.41181,-6.08462,NA,3.44566,110.29844,-16.97254,NA,NA,NA,NA,NA,NA,2.59632,-1.87296,-6.57105,NA,NA,NA,NA,NA,NA,-0.35764,-82.01501,0.95698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,High,NA,NA,NA
7,2025-05-16,13:06:50,"O'Hara, Connor",1000036031,Right,GEO_PAT,Undefined,Fastball,NA,NA,90.59256,-1.671726,-2.36245,2127.715719,232.748365,01:45:00,5.80406,1.2407300000000001,4.6177,-22.97871,12.67646,15.203430000000001,2.29792,0.26024,83.0484,-5.866654,0.301736,0.429767,-8.13473,6.97485,-1.01275,50,5.61132,4.68029,-131.2983,-4.75968,-14.25038,26.88413,-19.95556,6e242bbc-c56b-4505-8541-213a227d3d29,NA,NA,NA,NA,NA,827759,"Bucciero, Daniel",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,FOR_RAM,1,Top,0,0,0,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,GEO_PAT,FOR_RAM,SpuhlerFieldMain,D1,A10,20250516-SpuhlerFieldMain-1,28c133a0-3278-11f0-91e7-fb5a2aac2a77,87.70446,NA,NA,7.54416,NA,NA,NA,02d18158-196c-4e82-8889-159833404470,2025-05-16,17:06:50,2025-05-16T17:06:50Z,2025-05-16T17:06:50Z,NA,v3,471300,471298,16 May 2025 14:00-fordham@georgemas,"Barenz, Nick",1000218914,Right,GEO_PAT,55.88597,-132.49801,13.44206,5.80385,-3.86916,-9.97778,-1.2358,5.31621,-7.12519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-05-16,13:07:08,"O'Hara, Connor",1000036031,Right,GEO_PAT,Undefined,ChangeUp,NA,NA,80.21534,-0.147579,-2.634867,1855.985146,275.150289,03:15:00,5.59076,1.58217,4.577,-45.7081,-0.10709,17.01225,1.64118,0.49104,73.77587,-8.344378,0.347692,0.486025,-9.14894,0.29795,-1.32635,50,5.53231,4.62613,-116.29489,-2.04645,-12.54168,21.60974,-31.7656,f2060692-59b4-48b7-9989-2ba955946411,NA,NA,NA,NA,-64.611335,827759,"Bucciero, Daniel",NA,NA,92.64207,Right,-6.337586,NA,NA,NA,19.95224,19.03885,0.131749,-56.214777,3.45716,1.97852,-0.48926,NA,NA,NA,NA,NA,2,2,FOR_RAM,1,Top,0,0,1,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,GEO_PAT,FOR_RAM,SpuhlerFieldMain,D1,A10,20250516-SpuhlerFieldMain-1,33e2eee0-3278-11f0-91e7-fb5a2aac2a77,77.55245,1.97852,NA,6.43947,NA,NA,NA,02d18158-196c-4e82-8889-159833404470,2025-05-16,17:07:08,2025-05-16T17:07:08Z,2025-05-16T17:07:08Z,GroundBall,v3,471300,471298,16 May 2025 14:00-fordham@georgemas,"Barenz, Nick",1000218914,Right,GEO_PAT,55.92844,-117.39133,10.80487,5.59525,-0.43471,-15.8828,-1.57722,5.26247,-6.27084,180,3.45563,57.97338,NA,NA,NA,NA,NA,NA,NA,1.97892,-15.01743,NA,NA,NA,NA,NA,NA,NA,-0.48603,-122.15402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA
9,2025-05-16,13:07:41,"O'Hara, Connor",1000036031,Right,GEO_PAT,Undefined,Fastball,NA,NA,90.13471,-0.144494,-3.200571,2138.774905,223.459278,01:30:00,6.03437,1.15437,4.3652,-21.00001,15.8017,13.76001,4.14613,-0.75928,81.45345,-4.019038,-0.804867,0.436622,-7.59056,8.04276,-0.82546,50,5.99907,6.58257,-130.3195,-1.15761,-12.95991,29.22339,-18.44206,e9982425-56d6-47cb-b372-587b3695062b,NA,NA,NA,NA,NA,827759,"Bucciero, Daniel",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,FOR_RAM,1,Top,0,0,2,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,GEO_PAT,FOR_RAM,SpuhlerFieldMain,D1,A10,20250516-SpuhlerFieldMain-1,4788fe30-3278-11f0-91e7-fb5a2aac2a77,86.32743,NA,NA,8.68127,NA,NA,NA,02d18158-196c-4e82-8889-159833404470,2025-05-16,17:07:41,2025-05-16T17:07:41Z,2025-05-16T17:07:41Z,NA,v3,471300,471298,16 May 2025 14:00-fordham@georgemas,"Barenz, Nick",1000218914,Right,GEO_PAT,56.13448,-131.68793,14.6117,6.03306,-0.29403,-9.22103,-1.1479,7.18944,-6.47995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-05-16,13:07:58,"O'Hara, Connor",1000036031,Right,GEO_PAT,Undefined,ChangeUp,NA,NA,79.14422,-0.77417,-3.439463,1829.651201,301.062501,04:00:00,5.49377,1.46029,4.5148,-53.47668,-6.23524,12.89123,0.29855,-0.74573,72.79635,-10.296709,-1.181108,0.49469,-7.33993,-2.47843,-1.1132,50,5.36096,6.3369,-114.58751,-3.61232,-9.72206,21.92238,-35.45684,96712edd-9d6a-436b-bf43-034ebbec8ba4,NA,NA,NA,NA,NA,827759,"Bucciero, Daniel",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,FOR_RAM,1,Top,0,1,2,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,GEO_PAT,FOR_RAM,SpuhlerFieldMain,D1,A10,20250516-SpuhlerFieldMain-1,51c86fc0-3278-11f0-91e7-fb5a2aac2a77,76.19408,NA,NA,6.34787,NA,NA,NA,02d18158-196c-4e82-8889-159833404470,2025-05-16,17:07:58,2025-05-16T17:07:58Z,2025-05-16T17:07:58Z,NA,v3,471300,471298,16 May 2025 14:00-fordham@georgemas,"Barenz, Nick",1000218914,Right,GEO_PAT,55.99053,-115.72792,10.96119,5.5009,-1.76784,-17.72842,-1.456,6.84264,-4.86103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
