PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-03-11,18:06:06,"Scheurer, Brandon",1000359924,Right,CIN_BEA,Undefined,Fastball,NA,NA,91.59297,-3.403465,-3.363762,2261.418867,208.72431,01:00:00,5.91576,1.39967,6.39621,-16.01316,16.99469,8.69741,1.4421,-0.97273,83.37039,-6.473037,-1.791276,0.413504,-5.52953,10.20922,-1.16178,50,5.6633,7.44467,-132.66862,-8.33015,-9.79638,29.96429,-14.08694,7fb1a76c-d80c-4c71-ad56-10c6946d4252,NA,NA,NA,NA,NA,1000034148,"Baker, Dillon",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,MIA_RED,1,Top,0,0,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,CIN_BEA,MIA_RED,UCincinnati,D1,BIG12,20250311-UCincinnati-1,08174590-fec5-11ef-9498-9be3357130ad,91.15368,NA,NA,8.22258,NA,NA,NA,3e5b5f7f-e10b-4d92-bc19-e8f97cd18480,2025-03-11,22:06:06,2025-03-11T22:06:06Z,2025-03-11T22:06:06Z,NA,v3,471270,471355,NA,"Natili, Jackson",1000091481,Right,CIN_BEA,54.10238,-133.59196,14.98215,5.9133,-7.89607,-7.04347,-1.39584,7.74654,-4.89819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-03-11,18:06:34,"Scheurer, Brandon",1000359924,Right,CIN_BEA,Undefined,Curveball,NA,NA,78.9707,1.76106,-1.968279,1980.023378,0.745115,06:00:00,6.02968,1.10397,5.71456,-54.97609,-9.63662,-0.14433000000000001,3.09041,-0.7424,72.25554,-8.286797,-1.994107,0.484629,-0.50909,-4.95303,-0.93917,50,6.14318,3.94453,-114.61627,1.67483,-0.67306,22.40073,-38.72231,54d0fd13-b97b-4876-a927-510bc19f85ff,NA,NA,NA,NA,NA,1000034148,"Baker, Dillon",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,MIA_RED,1,Top,0,0,1,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,CIN_BEA,MIA_RED,UCincinnati,D1,BIG12,20250311-UCincinnati-1,18c104d0-fec5-11ef-9498-9be3357130ad,77.77583,NA,NA,6.71516,NA,NA,NA,3e5b5f7f-e10b-4d92-bc19-e8f97cd18480,2025-03-11,22:06:34,2025-03-11T22:06:34Z,2025-03-11T22:06:34Z,NA,v3,471270,471355,NA,"Natili, Jackson",1000091481,Right,CIN_BEA,54.78702,-115.54806,11.20036,6.04002,3.28554,-19.36116,-1.10383,3.97253,-0.33653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-03-11,18:06:49,"Scheurer, Brandon",1000359924,Right,CIN_BEA,Undefined,Fastball,NA,NA,92.49606,0.032631,-1.942572,2262.360999,195.62274,12:30:00,5.98826,1.28187,6.3452,-14.56237,17.88816,4.68634,4.80479,-0.11658,83.45019,-2.802763,-1.095086,0.409998,-3.02378,9.59764,-1.14266,50,5.98345,4.35232,-134.23618,-0.28643,-5.45154,32.29277,-14.87062,d78edd3e-ebfc-4335-b3e2-1c9f2c1774cf,NA,NA,NA,NA,NA,1000034148,"Baker, Dillon",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,MIA_RED,1,Top,0,0,2,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,CIN_BEA,MIA_RED,UCincinnati,D1,BIG12,20250311-UCincinnati-1,219b8f30-fec5-11ef-9498-9be3357130ad,91.93313,NA,NA,9.04587,NA,NA,NA,3e5b5f7f-e10b-4d92-bc19-e8f97cd18480,2025-03-11,22:06:49,2025-03-11T22:06:49Z,2025-03-11T22:06:49Z,NA,v3,471270,471355,NA,"Natili, Jackson",1000091481,Right,CIN_BEA,54.15061,-135.23099,16.14639,5.98521,0.17168,-7.43531,-1.27932,4.52026,-2.72577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-03-11,18:07:04,"Scheurer, Brandon",1000359924,Right,CIN_BEA,Undefined,Slider,NA,NA,81.50301,1.340176,-1.976885,2161.123743,36.38093,07:15:00,5.87952,1.36709,5.30775,-44.60695,-1.34724,-2.03709,3.42127,-0.65908,74.30999,-6.797596,-2.3384,0.473384,0.43283,-0.60917,-1.18611,50,5.96903,4.16443,-118.16507,1.15974,0.60848,23.71626,-33.03044,3ebd23de-5334-4226-9fe3-30a10577a5a5,NA,NA,NA,NA,NA,1000034148,"Baker, Dillon",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,MIA_RED,1,Top,0,1,2,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,NA,CIN_BEA,MIA_RED,UCincinnati,D1,BIG12,20250311-UCincinnati-1,2ae1aca0-fec5-11ef-9498-9be3357130ad,79.62345,NA,NA,7.19302,NA,NA,NA,3e5b5f7f-e10b-4d92-bc19-e8f97cd18480,2025-03-11,22:07:04,2025-03-11T22:07:04Z,2025-03-11T22:07:04Z,NA,v3,471270,471355,NA,"Natili, Jackson",1000091481,Right,CIN_BEA,55.19091,-119.20235,11.85813,5.88671,2.60441,-16.51522,-1.36766,4.13781,0.30424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.87363,NA,NA,0.960864,NA,NA,NA,1.46378,5.65451,0.6873,78.84106,7.08693,-45.94402,1.55809,86.86294,-6.64757,5.67069,12.66617,-11.63784,0.56594,-55.37277,7.19313,High,High,High,NA,NA,High,High,High
5,2025-03-11,18:07:32,"Scheurer, Brandon",1000359924,Right,CIN_BEA,Undefined,Fastball,NA,NA,91.6027,-2.597215,-3.125769,2255.079689,201.958973,12:45:00,5.79086,1.64487,6.39028,-17.26359,15.58835,5.85114,1.95812,-0.74546,83.61713,-5.889028,-2.0678,0.412527,-3.95232,9.20693,-1.4226,50,5.59571,7.01853,-132.84581,-6.51657,-7.04191,29.25193,-15.76996,b23bfde6-3e17-4948-89f1-5000751511a2,NA,NA,NA,NA,2.25225,1000297118,"Batusich, Ty",1517.925435,NA,86.22563,Left,2.930207,NA,NA,NA,74.98458,55.86915,0.635836,1.282343,0.793,1.92802,0.7856,NA,NA,NA,NA,NA,2,1,MIA_RED,1,Top,1,0,0,Four-Seam,InPlay,Undefined,LineDrive,Single,0,0,NA,CIN_BEA,MIA_RED,UCincinnati,D1,BIG12,20250311-UCincinnati-1,3b8b92f0-fec5-11ef-9498-9be3357130ad,91.36973,2.60635,NA,7.98556,NA,NA,NA,3e5b5f7f-e10b-4d92-bc19-e8f97cd18480,2025-03-11,22:07:32,2025-03-11T22:07:32Z,2025-03-11T22:07:32Z,GroundBall,v3,471270,471355,NA,"Natili, Jackson",1000091481,Right,CIN_BEA,54.10871,-133.74746,14.62596,5.78908,-6.03048,-7.88498,-1.64228,7.23559,-3.52095,102.421786,0.81986,125.63092,-14.2469,NA,NA,NA,NA,NA,NA,1.93966,6.21913,-14.60647,NA,NA,NA,NA,NA,NA,0.80084,4.63844,-5.15992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA
6,2025-03-11,18:08:59,"Scheurer, Brandon",1000359924,Right,CIN_BEA,Undefined,Curveball,NA,NA,79.41113,-1.40239,-2.880775,2099.473467,349.186456,05:45:00,5.91187,1.47627,5.72747,-51.20975,-6.70241,1.53126,0.33634,-1.08143,73.75319,-10.684705,-2.606214,0.480161,-1.57276,-2.7231900000000002,-1.23673,50,5.76262,5.74548,-115.2997,-4.51543,-2.12137,21.04054,-35.84715,caba640a-411f-45bf-bebd-f9684a6d76fd,NA,NA,NA,NA,NA,695485,"Appelwick, Evan",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,MIA_RED,1,Top,1,0,0,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,CIN_BEA,MIA_RED,UCincinnati,D1,BIG12,20250311-UCincinnati-1,6f94cd50-fec5-11ef-9498-9be3357130ad,78.49954,NA,NA,5.65794,NA,NA,NA,3e5b5f7f-e10b-4d92-bc19-e8f97cd18480,2025-03-11,22:08:59,2025-03-11T22:08:59Z,2025-03-11T22:08:59Z,NA,v3,471270,471355,NA,"Natili, Jackson",1000091481,Right,CIN_BEA,54.77563,-116.16791,10.52027,5.91843,-3.03623,-17.92358,-1.47561,5.83301,-1.06069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-03-11,18:09:20,"Scheurer, Brandon",1000359924,Right,CIN_BEA,Undefined,Fastball,NA,NA,92.15465,-2.279651,-3.854675,2340.271476,202.315948,12:45:00,5.85458,1.46404,6.43966,-15.09532,17.28788,6.66571,2.49594,-1.52803,84.13938,-5.182395,-2.650204,0.409573,-4.55906,9.98705,-1.19271,50,5.68518,8.72972,-133.5942,-5.72238,-8.2299,29.08522,-14.14557,f7de39c8-8a74-40e7-bae9-19ab59e3ac4f,NA,NA,NA,NA,NA,695485,"Appelwick, Evan",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,MIA_RED,1,Top,1,1,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,CIN_BEA,MIA_RED,UCincinnati,D1,BIG12,20250311-UCincinnati-1,7c102520-fec5-11ef-9498-9be3357130ad,92.02864,NA,NA,8.01527,NA,NA,NA,3e5b5f7f-e10b-4d92-bc19-e8f97cd18480,2025-03-11,22:09:20,2025-03-11T22:09:20Z,2025-03-11T22:09:20Z,NA,v3,471270,471355,NA,"Natili, Jackson",1000091481,Right,CIN_BEA,54.05892,-134.47497,14.54261,5.85199,-5.29402,-7.07279,-1.46085,8.97894,-4.11495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-03-11,18:09:38,"Scheurer, Brandon",1000359924,Right,CIN_BEA,Undefined,Fastball,NA,NA,91.93579,-1.50792,-2.256736,2331.969326,203.954216,12:45:00,5.87217,1.52389,6.5372,-14.95863,17.67985,7.34272,3.24112,0.06476,83.05176,-4.419709,-0.924014,0.411184,-4.57209,10.09323,-1.37037,50,5.76095,4.96478,-133.43543,-3.8839,-8.13519,32.22398,-14.21504,a76ba291-70bd-4942-8856-b6f436c6a869,NA,NA,NA,NA,-17.257721,695485,"Appelwick, Evan",1783.470915,NA,106.19876,Right,26.807974,103.1894,50.17389,-38.10386,371.75782,355.49064,4.341293,-25.31842,1.52394,3.33,-0.08869,NA,NA,NA,NA,NA,3,3,MIA_RED,1,Top,1,2,0,Four-Seam,InPlay,Undefined,FlyBall,HomeRun,0,2,NA,CIN_BEA,MIA_RED,UCincinnati,D1,BIG12,20250311-UCincinnati-1,865fea60-fec5-11ef-9498-9be3357130ad,91.66804,68.20886,NA,8.88403,NA,NA,NA,3e5b5f7f-e10b-4d92-bc19-e8f97cd18480,2025-03-11,22:09:38,2025-03-11T22:09:38Z,2025-03-11T22:09:38Z,FlyBall,v3,471270,471355,NA,"Natili, Jackson",1000091481,Right,CIN_BEA,53.96097,-134.38858,16.11199,5.86961,-3.46344,-7.10752,-1.52078,5.2054,-4.0676,128.171873,1.52465,132.72786,-27.99005,7.14297,-1.24517,-0.005,0.06931,-0.01697,0.00143,3.32491,70.36608,-22.43697,2.71734,-0.98326,0.40681,-0.10695,0.01523,-9e-4,-0.08261,-41.39792,-2.05967,1.47085,0.40453,-0.55218,0.20562,-0.03532,0.00236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
9,2025-03-11,18:10:21,"Scheurer, Brandon",1000359924,Right,CIN_BEA,Undefined,Fastball,NA,NA,92.56636,-3.54463,-2.381621,2380.978636,199.828798,12:45:00,5.98064,1.72338,6.17081,-14.78209,17.53584,5.95382,1.46787,0.01854,84.87327,-6.361656,-1.308443,0.40916,-3.7363,10.36351,-1.54601,50,5.70413,5.33393,-134.22323,-8.73687,-6.82929,28.52573,-13.23141,29c43d19-d354-4c43-8a6c-51ff4caef92c,NA,NA,NA,NA,NA,10035937,"Novak, Ryan",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,MIA_RED,1,Top,1,0,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,CIN_BEA,MIA_RED,UCincinnati,D1,BIG12,20250311-UCincinnati-1,a0601ac0-fec5-11ef-9498-9be3357130ad,92.12147,NA,NA,7.69309,NA,NA,NA,3e5b5f7f-e10b-4d92-bc19-e8f97cd18480,2025-03-11,22:10:21,2025-03-11T22:10:21Z,2025-03-11T22:10:21Z,NA,v3,471270,471355,NA,"Natili, Jackson",1000091481,Right,CIN_BEA,54.32878,-135.14007,14.26286,5.97811,-8.3116,-6.61571,-1.7209700000000001,5.55343,-3.41465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-03-11,18:10:36,"Scheurer, Brandon",1000359924,Right,CIN_BEA,Undefined,Slider,NA,NA,82.3471,-0.612526,-1.40745,1461.235341,273.886046,03:15:00,5.69153,1.7805,5.86145,-41.11691,0.3735,14.76745,1.69588,1.7033,75.25018,-8.181834,1.246608,0.463602,-7.94111,0.82213,-1.67479,50,5.6182,2.35088,-119.56337,-2.64979,-11.40741,24.69627,-30.99305,09428b11-a744-40cb-a5f3-1b942ff11518,NA,NA,NA,NA,NA,10035937,"Novak, Ryan",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,MIA_RED,1,Top,1,0,1,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,CIN_BEA,MIA_RED,UCincinnati,D1,BIG12,20250311-UCincinnati-1,a96892f0-fec5-11ef-9498-9be3357130ad,81.30344,NA,NA,7.09692,NA,NA,NA,3e5b5f7f-e10b-4d92-bc19-e8f97cd18480,2025-03-11,22:10:36,2025-03-11T22:10:36Z,2025-03-11T22:10:36Z,NA,v3,471270,471355,NA,"Natili, Jackson",1000091481,Right,CIN_BEA,54.63801,-120.51756,12.34814,5.69744,-1.45231,-15.49653,-1.77414,2.79163,-5.70371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
