PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-20,18:06:07,"Becerra, Luis",1000191450,Right,CAL_LAN,Undefined,Fastball,NA,NA,90.4472,-3.907844,-2.666994,2126.684385,230.996675,01:45:00,6.53513,0.78756,5.36292,-22.28438,12.75686,14.33757,1.00403,-0.52031,82.88281,-8.01411,-0.118713,0.426051,-7.99579,7.84752,-0.55873,50,6.16782,5.45623,-130.89948,-9.75058,-13.86556,27.77196,-18.565550000000002,24b24942-e958-4925-93cc-68e66dd303a7,NA,NA,NA,NA,NA,803173,"Rubin, Justin",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,PEP_WAV,1,Top,0,0,0,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,CAL_LAN,PEP_WAV,705-CalBaptistBaseballField,D1,WAC,20250220-705-CalBaptistBaseballField-1,6a00cd20-eff8-11ef-9f70-d90a6103ec5b,88.46939,NA,NA,7.5644,NA,NA,NA,0bf7f70b-7d59-41be-ac77-809737572d07,2025-02-21,02:06:07,2025-02-21T02:06:07Z,2025-02-21T02:06:07Z,NA,v3,471762,471410,20 February 2025 21:00-pepperdine@californiabaptist,"Chavez, Matthew",1000119380,Right,CAL_LAN,55.13632,-131.98472,13.88598,6.53466,-9.0251,-9.28278,-0.78253,5.99805,-6.93278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-02-20,18:06:18,"Becerra, Luis",1000191450,Right,CAL_LAN,Undefined,Fastball,NA,NA,90.45573,-2.176553,-1.929744,2120.917692,227.534393,01:30:00,6.43849,0.9349,5.43369,-20.26052,14.81824,14.85792,2.70969,0.36523,82.05351,-5.969696,0.714434,0.426279,-8.11288,8.4852,-0.77484,50,6.23199,3.75012,-131.08353,-5.67658,-13.985900000000001,30.09211,-17.54625,60afee1c-23f5-4ae8-8772-7280e1459279,NA,NA,NA,NA,-35.858743,803173,"Rubin, Justin",NA,NA,98.37922,Right,31.297497,85.54355,65.08331,-69.15401,368.23069,155.21659,5.368765,-46.647973,1.83239,3.64851,-0.57794,NA,NA,NA,NA,NA,1,2,PEP_WAV,1,Top,0,1,0,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,CAL_LAN,PEP_WAV,705-CalBaptistBaseballField,D1,WAC,20250220-705-CalBaptistBaseballField-1,70c08dd0-eff8-11ef-9f70-d90a6103ec5b,88.42209,94.93268,NA,8.40222,NA,NA,NA,0bf7f70b-7d59-41be-ac77-809737572d07,2025-02-21,02:06:18,2025-02-21T02:06:18Z,2025-02-21T02:06:18Z,FlyBall,v3,471762,471410,20 February 2025 21:00-pepperdine@californiabaptist,"Chavez, Matthew",1000119380,Right,CAL_LAN,55.06446,-132.24104,15.04606,6.43736,-5.00166,-8.77313,-0.92943,4.2881,-6.9929500000000004,NA,1.8372,99.82906,-25.06906,5.92342,-0.98692,0.0988,-0.00467,1.9e-4,-2e-5,3.64755,74.96622,-16.68394,0.45886,0.15697,-0.11236,0.03416,-0.0048,2.5e-4,-0.57936,-72.19804,8.50111,-1.3898,0.13359,0.00501,-0.00307,2.6e-4,-0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Low,NA,NA,NA
3,2025-02-20,18:06:48,"Becerra, Luis",1000191450,Right,CAL_LAN,Undefined,Slider,NA,NA,78.05554,1.269654,-0.527998,2087.844314,73.225294,08:30:00,6.70965,0.55103,5.4365,-46.56888,0.16909,-4.37658,4.01809,-0.30812,71.45862,-7.246037,-1.307526,0.492047,2.03906,0.21795,-0.50125,50,6.79006,1.21797,-113.28888,0.93897,2.64325,21.1888,-31.89154,37cbe53e-f5b3-4909-97f9-1fcabfd1bf8d,NA,NA,NA,NA,NA,803173,"Rubin, Justin",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,PEP_WAV,1,Top,0,1,1,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,CAL_LAN,PEP_WAV,705-CalBaptistBaseballField,D1,WAC,20250220-705-CalBaptistBaseballField-1,8290f2c0-eff8-11ef-9f70-d90a6103ec5b,76.60338,NA,NA,6.59691,NA,NA,NA,0bf7f70b-7d59-41be-ac77-809737572d07,2025-02-21,02:06:48,2025-02-21T02:06:48Z,2025-02-21T02:06:48Z,NA,v3,471762,471410,20 February 2025 21:00-pepperdine@californiabaptist,"Chavez, Matthew",1000119380,Right,CAL_LAN,55.06113,-114.23156,10.5944,6.71673,2.35781,-15.94577,-0.55282,1.10037,1.32162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-02-20,18:07:01,"Becerra, Luis",1000191450,Right,CAL_LAN,Undefined,Slider,NA,NA,82.78103,-0.389358,-1.164994,2161.255681,156.452188,11:15:00,6.37116,1.14257,5.76356,-37.284,4.07874,-1.15693,2.9017,-0.03827,75.24392,-7.278507,-1.372358,0.462888,0.23004,2.57961,-1.04539,50,6.31628,2.48837,-120.1296,-2.046,0.33218,25.85381,-28.44928,a216df24-a884-4524-b423-a6ba81a93620,NA,NA,NA,NA,-46.468215,803173,"Rubin, Justin",4262.152635,NA,88.61998,Right,7.116547,NA,NA,NA,101.91518,100.98713,0.885176,-49.979774,2.36006,3.10833,-0.08731,NA,NA,NA,NA,NA,1,4,PEP_WAV,1,Top,0,2,1,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,CAL_LAN,PEP_WAV,705-CalBaptistBaseballField,D1,WAC,20250220-705-CalBaptistBaseballField-1,89fbc080-eff8-11ef-9f70-d90a6103ec5b,81.42885,5.85341,NA,7.53711,NA,NA,NA,0bf7f70b-7d59-41be-ac77-809737572d07,2025-02-21,02:07:01,2025-02-21T02:07:01Z,2025-02-21T02:07:01Z,GroundBall,v3,471762,471410,20 February 2025 21:00-pepperdine@californiabaptist,"Chavez, Matthew",1000119380,Right,CAL_LAN,54.73457,-121.14427,12.9269,6.37467,-0.92946,-14.22464,-1.1428,2.47533,0.16609,NA,2.36006,88.83204,-23.37235,4.98649,-1.15826,0.24321,-0.052,0.01027,-0.00123,3.10833,16.10244,-24.67078,3.40487,-0.77208,0.17787,-0.03849,0.00785,-0.001,-0.08731,-93.5055,5.56556,0.98239,-0.51464,0.18733,-0.0515,0.01179,-0.00157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
5,2025-02-20,18:07:20,"Becerra, Luis",1000191450,Right,CAL_LAN,Undefined,Fastball,NA,NA,93.54086,-2.758057,-3.988947,2217.661454,230.155467,01:45:00,6.55801,0.89829,5.64223,-18.88737,13.50024,14.92158,2.40302,-1.58528,85.52042,-6.288444,-1.330342,0.409601,-8.6363,7.91819,-0.5687,50,6.31118,8.75506,-135.40648,-7.18849,-16.0517,29.26354,-17.45705,f4e5b0a7-e8e0-4fd2-b637-10ecd3bd3396,NA,NA,NA,NA,NA,803173,"Rubin, Justin",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,PEP_WAV,1,Top,0,2,2,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,CAL_LAN,PEP_WAV,705-CalBaptistBaseballField,D1,WAC,20250220-705-CalBaptistBaseballField-1,9536d020-eff8-11ef-9f70-d90a6103ec5b,92.02241,NA,NA,8.02044,NA,NA,NA,0bf7f70b-7d59-41be-ac77-809737572d07,2025-02-21,02:07:20,2025-02-21T02:07:20Z,2025-02-21T02:07:20Z,NA,v3,471762,471410,20 February 2025 21:00-pepperdine@californiabaptist,"Chavez, Matthew",1000119380,Right,CAL_LAN,54.85579,-136.45186,14.63177,6.55684,-6.56488,-8.72852,-0.8917,9.32847,-8.02585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-02-20,18:07:33,"Becerra, Luis",1000191450,Right,CAL_LAN,Undefined,Slider,NA,NA,83.61766,-2.276189,-0.054838,2254.052709,166.550327,11:30:00,6.38783,1.21389,5.78616,-29.2982,10.97926,-2.3091,1.82761,0.97044,76.54656,-7.704524,-0.469095,0.456775,1.16406,6.66052,-1.20796,50,6.18271,0.20825,-121.3335,-5.75958,1.72833,24.63014,-22.28481,06800bde-e86a-4724-bc06-1a8979ebfddf,NA,NA,NA,NA,NA,803173,"Rubin, Justin",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,PEP_WAV,1,Top,0,3,2,Slider,BallCalled,Walk,Undefined,Undefined,0,0,NA,CAL_LAN,PEP_WAV,705-CalBaptistBaseballField,D1,WAC,20250220-705-CalBaptistBaseballField-1,9d860a70-eff8-11ef-9f70-d90a6103ec5b,82.51856,NA,NA,7.0711,NA,NA,NA,0bf7f70b-7d59-41be-ac77-809737572d07,2025-02-21,02:07:33,2025-02-21T02:07:33Z,2025-02-21T02:07:33Z,NA,v3,471762,471410,20 February 2025 21:00-pepperdine@californiabaptist,"Chavez, Matthew",1000119380,Right,CAL_LAN,54.71106,-122.28609,12.31507,6.38879,-4.8977,-11.14241,-1.21472,0.14141,0.86417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-02-20,18:08:05,"Becerra, Luis",1000191450,Right,CAL_LAN,Undefined,Curveball,NA,NA,78.45176,-1.445209,-0.796135,2064.312399,52.22838,07:45:00,6.68103,0.59636,5.3928,-47.86412,-1.11012,-3.50839,1.33751,-0.44218,71.74684,-10.14231,-1.422096,0.492131,1.52331,0.3324,-0.52273,50,6.51834,1.71792,-113.76416,-4.49105,1.9718,23.26509,-31.7438,e7b99c38-511f-4a27-b782-9840e46849e1,NA,NA,NA,NA,NA,824679,"Nunez, Julian",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,PEP_WAV,1,Top,0,0,0,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,CAL_LAN,PEP_WAV,705-CalBaptistBaseballField,D1,WAC,20250220-705-CalBaptistBaseballField-1,b00e74c0-eff8-11ef-9f70-d90a6103ec5b,76.59025,NA,NA,6.70492,NA,NA,NA,0bf7f70b-7d59-41be-ac77-809737572d07,2025-02-21,02:08:05,2025-02-21T02:08:05Z,2025-02-21T02:08:05Z,NA,v3,471762,471410,20 February 2025 21:00-pepperdine@californiabaptist,"Chavez, Matthew",1000119380,Right,CAL_LAN,55.10564,-114.80353,11.63255,6.6873,-3.0729,-15.8719,-0.59751,1.62983,0.9859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-02-20,18:08:39,"Becerra, Luis",1000191450,Right,CAL_LAN,Undefined,Fastball,NA,NA,89.54294,-3.898084,-3.205345,2084.227432,232.482973,01:45:00,6.58542,0.69021,5.80328,-21.91375,13.31111,15.81784,1.12268,-0.97578,81.95328,-7.977172,-0.372826,0.427165,-9.02752,8.25685,-0.43658,50,6.25146,6.59206,-129.60675,-9.56259,-15.32489,27.59138,-18.15744,d9d300e5-7833-4aac-a03c-c9b5796c8fce,NA,NA,NA,NA,NA,824679,"Nunez, Julian",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,PEP_WAV,1,Top,0,1,0,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,CAL_LAN,PEP_WAV,705-CalBaptistBaseballField,D1,WAC,20250220-705-CalBaptistBaseballField-1,c49aec70-eff8-11ef-9f70-d90a6103ec5b,88.23852,NA,NA,7.58966,NA,NA,NA,0bf7f70b-7d59-41be-ac77-809737572d07,2025-02-21,02:08:39,2025-02-21T02:08:39Z,2025-02-21T02:08:39Z,NA,v3,471762,471410,20 February 2025 21:00-pepperdine@californiabaptist,"Chavez, Matthew",1000119380,Right,CAL_LAN,54.69595,-130.60262,13.79569,6.58478,-8.90722,-9.07872,-0.68449,7.14519,-7.66244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-02-20,18:09:01,"Becerra, Luis",1000191450,Right,CAL_LAN,Undefined,Fastball,NA,NA,89.79404,-3.492308,-3.733484,1960.557001,206.51422,01:00:00,6.52809,0.89474,5.69312,-17.55954,17.22658,8.08126,1.7992,-1.91614,82.96129,-6.772698,-2.292572,0.424497,-5.02567,9.94308,-0.58578,50,6.22277,8.13733,-130.051,-8.5095,-8.7026,24.44246,-14.95635,d2ea4935-c5cc-4c7b-b5ac-72db1d307249,NA,NA,NA,NA,NA,824679,"Nunez, Julian",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,PEP_WAV,1,Top,0,2,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,CAL_LAN,PEP_WAV,705-CalBaptistBaseballField,D1,WAC,20250220-705-CalBaptistBaseballField-1,d1a98390-eff8-11ef-9f70-d90a6103ec5b,88.79326,NA,NA,6.83276,NA,NA,NA,0bf7f70b-7d59-41be-ac77-809737572d07,2025-02-21,02:09:01,2025-02-21T02:09:01Z,2025-02-21T02:09:01Z,NA,v3,471762,471410,20 February 2025 21:00-pepperdine@californiabaptist,"Chavez, Matthew",1000119380,Right,CAL_LAN,54.80549,-130.95106,12.22123,6.52598,-7.95875,-7.47817,-0.89132,8.45779,-4.3513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-02-20,18:09:18,"Becerra, Luis",1000191450,Right,CAL_LAN,Undefined,Fastball,NA,NA,89.54462,-2.901377,-2.80496,1966.050345,204.499659,12:45:00,6.51278,0.81264,5.82066,-14.68599,20.60942,8.83402,2.58595,-1.06109,81.28907,-5.72411,-1.224089,0.427593,-5.31713,11.72005,-0.58823,50,6.26639,5.96755,-129.66777,-6.97334,-8.99241,28.80082,-12.35291,dd2d5ca7-2b83-4ee2-9fa4-bf24bc5b8b32,NA,NA,NA,NA,NA,824679,"Nunez, Julian",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,PEP_WAV,1,Top,0,3,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,CAL_LAN,PEP_WAV,705-CalBaptistBaseballField,D1,WAC,20250220-705-CalBaptistBaseballField-1,dbf5ed70-eff8-11ef-9f70-d90a6103ec5b,88.15026,NA,NA,8.25555,NA,NA,NA,0bf7f70b-7d59-41be-ac77-809737572d07,2025-02-21,02:09:18,2025-02-21T02:09:18Z,2025-02-21T02:09:18Z,NA,v3,471762,471410,20 February 2025 21:00-pepperdine@californiabaptist,"Chavez, Matthew",1000119380,Right,CAL_LAN,54.67521,-130.70206,14.40041,6.50885,-6.52972,-6.17645,-0.80834,6.29048,-4.4962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
