PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-22,12:59:28,"Pirkle, Hunter",10141110,Right,EC,Undefined,Undefined,NA,NA,89.49839,-1.637121,-5.247134,2161.142308,249.769258,02:15:00,5.09931,2.37096,5.80803,-26.73289,8.66914,20.2506,1.3423,-0.83477,81.39093,-6.605839,-1.635218,0.428238,-11.88788,5.25323,-1.95176,50,4.94856,11.02051,-129.4262,-4.6298,-20.06286,28.28489,-23.30832,5b5bba1f-a182-485c-b744-a9883a3a7d68,NA,NA,NA,NA,NA,1000215758,"Whitaker, Joe",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,BEL_ABB,1,Top,0,0,0,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,EC,BEL_ABB,TommyCareyField,D2,CC,20250222-TommyCareyField-1,c2cf8780-f146-11ef-9e3f-8999b97abe58,88.01743,NA,NA,8.10747,NA,NA,NA,a5192bd6-fd0c-4437-b265-563e88bfed1f,2025-02-22,17:59:28,2025-02-22T17:59:28Z,2025-02-22T17:59:28Z,NA,v3,10000011,NA,NA,"Madrigal, Nicholas",1000324267,Right,EC,54.69223,-130.44762,14.14245,5.10055,-3.7881,-11.65416,-2.36281,11.74501,-10.03143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-02-22,12:59:42,"Pirkle, Hunter",10141110,Right,EC,Undefined,Undefined,NA,NA,85.01299,-0.824475,-3.898249,2406.635313,225.319763,01:30:00,4.90461,2.6879,5.31742,-35.17907,4.39768,3.20819,1.19739,-0.70898,78.12443,-7.234963,-3.330199,0.452784,-2.68728,2.76862,-2.33671,50,4.80417,8.25802,-123.17198,-3.05225,-4.13518,24.08567,-27.91367,47f49b84-6f2c-436b-a73b-2e9c4c614f8b,NA,NA,NA,NA,-84.992685,1000215758,"Whitaker, Joe",4505.134546,NA,38.91175,Right,23.397682,NA,NA,NA,77.34448,57.12785,1.639867,-82.324485,2.2158,1.29827,0.66242,NA,NA,NA,NA,NA,1,2,BEL_ABB,1,Top,0,1,0,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,EC,BEL_ABB,TommyCareyField,D2,CC,20250222-TommyCareyField-1,cb2cf2a0-f146-11ef-9e3f-8999b97abe58,83.24589,9.90407,NA,6.88856,NA,NA,NA,a5192bd6-fd0c-4437-b265-563e88bfed1f,2025-02-22,17:59:42,2025-02-22T17:59:42Z,2025-02-22T17:59:42Z,GroundBall,v3,10000011,NA,NA,"Madrigal, Nicholas",1000324267,Right,EC,55.18294,-124.18134,12.04284,4.90758,-1.88247,-13.95683,-2.68641,8.43131,-2.06759,NA,2.2158,4.57185,0.3864,-0.1217,-0.01138,0.0623,-0.05332,0.02048,-0.00302,1.29825,22.66646,-15.56284,1.06697,-0.70953,0.85366,-0.53886,0.16207,-0.0193,0.6624,-52.17524,4.88456,-1.29514,-0.31456,0.89631,-0.7316,0.27569,-0.04015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Medium,NA,NA,NA
3,2025-02-22,13:00:00,"Pirkle, Hunter",10141110,Right,EC,Undefined,Undefined,NA,NA,77.85495,0.426591,-4.763023,2469.142827,115.449248,09:45:00,4.84337,2.77821,4.83222,-42.72884,6.22933,-9.47756,1.68802,-2.53252,70.6363,-7.31692,-6.418981,0.503598,3.12099,3.45524,-2.29686,50,4.84973,9.76161,-112.35108,-0.66996,3.93331,23.01754,-27.81949,61d0106c-962e-48ab-a454-bb386f5e4db5,NA,NA,NA,NA,NA,1000215758,"Whitaker, Joe",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,BEL_ABB,1,Top,0,1,1,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,EC,BEL_ABB,TommyCareyField,D2,CC,20250222-TommyCareyField-1,d608f250-f146-11ef-9e3f-8999b97abe58,74.84628,NA,NA,7.21865,NA,NA,NA,a5192bd6-fd0c-4437-b265-563e88bfed1f,2025-02-22,18:00:00,2025-02-22T18:00:00Z,2025-02-22T18:00:00Z,NA,v3,10000011,NA,NA,"Madrigal, Nicholas",1000324267,Right,EC,55.66369,-113.50548,11.50877,4.84835,0.72527,-13.90974,-2.78148,9.56434,1.96665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-02-22,13:00:14,"Pirkle, Hunter",10141110,Right,EC,Undefined,Undefined,NA,NA,89.04379,-1.278444,-4.645602,2153.519038,268.77296,03:00:00,4.97198,2.4904,5.79308,-34.43903,1.95154,24.05552,0.90871,0.16412,79.67209,-7.659936,-0.34497,0.434176,-13.97623,1.81595,-2.12232,50,4.84588,9.42601,-128.68808,-4.10512,-22.83636,33.0856,-29.20692,3fef0c7f-6913-4731-8311-2b52df7a3c5f,NA,NA,NA,NA,NA,1000215758,"Whitaker, Joe",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,BEL_ABB,1,Top,0,2,1,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,EC,BEL_ABB,TommyCareyField,D2,CC,20250222-TommyCareyField-1,de51eb10-f146-11ef-9e3f-8999b97abe58,86.81376,NA,NA,9.3717,NA,NA,NA,a5192bd6-fd0c-4437-b265-563e88bfed1f,2025-02-22,18:00:14,2025-02-22T18:00:14Z,2025-02-22T18:00:14Z,NA,v3,10000011,NA,NA,"Madrigal, Nicholas",1000324267,Right,EC,54.70647,-129.89247,16.5428,4.97596,-3.04192,-14.60346,-2.48058,10.25731,-11.41818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-02-22,13:00:29,"Pirkle, Hunter",10141110,Right,EC,Undefined,Undefined,NA,NA,89.01686,-1.046576,-4.115673,2212.332676,263.123639,02:45:00,4.97201,2.51167,5.55796,-32.92923,3.52351,17.95001,1.24744,0.15553,80.14352,-7.122285,-0.919971,0.434547,-10.46733,2.49709,-2.16791,50,4.85978,8.47289,-128.74684,-3.56426,-17.24998,31.25747,-28.05891,3aeddf1f-ed57-4a86-a9ad-a2e77c8419f0,NA,NA,NA,NA,NA,1000215758,"Whitaker, Joe",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,BEL_ABB,1,Top,0,3,1,Sinker,BallCalled,Walk,Undefined,Undefined,0,0,NA,EC,BEL_ABB,TommyCareyField,D2,CC,20250222-TommyCareyField-1,e7279370-f146-11ef-9e3f-8999b97abe58,86.73967,NA,NA,8.87334,NA,NA,NA,a5192bd6-fd0c-4437-b265-563e88bfed1f,2025-02-22,18:00:29,2025-02-22T18:00:29Z,2025-02-22T18:00:29Z,NA,v3,10000011,NA,NA,"Madrigal, Nicholas",1000324267,Right,EC,54.94093,-129.94087,15.62873,4.97546,-2.49241,-14.02946,-2.50416,9.13184,-8.62499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-02-22,13:00:58,"Pirkle, Hunter",10141110,Right,EC,Undefined,Undefined,NA,NA,86.56584,-0.460685,-4.178218,2338.90191,237.779916,02:00:00,4.84757,3.08851,5.22267,-33.95742,4.5924,5.27485,1.5835,-0.40713,78.9697,-6.660156,-3.246565,0.446871,-3.84414,2.80268,-2.70659,50,4.77966,8.91711,-125.27133,-2.28242,-6.08502,26.21876,-27.7376,3e8b5cb5-5606-428d-88ef-0d320ac08e49,NA,NA,NA,NA,NA,1000409838,"Fattore, Matthew",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,BEL_ABB,1,Top,0,0,0,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,EC,BEL_ABB,TommyCareyField,D2,CC,20250222-TommyCareyField-1,f88a9090-f146-11ef-9e3f-8999b97abe58,84.3474,NA,NA,7.59614,NA,NA,NA,a5192bd6-fd0c-4437-b265-563e88bfed1f,2025-02-22,18:00:58,2025-02-22T18:00:58Z,2025-02-22T18:00:58Z,NA,v3,10000011,NA,NA,"Madrigal, Nicholas",1000324267,Right,EC,55.27586,-126.37072,13.10938,4.85098,-1.11934,-13.8688,-3.08585,9.17227,-3.04251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-02-22,13:01:14,"Pirkle, Hunter",10141110,Right,EC,Undefined,Undefined,NA,NA,90.37656,-1.820463,-6.648021,2184.6125,253.197871,02:30:00,5.02901,2.89779,5.73273,-28.26927,6.80111,18.46525,0.96585,-1.78246,81.99943,-7.047939,-3.373419,0.426228,-11.288,4.3813,-2.35251,50,4.85907,14.35798,-130.28161,-5.17732,-19.27794,28.99169,-24.69158,0682f252-3283-460b-899b-384cfffd2ca9,NA,NA,NA,NA,NA,1000409838,"Fattore, Matthew",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,BEL_ABB,1,Top,0,0,1,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,EC,BEL_ABB,TommyCareyField,D2,CC,20250222-TommyCareyField-1,021ef510-f147-11ef-9e3f-8999b97abe58,88.43266,NA,NA,8.37713,NA,NA,NA,a5192bd6-fd0c-4437-b265-563e88bfed1f,2025-02-22,18:01:14,2025-02-22T18:01:14Z,2025-02-22T18:01:14Z,NA,v3,10000011,NA,NA,"Madrigal, Nicholas",1000324267,Right,EC,54.76567,-131.33783,14.49584,5.03131,-4.27776,-12.34579,-2.8884,15.06032,-9.63897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-02-22,13:01:34,"Pirkle, Hunter",10141110,Right,EC,Undefined,Undefined,NA,NA,90.04208,-1.24123,-5.715316,2171.435545,257.38841,02:30:00,4.99816,2.8163,6.05841,-28.95486,5.90646,20.84722,1.43047,-0.75405,81.44952,-6.638486,-1.98348,0.424955,-12.46678,3.79418,-2.38197,50,4.88593,12.13858,-130.1172,-3.81166,-21.14699,29.99536,-25.73808,82b695b6-b780-41d6-9a9a-a4d2d61fd8cc,NA,NA,NA,NA,NA,1000409838,"Fattore, Matthew",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,BEL_ABB,1,Top,0,1,1,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,EC,BEL_ABB,TommyCareyField,D2,CC,20250222-TommyCareyField-1,0e461260-f147-11ef-9e3f-8999b97abe58,88.69745,NA,NA,8.59256,NA,NA,NA,a5192bd6-fd0c-4437-b265-563e88bfed1f,2025-02-22,18:01:34,2025-02-22T18:01:34Z,2025-02-22T18:01:34Z,NA,v3,10000011,NA,NA,"Madrigal, Nicholas",1000324267,Right,EC,54.44099,-131.13696,14.99768,5.00064,-2.93663,-12.86904,-2.80687,12.85752,-10.57349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-02-22,13:01:55,"Pirkle, Hunter",10141110,Right,EC,Undefined,Undefined,NA,NA,86.36828,-0.005891,-3.283443,2323.635456,218.014779,01:15:00,4.79387,3.13071,5.33742,-35.38159,3.11311,1.45047,1.83988,0.16778,78.79481,-6.476603,-3.026327,0.446552,-1.69043,1.91225,-2.83522,50,4.76791,7.11689,-125.14716,-1.3194,-2.66796,26.39296,-29.15601,821db0ae-3e80-4f30-b144-ac95eb816a62,NA,NA,NA,NA,-15.08688,1000409838,"Fattore, Matthew",NA,NA,91.81669,Right,-16.650447,NA,NA,NA,8.36331,7.79482,0.051086,-16.162939,1.6589,1.97428,-0.60987,NA,NA,NA,NA,NA,2,4,BEL_ABB,1,Top,0,2,1,Slider,InPlay,Undefined,GroundBall,Single,0,0,NA,EC,BEL_ABB,TommyCareyField,D2,CC,20250222-TommyCareyField-1,1adda4c0-f147-11ef-9e3f-8999b97abe58,84.40777,1.97428,NA,7.57347,NA,NA,NA,a5192bd6-fd0c-4437-b265-563e88bfed1f,2025-02-22,18:01:55,2025-02-22T18:01:55Z,2025-02-22T18:01:55Z,GroundBall,v3,10000011,NA,NA,"Madrigal, Nicholas",1000324267,Right,EC,55.16194,-126.23109,13.19648,4.79751,-0.12198,-14.57801,-3.12975,7.22646,-1.33398,180,1.6573,124.7658,NA,NA,NA,NA,NA,NA,NA,1.97478,-38.64599,NA,NA,NA,NA,NA,NA,NA,-0.60944,-33.63375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,High,NA,NA,NA
10,2025-02-22,13:02:31,"Pirkle, Hunter",10141110,Right,EC,Undefined,Undefined,NA,NA,89.86505,0.533343,-6.029983,2269.051599,250.307122,02:15:00,5.0568,2.76758,5.69994,-27.08411,8.21859,19.6295,3.29956,-1.23645,81.45931,-4.495693,-2.547323,0.427637,-11.65953,4.37433,-2.27208,50,5.08505,12.83899,-129.79633,0.26325,-19.81736,28.10047,-24.73912,94a63a24-21c2-49c6-bb2d-a9752a9ed2d0,NA,NA,NA,NA,NA,1000118858,"Tucker, Connor",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,BEL_ABB,1,Top,0,0,0,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,EC,BEL_ABB,TommyCareyField,D2,CC,20250222-TommyCareyField-1,2fd3dac0-f147-11ef-9e3f-8999b97abe58,88.14114,NA,NA,8.40574,NA,NA,NA,a5192bd6-fd0c-4437-b265-563e88bfed1f,2025-02-22,18:02:31,2025-02-22T18:02:31Z,2025-02-22T18:02:31Z,NA,v3,10000011,NA,NA,"Madrigal, Nicholas",1000324267,Right,EC,54.79929,-130.83123,14.05024,5.05858,1.17436,-12.36956,-2.75836,13.56884,-9.90868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
