PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-28,12:57:48,"Anders, Brice",10036093,Right,TUS_PIO,Undefined,Fastball,NA,NA,86.1481,-2.799884,-3.091634,2324.510708,219.50897,01:15:00,5.38993,1.6685,5.57283,-18.8056,19.25269,14.8952,1.20164,0.01919,79.15385,-6.329252,-0.437942,0.444013,-8.38855,10.85749,-1.41218,50,5.13616,6.1237,-124.87283,-6.69374,-13.31401,23.92437,-14.94146,63c6963f-dc77-478c-a9e4-dcab4e486f96,NA,NA,NA,NA,NA,1000317024,"Cirino, Ick",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,COK_COB,1,Top,0,0,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,TUS_PIO,COK_COB,PioneerPark,D2,Team,20250428-PioneerPark-1,ea3a5e10-2451-11f0-86f4-6936a88f0d94,84.89036,NA,NA,6.99425,NA,NA,NA,e4cbc1d4-cb06-4f6e-9350-351c60590a0d,2025-04-28,16:57:48,2025-04-28T16:57:48Z,2025-04-28T16:57:48Z,NA,v3,471724,471646,NA,"Collins, Avery",805118,Right,TUS_PIO,54.92766,-125.81337,11.96218,5.38777,-6.10634,-7.47073,-1.66322,6.64712,-6.657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-04-28,12:58:05,"Anders, Brice",10036093,Right,TUS_PIO,Undefined,Fastball,NA,NA,87.27524,-1.881742,-1.987948,2465.45339,226.442117,01:30:00,5.45733,1.6626,5.46889,-19.4732,17.87521,17.5184,2.0718,1.26124,79.69856,-5.538329,1.13099,0.439853,-9.58355,9.96217,-1.50071,50,5.27889,3.66921,-126.63487,-4.79236,-15.52223,26.48091,-16.03858,dafa4569-e0ac-4485-bbfa-98e49db12760,NA,NA,NA,NA,NA,1000317024,"Cirino, Ick",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,COK_COB,1,Top,0,1,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,TUS_PIO,COK_COB,PioneerPark,D2,Team,20250428-PioneerPark-1,f45fdf00-2451-11f0-86f4-6936a88f0d94,85.69328,NA,NA,7.57669,NA,NA,NA,e4cbc1d4-cb06-4f6e-9350-351c60590a0d,2025-04-28,16:58:05,2025-04-28T16:58:05Z,2025-04-28T16:58:05Z,NA,v3,471724,471646,NA,"Collins, Avery",805118,Right,TUS_PIO,55.03327,-127.68305,13.24046,5.45602,-4.15751,-8.01929,-1.65811,4.28362,-7.76112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-04-28,12:58:23,"Anders, Brice",10036093,Right,TUS_PIO,Undefined,Fastball,NA,NA,86.58264,-2.659646,-4.617079,2285.035743,231.670694,01:45:00,5.4732,1.44477,5.58762,-21.82978,15.97635,18.68808,1.16059,-1.31869,79.4351,-6.728522,-1.294181,0.44254,-10.75115,9.16819,-1.06026,50,5.22985,9.34027,-125.30416,-6.54483,-17.16426,24.33524,-17.53703,8fbdf13a-18c2-4d26-b25f-76e93767b659,NA,NA,NA,NA,NA,1000317024,"Cirino, Ick",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,COK_COB,1,Top,0,2,0,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,TUS_PIO,COK_COB,PioneerPark,D2,Team,20250428-PioneerPark-1,ff6ed590-2451-11f0-86f4-6936a88f0d94,85.17295,NA,NA,7.14754,NA,NA,NA,e4cbc1d4-cb06-4f6e-9350-351c60590a0d,2025-04-28,16:58:23,2025-04-28T16:58:23Z,2025-04-28T16:58:23Z,NA,v3,471724,471646,NA,"Collins, Avery",805118,Right,TUS_PIO,54.91358,-126.25482,12.16762,5.47214,-5.85975,-8.76851,-1.43824,10.01079,-8.58213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-04-28,12:58:38,"Anders, Brice",10036093,Right,TUS_PIO,Undefined,Fastball,NA,NA,86.1518,-3.656663,-3.43171,2407.823528,215.583596,01:15:00,5.43586,1.58672,5.55526,-16.29682,22.04025,14.86135,0.65033,-0.38515,78.79609,-6.747229,-0.786719,0.445637,-8.55914,12.59225,-1.30024,50,5.10857,6.86482,-124.68504,-8.45736,-13.47486,25.05504,-12.34974,dd1b0b32-7791-4a68-ba9d-2980dd19669d,NA,NA,NA,NA,NA,1000317024,"Cirino, Ick",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,COK_COB,1,Top,0,3,0,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,NA,TUS_PIO,COK_COB,PioneerPark,D2,Team,20250428-PioneerPark-1,08730800-2452-11f0-86f4-6936a88f0d94,84.58112,NA,NA,7.35571,NA,NA,NA,e4cbc1d4-cb06-4f6e-9350-351c60590a0d,2025-04-28,16:58:38,2025-04-28T16:58:38Z,2025-04-28T16:58:38Z,NA,v3,471724,471646,NA,"Collins, Avery",805118,Right,TUS_PIO,54.94576,-125.67495,12.52752,5.43307,-7.96943,-6.17487,-1.58198,7.3972,-6.73743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-04-28,12:59:17,"Anders, Brice",10036093,Right,TUS_PIO,Undefined,Fastball,NA,NA,85.65502,-1.746126,-5.08965,2333.858649,217.180281,01:15:00,5.35678,1.61608,5.52941,-18.44265,20.5493,14.5867,2.18061,-1.93882,77.90429,-5.240026,-2.504643,0.449427,-8.8117,11.25658,-1.18277,50,5.1925,10.40651,-123.81319,-4.33292,-13.64551,25.27394,-14.74243,01bcd07b-6531-4935-b46c-3953fba9d3c7,NA,NA,NA,NA,NA,1000100711,"Santiago, Gabriel",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,COK_COB,1,Top,0,0,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,TUS_PIO,COK_COB,PioneerPark,D2,Team,20250428-PioneerPark-1,1f6d7270-2452-11f0-86f4-6936a88f0d94,83.86782,NA,NA,7.75073,NA,NA,NA,e4cbc1d4-cb06-4f6e-9350-351c60590a0d,2025-04-28,16:59:17,2025-04-28T16:59:17Z,2025-04-28T16:59:17Z,NA,v3,471724,471646,NA,"Collins, Avery",805118,Right,TUS_PIO,54.9692,-124.82343,12.63697,5.35391,-3.74365,-7.37122,-1.60963,10.95194,-6.82276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.82343,1.832587,0.739789,1.092798,0.48544,2.09454,1.97919,-4.09368,4.71362,2.64694,63.87911,4.35761,60.90382,-4.04135,68.76536,-6.10847,4.73493,14.18445,-13.32234,2.66659,56.23106,-2.71143,High,High,High,NA,NA,High,High,High
6,2025-04-28,12:59:36,"Anders, Brice",10036093,Right,TUS_PIO,Undefined,Fastball,NA,NA,85.78817,-1.615627,-3.554037,2224.264665,209.889903,01:00:00,5.54502,1.62362,5.69409,-17.64044,20.99761,11.30024,2.566,-0.75112,77.78736,-4.985034,-1.538954,0.447383,-6.78319,11.52768,-1.3318,50,5.39824,7.23868,-124.22473,-4.00181,-10.52609,26.49699,-14.2855,aac3c2d7-d20b-4b9c-bcdc-efb91ef97618,NA,NA,NA,NA,NA,1000100711,"Santiago, Gabriel",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,COK_COB,1,Top,0,1,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,TUS_PIO,COK_COB,PioneerPark,D2,Team,20250428-PioneerPark-1,2ad47410-2452-11f0-86f4-6936a88f0d94,84.25103,NA,NA,8.00081,NA,NA,NA,e4cbc1d4-cb06-4f6e-9350-351c60590a0d,2025-04-28,16:59:36,2025-04-28T16:59:36Z,2025-04-28T16:59:36Z,NA,v3,471724,471646,NA,"Collins, Avery",805118,Right,TUS_PIO,54.80327,-125.24507,13.2485,5.54174,-3.4517,-7.14275,-1.61835,7.64401,-5.26304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-04-28,12:59:54,"Anders, Brice",10036093,Right,TUS_PIO,Undefined,Fastball,NA,NA,84.25026,-2.800054,-3.550116,2228.751038,215.381461,01:15:00,5.40741,1.74921,5.784,-20.46218,19.11997,12.68331,1.09004,-0.50102,77.32203,-6.646416,-1.283378,0.452815,-7.48469,10.91465,-1.46417,50,5.1638,7.07541,-122.08101,-6.58349,-11.32828,23.38212,-15.6544,0232f0fd-a8a0-4ecd-9ddd-e40b38381365,NA,NA,NA,NA,NA,1000100711,"Santiago, Gabriel",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,COK_COB,1,Top,0,1,1,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,TUS_PIO,COK_COB,PioneerPark,D2,Team,20250428-PioneerPark-1,35756690-2452-11f0-86f4-6936a88f0d94,83.24023,NA,NA,6.92823,NA,NA,NA,e4cbc1d4-cb06-4f6e-9350-351c60590a0d,2025-04-28,16:59:54,2025-04-28T16:59:54Z,2025-04-28T16:59:54Z,NA,v3,471724,471646,NA,"Collins, Avery",805118,Right,TUS_PIO,54.71663,-122.98107,11.69106,5.40562,-5.9809,-7.8272,-1.74492,7.51148,-5.66414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-04-28,13:00:57,"Anders, Brice",10036093,Right,TUS_PIO,Undefined,Fastball,NA,NA,84.7117,-0.359333,-2.729788,2260.065824,216.054019,01:15:00,5.55899,1.85204,5.25726,-19.42954,20.65415,14.06257,3.60186,0.45716,76.95588,-4.027967,-0.239318,0.455675,-7.8828,10.84867,-1.61282,50,5.5124,5.25488,-122.79073,-1.37639,-11.98185,25.31965,-15.68413,a12fbf1e-0d14-4fec-8d0c-1ffbecf67aa5,NA,NA,NA,NA,-107.389518,1000100711,"Santiago, Gabriel",4410.273506,NA,76.9802,Right,68.824468,NA,NA,NA,NA,13.04497,NA,NA,2.7376,3.77755,-0.53324,NA,NA,NA,NA,NA,2,4,COK_COB,1,Top,0,2,1,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,TUS_PIO,COK_COB,PioneerPark,D2,Team,20250428-PioneerPark-1,5ac62a60-2452-11f0-86f4-6936a88f0d94,82.71782,34.07862,NA,7.75582,NA,NA,NA,e4cbc1d4-cb06-4f6e-9350-351c60590a0d,2025-04-28,17:00:57,2025-04-28T17:00:57Z,2025-04-28T17:00:57Z,NA,v3,471724,471646,NA,"Collins, Avery",805118,Right,TUS_PIO,55.2423,-123.86698,12.65983,5.55673,-0.70971,-7.84206,-1.84702,5.76419,-5.99093,15.987325,2.74106,-12.33691,-7.30432,NA,NA,NA,NA,NA,NA,3.78002,105.17583,-25.32193,NA,NA,NA,NA,NA,NA,-0.53122,-39.00644,-2.51201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Undefined,NA,NA,NA
9,2025-04-28,13:01:56,"Anders, Brice",10036093,Right,TUS_PIO,Undefined,Slider,NA,NA,77.81129,1.662932,-2.151981,2716.323881,71.943507,08:30:00,5.2027,1.73375,5.18121,-46.92522,-0.22846,-4.41819,2.85846,-0.66018,72.48716,-6.823478,-2.933686,0.49183,1.73146,-0.19906,-1.53002,50,5.32103,4.41881,-113.06083,1.66783,2.27801,17.43823,-32.43595,f09bd238-e6af-4628-a7e3-f01c302bc32d,NA,NA,NA,NA,21.654509,1000100711,"Santiago, Gabriel",4729.72464,NA,79.14928,Right,41.101556,100.35176,81.37601,45.05024,265.24684,263.79317,5.07072,27.49691,1.77644,2.95196,0.64377,NA,NA,NA,NA,NA,2,5,COK_COB,1,Top,0,2,2,Curveball,InPlay,Undefined,FlyBall,Out,2,0,NA,TUS_PIO,COK_COB,PioneerPark,D2,Team,20250428-PioneerPark-1,7e0e4cf0-2452-11f0-86f4-6936a88f0d94,76.63716,91.36669,NA,5.32413,NA,NA,NA,e4cbc1d4-cb06-4f6e-9350-351c60590a0d,2025-04-28,17:01:56,2025-04-28T17:01:56Z,2025-04-28T17:01:56Z,FlyBall,v3,471724,471646,NA,"Collins, Avery",805118,Right,TUS_PIO,55.3219,-113.87871,8.71911,5.20713,3.18913,-16.21798,-1.73476,4.31197,1.13901,192.335897,1.78015,81.22723,-17.02839,3.85588,-0.55138,0.03311,0.00176,-1.7e-4,-1e-5,2.95087,76.32788,-18.49681,1.05884,0.00341,-0.09133,0.03235,-0.00478,2.6e-4,0.64463,32.26208,-3.77685,0.78942,-0.09533,6.7e-4,0.00126,-8e-5,-0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
10,2025-04-28,13:03:04,"Anders, Brice",10036093,Right,TUS_PIO,Undefined,Fastball,NA,NA,86.13386,-2.392324,-3.463568,2213.4609,225.613479,01:30:00,5.34802,1.81268,5.69534,-20.25521,17.72816,16.8745,1.42525,-0.01283,78.93836,-6.195743,-0.451516,0.443576,-9.56012,10.03697,-1.5324,50,5.13414,6.86254,-124.84624,-5.8472,-15.12657,24.54526,-16.29298,6420eecb-70e8-422b-8224-a731325fb1ef,NA,NA,NA,NA,NA,10064846,"Wojcik, Rocco",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,COK_COB,1,Top,2,0,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,TUS_PIO,COK_COB,PioneerPark,D2,Team,20250428-PioneerPark-1,a6e0bd70-2452-11f0-86f4-6936a88f0d94,84.97404,NA,NA,7.1955,NA,NA,NA,e4cbc1d4-cb06-4f6e-9350-351c60590a0d,2025-04-28,17:03:04,2025-04-28T17:03:04Z,2025-04-28T17:03:04Z,NA,v3,471724,471646,NA,"Collins, Avery",805118,Right,TUS_PIO,54.80525,-125.78743,12.27263,5.34637,-5.22245,-8.14649,-1.80666,7.44257,-7.56328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
