PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-20,13:58:22,"Wobrock, Luke",1000397951,Right,CYP_CHR,Undefined,Fastball,NA,NA,89.78158,-2.550906,-3.395766,2146.521875,233.580727,01:45:00,5.70155,1.60355,5.16234,-21.94218,13.6893,17.03922,1.46621,-0.17649,82.40853,-6.59664,-0.382902,0.429624,-9.43725,7.8415,-1.30017,50,5.44649,6.93884,-130.04777,-6.60554,-16.23178,26.16734,-18.68691,aef7a54e-6b7a-4b4c-875c-9ce5d462a217,NA,NA,NA,NA,NA,1000115098,"Dolan, Alexander",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,GLE_COM1,1,Top,0,0,0,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,CYP_CHR,GLE_COM1,CypressCollege,JUCO,NJCAA,20250220-CypressCollege-1,cdcf6b90-efd5-11ef-b3d7-c9d8be957048,87.7336,NA,NA,7.37305,NA,NA,NA,775d927a-8f43-4592-9d09-90d27688b877,2025-02-20,21:58:22,2025-02-20T21:58:22Z,2025-02-20T21:58:22Z,NA,v3,CYP,NA,NA,"Anderson, Zachary",1000299442,Right,CYP_CHR,55.33916,-131.11768,13.08367,5.70095,-5.84148,-9.34346,-1.59745,7.60251,-8.11589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-02-20,13:58:36,"Wobrock, Luke",1000397951,Right,CYP_CHR,Undefined,Fastball,NA,NA,89.13477,-0.671675,-2.351744,2132.624674,241.321844,02:00:00,5.71066,1.73149,5.03018,-24.15615,12.07406,20.02308,3.06333,1.17986,81.66982,-5.116186,1.183671,0.433218,-10.64473,6.50323,-1.52371,50,5.62733,4.39445,-129.32712,-2.42567,-18.08469,26.18061,-21.12551,f61e8fde-cae5-44fe-ab95-4658491ddc25,NA,NA,NA,NA,NA,1000115098,"Dolan, Alexander",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,GLE_COM1,1,Top,0,0,1,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,CYP_CHR,GLE_COM1,CypressCollege,JUCO,NJCAA,20250220-CypressCollege-1,d606d820-efd5-11ef-b3d7-c9d8be957048,87.00561,NA,NA,7.46494,NA,NA,NA,775d927a-8f43-4592-9d09-90d27688b877,2025-02-20,21:58:36,2025-02-20T21:58:36Z,2025-02-20T21:58:36Z,NA,v3,CYP,NA,NA,"Anderson, Zachary",1000299442,Right,CYP_CHR,55.47202,-130.43015,13.09031,5.71077,-1.53561,-10.56276,-1.72491,5.15638,-9.04235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-02-20,13:58:54,"Wobrock, Luke",1000397951,Right,CYP_CHR,Undefined,Fastball,NA,NA,90.11557,-0.019751,-3.348441,2308.918528,235.917443,01:45:00,5.7722,1.62154,5.13431,-21.18438,14.28402,19.42985,3.98821,0.08378,82.12657,-3.957595,0.083401,0.42864,-10.54922,7.44296,-1.32274,50,5.75438,6.72154,-130.59019,-0.81061,-18.23039,27.31299,-19.31169,63716fa8-2532-4d62-8350-4a2e6c00d121,NA,NA,NA,NA,NA,1000115098,"Dolan, Alexander",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,GLE_COM1,1,Top,0,1,1,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,CYP_CHR,GLE_COM1,CypressCollege,JUCO,NJCAA,20250220-CypressCollege-1,e09b6e90-efd5-11ef-b3d7-c9d8be957048,87.93504,NA,NA,7.989,NA,NA,NA,775d927a-8f43-4592-9d09-90d27688b877,2025-02-20,21:58:54,2025-02-20T21:58:54Z,2025-02-20T21:58:54Z,NA,v3,CYP,NA,NA,"Anderson, Zachary",1000299442,Right,CYP_CHR,55.36563,-131.70764,13.6565,5.77138,-0.02052,-9.65584,-1.61299,7.46739,-9.1152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-02-20,13:59:08,"Wobrock, Luke",1000397951,Right,CYP_CHR,Undefined,Fastball,NA,NA,89.11149,-1.288998,-3.916917,2212.114812,227.882807,01:30:00,5.76858,1.55052,5.17267,-20.26792,15.78749,16.24485,2.86352,-0.78755,81.80064,-5.050333,-1.048429,0.432172,-9.09394,8.53146,-1.19814,50,5.63313,8.09396,-129.11548,-3.62642,-15.46509,25.01935,-17.66554,6a28ba08-1cbf-4889-9f01-c9dd27bd2fa4,NA,NA,NA,NA,NA,1000115098,"Dolan, Alexander",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,GLE_COM1,1,Top,0,2,1,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,CYP_CHR,GLE_COM1,CypressCollege,JUCO,NJCAA,20250220-CypressCollege-1,e943ec70-efd5-11ef-b3d7-c9d8be957048,87.21629,NA,NA,7.31085,NA,NA,NA,775d927a-8f43-4592-9d09-90d27688b877,2025-02-20,21:59:08,2025-02-20T21:59:08Z,2025-02-20T21:59:08Z,NA,v3,CYP,NA,NA,"Anderson, Zachary",1000299442,Right,CYP_CHR,55.328,-130.14382,12.50968,5.76726,-2.90034,-8.83277,-1.54387,8.7296,-7.73254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-02-20,13:59:25,"Wobrock, Luke",1000397951,Right,CYP_CHR,Undefined,Fastball,NA,NA,90.19129,-1.102201,-2.525635,2188.743731,226.966823,01:30:00,5.58074,1.77039,4.99222,-19.69395,15.91174,15.80454,2.89772,0.70117,82.23351,-4.764223,0.26154,0.429468,-8.5589,8.53382,-1.54075,50,5.45911,5.02058,-130.72748,-3.23198,-14.80057,27.74441,-17.41682,bb628688-b54c-4930-b6b1-68d42d4aa9f2,NA,NA,NA,NA,-38.665787,1000115098,"Dolan, Alexander",4193.884217,NA,81.11805,Right,39.607365,79.29971,71.74314,-76.23354,289.4303,135.8022,4.619958,-50.384574,0.98531,3.84274,-1.42655,NA,NA,NA,NA,NA,1,5,GLE_COM1,1,Top,0,2,2,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,CYP_CHR,GLE_COM1,CypressCollege,JUCO,NJCAA,20250220-CypressCollege-1,f34c6f80-efd5-11ef-b3d7-c9d8be957048,87.76534,80.69437,NA,7.95778,NA,NA,NA,775d927a-8f43-4592-9d09-90d27688b877,2025-02-20,21:59:25,2025-02-20T21:59:25Z,2025-02-20T21:59:25Z,FlyBall,v3,CYP,NA,NA,"Anderson, Zachary",1000299442,Right,CYP_CHR,55.5081,-131.89129,13.8722,5.57936,-2.50138,-8.70841,-1.76437,5.64143,-7.40029,NA,0.98702,71.53508,-14.84423,3.48557,-0.71531,0.15037,-0.03802,0.00677,-4.8e-4,3.84388,75.8168,-21.5164,1.60971,0.01812,-0.15124,0.0549,-0.00829,4.6e-4,-1.42863,-57.22069,2.69989,0.2384,-0.37883,0.16656,-0.03856,0.00444,-2e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Low,NA,NA,NA
6,2025-02-20,13:59:54,"Wobrock, Luke",1000397951,Right,CYP_CHR,Undefined,Fastball,NA,NA,90.69913,-2.868829,-3.444501,2372.849561,232.034564,01:45:00,5.74332,1.68743,4.91213,-19.13123,16.52336,19.57103,1.42909,0.05728,82.28122,-6.427842,-6.4e-4,0.429763,-10.6963,9.37272,-1.368,50,5.44718,6.94834,-131.11679,-7.27671,-18.49411,29.48317,-15.96844,69f57a72-3719-4bf1-bc5d-d10edceb3aa8,NA,NA,NA,NA,NA,1000115098,"Dolan, Alexander",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,GLE_COM1,1,Top,0,2,2,Sinker,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,NA,CYP_CHR,GLE_COM1,CypressCollege,JUCO,NJCAA,20250220-CypressCollege-1,04a00350-efd6-11ef-b3d7-c9d8be957048,87.70518,NA,NA,8.4179,NA,NA,NA,775d927a-8f43-4592-9d09-90d27688b877,2025-02-20,21:59:54,2025-02-20T21:59:54Z,2025-02-20T21:59:54Z,NA,v3,CYP,NA,NA,"Anderson, Zachary",1000299442,Right,CYP_CHR,55.58766,-132.36728,14.74159,5.74145,-6.59943,-7.98422,-1.67934,7.73274,-9.24706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.68338,2.712307,1.597952,1.114355,1.12725,1.3964,-0.05732,-0.47251,5.17808,-2.6064,71.99144,9.13257,-52.79913,-0.43205,68.77671,-3.38743,5.23519,19.40825,-14.26258,-2.70486,-51.25667,5.63342,High,High,High,NA,NA,High,High,High
7,2025-02-20,14:00:25,"Wobrock, Luke",1000397951,Right,CYP_CHR,Undefined,Fastball,NA,NA,89.74864,-2.56709,-2.766376,2285.851978,225.660264,01:30:00,5.64931,1.69107,4.98999,-20.00324,16.35402,15.40654,1.55396,0.36078,81.24111,-6.293237,-0.049358,0.433977,-8.46319,9.25197,-1.43766,50,5.3861,5.53794,-129.8052,-6.53909,-14.29948,29.63415,-16.54186,4d3f7727-d67c-4be6-87ab-b0f435188fa9,NA,NA,NA,NA,NA,1000192487,"Ruiz, Daniel",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,GLE_COM1,1,Top,1,0,0,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,CYP_CHR,GLE_COM1,CypressCollege,JUCO,NJCAA,20250220-CypressCollege-1,16ff88e0-efd6-11ef-b3d7-c9d8be957048,86.85351,NA,NA,8.50752,NA,NA,NA,775d927a-8f43-4592-9d09-90d27688b877,2025-02-20,22:00:25,2025-02-20T22:00:25Z,2025-02-20T22:00:25Z,NA,v3,CYP,NA,NA,"Anderson, Zachary",1000299442,Right,CYP_CHR,55.50836,-131.05671,14.81707,5.64751,-5.84049,-8.27093,-1.68429,6.14184,-7.14974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-02-20,14:00:43,"Wobrock, Luke",1000397951,Right,CYP_CHR,Undefined,Fastball,NA,NA,89.93987,-2.188863,-3.124944,2383.937165,232.076618,01:45:00,5.6174,1.57183,5.03584,-20.31926,15.77658,18.61186,1.85497,0.17168,81.45691,-5.974394,0.158975,0.432414,-10.14823,8.84693,-1.28873,50,5.39234,6.21611,-130.11405,-5.70631,-17.24934,29.46618,-17.13659,27d8e813-30a3-4313-9fb7-ef6ed12904c7,NA,NA,NA,NA,NA,1000192487,"Ruiz, Daniel",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,GLE_COM1,1,Top,1,0,1,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,CYP_CHR,GLE_COM1,CypressCollege,JUCO,NJCAA,20250220-CypressCollege-1,21a05450-efd6-11ef-b3d7-c9d8be957048,87.16742,NA,NA,8.48296,NA,NA,NA,775d927a-8f43-4592-9d09-90d27688b877,2025-02-20,22:00:43,2025-02-20T22:00:43Z,2025-02-20T22:00:43Z,NA,v3,CYP,NA,NA,"Anderson, Zachary",1000299442,Right,CYP_CHR,55.46296,-131.34539,14.73309,5.61583,-4.9902,-8.56829,-1.56355,6.93693,-8.62467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-02-20,14:01:00,"Wobrock, Luke",1000397951,Right,CYP_CHR,Undefined,Fastball,NA,NA,89.18164,-0.239801,-1.68023,2413.236627,211.941644,01:00:00,5.85196,1.82336,4.99184,-12.76709,23.86529,14.09461,4.56151,1.41095,80.61408,-2.709787,0.805909,0.435616,-7.42146,12.19855,-1.67342,50,5.81939,3.11106,-129.20934,-0.8941,-12.45289,28.79466,-11.70539,02d4aab3-9b9e-42e8-b1d0-c2225662a0e8,NA,NA,NA,NA,NA,1000192487,"Ruiz, Daniel",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,GLE_COM1,1,Top,1,0,2,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,CYP_CHR,GLE_COM1,CypressCollege,JUCO,NJCAA,20250220-CypressCollege-1,2bf94150-efd6-11ef-b3d7-c9d8be957048,86.52669,NA,NA,8.56756,NA,NA,NA,775d927a-8f43-4592-9d09-90d27688b877,2025-02-20,22:01:00,2025-02-20T22:01:00Z,2025-02-20T22:01:00Z,NA,v3,CYP,NA,NA,"Anderson, Zachary",1000299442,Right,CYP_CHR,55.50523,-130.43043,14.39733,5.84678,-0.39771,-5.8527,-1.81655,3.63914,-6.22645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-02-20,14:01:16,"Wobrock, Luke",1000397951,Right,CYP_CHR,Undefined,Curveball,NA,NA,76.33095,2.829671,1.85695,2234.126855,53.424698,07:45:00,5.65683,1.71675,4.70241,-59.7446,-8.67445,-14.19422,3.36782,2.29725,68.85374,-7.944037,-0.635433,0.514346,7.4743,-4.5094900000000004,-1.89162,50,5.89054,-2.96859,-110.37477,3.23091,9.06705,22.69378,-37.6445,9fa57147-e7af-4bf3-a740-3e36e9ed9981,NA,NA,NA,NA,NA,1000192487,"Ruiz, Daniel",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,GLE_COM1,1,Top,1,1,2,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,CYP_CHR,GLE_COM1,CypressCollege,JUCO,NJCAA,20250220-CypressCollege-1,35c557a0-efd6-11ef-b3d7-c9d8be957048,73.28232,NA,NA,7.47721,NA,NA,NA,775d927a-8f43-4592-9d09-90d27688b877,2025-02-20,22:01:16,2025-02-20T22:01:16Z,2025-02-20T22:01:16Z,NA,v3,CYP,NA,NA,"Anderson, Zachary",1000299442,Right,CYP_CHR,55.79753,-111.56041,11.34689,5.67037,5.19765,-18.82225,-1.72415,-3.44229,4.53352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
