PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-03-28,15:01:51,"Hilton, Jake",828436,Left,POM_COL,Undefined,Fastball,NA,NA,84.72728,-0.545625,0.897538,2104.004194,162.89486,11:30:00,5.50411,-0.381,5.50422,-21.95359,17.43127,-4.9878,3.16427,0.04284,77.58655,-4.656515,0.008806,0.451685,2.75425,9.31213,0.30605,50,5.4419,-1.71645,-123.02079,-1.86315,4.23192,23.8054,-17.86591,c07fb879-18e0-4d86-aa33-5c648ffb94f9,NA,NA,NA,NA,NA,1000306286,"Aldridge, Ty",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,WHI_COL1,1,Top,0,0,0,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,POM_COL,WHI_COL1,PomonaPitzer,D3,Team,20250328-PomonaPitzer-1,40f1a370-0c20-11f0-bc17-93e32103d205,83.44845,NA,NA,7.14073,NA,NA,NA,dcdc02ae-aaac-4592-99f9-f3785501b184,2025-03-28,22:01:51,2025-03-28T22:01:51Z,2025-03-28T22:01:51Z,NA,v3,POM_PIT,NA,NA,"Hattenburg, Xavier",10277269,Right,POM_COL,54.99365,-123.98333,11.9027,5.50263,-1.14076,-8.93296,0.37891,-1.88756,2.11596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-03-28,15:02:09,"Hilton, Jake",828436,Left,POM_COL,Undefined,Fastball,NA,NA,86.75576,-1.732697,0.215285,2140.354298,153.335732,11:00:00,5.55505,-0.44415,5.42305,-18.57745,19.26879,-9.05752,2.38345,-0.99729,79.20123,-5.23058,-1.396459,0.442775,4.60398,10.54355,0.43148,50,5.3887,-0.07556,-125.86752,-4.38463,7.37539,25.88532,-15.28372,f74bf7a7-960f-4934-9a76-1985a1b220b4,NA,NA,NA,NA,NA,1000306286,"Aldridge, Ty",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,WHI_COL1,1,Top,0,0,1,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,POM_COL,WHI_COL1,PomonaPitzer,D3,Team,20250328-PomonaPitzer-1,4be23c90-0c20-11f0-bc17-93e32103d205,85.12779,NA,NA,7.55452,NA,NA,NA,dcdc02ae-aaac-4592-99f9-f3785501b184,2025-03-28,22:02:09,2025-03-28T22:02:09Z,2025-03-28T22:02:09Z,NA,v3,POM_PIT,NA,NA,"Hattenburg, Xavier",10277269,Right,POM_COL,55.07454,-126.90683,12.94266,5.55243,-3.77098,-7.64186,0.44046,-0.37169,3.6877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-03-28,15:02:30,"Hilton, Jake",828436,Left,POM_COL,Undefined,Fastball,NA,NA,87.69603,-1.18248,-0.610362,2181.024985,148.285202,11:00:00,5.57889,-0.41953,5.30989,-19.30099,17.70623,-10.23969,2.86032,-1.84577,80.43395,-4.788132,-2.427979,0.437839,4.96016,9.53355,0.48256,50,5.45796,1.81298,-127.30924,-3.2654,8.16958,25.26455,-16.47191,1edae929-6519-46e6-90b1-f380797872fd,NA,NA,NA,NA,NA,1000306286,"Aldridge, Ty",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,WHI_COL1,1,Top,0,0,2,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,POM_COL,WHI_COL1,PomonaPitzer,D3,Team,20250328-PomonaPitzer-1,58256d60-0c20-11f0-bc17-93e32103d205,86.0874,NA,NA,7.26208,NA,NA,NA,dcdc02ae-aaac-4592-99f9-f3785501b184,2025-03-28,22:02:30,2025-03-28T22:02:30Z,2025-03-28T22:02:30Z,NA,v3,POM_PIT,NA,NA,"Hattenburg, Xavier",10277269,Right,POM_COL,55.18864,-128.3348,12.63227,5.57694,-2.59677,-8.23595,0.41569,1.48136,4.08479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-03-28,15:02:49,"Hilton, Jake",828436,Left,POM_COL,Undefined,ChangeUp,NA,NA,74.19099,2.285399,0.637024,1519.037223,98.655189,09:15:00,5.25129,-0.69548,5.63041,-47.64991,4.00307,-15.00556,3.41413,-1.35154,67.50048,-6.503483,-2.042723,0.517272,7.75993,1.87587,0.65096,50,5.41567,-0.64134,-107.603,2.83653,9.02721,20.02756,-29.99185,9c6d62f8-8a02-4ec2-851f-dbb0be707a10,NA,NA,NA,NA,NA,1000306286,"Aldridge, Ty",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,WHI_COL1,1,Top,0,1,2,Changeup,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,NA,POM_COL,WHI_COL1,PomonaPitzer,D3,Team,20250328-PomonaPitzer-1,6402fe90-0c20-11f0-bc17-93e32103d205,72.86773,NA,NA,6.69051,NA,NA,NA,dcdc02ae-aaac-4592-99f9-f3785501b184,2025-03-28,22:02:49,2025-03-28T22:02:49Z,2025-03-28T22:02:49Z,NA,v3,POM_PIT,NA,NA,"Hattenburg, Xavier",10277269,Right,POM_COL,54.86814,-108.5053,10.01378,5.25744,4.18775,-14.99593,0.68902,-1.04804,4.5136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-03-28,15:03:19,"Hilton, Jake",828436,Left,POM_COL,Undefined,Fastball,NA,NA,86.94784,0.118003,0.255006,2134.960915,143.067988,10:45:00,5.59542,-0.46678,5.16936,-20.87529,17.23438,-12.01528,3.96687,-1.22806,79.04635,-3.789423,-1.872387,0.444313,6.03662,8.91386,0.45252,50,5.59103,-0.0146,-126.11759,-0.44102,9.684,26.60087,-17.87432,b53c5fd8-6265-4af8-ad3e-44b0910b7371,NA,NA,NA,NA,NA,1000126040,"Battle, Sevon",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,WHI_COL1,1,Top,1,0,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,POM_COL,WHI_COL1,PomonaPitzer,D3,Team,20250328-PomonaPitzer-1,755b7460-0c20-11f0-bc17-93e32103d205,84.83308,NA,NA,7.90149,NA,NA,NA,dcdc02ae-aaac-4592-99f9-f3785501b184,2025-03-28,22:03:19,2025-03-28T22:03:19Z,2025-03-28T22:03:19Z,NA,v3,POM_PIT,NA,NA,"Hattenburg, Xavier",10277269,Right,POM_COL,55.32784,-127.23638,13.30043,5.59377,0.31074,-8.93716,0.4617,-0.42189,4.842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-03-28,15:03:37,"Hilton, Jake",828436,Left,POM_COL,Undefined,Fastball,NA,NA,86.67637,-1.554214,0.971747,2123.599283,156.641831,11:15:00,5.49372,-0.47353,5.46845,-15.89501,22.0619,-8.97859,2.71401,-0.31222,78.82334,-4.590906,-0.626804,0.443422,4.735,11.87205,0.39402,50,5.34626,-1.7266,-125.683,-3.84905,7.54792,26.28558,-13.24922,0ab49035-34d1-4b05-9e5f-9b17e0385111,NA,NA,NA,NA,NA,1000126040,"Battle, Sevon",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,WHI_COL1,1,Top,1,1,0,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,POM_COL,WHI_COL1,PomonaPitzer,D3,Team,20250328-PomonaPitzer-1,802c9ea0-0c20-11f0-bc17-93e32103d205,85.00363,NA,NA,7.85303,NA,NA,NA,dcdc02ae-aaac-4592-99f9-f3785501b184,2025-03-28,22:03:37,2025-03-28T22:03:37Z,2025-03-28T22:03:37Z,NA,v3,POM_PIT,NA,NA,"Hattenburg, Xavier",10277269,Right,POM_COL,55.02641,-126.72987,13.14279,5.48905,-3.32137,-6.62461,0.46878,-2.02721,3.77396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-03-28,15:04:02,"Hilton, Jake",828436,Left,POM_COL,Undefined,ChangeUp,NA,NA,73.08646,1.500574,0.030614,1574.942069,110.106334,09:45:00,5.23699,-0.61774,5.31603,-45.96562,7.99508,-16.8117,2.81519,-1.98998,66.45053,-6.948504,-2.954684,0.528701,8.36634,4.12158,0.62734,50,5.34025,0.58353,-105.94986,1.34529,9.41587,19.77285,-27.53545,1a4bf55f-b350-4041-ab7a-5d3b51f868a8,NA,NA,NA,NA,NA,1000126040,"Battle, Sevon",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,WHI_COL1,1,Top,1,1,1,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,POM_COL,WHI_COL1,PomonaPitzer,D3,Team,20250328-PomonaPitzer-1,8f4f96d0-0c20-11f0-bc17-93e32103d205,71.29254,NA,NA,6.63593,NA,NA,NA,dcdc02ae-aaac-4592-99f9-f3785501b184,2025-03-28,22:04:02,2025-03-28T22:04:02Z,2025-03-28T22:04:02Z,NA,v3,POM_PIT,NA,NA,"Hattenburg, Xavier",10277269,Right,POM_COL,55.18091,-106.91237,9.88642,5.24214,2.68567,-13.76773,0.61009,0.12518,4.70793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-03-28,15:04:24,"Hilton, Jake",828436,Left,POM_COL,Undefined,Fastball,NA,NA,85.31719,-0.968814,0.990147,2023.955192,148.489365,11:00:00,5.51551,-0.54727,5.38066,-21.54635,17.6191,-10.02623,2.81158,-0.45452,77.88965,-5.001768,-0.792415,0.450426,5.35229,9.51749,0.46615,50,5.41403,-1.71584,-123.82502,-2.78995,8.29607,25.1088,-17.42189,297cca31-e603-40fb-8888-b15f1762fef6,NA,NA,NA,NA,NA,1000126040,"Battle, Sevon",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,WHI_COL1,1,Top,1,2,1,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,POM_COL,WHI_COL1,PomonaPitzer,D3,Team,20250328-PomonaPitzer-1,9c75d4a0-0c20-11f0-bc17-93e32103d205,83.68183,NA,NA,7.42754,NA,NA,NA,dcdc02ae-aaac-4592-99f9-f3785501b184,2025-03-28,22:04:24,2025-03-28T22:04:24Z,2025-03-28T22:04:24Z,NA,v3,POM_PIT,NA,NA,"Hattenburg, Xavier",10277269,Right,POM_COL,55.11872,-124.85866,12.5544,5.51411,-2.07275,-8.71095,0.54382,-2.05736,4.14804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-03-28,15:04:51,"Hilton, Jake",828436,Left,POM_COL,Undefined,ChangeUp,NA,NA,72.9426,1.314667,-0.004744,1652.808005,105.963709,09:30:00,5.21749,-0.81397,5.55742,-46.98443,6.26567,-16.01784,2.53067,-2.15323,66.89543,-7.320165,-2.862577,0.525208,8.07941,3.31473,0.82514,50,5.30025,0.58942,-105.90011,1.01217,9.15337,18.48504,-28.41872,d35af15b-d942-4d65-bc5b-552a312869f0,NA,NA,NA,NA,NA,1000126040,"Battle, Sevon",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,WHI_COL1,1,Top,1,2,2,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,POM_COL,WHI_COL1,PomonaPitzer,D3,Team,20250328-PomonaPitzer-1,ac8e9e80-0c20-11f0-bc17-93e32103d205,71.76663,NA,NA,6.04717,NA,NA,NA,dcdc02ae-aaac-4592-99f9-f3785501b184,2025-03-28,22:04:51,2025-03-28T22:04:51Z,2025-03-28T22:04:51Z,NA,v3,POM_PIT,NA,NA,"Hattenburg, Xavier",10277269,Right,POM_COL,54.94181,-106.75922,9.24252,5.22252,2.33297,-14.20936,0.80763,0.16401,4.57668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-03-28,15:05:13,"Hilton, Jake",828436,Left,POM_COL,Undefined,Fastball,NA,NA,85.45064,-1.783971,0.489784,2130.78445,148.435543,11:00:00,5.42904,-0.49598,5.2267,-21.28434,18.25595,-10.37855,1.97763,-0.9004,77.60881,-5.766776,-1.350669,0.452576,5.35693,10.0652,0.45905,50,5.24931,-0.60719,-123.86705,-4.55351,8.25572,26.60252,-16.66226,9347a3a2-a2d8-4e3e-9dbb-e2baf55d1127,NA,NA,NA,NA,32.813057,1000126040,"Battle, Sevon",6594.062692,NA,70.25144,Right,51.654352,80.61444,84.07942,74.84186,169.20817,74.77933,4.770519,45.239832,2.16241,2.24025,0.6503,NA,NA,NA,NA,NA,2,6,WHI_COL1,1,Top,1,3,2,Four-Seam,InPlay,Undefined,Popup,Out,1,0,NA,POM_COL,WHI_COL1,PomonaPitzer,D3,Team,20250328-PomonaPitzer-1,b9c3d070-0c20-11f0-bc17-93e32103d205,83.28426,86.53076,NA,7.84182,NA,NA,NA,dcdc02ae-aaac-4592-99f9-f3785501b184,2025-03-28,22:05:13,2025-03-28T22:05:13Z,2025-03-28T22:05:13Z,Popup,v3,POM_PIT,NA,NA,"Hattenburg, Xavier",10277269,Right,POM_COL,55.27153,-124.99407,13.30126,5.42726,-3.84761,-8.33113,0.49218,-0.95694,4.12786,201.417396,2.1647,53.64958,-17.38697,4.62637,-0.37836,-0.26216,0.11106,-0.01736,9.9e-4,2.23353,80.95355,-23.14356,2.78077,-0.90206,0.27552,-0.04689,0.00341,-6e-5,0.64979,34.65164,-3.5542,0.46514,-0.05388,0.01791,-0.00622,0.00105,-7e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Low,NA,NA,NA
