PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-05-16,18:04:44,"Johnson, Jeb",10061066,Right,MER_BEA,Undefined,TwoSeamFastBall,NA,NA,89.67437,-1.606467,-1.656563,2242.46677,237.228428,02:00:00,5.17422,0.994,5.68667,-23.20808,12.32383,17.14099,1.74181,0.87791,80.92364,-5.958378,1.409368,0.429023,-9.1926,7.14804,-0.8653,50,5.02469,2.99365,-129.96449,-4.42335,-15.48539,31.0734,-20.13281,e8fa1c79-9ac1-4730-9afc-07aaa305626a,NA,NA,NA,NA,NA,1000052092,"Ince, Jeffrey",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,SAM_BUL,1,Top,0,0,0,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,MER_BEA,SAM_BUL,MercerUniversity,D1,SOCON,20250516-MercerUniversity-1,c6de3460-32a1-11f0-969a-ef023c5dc294,87.85644,NA,NA,8.75073,NA,NA,NA,e2fae3cd-0378-4a9c-9a76-8e5ef2f0b9c7,2025-05-16,22:04:44,2025-05-16T22:04:44Z,2025-05-16T22:04:44Z,NA,v3,471354,471431,16 May 2025 18:00-samford@mercer,"Thompson, Zack",1000220619,Right,MER_BEA,54.81156,-131.10985,15.5367,5.17405,-3.68126,-10.0664,-0.98616,3.56443,-7.7427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-05-16,18:04:56,"Johnson, Jeb",10061066,Right,MER_BEA,Undefined,ChangeUp,NA,NA,82.86803,0.43637,-1.675115,1580.643628,277.043381,03:15:00,4.82235,1.35364,5.29053,-42.95404,-0.9928,19.55725,1.65279,1.41001,75.40022,-7.401618,1.800134,0.466225,-10.25894,-0.18043,-1.21574,50,4.83089,2.67603,-120.18953,-0.6581,-14.86474,25.34721,-32.43548,4e6aa7df-a1ee-4a71-853e-f8d965aa5711,NA,NA,NA,NA,NA,1000052092,"Ince, Jeffrey",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,SAM_BUL,1,Top,0,0,1,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,MER_BEA,SAM_BUL,MercerUniversity,D1,SOCON,20250516-MercerUniversity-1,cda484c0-32a1-11f0-969a-ef023c5dc294,80.84603,NA,NA,7.4678,NA,NA,NA,e2fae3cd-0378-4a9c-9a76-8e5ef2f0b9c7,2025-05-16,22:04:56,2025-05-16T22:04:56Z,2025-05-16T22:04:56Z,NA,v3,471354,471431,16 May 2025 18:00-samford@mercer,"Thompson, Zack",1000220619,Right,MER_BEA,55.21058,-121.28343,12.67361,4.82908,0.7417,-16.21774,-1.34508,3.31755,-7.43237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-05-16,18:05:05,"Johnson, Jeb",10061066,Right,MER_BEA,Undefined,TwoSeamFastBall,NA,NA,89.60711,-0.776397,-1.826656,2238.452942,235.031177,01:45:00,5.16821,0.86778,5.76714,-22.58726,12.50201,16.2256,2.56294,0.51928,81.59364,-5.008966,1.078583,0.426342,-8.83804,6.94095,-0.72672,50,5.09034,3.45509,-130.07978,-2.5118,-15.07135,28.4934,-20.33779,104b0c7f-d85d-4661-b3b6-823a0d33e28a,NA,NA,NA,NA,-18.611371,1000052092,"Ince, Jeffrey",4097.045828,NA,95.00013,Left,28.489426,101.03409,51.92548,-43.49805,317.68936,308.54053,4.227436,-30.697921,1.17923,2.66458,-0.5421,NA,NA,NA,NA,NA,1,3,SAM_BUL,1,Top,0,1,1,Sinker,InPlay,Undefined,FlyBall,Out,1,0,NA,MER_BEA,SAM_BUL,MercerUniversity,D1,SOCON,20250516-MercerUniversity-1,d36524f0-32a1-11f0-969a-ef023c5dc294,88.40885,64.22248,NA,8.01347,NA,NA,NA,e2fae3cd-0378-4a9c-9a76-8e5ef2f0b9c7,2025-05-16,22:05:05,2025-05-16T22:05:05Z,2025-05-16T22:05:05Z,FlyBall,v3,471354,471431,16 May 2025 18:00-samford@mercer,"Thompson, Zack",1000220619,Right,MER_BEA,54.73395,-131.11263,14.2467,5.16803,-1.77458,-10.16889,-0.86186,4.00141,-7.53567,132.410323,1.17806,116.09011,-26.42443,7.24491,-2.0355,0.58358,-0.13965,0.0203,-0.00122,2.6654,66.43923,-19.84971,0.84515,0.31683,-0.20776,0.05932,-0.00802,4.1e-4,-0.54184,-39.0921,-3.31032,2.45153,-0.79201,0.15594,-0.01526,-2.3e-4,1.2e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA
4,2025-05-16,18:05:31,"Johnson, Jeb",10061066,Right,MER_BEA,Undefined,Slider,NA,NA,81.02828,0.741977,0.808626,2569.670376,86.528385,09:00:00,4.96935,1.49556,4.86729,-43.92006,0.39768,-16.86497,2.01166,0.85548,74.14184,-7.205371,-2.164551,0.479137,8.53119,0.41713,-1.56012,50,5.00517,-0.92605,-117.53948,-0.13073,11.90013,22.88307,-31.59219,e15cf86f-71bf-43d8-8a9d-ad83ddc03ef0,NA,NA,NA,NA,NA,1000106835,"Harris, Jackson",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,SAM_BUL,1,Top,1,0,0,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,MER_BEA,SAM_BUL,MercerUniversity,D1,SOCON,20250516-MercerUniversity-1,e26e0570-32a1-11f0-969a-ef023c5dc294,78.66729,NA,NA,6.88644,NA,NA,NA,e2fae3cd-0378-4a9c-9a76-8e5ef2f0b9c7,2025-05-16,22:05:31,2025-05-16T22:05:31Z,2025-05-16T22:05:31Z,NA,v3,471354,471431,16 May 2025 18:00-samford@mercer,"Thompson, Zack",1000220619,Right,MER_BEA,55.63411,-118.63128,11.44154,4.97544,1.3766,-15.7961,-1.5024,-1.49383,5.95007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-05-16,18:05:39,"Johnson, Jeb",10061066,Right,MER_BEA,Undefined,ChangeUp,NA,NA,81.38195,1.152592,-0.858335,1479.199523,277.501139,03:15:00,4.74791,1.29763,5.25463,-43.85061,-0.9578,16.69942,2.17698,1.88267,75.1147,-6.814035,2.10592,0.471372,-8.56205,-0.38232,-1.23171,50,4.821,1.0771,-118.24441,0.79322,-12.2034,21.13169,-32.71896,89d216b9-5a2a-4bba-bbd7-cb495352a5b5,NA,NA,NA,NA,NA,1000106835,"Harris, Jackson",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,SAM_BUL,1,Top,1,0,1,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,MER_BEA,SAM_BUL,MercerUniversity,D1,SOCON,20250516-MercerUniversity-1,e77da520-32a1-11f0-969a-ef023c5dc294,79.96329,NA,NA,6.26724,NA,NA,NA,e2fae3cd-0378-4a9c-9a76-8e5ef2f0b9c7,2025-05-16,22:05:39,2025-05-16T22:05:39Z,2025-05-16T22:05:39Z,NA,v3,471354,471431,16 May 2025 18:00-samford@mercer,"Thompson, Zack",1000220619,Right,MER_BEA,55.24844,-119.17868,10.56584,4.75395,2.23978,-16.35948,-1.29126,1.61664,-6.1017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-05-16,18:05:48,"Johnson, Jeb",10061066,Right,MER_BEA,Undefined,ChangeUp,NA,NA,81.56497,0.19228,-2.173404,1489.727759,271.056437,03:00:00,4.75294,1.108,5.33113,-41.81565,0.9811,18.03107,1.44885,0.5703,75.00172,-7.425982,1.031607,0.470844,-9.64426,0.83114,-0.92502,50,4.7401,3.75217,-118.41821,-1.087,-13.72191,22.18896,-30.99149,d8f5708b-6fef-4a27-8921-79bf4a5aab2f,NA,NA,NA,NA,NA,1000106835,"Harris, Jackson",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,SAM_BUL,1,Top,1,1,1,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,MER_BEA,SAM_BUL,MercerUniversity,D1,SOCON,20250516-MercerUniversity-1,ecdee740-32a1-11f0-969a-ef023c5dc294,80.05298,NA,NA,6.56325,NA,NA,NA,e2fae3cd-0378-4a9c-9a76-8e5ef2f0b9c7,2025-05-16,22:05:48,2025-05-16T22:05:48Z,2025-05-16T22:05:48Z,NA,v3,471354,471431,16 May 2025 18:00-samford@mercer,"Thompson, Zack",1000220619,Right,MER_BEA,55.17157,-119.38331,11.09448,4.75806,0.26096,-15.49575,-1.1012,4.349,-6.86095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-05-16,18:05:57,"Johnson, Jeb",10061066,Right,MER_BEA,Undefined,ChangeUp,NA,NA,78.70981,0.206539,-3.225321,1363.473287,293.888133,03:45:00,4.59143,1.0547,5.41608,-52.10416,-6.0874,17.02241,0.44322,-0.5515,72.40152,-9.248231,-0.194354,0.488236,-9.51823,-2.73449,-0.78017,50,4.57305,5.77134,-114.19223,-1.38064,-12.54533,21.38276,-35.77818,7f61d767-4594-4a11-9b04-25002c69d538,NA,NA,NA,NA,NA,1000106835,"Harris, Jackson",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,SAM_BUL,1,Top,1,1,2,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,MER_BEA,SAM_BUL,MercerUniversity,D1,SOCON,20250516-MercerUniversity-1,f1fc1b80-32a1-11f0-969a-ef023c5dc294,77.20134,NA,NA,6.30829,NA,NA,NA,e2fae3cd-0378-4a9c-9a76-8e5ef2f0b9c7,2025-05-16,22:05:57,2025-05-16T22:05:57Z,2025-05-16T22:05:57Z,NA,v3,471354,471431,16 May 2025 18:00-samford@mercer,"Thompson, Zack",1000220619,Right,MER_BEA,55.08812,-115.14105,10.69138,4.59909,0.20695,-17.88909,-1.04862,6.32802,-6.27267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-05-16,18:06:07,"Johnson, Jeb",10061066,Right,MER_BEA,Undefined,TwoSeamFastBall,NA,NA,90.46418,-0.662657,-1.162005,2333.281995,252.13975,02:30:00,5.10246,0.93205,5.59763,-27.90568,6.54028,16.99458,2.15814,1.26322,82.93945,-5.809407,1.873594,0.422416,-8.8952,3.82894,-0.84356,50,5.02761,1.90429,-131.40197,-2.54407,-15.57264,27.50525,-25.47083,5b78160b-3120-48bb-98b3-533bb42fa9e7,NA,NA,NA,NA,NA,1000106835,"Harris, Jackson",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,SAM_BUL,1,Top,1,2,2,Sinker,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,NA,MER_BEA,SAM_BUL,MercerUniversity,D1,SOCON,20250516-MercerUniversity-1,f7e09760-32a1-11f0-969a-ef023c5dc294,89.23058,NA,NA,7.52473,NA,NA,NA,e2fae3cd-0378-4a9c-9a76-8e5ef2f0b9c7,2025-05-16,22:06:07,2025-05-16T22:06:07Z,2025-05-16T22:06:07Z,NA,v3,471354,471431,16 May 2025 18:00-samford@mercer,"Thompson, Zack",1000220619,Right,MER_BEA,54.9034,-132.42438,13.75262,5.10459,-1.59728,-12.73542,-0.92511,2.48315,-7.78632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.71522,NA,NA,1.067432,NA,NA,NA,2.09961,5.75184,-0.35656,67.34161,9.56485,-57.45763,2.13894,65.36612,-4.01353,5.80075,18.93887,-14.44038,-0.43955,-60.24235,6.39845,High,High,High,NA,NA,High,High,High
9,2025-05-16,18:06:32,"Johnson, Jeb",10061066,Right,MER_BEA,Undefined,Slider,NA,NA,82.68667,-1.08237,0.248456,2765.903096,91.792343,09:00:00,4.91519,1.39901,4.83404,-40.80242,1.70055,-11.83796,0.48988,0.6478,76.07734,-8.434497,-1.83956,0.469225,5.93981,1.5011,-1.4128,50,4.77283,-0.00568,-119.97199,-3.82467,8.65434,23.27875,-29.98696,512c9234-974e-4788-a1ee-1b7f53dada97,NA,NA,NA,NA,NA,1000090767,"Carr, Cade",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,SAM_BUL,1,Top,2,0,0,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,MER_BEA,SAM_BUL,MercerUniversity,D1,SOCON,20250516-MercerUniversity-1,06f6e560-32a2-11f0-969a-ef023c5dc294,80.32914,NA,NA,6.60933,NA,NA,NA,e2fae3cd-0378-4a9c-9a76-8e5ef2f0b9c7,2025-05-16,22:06:32,2025-05-16T22:06:32Z,2025-05-16T22:06:32Z,NA,v3,471354,471431,16 May 2025 18:00-samford@mercer,"Thompson, Zack",1000220619,Right,MER_BEA,55.66796,-121.06677,11.63938,4.91954,-2.4144,-14.99348,-1.40296,-0.41269,4.32717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-05-16,18:06:49,"Johnson, Jeb",10061066,Right,MER_BEA,Undefined,Slider,NA,NA,81.76196,1.27631,0.735105,2678.228858,53.357395,07:45:00,5.01758,1.26261,4.65883,-51.61097,-7.55811,-12.12481,1.92951,0.95062,74.57383,-7.993778,-1.39536,0.477703,6.1454,-3.64449,-1.32595,50,5.10063,-0.97713,-118.51874,0.58737,8.67713,24.19871,-37.31993,7c6883e4-0f6e-4619-abf8-cb14e8c2cca6,NA,NA,NA,NA,NA,1000090767,"Carr, Cade",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,SAM_BUL,1,Top,2,1,0,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,MER_BEA,SAM_BUL,MercerUniversity,D1,SOCON,20250516-MercerUniversity-1,10f7ee60-32a2-11f0-969a-ef023c5dc294,78.90343,NA,NA,7.18813,NA,NA,NA,e2fae3cd-0378-4a9c-9a76-8e5ef2f0b9c7,2025-05-16,22:06:49,2025-05-16T22:06:49Z,2025-05-16T22:06:49Z,NA,v3,471354,471431,16 May 2025 18:00-samford@mercer,"Thompson, Zack",1000220619,Right,MER_BEA,55.84329,-119.70586,12.09935,5.02691,2.41818,-18.65996,-1.26758,-1.4028,4.33857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
